 time,phase,potential,connectedness,resilience,rigidity,memory,novelty,release_flag
105,r, 0.5496, 0.4379, 0.6106, 0.3369, 0.7521, 0.1405,0
106,r, 0.5769, 0.4828, 0.5734, 0.3634, 0.7607, 0.1293,0
107,r, 0.6037, 0.5242, 0.5377, 0.3923, 0.7698, 0.1189,0
108,K, 0.6300, 0.5623, 0.5033, 0.4232, 0.7793, 0.1094,0
109,K, 0.6557, 0.5973, 0.4701, 0.4560, 0.7891, 0.1007,0
110,K, 0.6805, 0.6295, 0.4380, 0.4907, 0.7993, 0.0926,0
111,K, 0.7044, 0.6592, 0.4069, 0.5269, 0.8099, 0.0852,0
112,K, 0.7273, 0.6864, 0.3768, 0.5647, 0.8208, 0.0784,0
113,K, 0.7492, 0.7115, 0.3475, 0.6038, 0.8320, 0.0721,0
114,K, 0.7698, 0.7346, 0.3191, 0.6442, 0.8436, 0.0664,0
115,K, 0.7893, 0.7558, 0.2914, 0.6858, 0.8554, 0.0610,0
116,Omega, 0.8076, 0.7754, 0.2643, 0.7284, 0.8675, 0.0562,1
117,alpha, 0.3392, 0.2481, 0.5643, 0.2768, 0.7461, 0.3200,0
118,r, 0.4781, 0.2781, 0.6143, 0.2728, 0.7511, 0.2400,0
119,r, 0.5056, 0.3359, 0.6898, 0.2913, 0.7586, 0.1660,0
120,r, 0.5331, 0.3890, 0.6494, 0.3127, 0.7666, 0.1528,0
