system_id,fast_scale,slow_scale,scenario_id,scenario_name,time_step,fast_phase,slow_phase,fast_potential,fast_connectedness,fast_resilience,fast_rigidity,fast_memory,slow_potential,slow_connectedness,slow_resilience,slow_rigidity,slow_memory,revolt_effect,remember_effect,fast_phase_changed,slow_phase_changed
ACYP001,forest_patch,regional_climate_fire_regime,CY001,Balanced renewal,110,K,r,0.74804,0.61734,0.41566,0.52937,0.73153,0.5859,0.45865,0.56394,0.38263,0.79778,0.0,0.0,False,False
ACYP001,forest_patch,regional_climate_fire_regime,CY001,Balanced renewal,111,K,r,0.76689,0.64413,0.38688,0.56518,0.74073,0.61017,0.49655,0.53078,0.41106,0.8051,0.0,0.0,False,False
ACYP001,forest_patch,regional_climate_fire_regime,CY001,Balanced renewal,112,K,r,0.78477,0.66904,0.35884,0.60223,0.75015,0.63395,0.53179,0.49867,0.44125,0.81271,0.0,0.0,False,False
ACYP001,forest_patch,regional_climate_fire_regime,CY001,Balanced renewal,113,K,K,0.80166,0.69221,0.33148,0.64044,0.75977,0.65716,0.56456,0.46753,0.47307,0.8206,0.0,0.0,False,True
ACYP001,forest_patch,regional_climate_fire_regime,CY001,Balanced renewal,114,K,K,0.81756,0.71375,0.30477,0.67973,0.76958,0.67969,0.59504,0.43729,0.50643,0.82875,0.0,0.0,False,False
ACYP001,forest_patch,regional_climate_fire_regime,CY001,Balanced renewal,115,K,K,0.83247,0.73379,0.27865,0.72002,0.77957,0.70146,0.62339,0.40789,0.5412,0.83717,0.0,0.0,False,False
ACYP001,forest_patch,regional_climate_fire_regime,CY001,Balanced renewal,116,Omega,K,0.84642,0.75242,0.25308,0.76124,0.78972,0.7224,0.64975,0.37928,0.57728,0.84584,0.0,0.0,True,False
ACYP001,forest_patch,regional_climate_fire_regime,CY001,Balanced renewal,117,alpha,K,0.3555,0.24078,0.55308,0.28927,0.67916,0.74245,0.67427,0.35139,0.6146,0.85475,0.0,0.0,True,False
ACYP001,forest_patch,regional_climate_fire_regime,CY001,Balanced renewal,118,r,K,0.58945,0.27262,0.60731,0.27847,0.70008,0.76158,0.69707,0.32418,0.65305,0.86389,0.0,0.15385,True,False
ACYP001,forest_patch,regional_climate_fire_regime,CY001,Balanced renewal,119,r,K,0.61365,0.32353,0.67641,0.29824,0.70744,0.77973,0.71828,0.2976,0.69256,0.87324,0.0,0.0,False,False
ACYP001,forest_patch,regional_climate_fire_regime,CY001,Balanced renewal,120,r,K,0.63736,0.37089,0.63952,0.32039,0.71509,0.79691,0.738,0.2716,0.73306,0.88281,0.0,0.0,False,False
ACYP003,neighborhood_drainage,regional_precipitation_infrastructure_finance,CY001,Balanced renewal,1,r,Omega,0.46464,0.442,0.58002,0.3657,0.50558,0.77824,0.8326,0.20881,0.74523,0.68934,0.0,0.0,False,True
ACYP003,neighborhood_drainage,regional_precipitation_infrastructure_finance,CY001,Balanced renewal,2,r,alpha,0.48951,0.48106,0.5464,0.39335,0.51145,0.32686,0.26643,0.50881,0.28319,0.59283,0.0,0.0,False,True
ACYP003,neighborhood_drainage,regional_precipitation_infrastructure_finance,CY001,Balanced renewal,3,r,r,0.5145,0.51739,0.51386,0.42282,0.51762,0.39088,0.31136,0.53836,0.28102,0.57972,0.0,0.0,False,True
ACYP003,neighborhood_drainage,regional_precipitation_infrastructure_finance,CY001,Balanced renewal,4,K,r,0.53948,0.55117,0.48232,0.45398,0.5241,0.41469,0.35956,0.65259,0.3026,0.58469,0.0,0.0,True,False
ACYP003,neighborhood_drainage,regional_precipitation_infrastructure_finance,CY001,Balanced renewal,5,K,r,0.56433,0.58259,0.45171,0.48671,0.53087,0.43896,0.40439,0.61669,0.32642,0.58996,0.0,0.0,False,False
ACYP003,neighborhood_drainage,regional_precipitation_infrastructure_finance,CY001,Balanced renewal,6,K,r,0.58891,0.61181,0.42197,0.5209,0.53794,0.46359,0.44609,0.58204,0.35232,0.59552,0.0,0.0,False,False
ACYP003,neighborhood_drainage,regional_precipitation_infrastructure_finance,CY001,Balanced renewal,7,K,r,0.61312,0.63898,0.39304,0.55645,0.54529,0.48845,0.48486,0.54853,0.38017,0.60138,0.0,0.0,False,False
ACYP003,neighborhood_drainage,regional_precipitation_infrastructure_finance,CY001,Balanced renewal,8,K,r,0.63684,0.66425,0.36486,0.59326,0.55294,0.51344,0.52092,0.51609,0.40981,0.60755,0.0,0.0,False,False
ACYP003,neighborhood_drainage,regional_precipitation_infrastructure_finance,CY001,Balanced renewal,9,K,K,0.65997,0.68775,0.33737,0.63125,0.56086,0.53842,0.55446,0.48465,0.44113,0.61401,0.0,0.0,False,True
ACYP003,neighborhood_drainage,regional_precipitation_infrastructure_finance,CY001,Balanced renewal,10,K,K,0.68241,0.70961,0.31053,0.67033,0.56904,0.56327,0.58564,0.45414,0.47402,0.62077,0.0,0.0,False,False
