time,phase,potential,connectedness,resilience,rigidity,memory,novelty,release_flag
39,r,0.443358,0.337748,0.685651,0.299844,0.629615,0.165563,0
40,r,0.470505,0.390728,0.645282,0.321334,0.636672,0.152318,0
41,r,0.49791,0.43947,0.606602,0.345505,0.644141,0.140133,0
42,r,0.525409,0.484312,0.569477,0.372142,0.652022,0.128922,0
43,r,0.552838,0.525567,0.533781,0.401049,0.660315,0.118608,0
44,K,0.580031,0.563522,0.499402,0.432042,0.669015,0.10912,0
45,K,0.606826,0.59844,0.466232,0.464956,0.678117,0.10039,0
46,K,0.633071,0.630565,0.434177,0.499638,0.687614,0.0923588,0
47,K,0.658623,0.66012,0.403145,0.535944,0.697493,0.0849701,0
48,K,0.683355,0.68731,0.373057,0.573746,0.707743,0.0781724,0
49,K,0.707157,0.712325,0.343835,0.612924,0.718351,0.0719187,0
50,K,0.729937,0.735339,0.315411,0.653368,0.7293,0.0661652,0
51,K,0.751621,0.756512,0.287721,0.694976,0.740574,0.0608719,0
52,Omega,0.772157,0.775991,0.260706,0.737655,0.752156,0.0560022,1
53,alpha,0.324306,0.248317,0.560706,0.280309,0.646854,0.32,0
54,r,0.43049,0.278317,0.610706,0.276309,0.651854,0.24,0
55,r,0.457459,0.336052,0.688471,0.294792,0.658716,0.165987,0
56,r,0.48476,0.389168,0.648047,0.316196,0.665988,0.152708,0
57,r,0.512234,0.438034,0.609318,0.340288,0.673671,0.140491,0
58,r,0.539718,0.482992,0.572147,0.366853,0.681767,0.129252,0
59,r,0.567044,0.524352,0.536409,0.395692,0.690273,0.118912,0
60,K,0.59405,0.562404,0.501991,0.426624,0.699183,0.109399,0
61,K,0.620577,0.597412,0.468786,0.459482,0.708492,0.100647,0
62,K,0.646477,0.629619,0.436698,0.494111,0.718189,0.0925953,0
63,K,0.671617,0.659249,0.405636,0.53037,0.728263,0.0851877,0
64,K,0.695877,0.686509,0.37552,0.568128,0.738702,0.0783727,0
65,K,0.719157,0.711589,0.346272,0.607265,0.749489,0.0721029,0
66,K,0.741374,0.734661,0.317825,0.647671,0.76061,0.0663346,0
67,K,0.762465,0.755889,0.290113,0.689245,0.772046,0.0610279,0
68,Omega,0.782387,0.775417,0.263079,0.731893,0.783782,0.0561456,1
69,alpha,0.328603,0.248134,0.563079,0.278119,0.674053,0.32,0
70,r,0.443545,0.278134,0.613079,0.274119,0.679053,0.24,0
71,r,0.470695,0.335883,0.689345,0.292593,0.686113,0.166029,0
72,r,0.4981,0.389012,0.648916,0.313989,0.693585,0.152747,0
73,r,0.5256,0.437891,0.610182,0.338073,0.701469,0.140527,0
74,r,0.553028,0.48286,0.573006,0.36463,0.709764,0.129285,0
75,r,0.580218,0.524231,0.537265,0.393463,0.718467,0.118942,0
76,K,0.607011,0.562293,0.502842,0.424389,0.727573,0.109427,0
77,K,0.633251,0.597309,0.469634,0.457241,0.737071,0.100673,0
78,K,0.658798,0.629525,0.437542,0.491865,0.746953,0.0926189,0
79,K,0.683524,0.659163,0.406478,0.528119,0.757206,0.0852094,0
80,K,0.707319,0.68643,0.376358,0.565872,0.767816,0.0783926,0
81,K,0.730091,0.711515,0.347109,0.605006,0.778767,0.0721212,0
82,K,0.751768,0.734594,0.318659,0.645408,0.790044,0.0663515,0
83,K,0.772295,0.755826,0.290945,0.686979,0.801628,0.0610434,0
84,Omega,0.791639,0.77536,0.263908,0.729623,0.813503,0.0561599,1
85,alpha,0.332488,0.248115,0.563908,0.277257,0.699612,0.32,0
86,r,0.455814,0.278115,0.613908,0.273257,0.704612,0.24,0
87,r,0.483099,0.335866,0.689658,0.29173,0.711859,0.166033,0
88,r,0.510568,0.388997,0.649228,0.313124,0.719517,0.152751,0
89,r,0.538055,0.437877,0.610494,0.337208,0.727588,0.140531,0
90,r,0.565396,0.482847,0.573317,0.363764,0.736069,0.129288,0
91,r,0.592426,0.524219,0.537575,0.392596,0.744956,0.118945,0
92,K,0.618986,0.562282,0.503153,0.423522,0.75424,0.10943,0
93,K,0.644929,0.597299,0.469944,0.456373,0.763914,0.100675,0
94,K,0.670118,0.629515,0.437852,0.490997,0.773966,0.0926212,0
95,K,0.694435,0.659154,0.406787,0.52725,0.784383,0.0852115,0
96,K,0.717776,0.686422,0.376667,0.565003,0.795149,0.0783946,0
97,K,0.740059,0.711508,0.347417,0.604136,0.80625,0.072123,0
98,K,0.76122,0.734587,0.318967,0.644538,0.817668,0.0663532,0
99,K,0.781214,0.75582,0.291253,0.686109,0.829387,0.0610449,0
100,Omega,0.800015,0.775355,0.264217,0.728753,0.841387,0.0561613,1
101,alpha,0.336006,0.248113,0.564217,0.276926,0.723593,0.32,0
102,r,0.467325,0.278113,0.614217,0.272926,0.728593,0.24,0
103,r,0.494707,0.335864,0.689775,0.291399,0.736013,0.166034,0
104,r,0.522204,0.388995,0.649345,0.312793,0.743846,0.152751,0
105,r,0.54965,0.437876,0.61061,0.336877,0.752091,0.140531,0
106,r,0.576879,0.482846,0.573434,0.363433,0.760744,0.129289,0
107,r,0.603728,0.524218,0.537692,0.392265,0.7698,0.118946,0
108,K,0.630045,0.562281,0.503269,0.423191,0.779251,0.10943,0
109,K,0.655685,0.597298,0.470061,0.456042,0.789086,0.100675,0
110,K,0.680518,0.629514,0.437968,0.490665,0.799294,0.0926214,0
111,K,0.704434,0.659153,0.406904,0.526919,0.80986,0.0852117,0
112,K,0.727337,0.686421,0.376784,0.564672,0.820771,0.0783948,0
113,K,0.749152,0.711507,0.347534,0.603805,0.832008,0.0721232,0
114,K,0.769823,0.734587,0.319084,0.644207,0.843555,0.0663534,0
115,K,0.789315,0.75582,0.29137,0.685777,0.855395,0.0610451,0
116,Omega,0.807607,0.775354,0.264333,0.728421,0.867509,0.0561615,1
117,alpha,0.339195,0.248113,0.564333,0.2768,0.746058,0.32,0
118,r,0.478108,0.278113,0.614333,0.2728,0.751058,0.24,0
119,r,0.505555,0.335864,0.689819,0.291273,0.758641,0.166034,0
120,r,0.533052,0.388995,0.649389,0.312667,0.766637,0.152751,0
