time,potential,connectedness,resilience,rigidity,memory,novelty,phase
63,0.7057740104985819,0.637263565153648,0.4336720842786722,0.48921287236018873,0.7553531491209414,0.090684108711588,K
64,0.7286162867249482,0.6662824799413561,0.4028544193714221,0.5258584087569633,0.7662823934218157,0.08342938001466096,K
65,0.7503670920037988,0.6929798815460476,0.37296216765675194,0.5639723022419959,0.7775378998018727,0.0767550296134881,K
66,0.7709718871203706,0.7175414910223639,0.34392129607925537,0.603437084248226,0.7891024781086783,0.07061462724440903,K
67,0.7903950531233174,0.7401381717405747,0.3156636942279586,0.6441446836939576,0.8009584039055281,0.06496545706485632,K
68,0.808618831566683,0.7609271180013287,0.28812670052476547,0.6859956751840307,0.8130876863790283,0.05976822049966782,K
69,0.8256418174149487,0.7800529485612224,0.2612526663178279,0.728898587354898,0.8254723136402525,0.054986762859694394,Omega
70,0.34676956331427844,0.24961694353959119,0.5612526663178279,0.2769814631948612,0.7099061897306171,0.2777420335449278,alpha
71,0.5194219785411996,0.29301699051634006,0.6119632555353156,0.2598667777283482,0.7105143284148006,0.3611476261820644,r
72,0.5468804850836496,0.3495756312750329,0.6855804055025134,0.27909343744847503,0.7187175356910553,0.16260609218124178,r
73,0.574138729296665,0.4016095807730303,0.6455883723838741,0.3011819643909917,0.7273296166305053,0.14959760480674245,r
74,0.6010341086666753,0.44948081431118786,0.607255701914726,0.32590340917810706,0.7363451282605055,0.13762979642220302,r
75,0.6274112406441277,0.49352234916629284,0.5704496450831098,0.35304713838225316,0.7457562968701674,0.1266194127084268,r
76,0.6531255419774553,0.5340405612329894,0.535048072798023,0.3824193692500676,0.7555531799998293,0.11648985969175266,r
77,0.6780463245008075,0.5713173163343502,0.5009386262957429,0.41384182164845684,0.7657238748673414,0.10717067091641244,K
78,0.7020592701973003,0.6056119310276022,0.46801793551364546,0.44715047785497497,0.7762547639203009,0.09859701724309944,K
79,0.7250681958433071,0.6371629765453941,0.4361908999941156,0.48219444156497165,0.7871307868579505,0.09070925586365147,K
80,0.7469960696374893,0.6661899384217626,0.40537002731614824,0.5188348881781686,0.7983357279025128,0.08345251539455936,K
81,0.7677852932116889,0.6928947433480216,0.37547482445241814,0.5569440990623098,0.8098525073006881,0.0767763141629946,K
82,0.7873973072530371,0.7174631638801798,0.34643123781778656,0.5964045730757197,0.8216634669094837,0.07063420902995504,K
83,0.8058116139092445,0.7400661107697655,0.3181711381139255,0.6371082091680568,0.8337506411181224,0.06498347230755863,K
84,0.8230243321570491,0.7608608219081843,0.29063184638637335,0.6789555543730069,0.8460960061004781,0.05978479452295393,K
85,0.8390464130488432,0.7799919561555295,0.2637556979970253,0.721855111961561,0.8586817022962108,0.05500201096111762,Omega
86,0.35239949348051414,0.24959742596976944,0.5637556979970253,0.2743049425453932,0.7384662639747412,0.33939392562024295,alpha
87,0.5147843179074097,0.2867252945029039,0.6081611121378085,0.28269187248978367,0.7508730531509074,0.18078966775909067,r
88,0.5422602745412511,0.3437872709426716,0.6812918316784728,0.3016001723916306,0.7590069572690261,0.1640531822643321,r
89,0.5695638221527779,0.39628428926725784,0.6411152077488348,0.3233958083013298,0.7675504146013178,0.15092892768318555,r
90,0.5965315183640025,0.4445815461258772,0.6026127137335675,0.34784779333825305,0.7764983873767778,0.1388546134685307,r
91,0.6230065016198599,0.489015022435807,0.5656504192395218,0.37474361957222246,0.7858434849010757,0.12774624439104826,r
92,0.6488421356813767,0.5298938206409425,0.5301051083049996,0.4038877797074743,0.7955761169362964,0.11752654483976438,r
93,0.6739051977324154,0.5675023149896671,0.4958634222452394,0.435100407031906,0.8056846949022826,0.10812442125258323,K
94,0.6980784657745969,0.6021021297904937,0.4628210710702597,0.46821602417038316,0.8161558718889015,0.09947446755237657,K
95,0.7212626071281989,0.6339339594072542,0.43088210798927873,0.5030823919377821,0.8269748109958245,0.09151651014818646,K
96,0.7433773215837505,0.6632192426546738,0.399958261954776,0.5395594502837892,0.8381254708195808,0.08419518933633155,K
97,0.7643617443110097,0.6901617032422999,0.36996832360303367,0.5775183439621157,0.849590896984246,0.07745957418942503,K
98,0.7841741598069422,0.7149487669829159,0.34083758031943057,0.616840526146176,0.86135350938135,0.07126280825427103,K
99,0.8027911149657242,0.73775286562428255,0.31249729649851576,0.6574169337555116,0.8733953761058358,0.06556178359392936,K
100,0.8202060444424837,0.75873263637434,0.2848842353832742,0.6991472287561002,0.8856984667724731,0.06031684090641501,K
101,0.8364275342437585,0.7780340254643928,0.2579402191572518,0.7419391001566419,0.8982448797861294,0.055491493633901795,Omega
102,0.3512995643823785,0.2489708881486057,0.5579402191572518,0.2819368580595239,0.7724905966160713,0.41658321605063975,alpha
103,0.43167558400149136,0.2702006573333255,0.613529151329647,0.2936679073324541,0.7726729662375419,0.2671543169952929,r
104,0.4586620791611223,0.32858460474665946,0.687168523849339,0.3117400605935204,0.7795528974249587,0.16785384881333515,r
105,0.48597410855420137,0.3822978363669267,0.64650708689471,0.33276644159370133,0.7868425090532717,0.15442554090826832,r
106,0.513452468734808,0.4317140094575726,0.6075585648964512,0.3565107121138678,0.7945442960842938,0.14207149763560684,r
107,0.5409325621541513,0.4771768887009668,0.5701859246580532,0.382755440992421,0.802658284516606,0.13070577782475828,r
108,0.5682482599432559,0.5190027376048895,0.5342630956387271,0.4113005915606899,0.8111820084157548,0.12024931559877763,r
109,0.5952358991948749,0.5574825185964983,0.499674092940947,0.4419621300834973,0.8201105469036779,0.11062937035087542,K
110,0.6217382127803747,0.5928839171087785,0.4663122104589893,0.4745707455244801,0.8294366200953835,0.10177902072280537,K
111,0.6476079916107691,0.6254532037400763,0.43407927857558826,0.5089706717301843,0.839150739969545,0.09363669906498093,K
112,0.672711298500159,0.6554169474408702,0.4028849812428592,0.5450186038394321,0.8492414094470474,0.08614576313978245,K
113,0.6969300873109018,0.6829835916456006,0.3726462276967485,0.5825827013799402,0.8596953607567109,0.07925410208859984,K
114,0.7201641267891911,0.7083449043139526,0.34328657443432675,0.6215416711172076,0.8704978226585488,0.07291377392151185,K
115,0.7423321800894579,0.7316773119688363,0.3147356934328987,0.6617839232754936,0.8816328053598906,0.06708067200779091,K
116,0.7633724426836979,0.7531431270113295,0.2869288829115849,0.7032067952611167,0.8930833920001461,0.061714218247167635,K
117,0.7832422878915283,0.7728916768504231,0.2598066172319762,0.74571583748789,0.904832026318519,0.05677708078739421,Omega
118,0.32896176091444185,0.2473253365921354,0.5598066172319762,0.2833720182453982,0.7781555426339263,0.2574862065725029,alpha
119,0.5503394501168855,0.2752778740589073,0.6291943625071383,0.2968871991279304,0.788754693412652,0.3741933220718056,r
120,0.5775607034906977,0.33325564413419473,0.6830558097924404,0.3152162595553111,0.7974181039650124,0.16668608896645132,r
