time,phase,state_variable,value
34,K,rigidity,0.6355679344536292
34,K,memory,0.6945149695895524
34,K,novelty,0.07070987936886686
35,K,potential,0.7601240839548992
35,K,connectedness,0.73978764392257
35,K,resilience,0.30464197156372685
35,K,rigidity,0.6762562548693706
35,K,memory,0.7059168308488759
35,K,novelty,0.0650530890193575
36,K,potential,0.7801809846590279
36,K,connectedness,0.7606046324087644
36,K,resilience,0.2770937995284178
36,K,rigidity,0.7180895096518526
36,K,memory,0.7176195456187613
36,K,novelty,0.059848841897808897
37,Omega,potential,0.7990458324009326
37,Omega,connectedness,0.7797562618160633
37,Omega,resilience,0.2502094812559331
37,Omega,rigidity,0.7609761040517361
37,Omega,memory,0.7296052331047753
37,Omega,novelty,0.05506093454598418
38,alpha,potential,0.3355992496083917
38,alpha,connectedness,0.24952200378114026
38,alpha,resilience,0.550209481255933
38,alpha,rigidity,0.28917091953965973
38,alpha,memory,0.6274605004701068
38,alpha,novelty,0.2769333194475621
39,r,potential,0.44002011507387107
39,r,connectedness,0.2856739473022487
39,r,resilience,0.6111650938385533
39,r,rigidity,0.28519188170835513
39,r,memory,0.6498473903562179
39,r,novelty,0.2310857648681849
40,r,potential,0.4671243805483384
40,r,connectedness,0.34282003151806884
40,r,resilience,0.6810351362541502
40,r,rigidity,0.30404698344184894
40,r,memory,0.6568542560644429
40,r,novelty,0.1642949921204828
41,r,potential,0.49450549184936204
41,r,connectedness,0.39539442899662336
41,r,resilience,0.6408276670592614
41,r,rigidity,0.32579367703666323
41,r,memory,0.6642718384421834
41,r,novelty,0.15115139275084416
42,r,potential,0.5220021709911822
42,r,connectedness,0.4437628746768935
42,r,resilience,0.6022967953999637
42,r,rigidity,0.3502006351438924
42,r,memory,0.6721018710070511
42,r,novelty,0.1390592813307766
43,r,potential,0.5494489204830664
43,r,connectedness,0.48826184470274203
43,r,resilience,0.5653083934734098
43,r,rigidity,0.3770550366025432
43,r,memory,0.6803436048142971
43,r,novelty,0.1279345388243145
44,r,potential,0.5766799489520029
44,r,connectedness,0.5292008971265226
44,r,resilience,0.5297390637009802
44,r,rigidity,0.40616108594450195
44,r,memory,0.6889938040485771
44,r,novelty,0.11769977571836934
45,K,potential,0.6035331693491619
45,K,connectedness,0.5668648253564008
45,K,resilience,0.49547528031034516
45,K,rigidity,0.437338651339104
45,K,memory,0.6980468015888146
45,K,novelty,0.1082837936608998
46,K,potential,0.6298540664620589
46,K,connectedness,0.6015156393278888
46,K,resilience,0.4624125995909607
46,K,rigidity,0.47042201150213786
46,K,memory,0.7074946125857455
46,K,novelty,0.09962109016802781
47,K,potential,0.6554992378186183
47,K,connectedness,0.6333943881816577
47,K,resilience,0.430454933329127
47,K,rigidity,0.505258702852129
47,K,memory,0.7173271011530248
47,K,novelty,0.09165140295458557
48,K,potential,0.6803394363927795
48,K,connectedness,0.6627228371271251
48,K,resilience,0.3995138803682401
48,K,rigidity,0.5417084588941209
48,K,memory,0.7275321926989164
48,K,novelty,0.08431929071821873
49,K,potential,0.7042619820377483
49,K,connectedness,0.6897050101569551
49,K,resilience,0.36950811164422415
49,K,rigidity,0.5796422344527534
49,K,memory,0.7380961224294826
49,K,novelty,0.07757374746076123
50,K,potential,0.7271724567340895
50,K,connectedness,0.7145286093443987
50,K,resilience,0.34036280441812955
50,K,rigidity,0.6189413079666953
50,K,memory,0.749003709280494
50,K,novelty,0.07136784766390034
51,K,potential,0.7489956509732433
51,K,connectedness,0.7373663205968468
51,K,resilience,0.31200912177012236
51,K,rigidity,0.6594964555995219
51,K,memory,0.7602386440450927
51,K,novelty,0.0656584198507883
52,K,potential,0.7696757792108485
52,K,connectedness,0.758377014949099
52,K,resilience,0.28438373373395587
52,K,rigidity,0.7012071914217223
52,K,memory,0.7717837807332554
52,K,novelty,0.06040574626272524
53,Omega,potential,0.7891760263626209
53,Omega,connectedness,0.7777068537531712
53,Omega,resilience,0.2574283767406825
53,Omega,rigidity,0.7439810683781467
53,Omega,memory,0.7836214211286947
53,Omega,novelty,0.05557328656170721
54,alpha,potential,0.33145393107230076
54,alpha,connectedness,0.24886619320101477
54,alpha,resilience,0.5574283767406825
54,alpha,rigidity,0.28271280598369575
54,alpha,memory,0.6739144221706774
54,alpha,novelty,0.3424585645087063
55,r,potential,0.4962806653725874
55,r,connectedness,0.2932129860525895
55,r,resilience,0.6061782308187331
55,r,rigidity,0.2668248636416081
55,r,memory,0.6813277320204761
55,r,novelty,0.36080627745948735
56,r,potential,0.5237791436930797
56,r,connectedness,0.3497559471683823
56,r,resilience,0.6830298084980487
56,r,rigidity,0.28606144073586914
56,r,memory,0.6891844191758724
56,r,novelty,0.16256101320790442
57,r,potential,0.5512169444488543
57,r,connectedness,0.40177547139491177
57,r,resilience,0.6430435256532485
57,r,rigidity,0.3081590916625893
57,r,memory,0.6974526733426052
57,r,novelty,0.14955613215127206
58,r,potential,0.5784283951549998
58,r,connectedness,0.4496334336833188
58,r,resilience,0.6047161454360321
58,r,rigidity,0.3328889305151719
58,r,memory,0.7061290992699302
58,r,novelty,0.1375916415791703
59,r,potential,0.605251783706675
59,r,connectedness,0.4936627589886533
59,r,resilience,0.5679149556361932
59,r,rigidity,0.3600403822595478
59,r,memory,0.7152078760255303
59,r,novelty,0.12658431025283667
60,r,potential,0.631533210529597
60,r,connectedness,0.534169738269561
60,r,resilience,0.5325178610203414
60,r,rigidity,0.3894197178643737
60,r,memory,0.7246808741834743
60,r,novelty,0.11645756543260974
61,K,potential,0.6571301021276524
61,K,connectedness,0.5714361592079962
61,K,resilience,0.4984125339737577
61,K,rigidity,0.4208487066208135
61,K,memory,0.7345378257153891
61,K,novelty,0.10714096019800096
62,K,potential,0.6819142165382414
62,K,connectedness,0.6057212664713565
62,K,resilience,0.4654956330909007
62,K,rigidity,0.4541633762767381
62,K,memory,0.7447665389634627
62,K,novelty,0.09856968338216088
63,K,potential,0.7057740104985819
63,K,connectedness,0.637263565153648
63,K,resilience,0.4336720842786722
63,K,rigidity,0.48921287236018873
63,K,memory,0.7553531491209414
63,K,novelty,0.090684108711588
64,K,potential,0.7286162867249482
64,K,connectedness,0.6662824799413561
64,K,resilience,0.4028544193714221
64,K,rigidity,0.5258584087569633
64,K,memory,0.7662823934218157
64,K,novelty,0.08342938001466096
65,K,potential,0.7503670920037988
65,K,connectedness,0.6929798815460476
65,K,resilience,0.37296216765675194
65,K,rigidity,0.5639723022419959
65,K,memory,0.7775378998018727
65,K,novelty,0.0767550296134881
66,K,potential,0.7709718871203706
66,K,connectedness,0.7175414910223639
66,K,resilience,0.34392129607925537
66,K,rigidity,0.603437084248226
66,K,memory,0.7891024781086783
66,K,novelty,0.07061462724440903
67,K,potential,0.7903950531233174
67,K,connectedness,0.7401381717405747
67,K,resilience,0.3156636942279586
67,K,rigidity,0.6441446836939576
67,K,memory,0.8009584039055281
67,K,novelty,0.06496545706485632
68,K,potential,0.808618831566683
68,K,connectedness,0.7609271180013287
68,K,resilience,0.28812670052476547
68,K,rigidity,0.6859956751840307
68,K,memory,0.8130876863790283
68,K,novelty,0.05976822049966782
69,Omega,potential,0.8256418174149487
69,Omega,connectedness,0.7800529485612224
69,Omega,resilience,0.2612526663178279
69,Omega,rigidity,0.728898587354898
69,Omega,memory,0.8254723136402525
69,Omega,novelty,0.054986762859694394
70,alpha,potential,0.34676956331427844
70,alpha,connectedness,0.24961694353959119
70,alpha,resilience,0.5612526663178279
70,alpha,rigidity,0.2769814631948612
70,alpha,memory,0.7099061897306171
70,alpha,novelty,0.2777420335449278
71,r,potential,0.5194219785411996
71,r,connectedness,0.29301699051634006
71,r,resilience,0.6119632555353156
71,r,rigidity,0.2598667777283482
71,r,memory,0.7105143284148006
71,r,novelty,0.3611476261820644
72,r,potential,0.5468804850836496
72,r,connectedness,0.3495756312750329
72,r,resilience,0.6855804055025134
72,r,rigidity,0.27909343744847503
72,r,memory,0.7187175356910553
72,r,novelty,0.16260609218124178
73,r,potential,0.574138729296665
73,r,connectedness,0.4016095807730303
73,r,resilience,0.6455883723838741
73,r,rigidity,0.3011819643909917
73,r,memory,0.7273296166305053
73,r,novelty,0.14959760480674245
74,r,potential,0.6010341086666753
74,r,connectedness,0.44948081431118786
74,r,resilience,0.607255701914726
74,r,rigidity,0.32590340917810706
74,r,memory,0.7363451282605055
74,r,novelty,0.13762979642220302
75,r,potential,0.6274112406441277
75,r,connectedness,0.49352234916629284
75,r,resilience,0.5704496450831098
75,r,rigidity,0.35304713838225316
75,r,memory,0.7457562968701674
75,r,novelty,0.1266194127084268
76,r,potential,0.6531255419774553
76,r,connectedness,0.5340405612329894
76,r,resilience,0.535048072798023
76,r,rigidity,0.3824193692500676
76,r,memory,0.7555531799998293
76,r,novelty,0.11648985969175266
77,K,potential,0.6780463245008075
77,K,connectedness,0.5713173163343502
77,K,resilience,0.5009386262957429
77,K,rigidity,0.41384182164845684
77,K,memory,0.7657238748673414
77,K,novelty,0.10717067091641244
78,K,potential,0.7020592701973003
78,K,connectedness,0.6056119310276022
78,K,resilience,0.46801793551364546
78,K,rigidity,0.44715047785497497
78,K,memory,0.7762547639203009
78,K,novelty,0.09859701724309944
79,K,potential,0.7250681958433071
79,K,connectedness,0.6371629765453941
79,K,resilience,0.4361908999941156
79,K,rigidity,0.48219444156497165
79,K,memory,0.7871307868579505
79,K,novelty,0.09070925586365147
80,K,potential,0.7469960696374893
80,K,connectedness,0.6661899384217626
80,K,resilience,0.40537002731614824
80,K,rigidity,0.5188348881781686
80,K,memory,0.7983357279025128
80,K,novelty,0.08345251539455936
81,K,potential,0.7677852932116889
81,K,connectedness,0.6928947433480216
81,K,resilience,0.37547482445241814
81,K,rigidity,0.5569440990623098
81,K,memory,0.8098525073006881
81,K,novelty,0.0767763141629946
82,K,potential,0.7873973072530371
82,K,connectedness,0.7174631638801798
82,K,resilience,0.34643123781778656
82,K,rigidity,0.5964045730757197
82,K,memory,0.8216634669094837
82,K,novelty,0.07063420902995504
83,K,potential,0.8058116139092445
83,K,connectedness,0.7400661107697655
83,K,resilience,0.3181711381139255
83,K,rigidity,0.6371082091680568
83,K,memory,0.8337506411181224
83,K,novelty,0.06498347230755863
84,K,potential,0.8230243321570491
84,K,connectedness,0.7608608219081843
84,K,resilience,0.29063184638637335
84,K,rigidity,0.6789555543730069
84,K,memory,0.8460960061004781
84,K,novelty,0.05978479452295393
85,Omega,potential,0.8390464130488432
85,Omega,connectedness,0.7799919561555295
85,Omega,resilience,0.2637556979970253
85,Omega,rigidity,0.721855111961561
85,Omega,memory,0.8586817022962108
85,Omega,novelty,0.05500201096111762
86,alpha,potential,0.35239949348051414
86,alpha,connectedness,0.24959742596976944
86,alpha,resilience,0.5637556979970253
86,alpha,rigidity,0.2743049425453932
86,alpha,memory,0.7384662639747412
86,alpha,novelty,0.33939392562024295
87,r,potential,0.5147843179074097
87,r,connectedness,0.2867252945029039
87,r,resilience,0.6081611121378085
87,r,rigidity,0.28269187248978367
87,r,memory,0.7508730531509074
87,r,novelty,0.18078966775909067
88,r,potential,0.5422602745412511
88,r,connectedness,0.3437872709426716
88,r,resilience,0.6812918316784728
88,r,rigidity,0.3016001723916306
88,r,memory,0.7590069572690261
88,r,novelty,0.1640531822643321
89,r,potential,0.5695638221527779
89,r,connectedness,0.39628428926725784
89,r,resilience,0.6411152077488348
89,r,rigidity,0.3233958083013298
89,r,memory,0.7675504146013178
89,r,novelty,0.15092892768318555
90,r,potential,0.5965315183640025
90,r,connectedness,0.4445815461258772
90,r,resilience,0.6026127137335675
90,r,rigidity,0.34784779333825305
90,r,memory,0.7764983873767778
90,r,novelty,0.1388546134685307
91,r,potential,0.6230065016198599
91,r,connectedness,0.489015022435807
91,r,resilience,0.5656504192395218
91,r,rigidity,0.37474361957222246
91,r,memory,0.7858434849010757
91,r,novelty,0.12774624439104826
92,r,potential,0.6488421356813767
92,r,connectedness,0.5298938206409425
92,r,resilience,0.5301051083049996
92,r,rigidity,0.4038877797074743
92,r,memory,0.7955761169362964
92,r,novelty,0.11752654483976438
93,K,potential,0.6739051977324154
93,K,connectedness,0.5675023149896671
93,K,resilience,0.4958634222452394
93,K,rigidity,0.435100407031906
93,K,memory,0.8056846949022826
93,K,novelty,0.10812442125258323
94,K,potential,0.6980784657745969
94,K,connectedness,0.6021021297904937
94,K,resilience,0.4628210710702597
94,K,rigidity,0.46821602417038316
94,K,memory,0.8161558718889015
94,K,novelty,0.09947446755237657
95,K,potential,0.7212626071281989
95,K,connectedness,0.6339339594072542
95,K,resilience,0.43088210798927873
95,K,rigidity,0.5030823919377821
95,K,memory,0.8269748109958245
95,K,novelty,0.09151651014818646
96,K,potential,0.7433773215837505
96,K,connectedness,0.6632192426546738
96,K,resilience,0.399958261954776
96,K,rigidity,0.5395594502837892
96,K,memory,0.8381254708195808
96,K,novelty,0.08419518933633155
97,K,potential,0.7643617443110097
97,K,connectedness,0.6901617032422999
97,K,resilience,0.36996832360303367
97,K,rigidity,0.5775183439621157
97,K,memory,0.849590896984246
97,K,novelty,0.07745957418942503
98,K,potential,0.7841741598069422
98,K,connectedness,0.7149487669829159
98,K,resilience,0.34083758031943057
98,K,rigidity,0.616840526146176
98,K,memory,0.86135350938135
98,K,novelty,0.07126280825427103
99,K,potential,0.8027911149657242
99,K,connectedness,0.73775286562428255
99,K,resilience,0.31249729649851576
99,K,rigidity,0.6574169337555116
99,K,memory,0.8733953761058358
99,K,novelty,0.06556178359392936
100,K,potential,0.8202060444424837
100,K,connectedness,0.75873263637434
100,K,resilience,0.2848842353832742
100,K,rigidity,0.6991472287561002
100,K,memory,0.8856984667724731
100,K,novelty,0.06031684090641501
101,Omega,potential,0.8364275342437585
101,Omega,connectedness,0.7780340254643928
101,Omega,resilience,0.2579402191572518
101,Omega,rigidity,0.7419391001566419
101,Omega,memory,0.8982448797861294
101,Omega,novelty,0.055491493633901795
102,alpha,potential,0.3512995643823785
102,alpha,connectedness,0.2489708881486057
102,alpha,resilience,0.5579402191572518
102,alpha,rigidity,0.2819368580595239
102,alpha,memory,0.7724905966160713
102,alpha,novelty,0.41658321605063975
103,r,potential,0.43167558400149136
103,r,connectedness,0.2702006573333255
103,r,resilience,0.613529151329647
103,r,rigidity,0.2936679073324541
103,r,memory,0.7726729662375419
103,r,novelty,0.2671543169952929
104,r,potential,0.4586620791611223
104,r,connectedness,0.32858460474665946
104,r,resilience,0.687168523849339
104,r,rigidity,0.3117400605935204
104,r,memory,0.7795528974249587
104,r,novelty,0.16785384881333515
105,r,potential,0.48597410855420137
105,r,connectedness,0.3822978363669267
105,r,resilience,0.64650708689471
105,r,rigidity,0.33276644159370133
105,r,memory,0.7868425090532717
105,r,novelty,0.15442554090826832
106,r,potential,0.513452468734808
106,r,connectedness,0.4317140094575726
106,r,resilience,0.6075585648964512
106,r,rigidity,0.3565107121138678
106,r,memory,0.7945442960842938
106,r,novelty,0.14207149763560684
107,r,potential,0.5409325621541513
107,r,connectedness,0.4771768887009668
107,r,resilience,0.5701859246580532
107,r,rigidity,0.382755440992421
107,r,memory,0.802658284516606
107,r,novelty,0.13070577782475828
108,r,potential,0.5682482599432559
108,r,connectedness,0.5190027376048895
108,r,resilience,0.5342630956387271
108,r,rigidity,0.4113005915606899
108,r,memory,0.8111820084157548
108,r,novelty,0.12024931559877763
109,K,potential,0.5952358991948749
109,K,connectedness,0.5574825185964983
109,K,resilience,0.499674092940947
109,K,rigidity,0.4419621300834973
109,K,memory,0.8201105469036779
109,K,novelty,0.11062937035087542
110,K,potential,0.6217382127803747
110,K,connectedness,0.5928839171087785
110,K,resilience,0.4663122104589893
110,K,rigidity,0.4745707455244801
110,K,memory,0.8294366200953835
110,K,novelty,0.10177902072280537
111,K,potential,0.6476079916107691
111,K,connectedness,0.6254532037400763
111,K,resilience,0.43407927857558826
111,K,rigidity,0.5089706717301843
111,K,memory,0.839150739969545
111,K,novelty,0.09363669906498093
112,K,potential,0.672711298500159
112,K,connectedness,0.6554169474408702
112,K,resilience,0.4028849812428592
112,K,rigidity,0.5450186038394321
112,K,memory,0.8492414094470474
112,K,novelty,0.08614576313978245
113,K,potential,0.6969300873109018
113,K,connectedness,0.6829835916456006
113,K,resilience,0.3726462276967485
113,K,rigidity,0.5825827013799402
113,K,memory,0.8596953607567109
113,K,novelty,0.07925410208859984
114,K,potential,0.7201641267891911
114,K,connectedness,0.7083449043139526
114,K,resilience,0.34328657443432675
114,K,rigidity,0.6215416711172076
114,K,memory,0.8704978226585488
114,K,novelty,0.07291377392151185
115,K,potential,0.7423321800894579
115,K,connectedness,0.7316773119688363
115,K,resilience,0.3147356934328987
115,K,rigidity,0.6617839232754936
115,K,memory,0.8816328053598906
115,K,novelty,0.06708067200779091
116,K,potential,0.7633724426836979
116,K,connectedness,0.7531431270113295
116,K,resilience,0.2869288829115849
116,K,rigidity,0.7032067952611167
116,K,memory,0.8930833920001461
116,K,novelty,0.061714218247167635
117,Omega,potential,0.7832422878915283
117,Omega,connectedness,0.7728916768504231
117,Omega,resilience,0.2598066172319762
117,Omega,rigidity,0.74571583748789
117,Omega,memory,0.904832026318519
117,Omega,novelty,0.05677708078739421
118,alpha,potential,0.32896176091444185
118,alpha,connectedness,0.2473253365921354
118,alpha,resilience,0.5598066172319762
118,alpha,rigidity,0.2833720182453982
118,alpha,memory,0.7781555426339263
118,alpha,novelty,0.2574862065725029
119,r,potential,0.5503394501168855
119,r,connectedness,0.2752778740589073
119,r,resilience,0.6291943625071383
119,r,rigidity,0.2968871991279304
119,r,memory,0.788754693412652
119,r,novelty,0.3741933220718056
120,r,potential,0.5775607034906977
120,r,connectedness,0.33325564413419473
120,r,resilience,0.6830558097924404
120,r,rigidity,0.3152162595553111
120,r,memory,0.7974181039650124
120,r,novelty,0.16668608896645132
