simulation_id,pathway_id,pathway,rank,transformation_value,winner
8,TP006,Public Health Prevention Transformation,4,7.25088,Climate-Resilient Urban Redesign
8,TP004,Institutional Governance Reform,5,7.14617,Climate-Resilient Urban Redesign
8,TP003,Regional Food System Reconfiguration,6,6.99344,Climate-Resilient Urban Redesign
9,TP001,Energy System Transition,1,7.71213,Energy System Transition
9,TP005,Watershed Restoration and Land-Use Transition,2,7.43369,Energy System Transition
9,TP006,Public Health Prevention Transformation,3,7.23987,Energy System Transition
9,TP004,Institutional Governance Reform,4,7.21509,Energy System Transition
9,TP003,Regional Food System Reconfiguration,5,7.05054,Energy System Transition
9,TP002,Climate-Resilient Urban Redesign,6,6.80246,Energy System Transition
10,TP004,Institutional Governance Reform,1,7.80397,Institutional Governance Reform
10,TP002,Climate-Resilient Urban Redesign,2,7.3564,Institutional Governance Reform
10,TP001,Energy System Transition,3,7.32773,Institutional Governance Reform
10,TP005,Watershed Restoration and Land-Use Transition,4,7.18631,Institutional Governance Reform
10,TP006,Public Health Prevention Transformation,5,7.15678,Institutional Governance Reform
10,TP003,Regional Food System Reconfiguration,6,7.07853,Institutional Governance Reform
11,TP004,Institutional Governance Reform,1,7.95943,Institutional Governance Reform
11,TP002,Climate-Resilient Urban Redesign,2,7.6833,Institutional Governance Reform
11,TP001,Energy System Transition,3,7.57524,Institutional Governance Reform
11,TP003,Regional Food System Reconfiguration,4,7.39307,Institutional Governance Reform
11,TP005,Watershed Restoration and Land-Use Transition,5,7.3311,Institutional Governance Reform
11,TP006,Public Health Prevention Transformation,6,6.77821,Institutional Governance Reform
12,TP003,Regional Food System Reconfiguration,1,7.5283,Regional Food System Reconfiguration
12,TP002,Climate-Resilient Urban Redesign,2,7.43852,Regional Food System Reconfiguration
12,TP004,Institutional Governance Reform,3,7.35042,Regional Food System Reconfiguration
12,TP005,Watershed Restoration and Land-Use Transition,4,7.30249,Regional Food System Reconfiguration
12,TP006,Public Health Prevention Transformation,5,7.213,Regional Food System Reconfiguration
12,TP001,Energy System Transition,6,7.21015,Regional Food System Reconfiguration
13,TP002,Climate-Resilient Urban Redesign,1,7.66241,Climate-Resilient Urban Redesign
13,TP005,Watershed Restoration and Land-Use Transition,2,7.63542,Climate-Resilient Urban Redesign
13,TP004,Institutional Governance Reform,3,7.49158,Climate-Resilient Urban Redesign
13,TP003,Regional Food System Reconfiguration,4,7.30473,Climate-Resilient Urban Redesign
13,TP001,Energy System Transition,5,7.14624,Climate-Resilient Urban Redesign
13,TP006,Public Health Prevention Transformation,6,7.02792,Climate-Resilient Urban Redesign
14,TP002,Climate-Resilient Urban Redesign,1,7.5662,Climate-Resilient Urban Redesign
14,TP005,Watershed Restoration and Land-Use Transition,2,7.48562,Climate-Resilient Urban Redesign
14,TP006,Public Health Prevention Transformation,3,7.48476,Climate-Resilient Urban Redesign
14,TP003,Regional Food System Reconfiguration,4,7.17565,Climate-Resilient Urban Redesign
14,TP001,Energy System Transition,5,7.09761,Climate-Resilient Urban Redesign
14,TP004,Institutional Governance Reform,6,6.81689,Climate-Resilient Urban Redesign
15,TP001,Energy System Transition,1,7.8202,Energy System Transition
15,TP002,Climate-Resilient Urban Redesign,2,7.64425,Energy System Transition
15,TP005,Watershed Restoration and Land-Use Transition,3,7.44291,Energy System Transition
15,TP004,Institutional Governance Reform,4,7.4364,Energy System Transition
15,TP003,Regional Food System Reconfiguration,5,6.95347,Energy System Transition
15,TP006,Public Health Prevention Transformation,6,6.90872,Energy System Transition
16,TP001,Energy System Transition,1,7.77729,Energy System Transition
16,TP002,Climate-Resilient Urban Redesign,2,7.7186,Energy System Transition
16,TP003,Regional Food System Reconfiguration,3,7.44056,Energy System Transition
16,TP004,Institutional Governance Reform,4,7.35752,Energy System Transition
16,TP006,Public Health Prevention Transformation,5,7.28681,Energy System Transition
16,TP005,Watershed Restoration and Land-Use Transition,6,6.97826,Energy System Transition
17,TP002,Climate-Resilient Urban Redesign,1,7.62158,Climate-Resilient Urban Redesign
17,TP006,Public Health Prevention Transformation,2,7.51098,Climate-Resilient Urban Redesign
17,TP005,Watershed Restoration and Land-Use Transition,3,7.44324,Climate-Resilient Urban Redesign
17,TP004,Institutional Governance Reform,4,7.24426,Climate-Resilient Urban Redesign
17,TP001,Energy System Transition,5,7.17007,Climate-Resilient Urban Redesign
17,TP003,Regional Food System Reconfiguration,6,6.81841,Climate-Resilient Urban Redesign
18,TP001,Energy System Transition,1,7.71426,Energy System Transition
18,TP002,Climate-Resilient Urban Redesign,2,7.71022,Energy System Transition
18,TP003,Regional Food System Reconfiguration,3,7.52231,Energy System Transition
18,TP004,Institutional Governance Reform,4,7.43231,Energy System Transition
18,TP006,Public Health Prevention Transformation,5,7.41456,Energy System Transition
18,TP005,Watershed Restoration and Land-Use Transition,6,7.31258,Energy System Transition
19,TP005,Watershed Restoration and Land-Use Transition,1,7.68665,Watershed Restoration and Land-Use Transition
19,TP006,Public Health Prevention Transformation,2,7.58205,Watershed Restoration and Land-Use Transition
19,TP001,Energy System Transition,3,7.31576,Watershed Restoration and Land-Use Transition
19,TP003,Regional Food System Reconfiguration,4,7.21674,Watershed Restoration and Land-Use Transition
19,TP004,Institutional Governance Reform,5,7.18872,Watershed Restoration and Land-Use Transition
19,TP002,Climate-Resilient Urban Redesign,6,6.81322,Watershed Restoration and Land-Use Transition
20,TP003,Regional Food System Reconfiguration,1,7.8391,Regional Food System Reconfiguration
20,TP005,Watershed Restoration and Land-Use Transition,2,7.40557,Regional Food System Reconfiguration
20,TP006,Public Health Prevention Transformation,3,7.30102,Regional Food System Reconfiguration
20,TP002,Climate-Resilient Urban Redesign,4,7.20668,Regional Food System Reconfiguration
20,TP004,Institutional Governance Reform,5,7.17051,Regional Food System Reconfiguration
20,TP001,Energy System Transition,6,7.1581,Regional Food System Reconfiguration
21,TP002,Climate-Resilient Urban Redesign,1,8.03816,Climate-Resilient Urban Redesign
21,TP003,Regional Food System Reconfiguration,2,7.76621,Climate-Resilient Urban Redesign
21,TP004,Institutional Governance Reform,3,7.6128,Climate-Resilient Urban Redesign
21,TP006,Public Health Prevention Transformation,4,7.20587,Climate-Resilient Urban Redesign
21,TP005,Watershed Restoration and Land-Use Transition,5,7.11622,Climate-Resilient Urban Redesign
21,TP001,Energy System Transition,6,7.11465,Climate-Resilient Urban Redesign
22,TP002,Climate-Resilient Urban Redesign,1,7.478,Climate-Resilient Urban Redesign
22,TP005,Watershed Restoration and Land-Use Transition,2,7.46595,Climate-Resilient Urban Redesign
22,TP004,Institutional Governance Reform,3,7.33469,Climate-Resilient Urban Redesign
22,TP001,Energy System Transition,4,7.15899,Climate-Resilient Urban Redesign
22,TP006,Public Health Prevention Transformation,5,7.07445,Climate-Resilient Urban Redesign
22,TP003,Regional Food System Reconfiguration,6,6.77219,Climate-Resilient Urban Redesign
23,TP002,Climate-Resilient Urban Redesign,1,7.6173,Climate-Resilient Urban Redesign
23,TP004,Institutional Governance Reform,2,7.45567,Climate-Resilient Urban Redesign
23,TP006,Public Health Prevention Transformation,3,7.38188,Climate-Resilient Urban Redesign
23,TP005,Watershed Restoration and Land-Use Transition,4,7.31885,Climate-Resilient Urban Redesign
23,TP003,Regional Food System Reconfiguration,5,7.04451,Climate-Resilient Urban Redesign
23,TP001,Energy System Transition,6,6.70881,Climate-Resilient Urban Redesign
24,TP004,Institutional Governance Reform,1,7.46948,Institutional Governance Reform
24,TP005,Watershed Restoration and Land-Use Transition,2,7.43487,Institutional Governance Reform
24,TP003,Regional Food System Reconfiguration,3,7.43029,Institutional Governance Reform
24,TP006,Public Health Prevention Transformation,4,7.3555,Institutional Governance Reform
24,TP002,Climate-Resilient Urban Redesign,5,7.28484,Institutional Governance Reform
24,TP001,Energy System Transition,6,7.04156,Institutional Governance Reform
25,TP002,Climate-Resilient Urban Redesign,1,7.96617,Climate-Resilient Urban Redesign
25,TP006,Public Health Prevention Transformation,2,7.81812,Climate-Resilient Urban Redesign
25,TP005,Watershed Restoration and Land-Use Transition,3,7.09441,Climate-Resilient Urban Redesign
25,TP001,Energy System Transition,4,7.08174,Climate-Resilient Urban Redesign
25,TP003,Regional Food System Reconfiguration,5,7.07201,Climate-Resilient Urban Redesign
25,TP004,Institutional Governance Reform,6,6.98302,Climate-Resilient Urban Redesign
26,TP004,Institutional Governance Reform,1,7.70266,Institutional Governance Reform
26,TP006,Public Health Prevention Transformation,2,7.66423,Institutional Governance Reform
26,TP002,Climate-Resilient Urban Redesign,3,7.49298,Institutional Governance Reform
26,TP005,Watershed Restoration and Land-Use Transition,4,7.38303,Institutional Governance Reform
26,TP003,Regional Food System Reconfiguration,5,7.2304,Institutional Governance Reform
26,TP001,Energy System Transition,6,7.05953,Institutional Governance Reform
27,TP003,Regional Food System Reconfiguration,1,7.49493,Regional Food System Reconfiguration
27,TP001,Energy System Transition,2,7.41494,Regional Food System Reconfiguration
27,TP004,Institutional Governance Reform,3,7.34632,Regional Food System Reconfiguration
27,TP006,Public Health Prevention Transformation,4,7.24237,Regional Food System Reconfiguration
27,TP005,Watershed Restoration and Land-Use Transition,5,7.232,Regional Food System Reconfiguration
27,TP002,Climate-Resilient Urban Redesign,6,7.17906,Regional Food System Reconfiguration
28,TP005,Watershed Restoration and Land-Use Transition,1,7.911,Watershed Restoration and Land-Use Transition
28,TP002,Climate-Resilient Urban Redesign,2,7.74743,Watershed Restoration and Land-Use Transition
28,TP006,Public Health Prevention Transformation,3,7.62421,Watershed Restoration and Land-Use Transition
28,TP003,Regional Food System Reconfiguration,4,7.47563,Watershed Restoration and Land-Use Transition
28,TP004,Institutional Governance Reform,5,7.4664,Watershed Restoration and Land-Use Transition
28,TP001,Energy System Transition,6,7.35705,Watershed Restoration and Land-Use Transition
29,TP002,Climate-Resilient Urban Redesign,1,7.51638,Climate-Resilient Urban Redesign
29,TP001,Energy System Transition,2,7.35441,Climate-Resilient Urban Redesign
29,TP004,Institutional Governance Reform,3,7.32431,Climate-Resilient Urban Redesign
29,TP003,Regional Food System Reconfiguration,4,7.28207,Climate-Resilient Urban Redesign
29,TP005,Watershed Restoration and Land-Use Transition,5,7.10794,Climate-Resilient Urban Redesign
29,TP006,Public Health Prevention Transformation,6,7.04951,Climate-Resilient Urban Redesign
30,TP002,Climate-Resilient Urban Redesign,1,7.68593,Climate-Resilient Urban Redesign
30,TP004,Institutional Governance Reform,2,7.67614,Climate-Resilient Urban Redesign
30,TP006,Public Health Prevention Transformation,3,7.44541,Climate-Resilient Urban Redesign
30,TP001,Energy System Transition,4,7.3792,Climate-Resilient Urban Redesign
30,TP003,Regional Food System Reconfiguration,5,7.05989,Climate-Resilient Urban Redesign
30,TP005,Watershed Restoration and Land-Use Transition,6,6.98482,Climate-Resilient Urban Redesign
31,TP002,Climate-Resilient Urban Redesign,1,7.55368,Climate-Resilient Urban Redesign
31,TP001,Energy System Transition,2,7.50403,Climate-Resilient Urban Redesign
31,TP006,Public Health Prevention Transformation,3,7.40766,Climate-Resilient Urban Redesign
31,TP003,Regional Food System Reconfiguration,4,7.34607,Climate-Resilient Urban Redesign
31,TP005,Watershed Restoration and Land-Use Transition,5,7.31262,Climate-Resilient Urban Redesign
31,TP004,Institutional Governance Reform,6,6.85585,Climate-Resilient Urban Redesign
32,TP003,Regional Food System Reconfiguration,1,7.56584,Regional Food System Reconfiguration
32,TP001,Energy System Transition,2,7.52834,Regional Food System Reconfiguration
32,TP006,Public Health Prevention Transformation,3,7.4596,Regional Food System Reconfiguration
32,TP004,Institutional Governance Reform,4,7.4322,Regional Food System Reconfiguration
32,TP002,Climate-Resilient Urban Redesign,5,7.35462,Regional Food System Reconfiguration
32,TP005,Watershed Restoration and Land-Use Transition,6,7.33272,Regional Food System Reconfiguration
33,TP002,Climate-Resilient Urban Redesign,1,7.66487,Climate-Resilient Urban Redesign
33,TP001,Energy System Transition,2,7.57451,Climate-Resilient Urban Redesign
33,TP006,Public Health Prevention Transformation,3,7.42634,Climate-Resilient Urban Redesign
33,TP005,Watershed Restoration and Land-Use Transition,4,7.33286,Climate-Resilient Urban Redesign
33,TP004,Institutional Governance Reform,5,7.08537,Climate-Resilient Urban Redesign
33,TP003,Regional Food System Reconfiguration,6,6.81168,Climate-Resilient Urban Redesign
34,TP002,Climate-Resilient Urban Redesign,1,7.63615,Climate-Resilient Urban Redesign
34,TP004,Institutional Governance Reform,2,7.54604,Climate-Resilient Urban Redesign
34,TP003,Regional Food System Reconfiguration,3,7.15063,Climate-Resilient Urban Redesign
34,TP006,Public Health Prevention Transformation,4,7.10015,Climate-Resilient Urban Redesign
34,TP001,Energy System Transition,5,7.04046,Climate-Resilient Urban Redesign
34,TP005,Watershed Restoration and Land-Use Transition,6,6.83843,Climate-Resilient Urban Redesign
35,TP005,Watershed Restoration and Land-Use Transition,1,7.75709,Watershed Restoration and Land-Use Transition
35,TP004,Institutional Governance Reform,2,7.74601,Watershed Restoration and Land-Use Transition
35,TP002,Climate-Resilient Urban Redesign,3,7.60925,Watershed Restoration and Land-Use Transition
35,TP001,Energy System Transition,4,7.38494,Watershed Restoration and Land-Use Transition
35,TP003,Regional Food System Reconfiguration,5,7.08866,Watershed Restoration and Land-Use Transition
35,TP006,Public Health Prevention Transformation,6,7.08842,Watershed Restoration and Land-Use Transition
36,TP006,Public Health Prevention Transformation,1,7.74672,Public Health Prevention Transformation
36,TP002,Climate-Resilient Urban Redesign,2,7.70624,Public Health Prevention Transformation
36,TP004,Institutional Governance Reform,3,7.64821,Public Health Prevention Transformation
36,TP003,Regional Food System Reconfiguration,4,7.20346,Public Health Prevention Transformation
36,TP005,Watershed Restoration and Land-Use Transition,5,7.08403,Public Health Prevention Transformation
36,TP001,Energy System Transition,6,7.07685,Public Health Prevention Transformation
37,TP001,Energy System Transition,1,7.48408,Energy System Transition
37,TP006,Public Health Prevention Transformation,2,7.47887,Energy System Transition
37,TP002,Climate-Resilient Urban Redesign,3,7.45198,Energy System Transition
37,TP004,Institutional Governance Reform,4,7.35067,Energy System Transition
37,TP005,Watershed Restoration and Land-Use Transition,5,7.02567,Energy System Transition
37,TP003,Regional Food System Reconfiguration,6,6.67978,Energy System Transition
38,TP002,Climate-Resilient Urban Redesign,1,7.83943,Climate-Resilient Urban Redesign
38,TP004,Institutional Governance Reform,2,7.63303,Climate-Resilient Urban Redesign
38,TP006,Public Health Prevention Transformation,3,7.63261,Climate-Resilient Urban Redesign
38,TP003,Regional Food System Reconfiguration,4,7.46777,Climate-Resilient Urban Redesign
38,TP001,Energy System Transition,5,7.40112,Climate-Resilient Urban Redesign
38,TP005,Watershed Restoration and Land-Use Transition,6,7.3282,Climate-Resilient Urban Redesign
39,TP001,Energy System Transition,1,7.62147,Energy System Transition
39,TP006,Public Health Prevention Transformation,2,7.60185,Energy System Transition
39,TP002,Climate-Resilient Urban Redesign,3,7.60074,Energy System Transition
39,TP005,Watershed Restoration and Land-Use Transition,4,7.59003,Energy System Transition
39,TP004,Institutional Governance Reform,5,7.3469,Energy System Transition
39,TP003,Regional Food System Reconfiguration,6,7.04082,Energy System Transition
40,TP002,Climate-Resilient Urban Redesign,1,7.55119,Climate-Resilient Urban Redesign
40,TP006,Public Health Prevention Transformation,2,7.36979,Climate-Resilient Urban Redesign
40,TP004,Institutional Governance Reform,3,7.31813,Climate-Resilient Urban Redesign
40,TP001,Energy System Transition,4,7.29684,Climate-Resilient Urban Redesign
40,TP003,Regional Food System Reconfiguration,5,7.24558,Climate-Resilient Urban Redesign
40,TP005,Watershed Restoration and Land-Use Transition,6,7.15927,Climate-Resilient Urban Redesign
41,TP005,Watershed Restoration and Land-Use Transition,1,8.03323,Watershed Restoration and Land-Use Transition
41,TP001,Energy System Transition,2,7.65329,Watershed Restoration and Land-Use Transition
41,TP003,Regional Food System Reconfiguration,3,7.53882,Watershed Restoration and Land-Use Transition
41,TP002,Climate-Resilient Urban Redesign,4,7.3641,Watershed Restoration and Land-Use Transition
41,TP004,Institutional Governance Reform,5,7.35677,Watershed Restoration and Land-Use Transition
41,TP006,Public Health Prevention Transformation,6,7.10268,Watershed Restoration and Land-Use Transition
42,TP005,Watershed Restoration and Land-Use Transition,1,7.90295,Watershed Restoration and Land-Use Transition
42,TP006,Public Health Prevention Transformation,2,7.63985,Watershed Restoration and Land-Use Transition
42,TP004,Institutional Governance Reform,3,7.16356,Watershed Restoration and Land-Use Transition
42,TP001,Energy System Transition,4,7.13371,Watershed Restoration and Land-Use Transition
42,TP002,Climate-Resilient Urban Redesign,5,6.94081,Watershed Restoration and Land-Use Transition
42,TP003,Regional Food System Reconfiguration,6,6.73028,Watershed Restoration and Land-Use Transition
43,TP002,Climate-Resilient Urban Redesign,1,7.46066,Climate-Resilient Urban Redesign
43,TP001,Energy System Transition,2,7.43776,Climate-Resilient Urban Redesign
43,TP005,Watershed Restoration and Land-Use Transition,3,7.36242,Climate-Resilient Urban Redesign
43,TP004,Institutional Governance Reform,4,7.07708,Climate-Resilient Urban Redesign
43,TP003,Regional Food System Reconfiguration,5,7.06888,Climate-Resilient Urban Redesign
43,TP006,Public Health Prevention Transformation,6,6.94563,Climate-Resilient Urban Redesign
44,TP002,Climate-Resilient Urban Redesign,1,7.93328,Climate-Resilient Urban Redesign
44,TP006,Public Health Prevention Transformation,2,7.45302,Climate-Resilient Urban Redesign
44,TP001,Energy System Transition,3,7.31527,Climate-Resilient Urban Redesign
44,TP004,Institutional Governance Reform,4,7.3098,Climate-Resilient Urban Redesign
44,TP003,Regional Food System Reconfiguration,5,6.95001,Climate-Resilient Urban Redesign
44,TP005,Watershed Restoration and Land-Use Transition,6,6.78732,Climate-Resilient Urban Redesign
45,TP002,Climate-Resilient Urban Redesign,1,7.99264,Climate-Resilient Urban Redesign
45,TP004,Institutional Governance Reform,2,7.78719,Climate-Resilient Urban Redesign
45,TP001,Energy System Transition,3,7.64029,Climate-Resilient Urban Redesign
45,TP006,Public Health Prevention Transformation,4,7.51745,Climate-Resilient Urban Redesign
45,TP005,Watershed Restoration and Land-Use Transition,5,7.38004,Climate-Resilient Urban Redesign
45,TP003,Regional Food System Reconfiguration,6,6.83464,Climate-Resilient Urban Redesign
46,TP004,Institutional Governance Reform,1,7.7147,Institutional Governance Reform
46,TP006,Public Health Prevention Transformation,2,7.53868,Institutional Governance Reform
46,TP003,Regional Food System Reconfiguration,3,7.32168,Institutional Governance Reform
46,TP005,Watershed Restoration and Land-Use Transition,4,7.3048,Institutional Governance Reform
46,TP001,Energy System Transition,5,7.25952,Institutional Governance Reform
46,TP002,Climate-Resilient Urban Redesign,6,7.20768,Institutional Governance Reform
47,TP004,Institutional Governance Reform,1,7.61774,Institutional Governance Reform
47,TP003,Regional Food System Reconfiguration,2,7.52381,Institutional Governance Reform
47,TP002,Climate-Resilient Urban Redesign,3,7.44916,Institutional Governance Reform
47,TP001,Energy System Transition,4,7.40732,Institutional Governance Reform
47,TP006,Public Health Prevention Transformation,5,7.17824,Institutional Governance Reform
47,TP005,Watershed Restoration and Land-Use Transition,6,7.167,Institutional Governance Reform
48,TP006,Public Health Prevention Transformation,1,7.72911,Public Health Prevention Transformation
48,TP004,Institutional Governance Reform,2,7.45797,Public Health Prevention Transformation
48,TP001,Energy System Transition,3,7.4289,Public Health Prevention Transformation
48,TP002,Climate-Resilient Urban Redesign,4,7.21858,Public Health Prevention Transformation
48,TP005,Watershed Restoration and Land-Use Transition,5,7.21682,Public Health Prevention Transformation
48,TP003,Regional Food System Reconfiguration,6,7.04351,Public Health Prevention Transformation
49,TP005,Watershed Restoration and Land-Use Transition,1,7.43291,Watershed Restoration and Land-Use Transition
49,TP002,Climate-Resilient Urban Redesign,2,7.43201,Watershed Restoration and Land-Use Transition
49,TP004,Institutional Governance Reform,3,7.19812,Watershed Restoration and Land-Use Transition
49,TP001,Energy System Transition,4,7.19738,Watershed Restoration and Land-Use Transition
49,TP003,Regional Food System Reconfiguration,5,7.04866,Watershed Restoration and Land-Use Transition
49,TP006,Public Health Prevention Transformation,6,7.03543,Watershed Restoration and Land-Use Transition
50,TP002,Climate-Resilient Urban Redesign,1,7.73575,Climate-Resilient Urban Redesign
50,TP006,Public Health Prevention Transformation,2,7.59382,Climate-Resilient Urban Redesign
50,TP004,Institutional Governance Reform,3,7.53724,Climate-Resilient Urban Redesign
50,TP001,Energy System Transition,4,7.34495,Climate-Resilient Urban Redesign
50,TP005,Watershed Restoration and Land-Use Transition,5,7.27983,Climate-Resilient Urban Redesign
50,TP003,Regional Food System Reconfiguration,6,7.00758,Climate-Resilient Urban Redesign
51,TP005,Watershed Restoration and Land-Use Transition,1,7.76511,Watershed Restoration and Land-Use Transition
51,TP006,Public Health Prevention Transformation,2,7.62612,Watershed Restoration and Land-Use Transition
51,TP001,Energy System Transition,3,7.61174,Watershed Restoration and Land-Use Transition
51,TP002,Climate-Resilient Urban Redesign,4,7.57136,Watershed Restoration and Land-Use Transition
51,TP003,Regional Food System Reconfiguration,5,7.35816,Watershed Restoration and Land-Use Transition
51,TP004,Institutional Governance Reform,6,7.33928,Watershed Restoration and Land-Use Transition
52,TP006,Public Health Prevention Transformation,1,7.56867,Public Health Prevention Transformation
52,TP002,Climate-Resilient Urban Redesign,2,7.55382,Public Health Prevention Transformation
52,TP005,Watershed Restoration and Land-Use Transition,3,7.51621,Public Health Prevention Transformation
52,TP003,Regional Food System Reconfiguration,4,7.4671,Public Health Prevention Transformation
52,TP004,Institutional Governance Reform,5,7.25161,Public Health Prevention Transformation
52,TP001,Energy System Transition,6,7.00718,Public Health Prevention Transformation
53,TP005,Watershed Restoration and Land-Use Transition,1,7.61876,Watershed Restoration and Land-Use Transition
53,TP004,Institutional Governance Reform,2,7.44435,Watershed Restoration and Land-Use Transition
53,TP002,Climate-Resilient Urban Redesign,3,7.42725,Watershed Restoration and Land-Use Transition
53,TP006,Public Health Prevention Transformation,4,7.38756,Watershed Restoration and Land-Use Transition
53,TP003,Regional Food System Reconfiguration,5,7.32089,Watershed Restoration and Land-Use Transition
53,TP001,Energy System Transition,6,7.30353,Watershed Restoration and Land-Use Transition
54,TP004,Institutional Governance Reform,1,7.64479,Institutional Governance Reform
54,TP002,Climate-Resilient Urban Redesign,2,7.5888,Institutional Governance Reform
54,TP005,Watershed Restoration and Land-Use Transition,3,7.56148,Institutional Governance Reform
54,TP001,Energy System Transition,4,7.35857,Institutional Governance Reform
54,TP006,Public Health Prevention Transformation,5,7.26308,Institutional Governance Reform
54,TP003,Regional Food System Reconfiguration,6,6.59003,Institutional Governance Reform
55,TP006,Public Health Prevention Transformation,1,7.63763,Public Health Prevention Transformation
55,TP002,Climate-Resilient Urban Redesign,2,7.59418,Public Health Prevention Transformation
55,TP004,Institutional Governance Reform,3,7.39453,Public Health Prevention Transformation
55,TP005,Watershed Restoration and Land-Use Transition,4,7.33738,Public Health Prevention Transformation
55,TP001,Energy System Transition,5,7.14619,Public Health Prevention Transformation
55,TP003,Regional Food System Reconfiguration,6,6.82699,Public Health Prevention Transformation
56,TP005,Watershed Restoration and Land-Use Transition,1,7.59942,Watershed Restoration and Land-Use Transition
56,TP002,Climate-Resilient Urban Redesign,2,7.54732,Watershed Restoration and Land-Use Transition
56,TP001,Energy System Transition,3,7.39768,Watershed Restoration and Land-Use Transition
56,TP006,Public Health Prevention Transformation,4,7.37048,Watershed Restoration and Land-Use Transition
56,TP004,Institutional Governance Reform,5,7.32251,Watershed Restoration and Land-Use Transition
56,TP003,Regional Food System Reconfiguration,6,7.07821,Watershed Restoration and Land-Use Transition
