simulation_id,strategy_id,strategy,rank,resilience_value,winner
16,URB006,Anti-Displacement Climate Adaptation Framework,2,7.40178,Green-Blue Stormwater and Floodplain Network
16,URB005,Community Resilience Hub Network,3,7.27638,Green-Blue Stormwater and Floodplain Network
16,URB003,Critical Service Microgrid and Water Backup Program,4,7.20904,Green-Blue Stormwater and Floodplain Network
16,URB001,Heat-Resilient Housing Retrofit Program,5,7.12557,Green-Blue Stormwater and Floodplain Network
16,URB004,Transit Access and Evacuation Equity Plan,6,6.71145,Green-Blue Stormwater and Floodplain Network
17,URB006,Anti-Displacement Climate Adaptation Framework,1,7.79581,Anti-Displacement Climate Adaptation Framework
17,URB002,Green-Blue Stormwater and Floodplain Network,2,7.77943,Anti-Displacement Climate Adaptation Framework
17,URB005,Community Resilience Hub Network,3,7.67466,Anti-Displacement Climate Adaptation Framework
17,URB001,Heat-Resilient Housing Retrofit Program,4,7.52028,Anti-Displacement Climate Adaptation Framework
17,URB003,Critical Service Microgrid and Water Backup Program,5,7.39277,Anti-Displacement Climate Adaptation Framework
17,URB004,Transit Access and Evacuation Equity Plan,6,7.29596,Anti-Displacement Climate Adaptation Framework
18,URB005,Community Resilience Hub Network,1,7.57783,Community Resilience Hub Network
18,URB006,Anti-Displacement Climate Adaptation Framework,2,7.39771,Community Resilience Hub Network
18,URB004,Transit Access and Evacuation Equity Plan,3,7.3544,Community Resilience Hub Network
18,URB001,Heat-Resilient Housing Retrofit Program,4,7.34253,Community Resilience Hub Network
18,URB002,Green-Blue Stormwater and Floodplain Network,5,7.23095,Community Resilience Hub Network
18,URB003,Critical Service Microgrid and Water Backup Program,6,7.18961,Community Resilience Hub Network
19,URB005,Community Resilience Hub Network,1,7.39086,Community Resilience Hub Network
19,URB003,Critical Service Microgrid and Water Backup Program,2,7.33974,Community Resilience Hub Network
19,URB002,Green-Blue Stormwater and Floodplain Network,3,7.22545,Community Resilience Hub Network
19,URB004,Transit Access and Evacuation Equity Plan,4,7.10062,Community Resilience Hub Network
19,URB006,Anti-Displacement Climate Adaptation Framework,5,7.08778,Community Resilience Hub Network
19,URB001,Heat-Resilient Housing Retrofit Program,6,6.92546,Community Resilience Hub Network
20,URB006,Anti-Displacement Climate Adaptation Framework,1,7.79413,Anti-Displacement Climate Adaptation Framework
20,URB002,Green-Blue Stormwater and Floodplain Network,2,7.51082,Anti-Displacement Climate Adaptation Framework
20,URB005,Community Resilience Hub Network,3,7.44566,Anti-Displacement Climate Adaptation Framework
20,URB003,Critical Service Microgrid and Water Backup Program,4,7.42316,Anti-Displacement Climate Adaptation Framework
20,URB001,Heat-Resilient Housing Retrofit Program,5,7.24869,Anti-Displacement Climate Adaptation Framework
20,URB004,Transit Access and Evacuation Equity Plan,6,7.1978,Anti-Displacement Climate Adaptation Framework
21,URB001,Heat-Resilient Housing Retrofit Program,1,7.86116,Heat-Resilient Housing Retrofit Program
21,URB002,Green-Blue Stormwater and Floodplain Network,2,7.66344,Heat-Resilient Housing Retrofit Program
21,URB004,Transit Access and Evacuation Equity Plan,3,7.42277,Heat-Resilient Housing Retrofit Program
21,URB005,Community Resilience Hub Network,4,7.3218,Heat-Resilient Housing Retrofit Program
21,URB003,Critical Service Microgrid and Water Backup Program,5,7.03474,Heat-Resilient Housing Retrofit Program
21,URB006,Anti-Displacement Climate Adaptation Framework,6,6.92153,Heat-Resilient Housing Retrofit Program
22,URB005,Community Resilience Hub Network,1,7.7863,Community Resilience Hub Network
22,URB004,Transit Access and Evacuation Equity Plan,2,7.6965,Community Resilience Hub Network
22,URB006,Anti-Displacement Climate Adaptation Framework,3,7.35369,Community Resilience Hub Network
22,URB002,Green-Blue Stormwater and Floodplain Network,4,7.31916,Community Resilience Hub Network
22,URB001,Heat-Resilient Housing Retrofit Program,5,7.24496,Community Resilience Hub Network
22,URB003,Critical Service Microgrid and Water Backup Program,6,7.09987,Community Resilience Hub Network
23,URB002,Green-Blue Stormwater and Floodplain Network,1,7.65647,Green-Blue Stormwater and Floodplain Network
23,URB005,Community Resilience Hub Network,2,7.55943,Green-Blue Stormwater and Floodplain Network
23,URB003,Critical Service Microgrid and Water Backup Program,3,7.45686,Green-Blue Stormwater and Floodplain Network
23,URB001,Heat-Resilient Housing Retrofit Program,4,7.41998,Green-Blue Stormwater and Floodplain Network
23,URB006,Anti-Displacement Climate Adaptation Framework,5,7.29242,Green-Blue Stormwater and Floodplain Network
23,URB004,Transit Access and Evacuation Equity Plan,6,7.21054,Green-Blue Stormwater and Floodplain Network
24,URB002,Green-Blue Stormwater and Floodplain Network,1,7.86861,Green-Blue Stormwater and Floodplain Network
24,URB003,Critical Service Microgrid and Water Backup Program,2,7.6898,Green-Blue Stormwater and Floodplain Network
24,URB004,Transit Access and Evacuation Equity Plan,3,7.64407,Green-Blue Stormwater and Floodplain Network
24,URB005,Community Resilience Hub Network,4,7.51392,Green-Blue Stormwater and Floodplain Network
24,URB006,Anti-Displacement Climate Adaptation Framework,5,7.51307,Green-Blue Stormwater and Floodplain Network
24,URB001,Heat-Resilient Housing Retrofit Program,6,7.225,Green-Blue Stormwater and Floodplain Network
25,URB006,Anti-Displacement Climate Adaptation Framework,1,7.53425,Anti-Displacement Climate Adaptation Framework
25,URB002,Green-Blue Stormwater and Floodplain Network,2,7.51428,Anti-Displacement Climate Adaptation Framework
25,URB005,Community Resilience Hub Network,3,7.40621,Anti-Displacement Climate Adaptation Framework
25,URB003,Critical Service Microgrid and Water Backup Program,4,7.36132,Anti-Displacement Climate Adaptation Framework
25,URB001,Heat-Resilient Housing Retrofit Program,5,7.2453,Anti-Displacement Climate Adaptation Framework
25,URB004,Transit Access and Evacuation Equity Plan,6,7.08115,Anti-Displacement Climate Adaptation Framework
26,URB001,Heat-Resilient Housing Retrofit Program,1,7.64985,Heat-Resilient Housing Retrofit Program
26,URB002,Green-Blue Stormwater and Floodplain Network,2,7.60895,Heat-Resilient Housing Retrofit Program
26,URB004,Transit Access and Evacuation Equity Plan,3,7.52214,Heat-Resilient Housing Retrofit Program
26,URB006,Anti-Displacement Climate Adaptation Framework,4,7.42569,Heat-Resilient Housing Retrofit Program
26,URB005,Community Resilience Hub Network,5,7.26438,Heat-Resilient Housing Retrofit Program
26,URB003,Critical Service Microgrid and Water Backup Program,6,6.75222,Heat-Resilient Housing Retrofit Program
27,URB006,Anti-Displacement Climate Adaptation Framework,1,7.82227,Anti-Displacement Climate Adaptation Framework
27,URB002,Green-Blue Stormwater and Floodplain Network,2,7.52243,Anti-Displacement Climate Adaptation Framework
27,URB001,Heat-Resilient Housing Retrofit Program,3,7.41483,Anti-Displacement Climate Adaptation Framework
27,URB003,Critical Service Microgrid and Water Backup Program,4,7.40761,Anti-Displacement Climate Adaptation Framework
27,URB005,Community Resilience Hub Network,5,7.25058,Anti-Displacement Climate Adaptation Framework
27,URB004,Transit Access and Evacuation Equity Plan,6,7.15583,Anti-Displacement Climate Adaptation Framework
28,URB002,Green-Blue Stormwater and Floodplain Network,1,7.66417,Green-Blue Stormwater and Floodplain Network
28,URB005,Community Resilience Hub Network,2,7.60812,Green-Blue Stormwater and Floodplain Network
28,URB006,Anti-Displacement Climate Adaptation Framework,3,7.52133,Green-Blue Stormwater and Floodplain Network
28,URB001,Heat-Resilient Housing Retrofit Program,4,7.33885,Green-Blue Stormwater and Floodplain Network
28,URB003,Critical Service Microgrid and Water Backup Program,5,7.28016,Green-Blue Stormwater and Floodplain Network
28,URB004,Transit Access and Evacuation Equity Plan,6,7.22648,Green-Blue Stormwater and Floodplain Network
29,URB004,Transit Access and Evacuation Equity Plan,1,7.82896,Transit Access and Evacuation Equity Plan
29,URB005,Community Resilience Hub Network,2,7.70507,Transit Access and Evacuation Equity Plan
29,URB006,Anti-Displacement Climate Adaptation Framework,3,7.36391,Transit Access and Evacuation Equity Plan
29,URB001,Heat-Resilient Housing Retrofit Program,4,7.25425,Transit Access and Evacuation Equity Plan
29,URB002,Green-Blue Stormwater and Floodplain Network,5,7.05158,Transit Access and Evacuation Equity Plan
29,URB003,Critical Service Microgrid and Water Backup Program,6,7.02903,Transit Access and Evacuation Equity Plan
30,URB001,Heat-Resilient Housing Retrofit Program,1,7.88032,Heat-Resilient Housing Retrofit Program
30,URB005,Community Resilience Hub Network,2,7.80478,Heat-Resilient Housing Retrofit Program
30,URB006,Anti-Displacement Climate Adaptation Framework,3,7.76739,Heat-Resilient Housing Retrofit Program
30,URB002,Green-Blue Stormwater and Floodplain Network,4,7.62458,Heat-Resilient Housing Retrofit Program
30,URB004,Transit Access and Evacuation Equity Plan,5,7.37186,Heat-Resilient Housing Retrofit Program
30,URB003,Critical Service Microgrid and Water Backup Program,6,7.2557,Heat-Resilient Housing Retrofit Program
31,URB002,Green-Blue Stormwater and Floodplain Network,1,7.77953,Green-Blue Stormwater and Floodplain Network
31,URB003,Critical Service Microgrid and Water Backup Program,2,7.63866,Green-Blue Stormwater and Floodplain Network
31,URB004,Transit Access and Evacuation Equity Plan,3,7.51439,Green-Blue Stormwater and Floodplain Network
31,URB006,Anti-Displacement Climate Adaptation Framework,4,7.44487,Green-Blue Stormwater and Floodplain Network
31,URB005,Community Resilience Hub Network,5,7.33287,Green-Blue Stormwater and Floodplain Network
31,URB001,Heat-Resilient Housing Retrofit Program,6,7.14407,Green-Blue Stormwater and Floodplain Network
32,URB005,Community Resilience Hub Network,1,7.84009,Community Resilience Hub Network
32,URB002,Green-Blue Stormwater and Floodplain Network,2,7.70517,Community Resilience Hub Network
32,URB001,Heat-Resilient Housing Retrofit Program,3,7.61293,Community Resilience Hub Network
32,URB003,Critical Service Microgrid and Water Backup Program,4,7.48904,Community Resilience Hub Network
32,URB006,Anti-Displacement Climate Adaptation Framework,5,7.46953,Community Resilience Hub Network
32,URB004,Transit Access and Evacuation Equity Plan,6,7.21011,Community Resilience Hub Network
33,URB005,Community Resilience Hub Network,1,7.61476,Community Resilience Hub Network
33,URB001,Heat-Resilient Housing Retrofit Program,2,7.58691,Community Resilience Hub Network
33,URB006,Anti-Displacement Climate Adaptation Framework,3,7.5395,Community Resilience Hub Network
33,URB002,Green-Blue Stormwater and Floodplain Network,4,7.47111,Community Resilience Hub Network
33,URB004,Transit Access and Evacuation Equity Plan,5,7.39377,Community Resilience Hub Network
33,URB003,Critical Service Microgrid and Water Backup Program,6,7.12545,Community Resilience Hub Network
34,URB006,Anti-Displacement Climate Adaptation Framework,1,7.73828,Anti-Displacement Climate Adaptation Framework
34,URB004,Transit Access and Evacuation Equity Plan,2,7.51522,Anti-Displacement Climate Adaptation Framework
34,URB005,Community Resilience Hub Network,3,7.35131,Anti-Displacement Climate Adaptation Framework
34,URB001,Heat-Resilient Housing Retrofit Program,4,7.28675,Anti-Displacement Climate Adaptation Framework
34,URB002,Green-Blue Stormwater and Floodplain Network,5,7.23057,Anti-Displacement Climate Adaptation Framework
34,URB003,Critical Service Microgrid and Water Backup Program,6,7.12031,Anti-Displacement Climate Adaptation Framework
35,URB004,Transit Access and Evacuation Equity Plan,1,7.71396,Transit Access and Evacuation Equity Plan
35,URB006,Anti-Displacement Climate Adaptation Framework,2,7.66674,Transit Access and Evacuation Equity Plan
35,URB005,Community Resilience Hub Network,3,7.37304,Transit Access and Evacuation Equity Plan
35,URB002,Green-Blue Stormwater and Floodplain Network,4,7.25059,Transit Access and Evacuation Equity Plan
35,URB003,Critical Service Microgrid and Water Backup Program,5,7.24428,Transit Access and Evacuation Equity Plan
35,URB001,Heat-Resilient Housing Retrofit Program,6,7.1684,Transit Access and Evacuation Equity Plan
36,URB004,Transit Access and Evacuation Equity Plan,1,7.50855,Transit Access and Evacuation Equity Plan
36,URB002,Green-Blue Stormwater and Floodplain Network,2,7.4686,Transit Access and Evacuation Equity Plan
36,URB006,Anti-Displacement Climate Adaptation Framework,3,7.45125,Transit Access and Evacuation Equity Plan
36,URB003,Critical Service Microgrid and Water Backup Program,4,7.27725,Transit Access and Evacuation Equity Plan
36,URB005,Community Resilience Hub Network,5,7.215,Transit Access and Evacuation Equity Plan
36,URB001,Heat-Resilient Housing Retrofit Program,6,7.03769,Transit Access and Evacuation Equity Plan
37,URB001,Heat-Resilient Housing Retrofit Program,1,7.92996,Heat-Resilient Housing Retrofit Program
37,URB006,Anti-Displacement Climate Adaptation Framework,2,7.8503,Heat-Resilient Housing Retrofit Program
37,URB005,Community Resilience Hub Network,3,7.75103,Heat-Resilient Housing Retrofit Program
37,URB002,Green-Blue Stormwater and Floodplain Network,4,7.64015,Heat-Resilient Housing Retrofit Program
37,URB004,Transit Access and Evacuation Equity Plan,5,7.54689,Heat-Resilient Housing Retrofit Program
37,URB003,Critical Service Microgrid and Water Backup Program,6,7.31945,Heat-Resilient Housing Retrofit Program
38,URB005,Community Resilience Hub Network,1,7.63797,Community Resilience Hub Network
38,URB001,Heat-Resilient Housing Retrofit Program,2,7.54847,Community Resilience Hub Network
38,URB004,Transit Access and Evacuation Equity Plan,3,7.45451,Community Resilience Hub Network
38,URB006,Anti-Displacement Climate Adaptation Framework,4,7.39375,Community Resilience Hub Network
38,URB002,Green-Blue Stormwater and Floodplain Network,5,6.96617,Community Resilience Hub Network
38,URB003,Critical Service Microgrid and Water Backup Program,6,6.85561,Community Resilience Hub Network
39,URB002,Green-Blue Stormwater and Floodplain Network,1,7.9077,Green-Blue Stormwater and Floodplain Network
39,URB001,Heat-Resilient Housing Retrofit Program,2,7.72735,Green-Blue Stormwater and Floodplain Network
39,URB006,Anti-Displacement Climate Adaptation Framework,3,7.28806,Green-Blue Stormwater and Floodplain Network
39,URB004,Transit Access and Evacuation Equity Plan,4,7.24791,Green-Blue Stormwater and Floodplain Network
39,URB005,Community Resilience Hub Network,5,7.03077,Green-Blue Stormwater and Floodplain Network
39,URB003,Critical Service Microgrid and Water Backup Program,6,6.98619,Green-Blue Stormwater and Floodplain Network
40,URB004,Transit Access and Evacuation Equity Plan,1,7.79009,Transit Access and Evacuation Equity Plan
40,URB006,Anti-Displacement Climate Adaptation Framework,2,7.68216,Transit Access and Evacuation Equity Plan
40,URB002,Green-Blue Stormwater and Floodplain Network,3,7.56296,Transit Access and Evacuation Equity Plan
40,URB005,Community Resilience Hub Network,4,7.52188,Transit Access and Evacuation Equity Plan
40,URB001,Heat-Resilient Housing Retrofit Program,5,7.41962,Transit Access and Evacuation Equity Plan
40,URB003,Critical Service Microgrid and Water Backup Program,6,7.30482,Transit Access and Evacuation Equity Plan
41,URB005,Community Resilience Hub Network,1,7.72924,Community Resilience Hub Network
41,URB003,Critical Service Microgrid and Water Backup Program,2,7.6188,Community Resilience Hub Network
41,URB004,Transit Access and Evacuation Equity Plan,3,7.57524,Community Resilience Hub Network
41,URB002,Green-Blue Stormwater and Floodplain Network,4,7.31738,Community Resilience Hub Network
41,URB006,Anti-Displacement Climate Adaptation Framework,5,7.26567,Community Resilience Hub Network
41,URB001,Heat-Resilient Housing Retrofit Program,6,6.98453,Community Resilience Hub Network
42,URB001,Heat-Resilient Housing Retrofit Program,1,7.92354,Heat-Resilient Housing Retrofit Program
42,URB002,Green-Blue Stormwater and Floodplain Network,2,7.81439,Heat-Resilient Housing Retrofit Program
42,URB006,Anti-Displacement Climate Adaptation Framework,3,7.64276,Heat-Resilient Housing Retrofit Program
42,URB003,Critical Service Microgrid and Water Backup Program,4,7.39662,Heat-Resilient Housing Retrofit Program
42,URB004,Transit Access and Evacuation Equity Plan,5,7.27482,Heat-Resilient Housing Retrofit Program
42,URB005,Community Resilience Hub Network,6,6.98633,Heat-Resilient Housing Retrofit Program
43,URB005,Community Resilience Hub Network,1,8.08179,Community Resilience Hub Network
43,URB002,Green-Blue Stormwater and Floodplain Network,2,7.9114,Community Resilience Hub Network
43,URB006,Anti-Displacement Climate Adaptation Framework,3,7.72074,Community Resilience Hub Network
43,URB004,Transit Access and Evacuation Equity Plan,4,7.71852,Community Resilience Hub Network
43,URB001,Heat-Resilient Housing Retrofit Program,5,7.09934,Community Resilience Hub Network
43,URB003,Critical Service Microgrid and Water Backup Program,6,6.8415,Community Resilience Hub Network
44,URB001,Heat-Resilient Housing Retrofit Program,1,7.67468,Heat-Resilient Housing Retrofit Program
44,URB003,Critical Service Microgrid and Water Backup Program,2,7.5569,Heat-Resilient Housing Retrofit Program
44,URB005,Community Resilience Hub Network,3,7.49306,Heat-Resilient Housing Retrofit Program
44,URB006,Anti-Displacement Climate Adaptation Framework,4,7.4824,Heat-Resilient Housing Retrofit Program
44,URB004,Transit Access and Evacuation Equity Plan,5,7.44729,Heat-Resilient Housing Retrofit Program
44,URB002,Green-Blue Stormwater and Floodplain Network,6,7.44702,Heat-Resilient Housing Retrofit Program
45,URB002,Green-Blue Stormwater and Floodplain Network,1,7.66436,Green-Blue Stormwater and Floodplain Network
45,URB003,Critical Service Microgrid and Water Backup Program,2,7.52316,Green-Blue Stormwater and Floodplain Network
45,URB006,Anti-Displacement Climate Adaptation Framework,3,7.49572,Green-Blue Stormwater and Floodplain Network
45,URB004,Transit Access and Evacuation Equity Plan,4,7.47623,Green-Blue Stormwater and Floodplain Network
45,URB005,Community Resilience Hub Network,5,7.46232,Green-Blue Stormwater and Floodplain Network
45,URB001,Heat-Resilient Housing Retrofit Program,6,7.43871,Green-Blue Stormwater and Floodplain Network
46,URB001,Heat-Resilient Housing Retrofit Program,1,8.00472,Heat-Resilient Housing Retrofit Program
46,URB006,Anti-Displacement Climate Adaptation Framework,2,7.77857,Heat-Resilient Housing Retrofit Program
46,URB005,Community Resilience Hub Network,3,7.51245,Heat-Resilient Housing Retrofit Program
46,URB003,Critical Service Microgrid and Water Backup Program,4,7.38141,Heat-Resilient Housing Retrofit Program
46,URB002,Green-Blue Stormwater and Floodplain Network,5,7.26497,Heat-Resilient Housing Retrofit Program
46,URB004,Transit Access and Evacuation Equity Plan,6,7.19326,Heat-Resilient Housing Retrofit Program
47,URB005,Community Resilience Hub Network,1,7.92726,Community Resilience Hub Network
47,URB003,Critical Service Microgrid and Water Backup Program,2,7.76921,Community Resilience Hub Network
47,URB002,Green-Blue Stormwater and Floodplain Network,3,7.46789,Community Resilience Hub Network
47,URB006,Anti-Displacement Climate Adaptation Framework,4,7.33804,Community Resilience Hub Network
