 time,maintenance_backlog,public_trust,ecological_memory,climate_pressure,adaptive_capacity,threshold_distance,hidden_risk,fast_shock,system_function
43, 0.50800, 0.56950, 0.57250, 0.41350, 0.55745, 0.55161, 0.44972, 0.00000, 1.00000
44, 0.51400, 0.56600, 0.57000, 0.41800, 0.55360, 0.54728, 0.45416, 0.00000, 0.99973
45, 0.52000, 0.56250, 0.56750, 0.42250, 0.54975, 0.54295, 0.45860, 0.00000, 0.99780
46, 0.52600, 0.55900, 0.56500, 0.42700, 0.54590, 0.53862, 0.46304, 0.00000, 0.99419
47, 0.53200, 0.55550, 0.56250, 0.43150, 0.54205, 0.53429, 0.46748, 0.00000, 0.98891
48, 0.53800, 0.55200, 0.56000, 0.43600, 0.53820, 0.52996, 0.47192, 0.00000, 0.98197
49, 0.54400, 0.54850, 0.55750, 0.44050, 0.53435, 0.52563, 0.47636, 0.00000, 0.97335
50, 0.55000, 0.54500, 0.55500, 0.44500, 0.53050, 0.52130, 0.48080, 0.00000, 0.96306
51, 0.55600, 0.54150, 0.55250, 0.44950, 0.52665, 0.51697, 0.48524, 0.00000, 0.95111
52, 0.56200, 0.53800, 0.55000, 0.45400, 0.52280, 0.51264, 0.48968, 0.00000, 0.93748
53, 0.56800, 0.53450, 0.54750, 0.45850, 0.51895, 0.50831, 0.49412, 0.00000, 0.92219
54, 0.57400, 0.53100, 0.54500, 0.46300, 0.51510, 0.50398, 0.49856, 0.00000, 0.90522
55, 0.58000, 0.52750, 0.54250, 0.46750, 0.51125, 0.49965, 0.50300, 0.00000, 0.88659
56, 0.58600, 0.52400, 0.54000, 0.47200, 0.50740, 0.49532, 0.50744, 0.00000, 0.86628
57, 0.59200, 0.52050, 0.53750, 0.47650, 0.50355, 0.49099, 0.51188, 0.00000, 0.84431
58, 0.59800, 0.51700, 0.53500, 0.48100, 0.49970, 0.48666, 0.51632, 0.00000, 0.82066
59, 0.60400, 0.51350, 0.53250, 0.48550, 0.49585, 0.48233, 0.52076, 0.00000, 0.79535
60, 0.61000, 0.51000, 0.53000, 0.49000, 0.49200, 0.47800, 0.52520, 0.00000, 0.76837
61, 0.61600, 0.50650, 0.52750, 0.49450, 0.48815, 0.47367, 0.52964, 0.00000, 0.73971
62, 0.62200, 0.50300, 0.52500, 0.49900, 0.48430, 0.46934, 0.53408, 0.00000, 0.70939
63, 0.62800, 0.49950, 0.52250, 0.50350, 0.48045, 0.46501, 0.53852, 0.00000, 0.67740
64, 0.63400, 0.49600, 0.52000, 0.50800, 0.47660, 0.46068, 0.54296, 0.00000, 0.64373
65, 0.64000, 0.49250, 0.51750, 0.51250, 0.47275, 0.45635, 0.54740, 0.00000, 0.60840
66, 0.64600, 0.48900, 0.51500, 0.51700, 0.46890, 0.45202, 0.55184, 0.00000, 0.57140
67, 0.65200, 0.48550, 0.51250, 0.52150, 0.46505, 0.44769, 0.55628, 0.00000, 0.53272
68, 0.65800, 0.48200, 0.51000, 0.52600, 0.46120, 0.44336, 0.56072, 0.00000, 0.49238
69, 0.66400, 0.47850, 0.50750, 0.53050, 0.45735, 0.43903, 0.56516, 0.00000, 0.45037
70, 0.67000, 0.47500, 0.50500, 0.53500, 0.45350, 0.43470, 0.56960, 0.00000, 0.40669
71, 0.67600, 0.47150, 0.50250, 0.53950, 0.44965, 0.43037, 0.57404, 0.00000, 0.36134
72, 0.68200, 0.46800, 0.50000, 0.54400, 0.44580, 0.42604, 0.57848, 0.32000, 0.16712
73, 0.68800, 0.46450, 0.49750, 0.54850, 0.44195, 0.42171, 0.58292, 0.00000, 0.11842
74, 0.69400, 0.46100, 0.49500, 0.55300, 0.43810, 0.41738, 0.58736, 0.00000, 0.06806
75, 0.70000, 0.45750, 0.49250, 0.55750, 0.43425, 0.41305, 0.59180, 0.00000, 0.01603
76, 0.70600, 0.45400, 0.49000, 0.56200, 0.43040, 0.40872, 0.59624, 0.00000, 0.00000
77, 0.71200, 0.45050, 0.48750, 0.56650, 0.42655, 0.40439, 0.60068, 0.00000, 0.00000
78, 0.71800, 0.44700, 0.48500, 0.57100, 0.42270, 0.40006, 0.60512, 0.00000, 0.00000
79, 0.72400, 0.44350, 0.48250, 0.57550, 0.41885, 0.39573, 0.60956, 0.00000, 0.00000
80, 0.73000, 0.44000, 0.48000, 0.58000, 0.41500, 0.39140, 0.61400, 0.00000, 0.00000
81, 0.73600, 0.43650, 0.47750, 0.58450, 0.41115, 0.38707, 0.61844, 0.00000, 0.00000
82, 0.74200, 0.43300, 0.47500, 0.58900, 0.40730, 0.38274, 0.62288, 0.00000, 0.00000
83, 0.74800, 0.42950, 0.47250, 0.59350, 0.40345, 0.37841, 0.62732, 0.00000, 0.00000
84, 0.75400, 0.42600, 0.47000, 0.59800, 0.39960, 0.37408, 0.63176, 0.00000, 0.00000
85, 0.76000, 0.42250, 0.46750, 0.60250, 0.39575, 0.36975, 0.63620, 0.00000, 0.00000
86, 0.76600, 0.41900, 0.46500, 0.60700, 0.39190, 0.36542, 0.64064, 0.00000, 0.00000
87, 0.77200, 0.41550, 0.46250, 0.61150, 0.38805, 0.36109, 0.64508, 0.00000, 0.00000
88, 0.77800, 0.41200, 0.46000, 0.61600, 0.38420, 0.35676, 0.64952, 0.00000, 0.00000
89, 0.78400, 0.40850, 0.45750, 0.62050, 0.38035, 0.35243, 0.65396, 0.00000, 0.00000
90, 0.79000, 0.40500, 0.45500, 0.62500, 0.37650, 0.34810, 0.65840, 0.00000, 0.00000
91, 0.79600, 0.40150, 0.45250, 0.62950, 0.37265, 0.34377, 0.66284, 0.00000, 0.00000
92, 0.80200, 0.39800, 0.45000, 0.63400, 0.36880, 0.33944, 0.66728, 0.00000, 0.00000
93, 0.80800, 0.39450, 0.44750, 0.63850, 0.36495, 0.33511, 0.67172, 0.00000, 0.00000
94, 0.81400, 0.39100, 0.44500, 0.64300, 0.36110, 0.33078, 0.67616, 0.00000, 0.00000
95, 0.82000, 0.38750, 0.44250, 0.64750, 0.35725, 0.32645, 0.68060, 0.00000, 0.00000
96, 0.82600, 0.38400, 0.44000, 0.65200, 0.35340, 0.32212, 0.68504, 0.32000, 0.00000
97, 0.83200, 0.38050, 0.43750, 0.65650, 0.34955, 0.31779, 0.68948, 0.00000, 0.00000
98, 0.83800, 0.37700, 0.43500, 0.66100, 0.34570, 0.31346, 0.69392, 0.00000, 0.00000
99, 0.84400, 0.37350, 0.43250, 0.66550, 0.34185, 0.30913, 0.69836, 0.00000, 0.00000
100, 0.85000, 0.37000, 0.43000, 0.67000, 0.33800, 0.30480, 0.70280, 0.00000, 0.00000
101, 0.85600, 0.36650, 0.42750, 0.67450, 0.33415, 0.30047, 0.70724, 0.00000, 0.00000
102, 0.86200, 0.36300, 0.42500, 0.67900, 0.33030, 0.29614, 0.71168, 0.00000, 0.00000
103, 0.86800, 0.35950, 0.42250, 0.68350, 0.32645, 0.29181, 0.71612, 0.00000, 0.00000
104, 0.87400, 0.35600, 0.42000, 0.68800, 0.32260, 0.28748, 0.72056, 0.00000, 0.00000
105, 0.88000, 0.35250, 0.41750, 0.69250, 0.31875, 0.28315, 0.72500, 0.00000, 0.00000
106, 0.88600, 0.34900, 0.41500, 0.69700, 0.31490, 0.27882, 0.72944, 0.00000, 0.00000
107, 0.89200, 0.34550, 0.41250, 0.70150, 0.31105, 0.27449, 0.73388, 0.00000, 0.00000
108, 0.89800, 0.34200, 0.41000, 0.70600, 0.30720, 0.27016, 0.73832, 0.00000, 0.00000
109, 0.90400, 0.33850, 0.40750, 0.71050, 0.30335, 0.26583, 0.74276, 0.00000, 0.00000
110, 0.91000, 0.33500, 0.40500, 0.71500, 0.29950, 0.26150, 0.74720, 0.00000, 0.00000
111, 0.91600, 0.33150, 0.40250, 0.71950, 0.29565, 0.25717, 0.75164, 0.00000, 0.00000
112, 0.92200, 0.32800, 0.40000, 0.72400, 0.29180, 0.25284, 0.75608, 0.00000, 0.00000
113, 0.92800, 0.32450, 0.39750, 0.72850, 0.28795, 0.24851, 0.76052, 0.00000, 0.00000
114, 0.93400, 0.32100, 0.39500, 0.73300, 0.28410, 0.24418, 0.76496, 0.00000, 0.00000
115, 0.94000, 0.31750, 0.39250, 0.73750, 0.28025, 0.23985, 0.76940, 0.00000, 0.00000
116, 0.94600, 0.31400, 0.39000, 0.74200, 0.27640, 0.23552, 0.77384, 0.00000, 0.00000
117, 0.95200, 0.31050, 0.38750, 0.74650, 0.27255, 0.23119, 0.77828, 0.00000, 0.00000
118, 0.95800, 0.30700, 0.38500, 0.75100, 0.26870, 0.22686, 0.78272, 0.00000, 0.00000
119, 0.96400, 0.30350, 0.38250, 0.75550, 0.26485, 0.22253, 0.78716, 0.00000, 0.00000
120, 0.97000, 0.30000, 0.38000, 0.76000, 0.26100, 0.21820, 0.79160, 0.00000, 0.00000
