scenario_id,scenario_name,time_step,maintenance_backlog,public_trust,ecological_memory,climate_pressure,system_memory,monitoring_quality,justice_visibility,adaptive_capacity,threshold_distance,hidden_risk,fast_shock,system_function
SL001,Deferred maintenance and slow trust erosion,27,0.412,0.6255,0.6125,0.3415,0.69739,0.54,0.48,0.61675,0.61987,0.39381,0.0,1.0
SL001,Deferred maintenance and slow trust erosion,28,0.418,0.622,0.61,0.346,0.70072,0.54,0.48,0.61391,0.61559,0.39764,0.0,1.0
SL001,Deferred maintenance and slow trust erosion,29,0.424,0.6185,0.6075,0.3505,0.70404,0.54,0.48,0.61107,0.61131,0.40147,0.0,1.0
SL001,Deferred maintenance and slow trust erosion,30,0.43,0.615,0.605,0.355,0.70733,0.54,0.48,0.60823,0.60702,0.4053,0.0,1.0
SL001,Deferred maintenance and slow trust erosion,31,0.436,0.6115,0.6025,0.3595,0.71061,0.54,0.48,0.60539,0.60274,0.40913,0.0,1.0
SL001,Deferred maintenance and slow trust erosion,32,0.442,0.608,0.6,0.364,0.71386,0.54,0.48,0.60255,0.59845,0.41296,0.0,1.0
SL001,Deferred maintenance and slow trust erosion,33,0.448,0.6045,0.5975,0.3685,0.7171,0.54,0.48,0.5997,0.59417,0.41679,0.0,1.0
SL001,Deferred maintenance and slow trust erosion,34,0.454,0.601,0.595,0.373,0.72032,0.54,0.48,0.59685,0.58989,0.42062,0.0,1.0
SL001,Deferred maintenance and slow trust erosion,35,0.46,0.5975,0.5925,0.3775,0.72352,0.54,0.48,0.594,0.5856,0.42445,0.0,1.0
SL001,Deferred maintenance and slow trust erosion,36,0.466,0.594,0.59,0.382,0.72669,0.54,0.48,0.59115,0.58131,0.42828,0.0,1.0
SL001,Deferred maintenance and slow trust erosion,37,0.472,0.5905,0.5875,0.3865,0.72985,0.54,0.48,0.5883,0.57703,0.43211,0.0,1.0
SL001,Deferred maintenance and slow trust erosion,38,0.478,0.587,0.585,0.391,0.73299,0.54,0.48,0.58544,0.57274,0.43594,0.0,1.0
SL001,Deferred maintenance and slow trust erosion,39,0.484,0.5835,0.5825,0.3955,0.73611,0.54,0.48,0.58258,0.56846,0.43977,0.0,1.0
SL001,Deferred maintenance and slow trust erosion,40,0.49,0.58,0.58,0.4,0.73921,0.54,0.48,0.57972,0.56417,0.4436,0.0,1.0
SL001,Deferred maintenance and slow trust erosion,41,0.496,0.5765,0.5775,0.4045,0.74229,0.54,0.48,0.57686,0.55989,0.44743,0.0,1.0
SL001,Deferred maintenance and slow trust erosion,42,0.502,0.573,0.575,0.409,0.74535,0.54,0.48,0.574,0.5556,0.45126,0.0,1.0
SL001,Deferred maintenance and slow trust erosion,43,0.508,0.5695,0.5725,0.4135,0.74839,0.54,0.48,0.57113,0.55131,0.45509,0.0,1.0
SL001,Deferred maintenance and slow trust erosion,44,0.514,0.566,0.57,0.418,0.75142,0.54,0.48,0.56826,0.54703,0.45892,0.0,1.0
SL001,Deferred maintenance and slow trust erosion,45,0.52,0.5625,0.5675,0.4225,0.75442,0.54,0.48,0.56539,0.54274,0.46275,0.0,1.0
SL001,Deferred maintenance and slow trust erosion,46,0.526,0.559,0.565,0.427,0.7574,0.54,0.48,0.56252,0.53845,0.46658,0.0,1.0
SL001,Deferred maintenance and slow trust erosion,47,0.532,0.5555,0.5625,0.4315,0.76036,0.54,0.48,0.55965,0.53416,0.47041,0.0,1.0
SL001,Deferred maintenance and slow trust erosion,48,0.538,0.552,0.56,0.436,0.76331,0.54,0.48,0.55677,0.52988,0.47424,0.0,1.0
SL001,Deferred maintenance and slow trust erosion,49,0.544,0.5485,0.5575,0.4405,0.76623,0.54,0.48,0.55389,0.52559,0.47807,0.0,1.0
SL001,Deferred maintenance and slow trust erosion,50,0.55,0.545,0.555,0.445,0.76914,0.54,0.48,0.55101,0.5213,0.4819,0.0,1.0
SL001,Deferred maintenance and slow trust erosion,51,0.556,0.5415,0.5525,0.4495,0.77202,0.54,0.48,0.54813,0.51701,0.48573,0.0,1.0
SL001,Deferred maintenance and slow trust erosion,52,0.562,0.538,0.55,0.454,0.77489,0.54,0.48,0.54525,0.51272,0.48956,0.0,1.0
SL001,Deferred maintenance and slow trust erosion,53,0.568,0.5345,0.5475,0.4585,0.77774,0.54,0.48,0.54236,0.50844,0.49339,0.0,1.0
SL001,Deferred maintenance and slow trust erosion,54,0.574,0.531,0.545,0.463,0.78056,0.54,0.48,0.53948,0.50415,0.49722,0.0,1.0
SL001,Deferred maintenance and slow trust erosion,55,0.58,0.5275,0.5425,0.4675,0.78337,0.54,0.48,0.53659,0.49986,0.50105,0.0,1.0
SL001,Deferred maintenance and slow trust erosion,56,0.586,0.524,0.54,0.472,0.78616,0.54,0.48,0.5337,0.49557,0.50488,0.0,1.0
SL001,Deferred maintenance and slow trust erosion,57,0.592,0.5205,0.5375,0.4765,0.78893,0.54,0.48,0.5308,0.49128,0.50871,0.0,1.0
SL001,Deferred maintenance and slow trust erosion,58,0.598,0.517,0.535,0.481,0.79168,0.54,0.48,0.52791,0.48699,0.51254,0.0,1.0
SL001,Deferred maintenance and slow trust erosion,59,0.604,0.5135,0.5325,0.4855,0.79441,0.54,0.48,0.52501,0.4827,0.51637,0.0,1.0
SL001,Deferred maintenance and slow trust erosion,60,0.61,0.51,0.53,0.49,0.79712,0.54,0.48,0.52211,0.47841,0.5202,0.0,1.0
SL001,Deferred maintenance and slow trust erosion,61,0.616,0.5065,0.5275,0.4945,0.79981,0.54,0.48,0.51921,0.47412,0.52403,0.0,1.0
SL001,Deferred maintenance and slow trust erosion,62,0.622,0.503,0.525,0.499,0.80248,0.54,0.48,0.51631,0.46983,0.52786,0.0,1.0
SL001,Deferred maintenance and slow trust erosion,63,0.628,0.4995,0.5225,0.5035,0.80513,0.54,0.48,0.5134,0.46554,0.53169,0.0,1.0
SL001,Deferred maintenance and slow trust erosion,64,0.634,0.496,0.52,0.508,0.80776,0.54,0.48,0.5105,0.46125,0.53552,0.0,1.0
SL001,Deferred maintenance and slow trust erosion,65,0.64,0.4925,0.5175,0.5125,0.81037,0.54,0.48,0.50759,0.45696,0.53935,0.0,1.0
SL001,Deferred maintenance and slow trust erosion,66,0.646,0.489,0.515,0.517,0.81297,0.54,0.48,0.50468,0.45267,0.54318,0.0,1.0
SL001,Deferred maintenance and slow trust erosion,67,0.652,0.4855,0.5125,0.5215,0.81554,0.54,0.48,0.50176,0.44838,0.54701,0.0,1.0
SL001,Deferred maintenance and slow trust erosion,68,0.658,0.482,0.51,0.526,0.81809,0.54,0.48,0.49885,0.44408,0.55084,0.0,1.0
SL001,Deferred maintenance and slow trust erosion,69,0.664,0.4785,0.5075,0.5305,0.82063,0.54,0.48,0.49593,0.43979,0.55467,0.0,1.0
SL001,Deferred maintenance and slow trust erosion,70,0.67,0.475,0.505,0.535,0.82314,0.54,0.48,0.49301,0.4355,0.5585,0.0,0.9988
SL001,Deferred maintenance and slow trust erosion,71,0.676,0.4715,0.5025,0.5395,0.82564,0.54,0.48,0.49009,0.43121,0.56233,0.0,0.99633
SL001,Deferred maintenance and slow trust erosion,72,0.682,0.468,0.5,0.544,0.82811,0.54,0.48,0.48717,0.42692,0.56616,0.32,0.84539
SL001,Deferred maintenance and slow trust erosion,73,0.688,0.4645,0.4975,0.5485,0.83057,0.54,0.48,0.48425,0.42262,0.56999,0.0,0.84038
SL001,Deferred maintenance and slow trust erosion,74,0.694,0.461,0.495,0.553,0.83301,0.54,0.48,0.48132,0.41833,0.57382,0.0,0.8341
SL001,Deferred maintenance and slow trust erosion,75,0.7,0.4575,0.4925,0.5575,0.83543,0.54,0.48,0.47839,0.41404,0.57765,0.0,0.82654
SL001,Deferred maintenance and slow trust erosion,76,0.706,0.454,0.49,0.562,0.83782,0.54,0.48,0.47546,0.40975,0.58148,0.0,0.81771
SL001,Deferred maintenance and slow trust erosion,77,0.712,0.4505,0.4875,0.5665,0.8402,0.54,0.48,0.47253,0.40545,0.58531,0.0,0.80761
SL001,Deferred maintenance and slow trust erosion,78,0.718,0.447,0.485,0.571,0.84256,0.54,0.48,0.4696,0.40116,0.58914,0.0,0.79622
SL001,Deferred maintenance and slow trust erosion,79,0.724,0.4435,0.4825,0.5755,0.8449,0.54,0.48,0.46666,0.39687,0.59297,0.0,0.78357
SL001,Deferred maintenance and slow trust erosion,80,0.73,0.44,0.48,0.58,0.84722,0.54,0.48,0.46372,0.39257,0.5968,0.0,0.76963
SL001,Deferred maintenance and slow trust erosion,81,0.736,0.4365,0.4775,0.5845,0.84952,0.54,0.48,0.46078,0.38828,0.60063,0.0,0.75441
SL001,Deferred maintenance and slow trust erosion,82,0.742,0.433,0.475,0.589,0.8518,0.54,0.48,0.45784,0.38398,0.60446,0.0,0.73791
SL001,Deferred maintenance and slow trust erosion,83,0.748,0.4295,0.4725,0.5935,0.85406,0.54,0.48,0.4549,0.37969,0.60829,0.0,0.72013
SL001,Deferred maintenance and slow trust erosion,84,0.754,0.426,0.47,0.598,0.85631,0.54,0.48,0.45195,0.3754,0.61212,0.0,0.70107
SL001,Deferred maintenance and slow trust erosion,85,0.76,0.4225,0.4675,0.6025,0.85853,0.54,0.48,0.449,0.3711,0.61595,0.0,0.68072
SL001,Deferred maintenance and slow trust erosion,86,0.766,0.419,0.465,0.607,0.86073,0.54,0.48,0.44605,0.36681,0.61978,0.0,0.65909
SL001,Deferred maintenance and slow trust erosion,87,0.772,0.4155,0.4625,0.6115,0.86291,0.54,0.48,0.4431,0.36251,0.62361,0.0,0.63617
SL001,Deferred maintenance and slow trust erosion,88,0.778,0.412,0.46,0.616,0.86508,0.54,0.48,0.44015,0.35821,0.62744,0.0,0.61196
SL001,Deferred maintenance and slow trust erosion,89,0.784,0.4085,0.4575,0.6205,0.86722,0.54,0.48,0.43719,0.35392,0.63127,0.0,0.58647
SL001,Deferred maintenance and slow trust erosion,90,0.79,0.405,0.455,0.625,0.86935,0.54,0.48,0.43423,0.34962,0.6351,0.0,0.55968
SL001,Deferred maintenance and slow trust erosion,91,0.796,0.4015,0.4525,0.6295,0.87145,0.54,0.48,0.43128,0.34533,0.63893,0.0,0.53161
SL001,Deferred maintenance and slow trust erosion,92,0.802,0.398,0.45,0.634,0.87354,0.54,0.48,0.42831,0.34103,0.64276,0.0,0.50224
SL001,Deferred maintenance and slow trust erosion,93,0.808,0.3945,0.4475,0.6385,0.87561,0.54,0.48,0.42535,0.33674,0.64659,0.0,0.47157
SL001,Deferred maintenance and slow trust erosion,94,0.814,0.391,0.445,0.643,0.87765,0.54,0.48,0.42239,0.33244,0.65042,0.0,0.43962
SL001,Deferred maintenance and slow trust erosion,95,0.82,0.3875,0.4425,0.6475,0.87968,0.54,0.48,0.41942,0.32814,0.65425,0.0,0.40636
SL001,Deferred maintenance and slow trust erosion,96,0.826,0.384,0.44,0.652,0.88169,0.54,0.48,0.41645,0.32384,0.65808,0.32,0.22462
SL001,Deferred maintenance and slow trust erosion,97,0.832,0.3805,0.4375,0.6565,0.88368,0.54,0.48,0.41348,0.31955,0.66191,0.0,0.18877
SL001,Deferred maintenance and slow trust erosion,98,0.838,0.377,0.435,0.661,0.88565,0.54,0.48,0.4105,0.31525,0.66574,0.0,0.15162
SL001,Deferred maintenance and slow trust erosion,99,0.844,0.3735,0.4325,0.6655,0.8876,0.54,0.48,0.40753,0.31095,0.66957,0.0,0.11318
SL001,Deferred maintenance and slow trust erosion,100,0.85,0.37,0.43,0.67,0.88953,0.54,0.48,0.40455,0.30666,0.6734,0.0,0.07343
SL001,Deferred maintenance and slow trust erosion,101,0.856,0.3665,0.4275,0.6745,0.89144,0.54,0.48,0.40157,0.30236,0.67723,0.0,0.03238
SL001,Deferred maintenance and slow trust erosion,102,0.862,0.363,0.425,0.679,0.89333,0.54,0.48,0.39859,0.29806,0.68106,0.0,0.0
SL001,Deferred maintenance and slow trust erosion,103,0.868,0.3595,0.4225,0.6835,0.8952,0.54,0.48,0.39561,0.29376,0.68489,0.0,0.0
SL001,Deferred maintenance and slow trust erosion,104,0.874,0.356,0.42,0.688,0.89705,0.54,0.48,0.39263,0.28946,0.68872,0.0,0.0
SL001,Deferred maintenance and slow trust erosion,105,0.88,0.3525,0.4175,0.6925,0.89888,0.54,0.48,0.38964,0.28516,0.69255,0.0,0.0
SL001,Deferred maintenance and slow trust erosion,106,0.886,0.349,0.415,0.697,0.9007,0.54,0.48,0.38665,0.28086,0.69638,0.0,0.0
SL001,Deferred maintenance and slow trust erosion,107,0.892,0.3455,0.4125,0.7015,0.90249,0.54,0.48,0.38366,0.27657,0.70021,0.0,0.0
SL001,Deferred maintenance and slow trust erosion,108,0.898,0.342,0.41,0.706,0.90426,0.54,0.48,0.38067,0.27227,0.70404,0.0,0.0
SL001,Deferred maintenance and slow trust erosion,109,0.904,0.3385,0.4075,0.7105,0.90602,0.54,0.48,0.37767,0.26797,0.70787,0.0,0.0
SL001,Deferred maintenance and slow trust erosion,110,0.91,0.335,0.405,0.715,0.90775,0.54,0.48,0.37468,0.26367,0.7117,0.0,0.0
SL001,Deferred maintenance and slow trust erosion,111,0.916,0.3315,0.4025,0.7195,0.90947,0.54,0.48,0.37168,0.25937,0.71553,0.0,0.0
SL001,Deferred maintenance and slow trust erosion,112,0.922,0.328,0.4,0.724,0.91116,0.54,0.48,0.36868,0.25507,0.71936,0.0,0.0
SL001,Deferred maintenance and slow trust erosion,113,0.928,0.3245,0.3975,0.7285,0.91284,0.54,0.48,0.36567,0.25077,0.72319,0.0,0.0
SL001,Deferred maintenance and slow trust erosion,114,0.934,0.321,0.395,0.733,0.9145,0.54,0.48,0.36267,0.24647,0.72702,0.0,0.0
SL001,Deferred maintenance and slow trust erosion,115,0.94,0.3175,0.3925,0.7375,0.91614,0.54,0.48,0.35966,0.24217,0.73085,0.0,0.0
SL001,Deferred maintenance and slow trust erosion,116,0.946,0.314,0.39,0.742,0.91775,0.54,0.48,0.35666,0.23787,0.73468,0.0,0.0
SL001,Deferred maintenance and slow trust erosion,117,0.952,0.3105,0.3875,0.7465,0.91935,0.54,0.48,0.35365,0.23356,0.73851,0.0,0.0
SL001,Deferred maintenance and slow trust erosion,118,0.958,0.307,0.385,0.751,0.92093,0.54,0.48,0.35063,0.22926,0.74234,0.0,0.0
SL001,Deferred maintenance and slow trust erosion,119,0.964,0.3035,0.3825,0.7555,0.92249,0.54,0.48,0.34762,0.22496,0.74617,0.0,0.0
SL001,Deferred maintenance and slow trust erosion,120,0.97,0.3,0.38,0.76,0.92403,0.54,0.48,0.3446,0.22066,0.75,0.0,0.0
SL002,Moderate adaptive investment,1,0.2523,0.72065,0.68045,0.2245,0.60389,0.5439,0.48267,0.69255,0.73378,0.29156,0.0,0.94467
SL002,Moderate adaptive investment,2,0.2546,0.7213,0.6809,0.229,0.60779,0.5478,0.48535,0.69251,0.73211,0.29272,0.0,1.0
SL002,Moderate adaptive investment,3,0.2569,0.72195,0.68135,0.2335,0.61169,0.5517,0.48802,0.69246,0.73043,0.29388,0.0,1.0
SL002,Moderate adaptive investment,4,0.2592,0.7226,0.6818,0.238,0.61561,0.5556,0.4907,0.69242,0.72876,0.29505,0.0,1.0
SL002,Moderate adaptive investment,5,0.2615,0.72325,0.68225,0.2425,0.61953,0.5595,0.49337,0.69238,0.72708,0.29621,0.0,1.0
SL002,Moderate adaptive investment,6,0.2638,0.7239,0.6827,0.247,0.62346,0.5634,0.49605,0.69234,0.72541,0.29737,0.0,1.0
SL002,Moderate adaptive investment,7,0.2661,0.72455,0.68315,0.2515,0.6274,0.5673,0.49872,0.69229,0.72373,0.29853,0.0,1.0
SL002,Moderate adaptive investment,8,0.2684,0.7252,0.6836,0.256,0.63135,0.5712,0.5014,0.69225,0.72206,0.29969,0.0,1.0
SL002,Moderate adaptive investment,9,0.2707,0.72585,0.68405,0.2605,0.6353,0.5751,0.50407,0.69222,0.72038,0.30085,0.0,1.0
SL002,Moderate adaptive investment,10,0.273,0.7265,0.6845,0.265,0.63927,0.579,0.50675,0.69218,0.71871,0.30202,0.0,1.0
SL002,Moderate adaptive investment,11,0.2753,0.72715,0.68495,0.2695,0.64324,0.5829,0.50942,0.69214,0.71703,0.30318,0.0,1.0
SL002,Moderate adaptive investment,12,0.2776,0.7278,0.6854,0.274,0.64723,0.5868,0.5121,0.6921,0.71536,0.30434,0.0,1.0
SL002,Moderate adaptive investment,13,0.2799,0.72845,0.68585,0.2785,0.65122,0.5907,0.51477,0.69207,0.71368,0.3055,0.0,1.0
SL002,Moderate adaptive investment,14,0.2822,0.7291,0.6863,0.283,0.65522,0.5946,0.51745,0.69203,0.71201,0.30666,0.0,1.0
SL002,Moderate adaptive investment,15,0.2845,0.72975,0.68675,0.2875,0.65923,0.5985,0.52012,0.692,0.71033,0.30782,0.0,1.0
SL002,Moderate adaptive investment,16,0.2868,0.7304,0.6872,0.292,0.66324,0.6024,0.5228,0.69196,0.70866,0.30898,0.0,1.0
SL002,Moderate adaptive investment,17,0.2891,0.73105,0.68765,0.2965,0.66727,0.6063,0.52547,0.69193,0.70699,0.31015,0.0,1.0
SL002,Moderate adaptive investment,18,0.2914,0.7317,0.6881,0.301,0.6713,0.6102,0.52815,0.6919,0.70531,0.31131,0.0,1.0
SL002,Moderate adaptive investment,19,0.2937,0.73235,0.68855,0.3055,0.67534,0.6141,0.53082,0.69187,0.70364,0.31247,0.0,1.0
SL002,Moderate adaptive investment,20,0.296,0.733,0.689,0.31,0.6794,0.618,0.5335,0.69184,0.70196,0.31363,0.0,1.0
SL002,Moderate adaptive investment,21,0.2983,0.73365,0.68945,0.3145,0.68346,0.6219,0.53617,0.69181,0.70029,0.31479,0.0,1.0
SL002,Moderate adaptive investment,22,0.3006,0.7343,0.6899,0.319,0.68752,0.6258,0.53885,0.69178,0.69862,0.31595,0.0,1.0
SL002,Moderate adaptive investment,23,0.3029,0.73495,0.69035,0.3235,0.6916,0.6297,0.54152,0.69175,0.69694,0.31711,0.0,1.0
SL002,Moderate adaptive investment,24,0.3052,0.7356,0.6908,0.328,0.69569,0.6336,0.5442,0.69173,0.69527,0.31828,0.0,1.0
SL002,Moderate adaptive investment,25,0.3075,0.73625,0.69125,0.3325,0.69978,0.6375,0.54687,0.6917,0.6936,0.31944,0.0,1.0
SL002,Moderate adaptive investment,26,0.3098,0.7369,0.6917,0.337,0.70388,0.6414,0.54955,0.69168,0.69192,0.3206,0.0,1.0
SL002,Moderate adaptive investment,27,0.3121,0.73755,0.69215,0.3415,0.70799,0.6453,0.55222,0.69165,0.69025,0.32176,0.0,1.0
SL002,Moderate adaptive investment,28,0.3144,0.7382,0.6926,0.346,0.71211,0.6492,0.5549,0.69163,0.68858,0.32292,0.0,1.0
SL002,Moderate adaptive investment,29,0.3167,0.73885,0.69305,0.3505,0.71624,0.6531,0.55757,0.69161,0.6869,0.32408,0.0,1.0
SL002,Moderate adaptive investment,30,0.319,0.7395,0.6935,0.355,0.72038,0.657,0.56025,0.69159,0.68523,0.32525,0.0,1.0
SL002,Moderate adaptive investment,31,0.3213,0.74015,0.69395,0.3595,0.72452,0.6609,0.56292,0.69157,0.68356,0.32641,0.0,1.0
SL002,Moderate adaptive investment,32,0.3236,0.7408,0.6944,0.364,0.72867,0.6648,0.5656,0.69155,0.68188,0.32757,0.0,1.0
SL002,Moderate adaptive investment,33,0.3259,0.74145,0.69485,0.3685,0.73284,0.6687,0.56827,0.69153,0.68021,0.32873,0.0,1.0
SL002,Moderate adaptive investment,34,0.3282,0.7421,0.6953,0.373,0.73701,0.6726,0.57095,0.69151,0.67854,0.32989,0.0,1.0
SL002,Moderate adaptive investment,35,0.3305,0.74275,0.69575,0.3775,0.74119,0.6765,0.57362,0.69149,0.67686,0.33105,0.0,1.0
SL002,Moderate adaptive investment,36,0.3328,0.7434,0.6962,0.382,0.74537,0.6804,0.5763,0.69148,0.67519,0.33221,0.0,1.0
SL002,Moderate adaptive investment,37,0.3351,0.74405,0.69665,0.3865,0.74957,0.6843,0.57897,0.69146,0.67352,0.33338,0.0,1.0
SL002,Moderate adaptive investment,38,0.3374,0.7447,0.6971,0.391,0.75378,0.6882,0.58165,0.69145,0.67185,0.33454,0.0,1.0
SL002,Moderate adaptive investment,39,0.3397,0.74535,0.69755,0.3955,0.75799,0.6921,0.58432,0.69143,0.67017,0.3357,0.0,1.0
SL002,Moderate adaptive investment,40,0.342,0.746,0.698,0.4,0.76221,0.696,0.587,0.69142,0.6685,0.33686,0.0,1.0
SL002,Moderate adaptive investment,41,0.3443,0.74665,0.69845,0.4045,0.76644,0.6999,0.58967,0.69141,0.66683,0.33802,0.0,1.0
SL002,Moderate adaptive investment,42,0.3466,0.7473,0.6989,0.409,0.77068,0.7038,0.59235,0.6914,0.66516,0.33918,0.0,1.0
SL002,Moderate adaptive investment,43,0.3489,0.74795,0.69935,0.4135,0.77493,0.7077,0.59502,0.69139,0.66349,0.34034,0.0,1.0
SL002,Moderate adaptive investment,44,0.3512,0.7486,0.6998,0.418,0.77918,0.7116,0.5977,0.69138,0.66181,0.34151,0.0,1.0
SL002,Moderate adaptive investment,45,0.3535,0.74925,0.70025,0.4225,0.78345,0.7155,0.60037,0.69137,0.66014,0.34267,0.0,1.0
SL002,Moderate adaptive investment,46,0.3558,0.7499,0.7007,0.427,0.78772,0.7194,0.60305,0.69136,0.65847,0.34383,0.0,1.0
SL002,Moderate adaptive investment,47,0.3581,0.75055,0.70115,0.4315,0.792,0.7233,0.60572,0.69136,0.6568,0.34499,0.0,1.0
SL002,Moderate adaptive investment,48,0.3604,0.7512,0.7016,0.436,0.79629,0.7272,0.6084,0.69135,0.65513,0.34615,0.0,1.0
SL002,Moderate adaptive investment,49,0.3627,0.75185,0.70205,0.4405,0.80059,0.7311,0.61107,0.69134,0.65346,0.34731,0.0,1.0
SL002,Moderate adaptive investment,50,0.365,0.7525,0.7025,0.445,0.8049,0.735,0.61375,0.69134,0.65178,0.34848,0.0,1.0
SL002,Moderate adaptive investment,51,0.3673,0.75315,0.70295,0.4495,0.80922,0.7389,0.61642,0.69134,0.65011,0.34964,0.0,1.0
SL002,Moderate adaptive investment,52,0.3696,0.7538,0.7034,0.454,0.81354,0.7428,0.6191,0.69133,0.64844,0.3508,0.0,1.0
SL002,Moderate adaptive investment,53,0.3719,0.75445,0.70385,0.4585,0.81788,0.7467,0.62177,0.69133,0.64677,0.35196,0.0,1.0
SL002,Moderate adaptive investment,54,0.3742,0.7551,0.7043,0.463,0.82222,0.7506,0.62445,0.69133,0.6451,0.35312,0.0,1.0
SL002,Moderate adaptive investment,55,0.3765,0.75575,0.70475,0.4675,0.82657,0.7545,0.62712,0.69133,0.64343,0.35428,0.0,1.0
SL002,Moderate adaptive investment,56,0.3788,0.7564,0.7052,0.472,0.83093,0.7584,0.6298,0.69133,0.64176,0.35544,0.0,1.0
SL002,Moderate adaptive investment,57,0.3811,0.75705,0.70565,0.4765,0.83529,0.7623,0.63247,0.69133,0.64009,0.35661,0.0,1.0
SL002,Moderate adaptive investment,58,0.3834,0.7577,0.7061,0.481,0.83967,0.7662,0.63515,0.69134,0.63842,0.35777,0.0,1.0
SL002,Moderate adaptive investment,59,0.3857,0.75835,0.70655,0.4855,0.84405,0.7701,0.63782,0.69134,0.63675,0.35893,0.0,1.0
SL002,Moderate adaptive investment,60,0.388,0.759,0.707,0.49,0.84845,0.774,0.6405,0.69134,0.63507,0.36009,0.0,1.0
SL002,Moderate adaptive investment,61,0.3903,0.75965,0.70745,0.4945,0.85285,0.7779,0.64317,0.69135,0.6334,0.36125,0.0,1.0
