strategy_id,strategy,system_domain,monitoring_quality,memory_retention,feedback_use,governance_flexibility,community_knowledge,justice_protection,implementation_reliability,forgetting_pressure,critical_function,adaptive_learning_value,scenario,rank
AM001,Ecological Monitoring and Threshold Review,ecological systems,8.6,8.2,8.1,7.5,7.4,7.5,7.8,3.2,detect ecological change and revise management before threshold crossing,7.205999999999999,Community-knowledge-first,5
AM004,Infrastructure Memory and Maintenance Analytics,infrastructure,8.4,8.8,8.2,7.4,6.8,7,8.4,3.4,preserve asset history failure logs maintenance records and dependency knowledge,7.026,Community-knowledge-first,6
AM005,Adaptive Governance Decision-Trigger Framework,adaptive governance,8.1,7.9,8.8,8.7,7.9,8,8,3.1,link monitoring thresholds to accountable decision triggers and policy revision,7.705,Feedback-use-first,1
AM003,Community Knowledge and Early Warning Network,community resilience,7.9,8.3,8,7.7,9,8.8,7.6,2.8,integrate local knowledge lived experience and trusted warning systems,7.451,Feedback-use-first,2
AM002,Institutional After-Action Learning System,institutions and governance,7.8,8.5,8.3,7.9,7.6,7.8,8.1,3,convert crisis experience into revised rules funding staffing and accountability,7.4270000000000005,Feedback-use-first,3
AM004,Infrastructure Memory and Maintenance Analytics,infrastructure,8.4,8.8,8.2,7.4,6.8,7,8.4,3.4,preserve asset history failure logs maintenance records and dependency knowledge,7.2940000000000005,Feedback-use-first,4
AM001,Ecological Monitoring and Threshold Review,ecological systems,8.6,8.2,8.1,7.5,7.4,7.5,7.8,3.2,detect ecological change and revise management before threshold crossing,7.284999999999999,Feedback-use-first,5
AM006,Safe-to-Fail Climate Adaptation Pilots,climate adaptation,7.7,7.5,7.9,8.2,8.4,8.3,7.3,3.5,test bounded adaptation options without exposing communities to uncontrolled harm,7.218999999999999,Feedback-use-first,6
AM003,Community Knowledge and Early Warning Network,community resilience,7.9,8.3,8,7.7,9,8.8,7.6,2.8,integrate local knowledge lived experience and trusted warning systems,6.101,Forgetting-sensitive,1
AM005,Adaptive Governance Decision-Trigger Framework,adaptive governance,8.1,7.9,8.8,8.7,7.9,8,8,3.1,link monitoring thresholds to accountable decision triggers and policy revision,6.08,Forgetting-sensitive,2
AM002,Institutional After-Action Learning System,institutions and governance,7.8,8.5,8.3,7.9,7.6,7.8,8.1,3,convert crisis experience into revised rules funding staffing and accountability,5.9479999999999995,Forgetting-sensitive,3
AM001,Ecological Monitoring and Threshold Review,ecological systems,8.6,8.2,8.1,7.5,7.4,7.5,7.8,3.2,detect ecological change and revise management before threshold crossing,5.801,Forgetting-sensitive,4
AM004,Infrastructure Memory and Maintenance Analytics,infrastructure,8.4,8.8,8.2,7.4,6.8,7,8.4,3.4,preserve asset history failure logs maintenance records and dependency knowledge,5.772,Forgetting-sensitive,5
AM006,Safe-to-Fail Climate Adaptation Pilots,climate adaptation,7.7,7.5,7.9,8.2,8.4,8.3,7.3,3.5,test bounded adaptation options without exposing communities to uncontrolled harm,5.731999999999999,Forgetting-sensitive,6
AM005,Adaptive Governance Decision-Trigger Framework,adaptive governance,8.1,7.9,8.8,8.7,7.9,8,8,3.1,link monitoring thresholds to accountable decision triggers and policy revision,7.787999999999999,Governance-first,1
AM003,Community Knowledge and Early Warning Network,community resilience,7.9,8.3,8,7.7,9,8.8,7.6,2.8,integrate local knowledge lived experience and trusted warning systems,7.515000000000001,Governance-first,2
AM002,Institutional After-Action Learning System,institutions and governance,7.8,8.5,8.3,7.9,7.6,7.8,8.1,3,convert crisis experience into revised rules funding staffing and accountability,7.45,Governance-first,3
AM006,Safe-to-Fail Climate Adaptation Pilots,climate adaptation,7.7,7.5,7.9,8.2,8.4,8.3,7.3,3.5,test bounded adaptation options without exposing communities to uncontrolled harm,7.401000000000001,Governance-first,4
AM001,Ecological Monitoring and Threshold Review,ecological systems,8.6,8.2,8.1,7.5,7.4,7.5,7.8,3.2,detect ecological change and revise management before threshold crossing,7.266000000000001,Governance-first,5
AM004,Infrastructure Memory and Maintenance Analytics,infrastructure,8.4,8.8,8.2,7.4,6.8,7,8.4,3.4,preserve asset history failure logs maintenance records and dependency knowledge,7.226000000000001,Governance-first,6
AM003,Community Knowledge and Early Warning Network,community resilience,7.9,8.3,8,7.7,9,8.8,7.6,2.8,integrate local knowledge lived experience and trusted warning systems,7.815,Justice-first,1
AM005,Adaptive Governance Decision-Trigger Framework,adaptive governance,8.1,7.9,8.8,8.7,7.9,8,8,3.1,link monitoring thresholds to accountable decision triggers and policy revision,7.61,Justice-first,2
AM006,Safe-to-Fail Climate Adaptation Pilots,climate adaptation,7.7,7.5,7.9,8.2,8.4,8.3,7.3,3.5,test bounded adaptation options without exposing communities to uncontrolled harm,7.4590000000000005,Justice-first,3
AM002,Institutional After-Action Learning System,institutions and governance,7.8,8.5,8.3,7.9,7.6,7.8,8.1,3,convert crisis experience into revised rules funding staffing and accountability,7.403,Justice-first,4
AM001,Ecological Monitoring and Threshold Review,ecological systems,8.6,8.2,8.1,7.5,7.4,7.5,7.8,3.2,detect ecological change and revise management before threshold crossing,7.223,Justice-first,5
AM004,Infrastructure Memory and Maintenance Analytics,infrastructure,8.4,8.8,8.2,7.4,6.8,7,8.4,3.4,preserve asset history failure logs maintenance records and dependency knowledge,7.0600000000000005,Justice-first,6
AM003,Community Knowledge and Early Warning Network,community resilience,7.9,8.3,8,7.7,9,8.8,7.6,2.8,integrate local knowledge lived experience and trusted warning systems,7.526000000000001,Memory-first,1
AM005,Adaptive Governance Decision-Trigger Framework,adaptive governance,8.1,7.9,8.8,8.7,7.9,8,8,3.1,link monitoring thresholds to accountable decision triggers and policy revision,7.5,Memory-first,2
AM002,Institutional After-Action Learning System,institutions and governance,7.8,8.5,8.3,7.9,7.6,7.8,8.1,3,convert crisis experience into revised rules funding staffing and accountability,7.481,Memory-first,3
AM004,Infrastructure Memory and Maintenance Analytics,infrastructure,8.4,8.8,8.2,7.4,6.8,7,8.4,3.4,preserve asset history failure logs maintenance records and dependency knowledge,7.448,Memory-first,4
AM001,Ecological Monitoring and Threshold Review,ecological systems,8.6,8.2,8.1,7.5,7.4,7.5,7.8,3.2,detect ecological change and revise management before threshold crossing,7.319999999999999,Memory-first,5
AM006,Safe-to-Fail Climate Adaptation Pilots,climate adaptation,7.7,7.5,7.9,8.2,8.4,8.3,7.3,3.5,test bounded adaptation options without exposing communities to uncontrolled harm,7.121,Memory-first,6
AM005,Adaptive Governance Decision-Trigger Framework,adaptive governance,8.1,7.9,8.8,8.7,7.9,8,8,3.1,link monitoring thresholds to accountable decision triggers and policy revision,7.545999999999999,Monitoring-first,1
AM003,Community Knowledge and Early Warning Network,community resilience,7.9,8.3,8,7.7,9,8.8,7.6,2.8,integrate local knowledge lived experience and trusted warning systems,7.434,Monitoring-first,2
AM001,Ecological Monitoring and Threshold Review,ecological systems,8.6,8.2,8.1,7.5,7.4,7.5,7.8,3.2,detect ecological change and revise management before threshold crossing,7.412,Monitoring-first,3
AM004,Infrastructure Memory and Maintenance Analytics,infrastructure,8.4,8.8,8.2,7.4,6.8,7,8.4,3.4,preserve asset history failure logs maintenance records and dependency knowledge,7.356000000000002,Monitoring-first,4
AM002,Institutional After-Action Learning System,institutions and governance,7.8,8.5,8.3,7.9,7.6,7.8,8.1,3,convert crisis experience into revised rules funding staffing and accountability,7.32,Monitoring-first,5
AM006,Safe-to-Fail Climate Adaptation Pilots,climate adaptation,7.7,7.5,7.9,8.2,8.4,8.3,7.3,3.5,test bounded adaptation options without exposing communities to uncontrolled harm,7.167,Monitoring-first,6
