simulation_id,strategy_id,strategy,rank,adaptive_learning_value,winner
6,AM002,Institutional After-Action Learning System,1,7.62407,Institutional After-Action Learning System
6,AM003,Community Knowledge and Early Warning Network,2,7.52177,Institutional After-Action Learning System
6,AM005,Adaptive Governance Decision-Trigger Framework,3,7.32667,Institutional After-Action Learning System
6,AM001,Ecological Monitoring and Threshold Review,4,7.25932,Institutional After-Action Learning System
6,AM006,Safe-to-Fail Climate Adaptation Pilots,5,7.07153,Institutional After-Action Learning System
6,AM004,Infrastructure Memory and Maintenance Analytics,6,6.98252,Institutional After-Action Learning System
7,AM003,Community Knowledge and Early Warning Network,1,7.54134,Community Knowledge and Early Warning Network
7,AM002,Institutional After-Action Learning System,2,7.36636,Community Knowledge and Early Warning Network
7,AM005,Adaptive Governance Decision-Trigger Framework,3,7.33314,Community Knowledge and Early Warning Network
7,AM001,Ecological Monitoring and Threshold Review,4,7.26312,Community Knowledge and Early Warning Network
7,AM006,Safe-to-Fail Climate Adaptation Pilots,5,6.93969,Community Knowledge and Early Warning Network
7,AM004,Infrastructure Memory and Maintenance Analytics,6,6.78581,Community Knowledge and Early Warning Network
8,AM005,Adaptive Governance Decision-Trigger Framework,1,7.4753,Adaptive Governance Decision-Trigger Framework
8,AM001,Ecological Monitoring and Threshold Review,2,7.41583,Adaptive Governance Decision-Trigger Framework
8,AM002,Institutional After-Action Learning System,3,7.36307,Adaptive Governance Decision-Trigger Framework
8,AM003,Community Knowledge and Early Warning Network,4,7.18607,Adaptive Governance Decision-Trigger Framework
8,AM006,Safe-to-Fail Climate Adaptation Pilots,5,6.93046,Adaptive Governance Decision-Trigger Framework
8,AM004,Infrastructure Memory and Maintenance Analytics,6,6.872,Adaptive Governance Decision-Trigger Framework
9,AM001,Ecological Monitoring and Threshold Review,1,7.42163,Ecological Monitoring and Threshold Review
9,AM005,Adaptive Governance Decision-Trigger Framework,2,7.41644,Ecological Monitoring and Threshold Review
9,AM003,Community Knowledge and Early Warning Network,3,7.30532,Ecological Monitoring and Threshold Review
9,AM004,Infrastructure Memory and Maintenance Analytics,4,6.94543,Ecological Monitoring and Threshold Review
9,AM006,Safe-to-Fail Climate Adaptation Pilots,5,6.94171,Ecological Monitoring and Threshold Review
9,AM002,Institutional After-Action Learning System,6,6.62033,Ecological Monitoring and Threshold Review
10,AM004,Infrastructure Memory and Maintenance Analytics,1,7.47025,Infrastructure Memory and Maintenance Analytics
10,AM005,Adaptive Governance Decision-Trigger Framework,2,7.29459,Infrastructure Memory and Maintenance Analytics
10,AM003,Community Knowledge and Early Warning Network,3,7.23572,Infrastructure Memory and Maintenance Analytics
10,AM002,Institutional After-Action Learning System,4,7.06407,Infrastructure Memory and Maintenance Analytics
10,AM001,Ecological Monitoring and Threshold Review,5,7.01408,Infrastructure Memory and Maintenance Analytics
10,AM006,Safe-to-Fail Climate Adaptation Pilots,6,6.84749,Infrastructure Memory and Maintenance Analytics
11,AM004,Infrastructure Memory and Maintenance Analytics,1,7.64885,Infrastructure Memory and Maintenance Analytics
11,AM003,Community Knowledge and Early Warning Network,2,7.55038,Infrastructure Memory and Maintenance Analytics
11,AM001,Ecological Monitoring and Threshold Review,3,7.36624,Infrastructure Memory and Maintenance Analytics
11,AM005,Adaptive Governance Decision-Trigger Framework,4,7.33013,Infrastructure Memory and Maintenance Analytics
11,AM002,Institutional After-Action Learning System,5,7.30402,Infrastructure Memory and Maintenance Analytics
11,AM006,Safe-to-Fail Climate Adaptation Pilots,6,6.47249,Infrastructure Memory and Maintenance Analytics
12,AM003,Community Knowledge and Early Warning Network,1,7.68776,Community Knowledge and Early Warning Network
12,AM005,Adaptive Governance Decision-Trigger Framework,2,7.28007,Community Knowledge and Early Warning Network
12,AM002,Institutional After-Action Learning System,3,7.18381,Community Knowledge and Early Warning Network
12,AM001,Ecological Monitoring and Threshold Review,4,7.05327,Community Knowledge and Early Warning Network
12,AM006,Safe-to-Fail Climate Adaptation Pilots,5,6.9567,Community Knowledge and Early Warning Network
12,AM004,Infrastructure Memory and Maintenance Analytics,6,6.9233,Community Knowledge and Early Warning Network
13,AM005,Adaptive Governance Decision-Trigger Framework,1,7.63549,Adaptive Governance Decision-Trigger Framework
13,AM003,Community Knowledge and Early Warning Network,2,7.52871,Adaptive Governance Decision-Trigger Framework
13,AM002,Institutional After-Action Learning System,3,7.34507,Adaptive Governance Decision-Trigger Framework
13,AM004,Infrastructure Memory and Maintenance Analytics,4,7.18702,Adaptive Governance Decision-Trigger Framework
13,AM001,Ecological Monitoring and Threshold Review,5,7.00542,Adaptive Governance Decision-Trigger Framework
13,AM006,Safe-to-Fail Climate Adaptation Pilots,6,6.7353,Adaptive Governance Decision-Trigger Framework
14,AM005,Adaptive Governance Decision-Trigger Framework,1,7.49366,Adaptive Governance Decision-Trigger Framework
14,AM003,Community Knowledge and Early Warning Network,2,7.31333,Adaptive Governance Decision-Trigger Framework
14,AM002,Institutional After-Action Learning System,3,7.28857,Adaptive Governance Decision-Trigger Framework
14,AM006,Safe-to-Fail Climate Adaptation Pilots,4,7.17041,Adaptive Governance Decision-Trigger Framework
14,AM001,Ecological Monitoring and Threshold Review,5,6.84009,Adaptive Governance Decision-Trigger Framework
14,AM004,Infrastructure Memory and Maintenance Analytics,6,6.57292,Adaptive Governance Decision-Trigger Framework
15,AM001,Ecological Monitoring and Threshold Review,1,7.63085,Ecological Monitoring and Threshold Review
15,AM005,Adaptive Governance Decision-Trigger Framework,2,7.44992,Ecological Monitoring and Threshold Review
15,AM002,Institutional After-Action Learning System,3,7.29507,Ecological Monitoring and Threshold Review
15,AM003,Community Knowledge and Early Warning Network,4,7.09621,Ecological Monitoring and Threshold Review
15,AM004,Infrastructure Memory and Maintenance Analytics,5,6.9874,Ecological Monitoring and Threshold Review
15,AM006,Safe-to-Fail Climate Adaptation Pilots,6,6.62561,Ecological Monitoring and Threshold Review
16,AM003,Community Knowledge and Early Warning Network,1,7.60835,Community Knowledge and Early Warning Network
16,AM001,Ecological Monitoring and Threshold Review,2,7.48555,Community Knowledge and Early Warning Network
16,AM002,Institutional After-Action Learning System,3,7.41041,Community Knowledge and Early Warning Network
16,AM004,Infrastructure Memory and Maintenance Analytics,4,7.0754,Community Knowledge and Early Warning Network
16,AM006,Safe-to-Fail Climate Adaptation Pilots,5,7.0096,Community Knowledge and Early Warning Network
16,AM005,Adaptive Governance Decision-Trigger Framework,6,6.94352,Community Knowledge and Early Warning Network
17,AM005,Adaptive Governance Decision-Trigger Framework,1,7.63354,Adaptive Governance Decision-Trigger Framework
17,AM002,Institutional After-Action Learning System,2,7.36188,Adaptive Governance Decision-Trigger Framework
17,AM006,Safe-to-Fail Climate Adaptation Pilots,3,7.24086,Adaptive Governance Decision-Trigger Framework
17,AM003,Community Knowledge and Early Warning Network,4,6.97064,Adaptive Governance Decision-Trigger Framework
17,AM001,Ecological Monitoring and Threshold Review,5,6.96062,Adaptive Governance Decision-Trigger Framework
17,AM004,Infrastructure Memory and Maintenance Analytics,6,6.82983,Adaptive Governance Decision-Trigger Framework
18,AM003,Community Knowledge and Early Warning Network,1,7.68858,Community Knowledge and Early Warning Network
18,AM002,Institutional After-Action Learning System,2,7.469,Community Knowledge and Early Warning Network
18,AM001,Ecological Monitoring and Threshold Review,3,7.45015,Community Knowledge and Early Warning Network
18,AM005,Adaptive Governance Decision-Trigger Framework,4,7.36263,Community Knowledge and Early Warning Network
18,AM004,Infrastructure Memory and Maintenance Analytics,5,7.11345,Community Knowledge and Early Warning Network
18,AM006,Safe-to-Fail Climate Adaptation Pilots,6,7.00951,Community Knowledge and Early Warning Network
19,AM005,Adaptive Governance Decision-Trigger Framework,1,7.70706,Adaptive Governance Decision-Trigger Framework
19,AM003,Community Knowledge and Early Warning Network,2,7.38372,Adaptive Governance Decision-Trigger Framework
19,AM006,Safe-to-Fail Climate Adaptation Pilots,3,7.22202,Adaptive Governance Decision-Trigger Framework
19,AM001,Ecological Monitoring and Threshold Review,4,7.02292,Adaptive Governance Decision-Trigger Framework
19,AM004,Infrastructure Memory and Maintenance Analytics,5,6.92787,Adaptive Governance Decision-Trigger Framework
19,AM002,Institutional After-Action Learning System,6,6.5609,Adaptive Governance Decision-Trigger Framework
20,AM003,Community Knowledge and Early Warning Network,1,7.96623,Community Knowledge and Early Warning Network
20,AM005,Adaptive Governance Decision-Trigger Framework,2,7.50255,Community Knowledge and Early Warning Network
20,AM001,Ecological Monitoring and Threshold Review,3,7.07224,Community Knowledge and Early Warning Network
20,AM006,Safe-to-Fail Climate Adaptation Pilots,4,6.95663,Community Knowledge and Early Warning Network
20,AM004,Infrastructure Memory and Maintenance Analytics,5,6.91254,Community Knowledge and Early Warning Network
20,AM002,Institutional After-Action Learning System,6,6.90968,Community Knowledge and Early Warning Network
21,AM003,Community Knowledge and Early Warning Network,1,7.904,Community Knowledge and Early Warning Network
21,AM002,Institutional After-Action Learning System,2,7.75066,Community Knowledge and Early Warning Network
21,AM004,Infrastructure Memory and Maintenance Analytics,3,7.33781,Community Knowledge and Early Warning Network
21,AM005,Adaptive Governance Decision-Trigger Framework,4,7.18597,Community Knowledge and Early Warning Network
21,AM001,Ecological Monitoring and Threshold Review,5,6.95516,Community Knowledge and Early Warning Network
21,AM006,Safe-to-Fail Climate Adaptation Pilots,6,6.93082,Community Knowledge and Early Warning Network
22,AM005,Adaptive Governance Decision-Trigger Framework,1,7.48809,Adaptive Governance Decision-Trigger Framework
22,AM002,Institutional After-Action Learning System,2,7.21588,Adaptive Governance Decision-Trigger Framework
22,AM003,Community Knowledge and Early Warning Network,3,6.98799,Adaptive Governance Decision-Trigger Framework
22,AM004,Infrastructure Memory and Maintenance Analytics,4,6.97834,Adaptive Governance Decision-Trigger Framework
22,AM001,Ecological Monitoring and Threshold Review,5,6.97008,Adaptive Governance Decision-Trigger Framework
22,AM006,Safe-to-Fail Climate Adaptation Pilots,6,6.7874,Adaptive Governance Decision-Trigger Framework
23,AM003,Community Knowledge and Early Warning Network,1,7.39648,Community Knowledge and Early Warning Network
23,AM002,Institutional After-Action Learning System,2,7.36461,Community Knowledge and Early Warning Network
23,AM005,Adaptive Governance Decision-Trigger Framework,3,7.29218,Community Knowledge and Early Warning Network
23,AM004,Infrastructure Memory and Maintenance Analytics,4,7.15874,Community Knowledge and Early Warning Network
23,AM006,Safe-to-Fail Climate Adaptation Pilots,5,7.04916,Community Knowledge and Early Warning Network
23,AM001,Ecological Monitoring and Threshold Review,6,6.58187,Community Knowledge and Early Warning Network
24,AM003,Community Knowledge and Early Warning Network,1,7.68412,Community Knowledge and Early Warning Network
24,AM005,Adaptive Governance Decision-Trigger Framework,2,7.47077,Community Knowledge and Early Warning Network
24,AM004,Infrastructure Memory and Maintenance Analytics,3,7.12471,Community Knowledge and Early Warning Network
24,AM006,Safe-to-Fail Climate Adaptation Pilots,4,7.02626,Community Knowledge and Early Warning Network
24,AM002,Institutional After-Action Learning System,5,6.95643,Community Knowledge and Early Warning Network
24,AM001,Ecological Monitoring and Threshold Review,6,6.8836,Community Knowledge and Early Warning Network
25,AM002,Institutional After-Action Learning System,1,7.63939,Institutional After-Action Learning System
25,AM006,Safe-to-Fail Climate Adaptation Pilots,2,7.51325,Institutional After-Action Learning System
25,AM003,Community Knowledge and Early Warning Network,3,7.2935,Institutional After-Action Learning System
25,AM005,Adaptive Governance Decision-Trigger Framework,4,7.17,Institutional After-Action Learning System
25,AM001,Ecological Monitoring and Threshold Review,5,6.88779,Institutional After-Action Learning System
25,AM004,Infrastructure Memory and Maintenance Analytics,6,6.73318,Institutional After-Action Learning System
26,AM005,Adaptive Governance Decision-Trigger Framework,1,7.42594,Adaptive Governance Decision-Trigger Framework
26,AM004,Infrastructure Memory and Maintenance Analytics,2,7.39932,Adaptive Governance Decision-Trigger Framework
26,AM003,Community Knowledge and Early Warning Network,3,7.37142,Adaptive Governance Decision-Trigger Framework
26,AM002,Institutional After-Action Learning System,4,7.28475,Adaptive Governance Decision-Trigger Framework
26,AM006,Safe-to-Fail Climate Adaptation Pilots,5,7.26433,Adaptive Governance Decision-Trigger Framework
26,AM001,Ecological Monitoring and Threshold Review,6,6.91398,Adaptive Governance Decision-Trigger Framework
27,AM003,Community Knowledge and Early Warning Network,1,7.73327,Community Knowledge and Early Warning Network
27,AM005,Adaptive Governance Decision-Trigger Framework,2,7.32833,Community Knowledge and Early Warning Network
27,AM001,Ecological Monitoring and Threshold Review,3,7.20869,Community Knowledge and Early Warning Network
27,AM004,Infrastructure Memory and Maintenance Analytics,4,7.08493,Community Knowledge and Early Warning Network
27,AM002,Institutional After-Action Learning System,5,6.96455,Community Knowledge and Early Warning Network
27,AM006,Safe-to-Fail Climate Adaptation Pilots,6,6.96074,Community Knowledge and Early Warning Network
28,AM005,Adaptive Governance Decision-Trigger Framework,1,7.83284,Adaptive Governance Decision-Trigger Framework
28,AM003,Community Knowledge and Early Warning Network,2,7.63272,Adaptive Governance Decision-Trigger Framework
28,AM002,Institutional After-Action Learning System,3,7.53313,Adaptive Governance Decision-Trigger Framework
28,AM006,Safe-to-Fail Climate Adaptation Pilots,4,7.31509,Adaptive Governance Decision-Trigger Framework
28,AM001,Ecological Monitoring and Threshold Review,5,7.17938,Adaptive Governance Decision-Trigger Framework
28,AM004,Infrastructure Memory and Maintenance Analytics,6,7.15291,Adaptive Governance Decision-Trigger Framework
29,AM003,Community Knowledge and Early Warning Network,1,7.48172,Community Knowledge and Early Warning Network
29,AM002,Institutional After-Action Learning System,2,7.249,Community Knowledge and Early Warning Network
29,AM001,Ecological Monitoring and Threshold Review,3,7.12532,Community Knowledge and Early Warning Network
29,AM005,Adaptive Governance Decision-Trigger Framework,4,7.12498,Community Knowledge and Early Warning Network
29,AM004,Infrastructure Memory and Maintenance Analytics,5,7.06954,Community Knowledge and Early Warning Network
29,AM006,Safe-to-Fail Climate Adaptation Pilots,6,6.78488,Community Knowledge and Early Warning Network
30,AM004,Infrastructure Memory and Maintenance Analytics,1,7.36305,Infrastructure Memory and Maintenance Analytics
30,AM003,Community Knowledge and Early Warning Network,2,7.33831,Infrastructure Memory and Maintenance Analytics
30,AM002,Institutional After-Action Learning System,3,7.33139,Infrastructure Memory and Maintenance Analytics
30,AM006,Safe-to-Fail Climate Adaptation Pilots,4,7.14408,Infrastructure Memory and Maintenance Analytics
30,AM001,Ecological Monitoring and Threshold Review,5,7.10384,Infrastructure Memory and Maintenance Analytics
30,AM005,Adaptive Governance Decision-Trigger Framework,6,6.97939,Infrastructure Memory and Maintenance Analytics
31,AM003,Community Knowledge and Early Warning Network,1,7.56392,Community Knowledge and Early Warning Network
31,AM001,Ecological Monitoring and Threshold Review,2,7.35162,Community Knowledge and Early Warning Network
31,AM005,Adaptive Governance Decision-Trigger Framework,3,7.32964,Community Knowledge and Early Warning Network
31,AM002,Institutional After-Action Learning System,4,7.19552,Community Knowledge and Early Warning Network
31,AM006,Safe-to-Fail Climate Adaptation Pilots,5,7.08895,Community Knowledge and Early Warning Network
31,AM004,Infrastructure Memory and Maintenance Analytics,6,6.5896,Community Knowledge and Early Warning Network
32,AM003,Community Knowledge and Early Warning Network,1,7.70112,Community Knowledge and Early Warning Network
32,AM005,Adaptive Governance Decision-Trigger Framework,2,7.34644,Community Knowledge and Early Warning Network
32,AM001,Ecological Monitoring and Threshold Review,3,7.32052,Community Knowledge and Early Warning Network
32,AM006,Safe-to-Fail Climate Adaptation Pilots,4,7.2452,Community Knowledge and Early Warning Network
32,AM002,Institutional After-Action Learning System,5,7.12377,Community Knowledge and Early Warning Network
32,AM004,Infrastructure Memory and Maintenance Analytics,6,7.10432,Community Knowledge and Early Warning Network
33,AM001,Ecological Monitoring and Threshold Review,1,7.42542,Ecological Monitoring and Threshold Review
33,AM005,Adaptive Governance Decision-Trigger Framework,2,7.33685,Ecological Monitoring and Threshold Review
33,AM002,Institutional After-Action Learning System,3,7.33026,Ecological Monitoring and Threshold Review
33,AM006,Safe-to-Fail Climate Adaptation Pilots,4,7.0929,Ecological Monitoring and Threshold Review
33,AM003,Community Knowledge and Early Warning Network,5,6.98331,Ecological Monitoring and Threshold Review
33,AM004,Infrastructure Memory and Maintenance Analytics,6,6.71619,Ecological Monitoring and Threshold Review
34,AM002,Institutional After-Action Learning System,1,7.32361,Institutional After-Action Learning System
34,AM003,Community Knowledge and Early Warning Network,2,7.27362,Institutional After-Action Learning System
34,AM004,Infrastructure Memory and Maintenance Analytics,3,7.2237,Institutional After-Action Learning System
34,AM001,Ecological Monitoring and Threshold Review,4,6.91883,Institutional After-Action Learning System
34,AM006,Safe-to-Fail Climate Adaptation Pilots,5,6.84985,Institutional After-Action Learning System
34,AM005,Adaptive Governance Decision-Trigger Framework,6,6.81865,Institutional After-Action Learning System
35,AM005,Adaptive Governance Decision-Trigger Framework,1,7.71405,Adaptive Governance Decision-Trigger Framework
35,AM002,Institutional After-Action Learning System,2,7.38636,Adaptive Governance Decision-Trigger Framework
35,AM004,Infrastructure Memory and Maintenance Analytics,3,7.32778,Adaptive Governance Decision-Trigger Framework
35,AM003,Community Knowledge and Early Warning Network,4,7.21894,Adaptive Governance Decision-Trigger Framework
35,AM001,Ecological Monitoring and Threshold Review,5,7.18664,Adaptive Governance Decision-Trigger Framework
35,AM006,Safe-to-Fail Climate Adaptation Pilots,6,6.7175,Adaptive Governance Decision-Trigger Framework
36,AM006,Safe-to-Fail Climate Adaptation Pilots,1,7.46871,Safe-to-Fail Climate Adaptation Pilots
36,AM003,Community Knowledge and Early Warning Network,2,7.41846,Safe-to-Fail Climate Adaptation Pilots
36,AM002,Institutional After-Action Learning System,3,7.40352,Safe-to-Fail Climate Adaptation Pilots
36,AM004,Infrastructure Memory and Maintenance Analytics,4,7.38601,Safe-to-Fail Climate Adaptation Pilots
36,AM005,Adaptive Governance Decision-Trigger Framework,5,7.16198,Safe-to-Fail Climate Adaptation Pilots
36,AM001,Ecological Monitoring and Threshold Review,6,6.87499,Safe-to-Fail Climate Adaptation Pilots
37,AM001,Ecological Monitoring and Threshold Review,1,7.29058,Ecological Monitoring and Threshold Review
37,AM006,Safe-to-Fail Climate Adaptation Pilots,2,7.14157,Ecological Monitoring and Threshold Review
37,AM002,Institutional After-Action Learning System,3,7.13408,Ecological Monitoring and Threshold Review
37,AM004,Infrastructure Memory and Maintenance Analytics,4,7.0595,Ecological Monitoring and Threshold Review
37,AM005,Adaptive Governance Decision-Trigger Framework,5,7.04122,Ecological Monitoring and Threshold Review
37,AM003,Community Knowledge and Early Warning Network,6,6.90066,Ecological Monitoring and Threshold Review
38,AM002,Institutional After-Action Learning System,1,7.62717,Institutional After-Action Learning System
38,AM003,Community Knowledge and Early Warning Network,2,7.49108,Institutional After-Action Learning System
38,AM005,Adaptive Governance Decision-Trigger Framework,3,7.3918,Institutional After-Action Learning System
38,AM004,Infrastructure Memory and Maintenance Analytics,4,7.34555,Institutional After-Action Learning System
38,AM006,Safe-to-Fail Climate Adaptation Pilots,5,7.34365,Institutional After-Action Learning System
38,AM001,Ecological Monitoring and Threshold Review,6,7.1949,Institutional After-Action Learning System
39,AM005,Adaptive Governance Decision-Trigger Framework,1,7.57238,Adaptive Governance Decision-Trigger Framework
39,AM001,Ecological Monitoring and Threshold Review,2,7.36382,Adaptive Governance Decision-Trigger Framework
39,AM002,Institutional After-Action Learning System,3,7.34181,Adaptive Governance Decision-Trigger Framework
39,AM006,Safe-to-Fail Climate Adaptation Pilots,4,7.2979,Adaptive Governance Decision-Trigger Framework
39,AM003,Community Knowledge and Early Warning Network,5,7.21297,Adaptive Governance Decision-Trigger Framework
39,AM004,Infrastructure Memory and Maintenance Analytics,6,7.07766,Adaptive Governance Decision-Trigger Framework
40,AM003,Community Knowledge and Early Warning Network,1,7.52484,Community Knowledge and Early Warning Network
40,AM002,Institutional After-Action Learning System,2,7.29378,Community Knowledge and Early Warning Network
40,AM005,Adaptive Governance Decision-Trigger Framework,3,7.21236,Community Knowledge and Early Warning Network
40,AM001,Ecological Monitoring and Threshold Review,4,7.15582,Community Knowledge and Early Warning Network
40,AM006,Safe-to-Fail Climate Adaptation Pilots,5,7.00966,Community Knowledge and Early Warning Network
40,AM004,Infrastructure Memory and Maintenance Analytics,6,6.97771,Community Knowledge and Early Warning Network
41,AM005,Adaptive Governance Decision-Trigger Framework,1,8.08898,Adaptive Governance Decision-Trigger Framework
41,AM003,Community Knowledge and Early Warning Network,2,7.76498,Adaptive Governance Decision-Trigger Framework
41,AM001,Ecological Monitoring and Threshold Review,3,7.40282,Adaptive Governance Decision-Trigger Framework
41,AM002,Institutional After-Action Learning System,4,7.15293,Adaptive Governance Decision-Trigger Framework
41,AM004,Infrastructure Memory and Maintenance Analytics,5,6.95404,Adaptive Governance Decision-Trigger Framework
41,AM006,Safe-to-Fail Climate Adaptation Pilots,6,6.81412,Adaptive Governance Decision-Trigger Framework
42,AM005,Adaptive Governance Decision-Trigger Framework,1,7.84033,Adaptive Governance Decision-Trigger Framework
42,AM006,Safe-to-Fail Climate Adaptation Pilots,2,7.23633,Adaptive Governance Decision-Trigger Framework
42,AM003,Community Knowledge and Early Warning Network,3,6.99285,Adaptive Governance Decision-Trigger Framework
42,AM001,Ecological Monitoring and Threshold Review,4,6.8901,Adaptive Governance Decision-Trigger Framework
42,AM004,Infrastructure Memory and Maintenance Analytics,5,6.83756,Adaptive Governance Decision-Trigger Framework
42,AM002,Institutional After-Action Learning System,6,6.7255,Adaptive Governance Decision-Trigger Framework
43,AM005,Adaptive Governance Decision-Trigger Framework,1,7.31212,Adaptive Governance Decision-Trigger Framework
43,AM003,Community Knowledge and Early Warning Network,2,7.29845,Adaptive Governance Decision-Trigger Framework
43,AM001,Ecological Monitoring and Threshold Review,3,7.17739,Adaptive Governance Decision-Trigger Framework
43,AM002,Institutional After-Action Learning System,4,7.16141,Adaptive Governance Decision-Trigger Framework
43,AM004,Infrastructure Memory and Maintenance Analytics,5,6.81105,Adaptive Governance Decision-Trigger Framework
43,AM006,Safe-to-Fail Climate Adaptation Pilots,6,6.73298,Adaptive Governance Decision-Trigger Framework
44,AM002,Institutional After-Action Learning System,1,7.74116,Institutional After-Action Learning System
44,AM003,Community Knowledge and Early Warning Network,2,7.2343,Institutional After-Action Learning System
44,AM006,Safe-to-Fail Climate Adaptation Pilots,3,7.13083,Institutional After-Action Learning System
44,AM004,Infrastructure Memory and Maintenance Analytics,4,7.05821,Institutional After-Action Learning System
44,AM001,Ecological Monitoring and Threshold Review,5,7.03901,Institutional After-Action Learning System
44,AM005,Adaptive Governance Decision-Trigger Framework,6,6.84994,Institutional After-Action Learning System
45,AM002,Institutional After-Action Learning System,1,7.60882,Institutional After-Action Learning System
45,AM004,Infrastructure Memory and Maintenance Analytics,2,7.45627,Institutional After-Action Learning System
45,AM005,Adaptive Governance Decision-Trigger Framework,3,7.44436,Institutional After-Action Learning System
45,AM001,Ecological Monitoring and Threshold Review,4,7.35598,Institutional After-Action Learning System
45,AM006,Safe-to-Fail Climate Adaptation Pilots,5,7.2967,Institutional After-Action Learning System
45,AM003,Community Knowledge and Early Warning Network,6,7.07399,Institutional After-Action Learning System
46,AM003,Community Knowledge and Early Warning Network,1,7.52417,Community Knowledge and Early Warning Network
46,AM004,Infrastructure Memory and Maintenance Analytics,2,7.40985,Community Knowledge and Early Warning Network
46,AM005,Adaptive Governance Decision-Trigger Framework,3,7.36253,Community Knowledge and Early Warning Network
46,AM006,Safe-to-Fail Climate Adaptation Pilots,4,7.18729,Community Knowledge and Early Warning Network
46,AM001,Ecological Monitoring and Threshold Review,5,7.09267,Community Knowledge and Early Warning Network
46,AM002,Institutional After-Action Learning System,6,6.97237,Community Knowledge and Early Warning Network
47,AM003,Community Knowledge and Early Warning Network,1,7.71128,Community Knowledge and Early Warning Network
47,AM004,Infrastructure Memory and Maintenance Analytics,2,7.26803,Community Knowledge and Early Warning Network
47,AM005,Adaptive Governance Decision-Trigger Framework,3,7.20346,Community Knowledge and Early Warning Network
47,AM001,Ecological Monitoring and Threshold Review,4,7.1919,Community Knowledge and Early Warning Network
47,AM002,Institutional After-Action Learning System,5,7.09605,Community Knowledge and Early Warning Network
47,AM006,Safe-to-Fail Climate Adaptation Pilots,6,6.91528,Community Knowledge and Early Warning Network
48,AM006,Safe-to-Fail Climate Adaptation Pilots,1,7.3753,Safe-to-Fail Climate Adaptation Pilots
