profile_id,profile,time,disturbance,monitoring_signal,learning,memory,adaptive_capacity,function_level,justice_adjusted_function
P001,High Learning and Strong Memory,25,0.04,0.02919,0.00362,0.0,0.41599,1.0,0.925
P001,High Learning and Strong Memory,26,0.04,0.03845,0.00477,0.0,0.41111,1.0,0.925
P001,High Learning and Strong Memory,27,0.04,0.03652,0.00453,0.0,0.40711,1.0,0.925
P001,High Learning and Strong Memory,28,0.04,0.04453,0.00552,0.0,0.40383,1.0,0.925
P001,High Learning and Strong Memory,29,0.04,0.0161,0.002,0.0,0.40114,1.0,0.925
P001,High Learning and Strong Memory,30,0.04,0.04132,0.00512,0.0,0.39894,1.0,0.925
P001,High Learning and Strong Memory,31,0.04,0.01008,0.00125,0.0,0.39713,1.0,0.925
P001,High Learning and Strong Memory,32,0.22,0.1411,0.01749,0.00749,0.39654,0.99352,0.91901
P001,High Learning and Strong Memory,33,0.04,0.0237,0.00294,0.0,0.39517,1.0,0.925
P001,High Learning and Strong Memory,34,0.04,0.01906,0.00236,0.0,0.39404,1.0,0.925
P001,High Learning and Strong Memory,35,0.04,0.04594,0.0057,0.0,0.39311,1.0,0.925
P001,High Learning and Strong Memory,36,0.04,0.04276,0.0053,0.0,0.39235,1.0,0.925
P001,High Learning and Strong Memory,37,0.04,0.01451,0.0018,0.0,0.39173,1.0,0.925
P001,High Learning and Strong Memory,38,0.04,0.04551,0.00564,0.0,0.39122,1.0,0.925
P001,High Learning and Strong Memory,39,0.04,0.01777,0.0022,0.0,0.3908,1.0,0.925
P001,High Learning and Strong Memory,40,0.04,0.03151,0.00391,0.0,0.39045,1.0,0.925
P001,High Learning and Strong Memory,41,0.04,0.02839,0.00352,0.0,0.39017,1.0,0.925
P001,High Learning and Strong Memory,42,0.04,0.03452,0.00428,0.0,0.38994,1.0,0.925
P001,High Learning and Strong Memory,43,0.04,0.04508,0.00559,0.0,0.38975,1.0,0.925
P001,High Learning and Strong Memory,44,0.04,0.04238,0.00525,0.0,0.3896,1.0,0.925
P001,High Learning and Strong Memory,45,0.04,0.03805,0.00472,0.0,0.38947,1.0,0.925
P001,High Learning and Strong Memory,46,0.04,0.04255,0.00528,0.0,0.38936,1.0,0.925
P001,High Learning and Strong Memory,47,0.04,0.03998,0.00496,0.0,0.38928,1.0,0.925
P001,High Learning and Strong Memory,48,0.04,0.0234,0.0029,0.0,0.38921,1.0,0.925
P001,High Learning and Strong Memory,49,0.04,0.02204,0.00273,0.0,0.38915,1.0,0.925
P001,High Learning and Strong Memory,50,0.4,0.32095,0.03979,0.02979,0.39268,0.91922,0.85028
P001,High Learning and Strong Memory,51,0.04,0.04029,0.005,0.02121,0.39454,0.98923,0.91504
P001,High Learning and Strong Memory,52,0.04,0.02905,0.0036,0.01227,0.395,1.0,0.925
P001,High Learning and Strong Memory,53,0.04,0.06784,0.00841,0.00921,0.395,1.0,0.925
P001,High Learning and Strong Memory,54,0.04,0.02051,0.00254,0.00065,0.39398,1.0,0.925
P001,High Learning and Strong Memory,55,0.04,0.01632,0.00202,0.0,0.39306,1.0,0.925
P001,High Learning and Strong Memory,56,0.04,0.04433,0.0055,0.0,0.39231,1.0,0.925
P001,High Learning and Strong Memory,57,0.04,0.05413,0.00671,0.0,0.3917,1.0,0.925
P001,High Learning and Strong Memory,58,0.04,0.04039,0.00501,0.0,0.39119,1.0,0.925
P001,High Learning and Strong Memory,59,0.04,0.04534,0.00562,0.0,0.39078,1.0,0.925
P001,High Learning and Strong Memory,60,0.04,0.0542,0.00672,0.0,0.39044,1.0,0.925
P001,High Learning and Strong Memory,61,0.04,0.03139,0.00389,0.0,0.39016,1.0,0.925
P001,High Learning and Strong Memory,62,0.04,0.01146,0.00142,0.0,0.38993,1.0,0.925
P001,High Learning and Strong Memory,63,0.04,0.02482,0.00308,0.0,0.38974,1.0,0.925
P001,High Learning and Strong Memory,64,0.04,0.04709,0.00584,0.0,0.38959,1.0,0.925
P001,High Learning and Strong Memory,65,0.04,0.01114,0.00138,0.0,0.38946,1.0,0.925
P001,High Learning and Strong Memory,66,0.04,0.0333,0.00413,0.0,0.38936,1.0,0.925
P001,High Learning and Strong Memory,67,0.28,0.2334,0.02894,0.01894,0.39155,0.96827,0.89565
P001,High Learning and Strong Memory,68,0.04,0.02807,0.00348,0.01014,0.39229,1.0,0.925
P001,High Learning and Strong Memory,69,0.04,0.04365,0.00541,0.00434,0.3922,1.0,0.925
P001,High Learning and Strong Memory,70,0.04,0.04151,0.00515,0.0,0.3916,1.0,0.925
P001,High Learning and Strong Memory,71,0.04,0.06762,0.00838,0.0,0.39111,1.0,0.925
P001,High Learning and Strong Memory,72,0.04,0.0421,0.00522,0.0,0.39071,1.0,0.925
P001,High Learning and Strong Memory,73,0.04,0.02366,0.00293,0.0,0.39038,1.0,0.925
P001,High Learning and Strong Memory,74,0.04,0.02437,0.00302,0.0,0.39011,1.0,0.925
P001,High Learning and Strong Memory,75,0.04,0.02033,0.00252,0.0,0.38989,1.0,0.925
P001,High Learning and Strong Memory,76,0.04,0.04708,0.00584,0.0,0.38971,1.0,0.925
P001,High Learning and Strong Memory,77,0.04,0.0243,0.00301,0.0,0.38956,1.0,0.925
P001,High Learning and Strong Memory,78,0.04,0.03175,0.00394,0.0,0.38944,1.0,0.925
P001,High Learning and Strong Memory,79,0.04,0.04404,0.00546,0.0,0.38934,1.0,0.925
P002,Good Monitoring but Weak Governance,0,0.04,0.05688,0.00197,0.47497,0.5326,1.0,0.915
P002,Good Monitoring but Weak Governance,1,0.04,0.03995,0.00138,0.31686,0.49935,1.0,0.915
P002,Good Monitoring but Weak Governance,2,0.04,0.04473,0.00155,0.20635,0.45883,1.0,0.915
P002,Good Monitoring but Weak Governance,3,0.04,0.04754,0.00164,0.12908,0.41633,1.0,0.915
P002,Good Monitoring but Weak Governance,4,0.04,0.02182,0.00075,0.07411,0.37488,1.0,0.915
P002,Good Monitoring but Weak Governance,5,0.04,0.01094,0.00038,0.03526,0.33624,1.0,0.915
P002,Good Monitoring but Weak Governance,6,0.04,0.01754,0.00061,0.00829,0.30131,1.0,0.915
P002,Good Monitoring but Weak Governance,7,0.04,0.03951,0.00137,0.0,0.27167,1.0,0.915
P002,Good Monitoring but Weak Governance,8,0.04,0.05025,0.00174,0.0,0.24737,1.0,0.915
P002,Good Monitoring but Weak Governance,9,0.04,0.03632,0.00126,0.0,0.22744,1.0,0.915
P002,Good Monitoring but Weak Governance,10,0.04,0.014,0.00048,0.0,0.2111,1.0,0.915
P002,Good Monitoring but Weak Governance,11,0.04,0.05548,0.00192,0.0,0.19771,1.0,0.915
P002,Good Monitoring but Weak Governance,12,0.04,0.01032,0.00036,0.0,0.18672,1.0,0.915
P002,Good Monitoring but Weak Governance,13,0.04,0.02708,0.00094,0.0,0.17771,1.0,0.915
P002,Good Monitoring but Weak Governance,14,0.04,0.02585,0.00089,0.0,0.17032,1.0,0.915
P002,Good Monitoring but Weak Governance,15,0.35,0.30476,0.01053,0.0,0.16426,0.87542,0.80101
P002,Good Monitoring but Weak Governance,16,0.04,0.05086,0.00176,0.0,0.1593,0.87985,0.80507
P002,Good Monitoring but Weak Governance,17,0.04,0.01201,0.00042,0.0,0.15522,0.88331,0.80823
P002,Good Monitoring but Weak Governance,18,0.04,0.02962,0.00102,0.0,0.15188,0.88596,0.81065
P002,Good Monitoring but Weak Governance,19,0.04,0.03913,0.00135,0.0,0.14914,0.88795,0.81248
P002,Good Monitoring but Weak Governance,20,0.04,0.01689,0.00058,0.0,0.1469,0.88941,0.81381
P002,Good Monitoring but Weak Governance,21,0.04,0.03303,0.00114,0.0,0.14506,0.89042,0.81474
P002,Good Monitoring but Weak Governance,22,0.04,0.03723,0.00129,0.0,0.14355,0.89107,0.81533
P002,Good Monitoring but Weak Governance,23,0.04,0.01437,0.0005,0.0,0.14231,0.89143,0.81566
P002,Good Monitoring but Weak Governance,24,0.04,0.01479,0.00051,0.0,0.14129,0.89154,0.81576
P002,Good Monitoring but Weak Governance,25,0.04,0.03358,0.00116,0.0,0.14046,0.89145,0.81568
P002,Good Monitoring but Weak Governance,26,0.04,0.031,0.00107,0.0,0.13978,0.8912,0.81544
P002,Good Monitoring but Weak Governance,27,0.04,0.03772,0.0013,0.0,0.13922,0.89081,0.81509
P002,Good Monitoring but Weak Governance,28,0.04,0.06757,0.00234,0.0,0.13876,0.89031,0.81463
P002,Good Monitoring but Weak Governance,29,0.04,0.04783,0.00165,0.0,0.13838,0.88972,0.81409
P002,Good Monitoring but Weak Governance,30,0.04,0.04108,0.00142,0.0,0.13807,0.88906,0.81349
P002,Good Monitoring but Weak Governance,31,0.04,0.02375,0.00082,0.0,0.13782,0.88834,0.81283
P002,Good Monitoring but Weak Governance,32,0.22,0.20316,0.00702,0.0,0.13761,0.81196,0.74295
P002,Good Monitoring but Weak Governance,33,0.04,0.02267,0.00078,0.0,0.13744,0.81115,0.7422
P002,Good Monitoring but Weak Governance,34,0.04,0.05794,0.002,0.0,0.1373,0.8103,0.74143
P002,Good Monitoring but Weak Governance,35,0.04,0.0522,0.0018,0.0,0.13719,0.80943,0.74062
P002,Good Monitoring but Weak Governance,36,0.04,0.00433,0.00015,0.0,0.13709,0.80853,0.7398
P002,Good Monitoring but Weak Governance,37,0.04,0.01677,0.00058,0.0,0.13702,0.80761,0.73897
P002,Good Monitoring but Weak Governance,38,0.04,0.03153,0.00109,0.0,0.13695,0.80668,0.73811
P002,Good Monitoring but Weak Governance,39,0.04,0.02838,0.00098,0.0,0.1369,0.80574,0.73725
P002,Good Monitoring but Weak Governance,40,0.04,0.01549,0.00054,0.0,0.13686,0.80478,0.73638
P002,Good Monitoring but Weak Governance,41,0.04,0.01602,0.00055,0.0,0.13683,0.80382,0.7355
P002,Good Monitoring but Weak Governance,42,0.04,0.04523,0.00156,0.0,0.1368,0.80285,0.73461
P002,Good Monitoring but Weak Governance,43,0.04,0.02642,0.00091,0.0,0.13677,0.80188,0.73372
P002,Good Monitoring but Weak Governance,44,0.04,0.01147,0.0004,0.0,0.13675,0.8009,0.73282
P002,Good Monitoring but Weak Governance,45,0.04,0.03019,0.00104,0.0,0.13674,0.79992,0.73192
P002,Good Monitoring but Weak Governance,46,0.04,0.04894,0.00169,0.0,0.13673,0.79893,0.73102
P002,Good Monitoring but Weak Governance,47,0.04,0.05964,0.00206,0.0,0.13671,0.79794,0.73012
P002,Good Monitoring but Weak Governance,48,0.04,0.03533,0.00122,0.0,0.13671,0.79695,0.72921
P002,Good Monitoring but Weak Governance,49,0.04,0.02968,0.00103,0.0,0.1367,0.79596,0.7283
P002,Good Monitoring but Weak Governance,50,0.4,0.33193,0.01147,0.0,0.13669,0.64377,0.58905
P002,Good Monitoring but Weak Governance,51,0.04,0.02659,0.00092,0.0,0.13669,0.64277,0.58814
P002,Good Monitoring but Weak Governance,52,0.04,0.04239,0.00147,0.0,0.13668,0.64178,0.58723
P002,Good Monitoring but Weak Governance,53,0.04,0.0532,0.00184,0.0,0.13668,0.64078,0.58631
P002,Good Monitoring but Weak Governance,54,0.04,0.05305,0.00183,0.0,0.13668,0.63978,0.5854
P002,Good Monitoring but Weak Governance,55,0.04,0.03074,0.00106,0.0,0.13668,0.63879,0.58449
P002,Good Monitoring but Weak Governance,56,0.04,0.04767,0.00165,0.0,0.13667,0.63779,0.58358
P002,Good Monitoring but Weak Governance,57,0.04,0.04585,0.00158,0.0,0.13667,0.63679,0.58266
P002,Good Monitoring but Weak Governance,58,0.04,0.04121,0.00142,0.0,0.13667,0.63579,0.58175
P002,Good Monitoring but Weak Governance,59,0.04,0.0,0.0,0.0,0.13667,0.63479,0.58083
P002,Good Monitoring but Weak Governance,60,0.04,0.03345,0.00116,0.0,0.13667,0.63379,0.57992
P002,Good Monitoring but Weak Governance,61,0.04,0.03015,0.00104,0.0,0.13667,0.63279,0.57901
P002,Good Monitoring but Weak Governance,62,0.04,0.05431,0.00188,0.0,0.13667,0.63179,0.57809
P002,Good Monitoring but Weak Governance,63,0.04,0.03015,0.00104,0.0,0.13667,0.63079,0.57718
P002,Good Monitoring but Weak Governance,64,0.04,0.04117,0.00142,0.0,0.13667,0.62979,0.57626
P002,Good Monitoring but Weak Governance,65,0.04,0.03832,0.00132,0.0,0.13667,0.62879,0.57535
P002,Good Monitoring but Weak Governance,66,0.04,0.0534,0.00185,0.0,0.13667,0.62779,0.57443
P002,Good Monitoring but Weak Governance,67,0.28,0.25224,0.00872,0.0,0.13667,0.526,0.48129
P002,Good Monitoring but Weak Governance,68,0.04,0.04983,0.00172,0.0,0.13667,0.525,0.48037
P002,Good Monitoring but Weak Governance,69,0.04,0.05683,0.00196,0.0,0.13667,0.524,0.47946
P002,Good Monitoring but Weak Governance,70,0.04,0.04879,0.00169,0.0,0.13667,0.523,0.47854
P002,Good Monitoring but Weak Governance,71,0.04,0.04614,0.00159,0.0,0.13667,0.522,0.47763
P002,Good Monitoring but Weak Governance,72,0.04,0.03049,0.00105,0.0,0.13667,0.521,0.47671
P002,Good Monitoring but Weak Governance,73,0.04,0.03586,0.00124,0.0,0.13667,0.52,0.4758
P002,Good Monitoring but Weak Governance,74,0.04,0.06684,0.00231,0.0,0.13667,0.519,0.47488
P002,Good Monitoring but Weak Governance,75,0.04,0.03491,0.00121,0.0,0.13667,0.518,0.47397
P002,Good Monitoring but Weak Governance,76,0.04,0.04205,0.00145,0.0,0.13667,0.517,0.47305
P002,Good Monitoring but Weak Governance,77,0.04,0.03327,0.00115,0.0,0.13667,0.516,0.47214
P002,Good Monitoring but Weak Governance,78,0.04,0.03004,0.00104,0.0,0.13667,0.515,0.47122
P002,Good Monitoring but Weak Governance,79,0.04,0.0,0.0,0.0,0.13667,0.514,0.47031
P003,Strong Community Memory,0,0.04,0.01387,0.00111,0.72871,0.59404,1.0,0.965
P003,Strong Community Memory,1,0.04,0.03979,0.00318,0.61786,0.61686,1.0,0.965
P003,Strong Community Memory,2,0.04,0.03565,0.00285,0.52221,0.62409,1.0,0.965
P003,Strong Community Memory,3,0.04,0.02247,0.00179,0.43889,0.62002,1.0,0.965
P003,Strong Community Memory,4,0.04,0.03017,0.00241,0.36785,0.60816,1.0,0.965
P003,Strong Community Memory,5,0.04,0.0332,0.00265,0.307,0.59113,1.0,0.965
P003,Strong Community Memory,6,0.04,0.03108,0.00248,0.2545,0.57087,1.0,0.965
P003,Strong Community Memory,7,0.04,0.03093,0.00247,0.20934,0.54883,1.0,0.965
P003,Strong Community Memory,8,0.04,0.03957,0.00316,0.17119,0.52619,1.0,0.965
P003,Strong Community Memory,9,0.04,0.0446,0.00356,0.13878,0.50373,1.0,0.965
P003,Strong Community Memory,10,0.04,0.05262,0.0042,0.11155,0.48204,1.0,0.965
P003,Strong Community Memory,11,0.04,0.02808,0.00224,0.08618,0.46122,1.0,0.965
P003,Strong Community Memory,12,0.04,0.01856,0.00148,0.06359,0.44143,1.0,0.965
P003,Strong Community Memory,13,0.04,0.04017,0.00321,0.0459,0.42308,1.0,0.965
P003,Strong Community Memory,14,0.04,0.0248,0.00198,0.02945,0.40606,1.0,0.965
P003,Strong Community Memory,15,0.35,0.24657,0.01968,0.033,0.39253,0.93851,0.90566
P003,Strong Community Memory,16,0.04,0.05537,0.00442,0.0208,0.37997,1.0,0.965
P003,Strong Community Memory,17,0.04,0.04244,0.00339,0.00928,0.36829,1.0,0.965
P003,Strong Community Memory,18,0.04,0.02418,0.00193,0.0,0.3576,1.0,0.965
P003,Strong Community Memory,19,0.04,0.02469,0.00197,0.0,0.34883,1.0,0.965
P003,Strong Community Memory,20,0.04,0.03565,0.00284,0.0,0.34164,1.0,0.965
P003,Strong Community Memory,21,0.04,0.03245,0.00259,0.0,0.33574,1.0,0.965
P003,Strong Community Memory,22,0.04,0.03652,0.00291,0.0,0.33091,1.0,0.965
P003,Strong Community Memory,23,0.04,0.02777,0.00222,0.0,0.32695,1.0,0.965
P003,Strong Community Memory,24,0.04,0.00162,0.00013,0.0,0.3237,1.0,0.965
P003,Strong Community Memory,25,0.04,0.00151,0.00012,0.0,0.32103,1.0,0.965
P003,Strong Community Memory,26,0.04,0.04406,0.00352,0.0,0.31885,1.0,0.965
P003,Strong Community Memory,27,0.04,0.03283,0.00262,0.0,0.31705,1.0,0.965
P003,Strong Community Memory,28,0.04,0.0,0.0,0.0,0.31558,1.0,0.965
P003,Strong Community Memory,29,0.04,0.03436,0.00274,0.0,0.31438,1.0,0.965
P003,Strong Community Memory,30,0.04,0.03396,0.00271,0.0,0.31339,1.0,0.965
P003,Strong Community Memory,31,0.04,0.04034,0.00322,0.0,0.31258,1.0,0.965
P003,Strong Community Memory,32,0.22,0.16286,0.013,0.001,0.31204,0.97059,0.93662
P003,Strong Community Memory,33,0.04,0.03436,0.00274,0.0,0.31147,1.0,0.965
P003,Strong Community Memory,34,0.04,0.01686,0.00135,0.0,0.311,1.0,0.965
P003,Strong Community Memory,35,0.04,0.00508,0.00041,0.0,0.31062,1.0,0.965
P003,Strong Community Memory,36,0.04,0.02576,0.00206,0.0,0.31031,1.0,0.965
P003,Strong Community Memory,37,0.04,0.03122,0.00249,0.0,0.31006,1.0,0.965
P003,Strong Community Memory,38,0.04,0.02404,0.00192,0.0,0.30985,1.0,0.965
P003,Strong Community Memory,39,0.04,0.00572,0.00046,0.0,0.30967,1.0,0.965
P003,Strong Community Memory,40,0.04,0.02197,0.00175,0.0,0.30953,1.0,0.965
P003,Strong Community Memory,41,0.04,0.0186,0.00148,0.0,0.30942,1.0,0.965
P003,Strong Community Memory,42,0.04,0.03985,0.00318,0.0,0.30932,1.0,0.965
P003,Strong Community Memory,43,0.04,0.01108,0.00088,0.0,0.30924,1.0,0.965
P003,Strong Community Memory,44,0.04,0.0138,0.0011,0.0,0.30918,1.0,0.965
P003,Strong Community Memory,45,0.04,0.01958,0.00156,0.0,0.30913,1.0,0.965
P003,Strong Community Memory,46,0.04,0.03134,0.0025,0.0,0.30908,1.0,0.965
P003,Strong Community Memory,47,0.04,0.04605,0.00367,0.0,0.30905,1.0,0.965
P003,Strong Community Memory,48,0.04,0.03582,0.00286,0.0,0.30902,1.0,0.965
P003,Strong Community Memory,49,0.04,0.00771,0.00061,0.0,0.309,1.0,0.965
P003,Strong Community Memory,50,0.4,0.28027,0.02237,0.01037,0.31022,0.89549,0.86415
P003,Strong Community Memory,51,0.04,0.05247,0.00419,0.0011,0.31011,0.94123,0.90828
P003,Strong Community Memory,52,0.04,0.03199,0.00255,0.0,0.30989,0.9868,0.95226
P003,Strong Community Memory,53,0.04,0.02581,0.00206,0.0,0.30971,1.0,0.965
P003,Strong Community Memory,54,0.04,0.03547,0.00283,0.0,0.30956,1.0,0.965
P003,Strong Community Memory,55,0.04,0.0385,0.00307,0.0,0.30944,1.0,0.965
P003,Strong Community Memory,56,0.04,0.0546,0.00436,0.0,0.30934,1.0,0.965
P003,Strong Community Memory,57,0.04,0.0319,0.00255,0.0,0.30926,1.0,0.965
P003,Strong Community Memory,58,0.04,0.01826,0.00146,0.0,0.30919,1.0,0.965
P003,Strong Community Memory,59,0.04,0.01463,0.00117,0.0,0.30914,1.0,0.965
P003,Strong Community Memory,60,0.04,0.04368,0.00349,0.0,0.30909,1.0,0.965
P003,Strong Community Memory,61,0.04,0.02913,0.00232,0.0,0.30906,1.0,0.965
P003,Strong Community Memory,62,0.04,0.0319,0.00255,0.0,0.30903,1.0,0.965
P003,Strong Community Memory,63,0.04,0.03652,0.00291,0.0,0.309,1.0,0.965
P003,Strong Community Memory,64,0.04,0.01424,0.00114,0.0,0.30898,1.0,0.965
P003,Strong Community Memory,65,0.04,0.05375,0.00429,0.0,0.30896,1.0,0.965
P003,Strong Community Memory,66,0.04,0.02549,0.00203,0.0,0.30895,1.0,0.965
P003,Strong Community Memory,67,0.28,0.20394,0.01627,0.00427,0.30945,0.9451,0.91202
P003,Strong Community Memory,68,0.04,0.0253,0.00202,0.0,0.30935,0.99054,0.95587
P003,Strong Community Memory,69,0.04,0.03152,0.00251,0.0,0.30927,1.0,0.965
P003,Strong Community Memory,70,0.04,0.02411,0.00192,0.0,0.3092,1.0,0.965
P003,Strong Community Memory,71,0.04,0.02424,0.00193,0.0,0.30914,1.0,0.965
P003,Strong Community Memory,72,0.04,0.03883,0.0031,0.0,0.3091,1.0,0.965
P003,Strong Community Memory,73,0.04,0.04903,0.00391,0.0,0.30906,1.0,0.965
P003,Strong Community Memory,74,0.04,0.04028,0.00321,0.0,0.30903,1.0,0.965
P003,Strong Community Memory,75,0.04,0.01169,0.00093,0.0,0.309,1.0,0.965
P003,Strong Community Memory,76,0.04,0.02374,0.00189,0.0,0.30898,1.0,0.965
P003,Strong Community Memory,77,0.04,0.05039,0.00402,0.0,0.30897,1.0,0.965
P003,Strong Community Memory,78,0.04,0.02936,0.00234,0.0,0.30895,1.0,0.965
P003,Strong Community Memory,79,0.04,0.03133,0.0025,0.0,0.30894,1.0,0.965
P004,High Forgetting and Low Feedback Use,0,0.04,0.01962,0.00032,0.24472,0.49717,0.98099,0.91723
P004,High Forgetting and Low Feedback Use,1,0.04,0.03919,0.00063,0.10188,0.4367,1.0,0.935
P004,High Forgetting and Low Feedback Use,2,0.04,0.03388,0.00055,0.02753,0.3782,1.0,0.935
P004,High Forgetting and Low Feedback Use,3,0.04,0.02871,0.00046,0.0,0.32692,1.0,0.935
P004,High Forgetting and Low Feedback Use,4,0.04,0.02401,0.00039,0.0,0.28488,1.0,0.935
P004,High Forgetting and Low Feedback Use,5,0.04,0.02298,0.00037,0.0,0.2504,1.0,0.935
P004,High Forgetting and Low Feedback Use,6,0.04,0.02042,0.00033,0.0,0.22213,1.0,0.935
P004,High Forgetting and Low Feedback Use,7,0.04,0.02934,0.00047,0.0,0.19894,1.0,0.935
P004,High Forgetting and Low Feedback Use,8,0.04,0.01274,0.00021,0.0,0.17993,1.0,0.935
P004,High Forgetting and Low Feedback Use,9,0.04,0.04495,0.00072,0.0,0.16435,0.99664,0.93186
P004,High Forgetting and Low Feedback Use,10,0.04,0.04248,0.00069,0.0,0.15156,0.99022,0.92585
P004,High Forgetting and Low Feedback Use,11,0.04,0.02668,0.00043,0.0,0.14108,0.98128,0.9175
P004,High Forgetting and Low Feedback Use,12,0.04,0.03966,0.00064,0.0,0.13249,0.97028,0.90721
P004,High Forgetting and Low Feedback Use,13,0.04,0.04203,0.00068,0.0,0.12544,0.95758,0.89534
P004,High Forgetting and Low Feedback Use,14,0.04,0.02116,0.00034,0.0,0.11966,0.9435,0.88217
P004,High Forgetting and Low Feedback Use,15,0.35,0.18221,0.00294,0.0,0.11492,0.79808,0.74621
P004,High Forgetting and Low Feedback Use,16,0.04,0.03578,0.00058,0.0,0.11104,0.78193,0.7311
P004,High Forgetting and Low Feedback Use,17,0.04,0.00254,4e-05,0.0,0.10785,0.76501,0.71529
P004,High Forgetting and Low Feedback Use,18,0.04,0.03569,0.00058,0.0,0.10524,0.74747,0.69888
P004,High Forgetting and Low Feedback Use,19,0.04,0.02897,0.00047,0.0,0.10309,0.72941,0.682
P004,High Forgetting and Low Feedback Use,20,0.04,0.0116,0.00019,0.0,0.10134,0.71093,0.66472
P004,High Forgetting and Low Feedback Use,21,0.04,0.0,0.0,0.0,0.0999,0.69211,0.64712
P004,High Forgetting and Low Feedback Use,22,0.04,0.02737,0.00044,0.0,0.09872,0.673,0.62925
P004,High Forgetting and Low Feedback Use,23,0.04,0.03209,0.00052,0.0,0.09775,0.65366,0.61117
P004,High Forgetting and Low Feedback Use,24,0.04,0.02804,0.00045,0.0,0.09695,0.63413,0.59291
P004,High Forgetting and Low Feedback Use,25,0.04,0.0,0.0,0.0,0.0963,0.61444,0.5745
P004,High Forgetting and Low Feedback Use,26,0.04,0.02741,0.00044,0.0,0.09577,0.59462,0.55597
P004,High Forgetting and Low Feedback Use,27,0.04,0.02562,0.00041,0.0,0.09533,0.5747,0.53735
P004,High Forgetting and Low Feedback Use,28,0.04,0.0221,0.00036,0.0,0.09497,0.5547,0.51864
P004,High Forgetting and Low Feedback Use,29,0.04,0.0089,0.00014,0.0,0.09467,0.53462,0.49987
P004,High Forgetting and Low Feedback Use,30,0.04,0.0,0.0,0.0,0.09443,0.51448,0.48104
P004,High Forgetting and Low Feedback Use,31,0.04,0.04202,0.00068,0.0,0.09424,0.4943,0.46217
P004,High Forgetting and Low Feedback Use,32,0.22,0.12042,0.00194,0.0,0.09407,0.39848,0.37257
P004,High Forgetting and Low Feedback Use,33,0.04,0.0,0.0,0.0,0.09394,0.37822,0.35364
P004,High Forgetting and Low Feedback Use,34,0.04,0.0384,0.00062,0.0,0.09383,0.35794,0.33467
P004,High Forgetting and Low Feedback Use,35,0.04,0.00401,6e-05,0.0,0.09374,0.33764,0.31569
P004,High Forgetting and Low Feedback Use,36,0.04,0.02996,0.00048,0.0,0.09367,0.31732,0.29669
P004,High Forgetting and Low Feedback Use,37,0.04,0.00199,3e-05,0.0,0.09361,0.29698,0.27768
P004,High Forgetting and Low Feedback Use,38,0.04,0.01761,0.00028,0.0,0.09356,0.27664,0.25866
P004,High Forgetting and Low Feedback Use,39,0.04,0.01909,0.00031,0.0,0.09352,0.25628,0.23962
P004,High Forgetting and Low Feedback Use,40,0.04,0.04986,0.0008,0.0,0.09348,0.23592,0.22058
