scenario,portfolio_id,portfolio,system_domain,rank,slack_resilience_value,ethical_burden,implementation_burden,critical_function
Governance-first,SS001,Cash Reserves and Liquidity Buffer,financial reserves liquidity and budget flexibility,6,7.468,3.0,3.0,protects essential functions by preventing temporary revenue or cost shocks from forcing destructive cuts insolvency or fire-sale decisions
Ethics-first,SS002,Workforce Depth and Recovery Time,staffing depth recovery time and human capacity,1,8.393,2.6,3.4,protects people and function through staffing depth cross-training recovery time workload protection and psychological safety
Ethics-first,SS006,Adaptive Governance and Emergency Decision Space,governance slack decision rights and adaptive rules,2,8.248,2.8,3.2,protects adaptation by creating emergency authority flexible budgets escalation paths ethical review and accountable decision space
Ethics-first,SS004,Knowledge Architecture and Institutional Memory,knowledge slack decision records and institutional memory,3,8.108,2.9,3.3,protects adaptive capacity through documentation mentoring knowledge maps after-action archives decision records and communities of practice
Ethics-first,SS005,Supplier and Partner Optionality,network slack suppliers mutual aid and external options,4,8.068,3.0,3.6,protects continuity through supplier diversity mutual aid route alternatives partner trust and external coordination capacity
Ethics-first,SS003,Critical Operations Redundancy,backup systems spare parts and operational continuity,5,7.966,3.1,3.5,protects critical operations with backup systems spare parts alternate workflows continuity tests and graceful degradation
Ethics-first,SS001,Cash Reserves and Liquidity Buffer,financial reserves liquidity and budget flexibility,6,7.576,3.0,3.0,protects essential functions by preventing temporary revenue or cost shocks from forcing destructive cuts insolvency or fire-sale decisions
Implementation-aware,SS006,Adaptive Governance and Emergency Decision Space,governance slack decision rights and adaptive rules,1,7.295,2.8,3.2,protects adaptation by creating emergency authority flexible budgets escalation paths ethical review and accountable decision space
Implementation-aware,SS002,Workforce Depth and Recovery Time,staffing depth recovery time and human capacity,2,7.205,2.6,3.4,protects people and function through staffing depth cross-training recovery time workload protection and psychological safety
Implementation-aware,SS004,Knowledge Architecture and Institutional Memory,knowledge slack decision records and institutional memory,3,7.145,2.9,3.3,protects adaptive capacity through documentation mentoring knowledge maps after-action archives decision records and communities of practice
Implementation-aware,SS005,Supplier and Partner Optionality,network slack suppliers mutual aid and external options,4,7.145,3.0,3.6,protects continuity through supplier diversity mutual aid route alternatives partner trust and external coordination capacity
Implementation-aware,SS003,Critical Operations Redundancy,backup systems spare parts and operational continuity,5,7.087,3.1,3.5,protects critical operations with backup systems spare parts alternate workflows continuity tests and graceful degradation
Implementation-aware,SS001,Cash Reserves and Liquidity Buffer,financial reserves liquidity and budget flexibility,6,6.715,3.0,3.0,protects essential functions by preventing temporary revenue or cost shocks from forcing destructive cuts insolvency or fire-sale decisions
