 time,function,slack_stock,adaptive_response,fragility_gap,workforce_strain,resilience_score
80, 1.00000, 1.00000, 0.79780, 0.00000, 0.00000, 0.92570
81, 1.00000, 1.00000, 0.79780, 0.00000, 0.00000, 0.92570
82, 1.00000, 1.00000, 0.79780, 0.00000, 0.00000, 0.92570
83, 1.00000, 1.00000, 0.79780, 0.00000, 0.00000, 0.92570
84, 1.00000, 1.00000, 0.79780, 0.00000, 0.00000, 0.92570
85, 1.00000, 1.00000, 0.79780, 0.00000, 0.00000, 0.92570
86, 1.00000, 1.00000, 0.79780, 0.00000, 0.00000, 0.92570
87, 1.00000, 1.00000, 0.79780, 0.00000, 0.00000, 0.92570
88, 1.00000, 1.00000, 0.79780, 0.00000, 0.00000, 0.92570
89, 1.00000, 1.00000, 0.79780, 0.00000, 0.00000, 0.92570
90, 1.00000, 1.00000, 0.79780, 0.00000, 0.00000, 0.92570
