portfolio_id,portfolio,system_domain,financial_slack,workforce_slack,operational_slack,knowledge_slack,network_slack,governance_slack,ethical_safeguards,ethical_burden,implementation_burden,critical_function,slack_resilience_value,workforce_gap,knowledge_gap,governance_gap,adjusted_value,scenario,rank
SS001,Cash Reserves and Liquidity Buffer,financial reserves liquidity and budget flexibility,9.1,7.2,7.4,7.2,7,7.8,7.8,3,3,protects essential functions by preventing temporary revenue or cost shocks from forcing destructive cuts insolvency or fire-sale decisions,7.691,0.9999999999999991,0.9999999999999991,0.39999999999999947,7.537,Financial-first,6
SS006,Adaptive Governance and Emergency Decision Space,governance slack decision rights and adaptive rules,7.8,8.1,8,8.4,8.1,9.1,8.4,2.8,3.2,protects adaptation by creating emergency authority flexible budgets escalation paths ethical review and accountable decision space,8.257,0.09999999999999964,0,0,8.25,Governance-first,1
SS004,Knowledge Architecture and Institutional Memory,knowledge slack decision records and institutional memory,7.4,8,7.6,9.3,7.8,8.5,8.3,2.9,3.3,protects adaptive capacity through documentation mentoring knowledge maps after-action archives decision records and communities of practice,8.012,0.1999999999999993,0,0,7.998,Governance-first,2
SS002,Workforce Depth and Recovery Time,staffing depth recovery time and human capacity,7.5,9.2,7.8,8,7.5,8.2,9.1,2.6,3.4,protects people and function through staffing depth cross-training recovery time workload protection and psychological safety,7.982,0,0.1999999999999993,0,7.970000000000001,Governance-first,3
SS005,Supplier and Partner Optionality,network slack suppliers mutual aid and external options,7.6,7.6,8.3,8,9.2,8.3,8.2,3,3.6,protects continuity through supplier diversity mutual aid route alternatives partner trust and external coordination capacity,7.973000000000001,0.5999999999999996,0.1999999999999993,0,7.919000000000001,Governance-first,4
SS003,Critical Operations Redundancy,backup systems spare parts and operational continuity,7.8,7.8,9.2,7.8,8,8.1,8,3.1,3.5,protects critical operations with backup systems spare parts alternate workflows continuity tests and graceful degradation,7.866999999999999,0.39999999999999947,0.39999999999999947,0.09999999999999964,7.808999999999999,Governance-first,5
SS001,Cash Reserves and Liquidity Buffer,financial reserves liquidity and budget flexibility,9.1,7.2,7.4,7.2,7,7.8,7.8,3,3,protects essential functions by preventing temporary revenue or cost shocks from forcing destructive cuts insolvency or fire-sale decisions,7.468,0.9999999999999991,0.9999999999999991,0.39999999999999947,7.314,Governance-first,6
SS006,Adaptive Governance and Emergency Decision Space,governance slack decision rights and adaptive rules,7.8,8.1,8,8.4,8.1,9.1,8.4,2.8,3.2,protects adaptation by creating emergency authority flexible budgets escalation paths ethical review and accountable decision space,7.295,0.09999999999999964,0,0,7.288,Implementation-aware,1
SS002,Workforce Depth and Recovery Time,staffing depth recovery time and human capacity,7.5,9.2,7.8,8,7.5,8.2,9.1,2.6,3.4,protects people and function through staffing depth cross-training recovery time workload protection and psychological safety,7.204999999999999,0,0.1999999999999993,0,7.193,Implementation-aware,2
SS004,Knowledge Architecture and Institutional Memory,knowledge slack decision records and institutional memory,7.4,8,7.6,9.3,7.8,8.5,8.3,2.9,3.3,protects adaptive capacity through documentation mentoring knowledge maps after-action archives decision records and communities of practice,7.145000000000001,0.1999999999999993,0,0,7.131000000000001,Implementation-aware,3
SS005,Supplier and Partner Optionality,network slack suppliers mutual aid and external options,7.6,7.6,8.3,8,9.2,8.3,8.2,3,3.6,protects continuity through supplier diversity mutual aid route alternatives partner trust and external coordination capacity,7.145,0.5999999999999996,0.1999999999999993,0,7.091,Implementation-aware,4
SS003,Critical Operations Redundancy,backup systems spare parts and operational continuity,7.8,7.8,9.2,7.8,8,8.1,8,3.1,3.5,protects critical operations with backup systems spare parts alternate workflows continuity tests and graceful degradation,7.087000000000001,0.39999999999999947,0.39999999999999947,0.09999999999999964,7.029000000000001,Implementation-aware,5
SS001,Cash Reserves and Liquidity Buffer,financial reserves liquidity and budget flexibility,9.1,7.2,7.4,7.2,7,7.8,7.8,3,3,protects essential functions by preventing temporary revenue or cost shocks from forcing destructive cuts insolvency or fire-sale decisions,6.715000000000002,0.9999999999999991,0.9999999999999991,0.39999999999999947,6.561000000000002,Implementation-aware,6
SS004,Knowledge Architecture and Institutional Memory,knowledge slack decision records and institutional memory,7.4,8,7.6,9.3,7.8,8.5,8.3,2.9,3.3,protects adaptive capacity through documentation mentoring knowledge maps after-action archives decision records and communities of practice,8.084000000000001,0.1999999999999993,0,0,8.070000000000002,Knowledge-first,1
SS006,Adaptive Governance and Emergency Decision Space,governance slack decision rights and adaptive rules,7.8,8.1,8,8.4,8.1,9.1,8.4,2.8,3.2,protects adaptation by creating emergency authority flexible budgets escalation paths ethical review and accountable decision space,7.9639999999999995,0.09999999999999964,0,0,7.957,Knowledge-first,2
SS002,Workforce Depth and Recovery Time,staffing depth recovery time and human capacity,7.5,9.2,7.8,8,7.5,8.2,9.1,2.6,3.4,protects people and function through staffing depth cross-training recovery time workload protection and psychological safety,7.828,0,0.1999999999999993,0,7.816000000000001,Knowledge-first,3
SS005,Supplier and Partner Optionality,network slack suppliers mutual aid and external options,7.6,7.6,8.3,8,9.2,8.3,8.2,3,3.6,protects continuity through supplier diversity mutual aid route alternatives partner trust and external coordination capacity,7.776000000000001,0.5999999999999996,0.1999999999999993,0,7.722000000000001,Knowledge-first,4
SS003,Critical Operations Redundancy,backup systems spare parts and operational continuity,7.8,7.8,9.2,7.8,8,8.1,8,3.1,3.5,protects critical operations with backup systems spare parts alternate workflows continuity tests and graceful degradation,7.6789999999999985,0.39999999999999947,0.39999999999999947,0.09999999999999964,7.620999999999999,Knowledge-first,5
SS001,Cash Reserves and Liquidity Buffer,financial reserves liquidity and budget flexibility,9.1,7.2,7.4,7.2,7,7.8,7.8,3,3,protects essential functions by preventing temporary revenue or cost shocks from forcing destructive cuts insolvency or fire-sale decisions,7.2040000000000015,0.9999999999999991,0.9999999999999991,0.39999999999999947,7.050000000000002,Knowledge-first,6
SS005,Supplier and Partner Optionality,network slack suppliers mutual aid and external options,7.6,7.6,8.3,8,9.2,8.3,8.2,3,3.6,protects continuity through supplier diversity mutual aid route alternatives partner trust and external coordination capacity,8.014,0.5999999999999996,0.1999999999999993,0,7.96,Network-first,1
SS006,Adaptive Governance and Emergency Decision Space,governance slack decision rights and adaptive rules,7.8,8.1,8,8.4,8.1,9.1,8.4,2.8,3.2,protects adaptation by creating emergency authority flexible budgets escalation paths ethical review and accountable decision space,7.806,0.09999999999999964,0,0,7.799,Network-first,2
SS003,Critical Operations Redundancy,backup systems spare parts and operational continuity,7.8,7.8,9.2,7.8,8,8.1,8,3.1,3.5,protects critical operations with backup systems spare parts alternate workflows continuity tests and graceful degradation,7.6789999999999985,0.39999999999999947,0.39999999999999947,0.09999999999999964,7.620999999999999,Network-first,3
SS004,Knowledge Architecture and Institutional Memory,knowledge slack decision records and institutional memory,7.4,8,7.6,9.3,7.8,8.5,8.3,2.9,3.3,protects adaptive capacity through documentation mentoring knowledge maps after-action archives decision records and communities of practice,7.6209999999999996,0.1999999999999993,0,0,7.606999999999999,Network-first,4
SS002,Workforce Depth and Recovery Time,staffing depth recovery time and human capacity,7.5,9.2,7.8,8,7.5,8.2,9.1,2.6,3.4,protects people and function through staffing depth cross-training recovery time workload protection and psychological safety,7.583000000000001,0,0.1999999999999993,0,7.5710000000000015,Network-first,5
SS001,Cash Reserves and Liquidity Buffer,financial reserves liquidity and budget flexibility,9.1,7.2,7.4,7.2,7,7.8,7.8,3,3,protects essential functions by preventing temporary revenue or cost shocks from forcing destructive cuts insolvency or fire-sale decisions,7.086,0.9999999999999991,0.9999999999999991,0.39999999999999947,6.932,Network-first,6
SS003,Critical Operations Redundancy,backup systems spare parts and operational continuity,7.8,7.8,9.2,7.8,8,8.1,8,3.1,3.5,protects critical operations with backup systems spare parts alternate workflows continuity tests and graceful degradation,8.033000000000001,0.39999999999999947,0.39999999999999947,0.09999999999999964,7.9750000000000005,Operational-first,1
SS006,Adaptive Governance and Emergency Decision Space,governance slack decision rights and adaptive rules,7.8,8.1,8,8.4,8.1,9.1,8.4,2.8,3.2,protects adaptation by creating emergency authority flexible budgets escalation paths ethical review and accountable decision space,7.864,0.09999999999999964,0,0,7.857,Operational-first,2
SS005,Supplier and Partner Optionality,network slack suppliers mutual aid and external options,7.6,7.6,8.3,8,9.2,8.3,8.2,3,3.6,protects continuity through supplier diversity mutual aid route alternatives partner trust and external coordination capacity,7.883000000000002,0.5999999999999996,0.1999999999999993,0,7.829000000000002,Operational-first,3
SS002,Workforce Depth and Recovery Time,staffing depth recovery time and human capacity,7.5,9.2,7.8,8,7.5,8.2,9.1,2.6,3.4,protects people and function through staffing depth cross-training recovery time workload protection and psychological safety,7.744000000000001,0,0.1999999999999993,0,7.732000000000001,Operational-first,4
SS004,Knowledge Architecture and Institutional Memory,knowledge slack decision records and institutional memory,7.4,8,7.6,9.3,7.8,8.5,8.3,2.9,3.3,protects adaptive capacity through documentation mentoring knowledge maps after-action archives decision records and communities of practice,7.6549999999999985,0.1999999999999993,0,0,7.640999999999998,Operational-first,5
SS001,Cash Reserves and Liquidity Buffer,financial reserves liquidity and budget flexibility,9.1,7.2,7.4,7.2,7,7.8,7.8,3,3,protects essential functions by preventing temporary revenue or cost shocks from forcing destructive cuts insolvency or fire-sale decisions,7.25,0.9999999999999991,0.9999999999999991,0.39999999999999947,7.096,Operational-first,6
SS002,Workforce Depth and Recovery Time,staffing depth recovery time and human capacity,7.5,9.2,7.8,8,7.5,8.2,9.1,2.6,3.4,protects people and function through staffing depth cross-training recovery time workload protection and psychological safety,8.237,0,0.1999999999999993,0,8.225,Workforce-first,1
SS006,Adaptive Governance and Emergency Decision Space,governance slack decision rights and adaptive rules,7.8,8.1,8,8.4,8.1,9.1,8.4,2.8,3.2,protects adaptation by creating emergency authority flexible budgets escalation paths ethical review and accountable decision space,8.01,0.09999999999999964,0,0,8.003,Workforce-first,2
SS004,Knowledge Architecture and Institutional Memory,knowledge slack decision records and institutional memory,7.4,8,7.6,9.3,7.8,8.5,8.3,2.9,3.3,protects adaptive capacity through documentation mentoring knowledge maps after-action archives decision records and communities of practice,7.902,0.1999999999999993,0,0,7.888,Workforce-first,3
SS005,Supplier and Partner Optionality,network slack suppliers mutual aid and external options,7.6,7.6,8.3,8,9.2,8.3,8.2,3,3.6,protects continuity through supplier diversity mutual aid route alternatives partner trust and external coordination capacity,7.7860000000000005,0.5999999999999996,0.1999999999999993,0,7.732000000000001,Workforce-first,4
SS003,Critical Operations Redundancy,backup systems spare parts and operational continuity,7.8,7.8,9.2,7.8,8,8.1,8,3.1,3.5,protects critical operations with backup systems spare parts alternate workflows continuity tests and graceful degradation,7.789999999999999,0.39999999999999947,0.39999999999999947,0.09999999999999964,7.731999999999999,Workforce-first,5
SS001,Cash Reserves and Liquidity Buffer,financial reserves liquidity and budget flexibility,9.1,7.2,7.4,7.2,7,7.8,7.8,3,3,protects essential functions by preventing temporary revenue or cost shocks from forcing destructive cuts insolvency or fire-sale decisions,7.319999999999999,0.9999999999999991,0.9999999999999991,0.39999999999999947,7.1659999999999995,Workforce-first,6
