simulation_id,portfolio_id,portfolio,rank,slack_resilience_value,winner
8,SS001,Cash Reserves and Liquidity Buffer,4,7.1637,Adaptive Governance and Emergency Decision Space
8,SS005,Supplier and Partner Optionality,5,7.15473,Adaptive Governance and Emergency Decision Space
8,SS002,Workforce Depth and Recovery Time,6,6.8964,Adaptive Governance and Emergency Decision Space
9,SS003,Critical Operations Redundancy,1,7.61785,Critical Operations Redundancy
9,SS006,Adaptive Governance and Emergency Decision Space,2,7.48875,Critical Operations Redundancy
9,SS002,Workforce Depth and Recovery Time,3,7.45117,Critical Operations Redundancy
9,SS004,Knowledge Architecture and Institutional Memory,4,7.25889,Critical Operations Redundancy
9,SS005,Supplier and Partner Optionality,5,7.06939,Critical Operations Redundancy
9,SS001,Cash Reserves and Liquidity Buffer,6,6.78997,Critical Operations Redundancy
10,SS005,Supplier and Partner Optionality,1,7.35249,Supplier and Partner Optionality
10,SS002,Workforce Depth and Recovery Time,2,7.33322,Supplier and Partner Optionality
10,SS006,Adaptive Governance and Emergency Decision Space,3,7.32713,Supplier and Partner Optionality
10,SS003,Critical Operations Redundancy,4,7.22278,Supplier and Partner Optionality
10,SS001,Cash Reserves and Liquidity Buffer,5,6.95829,Supplier and Partner Optionality
10,SS004,Knowledge Architecture and Institutional Memory,6,6.93912,Supplier and Partner Optionality
11,SS005,Supplier and Partner Optionality,1,7.54929,Supplier and Partner Optionality
11,SS006,Adaptive Governance and Emergency Decision Space,2,7.50844,Supplier and Partner Optionality
11,SS004,Knowledge Architecture and Institutional Memory,3,7.38522,Supplier and Partner Optionality
11,SS002,Workforce Depth and Recovery Time,4,7.26317,Supplier and Partner Optionality
11,SS001,Cash Reserves and Liquidity Buffer,5,7.17061,Supplier and Partner Optionality
11,SS003,Critical Operations Redundancy,6,7.02888,Supplier and Partner Optionality
12,SS005,Supplier and Partner Optionality,1,7.5118,Supplier and Partner Optionality
12,SS002,Workforce Depth and Recovery Time,2,7.49437,Supplier and Partner Optionality
12,SS003,Critical Operations Redundancy,3,7.17169,Supplier and Partner Optionality
12,SS004,Knowledge Architecture and Institutional Memory,4,7.08573,Supplier and Partner Optionality
12,SS006,Adaptive Governance and Emergency Decision Space,5,7.05197,Supplier and Partner Optionality
12,SS001,Cash Reserves and Liquidity Buffer,6,6.94093,Supplier and Partner Optionality
13,SS003,Critical Operations Redundancy,1,7.65891,Critical Operations Redundancy
13,SS002,Workforce Depth and Recovery Time,2,7.43558,Critical Operations Redundancy
13,SS006,Adaptive Governance and Emergency Decision Space,3,7.38855,Critical Operations Redundancy
13,SS004,Knowledge Architecture and Institutional Memory,4,7.16606,Critical Operations Redundancy
13,SS005,Supplier and Partner Optionality,5,7.14513,Critical Operations Redundancy
13,SS001,Cash Reserves and Liquidity Buffer,6,6.85455,Critical Operations Redundancy
14,SS002,Workforce Depth and Recovery Time,1,7.46047,Workforce Depth and Recovery Time
14,SS003,Critical Operations Redundancy,2,7.39895,Workforce Depth and Recovery Time
14,SS004,Knowledge Architecture and Institutional Memory,3,7.31483,Workforce Depth and Recovery Time
14,SS005,Supplier and Partner Optionality,4,7.28921,Workforce Depth and Recovery Time
14,SS006,Adaptive Governance and Emergency Decision Space,5,7.08023,Workforce Depth and Recovery Time
14,SS001,Cash Reserves and Liquidity Buffer,6,6.84139,Workforce Depth and Recovery Time
15,SS006,Adaptive Governance and Emergency Decision Space,1,7.48907,Adaptive Governance and Emergency Decision Space
15,SS005,Supplier and Partner Optionality,2,7.25281,Adaptive Governance and Emergency Decision Space
15,SS002,Workforce Depth and Recovery Time,3,7.13608,Adaptive Governance and Emergency Decision Space
15,SS003,Critical Operations Redundancy,4,7.01843,Adaptive Governance and Emergency Decision Space
15,SS004,Knowledge Architecture and Institutional Memory,5,6.98308,Adaptive Governance and Emergency Decision Space
15,SS001,Cash Reserves and Liquidity Buffer,6,6.93661,Adaptive Governance and Emergency Decision Space
16,SS002,Workforce Depth and Recovery Time,1,7.71406,Workforce Depth and Recovery Time
16,SS005,Supplier and Partner Optionality,2,7.56283,Workforce Depth and Recovery Time
16,SS003,Critical Operations Redundancy,3,7.50817,Workforce Depth and Recovery Time
16,SS004,Knowledge Architecture and Institutional Memory,4,7.50098,Workforce Depth and Recovery Time
16,SS006,Adaptive Governance and Emergency Decision Space,5,7.39273,Workforce Depth and Recovery Time
16,SS001,Cash Reserves and Liquidity Buffer,6,7.12441,Workforce Depth and Recovery Time
17,SS002,Workforce Depth and Recovery Time,1,7.61746,Workforce Depth and Recovery Time
17,SS005,Supplier and Partner Optionality,2,7.37448,Workforce Depth and Recovery Time
17,SS006,Adaptive Governance and Emergency Decision Space,3,7.35936,Workforce Depth and Recovery Time
17,SS004,Knowledge Architecture and Institutional Memory,4,7.20569,Workforce Depth and Recovery Time
17,SS003,Critical Operations Redundancy,5,7.12943,Workforce Depth and Recovery Time
17,SS001,Cash Reserves and Liquidity Buffer,6,6.31661,Workforce Depth and Recovery Time
18,SS006,Adaptive Governance and Emergency Decision Space,1,7.73148,Adaptive Governance and Emergency Decision Space
18,SS002,Workforce Depth and Recovery Time,2,7.51865,Adaptive Governance and Emergency Decision Space
18,SS004,Knowledge Architecture and Institutional Memory,3,7.21348,Adaptive Governance and Emergency Decision Space
18,SS005,Supplier and Partner Optionality,4,7.1944,Adaptive Governance and Emergency Decision Space
18,SS003,Critical Operations Redundancy,5,7.13293,Adaptive Governance and Emergency Decision Space
18,SS001,Cash Reserves and Liquidity Buffer,6,7.03339,Adaptive Governance and Emergency Decision Space
19,SS002,Workforce Depth and Recovery Time,1,7.45589,Workforce Depth and Recovery Time
19,SS003,Critical Operations Redundancy,2,7.4476,Workforce Depth and Recovery Time
19,SS005,Supplier and Partner Optionality,3,7.29613,Workforce Depth and Recovery Time
19,SS004,Knowledge Architecture and Institutional Memory,4,7.17986,Workforce Depth and Recovery Time
19,SS006,Adaptive Governance and Emergency Decision Space,5,7.09059,Workforce Depth and Recovery Time
19,SS001,Cash Reserves and Liquidity Buffer,6,7.08175,Workforce Depth and Recovery Time
20,SS002,Workforce Depth and Recovery Time,1,7.62654,Workforce Depth and Recovery Time
20,SS006,Adaptive Governance and Emergency Decision Space,2,7.51233,Workforce Depth and Recovery Time
20,SS003,Critical Operations Redundancy,3,7.26471,Workforce Depth and Recovery Time
20,SS005,Supplier and Partner Optionality,4,7.21034,Workforce Depth and Recovery Time
20,SS004,Knowledge Architecture and Institutional Memory,5,6.87221,Workforce Depth and Recovery Time
20,SS001,Cash Reserves and Liquidity Buffer,6,6.77467,Workforce Depth and Recovery Time
21,SS005,Supplier and Partner Optionality,1,7.60653,Supplier and Partner Optionality
21,SS006,Adaptive Governance and Emergency Decision Space,2,7.55325,Supplier and Partner Optionality
21,SS002,Workforce Depth and Recovery Time,3,7.36964,Supplier and Partner Optionality
21,SS004,Knowledge Architecture and Institutional Memory,4,7.18659,Supplier and Partner Optionality
21,SS003,Critical Operations Redundancy,5,7.09945,Supplier and Partner Optionality
21,SS001,Cash Reserves and Liquidity Buffer,6,6.87764,Supplier and Partner Optionality
22,SS003,Critical Operations Redundancy,1,7.63729,Critical Operations Redundancy
22,SS006,Adaptive Governance and Emergency Decision Space,2,7.43534,Critical Operations Redundancy
22,SS002,Workforce Depth and Recovery Time,3,7.2061,Critical Operations Redundancy
22,SS004,Knowledge Architecture and Institutional Memory,4,7.09649,Critical Operations Redundancy
22,SS005,Supplier and Partner Optionality,5,7.01609,Critical Operations Redundancy
22,SS001,Cash Reserves and Liquidity Buffer,6,6.62629,Critical Operations Redundancy
23,SS006,Adaptive Governance and Emergency Decision Space,1,7.63816,Adaptive Governance and Emergency Decision Space
23,SS003,Critical Operations Redundancy,2,7.52991,Adaptive Governance and Emergency Decision Space
23,SS004,Knowledge Architecture and Institutional Memory,3,7.51684,Adaptive Governance and Emergency Decision Space
23,SS001,Cash Reserves and Liquidity Buffer,4,7.41906,Adaptive Governance and Emergency Decision Space
23,SS005,Supplier and Partner Optionality,5,7.2309,Adaptive Governance and Emergency Decision Space
23,SS002,Workforce Depth and Recovery Time,6,7.19539,Adaptive Governance and Emergency Decision Space
24,SS003,Critical Operations Redundancy,1,7.794,Critical Operations Redundancy
24,SS006,Adaptive Governance and Emergency Decision Space,2,7.48298,Critical Operations Redundancy
24,SS004,Knowledge Architecture and Institutional Memory,3,7.29009,Critical Operations Redundancy
24,SS002,Workforce Depth and Recovery Time,4,7.28568,Critical Operations Redundancy
24,SS005,Supplier and Partner Optionality,5,7.26246,Critical Operations Redundancy
24,SS001,Cash Reserves and Liquidity Buffer,6,6.95572,Critical Operations Redundancy
25,SS005,Supplier and Partner Optionality,1,7.4985,Supplier and Partner Optionality
25,SS002,Workforce Depth and Recovery Time,2,7.47819,Supplier and Partner Optionality
25,SS006,Adaptive Governance and Emergency Decision Space,3,7.42995,Supplier and Partner Optionality
25,SS004,Knowledge Architecture and Institutional Memory,4,7.40474,Supplier and Partner Optionality
25,SS003,Critical Operations Redundancy,5,7.37456,Supplier and Partner Optionality
25,SS001,Cash Reserves and Liquidity Buffer,6,6.92152,Supplier and Partner Optionality
26,SS002,Workforce Depth and Recovery Time,1,7.55007,Workforce Depth and Recovery Time
26,SS006,Adaptive Governance and Emergency Decision Space,2,7.54141,Workforce Depth and Recovery Time
26,SS005,Supplier and Partner Optionality,3,7.38013,Workforce Depth and Recovery Time
26,SS004,Knowledge Architecture and Institutional Memory,4,7.12625,Workforce Depth and Recovery Time
26,SS003,Critical Operations Redundancy,5,7.06972,Workforce Depth and Recovery Time
26,SS001,Cash Reserves and Liquidity Buffer,6,7.0027,Workforce Depth and Recovery Time
27,SS006,Adaptive Governance and Emergency Decision Space,1,7.75528,Adaptive Governance and Emergency Decision Space
27,SS005,Supplier and Partner Optionality,2,7.63305,Adaptive Governance and Emergency Decision Space
27,SS004,Knowledge Architecture and Institutional Memory,3,7.36919,Adaptive Governance and Emergency Decision Space
27,SS002,Workforce Depth and Recovery Time,4,7.2974,Adaptive Governance and Emergency Decision Space
27,SS003,Critical Operations Redundancy,5,7.08468,Adaptive Governance and Emergency Decision Space
27,SS001,Cash Reserves and Liquidity Buffer,6,6.86963,Adaptive Governance and Emergency Decision Space
28,SS005,Supplier and Partner Optionality,1,7.45216,Supplier and Partner Optionality
28,SS002,Workforce Depth and Recovery Time,2,7.44708,Supplier and Partner Optionality
28,SS006,Adaptive Governance and Emergency Decision Space,3,7.43505,Supplier and Partner Optionality
28,SS003,Critical Operations Redundancy,4,7.4336,Supplier and Partner Optionality
28,SS004,Knowledge Architecture and Institutional Memory,5,7.20076,Supplier and Partner Optionality
28,SS001,Cash Reserves and Liquidity Buffer,6,6.43074,Supplier and Partner Optionality
29,SS003,Critical Operations Redundancy,1,7.60449,Critical Operations Redundancy
29,SS002,Workforce Depth and Recovery Time,2,7.60229,Critical Operations Redundancy
29,SS004,Knowledge Architecture and Institutional Memory,3,7.39785,Critical Operations Redundancy
29,SS006,Adaptive Governance and Emergency Decision Space,4,7.07182,Critical Operations Redundancy
29,SS005,Supplier and Partner Optionality,5,6.86377,Critical Operations Redundancy
29,SS001,Cash Reserves and Liquidity Buffer,6,6.72827,Critical Operations Redundancy
30,SS005,Supplier and Partner Optionality,1,7.48038,Supplier and Partner Optionality
30,SS002,Workforce Depth and Recovery Time,2,7.4519,Supplier and Partner Optionality
30,SS004,Knowledge Architecture and Institutional Memory,3,7.44829,Supplier and Partner Optionality
30,SS003,Critical Operations Redundancy,4,7.38395,Supplier and Partner Optionality
30,SS006,Adaptive Governance and Emergency Decision Space,5,7.1642,Supplier and Partner Optionality
30,SS001,Cash Reserves and Liquidity Buffer,6,6.6447,Supplier and Partner Optionality
31,SS002,Workforce Depth and Recovery Time,1,7.57189,Workforce Depth and Recovery Time
31,SS004,Knowledge Architecture and Institutional Memory,2,7.5383,Workforce Depth and Recovery Time
31,SS003,Critical Operations Redundancy,3,7.42141,Workforce Depth and Recovery Time
31,SS005,Supplier and Partner Optionality,4,7.41952,Workforce Depth and Recovery Time
31,SS006,Adaptive Governance and Emergency Decision Space,5,7.15378,Workforce Depth and Recovery Time
31,SS001,Cash Reserves and Liquidity Buffer,6,6.69473,Workforce Depth and Recovery Time
32,SS005,Supplier and Partner Optionality,1,7.73338,Supplier and Partner Optionality
32,SS002,Workforce Depth and Recovery Time,2,7.5627,Supplier and Partner Optionality
32,SS006,Adaptive Governance and Emergency Decision Space,3,7.52345,Supplier and Partner Optionality
32,SS003,Critical Operations Redundancy,4,7.31803,Supplier and Partner Optionality
32,SS004,Knowledge Architecture and Institutional Memory,5,7.26398,Supplier and Partner Optionality
32,SS001,Cash Reserves and Liquidity Buffer,6,6.6682,Supplier and Partner Optionality
33,SS006,Adaptive Governance and Emergency Decision Space,1,7.58704,Adaptive Governance and Emergency Decision Space
33,SS004,Knowledge Architecture and Institutional Memory,2,7.4698,Adaptive Governance and Emergency Decision Space
33,SS003,Critical Operations Redundancy,3,7.27135,Adaptive Governance and Emergency Decision Space
33,SS005,Supplier and Partner Optionality,4,7.08675,Adaptive Governance and Emergency Decision Space
33,SS002,Workforce Depth and Recovery Time,5,6.99427,Adaptive Governance and Emergency Decision Space
33,SS001,Cash Reserves and Liquidity Buffer,6,6.88462,Adaptive Governance and Emergency Decision Space
34,SS006,Adaptive Governance and Emergency Decision Space,1,7.62962,Adaptive Governance and Emergency Decision Space
34,SS005,Supplier and Partner Optionality,2,7.57213,Adaptive Governance and Emergency Decision Space
34,SS004,Knowledge Architecture and Institutional Memory,3,7.56747,Adaptive Governance and Emergency Decision Space
34,SS001,Cash Reserves and Liquidity Buffer,4,7.35657,Adaptive Governance and Emergency Decision Space
34,SS002,Workforce Depth and Recovery Time,5,7.30228,Adaptive Governance and Emergency Decision Space
34,SS003,Critical Operations Redundancy,6,7.19342,Adaptive Governance and Emergency Decision Space
35,SS006,Adaptive Governance and Emergency Decision Space,1,7.60047,Adaptive Governance and Emergency Decision Space
35,SS004,Knowledge Architecture and Institutional Memory,2,7.39576,Adaptive Governance and Emergency Decision Space
35,SS002,Workforce Depth and Recovery Time,3,7.38351,Adaptive Governance and Emergency Decision Space
35,SS003,Critical Operations Redundancy,4,7.37781,Adaptive Governance and Emergency Decision Space
35,SS005,Supplier and Partner Optionality,5,7.17213,Adaptive Governance and Emergency Decision Space
35,SS001,Cash Reserves and Liquidity Buffer,6,6.74142,Adaptive Governance and Emergency Decision Space
36,SS006,Adaptive Governance and Emergency Decision Space,1,7.81207,Adaptive Governance and Emergency Decision Space
36,SS005,Supplier and Partner Optionality,2,7.32204,Adaptive Governance and Emergency Decision Space
36,SS004,Knowledge Architecture and Institutional Memory,3,7.28304,Adaptive Governance and Emergency Decision Space
36,SS002,Workforce Depth and Recovery Time,4,7.22028,Adaptive Governance and Emergency Decision Space
36,SS003,Critical Operations Redundancy,5,7.07679,Adaptive Governance and Emergency Decision Space
36,SS001,Cash Reserves and Liquidity Buffer,6,6.74695,Adaptive Governance and Emergency Decision Space
37,SS006,Adaptive Governance and Emergency Decision Space,1,7.3766,Adaptive Governance and Emergency Decision Space
37,SS005,Supplier and Partner Optionality,2,7.30636,Adaptive Governance and Emergency Decision Space
37,SS001,Cash Reserves and Liquidity Buffer,3,7.26553,Adaptive Governance and Emergency Decision Space
37,SS003,Critical Operations Redundancy,4,7.0934,Adaptive Governance and Emergency Decision Space
37,SS002,Workforce Depth and Recovery Time,5,7.09076,Adaptive Governance and Emergency Decision Space
37,SS004,Knowledge Architecture and Institutional Memory,6,7.00069,Adaptive Governance and Emergency Decision Space
38,SS004,Knowledge Architecture and Institutional Memory,1,7.51555,Knowledge Architecture and Institutional Memory
38,SS006,Adaptive Governance and Emergency Decision Space,2,7.33346,Knowledge Architecture and Institutional Memory
38,SS002,Workforce Depth and Recovery Time,3,7.20131,Knowledge Architecture and Institutional Memory
38,SS003,Critical Operations Redundancy,4,7.18838,Knowledge Architecture and Institutional Memory
38,SS001,Cash Reserves and Liquidity Buffer,5,7.13623,Knowledge Architecture and Institutional Memory
38,SS005,Supplier and Partner Optionality,6,7.09766,Knowledge Architecture and Institutional Memory
39,SS006,Adaptive Governance and Emergency Decision Space,1,7.66078,Adaptive Governance and Emergency Decision Space
39,SS004,Knowledge Architecture and Institutional Memory,2,7.45019,Adaptive Governance and Emergency Decision Space
39,SS003,Critical Operations Redundancy,3,7.44133,Adaptive Governance and Emergency Decision Space
39,SS002,Workforce Depth and Recovery Time,4,7.34812,Adaptive Governance and Emergency Decision Space
39,SS005,Supplier and Partner Optionality,5,7.05307,Adaptive Governance and Emergency Decision Space
39,SS001,Cash Reserves and Liquidity Buffer,6,6.90812,Adaptive Governance and Emergency Decision Space
40,SS002,Workforce Depth and Recovery Time,1,7.79578,Workforce Depth and Recovery Time
40,SS004,Knowledge Architecture and Institutional Memory,2,7.71409,Workforce Depth and Recovery Time
40,SS006,Adaptive Governance and Emergency Decision Space,3,7.5611,Workforce Depth and Recovery Time
40,SS005,Supplier and Partner Optionality,4,7.35945,Workforce Depth and Recovery Time
40,SS003,Critical Operations Redundancy,5,7.28692,Workforce Depth and Recovery Time
40,SS001,Cash Reserves and Liquidity Buffer,6,7.00708,Workforce Depth and Recovery Time
41,SS003,Critical Operations Redundancy,1,7.59604,Critical Operations Redundancy
41,SS002,Workforce Depth and Recovery Time,2,7.49307,Critical Operations Redundancy
41,SS005,Supplier and Partner Optionality,3,7.47811,Critical Operations Redundancy
41,SS006,Adaptive Governance and Emergency Decision Space,4,7.42768,Critical Operations Redundancy
41,SS004,Knowledge Architecture and Institutional Memory,5,7.19506,Critical Operations Redundancy
41,SS001,Cash Reserves and Liquidity Buffer,6,6.76917,Critical Operations Redundancy
42,SS006,Adaptive Governance and Emergency Decision Space,1,7.54751,Adaptive Governance and Emergency Decision Space
42,SS005,Supplier and Partner Optionality,2,7.54624,Adaptive Governance and Emergency Decision Space
42,SS002,Workforce Depth and Recovery Time,3,7.43132,Adaptive Governance and Emergency Decision Space
42,SS004,Knowledge Architecture and Institutional Memory,4,7.33281,Adaptive Governance and Emergency Decision Space
42,SS001,Cash Reserves and Liquidity Buffer,5,7.29408,Adaptive Governance and Emergency Decision Space
42,SS003,Critical Operations Redundancy,6,7.11378,Adaptive Governance and Emergency Decision Space
43,SS006,Adaptive Governance and Emergency Decision Space,1,7.50339,Adaptive Governance and Emergency Decision Space
43,SS005,Supplier and Partner Optionality,2,7.31114,Adaptive Governance and Emergency Decision Space
43,SS003,Critical Operations Redundancy,3,7.2976,Adaptive Governance and Emergency Decision Space
43,SS004,Knowledge Architecture and Institutional Memory,4,7.21292,Adaptive Governance and Emergency Decision Space
43,SS002,Workforce Depth and Recovery Time,5,7.16393,Adaptive Governance and Emergency Decision Space
43,SS001,Cash Reserves and Liquidity Buffer,6,7.00521,Adaptive Governance and Emergency Decision Space
44,SS004,Knowledge Architecture and Institutional Memory,1,7.75538,Knowledge Architecture and Institutional Memory
44,SS006,Adaptive Governance and Emergency Decision Space,2,7.67854,Knowledge Architecture and Institutional Memory
44,SS002,Workforce Depth and Recovery Time,3,7.60493,Knowledge Architecture and Institutional Memory
44,SS005,Supplier and Partner Optionality,4,7.5639,Knowledge Architecture and Institutional Memory
44,SS003,Critical Operations Redundancy,5,7.11886,Knowledge Architecture and Institutional Memory
44,SS001,Cash Reserves and Liquidity Buffer,6,6.69856,Knowledge Architecture and Institutional Memory
45,SS006,Adaptive Governance and Emergency Decision Space,1,7.7329,Adaptive Governance and Emergency Decision Space
45,SS005,Supplier and Partner Optionality,2,7.53301,Adaptive Governance and Emergency Decision Space
45,SS004,Knowledge Architecture and Institutional Memory,3,7.4418,Adaptive Governance and Emergency Decision Space
45,SS003,Critical Operations Redundancy,4,7.44176,Adaptive Governance and Emergency Decision Space
45,SS002,Workforce Depth and Recovery Time,5,7.42314,Adaptive Governance and Emergency Decision Space
45,SS001,Cash Reserves and Liquidity Buffer,6,6.69172,Adaptive Governance and Emergency Decision Space
46,SS004,Knowledge Architecture and Institutional Memory,1,7.58886,Knowledge Architecture and Institutional Memory
46,SS006,Adaptive Governance and Emergency Decision Space,2,7.55606,Knowledge Architecture and Institutional Memory
46,SS003,Critical Operations Redundancy,3,7.25745,Knowledge Architecture and Institutional Memory
46,SS005,Supplier and Partner Optionality,4,7.19014,Knowledge Architecture and Institutional Memory
46,SS002,Workforce Depth and Recovery Time,5,7.16003,Knowledge Architecture and Institutional Memory
46,SS001,Cash Reserves and Liquidity Buffer,6,6.94991,Knowledge Architecture and Institutional Memory
47,SS003,Critical Operations Redundancy,1,7.60136,Critical Operations Redundancy
47,SS005,Supplier and Partner Optionality,2,7.56656,Critical Operations Redundancy
47,SS004,Knowledge Architecture and Institutional Memory,3,7.4798,Critical Operations Redundancy
47,SS006,Adaptive Governance and Emergency Decision Space,4,7.39995,Critical Operations Redundancy
47,SS002,Workforce Depth and Recovery Time,5,7.27925,Critical Operations Redundancy
47,SS001,Cash Reserves and Liquidity Buffer,6,7.08007,Critical Operations Redundancy
48,SS006,Adaptive Governance and Emergency Decision Space,1,7.55833,Adaptive Governance and Emergency Decision Space
48,SS002,Workforce Depth and Recovery Time,2,7.50075,Adaptive Governance and Emergency Decision Space
48,SS005,Supplier and Partner Optionality,3,7.4574,Adaptive Governance and Emergency Decision Space
48,SS004,Knowledge Architecture and Institutional Memory,4,7.39532,Adaptive Governance and Emergency Decision Space
48,SS001,Cash Reserves and Liquidity Buffer,5,6.92563,Adaptive Governance and Emergency Decision Space
48,SS003,Critical Operations Redundancy,6,6.91676,Adaptive Governance and Emergency Decision Space
49,SS005,Supplier and Partner Optionality,1,7.67682,Supplier and Partner Optionality
49,SS006,Adaptive Governance and Emergency Decision Space,2,7.351,Supplier and Partner Optionality
49,SS004,Knowledge Architecture and Institutional Memory,3,7.27595,Supplier and Partner Optionality
49,SS002,Workforce Depth and Recovery Time,4,7.25972,Supplier and Partner Optionality
49,SS003,Critical Operations Redundancy,5,7.25862,Supplier and Partner Optionality
49,SS001,Cash Reserves and Liquidity Buffer,6,6.83178,Supplier and Partner Optionality
50,SS006,Adaptive Governance and Emergency Decision Space,1,7.73995,Adaptive Governance and Emergency Decision Space
50,SS002,Workforce Depth and Recovery Time,2,7.7117,Adaptive Governance and Emergency Decision Space
50,SS005,Supplier and Partner Optionality,3,7.344,Adaptive Governance and Emergency Decision Space
50,SS003,Critical Operations Redundancy,4,7.32412,Adaptive Governance and Emergency Decision Space
50,SS004,Knowledge Architecture and Institutional Memory,5,7.12193,Adaptive Governance and Emergency Decision Space
50,SS001,Cash Reserves and Liquidity Buffer,6,7.01128,Adaptive Governance and Emergency Decision Space
51,SS002,Workforce Depth and Recovery Time,1,7.79555,Workforce Depth and Recovery Time
51,SS005,Supplier and Partner Optionality,2,7.48992,Workforce Depth and Recovery Time
51,SS006,Adaptive Governance and Emergency Decision Space,3,7.39723,Workforce Depth and Recovery Time
51,SS003,Critical Operations Redundancy,4,7.29163,Workforce Depth and Recovery Time
51,SS004,Knowledge Architecture and Institutional Memory,5,7.24839,Workforce Depth and Recovery Time
51,SS001,Cash Reserves and Liquidity Buffer,6,6.62135,Workforce Depth and Recovery Time
52,SS004,Knowledge Architecture and Institutional Memory,1,7.75908,Knowledge Architecture and Institutional Memory
