scenario,strategy_id,strategy,system_domain,rank,resilience_value,cascading_exposure,critical_service
Redundancy-first,INF002,Flood-Resilient Transport Retrofit Program,transport infrastructure,6,7.042,4.1,protects emergency routes freight corridors transit access evacuation and repair mobility
Recovery-first,INF006,Equitable Critical Service Restoration Program,equity and recovery governance,1,7.734,3.4,prioritizes restoration for medically vulnerable households shelters public housing schools and essential services
Recovery-first,INF001,Grid Redundancy and Microgrid Expansion,energy infrastructure,2,7.528,3.9,maintains power for hospitals shelters water pumping cooling communications and critical facilities
Recovery-first,INF003,Distributed Backup Water and Pumping Capacity,water infrastructure,3,7.346,4.0,maintains safe water pressure treatment pumping storage and sanitation during disruption
Recovery-first,INF004,Cross-Network Monitoring and Dependency Mapping,cross-network governance,4,7.318,3.8,improves visibility across power water transport communications hospitals and logistics dependencies
Recovery-first,INF005,Hybrid Wetland and Stormwater Infrastructure,nature-based and hybrid infrastructure,5,7.166,3.6,reduces flood peaks heat stormwater stress and ecological degradation through hybrid grey-green systems
Recovery-first,INF002,Flood-Resilient Transport Retrofit Program,transport infrastructure,6,7.098,4.1,protects emergency routes freight corridors transit access evacuation and repair mobility
Adaptation-first,INF006,Equitable Critical Service Restoration Program,equity and recovery governance,1,7.588,3.4,prioritizes restoration for medically vulnerable households shelters public housing schools and essential services
Adaptation-first,INF001,Grid Redundancy and Microgrid Expansion,energy infrastructure,2,7.574,3.9,maintains power for hospitals shelters water pumping cooling communications and critical facilities
Adaptation-first,INF004,Cross-Network Monitoring and Dependency Mapping,cross-network governance,3,7.444,3.8,improves visibility across power water transport communications hospitals and logistics dependencies
Adaptation-first,INF005,Hybrid Wetland and Stormwater Infrastructure,nature-based and hybrid infrastructure,4,7.398,3.6,reduces flood peaks heat stormwater stress and ecological degradation through hybrid grey-green systems
Adaptation-first,INF003,Distributed Backup Water and Pumping Capacity,water infrastructure,5,7.368,4.0,maintains safe water pressure treatment pumping storage and sanitation during disruption
Adaptation-first,INF002,Flood-Resilient Transport Retrofit Program,transport infrastructure,6,7.122,4.1,protects emergency routes freight corridors transit access evacuation and repair mobility
Equity-first,INF006,Equitable Critical Service Restoration Program,equity and recovery governance,1,8.074,3.4,prioritizes restoration for medically vulnerable households shelters public housing schools and essential services
Equity-first,INF001,Grid Redundancy and Microgrid Expansion,energy infrastructure,2,7.688,3.9,maintains power for hospitals shelters water pumping cooling communications and critical facilities
Equity-first,INF003,Distributed Backup Water and Pumping Capacity,water infrastructure,3,7.576,4.0,maintains safe water pressure treatment pumping storage and sanitation during disruption
Equity-first,INF005,Hybrid Wetland and Stormwater Infrastructure,nature-based and hybrid infrastructure,4,7.542,3.6,reduces flood peaks heat stormwater stress and ecological degradation through hybrid grey-green systems
Equity-first,INF004,Cross-Network Monitoring and Dependency Mapping,cross-network governance,5,7.404,3.8,improves visibility across power water transport communications hospitals and logistics dependencies
Equity-first,INF002,Flood-Resilient Transport Retrofit Program,transport infrastructure,6,7.266,4.1,protects emergency routes freight corridors transit access evacuation and repair mobility
Cascade-sensitive,INF006,Equitable Critical Service Restoration Program,equity and recovery governance,1,5.314,3.4,prioritizes restoration for medically vulnerable households shelters public housing schools and essential services
Cascade-sensitive,INF001,Grid Redundancy and Microgrid Expansion,energy infrastructure,2,5.18,3.9,maintains power for hospitals shelters water pumping cooling communications and critical facilities
Cascade-sensitive,INF003,Distributed Backup Water and Pumping Capacity,water infrastructure,3,4.988,4.0,maintains safe water pressure treatment pumping storage and sanitation during disruption
Cascade-sensitive,INF005,Hybrid Wetland and Stormwater Infrastructure,nature-based and hybrid infrastructure,4,4.964,3.6,reduces flood peaks heat stormwater stress and ecological degradation through hybrid grey-green systems
Cascade-sensitive,INF004,Cross-Network Monitoring and Dependency Mapping,cross-network governance,5,4.894,3.8,improves visibility across power water transport communications hospitals and logistics dependencies
Cascade-sensitive,INF002,Flood-Resilient Transport Retrofit Program,transport infrastructure,6,4.718,4.1,protects emergency routes freight corridors transit access evacuation and repair mobility
