strategy_id,strategy,system_domain,service_continuity,redundancy,recovery_speed,adaptive_capacity,equity_protection,cascading_exposure,critical_service,resilience_value,scenario,rank
INF001,Grid Redundancy and Microgrid Expansion,energy infrastructure,8.7,8.9,8,8.2,7.8,3.9,maintains power for hospitals shelters water pumping cooling communications and critical facilities,7.528,Recovery-first,2
INF003,Distributed Backup Water and Pumping Capacity,water infrastructure,8.3,8.5,7.9,8,7.9,4,maintains safe water pressure treatment pumping storage and sanitation during disruption,7.346,Recovery-first,3
INF004,Cross-Network Monitoring and Dependency Mapping,cross-network governance,7.9,7.4,8.2,8.6,7.7,3.8,improves visibility across power water transport communications hospitals and logistics dependencies,7.318,Recovery-first,4
INF005,Hybrid Wetland and Stormwater Infrastructure,nature-based and hybrid infrastructure,8,7.8,7.6,8.4,8.1,3.6,reduces flood peaks heat stormwater stress and ecological degradation through hybrid grey-green systems,7.1659999999999995,Recovery-first,5
INF002,Flood-Resilient Transport Retrofit Program,transport infrastructure,8.1,7.6,7.8,7.9,7.6,4.1,protects emergency routes freight corridors transit access evacuation and repair mobility,7.098,Recovery-first,6
INF001,Grid Redundancy and Microgrid Expansion,energy infrastructure,8.7,8.9,8,8.2,7.8,3.9,maintains power for hospitals shelters water pumping cooling communications and critical facilities,7.779999999999999,Redundancy-first,1
INF006,Equitable Critical Service Restoration Program,equity and recovery governance,8.4,8,8.6,8.1,8.9,3.4,prioritizes restoration for medically vulnerable households shelters public housing schools and essential services,7.566,Redundancy-first,2
INF003,Distributed Backup Water and Pumping Capacity,water infrastructure,8.3,8.5,7.9,8,7.9,4,maintains safe water pressure treatment pumping storage and sanitation during disruption,7.513999999999999,Redundancy-first,3
INF005,Hybrid Wetland and Stormwater Infrastructure,nature-based and hybrid infrastructure,8,7.8,7.6,8.4,8.1,3.6,reduces flood peaks heat stormwater stress and ecological degradation through hybrid grey-green systems,7.222,Redundancy-first,4
INF004,Cross-Network Monitoring and Dependency Mapping,cross-network governance,7.9,7.4,8.2,8.6,7.7,3.8,improves visibility across power water transport communications hospitals and logistics dependencies,7.093999999999999,Redundancy-first,5
INF002,Flood-Resilient Transport Retrofit Program,transport infrastructure,8.1,7.6,7.8,7.9,7.6,4.1,protects emergency routes freight corridors transit access evacuation and repair mobility,7.042000000000001,Redundancy-first,6
