time,equilibrium_state,pressure,threshold_state,basin_width,disturbance_load,adaptive_capacity,resilience_margin
90,8.5e-05,0.277673,-0.945055,0.626101,0.435849,0.158215,0.348467
91,7.6e-05,0.285849,-0.940538,0.623585,0.439623,0.161661,0.345623
92,6.9e-05,0.294025,-0.935965,0.621069,0.443396,0.165688,0.343361
93,6.2e-05,0.302201,-0.931337,0.618553,0.44717,0.170284,0.341668
94,5.6e-05,0.310377,-0.92665,0.616038,0.450943,0.175435,0.340529
95,5e-05,0.318553,-0.921903,0.613522,0.454717,0.181124,0.339929
96,4.5e-05,0.32673,-0.917095,0.611006,0.458491,0.187334,0.33985
97,4e-05,0.334906,-0.912223,0.608491,0.462264,0.194046,0.340273
98,3.6e-05,0.343082,-0.907286,0.605975,0.466038,0.20124,0.341177
99,3.3e-05,0.351258,-0.902281,0.603459,0.469811,0.208892,0.34254
100,3e-05,0.359434,-0.897207,0.600943,0.473585,0.21698,0.344338
101,2.7e-05,0.36761,-0.892061,0.598428,0.477358,0.225478,0.346547
102,2.4e-05,0.375786,-0.886841,0.595912,0.481132,0.23436,0.34914
103,2.2e-05,0.383962,-0.881545,0.593396,0.484906,0.2436,0.35209
104,1.9e-05,0.392138,-0.87617,0.590881,0.488679,0.253167,0.355368
105,1.7e-05,0.400314,-0.870713,0.588365,0.492453,0.263034,0.358946
106,1.6e-05,0.408491,-0.865171,0.585849,0.496226,0.273168,0.362791
107,1.4e-05,0.416667,-0.859542,0.583333,0.5,0.28354,0.366873
108,1.3e-05,0.424843,-0.853823,0.580818,0.503774,0.294117,0.371161
109,1.1e-05,0.433019,-0.84801,0.578302,0.507547,0.304866,0.375621
110,1e-05,0.441195,-0.8421,0.575786,0.511321,0.315755,0.38022
111,9e-06,0.449371,-0.836089,0.57327,0.515094,0.326749,0.384925
112,8e-06,0.457547,-0.829973,0.570755,0.518868,0.337815,0.389702
113,8e-06,0.465723,-0.823749,0.568239,0.522642,0.348918,0.394516
114,7e-06,0.473899,-0.817412,0.565723,0.526415,0.360025,0.399334
115,6e-06,0.482075,-0.810957,0.563208,0.530189,0.371101,0.40412
116,5e-06,0.490252,-0.804381,0.560692,0.533962,0.382112,0.408842
117,5e-06,0.498428,-0.797678,0.558176,0.537736,0.393024,0.413464
118,4e-06,0.506604,-0.790842,0.55566,0.541509,0.403803,0.417954
119,4e-06,0.51478,-0.783869,0.553145,0.545283,0.414416,0.422278
120,4e-06,0.522956,-0.776751,0.550629,0.549057,0.42483,0.426403
121,3e-06,0.531132,-0.769484,0.548113,0.55283,0.435014,0.430297
122,3e-06,0.539308,-0.762059,0.545597,0.556604,0.444935,0.433928
123,3e-06,0.547484,-0.75447,0.543082,0.560377,0.454563,0.437267
124,2e-06,0.55566,-0.74671,0.540566,0.564151,0.463868,0.440283
125,2e-06,0.563836,-0.73877,0.53805,0.567925,0.472822,0.442948
126,2e-06,0.572013,-0.730641,0.535535,0.571698,0.481397,0.445234
127,2e-06,0.580189,-0.722315,0.533019,0.575472,0.489567,0.447114
128,2e-06,0.588365,-0.713781,0.530503,0.579245,0.497306,0.448564
129,1e-06,0.596541,-0.705029,0.527987,0.583019,0.50459,0.449559
130,1e-06,0.604717,-0.696047,0.525472,0.586792,0.511398,0.450077
131,1e-06,0.612893,-0.686824,0.522956,0.590566,0.517707,0.450097
132,1e-06,0.621069,-0.677346,0.52044,0.59434,0.523499,0.4496
133,1e-06,0.629245,-0.6676,0.517925,0.598113,0.528756,0.448567
134,1e-06,0.637421,-0.65757,0.515409,0.601887,0.533461,0.446983
135,1e-06,0.645597,-0.64724,0.512893,0.60566,0.5376,0.444833
136,1e-06,0.653774,-0.636592,0.510377,0.609434,0.54116,0.442103
137,1e-06,0.66195,-0.625608,0.507862,0.613208,0.54413,0.438784
138,1e-06,0.670126,-0.614268,0.505346,0.616981,0.546502,0.434866
139,0.0,0.678302,-0.602548,0.50283,0.620755,0.548266,0.430342
140,0.0,0.686478,-0.590426,0.500314,0.624528,0.54942,0.425206
141,0.0,0.694654,-0.577876,0.497799,0.628302,0.549957,0.419454
142,0.0,0.70283,-0.564869,0.495283,0.632075,0.549878,0.413086
143,0.0,0.711006,-0.551375,0.492767,0.635849,0.549182,0.4061
144,0.0,0.719182,-0.53736,0.490252,0.639623,0.547872,0.398501
145,0.0,0.727358,-0.522788,0.487736,0.643396,0.545951,0.39029
146,0.0,0.735535,-0.507621,0.48522,0.64717,0.543425,0.381475
147,0.0,0.743711,-0.491814,0.482704,0.650943,0.540302,0.372063
148,0.0,0.751887,-0.475322,0.480189,0.654717,0.536592,0.362064
149,0.0,0.760063,-0.458092,0.477673,0.658491,0.532307,0.351489
150,0.0,0.768239,-0.440068,0.475157,0.662264,0.527459,0.340352
151,0.0,0.776415,-0.42119,0.472642,0.666038,0.522063,0.328667
152,0.0,0.784591,-0.40139,0.470126,0.669811,0.516137,0.316451
153,0.0,0.792767,-0.380595,0.46761,0.673585,0.509697,0.303723
154,0.0,0.800943,-0.358724,0.465094,0.677358,0.502765,0.290501
155,0.0,0.809119,-0.335689,0.462579,0.681132,0.495362,0.276809
156,0.0,0.817296,-0.311396,0.460063,0.684906,0.48751,0.262667
157,0.0,0.825472,-0.28574,0.457547,0.688679,0.479234,0.248102
158,0.0,0.833648,-0.258606,0.455031,0.692453,0.470559,0.233138
159,0.0,0.841824,-0.229874,0.452516,0.696226,0.461512,0.217801
160,0.0,0.85,-0.19941,0.45,0.7,0.452121,0.202121
