simulation_id,strategy_id,strategy,rank,adaptive_governance_value,winner
6,AG004,Monitoring Feedback and Learning System,4,8.24364,Polycentric Cross-Scale Coordination Forum
6,AG001,Adaptive Pathways and Decision Triggers,5,8.13899,Polycentric Cross-Scale Coordination Forum
6,AG006,Responsible Policy Experimentation Portfolio,6,8.0193,Polycentric Cross-Scale Coordination Forum
7,AG003,Community Knowledge Co-Production Platform,1,8.52326,Community Knowledge Co-Production Platform
7,AG005,Equity Accountability and Rights Safeguard,2,8.27475,Community Knowledge Co-Production Platform
7,AG001,Adaptive Pathways and Decision Triggers,3,8.25337,Community Knowledge Co-Production Platform
7,AG002,Polycentric Cross-Scale Coordination Forum,4,8.2237,Community Knowledge Co-Production Platform
7,AG004,Monitoring Feedback and Learning System,5,8.02409,Community Knowledge Co-Production Platform
7,AG006,Responsible Policy Experimentation Portfolio,6,7.89831,Community Knowledge Co-Production Platform
8,AG005,Equity Accountability and Rights Safeguard,1,8.46738,Equity Accountability and Rights Safeguard
8,AG001,Adaptive Pathways and Decision Triggers,2,8.39372,Equity Accountability and Rights Safeguard
8,AG003,Community Knowledge Co-Production Platform,3,8.20601,Equity Accountability and Rights Safeguard
8,AG002,Polycentric Cross-Scale Coordination Forum,4,8.15049,Equity Accountability and Rights Safeguard
8,AG004,Monitoring Feedback and Learning System,5,8.024,Equity Accountability and Rights Safeguard
8,AG006,Responsible Policy Experimentation Portfolio,6,7.89192,Equity Accountability and Rights Safeguard
9,AG001,Adaptive Pathways and Decision Triggers,1,8.33624,Adaptive Pathways and Decision Triggers
9,AG005,Equity Accountability and Rights Safeguard,2,8.33144,Adaptive Pathways and Decision Triggers
9,AG003,Community Knowledge Co-Production Platform,3,8.26088,Adaptive Pathways and Decision Triggers
9,AG004,Monitoring Feedback and Learning System,4,8.16716,Adaptive Pathways and Decision Triggers
9,AG006,Responsible Policy Experimentation Portfolio,5,7.88398,Adaptive Pathways and Decision Triggers
9,AG002,Polycentric Cross-Scale Coordination Forum,6,7.4903,Adaptive Pathways and Decision Triggers
10,AG004,Monitoring Feedback and Learning System,1,8.67277,Monitoring Feedback and Learning System
10,AG005,Equity Accountability and Rights Safeguard,2,8.29841,Monitoring Feedback and Learning System
10,AG003,Community Knowledge Co-Production Platform,3,8.16134,Monitoring Feedback and Learning System
10,AG001,Adaptive Pathways and Decision Triggers,4,7.95619,Monitoring Feedback and Learning System
10,AG002,Polycentric Cross-Scale Coordination Forum,5,7.93791,Monitoring Feedback and Learning System
10,AG006,Responsible Policy Experimentation Portfolio,6,7.78827,Monitoring Feedback and Learning System
11,AG004,Monitoring Feedback and Learning System,1,8.83557,Monitoring Feedback and Learning System
11,AG003,Community Knowledge Co-Production Platform,2,8.39485,Monitoring Feedback and Learning System
11,AG005,Equity Accountability and Rights Safeguard,3,8.33068,Monitoring Feedback and Learning System
11,AG001,Adaptive Pathways and Decision Triggers,4,8.2365,Monitoring Feedback and Learning System
11,AG002,Polycentric Cross-Scale Coordination Forum,5,8.14257,Monitoring Feedback and Learning System
11,AG006,Responsible Policy Experimentation Portfolio,6,7.4243,Monitoring Feedback and Learning System
12,AG003,Community Knowledge Co-Production Platform,1,8.6652,Community Knowledge Co-Production Platform
12,AG005,Equity Accountability and Rights Safeguard,2,8.16011,Community Knowledge Co-Production Platform
12,AG001,Adaptive Pathways and Decision Triggers,3,8.08023,Community Knowledge Co-Production Platform
12,AG002,Polycentric Cross-Scale Coordination Forum,4,8.07406,Community Knowledge Co-Production Platform
12,AG004,Monitoring Feedback and Learning System,5,8.02447,Community Knowledge Co-Production Platform
12,AG006,Responsible Policy Experimentation Portfolio,6,7.9379,Community Knowledge Co-Production Platform
13,AG005,Equity Accountability and Rights Safeguard,1,8.5662,Equity Accountability and Rights Safeguard
13,AG003,Community Knowledge Co-Production Platform,2,8.4677,Equity Accountability and Rights Safeguard
13,AG004,Monitoring Feedback and Learning System,3,8.34442,Equity Accountability and Rights Safeguard
13,AG002,Polycentric Cross-Scale Coordination Forum,4,8.17226,Equity Accountability and Rights Safeguard
13,AG001,Adaptive Pathways and Decision Triggers,5,7.99447,Equity Accountability and Rights Safeguard
13,AG006,Responsible Policy Experimentation Portfolio,6,7.62054,Equity Accountability and Rights Safeguard
14,AG005,Equity Accountability and Rights Safeguard,1,8.37478,Equity Accountability and Rights Safeguard
14,AG003,Community Knowledge Co-Production Platform,2,8.16862,Equity Accountability and Rights Safeguard
14,AG006,Responsible Policy Experimentation Portfolio,3,8.14785,Equity Accountability and Rights Safeguard
14,AG002,Polycentric Cross-Scale Coordination Forum,4,8.12705,Equity Accountability and Rights Safeguard
14,AG001,Adaptive Pathways and Decision Triggers,5,7.80929,Equity Accountability and Rights Safeguard
14,AG004,Monitoring Feedback and Learning System,6,7.72085,Equity Accountability and Rights Safeguard
15,AG001,Adaptive Pathways and Decision Triggers,1,8.54831,Adaptive Pathways and Decision Triggers
15,AG005,Equity Accountability and Rights Safeguard,2,8.384,Adaptive Pathways and Decision Triggers
15,AG004,Monitoring Feedback and Learning System,3,8.1854,Adaptive Pathways and Decision Triggers
15,AG002,Polycentric Cross-Scale Coordination Forum,4,8.11739,Adaptive Pathways and Decision Triggers
15,AG003,Community Knowledge Co-Production Platform,5,8.01271,Adaptive Pathways and Decision Triggers
15,AG006,Responsible Policy Experimentation Portfolio,6,7.50253,Adaptive Pathways and Decision Triggers
16,AG003,Community Knowledge Co-Production Platform,1,8.52392,Community Knowledge Co-Production Platform
16,AG001,Adaptive Pathways and Decision Triggers,2,8.4606,Community Knowledge Co-Production Platform
16,AG002,Polycentric Cross-Scale Coordination Forum,3,8.22842,Community Knowledge Co-Production Platform
16,AG004,Monitoring Feedback and Learning System,4,8.18381,Community Knowledge Co-Production Platform
16,AG006,Responsible Policy Experimentation Portfolio,5,7.96885,Community Knowledge Co-Production Platform
16,AG005,Equity Accountability and Rights Safeguard,6,7.89245,Community Knowledge Co-Production Platform
17,AG005,Equity Accountability and Rights Safeguard,1,8.51479,Equity Accountability and Rights Safeguard
17,AG002,Polycentric Cross-Scale Coordination Forum,2,8.1704,Equity Accountability and Rights Safeguard
17,AG006,Responsible Policy Experimentation Portfolio,3,8.07582,Equity Accountability and Rights Safeguard
17,AG004,Monitoring Feedback and Learning System,4,7.99044,Equity Accountability and Rights Safeguard
17,AG001,Adaptive Pathways and Decision Triggers,5,7.83922,Equity Accountability and Rights Safeguard
17,AG003,Community Knowledge Co-Production Platform,6,7.82022,Equity Accountability and Rights Safeguard
18,AG003,Community Knowledge Co-Production Platform,1,8.63481,Community Knowledge Co-Production Platform
18,AG002,Polycentric Cross-Scale Coordination Forum,2,8.40589,Community Knowledge Co-Production Platform
18,AG005,Equity Accountability and Rights Safeguard,3,8.37024,Community Knowledge Co-Production Platform
18,AG001,Adaptive Pathways and Decision Triggers,4,8.3685,Community Knowledge Co-Production Platform
18,AG004,Monitoring Feedback and Learning System,5,8.35998,Community Knowledge Co-Production Platform
18,AG006,Responsible Policy Experimentation Portfolio,6,7.90198,Community Knowledge Co-Production Platform
19,AG005,Equity Accountability and Rights Safeguard,1,8.55369,Equity Accountability and Rights Safeguard
19,AG003,Community Knowledge Co-Production Platform,2,8.22159,Equity Accountability and Rights Safeguard
19,AG006,Responsible Policy Experimentation Portfolio,3,8.16509,Equity Accountability and Rights Safeguard
19,AG004,Monitoring Feedback and Learning System,4,8.05264,Equity Accountability and Rights Safeguard
19,AG001,Adaptive Pathways and Decision Triggers,5,7.89738,Equity Accountability and Rights Safeguard
19,AG002,Polycentric Cross-Scale Coordination Forum,6,7.41313,Equity Accountability and Rights Safeguard
20,AG003,Community Knowledge Co-Production Platform,1,8.99432,Community Knowledge Co-Production Platform
20,AG005,Equity Accountability and Rights Safeguard,2,8.44578,Community Knowledge Co-Production Platform
20,AG001,Adaptive Pathways and Decision Triggers,3,8.12915,Community Knowledge Co-Production Platform
20,AG004,Monitoring Feedback and Learning System,4,8.05262,Community Knowledge Co-Production Platform
20,AG006,Responsible Policy Experimentation Portfolio,5,7.96852,Community Knowledge Co-Production Platform
20,AG002,Polycentric Cross-Scale Coordination Forum,6,7.77125,Community Knowledge Co-Production Platform
21,AG003,Community Knowledge Co-Production Platform,1,8.82398,Community Knowledge Co-Production Platform
21,AG002,Polycentric Cross-Scale Coordination Forum,2,8.59805,Community Knowledge Co-Production Platform
21,AG004,Monitoring Feedback and Learning System,3,8.50516,Community Knowledge Co-Production Platform
21,AG005,Equity Accountability and Rights Safeguard,4,8.17259,Community Knowledge Co-Production Platform
21,AG001,Adaptive Pathways and Decision Triggers,5,7.92415,Community Knowledge Co-Production Platform
21,AG006,Responsible Policy Experimentation Portfolio,6,7.86014,Community Knowledge Co-Production Platform
22,AG005,Equity Accountability and Rights Safeguard,1,8.49271,Equity Accountability and Rights Safeguard
22,AG004,Monitoring Feedback and Learning System,2,8.12594,Equity Accountability and Rights Safeguard
22,AG002,Polycentric Cross-Scale Coordination Forum,3,8.08218,Equity Accountability and Rights Safeguard
22,AG001,Adaptive Pathways and Decision Triggers,4,8.01066,Equity Accountability and Rights Safeguard
22,AG003,Community Knowledge Co-Production Platform,5,7.87409,Equity Accountability and Rights Safeguard
22,AG006,Responsible Policy Experimentation Portfolio,6,7.76443,Equity Accountability and Rights Safeguard
23,AG003,Community Knowledge Co-Production Platform,1,8.36738,Community Knowledge Co-Production Platform
23,AG004,Monitoring Feedback and Learning System,2,8.33102,Community Knowledge Co-Production Platform
23,AG005,Equity Accountability and Rights Safeguard,3,8.20696,Community Knowledge Co-Production Platform
23,AG002,Polycentric Cross-Scale Coordination Forum,4,8.13118,Community Knowledge Co-Production Platform
23,AG006,Responsible Policy Experimentation Portfolio,5,8.04887,Community Knowledge Co-Production Platform
23,AG001,Adaptive Pathways and Decision Triggers,6,7.52186,Community Knowledge Co-Production Platform
24,AG003,Community Knowledge Co-Production Platform,1,8.69522,Community Knowledge Co-Production Platform
24,AG004,Monitoring Feedback and Learning System,2,8.3657,Community Knowledge Co-Production Platform
24,AG005,Equity Accountability and Rights Safeguard,3,8.31663,Community Knowledge Co-Production Platform
24,AG006,Responsible Policy Experimentation Portfolio,4,7.94972,Community Knowledge Co-Production Platform
24,AG001,Adaptive Pathways and Decision Triggers,5,7.85072,Community Knowledge Co-Production Platform
24,AG002,Polycentric Cross-Scale Coordination Forum,6,7.80708,Community Knowledge Co-Production Platform
25,AG006,Responsible Policy Experimentation Portfolio,1,8.58475,Responsible Policy Experimentation Portfolio
25,AG002,Polycentric Cross-Scale Coordination Forum,2,8.41654,Responsible Policy Experimentation Portfolio
25,AG003,Community Knowledge Co-Production Platform,3,8.16373,Responsible Policy Experimentation Portfolio
25,AG005,Equity Accountability and Rights Safeguard,4,8.16084,Responsible Policy Experimentation Portfolio
25,AG001,Adaptive Pathways and Decision Triggers,5,7.88692,Responsible Policy Experimentation Portfolio
25,AG004,Monitoring Feedback and Learning System,6,7.82952,Responsible Policy Experimentation Portfolio
26,AG004,Monitoring Feedback and Learning System,1,8.54803,Monitoring Feedback and Learning System
26,AG005,Equity Accountability and Rights Safeguard,2,8.33928,Monitoring Feedback and Learning System
26,AG003,Community Knowledge Co-Production Platform,3,8.30299,Monitoring Feedback and Learning System
26,AG002,Polycentric Cross-Scale Coordination Forum,4,8.27375,Monitoring Feedback and Learning System
26,AG006,Responsible Policy Experimentation Portfolio,5,8.18917,Monitoring Feedback and Learning System
26,AG001,Adaptive Pathways and Decision Triggers,6,7.89113,Monitoring Feedback and Learning System
27,AG003,Community Knowledge Co-Production Platform,1,8.78992,Community Knowledge Co-Production Platform
27,AG005,Equity Accountability and Rights Safeguard,2,8.23944,Community Knowledge Co-Production Platform
27,AG004,Monitoring Feedback and Learning System,3,8.23512,Community Knowledge Co-Production Platform
27,AG001,Adaptive Pathways and Decision Triggers,4,8.17047,Community Knowledge Co-Production Platform
27,AG002,Polycentric Cross-Scale Coordination Forum,5,7.88192,Community Knowledge Co-Production Platform
27,AG006,Responsible Policy Experimentation Portfolio,6,7.87095,Community Knowledge Co-Production Platform
28,AG005,Equity Accountability and Rights Safeguard,1,8.68448,Equity Accountability and Rights Safeguard
28,AG003,Community Knowledge Co-Production Platform,2,8.54681,Equity Accountability and Rights Safeguard
28,AG002,Polycentric Cross-Scale Coordination Forum,3,8.42718,Equity Accountability and Rights Safeguard
28,AG004,Monitoring Feedback and Learning System,4,8.36445,Equity Accountability and Rights Safeguard
28,AG006,Responsible Policy Experimentation Portfolio,5,8.27108,Equity Accountability and Rights Safeguard
28,AG001,Adaptive Pathways and Decision Triggers,6,8.09158,Equity Accountability and Rights Safeguard
29,AG003,Community Knowledge Co-Production Platform,1,8.4455,Community Knowledge Co-Production Platform
29,AG004,Monitoring Feedback and Learning System,2,8.25733,Community Knowledge Co-Production Platform
29,AG002,Polycentric Cross-Scale Coordination Forum,3,8.15341,Community Knowledge Co-Production Platform
29,AG001,Adaptive Pathways and Decision Triggers,4,8.09627,Community Knowledge Co-Production Platform
29,AG005,Equity Accountability and Rights Safeguard,5,8.0804,Community Knowledge Co-Production Platform
29,AG006,Responsible Policy Experimentation Portfolio,6,7.65533,Community Knowledge Co-Production Platform
30,AG004,Monitoring Feedback and Learning System,1,8.53741,Monitoring Feedback and Learning System
30,AG003,Community Knowledge Co-Production Platform,2,8.2882,Monitoring Feedback and Learning System
30,AG001,Adaptive Pathways and Decision Triggers,3,8.13007,Monitoring Feedback and Learning System
30,AG002,Polycentric Cross-Scale Coordination Forum,4,8.10394,Monitoring Feedback and Learning System
30,AG006,Responsible Policy Experimentation Portfolio,5,8.05294,Monitoring Feedback and Learning System
30,AG005,Equity Accountability and Rights Safeguard,6,7.85837,Monitoring Feedback and Learning System
31,AG003,Community Knowledge Co-Production Platform,1,8.41675,Community Knowledge Co-Production Platform
31,AG001,Adaptive Pathways and Decision Triggers,2,8.39585,Community Knowledge Co-Production Platform
31,AG005,Equity Accountability and Rights Safeguard,3,8.29515,Community Knowledge Co-Production Platform
31,AG002,Polycentric Cross-Scale Coordination Forum,4,8.08666,Community Knowledge Co-Production Platform
31,AG006,Responsible Policy Experimentation Portfolio,5,8.02506,Community Knowledge Co-Production Platform
31,AG004,Monitoring Feedback and Learning System,6,7.75209,Community Knowledge Co-Production Platform
32,AG003,Community Knowledge Co-Production Platform,1,8.62827,Community Knowledge Co-Production Platform
32,AG005,Equity Accountability and Rights Safeguard,2,8.26597,Community Knowledge Co-Production Platform
32,AG001,Adaptive Pathways and Decision Triggers,3,8.26551,Community Knowledge Co-Production Platform
32,AG004,Monitoring Feedback and Learning System,4,8.21063,Community Knowledge Co-Production Platform
32,AG006,Responsible Policy Experimentation Portfolio,5,8.19109,Community Knowledge Co-Production Platform
32,AG002,Polycentric Cross-Scale Coordination Forum,6,7.95544,Community Knowledge Co-Production Platform
33,AG001,Adaptive Pathways and Decision Triggers,1,8.44341,Adaptive Pathways and Decision Triggers
33,AG005,Equity Accountability and Rights Safeguard,2,8.25858,Adaptive Pathways and Decision Triggers
33,AG002,Polycentric Cross-Scale Coordination Forum,3,8.18859,Adaptive Pathways and Decision Triggers
33,AG006,Responsible Policy Experimentation Portfolio,4,8.1036,Adaptive Pathways and Decision Triggers
33,AG004,Monitoring Feedback and Learning System,5,7.83778,Adaptive Pathways and Decision Triggers
33,AG003,Community Knowledge Co-Production Platform,6,7.81295,Adaptive Pathways and Decision Triggers
34,AG004,Monitoring Feedback and Learning System,1,8.37567,Monitoring Feedback and Learning System
34,AG002,Polycentric Cross-Scale Coordination Forum,2,8.2359,Monitoring Feedback and Learning System
34,AG003,Community Knowledge Co-Production Platform,3,8.15359,Monitoring Feedback and Learning System
34,AG001,Adaptive Pathways and Decision Triggers,4,7.91101,Monitoring Feedback and Learning System
34,AG006,Responsible Policy Experimentation Portfolio,5,7.78473,Monitoring Feedback and Learning System
34,AG005,Equity Accountability and Rights Safeguard,6,7.69964,Monitoring Feedback and Learning System
35,AG005,Equity Accountability and Rights Safeguard,1,8.64714,Equity Accountability and Rights Safeguard
35,AG004,Monitoring Feedback and Learning System,2,8.48706,Equity Accountability and Rights Safeguard
35,AG002,Polycentric Cross-Scale Coordination Forum,3,8.24153,Equity Accountability and Rights Safeguard
35,AG001,Adaptive Pathways and Decision Triggers,4,8.18711,Equity Accountability and Rights Safeguard
35,AG003,Community Knowledge Co-Production Platform,5,8.15884,Equity Accountability and Rights Safeguard
35,AG006,Responsible Policy Experimentation Portfolio,6,7.60768,Equity Accountability and Rights Safeguard
36,AG004,Monitoring Feedback and Learning System,1,8.50379,Monitoring Feedback and Learning System
36,AG006,Responsible Policy Experimentation Portfolio,2,8.44621,Monitoring Feedback and Learning System
36,AG003,Community Knowledge Co-Production Platform,3,8.3908,Monitoring Feedback and Learning System
36,AG002,Polycentric Cross-Scale Coordination Forum,4,8.26114,Monitoring Feedback and Learning System
36,AG005,Equity Accountability and Rights Safeguard,5,8.2384,Monitoring Feedback and Learning System
36,AG001,Adaptive Pathways and Decision Triggers,6,7.84847,Monitoring Feedback and Learning System
37,AG001,Adaptive Pathways and Decision Triggers,1,8.33041,Adaptive Pathways and Decision Triggers
37,AG004,Monitoring Feedback and Learning System,2,8.19877,Adaptive Pathways and Decision Triggers
37,AG005,Equity Accountability and Rights Safeguard,3,8.12072,Adaptive Pathways and Decision Triggers
37,AG002,Polycentric Cross-Scale Coordination Forum,4,7.97194,Adaptive Pathways and Decision Triggers
37,AG006,Responsible Policy Experimentation Portfolio,5,7.96228,Adaptive Pathways and Decision Triggers
37,AG003,Community Knowledge Co-Production Platform,6,7.86258,Adaptive Pathways and Decision Triggers
38,AG002,Polycentric Cross-Scale Coordination Forum,1,8.60116,Polycentric Cross-Scale Coordination Forum
38,AG004,Monitoring Feedback and Learning System,2,8.5326,Polycentric Cross-Scale Coordination Forum
38,AG003,Community Knowledge Co-Production Platform,3,8.43838,Polycentric Cross-Scale Coordination Forum
38,AG005,Equity Accountability and Rights Safeguard,4,8.37025,Polycentric Cross-Scale Coordination Forum
38,AG006,Responsible Policy Experimentation Portfolio,5,8.22892,Polycentric Cross-Scale Coordination Forum
38,AG001,Adaptive Pathways and Decision Triggers,6,8.15228,Polycentric Cross-Scale Coordination Forum
39,AG005,Equity Accountability and Rights Safeguard,1,8.46515,Equity Accountability and Rights Safeguard
39,AG001,Adaptive Pathways and Decision Triggers,2,8.33109,Equity Accountability and Rights Safeguard
39,AG006,Responsible Policy Experimentation Portfolio,3,8.3273,Equity Accountability and Rights Safeguard
39,AG004,Monitoring Feedback and Learning System,4,8.28182,Equity Accountability and Rights Safeguard
39,AG002,Polycentric Cross-Scale Coordination Forum,5,8.19915,Equity Accountability and Rights Safeguard
39,AG003,Community Knowledge Co-Production Platform,6,8.09989,Equity Accountability and Rights Safeguard
40,AG003,Community Knowledge Co-Production Platform,1,8.38425,Community Knowledge Co-Production Platform
40,AG002,Polycentric Cross-Scale Coordination Forum,2,8.31067,Community Knowledge Co-Production Platform
40,AG001,Adaptive Pathways and Decision Triggers,3,8.14656,Community Knowledge Co-Production Platform
40,AG005,Equity Accountability and Rights Safeguard,4,8.13094,Community Knowledge Co-Production Platform
40,AG004,Monitoring Feedback and Learning System,5,8.11451,Community Knowledge Co-Production Platform
40,AG006,Responsible Policy Experimentation Portfolio,6,7.83237,Community Knowledge Co-Production Platform
41,AG005,Equity Accountability and Rights Safeguard,1,9.04516,Equity Accountability and Rights Safeguard
41,AG003,Community Knowledge Co-Production Platform,2,8.80115,Equity Accountability and Rights Safeguard
41,AG001,Adaptive Pathways and Decision Triggers,3,8.34906,Equity Accountability and Rights Safeguard
41,AG004,Monitoring Feedback and Learning System,4,8.09186,Equity Accountability and Rights Safeguard
41,AG002,Polycentric Cross-Scale Coordination Forum,5,7.94965,Equity Accountability and Rights Safeguard
41,AG006,Responsible Policy Experimentation Portfolio,6,7.7973,Equity Accountability and Rights Safeguard
42,AG005,Equity Accountability and Rights Safeguard,1,8.80668,Equity Accountability and Rights Safeguard
42,AG006,Responsible Policy Experimentation Portfolio,2,8.12196,Equity Accountability and Rights Safeguard
42,AG003,Community Knowledge Co-Production Platform,3,7.96068,Equity Accountability and Rights Safeguard
42,AG004,Monitoring Feedback and Learning System,4,7.91095,Equity Accountability and Rights Safeguard
42,AG001,Adaptive Pathways and Decision Triggers,5,7.88967,Equity Accountability and Rights Safeguard
42,AG002,Polycentric Cross-Scale Coordination Forum,6,7.65748,Equity Accountability and Rights Safeguard
43,AG005,Equity Accountability and Rights Safeguard,1,8.27409,Equity Accountability and Rights Safeguard
43,AG003,Community Knowledge Co-Production Platform,2,8.18266,Equity Accountability and Rights Safeguard
43,AG001,Adaptive Pathways and Decision Triggers,3,8.16518,Equity Accountability and Rights Safeguard
43,AG002,Polycentric Cross-Scale Coordination Forum,4,8.12362,Equity Accountability and Rights Safeguard
43,AG004,Monitoring Feedback and Learning System,5,8.01489,Equity Accountability and Rights Safeguard
43,AG006,Responsible Policy Experimentation Portfolio,6,7.7536,Equity Accountability and Rights Safeguard
44,AG002,Polycentric Cross-Scale Coordination Forum,1,8.69813,Polycentric Cross-Scale Coordination Forum
44,AG004,Monitoring Feedback and Learning System,2,8.26788,Polycentric Cross-Scale Coordination Forum
44,AG003,Community Knowledge Co-Production Platform,3,8.23412,Polycentric Cross-Scale Coordination Forum
44,AG006,Responsible Policy Experimentation Portfolio,4,7.96703,Polycentric Cross-Scale Coordination Forum
44,AG001,Adaptive Pathways and Decision Triggers,5,7.95841,Polycentric Cross-Scale Coordination Forum
44,AG005,Equity Accountability and Rights Safeguard,6,7.80823,Polycentric Cross-Scale Coordination Forum
45,AG004,Monitoring Feedback and Learning System,1,8.65245,Monitoring Feedback and Learning System
45,AG002,Polycentric Cross-Scale Coordination Forum,2,8.51761,Monitoring Feedback and Learning System
45,AG005,Equity Accountability and Rights Safeguard,3,8.4596,Monitoring Feedback and Learning System
45,AG001,Adaptive Pathways and Decision Triggers,4,8.28952,Monitoring Feedback and Learning System
45,AG006,Responsible Policy Experimentation Portfolio,5,8.27057,Monitoring Feedback and Learning System
45,AG003,Community Knowledge Co-Production Platform,6,8.09162,Monitoring Feedback and Learning System
46,AG004,Monitoring Feedback and Learning System,1,8.694,Monitoring Feedback and Learning System
46,AG003,Community Knowledge Co-Production Platform,2,8.46948,Monitoring Feedback and Learning System
46,AG005,Equity Accountability and Rights Safeguard,3,8.34554,Monitoring Feedback and Learning System
46,AG006,Responsible Policy Experimentation Portfolio,4,8.20258,Monitoring Feedback and Learning System
46,AG001,Adaptive Pathways and Decision Triggers,5,8.05436,Monitoring Feedback and Learning System
46,AG002,Polycentric Cross-Scale Coordination Forum,6,7.86204,Monitoring Feedback and Learning System
47,AG003,Community Knowledge Co-Production Platform,1,8.57329,Community Knowledge Co-Production Platform
47,AG004,Monitoring Feedback and Learning System,2,8.39032,Community Knowledge Co-Production Platform
47,AG005,Equity Accountability and Rights Safeguard,3,8.14152,Community Knowledge Co-Production Platform
47,AG001,Adaptive Pathways and Decision Triggers,4,8.07275,Community Knowledge Co-Production Platform
47,AG002,Polycentric Cross-Scale Coordination Forum,5,7.97408,Community Knowledge Co-Production Platform
47,AG006,Responsible Policy Experimentation Portfolio,6,7.79795,Community Knowledge Co-Production Platform
48,AG001,Adaptive Pathways and Decision Triggers,1,8.28201,Adaptive Pathways and Decision Triggers
48,AG006,Responsible Policy Experimentation Portfolio,2,8.27841,Adaptive Pathways and Decision Triggers
48,AG004,Monitoring Feedback and Learning System,3,8.22081,Adaptive Pathways and Decision Triggers
48,AG005,Equity Accountability and Rights Safeguard,4,8.1987,Adaptive Pathways and Decision Triggers
48,AG003,Community Knowledge Co-Production Platform,5,8.17195,Adaptive Pathways and Decision Triggers
48,AG002,Polycentric Cross-Scale Coordination Forum,6,7.9241,Adaptive Pathways and Decision Triggers
49,AG005,Equity Accountability and Rights Safeguard,1,8.44105,Equity Accountability and Rights Safeguard
49,AG003,Community Knowledge Co-Production Platform,2,8.28287,Equity Accountability and Rights Safeguard
