strategy_id,strategy,system_domain,learning_capacity,flexibility,coordination,knowledge_integration,legitimacy,accountability,equity_protection,implementation_burden,critical_function,adaptive_governance_value,accountability_gap,equity_gap,adjusted_value,scenario,rank
AG005,Equity Accountability and Rights Safeguard,equity accountability and rights protection,8.1,7.7,7.9,8.4,8.7,9.1,9.2,3,protects vulnerable groups due process participation appeals anti-displacement safeguards and accountability,7.556000000000001,0,0,7.556000000000001,Implementation-aware,1
AG003,Community Knowledge Co-Production Platform,knowledge co-production and legitimacy,8.3,7.6,8,9.1,8.8,8.3,8.7,3.1,integrates scientific local Indigenous practitioner and lived knowledge into governance decisions,7.504,0,0,7.504,Implementation-aware,2
AG004,Monitoring Feedback and Learning System,monitoring feedback and institutional memory,9,8.2,8.3,8.6,8,8.2,8.1,3.3,converts monitoring after-action evidence and public feedback into changed rules budgets and practice,7.433,0,0.09999999999999964,7.425,Implementation-aware,3
AG002,Polycentric Cross-Scale Coordination Forum,polycentric governance and coordination,8.1,7.8,9,8.2,8.1,8.1,8,3.4,coordinates local regional national Indigenous scientific community and infrastructure actors,7.2700000000000005,0,0.1999999999999993,7.2540000000000004,Implementation-aware,4
AG001,Adaptive Pathways and Decision Triggers,adaptive pathways and rule revision,8.6,8.9,7.9,8.1,7.9,8,7.8,3.2,links near-term decisions to monitoring thresholds review cycles and future governance triggers,7.279999999999999,0.9000000000000004,0.39999999999999947,7.175999999999999,Implementation-aware,5
AG006,Responsible Policy Experimentation Portfolio,adaptive management and policy experimentation,8.5,8.8,8.1,8,7.7,7.8,7.9,3.5,tests pilots and adaptive management interventions with monitoring safeguards and rollback options,7.198000000000001,1.0000000000000009,0.29999999999999893,7.094000000000001,Implementation-aware,6
AG003,Community Knowledge Co-Production Platform,knowledge co-production and legitimacy,8.3,7.6,8,9.1,8.8,8.3,8.7,3.1,integrates scientific local Indigenous practitioner and lived knowledge into governance decisions,8.485,0,0,8.485,Knowledge-first,1
AG005,Equity Accountability and Rights Safeguard,equity accountability and rights protection,8.1,7.7,7.9,8.4,8.7,9.1,9.2,3,protects vulnerable groups due process participation appeals anti-displacement safeguards and accountability,8.319,0,0,8.319,Knowledge-first,2
AG004,Monitoring Feedback and Learning System,monitoring feedback and institutional memory,9,8.2,8.3,8.6,8,8.2,8.1,3.3,converts monitoring after-action evidence and public feedback into changed rules budgets and practice,8.295,0,0.09999999999999964,8.287,Knowledge-first,3
AG002,Polycentric Cross-Scale Coordination Forum,polycentric governance and coordination,8.1,7.8,9,8.2,8.1,8.1,8,3.4,coordinates local regional national Indigenous scientific community and infrastructure actors,8.073,0,0.1999999999999993,8.057,Knowledge-first,4
AG001,Adaptive Pathways and Decision Triggers,adaptive pathways and rule revision,8.6,8.9,7.9,8.1,7.9,8,7.8,3.2,links near-term decisions to monitoring thresholds review cycles and future governance triggers,8.035,0.9000000000000004,0.39999999999999947,7.931,Knowledge-first,5
AG006,Responsible Policy Experimentation Portfolio,adaptive management and policy experimentation,8.5,8.8,8.1,8,7.7,7.8,7.9,3.5,tests pilots and adaptive management interventions with monitoring safeguards and rollback options,7.962,1.0000000000000009,0.29999999999999893,7.858,Knowledge-first,6
AG004,Monitoring Feedback and Learning System,monitoring feedback and institutional memory,9,8.2,8.3,8.6,8,8.2,8.1,3.3,converts monitoring after-action evidence and public feedback into changed rules budgets and practice,8.413,0,0.09999999999999964,8.405000000000001,Learning-first,1
AG003,Community Knowledge Co-Production Platform,knowledge co-production and legitimacy,8.3,7.6,8,9.1,8.8,8.3,8.7,3.1,integrates scientific local Indigenous practitioner and lived knowledge into governance decisions,8.264,0,0,8.264,Learning-first,2
AG005,Equity Accountability and Rights Safeguard,equity accountability and rights protection,8.1,7.7,7.9,8.4,8.7,9.1,9.2,3,protects vulnerable groups due process participation appeals anti-displacement safeguards and accountability,8.232000000000001,0,0,8.232000000000001,Learning-first,3
AG001,Adaptive Pathways and Decision Triggers,adaptive pathways and rule revision,8.6,8.9,7.9,8.1,7.9,8,7.8,3.2,links near-term decisions to monitoring thresholds review cycles and future governance triggers,8.177,0.9000000000000004,0.39999999999999947,8.073,Learning-first,4
AG002,Polycentric Cross-Scale Coordination Forum,polycentric governance and coordination,8.1,7.8,9,8.2,8.1,8.1,8,3.4,coordinates local regional national Indigenous scientific community and infrastructure actors,8.046000000000001,0,0.1999999999999993,8.030000000000001,Learning-first,5
AG006,Responsible Policy Experimentation Portfolio,adaptive management and policy experimentation,8.5,8.8,8.1,8,7.7,7.8,7.9,3.5,tests pilots and adaptive management interventions with monitoring safeguards and rollback options,8.105,1.0000000000000009,0.29999999999999893,8.001000000000001,Learning-first,6
AG003,Community Knowledge Co-Production Platform,knowledge co-production and legitimacy,8.3,7.6,8,9.1,8.8,8.3,8.7,3.1,integrates scientific local Indigenous practitioner and lived knowledge into governance decisions,8.404,0,0,8.404,Legitimacy-first,1
AG005,Equity Accountability and Rights Safeguard,equity accountability and rights protection,8.1,7.7,7.9,8.4,8.7,9.1,9.2,3,protects vulnerable groups due process participation appeals anti-displacement safeguards and accountability,8.4,0,0,8.4,Legitimacy-first,2
AG004,Monitoring Feedback and Learning System,monitoring feedback and institutional memory,9,8.2,8.3,8.6,8,8.2,8.1,3.3,converts monitoring after-action evidence and public feedback into changed rules budgets and practice,8.133000000000001,0,0.09999999999999964,8.125000000000002,Legitimacy-first,3
AG002,Polycentric Cross-Scale Coordination Forum,polycentric governance and coordination,8.1,7.8,9,8.2,8.1,8.1,8,3.4,coordinates local regional national Indigenous scientific community and infrastructure actors,8.046000000000001,0,0.1999999999999993,8.030000000000001,Legitimacy-first,4
AG001,Adaptive Pathways and Decision Triggers,adaptive pathways and rule revision,8.6,8.9,7.9,8.1,7.9,8,7.8,3.2,links near-term decisions to monitoring thresholds review cycles and future governance triggers,7.981,0.9000000000000004,0.39999999999999947,7.877,Legitimacy-first,5
AG006,Responsible Policy Experimentation Portfolio,adaptive management and policy experimentation,8.5,8.8,8.1,8,7.7,7.8,7.9,3.5,tests pilots and adaptive management interventions with monitoring safeguards and rollback options,7.881,1.0000000000000009,0.29999999999999893,7.777,Legitimacy-first,6
