scenario,strategy_id,strategy,system_domain,rank,adaptive_governance_value,implementation_burden,critical_function
Flexibility-first,AG003,Community Knowledge Co-Production Platform,knowledge co-production and legitimacy,5,8.068,3.1,integrates scientific local Indigenous practitioner and lived knowledge into governance decisions
Flexibility-first,AG002,Polycentric Cross-Scale Coordination Forum,polycentric governance and coordination,6,7.962,3.4,coordinates local regional national Indigenous scientific community and infrastructure actors
Coordination-first,AG002,Polycentric Cross-Scale Coordination Forum,polycentric governance and coordination,1,8.298,3.4,coordinates local regional national Indigenous scientific community and infrastructure actors
Coordination-first,AG004,Monitoring Feedback and Learning System,monitoring feedback and institutional memory,2,8.217,3.3,converts monitoring after-action evidence and public feedback into changed rules budgets and practice
Coordination-first,AG003,Community Knowledge Co-Production Platform,knowledge co-production and legitimacy,3,8.18,3.1,integrates scientific local Indigenous practitioner and lived knowledge into governance decisions
Coordination-first,AG005,Equity Accountability and Rights Safeguard,equity accountability and rights protection,4,8.176,3.0,protects vulnerable groups due process participation appeals anti-displacement safeguards and accountability
Coordination-first,AG006,Responsible Policy Experimentation Portfolio,adaptive management and policy experimentation,5,7.993,3.5,tests pilots and adaptive management interventions with monitoring safeguards and rollback options
Coordination-first,AG001,Adaptive Pathways and Decision Triggers,adaptive pathways and rule revision,6,7.981,3.2,links near-term decisions to monitoring thresholds review cycles and future governance triggers
Knowledge-first,AG003,Community Knowledge Co-Production Platform,knowledge co-production and legitimacy,1,8.485,3.1,integrates scientific local Indigenous practitioner and lived knowledge into governance decisions
Knowledge-first,AG005,Equity Accountability and Rights Safeguard,equity accountability and rights protection,2,8.319,3.0,protects vulnerable groups due process participation appeals anti-displacement safeguards and accountability
Knowledge-first,AG004,Monitoring Feedback and Learning System,monitoring feedback and institutional memory,3,8.295,3.3,converts monitoring after-action evidence and public feedback into changed rules budgets and practice
Knowledge-first,AG002,Polycentric Cross-Scale Coordination Forum,polycentric governance and coordination,4,8.073,3.4,coordinates local regional national Indigenous scientific community and infrastructure actors
Knowledge-first,AG001,Adaptive Pathways and Decision Triggers,adaptive pathways and rule revision,5,8.035,3.2,links near-term decisions to monitoring thresholds review cycles and future governance triggers
Knowledge-first,AG006,Responsible Policy Experimentation Portfolio,adaptive management and policy experimentation,6,7.962,3.5,tests pilots and adaptive management interventions with monitoring safeguards and rollback options
Legitimacy-first,AG003,Community Knowledge Co-Production Platform,knowledge co-production and legitimacy,1,8.404,3.1,integrates scientific local Indigenous practitioner and lived knowledge into governance decisions
Legitimacy-first,AG005,Equity Accountability and Rights Safeguard,equity accountability and rights protection,2,8.4,3.0,protects vulnerable groups due process participation appeals anti-displacement safeguards and accountability
Legitimacy-first,AG004,Monitoring Feedback and Learning System,monitoring feedback and institutional memory,3,8.133,3.3,converts monitoring after-action evidence and public feedback into changed rules budgets and practice
Legitimacy-first,AG002,Polycentric Cross-Scale Coordination Forum,polycentric governance and coordination,4,8.046,3.4,coordinates local regional national Indigenous scientific community and infrastructure actors
Legitimacy-first,AG001,Adaptive Pathways and Decision Triggers,adaptive pathways and rule revision,5,7.981,3.2,links near-term decisions to monitoring thresholds review cycles and future governance triggers
Legitimacy-first,AG006,Responsible Policy Experimentation Portfolio,adaptive management and policy experimentation,6,7.881,3.5,tests pilots and adaptive management interventions with monitoring safeguards and rollback options
Equity-first,AG005,Equity Accountability and Rights Safeguard,equity accountability and rights protection,1,8.54,3.0,protects vulnerable groups due process participation appeals anti-displacement safeguards and accountability
Equity-first,AG003,Community Knowledge Co-Production Platform,knowledge co-production and legitimacy,2,8.376,3.1,integrates scientific local Indigenous practitioner and lived knowledge into governance decisions
Equity-first,AG004,Monitoring Feedback and Learning System,monitoring feedback and institutional memory,3,8.161,3.3,converts monitoring after-action evidence and public feedback into changed rules budgets and practice
Equity-first,AG002,Polycentric Cross-Scale Coordination Forum,polycentric governance and coordination,4,8.018,3.4,coordinates local regional national Indigenous scientific community and infrastructure actors
Equity-first,AG001,Adaptive Pathways and Decision Triggers,adaptive pathways and rule revision,5,7.953,3.2,links near-term decisions to monitoring thresholds review cycles and future governance triggers
Equity-first,AG006,Responsible Policy Experimentation Portfolio,adaptive management and policy experimentation,6,7.937,3.5,tests pilots and adaptive management interventions with monitoring safeguards and rollback options
Implementation-aware,AG005,Equity Accountability and Rights Safeguard,equity accountability and rights protection,1,7.556,3.0,protects vulnerable groups due process participation appeals anti-displacement safeguards and accountability
Implementation-aware,AG003,Community Knowledge Co-Production Platform,knowledge co-production and legitimacy,2,7.504,3.1,integrates scientific local Indigenous practitioner and lived knowledge into governance decisions
Implementation-aware,AG004,Monitoring Feedback and Learning System,monitoring feedback and institutional memory,3,7.433,3.3,converts monitoring after-action evidence and public feedback into changed rules budgets and practice
Implementation-aware,AG001,Adaptive Pathways and Decision Triggers,adaptive pathways and rule revision,4,7.28,3.2,links near-term decisions to monitoring thresholds review cycles and future governance triggers
Implementation-aware,AG002,Polycentric Cross-Scale Coordination Forum,polycentric governance and coordination,5,7.27,3.4,coordinates local regional national Indigenous scientific community and infrastructure actors
Implementation-aware,AG006,Responsible Policy Experimentation Portfolio,adaptive management and policy experimentation,6,7.198,3.5,tests pilots and adaptive management interventions with monitoring safeguards and rollback options
