system_id,system_type,scenario_id,scenario_name,time_step,disturbance,vulnerability_stock,resilience_margin,threshold_flag
S001,Watershed Governance,D002,Repeated stress with delay,49,0.5438,2.0,-0.2848,threshold risk
S001,Watershed Governance,D002,Repeated stress with delay,50,0.5422,2.0,-0.2844,threshold risk
S001,Watershed Governance,D002,Repeated stress with delay,51,0.54,2.0,-0.284,threshold risk
S001,Watershed Governance,D002,Repeated stress with delay,52,0.5372,2.0,-0.2834,threshold risk
S001,Watershed Governance,D002,Repeated stress with delay,53,0.5339,2.0,-0.2828,threshold risk
S001,Watershed Governance,D002,Repeated stress with delay,54,1.0703,2.0,-0.3901,threshold risk
S001,Watershed Governance,D002,Repeated stress with delay,55,0.5264,2.0,-0.2813,threshold risk
S001,Watershed Governance,D002,Repeated stress with delay,56,0.5223,2.0,-0.2805,threshold risk
S001,Watershed Governance,D002,Repeated stress with delay,57,0.5181,2.0,-0.2796,threshold risk
S001,Watershed Governance,D002,Repeated stress with delay,58,0.514,2.0,-0.2788,threshold risk
S001,Watershed Governance,D002,Repeated stress with delay,59,0.5101,2.0,-0.278,threshold risk
S001,Watershed Governance,D002,Repeated stress with delay,60,1.0464,2.0,-0.3853,threshold risk
S001,Watershed Governance,D002,Repeated stress with delay,61,0.5031,2.0,-0.2766,threshold risk
S001,Watershed Governance,D002,Repeated stress with delay,62,0.5003,2.0,-0.2761,threshold risk
S001,Watershed Governance,D002,Repeated stress with delay,63,0.498,2.0,-0.2756,threshold risk
S001,Watershed Governance,D002,Repeated stress with delay,64,0.4963,2.0,-0.2753,threshold risk
S001,Watershed Governance,D002,Repeated stress with delay,65,0.4953,2.0,-0.2751,threshold risk
S001,Watershed Governance,D002,Repeated stress with delay,66,1.035,2.0,-0.383,threshold risk
S001,Watershed Governance,D002,Repeated stress with delay,67,0.4954,2.0,-0.2751,threshold risk
S001,Watershed Governance,D002,Repeated stress with delay,68,0.4964,2.0,-0.2753,threshold risk
S001,Watershed Governance,D002,Repeated stress with delay,69,0.4981,2.0,-0.2756,threshold risk
S001,Watershed Governance,D002,Repeated stress with delay,70,0.5004,2.0,-0.2761,threshold risk
S001,Watershed Governance,D002,Repeated stress with delay,71,0.5033,2.0,-0.2767,threshold risk
S001,Watershed Governance,D002,Repeated stress with delay,72,1.0466,2.0,-0.3853,threshold risk
S001,Watershed Governance,D002,Repeated stress with delay,73,0.5103,2.0,-0.2781,threshold risk
S001,Watershed Governance,D002,Repeated stress with delay,74,0.5142,2.0,-0.2788,threshold risk
S001,Watershed Governance,D002,Repeated stress with delay,75,0.5183,2.0,-0.2797,threshold risk
S001,Watershed Governance,D002,Repeated stress with delay,76,0.5225,2.0,-0.2805,threshold risk
S001,Watershed Governance,D002,Repeated stress with delay,77,0.5266,2.0,-0.2813,threshold risk
S001,Watershed Governance,D002,Repeated stress with delay,78,1.0705,2.0,-0.3901,threshold risk
S001,Watershed Governance,D002,Repeated stress with delay,79,0.5341,2.0,-0.2828,threshold risk
S001,Watershed Governance,D002,Repeated stress with delay,80,0.5373,2.0,-0.2835,threshold risk
S001,Watershed Governance,D003,Compound cascading disruption,1,0.7641,0.6607,1.0105,viable margin
S001,Watershed Governance,D003,Compound cascading disruption,2,0.7682,0.8252,0.8452,viable margin
S001,Watershed Governance,D003,Compound cascading disruption,3,0.772,1.0172,0.6524,viable margin
S001,Watershed Governance,D003,Compound cascading disruption,4,0.7755,1.2401,0.4288,viable margin
S001,Watershed Governance,D003,Compound cascading disruption,5,0.7785,1.4988,0.1695,threshold risk
S001,Watershed Governance,D003,Compound cascading disruption,6,0.781,1.7989,-0.1311,threshold risk
S001,Watershed Governance,D003,Compound cascading disruption,7,0.783,2.0,-0.3326,threshold risk
S001,Watershed Governance,D003,Compound cascading disruption,8,0.7843,2.0,-0.3329,threshold risk
S001,Watershed Governance,D003,Compound cascading disruption,9,1.5449,2.0,-0.485,threshold risk
S001,Watershed Governance,D003,Compound cascading disruption,10,0.7849,2.0,-0.333,threshold risk
S001,Watershed Governance,D003,Compound cascading disruption,11,0.7841,2.0,-0.3328,threshold risk
S001,Watershed Governance,D003,Compound cascading disruption,12,0.7827,2.0,-0.3325,threshold risk
S001,Watershed Governance,D003,Compound cascading disruption,13,0.7807,2.0,-0.3321,threshold risk
S001,Watershed Governance,D003,Compound cascading disruption,14,0.7781,2.0,-0.3316,threshold risk
S001,Watershed Governance,D003,Compound cascading disruption,15,0.775,2.0,-0.331,threshold risk
S001,Watershed Governance,D003,Compound cascading disruption,16,0.7714,2.0,-0.3303,threshold risk
S001,Watershed Governance,D003,Compound cascading disruption,17,0.7676,2.0,-0.3295,threshold risk
S001,Watershed Governance,D003,Compound cascading disruption,18,1.5235,2.0,-0.4807,threshold risk
S001,Watershed Governance,D003,Compound cascading disruption,19,0.7594,2.0,-0.3279,threshold risk
S001,Watershed Governance,D003,Compound cascading disruption,20,0.7552,2.0,-0.327,threshold risk
S001,Watershed Governance,D003,Compound cascading disruption,21,0.7512,2.0,-0.3262,threshold risk
S001,Watershed Governance,D003,Compound cascading disruption,22,0.7475,2.0,-0.3255,threshold risk
S001,Watershed Governance,D003,Compound cascading disruption,23,0.7441,2.0,-0.3248,threshold risk
S001,Watershed Governance,D003,Compound cascading disruption,24,0.7411,2.0,-0.3242,threshold risk
S001,Watershed Governance,D003,Compound cascading disruption,25,0.7386,2.0,-0.3237,threshold risk
S001,Watershed Governance,D003,Compound cascading disruption,26,0.7368,2.0,-0.3234,threshold risk
S001,Watershed Governance,D003,Compound cascading disruption,27,1.4956,2.0,-0.4751,threshold risk
S001,Watershed Governance,D003,Compound cascading disruption,28,0.735,2.0,-0.323,threshold risk
S001,Watershed Governance,D003,Compound cascading disruption,29,0.7352,2.0,-0.323,threshold risk
S001,Watershed Governance,D003,Compound cascading disruption,30,0.736,2.0,-0.3232,threshold risk
S001,Watershed Governance,D003,Compound cascading disruption,31,0.7375,2.0,-0.3235,threshold risk
S001,Watershed Governance,D003,Compound cascading disruption,32,0.7397,2.0,-0.3239,threshold risk
S001,Watershed Governance,D003,Compound cascading disruption,33,0.7424,2.0,-0.3245,threshold risk
S001,Watershed Governance,D003,Compound cascading disruption,34,0.7455,2.0,-0.3251,threshold risk
S001,Watershed Governance,D003,Compound cascading disruption,35,0.7491,2.0,-0.3258,threshold risk
S001,Watershed Governance,D003,Compound cascading disruption,36,1.513,2.0,-0.4786,threshold risk
S001,Watershed Governance,D003,Compound cascading disruption,37,0.7571,2.0,-0.3274,threshold risk
S001,Watershed Governance,D003,Compound cascading disruption,38,0.7613,2.0,-0.3283,threshold risk
S001,Watershed Governance,D003,Compound cascading disruption,39,0.7654,2.0,-0.3291,threshold risk
S001,Watershed Governance,D003,Compound cascading disruption,40,0.7694,2.0,-0.3299,threshold risk
S001,Watershed Governance,D003,Compound cascading disruption,41,0.7731,2.0,-0.3306,threshold risk
S001,Watershed Governance,D003,Compound cascading disruption,42,0.7764,2.0,-0.3313,threshold risk
S001,Watershed Governance,D003,Compound cascading disruption,43,0.7793,2.0,-0.3319,threshold risk
S001,Watershed Governance,D003,Compound cascading disruption,44,0.7817,2.0,-0.3323,threshold risk
S001,Watershed Governance,D003,Compound cascading disruption,45,1.5434,2.0,-0.4847,threshold risk
S001,Watershed Governance,D003,Compound cascading disruption,46,0.7846,2.0,-0.3329,threshold risk
S001,Watershed Governance,D003,Compound cascading disruption,47,0.785,2.0,-0.333,threshold risk
S001,Watershed Governance,D003,Compound cascading disruption,48,0.7847,2.0,-0.3329,threshold risk
S001,Watershed Governance,D003,Compound cascading disruption,49,0.7838,2.0,-0.3328,threshold risk
S001,Watershed Governance,D003,Compound cascading disruption,50,0.7822,2.0,-0.3324,threshold risk
S001,Watershed Governance,D003,Compound cascading disruption,51,0.78,2.0,-0.332,threshold risk
S001,Watershed Governance,D003,Compound cascading disruption,52,0.7772,2.0,-0.3314,threshold risk
S001,Watershed Governance,D003,Compound cascading disruption,53,0.7739,2.0,-0.3308,threshold risk
S001,Watershed Governance,D003,Compound cascading disruption,54,1.5303,2.0,-0.4821,threshold risk
S001,Watershed Governance,D003,Compound cascading disruption,55,0.7664,2.0,-0.3293,threshold risk
S001,Watershed Governance,D003,Compound cascading disruption,56,0.7623,2.0,-0.3285,threshold risk
S001,Watershed Governance,D003,Compound cascading disruption,57,0.7581,2.0,-0.3276,threshold risk
S001,Watershed Governance,D003,Compound cascading disruption,58,0.754,2.0,-0.3268,threshold risk
S001,Watershed Governance,D003,Compound cascading disruption,59,0.7501,2.0,-0.326,threshold risk
S001,Watershed Governance,D003,Compound cascading disruption,60,0.7464,2.0,-0.3253,threshold risk
S001,Watershed Governance,D003,Compound cascading disruption,61,0.7431,2.0,-0.3246,threshold risk
S001,Watershed Governance,D003,Compound cascading disruption,62,0.7403,2.0,-0.3241,threshold risk
S001,Watershed Governance,D003,Compound cascading disruption,63,1.498,2.0,-0.4756,threshold risk
S001,Watershed Governance,D003,Compound cascading disruption,64,0.7363,2.0,-0.3233,threshold risk
S001,Watershed Governance,D003,Compound cascading disruption,65,0.7353,2.0,-0.3231,threshold risk
S001,Watershed Governance,D003,Compound cascading disruption,66,0.735,2.0,-0.323,threshold risk
S001,Watershed Governance,D003,Compound cascading disruption,67,0.7354,2.0,-0.3231,threshold risk
S001,Watershed Governance,D003,Compound cascading disruption,68,0.7364,2.0,-0.3233,threshold risk
S001,Watershed Governance,D003,Compound cascading disruption,69,0.7381,2.0,-0.3236,threshold risk
S001,Watershed Governance,D003,Compound cascading disruption,70,0.7404,2.0,-0.3241,threshold risk
S001,Watershed Governance,D003,Compound cascading disruption,71,0.7433,2.0,-0.3247,threshold risk
S001,Watershed Governance,D003,Compound cascading disruption,72,1.5066,2.0,-0.4773,threshold risk
S001,Watershed Governance,D003,Compound cascading disruption,73,0.7503,2.0,-0.3261,threshold risk
S001,Watershed Governance,D003,Compound cascading disruption,74,0.7542,2.0,-0.3268,threshold risk
S001,Watershed Governance,D003,Compound cascading disruption,75,0.7583,2.0,-0.3277,threshold risk
S001,Watershed Governance,D003,Compound cascading disruption,76,0.7625,2.0,-0.3285,threshold risk
S001,Watershed Governance,D003,Compound cascading disruption,77,0.7666,2.0,-0.3293,threshold risk
S001,Watershed Governance,D003,Compound cascading disruption,78,0.7705,2.0,-0.3301,threshold risk
S001,Watershed Governance,D003,Compound cascading disruption,79,0.7741,2.0,-0.3308,threshold risk
S001,Watershed Governance,D003,Compound cascading disruption,80,0.7773,2.0,-0.3315,threshold risk
S001,Watershed Governance,D004,Slow threshold erosion,1,0.4641,0.6352,1.096,viable margin
S001,Watershed Governance,D004,Slow threshold erosion,2,0.4682,0.7701,0.9602,viable margin
S001,Watershed Governance,D004,Slow threshold erosion,3,0.472,0.9279,0.8017,viable margin
S001,Watershed Governance,D004,Slow threshold erosion,4,0.4755,1.1111,0.6178,viable margin
S001,Watershed Governance,D004,Slow threshold erosion,5,0.4785,1.3237,0.4046,viable margin
S001,Watershed Governance,D004,Slow threshold erosion,6,0.481,1.5704,0.1574,threshold risk
S001,Watershed Governance,D004,Slow threshold erosion,7,0.483,1.8565,-0.1291,threshold risk
S001,Watershed Governance,D004,Slow threshold erosion,8,0.4843,2.0,-0.2729,threshold risk
S001,Watershed Governance,D004,Slow threshold erosion,9,0.4849,2.0,-0.273,threshold risk
S001,Watershed Governance,D004,Slow threshold erosion,10,0.4849,2.0,-0.273,threshold risk
S001,Watershed Governance,D004,Slow threshold erosion,11,0.4841,2.0,-0.2728,threshold risk
S001,Watershed Governance,D004,Slow threshold erosion,12,0.8627,2.0,-0.3485,threshold risk
S001,Watershed Governance,D004,Slow threshold erosion,13,0.4807,2.0,-0.2721,threshold risk
S001,Watershed Governance,D004,Slow threshold erosion,14,0.4781,2.0,-0.2716,threshold risk
S001,Watershed Governance,D004,Slow threshold erosion,15,0.475,2.0,-0.271,threshold risk
S001,Watershed Governance,D004,Slow threshold erosion,16,0.4714,2.0,-0.2703,threshold risk
S001,Watershed Governance,D004,Slow threshold erosion,17,0.4676,2.0,-0.2695,threshold risk
S001,Watershed Governance,D004,Slow threshold erosion,18,0.4635,2.0,-0.2687,threshold risk
S001,Watershed Governance,D004,Slow threshold erosion,19,0.4594,2.0,-0.2679,threshold risk
S001,Watershed Governance,D004,Slow threshold erosion,20,0.4552,2.0,-0.267,threshold risk
S001,Watershed Governance,D004,Slow threshold erosion,21,0.4512,2.0,-0.2662,threshold risk
S001,Watershed Governance,D004,Slow threshold erosion,22,0.4475,2.0,-0.2655,threshold risk
S001,Watershed Governance,D004,Slow threshold erosion,23,0.4441,2.0,-0.2648,threshold risk
S001,Watershed Governance,D004,Slow threshold erosion,24,0.8211,2.0,-0.3402,threshold risk
S001,Watershed Governance,D004,Slow threshold erosion,25,0.4386,2.0,-0.2637,threshold risk
S001,Watershed Governance,D004,Slow threshold erosion,26,0.4368,2.0,-0.2634,threshold risk
S001,Watershed Governance,D004,Slow threshold erosion,27,0.4356,2.0,-0.2631,threshold risk
S001,Watershed Governance,D004,Slow threshold erosion,28,0.435,2.0,-0.263,threshold risk
S001,Watershed Governance,D004,Slow threshold erosion,29,0.4352,2.0,-0.263,threshold risk
S001,Watershed Governance,D004,Slow threshold erosion,30,0.436,2.0,-0.2632,threshold risk
S001,Watershed Governance,D004,Slow threshold erosion,31,0.4375,2.0,-0.2635,threshold risk
S001,Watershed Governance,D004,Slow threshold erosion,32,0.4397,2.0,-0.2639,threshold risk
S001,Watershed Governance,D004,Slow threshold erosion,33,0.4424,2.0,-0.2645,threshold risk
S001,Watershed Governance,D004,Slow threshold erosion,34,0.4455,2.0,-0.2651,threshold risk
S001,Watershed Governance,D004,Slow threshold erosion,35,0.4491,2.0,-0.2658,threshold risk
S001,Watershed Governance,D004,Slow threshold erosion,36,0.833,2.0,-0.3426,threshold risk
S001,Watershed Governance,D004,Slow threshold erosion,37,0.4571,2.0,-0.2674,threshold risk
S001,Watershed Governance,D004,Slow threshold erosion,38,0.4613,2.0,-0.2683,threshold risk
S001,Watershed Governance,D004,Slow threshold erosion,39,0.4654,2.0,-0.2691,threshold risk
S001,Watershed Governance,D004,Slow threshold erosion,40,0.4694,2.0,-0.2699,threshold risk
S001,Watershed Governance,D004,Slow threshold erosion,41,0.4731,2.0,-0.2706,threshold risk
S001,Watershed Governance,D004,Slow threshold erosion,42,0.4764,2.0,-0.2713,threshold risk
S001,Watershed Governance,D004,Slow threshold erosion,43,0.4793,2.0,-0.2719,threshold risk
S001,Watershed Governance,D004,Slow threshold erosion,44,0.4817,2.0,-0.2723,threshold risk
S001,Watershed Governance,D004,Slow threshold erosion,45,0.4834,2.0,-0.2727,threshold risk
S001,Watershed Governance,D004,Slow threshold erosion,46,0.4846,2.0,-0.2729,threshold risk
S001,Watershed Governance,D004,Slow threshold erosion,47,0.485,2.0,-0.273,threshold risk
S001,Watershed Governance,D004,Slow threshold erosion,48,0.8647,2.0,-0.3489,threshold risk
S001,Watershed Governance,D004,Slow threshold erosion,49,0.4838,2.0,-0.2728,threshold risk
S001,Watershed Governance,D004,Slow threshold erosion,50,0.4822,2.0,-0.2724,threshold risk
S001,Watershed Governance,D004,Slow threshold erosion,51,0.48,2.0,-0.272,threshold risk
S001,Watershed Governance,D004,Slow threshold erosion,52,0.4772,2.0,-0.2714,threshold risk
S001,Watershed Governance,D004,Slow threshold erosion,53,0.4739,2.0,-0.2708,threshold risk
S001,Watershed Governance,D004,Slow threshold erosion,54,0.4703,2.0,-0.2701,threshold risk
S001,Watershed Governance,D004,Slow threshold erosion,55,0.4664,2.0,-0.2693,threshold risk
S001,Watershed Governance,D004,Slow threshold erosion,56,0.4623,2.0,-0.2685,threshold risk
S001,Watershed Governance,D004,Slow threshold erosion,57,0.4581,2.0,-0.2676,threshold risk
S001,Watershed Governance,D004,Slow threshold erosion,58,0.454,2.0,-0.2668,threshold risk
S001,Watershed Governance,D004,Slow threshold erosion,59,0.4501,2.0,-0.266,threshold risk
S001,Watershed Governance,D004,Slow threshold erosion,60,0.8264,2.0,-0.3413,threshold risk
S001,Watershed Governance,D004,Slow threshold erosion,61,0.4431,2.0,-0.2646,threshold risk
S001,Watershed Governance,D004,Slow threshold erosion,62,0.4403,2.0,-0.2641,threshold risk
