 time,pressure,state,regime
80, -0.04385, -1.13452,lower regime
81, -0.03492, -1.13132,lower regime
82, -0.02598, -1.12810,lower regime
83, -0.01704, -1.12486,lower regime
84, -0.00810, -1.12159,lower regime
85,  0.00084, -1.11830,lower regime
86,  0.00978, -1.11498,lower regime
87,  0.01872, -1.11164,lower regime
88,  0.02765, -1.10827,lower regime
89,  0.03659, -1.10487,lower regime
90,  0.04553, -1.10145,lower regime
91,  0.05447, -1.09800,lower regime
92,  0.06341, -1.09452,lower regime
93,  0.07235, -1.09101,lower regime
94,  0.08128, -1.08748,lower regime
95,  0.09022, -1.08391,lower regime
96,  0.09916, -1.08032,lower regime
97,  0.10810, -1.07669,lower regime
98,  0.11704, -1.07303,lower regime
99,  0.12598, -1.06934,lower regime
100,  0.13492, -1.06562,lower regime
101,  0.14385, -1.06186,lower regime
102,  0.15279, -1.05807,lower regime
103,  0.16173, -1.05424,lower regime
104,  0.17067, -1.05037,lower regime
105,  0.17961, -1.04647,lower regime
106,  0.18855, -1.04253,lower regime
107,  0.19749, -1.03856,lower regime
108,  0.20642, -1.03454,lower regime
109,  0.21536, -1.03048,lower regime
110,  0.22430, -1.02638,lower regime
111,  0.23324, -1.02224,lower regime
112,  0.24218, -1.01805,lower regime
113,  0.25112, -1.01382,lower regime
114,  0.26006, -1.00955,lower regime
115,  0.26899, -1.00523,lower regime
116,  0.27793, -1.00086,lower regime
117,  0.28687, -0.99643,lower regime
118,  0.29581, -0.99196,lower regime
119,  0.30475, -0.98744,lower regime
120,  0.31369, -0.98286,lower regime
121,  0.32263, -0.97823,lower regime
122,  0.33156, -0.97354,lower regime
123,  0.34050, -0.96879,lower regime
124,  0.34944, -0.96398,lower regime
125,  0.35838, -0.95911,lower regime
126,  0.36732, -0.95418,lower regime
127,  0.37626, -0.94918,lower regime
128,  0.38520, -0.94411,lower regime
129,  0.39413, -0.93898,lower regime
130,  0.40307, -0.93377,lower regime
131,  0.41201, -0.92849,lower regime
132,  0.42095, -0.92313,lower regime
133,  0.42989, -0.91769,lower regime
134,  0.43883, -0.91216,lower regime
135,  0.44777, -0.90656,lower regime
136,  0.45670, -0.90086,lower regime
137,  0.46564, -0.89508,lower regime
138,  0.47458, -0.88920,lower regime
139,  0.48352, -0.88322,lower regime
140,  0.49246, -0.87714,lower regime
141,  0.50140, -0.87096,lower regime
142,  0.51034, -0.86467,lower regime
143,  0.51927, -0.85826,lower regime
144,  0.52821, -0.85173,lower regime
145,  0.53715, -0.84509,lower regime
146,  0.54609, -0.83831,lower regime
147,  0.55503, -0.83140,lower regime
148,  0.56397, -0.82435,lower regime
149,  0.57291, -0.81716,lower regime
150,  0.58184, -0.80981,lower regime
151,  0.59078, -0.80231,lower regime
152,  0.59972, -0.79464,lower regime
153,  0.60866, -0.78679,lower regime
154,  0.61760, -0.77877,lower regime
155,  0.62654, -0.77055,lower regime
156,  0.63547, -0.76214,lower regime
157,  0.64441, -0.75351,lower regime
158,  0.65335, -0.74466,lower regime
159,  0.66229, -0.73558,lower regime
160,  0.67123, -0.72625,lower regime
161,  0.68017, -0.71667,lower regime
162,  0.68911, -0.70681,lower regime
163,  0.69804, -0.69666,lower regime
164,  0.70698, -0.68620,lower regime
165,  0.71592, -0.67542,lower regime
166,  0.72486, -0.66430,lower regime
167,  0.73380, -0.65281,lower regime
168,  0.74274, -0.64093,lower regime
169,  0.75168, -0.62864,lower regime
170,  0.76061, -0.61591,lower regime
171,  0.76955, -0.60270,lower regime
172,  0.77849, -0.58899,lower regime
173,  0.78743, -0.57474,lower regime
174,  0.79637, -0.55992,lower regime
175,  0.80531, -0.54447,lower regime
176,  0.81425, -0.52835,lower regime
177,  0.82318, -0.51152,lower regime
178,  0.83212, -0.49392,lower regime
179,  0.84106, -0.47547,lower regime
180,  0.85000, -0.45613,lower regime
