strategy_id,strategy,system_domain,social_capital,institutional_capacity,infrastructure_access,economic_security,information_quality,adaptive_capacity,equity_protection,implementation_burden,critical_function,resilience_value,scenario,rank
CR001,Neighborhood Mutual Aid and Preparedness Network,social capital and preparedness,8.9,7.5,7.1,7.6,7.9,8.2,8.1,2.7,builds trusted neighbor networks check-ins supply sharing care coordination and preparedness capacity,6.737,Implementation-aware,3
CR006,Ecological Stewardship and Flood-Heat Buffer Program,social-ecological resilience,7.8,7.9,8.2,7.6,7.5,8.4,8.2,3.3,restores wetlands tree canopy soils watersheds public space and ecological buffers that reduce heat and flood risk,6.714,Implementation-aware,4
CR003,Local Risk Communication and Early Warning Platform,information and communication,7.8,7.4,7.3,7.1,8.9,7.9,8,2.9,improves trusted alerts multilingual communication uncertainty literacy and misinformation response,6.593,Implementation-aware,5
CR002,Community Infrastructure Access and Backup Systems,infrastructure access and service continuity,7.2,7.8,8.8,7.4,7.2,7.7,7.7,3.4,protects access to power water cooling charging communications shelters food and mobility during disruption,6.474000000000001,Implementation-aware,6
CR003,Local Risk Communication and Early Warning Platform,information and communication,7.8,7.4,7.3,7.1,8.9,7.9,8,2.9,improves trusted alerts multilingual communication uncertainty literacy and misinformation response,7.991,Information-first,1
CR005,Community Health and Care Continuity Network,public health and care systems,8.6,8,7.8,7.5,8,8.1,8.7,3,protects medication access medical devices mental health care outreach disability support and community health workers,7.973,Information-first,2
CR004,Inclusive Community Governance and Adaptation Forum,participatory governance and adaptation,8.4,8.3,7.4,7.8,7.8,8.6,8.8,3.1,shares authority across community institutions residents planners agencies and local organizations,7.9590000000000005,Information-first,3
CR001,Neighborhood Mutual Aid and Preparedness Network,social capital and preparedness,8.9,7.5,7.1,7.6,7.9,8.2,8.1,2.7,builds trusted neighbor networks check-ins supply sharing care coordination and preparedness capacity,7.802,Information-first,4
CR006,Ecological Stewardship and Flood-Heat Buffer Program,social-ecological resilience,7.8,7.9,8.2,7.6,7.5,8.4,8.2,3.3,restores wetlands tree canopy soils watersheds public space and ecological buffers that reduce heat and flood risk,7.717,Information-first,5
CR002,Community Infrastructure Access and Backup Systems,infrastructure access and service continuity,7.2,7.8,8.8,7.4,7.2,7.7,7.7,3.4,protects access to power water cooling charging communications shelters food and mobility during disruption,7.441999999999999,Information-first,6
CR005,Community Health and Care Continuity Network,public health and care systems,8.6,8,7.8,7.5,8,8.1,8.7,3,protects medication access medical devices mental health care outreach disability support and community health workers,8.141,Social-capital-first,1
CR004,Inclusive Community Governance and Adaptation Forum,participatory governance and adaptation,8.4,8.3,7.4,7.8,7.8,8.6,8.8,3.1,shares authority across community institutions residents planners agencies and local organizations,8.127,Social-capital-first,2
CR001,Neighborhood Mutual Aid and Preparedness Network,social capital and preparedness,8.9,7.5,7.1,7.6,7.9,8.2,8.1,2.7,builds trusted neighbor networks check-ins supply sharing care coordination and preparedness capacity,8.082,Social-capital-first,3
CR006,Ecological Stewardship and Flood-Heat Buffer Program,social-ecological resilience,7.8,7.9,8.2,7.6,7.5,8.4,8.2,3.3,restores wetlands tree canopy soils watersheds public space and ecological buffers that reduce heat and flood risk,7.801,Social-capital-first,4
CR003,Local Risk Communication and Early Warning Platform,information and communication,7.8,7.4,7.3,7.1,8.9,7.9,8,2.9,improves trusted alerts multilingual communication uncertainty literacy and misinformation response,7.683000000000001,Social-capital-first,5
CR002,Community Infrastructure Access and Backup Systems,infrastructure access and service continuity,7.2,7.8,8.8,7.4,7.2,7.7,7.7,3.4,protects access to power water cooling charging communications shelters food and mobility during disruption,7.441999999999999,Social-capital-first,6
