scenario,strategy_id,strategy,system_domain,rank,resilience_value,implementation_burden,critical_function
Access-first,CR005,Community Health and Care Continuity Network,public health and care systems,2,7.905,3.0,protects medication access medical devices mental health care outreach disability support and community health workers
Access-first,CR002,Community Infrastructure Access and Backup Systems,infrastructure access and service continuity,3,7.887,3.4,protects access to power water cooling charging communications shelters food and mobility during disruption
Access-first,CR004,Inclusive Community Governance and Adaptation Forum,participatory governance and adaptation,4,7.837,3.1,shares authority across community institutions residents planners agencies and local organizations
Access-first,CR001,Neighborhood Mutual Aid and Preparedness Network,social capital and preparedness,5,7.573,2.7,builds trusted neighbor networks check-ins supply sharing care coordination and preparedness capacity
Access-first,CR003,Local Risk Communication and Early Warning Platform,information and communication,6,7.534,2.9,improves trusted alerts multilingual communication uncertainty literacy and misinformation response
Information-first,CR003,Local Risk Communication and Early Warning Platform,information and communication,1,7.991,2.9,improves trusted alerts multilingual communication uncertainty literacy and misinformation response
Information-first,CR005,Community Health and Care Continuity Network,public health and care systems,2,7.973,3.0,protects medication access medical devices mental health care outreach disability support and community health workers
Information-first,CR004,Inclusive Community Governance and Adaptation Forum,participatory governance and adaptation,3,7.959,3.1,shares authority across community institutions residents planners agencies and local organizations
Information-first,CR001,Neighborhood Mutual Aid and Preparedness Network,social capital and preparedness,4,7.802,2.7,builds trusted neighbor networks check-ins supply sharing care coordination and preparedness capacity
Information-first,CR006,Ecological Stewardship and Flood-Heat Buffer Program,social-ecological resilience,5,7.717,3.3,restores wetlands tree canopy soils watersheds public space and ecological buffers that reduce heat and flood risk
Information-first,CR002,Community Infrastructure Access and Backup Systems,infrastructure access and service continuity,6,7.442,3.4,protects access to power water cooling charging communications shelters food and mobility during disruption
Adaptation-first,CR004,Inclusive Community Governance and Adaptation Forum,participatory governance and adaptation,1,8.097,3.1,shares authority across community institutions residents planners agencies and local organizations
Adaptation-first,CR005,Community Health and Care Continuity Network,public health and care systems,2,7.92,3.0,protects medication access medical devices mental health care outreach disability support and community health workers
Adaptation-first,CR006,Ecological Stewardship and Flood-Heat Buffer Program,social-ecological resilience,3,7.885,3.3,restores wetlands tree canopy soils watersheds public space and ecological buffers that reduce heat and flood risk
Adaptation-first,CR001,Neighborhood Mutual Aid and Preparedness Network,social capital and preparedness,4,7.804,2.7,builds trusted neighbor networks check-ins supply sharing care coordination and preparedness capacity
Adaptation-first,CR003,Local Risk Communication and Early Warning Platform,information and communication,5,7.632,2.9,improves trusted alerts multilingual communication uncertainty literacy and misinformation response
Adaptation-first,CR002,Community Infrastructure Access and Backup Systems,infrastructure access and service continuity,6,7.505,3.4,protects access to power water cooling charging communications shelters food and mobility during disruption
Equity-first,CR004,Inclusive Community Governance and Adaptation Forum,participatory governance and adaptation,1,8.239,3.1,shares authority across community institutions residents planners agencies and local organizations
Equity-first,CR005,Community Health and Care Continuity Network,public health and care systems,2,8.169,3.0,protects medication access medical devices mental health care outreach disability support and community health workers
Equity-first,CR006,Ecological Stewardship and Flood-Heat Buffer Program,social-ecological resilience,3,7.913,3.3,restores wetlands tree canopy soils watersheds public space and ecological buffers that reduce heat and flood risk
Equity-first,CR001,Neighborhood Mutual Aid and Preparedness Network,social capital and preparedness,4,7.858,2.7,builds trusted neighbor networks check-ins supply sharing care coordination and preparedness capacity
Equity-first,CR003,Local Risk Communication and Early Warning Platform,information and communication,5,7.739,2.9,improves trusted alerts multilingual communication uncertainty literacy and misinformation response
Equity-first,CR002,Community Infrastructure Access and Backup Systems,infrastructure access and service continuity,6,7.582,3.4,protects access to power water cooling charging communications shelters food and mobility during disruption
Implementation-aware,CR004,Inclusive Community Governance and Adaptation Forum,participatory governance and adaptation,1,6.926,3.1,shares authority across community institutions residents planners agencies and local organizations
Implementation-aware,CR005,Community Health and Care Continuity Network,public health and care systems,2,6.886,3.0,protects medication access medical devices mental health care outreach disability support and community health workers
Implementation-aware,CR001,Neighborhood Mutual Aid and Preparedness Network,social capital and preparedness,3,6.737,2.7,builds trusted neighbor networks check-ins supply sharing care coordination and preparedness capacity
Implementation-aware,CR006,Ecological Stewardship and Flood-Heat Buffer Program,social-ecological resilience,4,6.714,3.3,restores wetlands tree canopy soils watersheds public space and ecological buffers that reduce heat and flood risk
Implementation-aware,CR003,Local Risk Communication and Early Warning Platform,information and communication,5,6.593,2.9,improves trusted alerts multilingual communication uncertainty literacy and misinformation response
Implementation-aware,CR002,Community Infrastructure Access and Backup Systems,infrastructure access and service continuity,6,6.474,3.4,protects access to power water cooling charging communications shelters food and mobility during disruption
