system_id,system,system_domain,time,event,stress_load,response_capacity,community_function,dependency_coupling,equity_adjusted_function
SYS001,Neighborhood Mutual Aid and Care Network,social care and mutual aid,20,background community stress,0.15846,0.46593,1.0,0.61077,1.0
SYS001,Neighborhood Mutual Aid and Care Network,social care and mutual aid,21,background community stress,0.15757,0.46612,1.0,0.6088,1.0
SYS001,Neighborhood Mutual Aid and Care Network,social care and mutual aid,22,background community stress,0.16069,0.46632,1.0,0.60688,1.0
SYS001,Neighborhood Mutual Aid and Care Network,social care and mutual aid,23,background community stress,0.15968,0.46651,1.0,0.60494,1.0
SYS001,Neighborhood Mutual Aid and Care Network,social care and mutual aid,24,background community stress,0.15929,0.46671,1.0,0.603,1.0
SYS001,Neighborhood Mutual Aid and Care Network,social care and mutual aid,25,background community stress,0.15804,0.4669,1.0,0.60102,1.0
SYS001,Neighborhood Mutual Aid and Care Network,social care and mutual aid,26,background community stress,0.15772,0.4671,1.0,0.59904,1.0
SYS001,Neighborhood Mutual Aid and Care Network,social care and mutual aid,27,Flooding with housing displacement and water disruption,0.81052,0.4673,1.0,0.61011,0.84096
SYS001,Neighborhood Mutual Aid and Care Network,social care and mutual aid,28,background community stress,0.16019,0.46619,1.0,0.60818,1.0
SYS001,Neighborhood Mutual Aid and Care Network,social care and mutual aid,29,background community stress,0.16097,0.46638,1.0,0.60627,1.0
SYS001,Neighborhood Mutual Aid and Care Network,social care and mutual aid,30,background community stress,0.16289,0.46657,1.0,0.6044,1.0
SYS001,Neighborhood Mutual Aid and Care Network,social care and mutual aid,31,background community stress,0.15914,0.46676,1.0,0.60245,1.0
SYS001,Neighborhood Mutual Aid and Care Network,social care and mutual aid,32,background community stress,0.16327,0.46696,1.0,0.60057,1.0
SYS001,Neighborhood Mutual Aid and Care Network,social care and mutual aid,33,background community stress,0.16215,0.46714,1.0,0.59868,1.0
SYS001,Neighborhood Mutual Aid and Care Network,social care and mutual aid,34,background community stress,0.16012,0.46733,1.0,0.59674,1.0
SYS001,Neighborhood Mutual Aid and Care Network,social care and mutual aid,35,background community stress,0.15868,0.46753,1.0,0.59477,1.0
SYS001,Neighborhood Mutual Aid and Care Network,social care and mutual aid,36,background community stress,0.16273,0.46772,1.0,0.59288,1.0
SYS001,Neighborhood Mutual Aid and Care Network,social care and mutual aid,37,background community stress,0.16043,0.46791,1.0,0.59094,1.0
SYS001,Neighborhood Mutual Aid and Care Network,social care and mutual aid,38,background community stress,0.15923,0.46811,1.0,0.58898,1.0
SYS001,Neighborhood Mutual Aid and Care Network,social care and mutual aid,39,background community stress,0.15936,0.4683,1.0,0.58701,1.0
SYS001,Neighborhood Mutual Aid and Care Network,social care and mutual aid,40,background community stress,0.15859,0.4685,1.0,0.58503,1.0
SYS001,Neighborhood Mutual Aid and Care Network,social care and mutual aid,41,background community stress,0.16185,0.4687,1.0,0.58311,1.0
SYS001,Neighborhood Mutual Aid and Care Network,social care and mutual aid,42,Public health emergency with misinformation surge,0.81765,0.46889,1.0,0.59431,0.85216
SYS001,Neighborhood Mutual Aid and Care Network,social care and mutual aid,43,background community stress,0.1631,0.46777,1.0,0.59243,1.0
SYS001,Neighborhood Mutual Aid and Care Network,social care and mutual aid,44,background community stress,0.15886,0.46796,1.0,0.59046,1.0
SYS001,Neighborhood Mutual Aid and Care Network,social care and mutual aid,45,background community stress,0.15906,0.46815,1.0,0.58849,1.0
SYS001,Neighborhood Mutual Aid and Care Network,social care and mutual aid,46,background community stress,0.16331,0.46835,1.0,0.5866,1.0
SYS001,Neighborhood Mutual Aid and Care Network,social care and mutual aid,47,background community stress,0.16057,0.46854,1.0,0.58466,1.0
SYS001,Neighborhood Mutual Aid and Care Network,social care and mutual aid,48,background community stress,0.16332,0.46873,1.0,0.58277,1.0
SYS001,Neighborhood Mutual Aid and Care Network,social care and mutual aid,49,background community stress,0.16371,0.46892,1.0,0.58088,1.0
SYS001,Neighborhood Mutual Aid and Care Network,social care and mutual aid,50,background community stress,0.16288,0.46911,1.0,0.57898,1.0
SYS001,Neighborhood Mutual Aid and Care Network,social care and mutual aid,51,background community stress,0.16369,0.4693,1.0,0.57709,1.0
SYS001,Neighborhood Mutual Aid and Care Network,social care and mutual aid,52,background community stress,0.16289,0.46949,1.0,0.57519,1.0
SYS001,Neighborhood Mutual Aid and Care Network,social care and mutual aid,53,background community stress,0.1617,0.46968,1.0,0.57325,1.0
SYS001,Neighborhood Mutual Aid and Care Network,social care and mutual aid,54,background community stress,0.16038,0.46987,1.0,0.57129,1.0
SYS001,Neighborhood Mutual Aid and Care Network,social care and mutual aid,55,background community stress,0.15953,0.47007,1.0,0.56931,1.0
SYS001,Neighborhood Mutual Aid and Care Network,social care and mutual aid,56,Economic shock with utility debt and small business closures,0.73095,0.47027,1.0,0.57876,0.85776
SYS001,Neighborhood Mutual Aid and Care Network,social care and mutual aid,57,background community stress,0.16248,0.46932,1.0,0.57685,1.0
SYS001,Neighborhood Mutual Aid and Care Network,social care and mutual aid,58,background community stress,0.16468,0.46952,1.0,0.57497,1.0
SYS001,Neighborhood Mutual Aid and Care Network,social care and mutual aid,59,background community stress,0.16391,0.4697,1.0,0.57309,1.0
SYS001,Neighborhood Mutual Aid and Care Network,social care and mutual aid,60,background community stress,0.16325,0.46989,1.0,0.57118,1.0
SYS001,Neighborhood Mutual Aid and Care Network,social care and mutual aid,61,background community stress,0.16249,0.47008,1.0,0.56926,1.0
SYS001,Neighborhood Mutual Aid and Care Network,social care and mutual aid,62,background community stress,0.16332,0.47027,1.0,0.56735,1.0
SYS001,Neighborhood Mutual Aid and Care Network,social care and mutual aid,63,background community stress,0.16162,0.47046,1.0,0.56541,1.0
SYS001,Neighborhood Mutual Aid and Care Network,social care and mutual aid,64,background community stress,0.16634,0.47066,1.0,0.56356,1.0
SYS001,Neighborhood Mutual Aid and Care Network,social care and mutual aid,65,background community stress,0.16735,0.47084,1.0,0.56173,1.0
SYS001,Neighborhood Mutual Aid and Care Network,social care and mutual aid,66,background community stress,0.16305,0.47103,1.0,0.55981,1.0
SYS001,Neighborhood Mutual Aid and Care Network,social care and mutual aid,67,background community stress,0.16389,0.47122,1.0,0.5579,1.0
SYS001,Neighborhood Mutual Aid and Care Network,social care and mutual aid,68,background community stress,0.16603,0.47141,1.0,0.55604,1.0
SYS001,Neighborhood Mutual Aid and Care Network,social care and mutual aid,69,background community stress,0.16289,0.4716,1.0,0.55411,1.0
SYS001,Neighborhood Mutual Aid and Care Network,social care and mutual aid,70,Compound heat flood outage misinformation and displacement crisis,0.93093,0.47179,1.0,0.56754,0.83536
SYS001,Neighborhood Mutual Aid and Care Network,social care and mutual aid,71,background community stress,0.16779,0.47045,1.0,0.56572,1.0
SYS001,Neighborhood Mutual Aid and Care Network,social care and mutual aid,72,background community stress,0.16843,0.47063,1.0,0.56391,1.0
SYS001,Neighborhood Mutual Aid and Care Network,social care and mutual aid,73,background community stress,0.16298,0.47081,1.0,0.56199,1.0
SYS001,Neighborhood Mutual Aid and Care Network,social care and mutual aid,74,background community stress,0.16398,0.471,1.0,0.56009,1.0
SYS001,Neighborhood Mutual Aid and Care Network,social care and mutual aid,75,background community stress,0.16777,0.47119,1.0,0.55826,1.0
SYS001,Neighborhood Mutual Aid and Care Network,social care and mutual aid,76,background community stress,0.1696,0.47137,1.0,0.55647,1.0
SYS001,Neighborhood Mutual Aid and Care Network,social care and mutual aid,77,background community stress,0.16714,0.47155,1.0,0.55462,1.0
SYS001,Neighborhood Mutual Aid and Care Network,social care and mutual aid,78,background community stress,0.16784,0.47174,1.0,0.55279,1.0
SYS001,Neighborhood Mutual Aid and Care Network,social care and mutual aid,79,background community stress,0.16825,0.47192,1.0,0.55097,1.0
SYS002,Local Governance and Emergency Coordination System,institutional capacity,0,background community stress,0.16219,0.444,1.0,0.73836,1.0
SYS002,Local Governance and Emergency Coordination System,institutional capacity,1,background community stress,0.16739,0.44416,1.0,0.73682,1.0
SYS002,Local Governance and Emergency Coordination System,institutional capacity,2,background community stress,0.16438,0.44432,1.0,0.73522,1.0
SYS002,Local Governance and Emergency Coordination System,institutional capacity,3,background community stress,0.16132,0.44448,1.0,0.73356,1.0
SYS002,Local Governance and Emergency Coordination System,institutional capacity,4,background community stress,0.16409,0.44464,1.0,0.73195,1.0
SYS002,Local Governance and Emergency Coordination System,institutional capacity,5,background community stress,0.16534,0.44481,1.0,0.73036,1.0
SYS002,Local Governance and Emergency Coordination System,institutional capacity,6,background community stress,0.16097,0.44496,1.0,0.72869,1.0
SYS002,Local Governance and Emergency Coordination System,institutional capacity,7,background community stress,0.16408,0.44513,1.0,0.72707,1.0
SYS002,Local Governance and Emergency Coordination System,institutional capacity,8,background community stress,0.16366,0.44529,1.0,0.72545,1.0
SYS002,Local Governance and Emergency Coordination System,institutional capacity,9,background community stress,0.16447,0.44546,1.0,0.72384,1.0
SYS002,Local Governance and Emergency Coordination System,institutional capacity,10,background community stress,0.16266,0.44562,1.0,0.72219,1.0
SYS002,Local Governance and Emergency Coordination System,institutional capacity,11,background community stress,0.16335,0.44578,1.0,0.72055,1.0
SYS002,Local Governance and Emergency Coordination System,institutional capacity,12,Extreme heatwave with power and cooling stress,0.78004,0.44594,1.0,0.73125,0.8376
SYS002,Local Governance and Emergency Coordination System,institutional capacity,13,background community stress,0.16604,0.44488,1.0,0.72968,1.0
SYS002,Local Governance and Emergency Coordination System,institutional capacity,14,background community stress,0.16739,0.44503,1.0,0.72813,1.0
SYS002,Local Governance and Emergency Coordination System,institutional capacity,15,background community stress,0.16685,0.44519,1.0,0.72657,1.0
SYS002,Local Governance and Emergency Coordination System,institutional capacity,16,background community stress,0.16529,0.44534,1.0,0.72498,1.0
SYS002,Local Governance and Emergency Coordination System,institutional capacity,17,background community stress,0.16674,0.4455,1.0,0.72341,1.0
SYS002,Local Governance and Emergency Coordination System,institutional capacity,18,background community stress,0.16438,0.44566,1.0,0.72179,1.0
SYS002,Local Governance and Emergency Coordination System,institutional capacity,19,background community stress,0.16578,0.44582,1.0,0.72021,1.0
SYS002,Local Governance and Emergency Coordination System,institutional capacity,20,background community stress,0.16587,0.44598,1.0,0.71862,1.0
SYS002,Local Governance and Emergency Coordination System,institutional capacity,21,background community stress,0.16522,0.44614,1.0,0.71701,1.0
SYS002,Local Governance and Emergency Coordination System,institutional capacity,22,background community stress,0.16314,0.4463,1.0,0.71537,1.0
SYS002,Local Governance and Emergency Coordination System,institutional capacity,23,background community stress,0.1635,0.44646,1.0,0.71373,1.0
SYS002,Local Governance and Emergency Coordination System,institutional capacity,24,background community stress,0.16665,0.44663,1.0,0.71215,1.0
SYS002,Local Governance and Emergency Coordination System,institutional capacity,25,background community stress,0.16719,0.44679,1.0,0.71058,1.0
SYS002,Local Governance and Emergency Coordination System,institutional capacity,26,background community stress,0.1676,0.44694,1.0,0.70901,1.0
SYS002,Local Governance and Emergency Coordination System,institutional capacity,27,Flooding with housing displacement and water disruption,0.81932,0.4471,1.0,0.72048,0.832
SYS002,Local Governance and Emergency Coordination System,institutional capacity,28,background community stress,0.17035,0.44595,1.0,0.71898,1.0
SYS002,Local Governance and Emergency Coordination System,institutional capacity,29,background community stress,0.16976,0.4461,1.0,0.71747,1.0
SYS002,Local Governance and Emergency Coordination System,institutional capacity,30,background community stress,0.17029,0.44625,1.0,0.71597,1.0
SYS002,Local Governance and Emergency Coordination System,institutional capacity,31,background community stress,0.16488,0.4464,1.0,0.71435,1.0
SYS002,Local Governance and Emergency Coordination System,institutional capacity,32,background community stress,0.16641,0.44656,1.0,0.71277,1.0
SYS002,Local Governance and Emergency Coordination System,institutional capacity,33,background community stress,0.17252,0.44672,1.0,0.71131,1.0
SYS002,Local Governance and Emergency Coordination System,institutional capacity,34,background community stress,0.16839,0.44687,1.0,0.70976,1.0
SYS002,Local Governance and Emergency Coordination System,institutional capacity,35,background community stress,0.17136,0.44702,1.0,0.70827,1.0
SYS002,Local Governance and Emergency Coordination System,institutional capacity,36,background community stress,0.17194,0.44717,1.0,0.70679,1.0
SYS002,Local Governance and Emergency Coordination System,institutional capacity,37,background community stress,0.16652,0.44732,1.0,0.7052,1.0
SYS002,Local Governance and Emergency Coordination System,institutional capacity,38,background community stress,0.17183,0.44748,1.0,0.70371,1.0
SYS002,Local Governance and Emergency Coordination System,institutional capacity,39,background community stress,0.17081,0.44763,1.0,0.70221,1.0
SYS002,Local Governance and Emergency Coordination System,institutional capacity,40,background community stress,0.16935,0.44778,1.0,0.70067,1.0
SYS002,Local Governance and Emergency Coordination System,institutional capacity,41,background community stress,0.1735,0.44793,1.0,0.69921,1.0
SYS002,Local Governance and Emergency Coordination System,institutional capacity,42,Public health emergency with misinformation surge,0.82694,0.44808,1.0,0.71082,0.8432
SYS002,Local Governance and Emergency Coordination System,institutional capacity,43,background community stress,0.16839,0.44692,1.0,0.70927,1.0
SYS002,Local Governance and Emergency Coordination System,institutional capacity,44,background community stress,0.17243,0.44707,1.0,0.7078,1.0
SYS002,Local Governance and Emergency Coordination System,institutional capacity,45,background community stress,0.16861,0.44722,1.0,0.70625,1.0
SYS002,Local Governance and Emergency Coordination System,institutional capacity,46,background community stress,0.17237,0.44737,1.0,0.70478,1.0
SYS002,Local Governance and Emergency Coordination System,institutional capacity,47,background community stress,0.17239,0.44752,1.0,0.70331,1.0
SYS002,Local Governance and Emergency Coordination System,institutional capacity,48,background community stress,0.16934,0.44767,1.0,0.70177,1.0
SYS002,Local Governance and Emergency Coordination System,institutional capacity,49,background community stress,0.17291,0.44782,1.0,0.7003,1.0
SYS002,Local Governance and Emergency Coordination System,institutional capacity,50,background community stress,0.1725,0.44797,1.0,0.69882,1.0
SYS002,Local Governance and Emergency Coordination System,institutional capacity,51,background community stress,0.17142,0.44812,1.0,0.69732,1.0
SYS002,Local Governance and Emergency Coordination System,institutional capacity,52,background community stress,0.17111,0.44827,1.0,0.69581,1.0
SYS002,Local Governance and Emergency Coordination System,institutional capacity,53,background community stress,0.17462,0.44842,1.0,0.69437,1.0
SYS002,Local Governance and Emergency Coordination System,institutional capacity,54,background community stress,0.17264,0.44856,1.0,0.69289,1.0
SYS002,Local Governance and Emergency Coordination System,institutional capacity,55,background community stress,0.17231,0.44871,1.0,0.6914,1.0
SYS002,Local Governance and Emergency Coordination System,institutional capacity,56,Economic shock with utility debt and small business closures,0.74071,0.44886,1.0,0.70128,0.8488
SYS002,Local Governance and Emergency Coordination System,institutional capacity,57,background community stress,0.17369,0.44787,1.0,0.69983,1.0
SYS002,Local Governance and Emergency Coordination System,institutional capacity,58,background community stress,0.17418,0.44802,1.0,0.69838,1.0
SYS002,Local Governance and Emergency Coordination System,institutional capacity,59,background community stress,0.17556,0.44816,1.0,0.69696,1.0
SYS002,Local Governance and Emergency Coordination System,institutional capacity,60,background community stress,0.1742,0.4483,1.0,0.69551,1.0
SYS002,Local Governance and Emergency Coordination System,institutional capacity,61,background community stress,0.17508,0.44845,1.0,0.69408,1.0
SYS002,Local Governance and Emergency Coordination System,institutional capacity,62,background community stress,0.17125,0.44859,1.0,0.69257,1.0
SYS002,Local Governance and Emergency Coordination System,institutional capacity,63,background community stress,0.17104,0.44874,1.0,0.69106,1.0
SYS002,Local Governance and Emergency Coordination System,institutional capacity,64,background community stress,0.17234,0.44889,1.0,0.68957,1.0
SYS002,Local Governance and Emergency Coordination System,institutional capacity,65,background community stress,0.17389,0.44904,1.0,0.68811,1.0
SYS002,Local Governance and Emergency Coordination System,institutional capacity,66,background community stress,0.17624,0.44919,1.0,0.68669,1.0
SYS002,Local Governance and Emergency Coordination System,institutional capacity,67,background community stress,0.17485,0.44933,1.0,0.68524,1.0
SYS002,Local Governance and Emergency Coordination System,institutional capacity,68,background community stress,0.17582,0.44948,1.0,0.68382,1.0
SYS002,Local Governance and Emergency Coordination System,institutional capacity,69,background community stress,0.17399,0.44962,1.0,0.68235,1.0
SYS002,Local Governance and Emergency Coordination System,institutional capacity,70,Compound heat flood outage misinformation and displacement crisis,0.94119,0.44976,1.0,0.69623,0.8264
SYS002,Local Governance and Emergency Coordination System,institutional capacity,71,background community stress,0.17681,0.44838,1.0,0.69483,1.0
SYS002,Local Governance and Emergency Coordination System,institutional capacity,72,background community stress,0.17621,0.44852,1.0,0.69342,1.0
SYS002,Local Governance and Emergency Coordination System,institutional capacity,73,background community stress,0.17634,0.44866,1.0,0.69201,1.0
SYS002,Local Governance and Emergency Coordination System,institutional capacity,74,background community stress,0.17385,0.4488,1.0,0.69055,1.0
SYS002,Local Governance and Emergency Coordination System,institutional capacity,75,background community stress,0.17794,0.44894,1.0,0.68917,1.0
SYS002,Local Governance and Emergency Coordination System,institutional capacity,76,background community stress,0.17772,0.44908,1.0,0.68779,1.0
SYS002,Local Governance and Emergency Coordination System,institutional capacity,77,background community stress,0.17671,0.44922,1.0,0.68638,1.0
SYS002,Local Governance and Emergency Coordination System,institutional capacity,78,background community stress,0.18047,0.44936,1.0,0.68505,1.0
SYS002,Local Governance and Emergency Coordination System,institutional capacity,79,background community stress,0.17835,0.4495,1.0,0.68367,1.0
SYS003,Community Infrastructure and Resilience Hub Network,infrastructure and public space,0,background community stress,0.16597,0.4228,1.0,0.77867,1.0
SYS003,Community Infrastructure and Resilience Hub Network,infrastructure and public space,1,background community stress,0.16667,0.42293,1.0,0.77735,1.0
SYS003,Community Infrastructure and Resilience Hub Network,infrastructure and public space,2,background community stress,0.1667,0.42307,1.0,0.77603,1.0
SYS003,Community Infrastructure and Resilience Hub Network,infrastructure and public space,3,background community stress,0.1678,0.4232,1.0,0.77473,1.0
SYS003,Community Infrastructure and Resilience Hub Network,infrastructure and public space,4,background community stress,0.16567,0.42333,1.0,0.77339,1.0
SYS003,Community Infrastructure and Resilience Hub Network,infrastructure and public space,5,background community stress,0.16782,0.42346,1.0,0.77209,1.0
SYS003,Community Infrastructure and Resilience Hub Network,infrastructure and public space,6,background community stress,0.16999,0.42359,1.0,0.77083,1.0
SYS003,Community Infrastructure and Resilience Hub Network,infrastructure and public space,7,background community stress,0.16572,0.42372,1.0,0.76948,1.0
SYS003,Community Infrastructure and Resilience Hub Network,infrastructure and public space,8,background community stress,0.16792,0.42385,1.0,0.76818,1.0
SYS003,Community Infrastructure and Resilience Hub Network,infrastructure and public space,9,background community stress,0.16905,0.42398,1.0,0.76689,1.0
SYS003,Community Infrastructure and Resilience Hub Network,infrastructure and public space,10,background community stress,0.16774,0.42411,1.0,0.76558,1.0
SYS003,Community Infrastructure and Resilience Hub Network,infrastructure and public space,11,background community stress,0.16722,0.42424,1.0,0.76426,1.0
SYS003,Community Infrastructure and Resilience Hub Network,infrastructure and public space,12,Extreme heatwave with power and cooling stress,0.78354,0.42437,1.0,0.77526,0.84432
SYS003,Community Infrastructure and Resilience Hub Network,infrastructure and public space,13,background community stress,0.16865,0.42327,1.0,0.77398,1.0
SYS003,Community Infrastructure and Resilience Hub Network,infrastructure and public space,14,background community stress,0.17078,0.4234,1.0,0.77274,1.0
SYS003,Community Infrastructure and Resilience Hub Network,infrastructure and public space,15,background community stress,0.16659,0.42353,1.0,0.77141,1.0
SYS003,Community Infrastructure and Resilience Hub Network,infrastructure and public space,16,background community stress,0.17006,0.42366,1.0,0.77015,1.0
SYS003,Community Infrastructure and Resilience Hub Network,infrastructure and public space,17,background community stress,0.17114,0.42378,1.0,0.76891,1.0
SYS003,Community Infrastructure and Resilience Hub Network,infrastructure and public space,18,background community stress,0.16921,0.42391,1.0,0.76763,1.0
SYS003,Community Infrastructure and Resilience Hub Network,infrastructure and public space,19,background community stress,0.16988,0.42404,1.0,0.76637,1.0
SYS003,Community Infrastructure and Resilience Hub Network,infrastructure and public space,20,background community stress,0.16964,0.42416,1.0,0.76509,1.0
SYS003,Community Infrastructure and Resilience Hub Network,infrastructure and public space,21,background community stress,0.1705,0.42429,1.0,0.76384,1.0
SYS003,Community Infrastructure and Resilience Hub Network,infrastructure and public space,22,background community stress,0.17041,0.42442,1.0,0.76258,1.0
SYS003,Community Infrastructure and Resilience Hub Network,infrastructure and public space,23,background community stress,0.17323,0.42454,1.0,0.76137,1.0
SYS003,Community Infrastructure and Resilience Hub Network,infrastructure and public space,24,background community stress,0.17266,0.42466,1.0,0.76015,1.0
SYS003,Community Infrastructure and Resilience Hub Network,infrastructure and public space,25,background community stress,0.17309,0.42478,1.0,0.75894,1.0
SYS003,Community Infrastructure and Resilience Hub Network,infrastructure and public space,26,background community stress,0.1715,0.42491,1.0,0.7577,1.0
SYS003,Community Infrastructure and Resilience Hub Network,infrastructure and public space,27,Flooding with housing displacement and water disruption,0.82322,0.42503,1.0,0.76949,0.83872
SYS003,Community Infrastructure and Resilience Hub Network,infrastructure and public space,28,background community stress,0.17462,0.42385,1.0,0.76832,1.0
SYS003,Community Infrastructure and Resilience Hub Network,infrastructure and public space,29,background community stress,0.17335,0.42397,1.0,0.76712,1.0
SYS003,Community Infrastructure and Resilience Hub Network,infrastructure and public space,30,background community stress,0.17512,0.42409,1.0,0.76596,1.0
SYS003,Community Infrastructure and Resilience Hub Network,infrastructure and public space,31,background community stress,0.1734,0.4242,1.0,0.76476,1.0
SYS003,Community Infrastructure and Resilience Hub Network,infrastructure and public space,32,background community stress,0.17477,0.42432,1.0,0.76359,1.0
SYS003,Community Infrastructure and Resilience Hub Network,infrastructure and public space,33,background community stress,0.17493,0.42444,1.0,0.76242,1.0
SYS003,Community Infrastructure and Resilience Hub Network,infrastructure and public space,34,background community stress,0.17313,0.42456,1.0,0.76121,1.0
SYS003,Community Infrastructure and Resilience Hub Network,infrastructure and public space,35,background community stress,0.17362,0.42468,1.0,0.76001,1.0
SYS003,Community Infrastructure and Resilience Hub Network,infrastructure and public space,36,background community stress,0.17426,0.4248,1.0,0.75882,1.0
SYS003,Community Infrastructure and Resilience Hub Network,infrastructure and public space,37,background community stress,0.17367,0.42492,1.0,0.75762,1.0
SYS003,Community Infrastructure and Resilience Hub Network,infrastructure and public space,38,background community stress,0.17387,0.42504,1.0,0.75643,1.0
SYS003,Community Infrastructure and Resilience Hub Network,infrastructure and public space,39,background community stress,0.17453,0.42516,1.0,0.75524,1.0
SYS003,Community Infrastructure and Resilience Hub Network,infrastructure and public space,40,background community stress,0.17259,0.42528,1.0,0.75401,1.0
SYS003,Community Infrastructure and Resilience Hub Network,infrastructure and public space,41,background community stress,0.17278,0.4254,1.0,0.75279,1.0
SYS003,Community Infrastructure and Resilience Hub Network,infrastructure and public space,42,Public health emergency with misinformation surge,0.83122,0.42552,1.0,0.76473,0.84992
SYS003,Community Infrastructure and Resilience Hub Network,infrastructure and public space,43,background community stress,0.17238,0.42433,1.0,0.76351,1.0
SYS003,Community Infrastructure and Resilience Hub Network,infrastructure and public space,44,background community stress,0.17344,0.42445,1.0,0.76231,1.0
SYS003,Community Infrastructure and Resilience Hub Network,infrastructure and public space,45,background community stress,0.17261,0.42457,1.0,0.76109,1.0
SYS003,Community Infrastructure and Resilience Hub Network,infrastructure and public space,46,background community stress,0.17468,0.42469,1.0,0.75992,1.0
SYS003,Community Infrastructure and Resilience Hub Network,infrastructure and public space,47,background community stress,0.17643,0.42481,1.0,0.75877,1.0
SYS003,Community Infrastructure and Resilience Hub Network,infrastructure and public space,48,background community stress,0.17367,0.42492,1.0,0.75757,1.0
SYS003,Community Infrastructure and Resilience Hub Network,infrastructure and public space,49,background community stress,0.17683,0.42504,1.0,0.75643,1.0
SYS003,Community Infrastructure and Resilience Hub Network,infrastructure and public space,50,background community stress,0.17521,0.42516,1.0,0.75526,1.0
SYS003,Community Infrastructure and Resilience Hub Network,infrastructure and public space,51,background community stress,0.17939,0.42527,1.0,0.75417,1.0
SYS003,Community Infrastructure and Resilience Hub Network,infrastructure and public space,52,background community stress,0.17836,0.42538,1.0,0.75306,1.0
SYS003,Community Infrastructure and Resilience Hub Network,infrastructure and public space,53,background community stress,0.17602,0.42549,1.0,0.7519,1.0
SYS003,Community Infrastructure and Resilience Hub Network,infrastructure and public space,54,background community stress,0.17389,0.42561,1.0,0.75069,1.0
SYS003,Community Infrastructure and Resilience Hub Network,infrastructure and public space,55,background community stress,0.17766,0.42573,1.0,0.74956,1.0
SYS003,Community Infrastructure and Resilience Hub Network,infrastructure and public space,56,Economic shock with utility debt and small business closures,0.74537,0.42584,1.0,0.75979,0.85552
SYS003,Community Infrastructure and Resilience Hub Network,infrastructure and public space,57,background community stress,0.18197,0.42482,1.0,0.75875,1.0
SYS003,Community Infrastructure and Resilience Hub Network,infrastructure and public space,58,background community stress,0.17987,0.42492,1.0,0.75768,1.0
SYS003,Community Infrastructure and Resilience Hub Network,infrastructure and public space,59,background community stress,0.17576,0.42503,1.0,0.75652,1.0
SYS003,Community Infrastructure and Resilience Hub Network,infrastructure and public space,60,background community stress,0.17856,0.42515,1.0,0.75541,1.0
SYS003,Community Infrastructure and Resilience Hub Network,infrastructure and public space,61,background community stress,0.18183,0.42526,1.0,0.75437,1.0
SYS003,Community Infrastructure and Resilience Hub Network,infrastructure and public space,62,background community stress,0.18219,0.42536,1.0,0.75333,1.0
SYS003,Community Infrastructure and Resilience Hub Network,infrastructure and public space,63,background community stress,0.17963,0.42547,1.0,0.75225,1.0
