system_id,system,system_domain,time,event,stress_load,response_capacity,system_performance,resource_coupling,equity_adjusted_performance
SYS001,Irrigated Agricultural Basin,agriculture and water allocation,29,background food-water stress,0.21205,0.20451,1.0,0.852,1.0
SYS001,Irrigated Agricultural Basin,agriculture and water allocation,30,background food-water stress,0.21547,0.20432,1.0,0.85343,1.0
SYS001,Irrigated Agricultural Basin,agriculture and water allocation,31,background food-water stress,0.21134,0.20412,1.0,0.85478,1.0
SYS001,Irrigated Agricultural Basin,agriculture and water allocation,32,background food-water stress,0.21711,0.20393,1.0,0.85625,1.0
SYS001,Irrigated Agricultural Basin,agriculture and water allocation,33,background food-water stress,0.21614,0.20373,1.0,0.85769,1.0
SYS001,Irrigated Agricultural Basin,agriculture and water allocation,34,background food-water stress,0.21397,0.20352,1.0,0.8591,1.0
SYS001,Irrigated Agricultural Basin,agriculture and water allocation,35,background food-water stress,0.21297,0.20333,1.0,0.86049,1.0
SYS001,Irrigated Agricultural Basin,agriculture and water allocation,36,background food-water stress,0.21848,0.20313,1.0,0.86199,1.0
SYS001,Irrigated Agricultural Basin,agriculture and water allocation,37,background food-water stress,0.21545,0.20292,1.0,0.86343,1.0
SYS001,Irrigated Agricultural Basin,agriculture and water allocation,38,background food-water stress,0.21557,0.20272,1.0,0.86488,1.0
SYS001,Irrigated Agricultural Basin,agriculture and water allocation,39,background food-water stress,0.21516,0.20252,1.0,0.86632,1.0
SYS001,Irrigated Agricultural Basin,agriculture and water allocation,40,background food-water stress,0.21513,0.20231,1.0,0.86777,1.0
SYS001,Irrigated Agricultural Basin,agriculture and water allocation,41,background food-water stress,0.22026,0.20211,1.0,0.86931,1.0
SYS001,Irrigated Agricultural Basin,agriculture and water allocation,42,Food price spike and input shortage,0.64872,0.2019,0.97097,0.87856,0.82742
SYS001,Irrigated Agricultural Basin,agriculture and water allocation,43,background food-water stress,0.22283,0.2006,1.0,0.88016,1.0
SYS001,Irrigated Agricultural Basin,agriculture and water allocation,44,background food-water stress,0.2177,0.20038,1.0,0.88168,1.0
SYS001,Irrigated Agricultural Basin,agriculture and water allocation,45,background food-water stress,0.21814,0.20017,1.0,0.8832,1.0
SYS001,Irrigated Agricultural Basin,agriculture and water allocation,46,background food-water stress,0.22446,0.19995,1.0,0.88484,1.0
SYS001,Irrigated Agricultural Basin,agriculture and water allocation,47,background food-water stress,0.22128,0.19972,1.0,0.88643,1.0
SYS001,Irrigated Agricultural Basin,agriculture and water allocation,48,background food-water stress,0.22639,0.1995,1.0,0.88811,1.0
SYS001,Irrigated Agricultural Basin,agriculture and water allocation,49,background food-water stress,0.22706,0.19926,1.0,0.88981,1.0
SYS001,Irrigated Agricultural Basin,agriculture and water allocation,50,background food-water stress,0.2266,0.19903,1.0,0.8915,1.0
SYS001,Irrigated Agricultural Basin,agriculture and water allocation,51,background food-water stress,0.22796,0.19879,1.0,0.89322,1.0
SYS001,Irrigated Agricultural Basin,agriculture and water allocation,52,background food-water stress,0.22695,0.19855,1.0,0.89492,1.0
SYS001,Irrigated Agricultural Basin,agriculture and water allocation,53,background food-water stress,0.22741,0.19831,1.0,0.89663,1.0
SYS001,Irrigated Agricultural Basin,agriculture and water allocation,54,background food-water stress,0.22528,0.19807,1.0,0.89831,1.0
SYS001,Irrigated Agricultural Basin,agriculture and water allocation,55,background food-water stress,0.2247,0.19784,1.0,0.89998,1.0
SYS001,Irrigated Agricultural Basin,agriculture and water allocation,56,Water-quality contamination event,0.6516,0.1976,0.96755,0.90934,0.81909
SYS001,Irrigated Agricultural Basin,agriculture and water allocation,57,background food-water stress,0.23021,0.19629,1.0,0.91113,1.0
SYS001,Irrigated Agricultural Basin,agriculture and water allocation,58,background food-water stress,0.23241,0.19604,1.0,0.91296,1.0
SYS001,Irrigated Agricultural Basin,agriculture and water allocation,59,background food-water stress,0.23271,0.19579,1.0,0.9148,1.0
SYS001,Irrigated Agricultural Basin,agriculture and water allocation,60,background food-water stress,0.23268,0.19553,1.0,0.91664,1.0
SYS001,Irrigated Agricultural Basin,agriculture and water allocation,61,background food-water stress,0.23239,0.19527,1.0,0.91848,1.0
SYS001,Irrigated Agricultural Basin,agriculture and water allocation,62,background food-water stress,0.2342,0.19501,1.0,0.92035,1.0
SYS001,Irrigated Agricultural Basin,agriculture and water allocation,63,background food-water stress,0.23207,0.19475,1.0,0.92219,1.0
SYS001,Irrigated Agricultural Basin,agriculture and water allocation,64,background food-water stress,0.23872,0.19449,1.0,0.92416,1.0
SYS001,Irrigated Agricultural Basin,agriculture and water allocation,65,background food-water stress,0.24087,0.19422,1.0,0.92616,1.0
SYS001,Irrigated Agricultural Basin,agriculture and water allocation,66,background food-water stress,0.23611,0.19394,1.0,0.92808,1.0
SYS001,Irrigated Agricultural Basin,agriculture and water allocation,67,background food-water stress,0.23828,0.19367,1.0,0.93005,1.0
SYS001,Irrigated Agricultural Basin,agriculture and water allocation,68,background food-water stress,0.24194,0.19339,1.0,0.93208,1.0
SYS001,Irrigated Agricultural Basin,agriculture and water allocation,69,background food-water stress,0.23761,0.19311,1.0,0.93404,1.0
SYS001,Irrigated Agricultural Basin,agriculture and water allocation,70,Compound heat drought market and power disruption,0.84049,0.19283,0.90063,0.94686,0.75235
SYS001,Irrigated Agricultural Basin,agriculture and water allocation,71,background food-water stress,0.24457,0.19104,1.0,0.94897,1.0
SYS001,Irrigated Agricultural Basin,agriculture and water allocation,72,background food-water stress,0.24718,0.19074,1.0,0.95113,1.0
SYS001,Irrigated Agricultural Basin,agriculture and water allocation,73,background food-water stress,0.24009,0.19044,1.0,0.95316,1.0
SYS001,Irrigated Agricultural Basin,agriculture and water allocation,74,background food-water stress,0.24165,0.19016,1.0,0.95523,1.0
SYS001,Irrigated Agricultural Basin,agriculture and water allocation,75,background food-water stress,0.24774,0.18987,1.0,0.95741,1.0
SYS001,Irrigated Agricultural Basin,agriculture and water allocation,76,background food-water stress,0.25094,0.18956,1.0,0.95965,1.0
SYS001,Irrigated Agricultural Basin,agriculture and water allocation,77,background food-water stress,0.24782,0.18925,1.0,0.96184,1.0
SYS001,Irrigated Agricultural Basin,agriculture and water allocation,78,background food-water stress,0.24946,0.18894,1.0,0.96407,1.0
SYS001,Irrigated Agricultural Basin,agriculture and water allocation,79,background food-water stress,0.25015,0.18863,1.0,0.96631,1.0
SYS002,Urban Drinking Water and Sanitation Network,water and public health,0,background food-water stress,0.18386,0.286,1.0,0.75988,1.0
SYS002,Urban Drinking Water and Sanitation Network,water and public health,1,background food-water stress,0.19102,0.28602,1.0,0.75988,1.0
SYS002,Urban Drinking Water and Sanitation Network,water and public health,2,background food-water stress,0.18697,0.28602,1.0,0.75982,1.0
SYS002,Urban Drinking Water and Sanitation Network,water and public health,3,background food-water stress,0.1833,0.28603,1.0,0.75968,1.0
SYS002,Urban Drinking Water and Sanitation Network,water and public health,4,background food-water stress,0.18705,0.28604,1.0,0.75962,1.0
SYS002,Urban Drinking Water and Sanitation Network,water and public health,5,background food-water stress,0.18876,0.28605,1.0,0.75958,1.0
SYS002,Urban Drinking Water and Sanitation Network,water and public health,6,background food-water stress,0.18373,0.28606,1.0,0.75946,1.0
SYS002,Urban Drinking Water and Sanitation Network,water and public health,7,background food-water stress,0.18779,0.28608,1.0,0.7594,1.0
SYS002,Urban Drinking Water and Sanitation Network,water and public health,8,background food-water stress,0.18816,0.28608,1.0,0.75936,1.0
SYS002,Urban Drinking Water and Sanitation Network,water and public health,9,background food-water stress,0.1894,0.28609,1.0,0.75933,1.0
SYS002,Urban Drinking Water and Sanitation Network,water and public health,10,background food-water stress,0.18779,0.28609,1.0,0.75928,1.0
SYS002,Urban Drinking Water and Sanitation Network,water and public health,11,background food-water stress,0.18902,0.2861,1.0,0.75925,1.0
SYS002,Urban Drinking Water and Sanitation Network,water and public health,12,Multi-season drought and groundwater stress,0.72031,0.2861,0.98201,0.76878,0.84893
SYS002,Urban Drinking Water and Sanitation Network,water and public health,13,background food-water stress,0.19236,0.28477,1.0,0.76883,1.0
SYS002,Urban Drinking Water and Sanitation Network,water and public health,14,background food-water stress,0.19533,0.28476,1.0,0.76893,1.0
SYS002,Urban Drinking Water and Sanitation Network,water and public health,15,background food-water stress,0.19543,0.28475,1.0,0.76903,1.0
SYS002,Urban Drinking Water and Sanitation Network,water and public health,16,background food-water stress,0.1931,0.28474,1.0,0.76909,1.0
SYS002,Urban Drinking Water and Sanitation Network,water and public health,17,background food-water stress,0.19523,0.28473,1.0,0.76918,1.0
SYS002,Urban Drinking Water and Sanitation Network,water and public health,18,background food-water stress,0.19213,0.28471,1.0,0.76923,1.0
SYS002,Urban Drinking Water and Sanitation Network,water and public health,19,background food-water stress,0.19509,0.28471,1.0,0.76932,1.0
SYS002,Urban Drinking Water and Sanitation Network,water and public health,20,background food-water stress,0.19468,0.28469,1.0,0.76941,1.0
SYS002,Urban Drinking Water and Sanitation Network,water and public health,21,background food-water stress,0.19427,0.28468,1.0,0.76949,1.0
SYS002,Urban Drinking Water and Sanitation Network,water and public health,22,background food-water stress,0.19247,0.28467,1.0,0.76954,1.0
SYS002,Urban Drinking Water and Sanitation Network,water and public health,23,background food-water stress,0.19332,0.28466,1.0,0.7696,1.0
SYS002,Urban Drinking Water and Sanitation Network,water and public health,24,background food-water stress,0.19737,0.28466,1.0,0.76974,1.0
SYS002,Urban Drinking Water and Sanitation Network,water and public health,25,background food-water stress,0.19942,0.28464,1.0,0.76991,1.0
SYS002,Urban Drinking Water and Sanitation Network,water and public health,26,background food-water stress,0.20015,0.28461,1.0,0.7701,1.0
SYS002,Urban Drinking Water and Sanitation Network,water and public health,27,Extreme flood with sanitation and crop damage,0.73121,0.28459,0.97745,0.77985,0.85046
SYS002,Urban Drinking Water and Sanitation Network,water and public health,28,background food-water stress,0.20383,0.28322,1.0,0.78012,1.0
SYS002,Urban Drinking Water and Sanitation Network,water and public health,29,background food-water stress,0.2032,0.28318,1.0,0.78038,1.0
SYS002,Urban Drinking Water and Sanitation Network,water and public health,30,background food-water stress,0.20489,0.28315,1.0,0.78067,1.0
SYS002,Urban Drinking Water and Sanitation Network,water and public health,31,background food-water stress,0.19772,0.28311,1.0,0.78083,1.0
SYS002,Urban Drinking Water and Sanitation Network,water and public health,32,background food-water stress,0.19997,0.28308,1.0,0.78103,1.0
SYS002,Urban Drinking Water and Sanitation Network,water and public health,33,background food-water stress,0.20915,0.28306,1.0,0.7814,1.0
SYS002,Urban Drinking Water and Sanitation Network,water and public health,34,background food-water stress,0.20451,0.283,1.0,0.78168,1.0
SYS002,Urban Drinking Water and Sanitation Network,water and public health,35,background food-water stress,0.20818,0.28296,1.0,0.78204,1.0
SYS002,Urban Drinking Water and Sanitation Network,water and public health,36,background food-water stress,0.20945,0.28291,1.0,0.78241,1.0
SYS002,Urban Drinking Water and Sanitation Network,water and public health,37,background food-water stress,0.2023,0.28286,1.0,0.78266,1.0
SYS002,Urban Drinking Water and Sanitation Network,water and public health,38,background food-water stress,0.2101,0.28283,1.0,0.78305,1.0
SYS002,Urban Drinking Water and Sanitation Network,water and public health,39,background food-water stress,0.2095,0.28277,1.0,0.78342,1.0
SYS002,Urban Drinking Water and Sanitation Network,water and public health,40,background food-water stress,0.20818,0.28272,1.0,0.78378,1.0
SYS002,Urban Drinking Water and Sanitation Network,water and public health,41,background food-water stress,0.2136,0.28267,1.0,0.78423,1.0
SYS002,Urban Drinking Water and Sanitation Network,water and public health,42,Food price spike and input shortage,0.63851,0.28261,1.0,0.79233,0.85888
SYS002,Urban Drinking Water and Sanitation Network,water and public health,43,background food-water stress,0.20701,0.28147,1.0,0.79268,1.0
SYS002,Urban Drinking Water and Sanitation Network,water and public health,44,background food-water stress,0.21255,0.28142,1.0,0.79313,1.0
SYS002,Urban Drinking Water and Sanitation Network,water and public health,45,background food-water stress,0.20812,0.28136,1.0,0.7935,1.0
SYS002,Urban Drinking Water and Sanitation Network,water and public health,46,background food-water stress,0.21284,0.28131,1.0,0.79396,1.0
SYS002,Urban Drinking Water and Sanitation Network,water and public health,47,background food-water stress,0.21294,0.28125,1.0,0.79441,1.0
SYS002,Urban Drinking Water and Sanitation Network,water and public health,48,background food-water stress,0.21006,0.28118,1.0,0.79482,1.0
SYS002,Urban Drinking Water and Sanitation Network,water and public health,49,background food-water stress,0.21444,0.28113,1.0,0.79531,1.0
SYS002,Urban Drinking Water and Sanitation Network,water and public health,50,background food-water stress,0.21576,0.28106,1.0,0.79582,1.0
SYS002,Urban Drinking Water and Sanitation Network,water and public health,51,background food-water stress,0.21349,0.28099,1.0,0.79629,1.0
SYS002,Urban Drinking Water and Sanitation Network,water and public health,52,background food-water stress,0.21495,0.28092,1.0,0.79679,1.0
SYS002,Urban Drinking Water and Sanitation Network,water and public health,53,background food-water stress,0.21905,0.28085,1.0,0.79736,1.0
SYS002,Urban Drinking Water and Sanitation Network,water and public health,54,background food-water stress,0.21685,0.28077,1.0,0.79789,1.0
SYS002,Urban Drinking Water and Sanitation Network,water and public health,55,background food-water stress,0.2175,0.28069,1.0,0.79844,1.0
SYS002,Urban Drinking Water and Sanitation Network,water and public health,56,Water-quality contamination event,0.63941,0.28062,1.0,0.80658,0.85328
SYS002,Urban Drinking Water and Sanitation Network,water and public health,57,background food-water stress,0.21889,0.27948,1.0,0.80717,1.0
SYS002,Urban Drinking Water and Sanitation Network,water and public health,58,background food-water stress,0.22039,0.2794,1.0,0.80778,1.0
SYS002,Urban Drinking Water and Sanitation Network,water and public health,59,background food-water stress,0.22206,0.27931,1.0,0.80843,1.0
SYS002,Urban Drinking Water and Sanitation Network,water and public health,60,background food-water stress,0.22081,0.27922,1.0,0.80905,1.0
SYS002,Urban Drinking Water and Sanitation Network,water and public health,61,background food-water stress,0.22336,0.27913,1.0,0.80972,1.0
SYS002,Urban Drinking Water and Sanitation Network,water and public health,62,background food-water stress,0.21782,0.27904,1.0,0.8103,1.0
SYS002,Urban Drinking Water and Sanitation Network,water and public health,63,background food-water stress,0.21802,0.27896,1.0,0.81087,1.0
SYS002,Urban Drinking Water and Sanitation Network,water and public health,64,background food-water stress,0.22008,0.27888,1.0,0.81149,1.0
SYS002,Urban Drinking Water and Sanitation Network,water and public health,65,background food-water stress,0.22278,0.27879,1.0,0.81215,1.0
SYS002,Urban Drinking Water and Sanitation Network,water and public health,66,background food-water stress,0.22651,0.2787,1.0,0.81288,1.0
SYS002,Urban Drinking Water and Sanitation Network,water and public health,67,background food-water stress,0.22536,0.2786,1.0,0.8136,1.0
SYS002,Urban Drinking Water and Sanitation Network,water and public health,68,background food-water stress,0.22691,0.2785,1.0,0.81434,1.0
SYS002,Urban Drinking Water and Sanitation Network,water and public health,69,background food-water stress,0.22426,0.27839,1.0,0.81504,1.0
SYS002,Urban Drinking Water and Sanitation Network,water and public health,70,Compound heat drought market and power disruption,0.8262,0.27829,0.94158,0.82657,0.79289
SYS002,Urban Drinking Water and Sanitation Network,water and public health,71,background food-water stress,0.22865,0.27668,1.0,0.82736,1.0
SYS002,Urban Drinking Water and Sanitation Network,water and public health,72,background food-water stress,0.22914,0.27657,1.0,0.82817,1.0
SYS002,Urban Drinking Water and Sanitation Network,water and public health,73,background food-water stress,0.22922,0.27646,1.0,0.82898,1.0
SYS002,Urban Drinking Water and Sanitation Network,water and public health,74,background food-water stress,0.2265,0.27634,1.0,0.82974,1.0
SYS002,Urban Drinking Water and Sanitation Network,water and public health,75,background food-water stress,0.23132,0.27624,1.0,0.83059,1.0
SYS002,Urban Drinking Water and Sanitation Network,water and public health,76,background food-water stress,0.23274,0.27612,1.0,0.83146,1.0
SYS002,Urban Drinking Water and Sanitation Network,water and public health,77,background food-water stress,0.23189,0.27599,1.0,0.83233,1.0
SYS002,Urban Drinking Water and Sanitation Network,water and public health,78,background food-water stress,0.23685,0.27587,1.0,0.83328,1.0
SYS002,Urban Drinking Water and Sanitation Network,water and public health,79,background food-water stress,0.23492,0.27574,1.0,0.8342,1.0
SYS003,Regional Food Storage and Distribution System,food logistics,0,background food-water stress,0.17898,0.2284,0.97991,0.72048,1.0
SYS003,Regional Food Storage and Distribution System,food logistics,1,background food-water stress,0.18025,0.22833,1.0,0.72099,1.0
SYS003,Regional Food Storage and Distribution System,food logistics,2,background food-water stress,0.18147,0.22826,1.0,0.72151,1.0
SYS003,Regional Food Storage and Distribution System,food logistics,3,background food-water stress,0.18318,0.22819,1.0,0.72207,1.0
SYS003,Regional Food Storage and Distribution System,food logistics,4,background food-water stress,0.18009,0.22811,1.0,0.72258,1.0
SYS003,Regional Food Storage and Distribution System,food logistics,5,background food-water stress,0.18404,0.22804,1.0,0.72315,1.0
SYS003,Regional Food Storage and Distribution System,food logistics,6,background food-water stress,0.18747,0.22796,1.0,0.72379,1.0
SYS003,Regional Food Storage and Distribution System,food logistics,7,background food-water stress,0.18198,0.22787,1.0,0.72433,1.0
SYS003,Regional Food Storage and Distribution System,food logistics,8,background food-water stress,0.18455,0.22779,1.0,0.72492,1.0
SYS003,Regional Food Storage and Distribution System,food logistics,9,background food-water stress,0.18729,0.22771,1.0,0.72556,1.0
SYS003,Regional Food Storage and Distribution System,food logistics,10,background food-water stress,0.18572,0.22762,1.0,0.72617,1.0
SYS003,Regional Food Storage and Distribution System,food logistics,11,background food-water stress,0.18516,0.22754,1.0,0.72677,1.0
SYS003,Regional Food Storage and Distribution System,food logistics,12,Multi-season drought and groundwater stress,0.71641,0.22745,0.95665,0.73694,0.81843
SYS003,Regional Food Storage and Distribution System,food logistics,13,background food-water stress,0.18753,0.22603,1.0,0.7376,1.0
SYS003,Regional Food Storage and Distribution System,food logistics,14,background food-water stress,0.19132,0.22594,1.0,0.73834,1.0
SYS003,Regional Food Storage and Distribution System,food logistics,15,background food-water stress,0.18613,0.22583,1.0,0.73898,1.0
SYS003,Regional Food Storage and Distribution System,food logistics,16,background food-water stress,0.1908,0.22574,1.0,0.7397,1.0
SYS003,Regional Food Storage and Distribution System,food logistics,17,background food-water stress,0.19281,0.22564,1.0,0.74046,1.0
SYS003,Regional Food Storage and Distribution System,food logistics,18,background food-water stress,0.19083,0.22554,1.0,0.74119,1.0
SYS003,Regional Food Storage and Distribution System,food logistics,19,background food-water stress,0.19289,0.22543,1.0,0.74196,1.0
SYS003,Regional Food Storage and Distribution System,food logistics,20,background food-water stress,0.19181,0.22533,1.0,0.74271,1.0
SYS003,Regional Food Storage and Distribution System,food logistics,21,background food-water stress,0.19401,0.22522,1.0,0.7435,1.0
SYS003,Regional Food Storage and Distribution System,food logistics,22,background food-water stress,0.19421,0.22511,1.0,0.74429,1.0
SYS003,Regional Food Storage and Distribution System,food logistics,23,background food-water stress,0.19816,0.225,1.0,0.74516,1.0
SYS003,Regional Food Storage and Distribution System,food logistics,24,background food-water stress,0.1982,0.22488,1.0,0.74603,1.0
SYS003,Regional Food Storage and Distribution System,food logistics,25,background food-water stress,0.19853,0.22476,1.0,0.7469,1.0
SYS003,Regional Food Storage and Distribution System,food logistics,26,background food-water stress,0.19707,0.22463,1.0,0.74776,1.0
SYS003,Regional Food Storage and Distribution System,food logistics,27,Extreme flood with sanitation and crop damage,0.72853,0.22451,0.95086,0.75818,0.8188
SYS003,Regional Food Storage and Distribution System,food logistics,28,background food-water stress,0.20229,0.22306,1.0,0.75914,1.0
SYS003,Regional Food Storage and Distribution System,food logistics,29,background food-water stress,0.2004,0.22292,1.0,0.76007,1.0
SYS003,Regional Food Storage and Distribution System,food logistics,30,background food-water stress,0.2033,0.22279,1.0,0.76106,1.0
SYS003,Regional Food Storage and Distribution System,food logistics,31,background food-water stress,0.20177,0.22265,1.0,0.76202,1.0
SYS003,Regional Food Storage and Distribution System,food logistics,32,background food-water stress,0.20445,0.22252,1.0,0.76303,1.0
SYS003,Regional Food Storage and Distribution System,food logistics,33,background food-water stress,0.20408,0.22238,1.0,0.76403,1.0
SYS003,Regional Food Storage and Distribution System,food logistics,34,background food-water stress,0.20338,0.22224,1.0,0.76503,1.0
SYS003,Regional Food Storage and Distribution System,food logistics,35,background food-water stress,0.20289,0.2221,1.0,0.76601,1.0
SYS003,Regional Food Storage and Distribution System,food logistics,36,background food-water stress,0.20552,0.22196,1.0,0.76705,1.0
SYS003,Regional Food Storage and Distribution System,food logistics,37,background food-water stress,0.20418,0.22181,1.0,0.76806,1.0
SYS003,Regional Food Storage and Distribution System,food logistics,38,background food-water stress,0.20609,0.22167,1.0,0.76911,1.0
SYS003,Regional Food Storage and Distribution System,food logistics,39,background food-water stress,0.20646,0.22152,1.0,0.77017,1.0
SYS003,Regional Food Storage and Distribution System,food logistics,40,background food-water stress,0.20423,0.22138,1.0,0.77119,1.0
SYS003,Regional Food Storage and Distribution System,food logistics,41,background food-water stress,0.20478,0.22123,1.0,0.77222,1.0
SYS003,Regional Food Storage and Distribution System,food logistics,42,Food price spike and input shortage,0.63707,0.22109,0.98001,0.78104,0.83293
SYS003,Regional Food Storage and Distribution System,food logistics,43,background food-water stress,0.20509,0.21986,1.0,0.78209,1.0
SYS003,Regional Food Storage and Distribution System,food logistics,44,background food-water stress,0.20709,0.21971,1.0,0.78318,1.0
SYS003,Regional Food Storage and Distribution System,food logistics,45,background food-water stress,0.2061,0.21955,1.0,0.78426,1.0
SYS003,Regional Food Storage and Distribution System,food logistics,46,background food-water stress,0.20952,0.2194,1.0,0.78539,1.0
SYS003,Regional Food Storage and Distribution System,food logistics,47,background food-water stress,0.2126,0.21924,1.0,0.78659,1.0
SYS003,Regional Food Storage and Distribution System,food logistics,48,background food-water stress,0.20898,0.21908,1.0,0.78772,1.0
SYS003,Regional Food Storage and Distribution System,food logistics,49,background food-water stress,0.21327,0.21892,1.0,0.78893,1.0
SYS003,Regional Food Storage and Distribution System,food logistics,50,background food-water stress,0.21167,0.21875,1.0,0.79012,1.0
SYS003,Regional Food Storage and Distribution System,food logistics,51,background food-water stress,0.21813,0.21858,1.0,0.79142,1.0
SYS003,Regional Food Storage and Distribution System,food logistics,52,background food-water stress,0.2168,0.2184,1.0,0.7927,1.0
SYS003,Regional Food Storage and Distribution System,food logistics,53,background food-water stress,0.21484,0.21822,1.0,0.79395,1.0
SYS003,Regional Food Storage and Distribution System,food logistics,54,background food-water stress,0.21185,0.21805,1.0,0.79515,1.0
SYS003,Regional Food Storage and Distribution System,food logistics,55,background food-water stress,0.218,0.21788,1.0,0.79646,1.0
SYS003,Regional Food Storage and Distribution System,food logistics,56,Water-quality contamination event,0.63918,0.2177,0.97737,0.80535,0.82522
SYS003,Regional Food Storage and Distribution System,food logistics,57,background food-water stress,0.22397,0.21645,1.0,0.80679,1.0
SYS003,Regional Food Storage and Distribution System,food logistics,58,background food-water stress,0.22215,0.21625,1.0,0.80819,1.0
SYS003,Regional Food Storage and Distribution System,food logistics,59,background food-water stress,0.21619,0.21605,1.0,0.80949,1.0
SYS003,Regional Food Storage and Distribution System,food logistics,60,background food-water stress,0.22035,0.21587,1.0,0.81086,1.0
SYS003,Regional Food Storage and Distribution System,food logistics,61,background food-water stress,0.22555,0.21568,1.0,0.81234,1.0
SYS003,Regional Food Storage and Distribution System,food logistics,62,background food-water stress,0.22647,0.21547,1.0,0.81383,1.0
SYS003,Regional Food Storage and Distribution System,food logistics,63,background food-water stress,0.22384,0.21526,1.0,0.81527,1.0
SYS003,Regional Food Storage and Distribution System,food logistics,64,background food-water stress,0.2245,0.21506,1.0,0.81673,1.0
SYS003,Regional Food Storage and Distribution System,food logistics,65,background food-water stress,0.22754,0.21486,1.0,0.81825,1.0
SYS003,Regional Food Storage and Distribution System,food logistics,66,background food-water stress,0.22475,0.21465,1.0,0.81972,1.0
SYS003,Regional Food Storage and Distribution System,food logistics,67,background food-water stress,0.2267,0.21444,1.0,0.82123,1.0
SYS003,Regional Food Storage and Distribution System,food logistics,68,background food-water stress,0.22411,0.21423,1.0,0.82269,1.0
SYS003,Regional Food Storage and Distribution System,food logistics,69,background food-water stress,0.22773,0.21402,1.0,0.82422,1.0
SYS003,Regional Food Storage and Distribution System,food logistics,70,Compound heat drought market and power disruption,0.82731,0.21381,0.9112,0.83655,0.75914
