 time,functional_output,redundancy,response_diversity,disturbance,resilience_margin,threshold_flag
29, 2.3998, 3.9581, 0.0550, 0.1718, 2.9806,viable margin
30, 2.4007, 3.9572, 0.0551, 0.1690, 2.9844,viable margin
31, 2.4017, 3.9564, 0.0552, 0.1663, 2.9881,viable margin
32, 2.4028, 3.9556, 0.0553, 0.1637, 2.9919,viable margin
33, 2.4039, 3.9549, 0.0554, 0.1613, 2.9956,viable margin
34, 2.4052, 3.9542, 0.0555, 0.1589, 2.9992,viable margin
35, 2.4065, 3.9535, 0.0556, 0.1568, 3.0028,viable margin
36, 2.4078, 3.9529, 0.0558, 0.1549, 3.0061,viable margin
37, 2.4092, 3.9523, 0.0559, 0.1532, 3.0093,viable margin
38, 2.4107, 3.9517, 0.0561, 0.1517, 3.0124,viable margin
39, 2.4122, 3.9511, 0.0562, 0.1506, 3.0151,viable margin
40, 2.4137, 3.9506, 0.0564, 0.1497, 3.0176,viable margin
41, 2.4152, 3.9501, 0.0565, 0.1491, 3.0199,viable margin
42, 2.4167, 3.9496, 0.0567, 0.1488, 3.0218,viable margin
43, 2.4183, 3.9490, 0.0568, 0.1489, 3.0234,viable margin
44, 2.4198, 3.9485, 0.0570, 0.1492, 3.0248,viable margin
45, 2.4213, 3.9480, 0.0571, 0.1498, 3.0257,viable margin
46, 2.4228, 3.9474, 0.0573, 0.1508, 3.0264,viable margin
47, 2.4146, 3.9411, 0.0565, 0.4720, 2.6959,viable margin
48, 2.4160, 3.9405, 0.0566, 0.1535, 3.0159,viable margin
49, 2.4174, 3.9399, 0.0567, 0.1552, 3.0156,viable margin
50, 2.4186, 3.9392, 0.0569, 0.1572, 3.0150,viable margin
51, 2.4199, 3.9385, 0.0570, 0.1593, 3.0141,viable margin
52, 2.4210, 3.9377, 0.0571, 0.1617, 3.0130,viable margin
53, 2.4221, 3.9369, 0.0572, 0.1642, 3.0116,viable margin
54, 2.4231, 3.9361, 0.0573, 0.1668, 3.0101,viable margin
55, 2.4240, 3.9352, 0.0574, 0.1695, 3.0083,viable margin
56, 2.4248, 3.9343, 0.0575, 0.1723, 3.0064,viable margin
57, 2.4256, 3.9333, 0.0576, 0.1751, 3.0044,viable margin
58, 2.4262, 3.9322, 0.0576, 0.1778, 3.0023,viable margin
59, 2.4268, 3.9311, 0.0577, 0.1805, 3.0002,viable margin
60, 2.4273, 3.9300, 0.0577, 0.1832, 2.9981,viable margin
61, 2.4278, 3.9288, 0.0578, 0.1857, 2.9960,viable margin
62, 2.4281, 3.9276, 0.0578, 0.1880, 2.9939,viable margin
63, 2.4284, 3.9263, 0.0578, 0.1902, 2.9920,viable margin
64, 2.4286, 3.9250, 0.0579, 0.1922, 2.9902,viable margin
65, 2.4288, 3.9237, 0.0579, 0.1940, 2.9885,viable margin
66, 2.4290, 3.9223, 0.0579, 0.1955, 2.9871,viable margin
67, 2.4291, 3.9210, 0.0579, 0.1967, 2.9859,viable margin
68, 2.4291, 3.9196, 0.0579, 0.1977, 2.9849,viable margin
69, 2.4292, 3.9182, 0.0579, 0.1984, 2.9842,viable margin
70, 2.4196, 3.9110, 0.0570, 0.5187, 2.6530,viable margin
71, 2.4197, 3.9096, 0.0570, 0.1988, 2.9729,viable margin
72, 2.4197, 3.9081, 0.0570, 0.1985, 2.9731,viable margin
73, 2.4198, 3.9067, 0.0570, 0.1980, 2.9736,viable margin
74, 2.4198, 3.9054, 0.0570, 0.1971, 2.9745,viable margin
75, 2.4200, 3.9040, 0.0570, 0.1960, 2.9757,viable margin
76, 2.4201, 3.9026, 0.0570, 0.1946, 2.9772,viable margin
77, 2.4203, 3.9013, 0.0570, 0.1929, 2.9791,viable margin
78, 2.4206, 3.9001, 0.0571, 0.1910, 2.9812,viable margin
79, 2.4209, 3.8988, 0.0571, 0.1889, 2.9836,viable margin
80, 2.4214, 3.8976, 0.0571, 0.1866, 2.9863,viable margin
81, 2.4218, 3.8965, 0.0572, 0.1841, 2.9892,viable margin
82, 2.4224, 3.8954, 0.0572, 0.1815, 2.9924,viable margin
83, 2.4230, 3.8943, 0.0573, 0.1788, 2.9957,viable margin
84, 2.4237, 3.8933, 0.0574, 0.1761, 2.9992,viable margin
85, 2.4245, 3.8923, 0.0575, 0.1733, 3.0028,viable margin
86, 2.4254, 3.8914, 0.0575, 0.1705, 3.0064,viable margin
87, 2.4264, 3.8906, 0.0576, 0.1678, 3.0102,viable margin
88, 2.4178, 3.8840, 0.0568, 0.4852, 2.6831,viable margin
89, 2.4190, 3.8832, 0.0569, 0.1626, 3.0068,viable margin
90, 2.4201, 3.8825, 0.0570, 0.1602, 3.0105,viable margin
91, 2.4214, 3.8818, 0.0571, 0.1580, 3.0141,viable margin
92, 2.4227, 3.8812, 0.0573, 0.1559, 3.0176,viable margin
93, 2.4241, 3.8806, 0.0574, 0.1541, 3.0209,viable margin
94, 2.4255, 3.8800, 0.0576, 0.1525, 3.0240,viable margin
95, 2.4270, 3.8794, 0.0577, 0.1512, 3.0269,viable margin
96, 2.4285, 3.8789, 0.0578, 0.1501, 3.0295,viable margin
97, 2.4300, 3.8783, 0.0580, 0.1494, 3.0319,viable margin
98, 2.4315, 3.8778, 0.0582, 0.1489, 3.0340,viable margin
99, 2.4331, 3.8773, 0.0583, 0.1488, 3.0358,viable margin
100, 2.4346, 3.8768, 0.0585, 0.1490, 3.0373,viable margin
