simulation_id,strategy_id,strategy,rank,adjusted_value,abandonment_risk
12,ROA006,Drainage Repair and Social Protection Package,2,7.64248,0.32286
12,ROA008,Mutual Aid Network with Public Capacity Agreement,3,7.12625,0.53768
12,ROA005,Managed Retreat with Long-Term Support,4,6.87224,0.73437
12,ROA003,Community-Led Cooling and Care Network,5,6.86735,0.58521
12,ROA004,Flood Defense for High-Value Assets,6,2.87335,2.92594
12,ROA001,Household Preparedness Campaign,7,-0.0123,4.23124
12,ROA007,Risk Mapping Dashboard Without Funding,8,-1.79414,5.17986
13,ROA005,Managed Retreat with Long-Term Support,1,8.23671,0.26962
13,ROA006,Drainage Repair and Social Protection Package,2,7.80049,0.45926
13,ROA008,Mutual Aid Network with Public Capacity Agreement,3,7.31506,0.4332
13,ROA002,Public Housing Climate Retrofit,4,7.05754,0.58477
13,ROA003,Community-Led Cooling and Care Network,5,6.06741,1.1546
13,ROA004,Flood Defense for High-Value Assets,6,2.80385,2.94275
13,ROA007,Risk Mapping Dashboard Without Funding,7,-0.7865,4.61634
13,ROA001,Household Preparedness Campaign,8,-1.04425,4.5289
14,ROA005,Managed Retreat with Long-Term Support,1,7.99697,0.18877
14,ROA002,Public Housing Climate Retrofit,2,7.6328,0.36673
14,ROA008,Mutual Aid Network with Public Capacity Agreement,3,7.58248,0.37646
14,ROA006,Drainage Repair and Social Protection Package,4,7.2071,0.42637
14,ROA003,Community-Led Cooling and Care Network,5,6.64156,0.57873
14,ROA004,Flood Defense for High-Value Assets,6,1.33291,3.69774
14,ROA007,Risk Mapping Dashboard Without Funding,7,-1.0153,4.78703
14,ROA001,Household Preparedness Campaign,8,-1.35139,4.88368
15,ROA008,Mutual Aid Network with Public Capacity Agreement,1,7.68725,0.45722
15,ROA003,Community-Led Cooling and Care Network,2,7.43869,0.55098
15,ROA005,Managed Retreat with Long-Term Support,3,7.34504,0.5633
15,ROA006,Drainage Repair and Social Protection Package,4,7.31789,0.6079
15,ROA002,Public Housing Climate Retrofit,5,7.07559,0.41835
15,ROA004,Flood Defense for High-Value Assets,6,2.22894,3.21493
15,ROA001,Household Preparedness Campaign,7,-1.53565,5.03628
15,ROA007,Risk Mapping Dashboard Without Funding,8,-2.05983,5.40761
16,ROA006,Drainage Repair and Social Protection Package,1,7.77094,0.30083
16,ROA002,Public Housing Climate Retrofit,2,7.7086,0.40463
16,ROA008,Mutual Aid Network with Public Capacity Agreement,3,7.36194,0.29987
16,ROA005,Managed Retreat with Long-Term Support,4,7.20387,0.55956
16,ROA003,Community-Led Cooling and Care Network,5,5.99784,0.98249
16,ROA004,Flood Defense for High-Value Assets,6,2.16394,3.2928
16,ROA001,Household Preparedness Campaign,7,0.42469,3.89051
16,ROA007,Risk Mapping Dashboard Without Funding,8,-2.2983,5.3868
17,ROA006,Drainage Repair and Social Protection Package,1,7.50058,0.45226
17,ROA002,Public Housing Climate Retrofit,2,7.28309,0.39862
17,ROA008,Mutual Aid Network with Public Capacity Agreement,3,7.12712,0.47799
17,ROA005,Managed Retreat with Long-Term Support,4,6.99431,0.83202
17,ROA003,Community-Led Cooling and Care Network,5,5.60524,1.16123
17,ROA004,Flood Defense for High-Value Assets,6,3.27764,2.60708
17,ROA001,Household Preparedness Campaign,7,-0.8629,4.55846
17,ROA007,Risk Mapping Dashboard Without Funding,8,-1.42057,4.89875
18,ROA008,Mutual Aid Network with Public Capacity Agreement,1,7.60216,0.4248
18,ROA005,Managed Retreat with Long-Term Support,2,7.57593,0.42091
18,ROA006,Drainage Repair and Social Protection Package,3,7.43102,0.41488
18,ROA002,Public Housing Climate Retrofit,4,7.29039,0.39542
18,ROA003,Community-Led Cooling and Care Network,5,6.83811,0.69847
18,ROA004,Flood Defense for High-Value Assets,6,2.26309,3.29347
18,ROA001,Household Preparedness Campaign,7,-1.41921,4.87028
18,ROA007,Risk Mapping Dashboard Without Funding,8,-1.82947,5.23334
19,ROA008,Mutual Aid Network with Public Capacity Agreement,1,7.4983,0.43559
19,ROA006,Drainage Repair and Social Protection Package,2,7.35403,0.58864
19,ROA005,Managed Retreat with Long-Term Support,3,7.19806,0.47886
19,ROA002,Public Housing Climate Retrofit,4,7.1101,0.46123
19,ROA003,Community-Led Cooling and Care Network,5,6.19011,0.89443
19,ROA004,Flood Defense for High-Value Assets,6,3.03475,3.00012
19,ROA007,Risk Mapping Dashboard Without Funding,7,-0.94683,4.63752
19,ROA001,Household Preparedness Campaign,8,-0.96493,4.55123
20,ROA002,Public Housing Climate Retrofit,1,7.85319,0.30409
20,ROA005,Managed Retreat with Long-Term Support,2,7.80671,0.52205
20,ROA006,Drainage Repair and Social Protection Package,3,7.48928,0.49293
20,ROA008,Mutual Aid Network with Public Capacity Agreement,4,6.97431,0.46479
20,ROA003,Community-Led Cooling and Care Network,5,6.29083,0.98645
20,ROA004,Flood Defense for High-Value Assets,6,1.92791,3.44827
20,ROA001,Household Preparedness Campaign,7,-1.34278,4.85522
20,ROA007,Risk Mapping Dashboard Without Funding,8,-1.77655,5.22972
21,ROA005,Managed Retreat with Long-Term Support,1,8.05409,0.31856
21,ROA006,Drainage Repair and Social Protection Package,2,7.83673,0.4385
21,ROA002,Public Housing Climate Retrofit,3,7.63573,0.49146
21,ROA003,Community-Led Cooling and Care Network,4,6.98475,0.55946
21,ROA008,Mutual Aid Network with Public Capacity Agreement,5,6.9311,0.63763
21,ROA004,Flood Defense for High-Value Assets,6,2.84112,2.77488
21,ROA001,Household Preparedness Campaign,7,-0.47829,4.33451
21,ROA007,Risk Mapping Dashboard Without Funding,8,-1.52799,5.03765
22,ROA006,Drainage Repair and Social Protection Package,1,8.17384,0.14
22,ROA005,Managed Retreat with Long-Term Support,2,7.34608,0.54064
22,ROA008,Mutual Aid Network with Public Capacity Agreement,3,7.27806,0.5482
22,ROA002,Public Housing Climate Retrofit,4,7.20931,0.49848
22,ROA003,Community-Led Cooling and Care Network,5,6.16679,0.8186
22,ROA004,Flood Defense for High-Value Assets,6,2.11879,3.32805
22,ROA001,Household Preparedness Campaign,7,-0.52518,4.40537
22,ROA007,Risk Mapping Dashboard Without Funding,8,-1.59799,5.05394
23,ROA005,Managed Retreat with Long-Term Support,1,7.95796,0.30156
23,ROA002,Public Housing Climate Retrofit,2,7.78235,0.27708
23,ROA006,Drainage Repair and Social Protection Package,3,7.00736,0.51241
23,ROA008,Mutual Aid Network with Public Capacity Agreement,4,7.00408,0.47611
23,ROA003,Community-Led Cooling and Care Network,5,6.58968,0.76766
23,ROA004,Flood Defense for High-Value Assets,6,2.47261,3.08204
23,ROA001,Household Preparedness Campaign,7,-1.39889,4.70316
23,ROA007,Risk Mapping Dashboard Without Funding,8,-1.4558,4.97656
24,ROA005,Managed Retreat with Long-Term Support,1,7.7543,0.30959
24,ROA006,Drainage Repair and Social Protection Package,2,7.59887,0.49609
24,ROA008,Mutual Aid Network with Public Capacity Agreement,3,7.50336,0.35495
24,ROA003,Community-Led Cooling and Care Network,4,7.39731,0.40813
24,ROA002,Public Housing Climate Retrofit,5,7.08035,0.54255
24,ROA004,Flood Defense for High-Value Assets,6,2.94011,2.81577
24,ROA001,Household Preparedness Campaign,7,-0.45727,4.38062
24,ROA007,Risk Mapping Dashboard Without Funding,8,-1.02901,4.79941
25,ROA006,Drainage Repair and Social Protection Package,1,7.78951,0.37983
25,ROA008,Mutual Aid Network with Public Capacity Agreement,2,7.38772,0.41265
25,ROA005,Managed Retreat with Long-Term Support,3,7.33091,0.52178
25,ROA002,Public Housing Climate Retrofit,4,7.16286,0.40518
25,ROA003,Community-Led Cooling and Care Network,5,6.50451,0.65836
25,ROA004,Flood Defense for High-Value Assets,6,2.79338,3.02254
25,ROA001,Household Preparedness Campaign,7,-1.39379,4.78381
25,ROA007,Risk Mapping Dashboard Without Funding,8,-1.39923,4.92342
26,ROA006,Drainage Repair and Social Protection Package,1,8.213,0.24984
26,ROA005,Managed Retreat with Long-Term Support,2,7.5771,0.35154
26,ROA002,Public Housing Climate Retrofit,3,7.17953,0.42795
26,ROA008,Mutual Aid Network with Public Capacity Agreement,4,6.66892,0.66011
26,ROA003,Community-Led Cooling and Care Network,5,6.3518,0.804
26,ROA004,Flood Defense for High-Value Assets,6,2.83767,3.00715
26,ROA007,Risk Mapping Dashboard Without Funding,7,-0.87499,4.65761
26,ROA001,Household Preparedness Campaign,8,-1.36485,4.59546
27,ROA002,Public Housing Climate Retrofit,1,7.95334,0.26932
27,ROA006,Drainage Repair and Social Protection Package,2,7.72427,0.51484
27,ROA005,Managed Retreat with Long-Term Support,3,7.35137,0.4488
27,ROA008,Mutual Aid Network with Public Capacity Agreement,4,7.27197,0.35296
27,ROA003,Community-Led Cooling and Care Network,5,6.7678,0.72013
27,ROA004,Flood Defense for High-Value Assets,6,3.21843,2.64579
27,ROA001,Household Preparedness Campaign,7,-1.42232,4.87367
27,ROA007,Risk Mapping Dashboard Without Funding,8,-1.59554,5.184
28,ROA005,Managed Retreat with Long-Term Support,1,7.72931,0.33517
28,ROA006,Drainage Repair and Social Protection Package,2,7.71065,0.57637
28,ROA008,Mutual Aid Network with Public Capacity Agreement,3,7.45543,0.44495
28,ROA002,Public Housing Climate Retrofit,4,7.37762,0.39311
28,ROA003,Community-Led Cooling and Care Network,5,5.76972,1.13362
28,ROA004,Flood Defense for High-Value Assets,6,2.8806,2.76109
28,ROA007,Risk Mapping Dashboard Without Funding,7,-0.79409,4.56702
28,ROA001,Household Preparedness Campaign,8,-1.58049,4.77913
29,ROA002,Public Housing Climate Retrofit,1,7.66553,0.39692
29,ROA006,Drainage Repair and Social Protection Package,2,7.55994,0.40226
29,ROA005,Managed Retreat with Long-Term Support,3,7.55925,0.31444
29,ROA008,Mutual Aid Network with Public Capacity Agreement,4,7.38504,0.49044
29,ROA003,Community-Led Cooling and Care Network,5,6.98596,0.55106
29,ROA004,Flood Defense for High-Value Assets,6,2.79104,2.89793
29,ROA007,Risk Mapping Dashboard Without Funding,7,-0.67185,4.47144
29,ROA001,Household Preparedness Campaign,8,-1.2742,4.83836
30,ROA006,Drainage Repair and Social Protection Package,1,7.7668,0.22472
30,ROA005,Managed Retreat with Long-Term Support,2,7.62276,0.285
30,ROA002,Public Housing Climate Retrofit,3,6.97533,0.76933
30,ROA008,Mutual Aid Network with Public Capacity Agreement,4,6.96851,0.63988
30,ROA003,Community-Led Cooling and Care Network,5,6.74497,0.61758
30,ROA004,Flood Defense for High-Value Assets,6,2.53726,3.04771
30,ROA007,Risk Mapping Dashboard Without Funding,7,-0.79252,4.57187
30,ROA001,Household Preparedness Campaign,8,-1.25628,4.92567
31,ROA005,Managed Retreat with Long-Term Support,1,7.49895,0.36472
31,ROA002,Public Housing Climate Retrofit,2,7.33371,0.43372
31,ROA003,Community-Led Cooling and Care Network,3,7.30973,0.57295
31,ROA008,Mutual Aid Network with Public Capacity Agreement,4,6.97431,0.48582
31,ROA006,Drainage Repair and Social Protection Package,5,6.68374,0.7917
31,ROA004,Flood Defense for High-Value Assets,6,1.71552,3.60009
31,ROA001,Household Preparedness Campaign,7,-0.33797,4.46491
31,ROA007,Risk Mapping Dashboard Without Funding,8,-2.16677,5.31926
32,ROA002,Public Housing Climate Retrofit,1,7.79244,0.31607
32,ROA005,Managed Retreat with Long-Term Support,2,7.74507,0.28352
32,ROA003,Community-Led Cooling and Care Network,3,7.15505,0.45689
32,ROA006,Drainage Repair and Social Protection Package,4,6.97379,0.6513
32,ROA008,Mutual Aid Network with Public Capacity Agreement,5,6.59473,0.76157
32,ROA004,Flood Defense for High-Value Assets,6,2.54215,3.1643
32,ROA001,Household Preparedness Campaign,7,0.2322,3.8468
32,ROA007,Risk Mapping Dashboard Without Funding,8,-1.55608,5.0154
33,ROA008,Mutual Aid Network with Public Capacity Agreement,1,7.94675,0.3215
33,ROA006,Drainage Repair and Social Protection Package,2,7.9217,0.22605
33,ROA002,Public Housing Climate Retrofit,3,7.76446,0.54497
33,ROA005,Managed Retreat with Long-Term Support,4,6.90142,0.57234
33,ROA003,Community-Led Cooling and Care Network,5,6.20445,0.94007
33,ROA004,Flood Defense for High-Value Assets,6,2.33042,3.23888
33,ROA001,Household Preparedness Campaign,7,-0.76718,4.48656
33,ROA007,Risk Mapping Dashboard Without Funding,8,-0.93444,4.74185
34,ROA002,Public Housing Climate Retrofit,1,7.89987,0.376
34,ROA005,Managed Retreat with Long-Term Support,2,7.37892,0.47991
34,ROA008,Mutual Aid Network with Public Capacity Agreement,3,7.36334,0.56172
34,ROA006,Drainage Repair and Social Protection Package,4,7.32148,0.42688
34,ROA003,Community-Led Cooling and Care Network,5,6.40102,0.90717
34,ROA004,Flood Defense for High-Value Assets,6,2.95277,2.82209
34,ROA007,Risk Mapping Dashboard Without Funding,7,-1.12664,4.74511
34,ROA001,Household Preparedness Campaign,8,-1.41929,4.85615
35,ROA005,Managed Retreat with Long-Term Support,1,8.10983,0.29616
35,ROA006,Drainage Repair and Social Protection Package,2,7.95505,0.30026
35,ROA002,Public Housing Climate Retrofit,3,7.63698,0.42028
35,ROA003,Community-Led Cooling and Care Network,4,6.84541,0.5836
35,ROA008,Mutual Aid Network with Public Capacity Agreement,5,6.80286,0.66933
35,ROA004,Flood Defense for High-Value Assets,6,2.74939,2.92812
35,ROA001,Household Preparedness Campaign,7,-1.14582,4.89323
35,ROA007,Risk Mapping Dashboard Without Funding,8,-1.72443,5.07278
36,ROA006,Drainage Repair and Social Protection Package,1,7.9993,0.32305
36,ROA005,Managed Retreat with Long-Term Support,2,7.24481,0.5312
36,ROA008,Mutual Aid Network with Public Capacity Agreement,3,6.99632,0.6096
36,ROA002,Public Housing Climate Retrofit,4,6.88224,0.59016
36,ROA003,Community-Led Cooling and Care Network,5,6.6112,0.68051
36,ROA004,Flood Defense for High-Value Assets,6,2.89391,2.87133
36,ROA001,Household Preparedness Campaign,7,-0.75485,4.52738
36,ROA007,Risk Mapping Dashboard Without Funding,8,-1.60746,5.02977
37,ROA006,Drainage Repair and Social Protection Package,1,7.78635,0.42488
37,ROA005,Managed Retreat with Long-Term Support,2,7.53222,0.51158
37,ROA008,Mutual Aid Network with Public Capacity Agreement,3,7.29962,0.43731
37,ROA002,Public Housing Climate Retrofit,4,7.16453,0.42195
37,ROA003,Community-Led Cooling and Care Network,5,6.94094,0.5158
37,ROA004,Flood Defense for High-Value Assets,6,1.75689,3.44052
37,ROA001,Household Preparedness Campaign,7,-0.82201,4.47598
37,ROA007,Risk Mapping Dashboard Without Funding,8,-1.52182,4.984
38,ROA005,Managed Retreat with Long-Term Support,1,7.98812,0.33955
38,ROA002,Public Housing Climate Retrofit,2,7.57261,0.39453
38,ROA006,Drainage Repair and Social Protection Package,3,7.40984,0.52226
38,ROA008,Mutual Aid Network with Public Capacity Agreement,4,7.2582,0.53826
38,ROA003,Community-Led Cooling and Care Network,5,7.09711,0.47411
38,ROA004,Flood Defense for High-Value Assets,6,2.93795,3.01491
38,ROA007,Risk Mapping Dashboard Without Funding,7,-0.98513,4.7444
38,ROA001,Household Preparedness Campaign,8,-1.15275,4.75125
39,ROA006,Drainage Repair and Social Protection Package,1,7.82574,0.40826
39,ROA005,Managed Retreat with Long-Term Support,2,7.77415,0.33531
39,ROA002,Public Housing Climate Retrofit,3,7.49983,0.39935
39,ROA008,Mutual Aid Network with Public Capacity Agreement,4,7.12815,0.53777
39,ROA003,Community-Led Cooling and Care Network,5,6.9397,0.66573
39,ROA004,Flood Defense for High-Value Assets,6,2.58895,2.91525
39,ROA001,Household Preparedness Campaign,7,-1.47731,4.90596
39,ROA007,Risk Mapping Dashboard Without Funding,8,-1.68034,5.15768
40,ROA006,Drainage Repair and Social Protection Package,1,7.79324,0.27063
40,ROA005,Managed Retreat with Long-Term Support,2,7.44595,0.56094
40,ROA008,Mutual Aid Network with Public Capacity Agreement,3,7.25326,0.60952
40,ROA002,Public Housing Climate Retrofit,4,7.12696,0.78125
40,ROA003,Community-Led Cooling and Care Network,5,6.79769,0.76666
40,ROA004,Flood Defense for High-Value Assets,6,2.50805,3.08592
40,ROA001,Household Preparedness Campaign,7,-0.41866,4.27409
40,ROA007,Risk Mapping Dashboard Without Funding,8,-2.41334,5.42978
41,ROA006,Drainage Repair and Social Protection Package,1,7.73482,0.3277
41,ROA008,Mutual Aid Network with Public Capacity Agreement,2,7.53808,0.45885
41,ROA005,Managed Retreat with Long-Term Support,3,7.16402,0.462
41,ROA002,Public Housing Climate Retrofit,4,6.93551,0.73474
41,ROA003,Community-Led Cooling and Care Network,5,6.67908,0.52146
41,ROA004,Flood Defense for High-Value Assets,6,2.70948,3.08983
41,ROA001,Household Preparedness Campaign,7,-0.57458,4.37561
41,ROA007,Risk Mapping Dashboard Without Funding,8,-1.35409,5.0523
42,ROA006,Drainage Repair and Social Protection Package,1,7.56647,0.36796
42,ROA005,Managed Retreat with Long-Term Support,2,7.56038,0.4854
42,ROA008,Mutual Aid Network with Public Capacity Agreement,3,7.55723,0.42828
42,ROA002,Public Housing Climate Retrofit,4,7.52097,0.3817
42,ROA003,Community-Led Cooling and Care Network,5,6.4843,0.71901
42,ROA004,Flood Defense for High-Value Assets,6,2.72172,3.00045
42,ROA001,Household Preparedness Campaign,7,-0.46358,4.31524
42,ROA007,Risk Mapping Dashboard Without Funding,8,-0.66056,4.44455
43,ROA006,Drainage Repair and Social Protection Package,1,7.58348,0.4339
43,ROA008,Mutual Aid Network with Public Capacity Agreement,2,7.31867,0.45998
43,ROA005,Managed Retreat with Long-Term Support,3,7.30654,0.53496
43,ROA002,Public Housing Climate Retrofit,4,7.27223,0.54995
43,ROA003,Community-Led Cooling and Care Network,5,6.44253,0.83245
43,ROA004,Flood Defense for High-Value Assets,6,2.24771,3.30776
43,ROA007,Risk Mapping Dashboard Without Funding,7,-1.2858,4.7657
43,ROA001,Household Preparedness Campaign,8,-1.49406,4.92964
44,ROA005,Managed Retreat with Long-Term Support,1,7.77437,0.43219
44,ROA006,Drainage Repair and Social Protection Package,2,7.63494,0.3497
44,ROA002,Public Housing Climate Retrofit,3,7.47947,0.59443
44,ROA008,Mutual Aid Network with Public Capacity Agreement,4,7.3778,0.34686
44,ROA003,Community-Led Cooling and Care Network,5,6.38969,0.89677
44,ROA004,Flood Defense for High-Value Assets,6,3.24738,2.81861
44,ROA001,Household Preparedness Campaign,7,-0.77761,4.47036
44,ROA007,Risk Mapping Dashboard Without Funding,8,-0.83278,4.54849
45,ROA006,Drainage Repair and Social Protection Package,1,8.00626,0.39134
45,ROA005,Managed Retreat with Long-Term Support,2,7.79208,0.37063
45,ROA003,Community-Led Cooling and Care Network,3,7.2907,0.61123
45,ROA008,Mutual Aid Network with Public Capacity Agreement,4,6.9606,0.74579
45,ROA002,Public Housing Climate Retrofit,5,6.46299,0.96782
45,ROA004,Flood Defense for High-Value Assets,6,2.96347,2.86605
45,ROA001,Household Preparedness Campaign,7,-0.1429,4.16261
45,ROA007,Risk Mapping Dashboard Without Funding,8,-2.14627,5.50975
46,ROA005,Managed Retreat with Long-Term Support,1,8.45779,0.29351
46,ROA006,Drainage Repair and Social Protection Package,2,7.53602,0.46095
46,ROA003,Community-Led Cooling and Care Network,3,7.28374,0.45504
46,ROA008,Mutual Aid Network with Public Capacity Agreement,4,7.27465,0.53157
46,ROA002,Public Housing Climate Retrofit,5,6.89767,0.55242
46,ROA004,Flood Defense for High-Value Assets,6,1.74258,3.35006
46,ROA001,Household Preparedness Campaign,7,-0.42367,4.3955
46,ROA007,Risk Mapping Dashboard Without Funding,8,-2.19544,5.46127
47,ROA006,Drainage Repair and Social Protection Package,1,7.55223,0.49089
47,ROA008,Mutual Aid Network with Public Capacity Agreement,2,7.46306,0.29228
47,ROA005,Managed Retreat with Long-Term Support,3,7.34998,0.54688
47,ROA002,Public Housing Climate Retrofit,4,7.23673,0.42979
47,ROA003,Community-Led Cooling and Care Network,5,6.83828,0.60255
47,ROA004,Flood Defense for High-Value Assets,6,2.36405,3.24006
47,ROA001,Household Preparedness Campaign,7,-0.72085,4.46285
47,ROA007,Risk Mapping Dashboard Without Funding,8,-1.04324,4.7521
48,ROA005,Managed Retreat with Long-Term Support,1,7.49519,0.43271
48,ROA006,Drainage Repair and Social Protection Package,2,7.04913,0.55558
48,ROA002,Public Housing Climate Retrofit,3,7.0447,0.57897
48,ROA003,Community-Led Cooling and Care Network,4,7.00492,0.52942
48,ROA008,Mutual Aid Network with Public Capacity Agreement,5,6.78882,0.63971
48,ROA004,Flood Defense for High-Value Assets,6,2.28838,3.142
48,ROA007,Risk Mapping Dashboard Without Funding,7,-1.11006,4.7479
48,ROA001,Household Preparedness Campaign,8,-1.66652,5.00316
49,ROA006,Drainage Repair and Social Protection Package,1,7.6752,0.3929
49,ROA005,Managed Retreat with Long-Term Support,2,7.44465,0.50714
49,ROA002,Public Housing Climate Retrofit,3,7.40076,0.49432
49,ROA008,Mutual Aid Network with Public Capacity Agreement,4,6.88424,0.79707
49,ROA003,Community-Led Cooling and Care Network,5,6.36144,0.95616
