strategy_id,strategy,protective_effectiveness,material_support,accessible_recovery,governance_inclusion,transformation_potential,exposure_reduction,burden_shift,implementation_burden,critical_function,support_resilience_value,support_gap,recovery_gap,governance_gap,abandonment_risk,adjusted_value,scenario,diagnostic,rank
ROA001,Household Preparedness Campaign,5.8,3.2,4.1,4.5,4,3.8,6.8,2.6,encourages preparedness but offers limited material support or structural risk reduction,2.562,4.8,3.9000000000000004,3.5,4.53,-1.9680000000000004,Burden-sensitive,high abandonment-risk review needed,7
ROA007,Risk Mapping Dashboard Without Funding,6.2,2.8,3.1,4.2,4.6,3.5,6.5,2.7,improves visibility but lacks funding triggers repair authority and material support,2.4560000000000004,5.2,4.9,3.8,4.946000000000001,-2.49,Burden-sensitive,high abandonment-risk review needed,8
ROA005,Managed Retreat with Long-Term Support,8,8.7,8.9,8.4,8.8,8.9,2.9,4,reduces exposure through participatory relocation compensation housing continuity and long term support,8.389000000000001,0,0,0,0.406,7.983000000000001,Exposure-reduction,support-oriented resilience candidate,1
ROA006,Drainage Repair and Social Protection Package,8.5,8.6,8.7,8.5,8.4,8.7,2.7,3.9,combines infrastructure repair with aid access social protection and exposure reduction,8.314,0,0,0,0.37800000000000006,7.936,Exposure-reduction,support-oriented resilience candidate,2
ROA002,Public Housing Climate Retrofit,8.4,8.8,8.5,8.2,8.2,8.5,2.8,3.8,reduces heat flood energy and health burdens through public investment and tenant protection,8.172,0,0,0,0.392,7.78,Exposure-reduction,support-oriented resilience candidate,3
ROA008,Mutual Aid Network with Public Capacity Agreement,8,8.2,8.4,9.1,8,7.8,2.9,3.5,links local knowledge and mutual aid with public funding logistics legal support and accountability,7.861999999999999,0,0,0,0.42200000000000004,7.4399999999999995,Exposure-reduction,support-oriented resilience candidate,4
ROA003,Community-Led Cooling and Care Network,7.8,7.6,8,9,7.7,7.4,3.1,3.2,strengthens community care while requiring public backing and accessible services,7.509,0.40000000000000036,0,0,0.6100000000000001,6.899,Exposure-reduction,support-oriented resilience candidate,5
ROA004,Flood Defense for High-Value Assets,8.6,5.2,5.4,5,5.2,7.6,5.9,3.4,protects valuable infrastructure and property but may leave vulnerable residents with low support,6.1610000000000005,2.8,2.5999999999999996,3,3.038,3.1230000000000007,Exposure-reduction,high abandonment-risk review needed,6
ROA001,Household Preparedness Campaign,5.8,3.2,4.1,4.5,4,3.8,6.8,2.6,encourages preparedness but offers limited material support or structural risk reduction,3.796,4.8,3.9000000000000004,3.5,4.53,-0.7340000000000004,Exposure-reduction,high abandonment-risk review needed,7
ROA007,Risk Mapping Dashboard Without Funding,6.2,2.8,3.1,4.2,4.6,3.5,6.5,2.7,improves visibility but lacks funding triggers repair authority and material support,3.5720000000000005,5.2,4.9,3.8,4.946000000000001,-1.374,Exposure-reduction,high abandonment-risk review needed,8
ROA006,Drainage Repair and Social Protection Package,8.5,8.6,8.7,8.5,8.4,8.7,2.7,3.9,combines infrastructure repair with aid access social protection and exposure reduction,8.096000000000002,0,0,0,0.37800000000000006,7.718000000000002,Governance-first,support-oriented resilience candidate,1
ROA005,Managed Retreat with Long-Term Support,8,8.7,8.9,8.4,8.8,8.9,2.9,4,reduces exposure through participatory relocation compensation housing continuity and long term support,8.101000000000003,0,0,0,0.406,7.695000000000003,Governance-first,support-oriented resilience candidate,2
ROA008,Mutual Aid Network with Public Capacity Agreement,8,8.2,8.4,9.1,8,7.8,2.9,3.5,links local knowledge and mutual aid with public funding logistics legal support and accountability,7.992000000000001,0,0,0,0.42200000000000004,7.570000000000001,Governance-first,support-oriented resilience candidate,3
ROA002,Public Housing Climate Retrofit,8.4,8.8,8.5,8.2,8.2,8.5,2.8,3.8,reduces heat flood energy and health burdens through public investment and tenant protection,7.936,0,0,0,0.392,7.544,Governance-first,support-oriented resilience candidate,4
ROA003,Community-Led Cooling and Care Network,7.8,7.6,8,9,7.7,7.4,3.1,3.2,strengthens community care while requiring public backing and accessible services,7.712999999999999,0.40000000000000036,0,0,0.6100000000000001,7.102999999999999,Governance-first,support-oriented resilience candidate,5
ROA004,Flood Defense for High-Value Assets,8.6,5.2,5.4,5,5.2,7.6,5.9,3.4,protects valuable infrastructure and property but may leave vulnerable residents with low support,5.437000000000001,2.8,2.5999999999999996,3,3.038,2.3990000000000014,Governance-first,high abandonment-risk review needed,6
ROA001,Household Preparedness Campaign,5.8,3.2,4.1,4.5,4,3.8,6.8,2.6,encourages preparedness but offers limited material support or structural risk reduction,3.874,4.8,3.9000000000000004,3.5,4.53,-0.6560000000000001,Governance-first,high abandonment-risk review needed,7
ROA007,Risk Mapping Dashboard Without Funding,6.2,2.8,3.1,4.2,4.6,3.5,6.5,2.7,improves visibility but lacks funding triggers repair authority and material support,3.656,5.2,4.9,3.8,4.946000000000001,-1.2900000000000005,Governance-first,high abandonment-risk review needed,8
ROA006,Drainage Repair and Social Protection Package,8.5,8.6,8.7,8.5,8.4,8.7,2.7,3.9,combines infrastructure repair with aid access social protection and exposure reduction,8.094000000000001,0,0,0,0.37800000000000006,7.716000000000001,Protection-first,support-oriented resilience candidate,1
ROA005,Managed Retreat with Long-Term Support,8,8.7,8.9,8.4,8.8,8.9,2.9,4,reduces exposure through participatory relocation compensation housing continuity and long term support,7.990999999999999,0,0,0,0.406,7.584999999999999,Protection-first,support-oriented resilience candidate,2
ROA002,Public Housing Climate Retrofit,8.4,8.8,8.5,8.2,8.2,8.5,2.8,3.8,reduces heat flood energy and health burdens through public investment and tenant protection,7.976000000000001,0,0,0,0.392,7.5840000000000005,Protection-first,support-oriented resilience candidate,3
ROA008,Mutual Aid Network with Public Capacity Agreement,8,8.2,8.4,9.1,8,7.8,2.9,3.5,links local knowledge and mutual aid with public funding logistics legal support and accountability,7.712,0,0,0,0.42200000000000004,7.29,Protection-first,support-oriented resilience candidate,4
ROA003,Community-Led Cooling and Care Network,7.8,7.6,8,9,7.7,7.4,3.1,3.2,strengthens community care while requiring public backing and accessible services,7.417000000000001,0.40000000000000036,0,0,0.6100000000000001,6.807,Protection-first,support-oriented resilience candidate,5
ROA004,Flood Defense for High-Value Assets,8.6,5.2,5.4,5,5.2,7.6,5.9,3.4,protects valuable infrastructure and property but may leave vulnerable residents with low support,6.413000000000001,2.8,2.5999999999999996,3,3.038,3.3750000000000013,Protection-first,high abandonment-risk review needed,6
ROA001,Household Preparedness Campaign,5.8,3.2,4.1,4.5,4,3.8,6.8,2.6,encourages preparedness but offers limited material support or structural risk reduction,4.232,4.8,3.9000000000000004,3.5,4.53,-0.29800000000000004,Protection-first,high abandonment-risk review needed,7
ROA007,Risk Mapping Dashboard Without Funding,6.2,2.8,3.1,4.2,4.6,3.5,6.5,2.7,improves visibility but lacks funding triggers repair authority and material support,4.212,5.2,4.9,3.8,4.946000000000001,-0.7340000000000009,Protection-first,high abandonment-risk review needed,8
ROA005,Managed Retreat with Long-Term Support,8,8.7,8.9,8.4,8.8,8.9,2.9,4,reduces exposure through participatory relocation compensation housing continuity and long term support,8.385000000000002,0,0,0,0.406,7.979000000000002,Recovery-first,support-oriented resilience candidate,1
ROA006,Drainage Repair and Social Protection Package,8.5,8.6,8.7,8.5,8.4,8.7,2.7,3.9,combines infrastructure repair with aid access social protection and exposure reduction,8.312000000000001,0,0,0,0.37800000000000006,7.934000000000001,Recovery-first,support-oriented resilience candidate,2
ROA002,Public Housing Climate Retrofit,8.4,8.8,8.5,8.2,8.2,8.5,2.8,3.8,reduces heat flood energy and health burdens through public investment and tenant protection,8.178,0,0,0,0.392,7.7860000000000005,Recovery-first,support-oriented resilience candidate,3
ROA008,Mutual Aid Network with Public Capacity Agreement,8,8.2,8.4,9.1,8,7.8,2.9,3.5,links local knowledge and mutual aid with public funding logistics legal support and accountability,8.001999999999999,0,0,0,0.42200000000000004,7.579999999999999,Recovery-first,support-oriented resilience candidate,4
ROA003,Community-Led Cooling and Care Network,7.8,7.6,8,9,7.7,7.4,3.1,3.2,strengthens community care while requiring public backing and accessible services,7.645,0.40000000000000036,0,0,0.6100000000000001,7.034999999999999,Recovery-first,support-oriented resilience candidate,5
ROA004,Flood Defense for High-Value Assets,8.6,5.2,5.4,5,5.2,7.6,5.9,3.4,protects valuable infrastructure and property but may leave vulnerable residents with low support,5.629,2.8,2.5999999999999996,3,3.038,2.5909999999999997,Recovery-first,high abandonment-risk review needed,6
ROA001,Household Preparedness Campaign,5.8,3.2,4.1,4.5,4,3.8,6.8,2.6,encourages preparedness but offers limited material support or structural risk reduction,3.85,4.8,3.9000000000000004,3.5,4.53,-0.6800000000000002,Recovery-first,high abandonment-risk review needed,7
ROA007,Risk Mapping Dashboard Without Funding,6.2,2.8,3.1,4.2,4.6,3.5,6.5,2.7,improves visibility but lacks funding triggers repair authority and material support,3.4699999999999998,5.2,4.9,3.8,4.946000000000001,-1.4760000000000009,Recovery-first,high abandonment-risk review needed,8
ROA005,Managed Retreat with Long-Term Support,8,8.7,8.9,8.4,8.8,8.9,2.9,4,reduces exposure through participatory relocation compensation housing continuity and long term support,8.345,0,0,0,0.406,7.939000000000001,Support-first,support-oriented resilience candidate,1
ROA006,Drainage Repair and Social Protection Package,8.5,8.6,8.7,8.5,8.4,8.7,2.7,3.9,combines infrastructure repair with aid access social protection and exposure reduction,8.292,0,0,0,0.37800000000000006,7.914,Support-first,support-oriented resilience candidate,2
ROA002,Public Housing Climate Retrofit,8.4,8.8,8.5,8.2,8.2,8.5,2.8,3.8,reduces heat flood energy and health burdens through public investment and tenant protection,8.238000000000001,0,0,0,0.392,7.846000000000001,Support-first,support-oriented resilience candidate,3
ROA008,Mutual Aid Network with Public Capacity Agreement,8,8.2,8.4,9.1,8,7.8,2.9,3.5,links local knowledge and mutual aid with public funding logistics legal support and accountability,7.962,0,0,0,0.42200000000000004,7.54,Support-first,support-oriented resilience candidate,4
ROA003,Community-Led Cooling and Care Network,7.8,7.6,8,9,7.7,7.4,3.1,3.2,strengthens community care while requiring public backing and accessible services,7.5649999999999995,0.40000000000000036,0,0,0.6100000000000001,6.954999999999999,Support-first,support-oriented resilience candidate,5
ROA004,Flood Defense for High-Value Assets,8.6,5.2,5.4,5,5.2,7.6,5.9,3.4,protects valuable infrastructure and property but may leave vulnerable residents with low support,5.589,2.8,2.5999999999999996,3,3.038,2.5510000000000006,Support-first,high abandonment-risk review needed,6
ROA001,Household Preparedness Campaign,5.8,3.2,4.1,4.5,4,3.8,6.8,2.6,encourages preparedness but offers limited material support or structural risk reduction,3.6699999999999995,4.8,3.9000000000000004,3.5,4.53,-0.8600000000000008,Support-first,high abandonment-risk review needed,7
ROA007,Risk Mapping Dashboard Without Funding,6.2,2.8,3.1,4.2,4.6,3.5,6.5,2.7,improves visibility but lacks funding triggers repair authority and material support,3.41,5.2,4.9,3.8,4.946000000000001,-1.5360000000000005,Support-first,high abandonment-risk review needed,8
ROA005,Managed Retreat with Long-Term Support,8,8.7,8.9,8.4,8.8,8.9,2.9,4,reduces exposure through participatory relocation compensation housing continuity and long term support,8.365000000000002,0,0,0,0.406,7.959000000000002,Transformation-first,support-oriented resilience candidate,1
ROA006,Drainage Repair and Social Protection Package,8.5,8.6,8.7,8.5,8.4,8.7,2.7,3.9,combines infrastructure repair with aid access social protection and exposure reduction,8.242,0,0,0,0.37800000000000006,7.864000000000001,Transformation-first,support-oriented resilience candidate,2
ROA002,Public Housing Climate Retrofit,8.4,8.8,8.5,8.2,8.2,8.5,2.8,3.8,reduces heat flood energy and health burdens through public investment and tenant protection,8.1,0,0,0,0.392,7.707999999999999,Transformation-first,support-oriented resilience candidate,3
ROA008,Mutual Aid Network with Public Capacity Agreement,8,8.2,8.4,9.1,8,7.8,2.9,3.5,links local knowledge and mutual aid with public funding logistics legal support and accountability,7.91,0,0,0,0.42200000000000004,7.488,Transformation-first,support-oriented resilience candidate,4
ROA003,Community-Led Cooling and Care Network,7.8,7.6,8,9,7.7,7.4,3.1,3.2,strengthens community care while requiring public backing and accessible services,7.581,0.40000000000000036,0,0,0.6100000000000001,6.971,Transformation-first,support-oriented resilience candidate,5
ROA004,Flood Defense for High-Value Assets,8.6,5.2,5.4,5,5.2,7.6,5.9,3.4,protects valuable infrastructure and property but may leave vulnerable residents with low support,5.585000000000001,2.8,2.5999999999999996,3,3.038,2.547000000000001,Transformation-first,high abandonment-risk review needed,6
ROA001,Household Preparedness Campaign,5.8,3.2,4.1,4.5,4,3.8,6.8,2.6,encourages preparedness but offers limited material support or structural risk reduction,3.844,4.8,3.9000000000000004,3.5,4.53,-0.6860000000000004,Transformation-first,high abandonment-risk review needed,7
ROA007,Risk Mapping Dashboard Without Funding,6.2,2.8,3.1,4.2,4.6,3.5,6.5,2.7,improves visibility but lacks funding triggers repair authority and material support,3.8360000000000007,5.2,4.9,3.8,4.946000000000001,-1.1099999999999999,Transformation-first,high abandonment-risk review needed,8
