pathway_id,pathway,system_domain,resilience,ecological_integrity,social_inclusion,economic_sufficiency,governance_capacity,adaptive_capacity,resource_pressure,implementation_burden,critical_function,viability_value,boundary_adjusted_viability,scenario,rank
SR003,Inclusive Urban Resilience Transition,urban adaptation and social inclusion,8.3,7.9,8.8,8.1,8.3,8.5,4.2,3.6,links housing transit heat adaptation stormwater public space affordability and anti-displacement safeguards,7.699,7.583,Governance-first,2
SR004,Climate-Resilient Food and Water Strategy,food water and watershed resilience,8.7,8.4,8.1,8.2,8.1,8.6,3.9,3.4,protects food security water access soil health watersheds agricultural adaptation and rural livelihoods,7.691,7.659,Governance-first,3
SR006,Public Health Housing and Heat Resilience Compact,health housing and climate justice,8.6,7.8,9,8,8.2,8.3,4.1,3.1,protects health housing cooling affordability care networks energy security and heat-resilience infrastructure,7.689,7.581,Governance-first,4
SR002,Circular Regional Production System,circular economy and material resilience,8.1,8.8,7.9,8.4,7.9,8.2,3.7,3.3,reduces material throughput waste dependency and supply-chain fragility through repair reuse remanufacturing and local value creation,7.555,7.519,Governance-first,5
SR001,Distributed Renewable Infrastructure,energy infrastructure and climate mitigation,8.5,8.2,7.8,8,7.8,8.4,4,3.5,decarbonizes essential energy systems while improving service continuity and reducing fossil-fuel dependency,7.4479999999999995,7.359999999999999,Governance-first,6
SR005,Ecosystem Restoration and Livelihood Diversification,social-ecological restoration,8.4,9,8.2,7.9,8,8.7,3.5,3.2,restores wetlands forests soils biodiversity and ecological buffers while supporting livelihood diversification,6.8709999999999996,6.8709999999999996,Implementation-aware,1
SR004,Climate-Resilient Food and Water Strategy,food water and watershed resilience,8.7,8.4,8.1,8.2,8.1,8.6,3.9,3.4,protects food security water access soil health watersheds agricultural adaptation and rural livelihoods,6.811999999999999,6.78,Implementation-aware,2
SR006,Public Health Housing and Heat Resilience Compact,health housing and climate justice,8.6,7.8,9,8,8.2,8.3,4.1,3.1,protects health housing cooling affordability care networks energy security and heat-resilience infrastructure,6.7989999999999995,6.691,Implementation-aware,3
SR003,Inclusive Urban Resilience Transition,urban adaptation and social inclusion,8.3,7.9,8.8,8.1,8.3,8.5,4.2,3.6,links housing transit heat adaptation stormwater public space affordability and anti-displacement safeguards,6.742000000000001,6.626000000000001,Implementation-aware,4
SR002,Circular Regional Production System,circular economy and material resilience,8.1,8.8,7.9,8.4,7.9,8.2,3.7,3.3,reduces material throughput waste dependency and supply-chain fragility through repair reuse remanufacturing and local value creation,6.711,6.675000000000001,Implementation-aware,5
SR001,Distributed Renewable Infrastructure,energy infrastructure and climate mitigation,8.5,8.2,7.8,8,7.8,8.4,4,3.5,decarbonizes essential energy systems while improving service continuity and reducing fossil-fuel dependency,6.5969999999999995,6.5089999999999995,Implementation-aware,6
SR006,Public Health Housing and Heat Resilience Compact,health housing and climate justice,8.6,7.8,9,8,8.2,8.3,4.1,3.1,protects health housing cooling affordability care networks energy security and heat-resilience infrastructure,7.897,7.789000000000001,Inclusion-first,1
SR003,Inclusive Urban Resilience Transition,urban adaptation and social inclusion,8.3,7.9,8.8,8.1,8.3,8.5,4.2,3.6,links housing transit heat adaptation stormwater public space affordability and anti-displacement safeguards,7.829000000000001,7.713000000000001,Inclusion-first,2
SR005,Ecosystem Restoration and Livelihood Diversification,social-ecological restoration,8.4,9,8.2,7.9,8,8.7,3.5,3.2,restores wetlands forests soils biodiversity and ecological buffers while supporting livelihood diversification,7.758999999999999,7.758999999999999,Inclusion-first,3
SR004,Climate-Resilient Food and Water Strategy,food water and watershed resilience,8.7,8.4,8.1,8.2,8.1,8.6,3.9,3.4,protects food security water access soil health watersheds agricultural adaptation and rural livelihoods,7.691000000000002,7.659000000000002,Inclusion-first,4
SR002,Circular Regional Production System,circular economy and material resilience,8.1,8.8,7.9,8.4,7.9,8.2,3.7,3.3,reduces material throughput waste dependency and supply-chain fragility through repair reuse remanufacturing and local value creation,7.555000000000001,7.519000000000001,Inclusion-first,5
SR001,Distributed Renewable Infrastructure,energy infrastructure and climate mitigation,8.5,8.2,7.8,8,7.8,8.4,4,3.5,decarbonizes essential energy systems while improving service continuity and reducing fossil-fuel dependency,7.4479999999999995,7.359999999999999,Inclusion-first,6
SR004,Climate-Resilient Food and Water Strategy,food water and watershed resilience,8.7,8.4,8.1,8.2,8.1,8.6,3.9,3.4,protects food security water access soil health watersheds agricultural adaptation and rural livelihoods,7.847,7.815,Resilience-first,1
SR005,Ecosystem Restoration and Livelihood Diversification,social-ecological restoration,8.4,9,8.2,7.9,8,8.7,3.5,3.2,restores wetlands forests soils biodiversity and ecological buffers while supporting livelihood diversification,7.810999999999999,7.810999999999999,Resilience-first,2
SR006,Public Health Housing and Heat Resilience Compact,health housing and climate justice,8.6,7.8,9,8,8.2,8.3,4.1,3.1,protects health housing cooling affordability care networks energy security and heat-resilience infrastructure,7.792999999999999,7.685,Resilience-first,3
SR003,Inclusive Urban Resilience Transition,urban adaptation and social inclusion,8.3,7.9,8.8,8.1,8.3,8.5,4.2,3.6,links housing transit heat adaptation stormwater public space affordability and anti-displacement safeguards,7.699,7.583,Resilience-first,4
SR001,Distributed Renewable Infrastructure,energy infrastructure and climate mitigation,8.5,8.2,7.8,8,7.8,8.4,4,3.5,decarbonizes essential energy systems while improving service continuity and reducing fossil-fuel dependency,7.629999999999999,7.541999999999999,Resilience-first,5
SR002,Circular Regional Production System,circular economy and material resilience,8.1,8.8,7.9,8.4,7.9,8.2,3.7,3.3,reduces material throughput waste dependency and supply-chain fragility through repair reuse remanufacturing and local value creation,7.607,7.571000000000001,Resilience-first,6
