simulation_id,pathway_id,pathway,rank,viability_value,winner
13,SR006,Public Health Housing and Heat Resilience Compact,5,7.36618,Ecosystem Restoration and Livelihood Diversification
13,SR001,Distributed Renewable Infrastructure,6,7.13066,Ecosystem Restoration and Livelihood Diversification
14,SR005,Ecosystem Restoration and Livelihood Diversification,1,7.75925,Ecosystem Restoration and Livelihood Diversification
14,SR006,Public Health Housing and Heat Resilience Compact,2,7.74988,Ecosystem Restoration and Livelihood Diversification
14,SR002,Circular Regional Production System,3,7.59446,Ecosystem Restoration and Livelihood Diversification
14,SR003,Inclusive Urban Resilience Transition,4,7.38189,Ecosystem Restoration and Livelihood Diversification
14,SR001,Distributed Renewable Infrastructure,5,7.08262,Ecosystem Restoration and Livelihood Diversification
14,SR004,Climate-Resilient Food and Water Strategy,6,6.97584,Ecosystem Restoration and Livelihood Diversification
15,SR001,Distributed Renewable Infrastructure,1,7.9752,Distributed Renewable Infrastructure
15,SR004,Climate-Resilient Food and Water Strategy,2,7.71582,Distributed Renewable Infrastructure
15,SR002,Circular Regional Production System,3,7.6753,Distributed Renewable Infrastructure
15,SR005,Ecosystem Restoration and Livelihood Diversification,4,7.64701,Distributed Renewable Infrastructure
15,SR003,Inclusive Urban Resilience Transition,5,7.30892,Distributed Renewable Infrastructure
15,SR006,Public Health Housing and Heat Resilience Compact,6,7.19297,Distributed Renewable Infrastructure
16,SR001,Distributed Renewable Infrastructure,1,7.88441,Distributed Renewable Infrastructure
16,SR004,Climate-Resilient Food and Water Strategy,2,7.7569,Distributed Renewable Infrastructure
16,SR002,Circular Regional Production System,3,7.68358,Distributed Renewable Infrastructure
16,SR003,Inclusive Urban Resilience Transition,4,7.67594,Distributed Renewable Infrastructure
16,SR006,Public Health Housing and Heat Resilience Compact,5,7.56854,Distributed Renewable Infrastructure
16,SR005,Ecosystem Restoration and Livelihood Diversification,6,7.26237,Distributed Renewable Infrastructure
17,SR006,Public Health Housing and Heat Resilience Compact,1,7.70537,Public Health Housing and Heat Resilience Compact
17,SR005,Ecosystem Restoration and Livelihood Diversification,2,7.58598,Public Health Housing and Heat Resilience Compact
17,SR002,Circular Regional Production System,3,7.51065,Public Health Housing and Heat Resilience Compact
17,SR004,Climate-Resilient Food and Water Strategy,4,7.40553,Public Health Housing and Heat Resilience Compact
17,SR003,Inclusive Urban Resilience Transition,5,7.32363,Public Health Housing and Heat Resilience Compact
17,SR001,Distributed Renewable Infrastructure,6,7.24375,Public Health Housing and Heat Resilience Compact
18,SR001,Distributed Renewable Infrastructure,1,7.90222,Distributed Renewable Infrastructure
18,SR003,Inclusive Urban Resilience Transition,2,7.83341,Distributed Renewable Infrastructure
18,SR002,Circular Regional Production System,3,7.76264,Distributed Renewable Infrastructure
18,SR006,Public Health Housing and Heat Resilience Compact,4,7.71793,Distributed Renewable Infrastructure
18,SR004,Climate-Resilient Food and Water Strategy,5,7.69146,Distributed Renewable Infrastructure
18,SR005,Ecosystem Restoration and Livelihood Diversification,6,7.48328,Distributed Renewable Infrastructure
19,SR005,Ecosystem Restoration and Livelihood Diversification,1,7.90589,Ecosystem Restoration and Livelihood Diversification
19,SR006,Public Health Housing and Heat Resilience Compact,2,7.89541,Ecosystem Restoration and Livelihood Diversification
19,SR003,Inclusive Urban Resilience Transition,3,7.74884,Ecosystem Restoration and Livelihood Diversification
19,SR004,Climate-Resilient Food and Water Strategy,4,7.29559,Ecosystem Restoration and Livelihood Diversification
19,SR001,Distributed Renewable Infrastructure,5,7.2923,Ecosystem Restoration and Livelihood Diversification
19,SR002,Circular Regional Production System,6,6.88439,Ecosystem Restoration and Livelihood Diversification
20,SR003,Inclusive Urban Resilience Transition,1,8.21162,Inclusive Urban Resilience Transition
20,SR005,Ecosystem Restoration and Livelihood Diversification,2,7.56535,Inclusive Urban Resilience Transition
20,SR006,Public Health Housing and Heat Resilience Compact,3,7.51311,Inclusive Urban Resilience Transition
20,SR004,Climate-Resilient Food and Water Strategy,4,7.42246,Inclusive Urban Resilience Transition
20,SR001,Distributed Renewable Infrastructure,5,7.18435,Inclusive Urban Resilience Transition
20,SR002,Circular Regional Production System,6,7.14678,Inclusive Urban Resilience Transition
21,SR003,Inclusive Urban Resilience Transition,1,8.14063,Inclusive Urban Resilience Transition
21,SR002,Circular Regional Production System,2,7.98495,Inclusive Urban Resilience Transition
21,SR004,Climate-Resilient Food and Water Strategy,3,7.86575,Inclusive Urban Resilience Transition
21,SR006,Public Health Housing and Heat Resilience Compact,4,7.38313,Inclusive Urban Resilience Transition
21,SR005,Ecosystem Restoration and Livelihood Diversification,5,7.33151,Inclusive Urban Resilience Transition
21,SR001,Distributed Renewable Infrastructure,6,7.19623,Inclusive Urban Resilience Transition
22,SR005,Ecosystem Restoration and Livelihood Diversification,1,7.63611,Ecosystem Restoration and Livelihood Diversification
22,SR002,Circular Regional Production System,2,7.63238,Ecosystem Restoration and Livelihood Diversification
22,SR004,Climate-Resilient Food and Water Strategy,3,7.6199,Ecosystem Restoration and Livelihood Diversification
22,SR006,Public Health Housing and Heat Resilience Compact,4,7.39857,Ecosystem Restoration and Livelihood Diversification
22,SR001,Distributed Renewable Infrastructure,5,7.15787,Ecosystem Restoration and Livelihood Diversification
22,SR003,Inclusive Urban Resilience Transition,6,7.09764,Ecosystem Restoration and Livelihood Diversification
23,SR002,Circular Regional Production System,1,7.72479,Circular Regional Production System
23,SR004,Climate-Resilient Food and Water Strategy,2,7.59482,Circular Regional Production System
23,SR005,Ecosystem Restoration and Livelihood Diversification,3,7.58367,Circular Regional Production System
23,SR006,Public Health Housing and Heat Resilience Compact,4,7.52186,Circular Regional Production System
23,SR003,Inclusive Urban Resilience Transition,5,7.40285,Circular Regional Production System
23,SR001,Distributed Renewable Infrastructure,6,6.85228,Circular Regional Production System
24,SR003,Inclusive Urban Resilience Transition,1,7.76532,Inclusive Urban Resilience Transition
24,SR005,Ecosystem Restoration and Livelihood Diversification,2,7.6622,Inclusive Urban Resilience Transition
24,SR004,Climate-Resilient Food and Water Strategy,3,7.52895,Inclusive Urban Resilience Transition
24,SR006,Public Health Housing and Heat Resilience Compact,4,7.44963,Inclusive Urban Resilience Transition
24,SR002,Circular Regional Production System,5,7.31544,Inclusive Urban Resilience Transition
24,SR001,Distributed Renewable Infrastructure,6,7.13008,Inclusive Urban Resilience Transition
25,SR006,Public Health Housing and Heat Resilience Compact,1,7.96449,Public Health Housing and Heat Resilience Compact
25,SR002,Circular Regional Production System,2,7.88442,Public Health Housing and Heat Resilience Compact
25,SR005,Ecosystem Restoration and Livelihood Diversification,3,7.43165,Public Health Housing and Heat Resilience Compact
25,SR003,Inclusive Urban Resilience Transition,4,7.43142,Public Health Housing and Heat Resilience Compact
25,SR004,Climate-Resilient Food and Water Strategy,5,7.3224,Public Health Housing and Heat Resilience Compact
25,SR001,Distributed Renewable Infrastructure,6,7.23476,Public Health Housing and Heat Resilience Compact
26,SR004,Climate-Resilient Food and Water Strategy,1,7.89327,Climate-Resilient Food and Water Strategy
26,SR006,Public Health Housing and Heat Resilience Compact,2,7.87732,Climate-Resilient Food and Water Strategy
26,SR003,Inclusive Urban Resilience Transition,3,7.67472,Climate-Resilient Food and Water Strategy
26,SR005,Ecosystem Restoration and Livelihood Diversification,4,7.47035,Climate-Resilient Food and Water Strategy
26,SR002,Circular Regional Production System,5,7.4615,Climate-Resilient Food and Water Strategy
26,SR001,Distributed Renewable Infrastructure,6,7.07699,Climate-Resilient Food and Water Strategy
27,SR003,Inclusive Urban Resilience Transition,1,7.88773,Inclusive Urban Resilience Transition
27,SR004,Climate-Resilient Food and Water Strategy,2,7.63491,Inclusive Urban Resilience Transition
27,SR005,Ecosystem Restoration and Livelihood Diversification,3,7.56405,Inclusive Urban Resilience Transition
27,SR001,Distributed Renewable Infrastructure,4,7.37258,Inclusive Urban Resilience Transition
27,SR006,Public Health Housing and Heat Resilience Compact,5,7.36976,Inclusive Urban Resilience Transition
27,SR002,Circular Regional Production System,6,7.21712,Inclusive Urban Resilience Transition
28,SR005,Ecosystem Restoration and Livelihood Diversification,1,7.99547,Ecosystem Restoration and Livelihood Diversification
28,SR006,Public Health Housing and Heat Resilience Compact,2,7.87412,Ecosystem Restoration and Livelihood Diversification
28,SR003,Inclusive Urban Resilience Transition,3,7.77931,Ecosystem Restoration and Livelihood Diversification
28,SR002,Circular Regional Production System,4,7.76235,Ecosystem Restoration and Livelihood Diversification
28,SR004,Climate-Resilient Food and Water Strategy,5,7.57417,Ecosystem Restoration and Livelihood Diversification
28,SR001,Distributed Renewable Infrastructure,6,7.5283,Ecosystem Restoration and Livelihood Diversification
29,SR003,Inclusive Urban Resilience Transition,1,7.70218,Inclusive Urban Resilience Transition
29,SR004,Climate-Resilient Food and Water Strategy,2,7.46265,Inclusive Urban Resilience Transition
29,SR002,Circular Regional Production System,3,7.41291,Inclusive Urban Resilience Transition
29,SR006,Public Health Housing and Heat Resilience Compact,4,7.3869,Inclusive Urban Resilience Transition
29,SR001,Distributed Renewable Infrastructure,5,7.34951,Inclusive Urban Resilience Transition
29,SR005,Ecosystem Restoration and Livelihood Diversification,6,7.32534,Inclusive Urban Resilience Transition
30,SR002,Circular Regional Production System,1,7.84695,Circular Regional Production System
30,SR004,Climate-Resilient Food and Water Strategy,2,7.79868,Circular Regional Production System
30,SR006,Public Health Housing and Heat Resilience Compact,3,7.76733,Circular Regional Production System
30,SR003,Inclusive Urban Resilience Transition,4,7.44751,Circular Regional Production System
30,SR001,Distributed Renewable Infrastructure,5,7.27007,Circular Regional Production System
30,SR005,Ecosystem Restoration and Livelihood Diversification,6,7.2578,Circular Regional Production System
31,SR003,Inclusive Urban Resilience Transition,1,7.81412,Inclusive Urban Resilience Transition
31,SR005,Ecosystem Restoration and Livelihood Diversification,2,7.6083,Inclusive Urban Resilience Transition
31,SR006,Public Health Housing and Heat Resilience Compact,3,7.46207,Inclusive Urban Resilience Transition
31,SR001,Distributed Renewable Infrastructure,4,7.43562,Inclusive Urban Resilience Transition
31,SR002,Circular Regional Production System,5,7.39739,Inclusive Urban Resilience Transition
31,SR004,Climate-Resilient Food and Water Strategy,6,7.16549,Inclusive Urban Resilience Transition
32,SR003,Inclusive Urban Resilience Transition,1,8.03599,Inclusive Urban Resilience Transition
32,SR004,Climate-Resilient Food and Water Strategy,2,7.73774,Inclusive Urban Resilience Transition
32,SR005,Ecosystem Restoration and Livelihood Diversification,3,7.70738,Inclusive Urban Resilience Transition
32,SR006,Public Health Housing and Heat Resilience Compact,4,7.68888,Inclusive Urban Resilience Transition
32,SR001,Distributed Renewable Infrastructure,5,7.61074,Inclusive Urban Resilience Transition
32,SR002,Circular Regional Production System,6,7.28055,Inclusive Urban Resilience Transition
33,SR006,Public Health Housing and Heat Resilience Compact,1,7.73164,Public Health Housing and Heat Resilience Compact
33,SR002,Circular Regional Production System,2,7.68544,Public Health Housing and Heat Resilience Compact
33,SR001,Distributed Renewable Infrastructure,3,7.59373,Public Health Housing and Heat Resilience Compact
33,SR005,Ecosystem Restoration and Livelihood Diversification,4,7.5594,Public Health Housing and Heat Resilience Compact
33,SR004,Climate-Resilient Food and Water Strategy,5,7.3238,Public Health Housing and Heat Resilience Compact
33,SR003,Inclusive Urban Resilience Transition,6,7.2336,Public Health Housing and Heat Resilience Compact
34,SR004,Climate-Resilient Food and Water Strategy,1,7.76956,Climate-Resilient Food and Water Strategy
34,SR002,Circular Regional Production System,2,7.66011,Climate-Resilient Food and Water Strategy
34,SR003,Inclusive Urban Resilience Transition,3,7.52894,Climate-Resilient Food and Water Strategy
34,SR006,Public Health Housing and Heat Resilience Compact,4,7.33746,Climate-Resilient Food and Water Strategy
34,SR001,Distributed Renewable Infrastructure,5,7.24354,Climate-Resilient Food and Water Strategy
34,SR005,Ecosystem Restoration and Livelihood Diversification,6,7.16132,Climate-Resilient Food and Water Strategy
35,SR004,Climate-Resilient Food and Water Strategy,1,8.10404,Climate-Resilient Food and Water Strategy
35,SR005,Ecosystem Restoration and Livelihood Diversification,2,7.88773,Climate-Resilient Food and Water Strategy
35,SR002,Circular Regional Production System,3,7.69153,Climate-Resilient Food and Water Strategy
35,SR003,Inclusive Urban Resilience Transition,4,7.47405,Climate-Resilient Food and Water Strategy
35,SR001,Distributed Renewable Infrastructure,5,7.33958,Climate-Resilient Food and Water Strategy
35,SR006,Public Health Housing and Heat Resilience Compact,6,7.27711,Climate-Resilient Food and Water Strategy
36,SR002,Circular Regional Production System,1,7.85191,Circular Regional Production System
36,SR006,Public Health Housing and Heat Resilience Compact,2,7.83536,Circular Regional Production System
36,SR004,Climate-Resilient Food and Water Strategy,3,7.83478,Circular Regional Production System
36,SR003,Inclusive Urban Resilience Transition,4,7.72042,Circular Regional Production System
36,SR005,Ecosystem Restoration and Livelihood Diversification,5,7.44699,Circular Regional Production System
36,SR001,Distributed Renewable Infrastructure,6,7.13725,Circular Regional Production System
37,SR006,Public Health Housing and Heat Resilience Compact,1,7.57549,Public Health Housing and Heat Resilience Compact
37,SR004,Climate-Resilient Food and Water Strategy,2,7.53314,Public Health Housing and Heat Resilience Compact
37,SR002,Circular Regional Production System,3,7.45866,Public Health Housing and Heat Resilience Compact
37,SR001,Distributed Renewable Infrastructure,4,7.43986,Public Health Housing and Heat Resilience Compact
37,SR005,Ecosystem Restoration and Livelihood Diversification,5,7.2426,Public Health Housing and Heat Resilience Compact
37,SR003,Inclusive Urban Resilience Transition,6,7.0324,Public Health Housing and Heat Resilience Compact
38,SR004,Climate-Resilient Food and Water Strategy,1,7.86738,Climate-Resilient Food and Water Strategy
38,SR002,Circular Regional Production System,2,7.80859,Climate-Resilient Food and Water Strategy
38,SR006,Public Health Housing and Heat Resilience Compact,3,7.79062,Climate-Resilient Food and Water Strategy
38,SR003,Inclusive Urban Resilience Transition,4,7.77078,Climate-Resilient Food and Water Strategy
38,SR001,Distributed Renewable Infrastructure,5,7.56398,Climate-Resilient Food and Water Strategy
38,SR005,Ecosystem Restoration and Livelihood Diversification,6,7.51801,Climate-Resilient Food and Water Strategy
39,SR005,Ecosystem Restoration and Livelihood Diversification,1,7.90692,Ecosystem Restoration and Livelihood Diversification
39,SR006,Public Health Housing and Heat Resilience Compact,2,7.79184,Ecosystem Restoration and Livelihood Diversification
39,SR001,Distributed Renewable Infrastructure,3,7.59869,Ecosystem Restoration and Livelihood Diversification
39,SR004,Climate-Resilient Food and Water Strategy,4,7.59372,Ecosystem Restoration and Livelihood Diversification
39,SR002,Circular Regional Production System,5,7.52962,Ecosystem Restoration and Livelihood Diversification
39,SR003,Inclusive Urban Resilience Transition,6,7.43872,Ecosystem Restoration and Livelihood Diversification
40,SR003,Inclusive Urban Resilience Transition,1,7.60079,Inclusive Urban Resilience Transition
40,SR006,Public Health Housing and Heat Resilience Compact,2,7.60045,Inclusive Urban Resilience Transition
40,SR005,Ecosystem Restoration and Livelihood Diversification,3,7.57538,Inclusive Urban Resilience Transition
40,SR004,Climate-Resilient Food and Water Strategy,4,7.57002,Inclusive Urban Resilience Transition
40,SR002,Circular Regional Production System,5,7.37018,Inclusive Urban Resilience Transition
40,SR001,Distributed Renewable Infrastructure,6,7.36643,Inclusive Urban Resilience Transition
41,SR005,Ecosystem Restoration and Livelihood Diversification,1,8.23293,Ecosystem Restoration and Livelihood Diversification
41,SR003,Inclusive Urban Resilience Transition,2,7.95223,Ecosystem Restoration and Livelihood Diversification
41,SR001,Distributed Renewable Infrastructure,3,7.62108,Ecosystem Restoration and Livelihood Diversification
41,SR004,Climate-Resilient Food and Water Strategy,4,7.50799,Ecosystem Restoration and Livelihood Diversification
41,SR002,Circular Regional Production System,5,7.4715,Ecosystem Restoration and Livelihood Diversification
41,SR006,Public Health Housing and Heat Resilience Compact,6,7.26781,Ecosystem Restoration and Livelihood Diversification
42,SR005,Ecosystem Restoration and Livelihood Diversification,1,7.96267,Ecosystem Restoration and Livelihood Diversification
42,SR006,Public Health Housing and Heat Resilience Compact,2,7.80982,Ecosystem Restoration and Livelihood Diversification
42,SR004,Climate-Resilient Food and Water Strategy,3,7.44492,Ecosystem Restoration and Livelihood Diversification
42,SR001,Distributed Renewable Infrastructure,4,7.23557,Ecosystem Restoration and Livelihood Diversification
42,SR003,Inclusive Urban Resilience Transition,5,7.1586,Ecosystem Restoration and Livelihood Diversification
42,SR002,Circular Regional Production System,6,7.00102,Ecosystem Restoration and Livelihood Diversification
43,SR001,Distributed Renewable Infrastructure,1,7.68309,Distributed Renewable Infrastructure
43,SR003,Inclusive Urban Resilience Transition,2,7.57347,Distributed Renewable Infrastructure
43,SR005,Ecosystem Restoration and Livelihood Diversification,3,7.55033,Distributed Renewable Infrastructure
43,SR002,Circular Regional Production System,4,7.53871,Distributed Renewable Infrastructure
43,SR006,Public Health Housing and Heat Resilience Compact,5,7.27296,Distributed Renewable Infrastructure
43,SR004,Climate-Resilient Food and Water Strategy,6,7.26207,Distributed Renewable Infrastructure
44,SR002,Circular Regional Production System,1,7.94628,Circular Regional Production System
44,SR006,Public Health Housing and Heat Resilience Compact,2,7.74237,Circular Regional Production System
44,SR004,Climate-Resilient Food and Water Strategy,3,7.53116,Circular Regional Production System
44,SR001,Distributed Renewable Infrastructure,4,7.39929,Circular Regional Production System
44,SR003,Inclusive Urban Resilience Transition,5,7.38319,Circular Regional Production System
44,SR005,Ecosystem Restoration and Livelihood Diversification,6,7.145,Circular Regional Production System
45,SR002,Circular Regional Production System,1,8.10369,Circular Regional Production System
45,SR004,Climate-Resilient Food and Water Strategy,2,8.03027,Circular Regional Production System
45,SR006,Public Health Housing and Heat Resilience Compact,3,7.70367,Circular Regional Production System
45,SR001,Distributed Renewable Infrastructure,4,7.6597,Circular Regional Production System
45,SR005,Ecosystem Restoration and Livelihood Diversification,5,7.63601,Circular Regional Production System
45,SR003,Inclusive Urban Resilience Transition,6,7.27221,Circular Regional Production System
46,SR004,Climate-Resilient Food and Water Strategy,1,7.87375,Climate-Resilient Food and Water Strategy
46,SR006,Public Health Housing and Heat Resilience Compact,2,7.7693,Climate-Resilient Food and Water Strategy
46,SR005,Ecosystem Restoration and Livelihood Diversification,3,7.69045,Climate-Resilient Food and Water Strategy
46,SR003,Inclusive Urban Resilience Transition,4,7.61166,Climate-Resilient Food and Water Strategy
46,SR001,Distributed Renewable Infrastructure,5,7.27297,Climate-Resilient Food and Water Strategy
46,SR002,Circular Regional Production System,6,7.27042,Climate-Resilient Food and Water Strategy
47,SR003,Inclusive Urban Resilience Transition,1,7.96327,Inclusive Urban Resilience Transition
47,SR004,Climate-Resilient Food and Water Strategy,2,7.89537,Inclusive Urban Resilience Transition
47,SR001,Distributed Renewable Infrastructure,3,7.51846,Inclusive Urban Resilience Transition
47,SR002,Circular Regional Production System,4,7.50934,Inclusive Urban Resilience Transition
47,SR005,Ecosystem Restoration and Livelihood Diversification,5,7.4569,Inclusive Urban Resilience Transition
47,SR006,Public Health Housing and Heat Resilience Compact,6,7.42021,Inclusive Urban Resilience Transition
48,SR006,Public Health Housing and Heat Resilience Compact,1,7.90659,Public Health Housing and Heat Resilience Compact
48,SR004,Climate-Resilient Food and Water Strategy,2,7.73166,Public Health Housing and Heat Resilience Compact
48,SR003,Inclusive Urban Resilience Transition,3,7.5354,Public Health Housing and Heat Resilience Compact
48,SR001,Distributed Renewable Infrastructure,4,7.44727,Public Health Housing and Heat Resilience Compact
48,SR005,Ecosystem Restoration and Livelihood Diversification,5,7.43108,Public Health Housing and Heat Resilience Compact
48,SR002,Circular Regional Production System,6,7.09969,Public Health Housing and Heat Resilience Compact
49,SR005,Ecosystem Restoration and Livelihood Diversification,1,7.77481,Ecosystem Restoration and Livelihood Diversification
49,SR003,Inclusive Urban Resilience Transition,2,7.49449,Ecosystem Restoration and Livelihood Diversification
49,SR002,Circular Regional Production System,3,7.45972,Ecosystem Restoration and Livelihood Diversification
49,SR004,Climate-Resilient Food and Water Strategy,4,7.36077,Ecosystem Restoration and Livelihood Diversification
49,SR001,Distributed Renewable Infrastructure,5,7.2566,Ecosystem Restoration and Livelihood Diversification
49,SR006,Public Health Housing and Heat Resilience Compact,6,7.13491,Ecosystem Restoration and Livelihood Diversification
50,SR004,Climate-Resilient Food and Water Strategy,1,7.72264,Climate-Resilient Food and Water Strategy
