simulation_id,strategy_id,strategy,rank,supply_chain_resilience_value,winner
9,SC006,Fair Supplier Finance and Labor Continuity Program,3,7.01144,Digital End-to-End Visibility and Cyber Resilience Platform
9,SC001,Supplier Diversification and Qualification Program,4,6.88428,Digital End-to-End Visibility and Cyber Resilience Platform
9,SC005,Climate-Adjusted Infrastructure and Port Resilience Plan,5,6.84517,Digital End-to-End Visibility and Cyber Resilience Platform
9,SC002,Regional Buffer Inventory for Critical Goods,6,6.78643,Digital End-to-End Visibility and Cyber Resilience Platform
10,SC005,Climate-Adjusted Infrastructure and Port Resilience Plan,1,7.13963,Climate-Adjusted Infrastructure and Port Resilience Plan
10,SC001,Supplier Diversification and Qualification Program,2,7.0869,Climate-Adjusted Infrastructure and Port Resilience Plan
10,SC003,Digital End-to-End Visibility and Cyber Resilience Platform,3,6.87838,Climate-Adjusted Infrastructure and Port Resilience Plan
10,SC006,Fair Supplier Finance and Labor Continuity Program,4,6.83596,Climate-Adjusted Infrastructure and Port Resilience Plan
10,SC004,Multi-Route Logistics and Chokepoint Redesign,5,6.75179,Climate-Adjusted Infrastructure and Port Resilience Plan
10,SC002,Regional Buffer Inventory for Critical Goods,6,6.61491,Climate-Adjusted Infrastructure and Port Resilience Plan
11,SC005,Climate-Adjusted Infrastructure and Port Resilience Plan,1,7.35505,Climate-Adjusted Infrastructure and Port Resilience Plan
11,SC001,Supplier Diversification and Qualification Program,2,7.2885,Climate-Adjusted Infrastructure and Port Resilience Plan
11,SC004,Multi-Route Logistics and Chokepoint Redesign,3,7.24314,Climate-Adjusted Infrastructure and Port Resilience Plan
11,SC006,Fair Supplier Finance and Labor Continuity Program,4,7.00986,Climate-Adjusted Infrastructure and Port Resilience Plan
11,SC003,Digital End-to-End Visibility and Cyber Resilience Platform,5,6.66097,Climate-Adjusted Infrastructure and Port Resilience Plan
11,SC002,Regional Buffer Inventory for Critical Goods,6,6.56847,Climate-Adjusted Infrastructure and Port Resilience Plan
12,SC005,Climate-Adjusted Infrastructure and Port Resilience Plan,1,7.32215,Climate-Adjusted Infrastructure and Port Resilience Plan
12,SC001,Supplier Diversification and Qualification Program,2,7.07126,Climate-Adjusted Infrastructure and Port Resilience Plan
12,SC004,Multi-Route Logistics and Chokepoint Redesign,3,6.90057,Climate-Adjusted Infrastructure and Port Resilience Plan
12,SC002,Regional Buffer Inventory for Critical Goods,4,6.80969,Climate-Adjusted Infrastructure and Port Resilience Plan
12,SC003,Digital End-to-End Visibility and Cyber Resilience Platform,5,6.79954,Climate-Adjusted Infrastructure and Port Resilience Plan
12,SC006,Fair Supplier Finance and Labor Continuity Program,6,6.55552,Climate-Adjusted Infrastructure and Port Resilience Plan
13,SC003,Digital End-to-End Visibility and Cyber Resilience Platform,1,7.27508,Digital End-to-End Visibility and Cyber Resilience Platform
13,SC004,Multi-Route Logistics and Chokepoint Redesign,2,7.00874,Digital End-to-End Visibility and Cyber Resilience Platform
13,SC001,Supplier Diversification and Qualification Program,3,6.96871,Digital End-to-End Visibility and Cyber Resilience Platform
13,SC006,Fair Supplier Finance and Labor Continuity Program,4,6.89567,Digital End-to-End Visibility and Cyber Resilience Platform
13,SC005,Climate-Adjusted Infrastructure and Port Resilience Plan,5,6.87837,Digital End-to-End Visibility and Cyber Resilience Platform
13,SC002,Regional Buffer Inventory for Critical Goods,6,6.74447,Digital End-to-End Visibility and Cyber Resilience Platform
14,SC004,Multi-Route Logistics and Chokepoint Redesign,1,7.14457,Multi-Route Logistics and Chokepoint Redesign
14,SC005,Climate-Adjusted Infrastructure and Port Resilience Plan,2,7.07833,Multi-Route Logistics and Chokepoint Redesign
14,SC003,Digital End-to-End Visibility and Cyber Resilience Platform,3,7.0498,Multi-Route Logistics and Chokepoint Redesign
14,SC001,Supplier Diversification and Qualification Program,4,6.96863,Multi-Route Logistics and Chokepoint Redesign
14,SC002,Regional Buffer Inventory for Critical Goods,5,6.7842,Multi-Route Logistics and Chokepoint Redesign
14,SC006,Fair Supplier Finance and Labor Continuity Program,6,6.60441,Multi-Route Logistics and Chokepoint Redesign
15,SC001,Supplier Diversification and Qualification Program,1,7.05838,Supplier Diversification and Qualification Program
15,SC005,Climate-Adjusted Infrastructure and Port Resilience Plan,2,7.02695,Supplier Diversification and Qualification Program
15,SC006,Fair Supplier Finance and Labor Continuity Program,3,7.01645,Supplier Diversification and Qualification Program
15,SC004,Multi-Route Logistics and Chokepoint Redesign,4,6.79618,Supplier Diversification and Qualification Program
15,SC003,Digital End-to-End Visibility and Cyber Resilience Platform,5,6.65146,Supplier Diversification and Qualification Program
15,SC002,Regional Buffer Inventory for Critical Goods,6,6.40355,Supplier Diversification and Qualification Program
16,SC005,Climate-Adjusted Infrastructure and Port Resilience Plan,1,7.38544,Climate-Adjusted Infrastructure and Port Resilience Plan
16,SC004,Multi-Route Logistics and Chokepoint Redesign,2,7.3715,Climate-Adjusted Infrastructure and Port Resilience Plan
16,SC001,Supplier Diversification and Qualification Program,3,7.26464,Climate-Adjusted Infrastructure and Port Resilience Plan
16,SC003,Digital End-to-End Visibility and Cyber Resilience Platform,4,7.14676,Climate-Adjusted Infrastructure and Port Resilience Plan
16,SC002,Regional Buffer Inventory for Critical Goods,5,7.0474,Climate-Adjusted Infrastructure and Port Resilience Plan
16,SC006,Fair Supplier Finance and Labor Continuity Program,6,6.93508,Climate-Adjusted Infrastructure and Port Resilience Plan
17,SC005,Climate-Adjusted Infrastructure and Port Resilience Plan,1,7.17277,Climate-Adjusted Infrastructure and Port Resilience Plan
17,SC004,Multi-Route Logistics and Chokepoint Redesign,2,7.06113,Climate-Adjusted Infrastructure and Port Resilience Plan
17,SC002,Regional Buffer Inventory for Critical Goods,3,6.98157,Climate-Adjusted Infrastructure and Port Resilience Plan
17,SC006,Fair Supplier Finance and Labor Continuity Program,4,6.87857,Climate-Adjusted Infrastructure and Port Resilience Plan
17,SC003,Digital End-to-End Visibility and Cyber Resilience Platform,5,6.78017,Climate-Adjusted Infrastructure and Port Resilience Plan
17,SC001,Supplier Diversification and Qualification Program,6,6.40421,Climate-Adjusted Infrastructure and Port Resilience Plan
18,SC006,Fair Supplier Finance and Labor Continuity Program,1,7.24793,Fair Supplier Finance and Labor Continuity Program
18,SC001,Supplier Diversification and Qualification Program,2,7.14739,Fair Supplier Finance and Labor Continuity Program
18,SC004,Multi-Route Logistics and Chokepoint Redesign,3,7.03348,Fair Supplier Finance and Labor Continuity Program
18,SC005,Climate-Adjusted Infrastructure and Port Resilience Plan,4,6.98755,Fair Supplier Finance and Labor Continuity Program
18,SC002,Regional Buffer Inventory for Critical Goods,5,6.83399,Fair Supplier Finance and Labor Continuity Program
18,SC003,Digital End-to-End Visibility and Cyber Resilience Platform,6,6.74628,Fair Supplier Finance and Labor Continuity Program
19,SC001,Supplier Diversification and Qualification Program,1,7.23769,Supplier Diversification and Qualification Program
19,SC003,Digital End-to-End Visibility and Cyber Resilience Platform,2,7.1312,Supplier Diversification and Qualification Program
19,SC005,Climate-Adjusted Infrastructure and Port Resilience Plan,3,7.05076,Supplier Diversification and Qualification Program
19,SC004,Multi-Route Logistics and Chokepoint Redesign,4,6.99936,Supplier Diversification and Qualification Program
19,SC002,Regional Buffer Inventory for Critical Goods,5,6.77577,Supplier Diversification and Qualification Program
19,SC006,Fair Supplier Finance and Labor Continuity Program,6,6.58686,Supplier Diversification and Qualification Program
20,SC006,Fair Supplier Finance and Labor Continuity Program,1,7.02931,Fair Supplier Finance and Labor Continuity Program
20,SC005,Climate-Adjusted Infrastructure and Port Resilience Plan,2,7.01657,Fair Supplier Finance and Labor Continuity Program
20,SC002,Regional Buffer Inventory for Critical Goods,3,6.94575,Fair Supplier Finance and Labor Continuity Program
20,SC003,Digital End-to-End Visibility and Cyber Resilience Platform,4,6.92149,Fair Supplier Finance and Labor Continuity Program
20,SC001,Supplier Diversification and Qualification Program,5,6.8672,Fair Supplier Finance and Labor Continuity Program
20,SC004,Multi-Route Logistics and Chokepoint Redesign,6,6.6559,Fair Supplier Finance and Labor Continuity Program
21,SC005,Climate-Adjusted Infrastructure and Port Resilience Plan,1,7.42389,Climate-Adjusted Infrastructure and Port Resilience Plan
21,SC006,Fair Supplier Finance and Labor Continuity Program,2,7.05433,Climate-Adjusted Infrastructure and Port Resilience Plan
21,SC004,Multi-Route Logistics and Chokepoint Redesign,3,7.00928,Climate-Adjusted Infrastructure and Port Resilience Plan
21,SC001,Supplier Diversification and Qualification Program,4,7.00518,Climate-Adjusted Infrastructure and Port Resilience Plan
21,SC003,Digital End-to-End Visibility and Cyber Resilience Platform,5,6.72856,Climate-Adjusted Infrastructure and Port Resilience Plan
21,SC002,Regional Buffer Inventory for Critical Goods,6,6.67707,Climate-Adjusted Infrastructure and Port Resilience Plan
22,SC003,Digital End-to-End Visibility and Cyber Resilience Platform,1,7.30379,Digital End-to-End Visibility and Cyber Resilience Platform
22,SC006,Fair Supplier Finance and Labor Continuity Program,2,6.94384,Digital End-to-End Visibility and Cyber Resilience Platform
22,SC004,Multi-Route Logistics and Chokepoint Redesign,3,6.92227,Digital End-to-End Visibility and Cyber Resilience Platform
22,SC005,Climate-Adjusted Infrastructure and Port Resilience Plan,4,6.78754,Digital End-to-End Visibility and Cyber Resilience Platform
22,SC001,Supplier Diversification and Qualification Program,5,6.6994,Digital End-to-End Visibility and Cyber Resilience Platform
22,SC002,Regional Buffer Inventory for Critical Goods,6,6.51508,Digital End-to-End Visibility and Cyber Resilience Platform
23,SC001,Supplier Diversification and Qualification Program,1,7.58211,Supplier Diversification and Qualification Program
23,SC004,Multi-Route Logistics and Chokepoint Redesign,2,7.38686,Supplier Diversification and Qualification Program
23,SC006,Fair Supplier Finance and Labor Continuity Program,3,7.18196,Supplier Diversification and Qualification Program
23,SC003,Digital End-to-End Visibility and Cyber Resilience Platform,4,7.17083,Supplier Diversification and Qualification Program
23,SC005,Climate-Adjusted Infrastructure and Port Resilience Plan,5,7.04265,Supplier Diversification and Qualification Program
23,SC002,Regional Buffer Inventory for Critical Goods,6,6.50398,Supplier Diversification and Qualification Program
24,SC003,Digital End-to-End Visibility and Cyber Resilience Platform,1,7.48044,Digital End-to-End Visibility and Cyber Resilience Platform
24,SC004,Multi-Route Logistics and Chokepoint Redesign,2,7.11493,Digital End-to-End Visibility and Cyber Resilience Platform
24,SC001,Supplier Diversification and Qualification Program,3,7.10273,Digital End-to-End Visibility and Cyber Resilience Platform
24,SC005,Climate-Adjusted Infrastructure and Port Resilience Plan,4,7.05602,Digital End-to-End Visibility and Cyber Resilience Platform
24,SC006,Fair Supplier Finance and Labor Continuity Program,5,7.00484,Digital End-to-End Visibility and Cyber Resilience Platform
24,SC002,Regional Buffer Inventory for Critical Goods,6,6.57869,Digital End-to-End Visibility and Cyber Resilience Platform
25,SC005,Climate-Adjusted Infrastructure and Port Resilience Plan,1,7.30798,Climate-Adjusted Infrastructure and Port Resilience Plan
25,SC004,Multi-Route Logistics and Chokepoint Redesign,2,7.28111,Climate-Adjusted Infrastructure and Port Resilience Plan
25,SC001,Supplier Diversification and Qualification Program,3,7.0189,Climate-Adjusted Infrastructure and Port Resilience Plan
25,SC003,Digital End-to-End Visibility and Cyber Resilience Platform,4,7.0089,Climate-Adjusted Infrastructure and Port Resilience Plan
25,SC006,Fair Supplier Finance and Labor Continuity Program,5,6.96772,Climate-Adjusted Infrastructure and Port Resilience Plan
25,SC002,Regional Buffer Inventory for Critical Goods,6,6.79215,Climate-Adjusted Infrastructure and Port Resilience Plan
26,SC005,Climate-Adjusted Infrastructure and Port Resilience Plan,1,7.16608,Climate-Adjusted Infrastructure and Port Resilience Plan
26,SC001,Supplier Diversification and Qualification Program,2,7.1183,Climate-Adjusted Infrastructure and Port Resilience Plan
26,SC006,Fair Supplier Finance and Labor Continuity Program,3,7.09194,Climate-Adjusted Infrastructure and Port Resilience Plan
26,SC004,Multi-Route Logistics and Chokepoint Redesign,4,6.96706,Climate-Adjusted Infrastructure and Port Resilience Plan
26,SC002,Regional Buffer Inventory for Critical Goods,5,6.88967,Climate-Adjusted Infrastructure and Port Resilience Plan
26,SC003,Digital End-to-End Visibility and Cyber Resilience Platform,6,6.69881,Climate-Adjusted Infrastructure and Port Resilience Plan
27,SC005,Climate-Adjusted Infrastructure and Port Resilience Plan,1,7.47168,Climate-Adjusted Infrastructure and Port Resilience Plan
27,SC006,Fair Supplier Finance and Labor Continuity Program,2,7.32085,Climate-Adjusted Infrastructure and Port Resilience Plan
27,SC004,Multi-Route Logistics and Chokepoint Redesign,3,7.20397,Climate-Adjusted Infrastructure and Port Resilience Plan
27,SC001,Supplier Diversification and Qualification Program,4,6.98115,Climate-Adjusted Infrastructure and Port Resilience Plan
27,SC003,Digital End-to-End Visibility and Cyber Resilience Platform,5,6.6994,Climate-Adjusted Infrastructure and Port Resilience Plan
27,SC002,Regional Buffer Inventory for Critical Goods,6,6.63289,Climate-Adjusted Infrastructure and Port Resilience Plan
28,SC005,Climate-Adjusted Infrastructure and Port Resilience Plan,1,7.23865,Climate-Adjusted Infrastructure and Port Resilience Plan
28,SC003,Digital End-to-End Visibility and Cyber Resilience Platform,2,7.08461,Climate-Adjusted Infrastructure and Port Resilience Plan
28,SC004,Multi-Route Logistics and Chokepoint Redesign,3,7.02343,Climate-Adjusted Infrastructure and Port Resilience Plan
28,SC006,Fair Supplier Finance and Labor Continuity Program,4,6.93678,Climate-Adjusted Infrastructure and Port Resilience Plan
28,SC002,Regional Buffer Inventory for Critical Goods,5,6.81083,Climate-Adjusted Infrastructure and Port Resilience Plan
28,SC001,Supplier Diversification and Qualification Program,6,6.50865,Climate-Adjusted Infrastructure and Port Resilience Plan
29,SC003,Digital End-to-End Visibility and Cyber Resilience Platform,1,7.27061,Digital End-to-End Visibility and Cyber Resilience Platform
29,SC004,Multi-Route Logistics and Chokepoint Redesign,2,7.24058,Digital End-to-End Visibility and Cyber Resilience Platform
29,SC002,Regional Buffer Inventory for Critical Goods,3,6.93973,Digital End-to-End Visibility and Cyber Resilience Platform
29,SC001,Supplier Diversification and Qualification Program,4,6.82465,Digital End-to-End Visibility and Cyber Resilience Platform
29,SC005,Climate-Adjusted Infrastructure and Port Resilience Plan,5,6.62378,Digital End-to-End Visibility and Cyber Resilience Platform
29,SC006,Fair Supplier Finance and Labor Continuity Program,6,6.57851,Digital End-to-End Visibility and Cyber Resilience Platform
30,SC004,Multi-Route Logistics and Chokepoint Redesign,1,7.30609,Multi-Route Logistics and Chokepoint Redesign
30,SC005,Climate-Adjusted Infrastructure and Port Resilience Plan,2,7.28125,Multi-Route Logistics and Chokepoint Redesign
30,SC003,Digital End-to-End Visibility and Cyber Resilience Platform,3,7.01051,Multi-Route Logistics and Chokepoint Redesign
30,SC002,Regional Buffer Inventory for Critical Goods,4,6.78218,Multi-Route Logistics and Chokepoint Redesign
30,SC001,Supplier Diversification and Qualification Program,5,6.72873,Multi-Route Logistics and Chokepoint Redesign
30,SC006,Fair Supplier Finance and Labor Continuity Program,6,6.67546,Multi-Route Logistics and Chokepoint Redesign
31,SC004,Multi-Route Logistics and Chokepoint Redesign,1,7.42659,Multi-Route Logistics and Chokepoint Redesign
31,SC005,Climate-Adjusted Infrastructure and Port Resilience Plan,2,7.21558,Multi-Route Logistics and Chokepoint Redesign
31,SC003,Digital End-to-End Visibility and Cyber Resilience Platform,3,7.05829,Multi-Route Logistics and Chokepoint Redesign
31,SC002,Regional Buffer Inventory for Critical Goods,4,6.83467,Multi-Route Logistics and Chokepoint Redesign
31,SC001,Supplier Diversification and Qualification Program,5,6.78731,Multi-Route Logistics and Chokepoint Redesign
31,SC006,Fair Supplier Finance and Labor Continuity Program,6,6.66147,Multi-Route Logistics and Chokepoint Redesign
32,SC005,Climate-Adjusted Infrastructure and Port Resilience Plan,1,7.53021,Climate-Adjusted Infrastructure and Port Resilience Plan
32,SC004,Multi-Route Logistics and Chokepoint Redesign,2,7.10928,Climate-Adjusted Infrastructure and Port Resilience Plan
32,SC006,Fair Supplier Finance and Labor Continuity Program,3,7.02024,Climate-Adjusted Infrastructure and Port Resilience Plan
32,SC003,Digital End-to-End Visibility and Cyber Resilience Platform,4,6.9545,Climate-Adjusted Infrastructure and Port Resilience Plan
32,SC002,Regional Buffer Inventory for Critical Goods,5,6.87414,Climate-Adjusted Infrastructure and Port Resilience Plan
32,SC001,Supplier Diversification and Qualification Program,6,6.76903,Climate-Adjusted Infrastructure and Port Resilience Plan
33,SC004,Multi-Route Logistics and Chokepoint Redesign,1,7.33331,Multi-Route Logistics and Chokepoint Redesign
33,SC006,Fair Supplier Finance and Labor Continuity Program,2,7.07137,Multi-Route Logistics and Chokepoint Redesign
33,SC001,Supplier Diversification and Qualification Program,3,7.01047,Multi-Route Logistics and Chokepoint Redesign
33,SC003,Digital End-to-End Visibility and Cyber Resilience Platform,4,6.91323,Multi-Route Logistics and Chokepoint Redesign
33,SC005,Climate-Adjusted Infrastructure and Port Resilience Plan,5,6.87445,Multi-Route Logistics and Chokepoint Redesign
33,SC002,Regional Buffer Inventory for Critical Goods,6,6.2905,Multi-Route Logistics and Chokepoint Redesign
34,SC001,Supplier Diversification and Qualification Program,1,7.49822,Supplier Diversification and Qualification Program
34,SC004,Multi-Route Logistics and Chokepoint Redesign,2,7.42379,Supplier Diversification and Qualification Program
34,SC005,Climate-Adjusted Infrastructure and Port Resilience Plan,3,7.37073,Supplier Diversification and Qualification Program
34,SC006,Fair Supplier Finance and Labor Continuity Program,4,7.15983,Supplier Diversification and Qualification Program
34,SC003,Digital End-to-End Visibility and Cyber Resilience Platform,5,6.85299,Supplier Diversification and Qualification Program
34,SC002,Regional Buffer Inventory for Critical Goods,6,6.60852,Supplier Diversification and Qualification Program
35,SC004,Multi-Route Logistics and Chokepoint Redesign,1,7.22626,Multi-Route Logistics and Chokepoint Redesign
35,SC006,Fair Supplier Finance and Labor Continuity Program,2,7.13668,Multi-Route Logistics and Chokepoint Redesign
35,SC003,Digital End-to-End Visibility and Cyber Resilience Platform,3,7.01737,Multi-Route Logistics and Chokepoint Redesign
35,SC005,Climate-Adjusted Infrastructure and Port Resilience Plan,4,6.96221,Multi-Route Logistics and Chokepoint Redesign
35,SC001,Supplier Diversification and Qualification Program,5,6.83235,Multi-Route Logistics and Chokepoint Redesign
35,SC002,Regional Buffer Inventory for Critical Goods,6,6.69151,Multi-Route Logistics and Chokepoint Redesign
36,SC006,Fair Supplier Finance and Labor Continuity Program,1,7.37285,Fair Supplier Finance and Labor Continuity Program
36,SC005,Climate-Adjusted Infrastructure and Port Resilience Plan,2,7.11173,Fair Supplier Finance and Labor Continuity Program
36,SC004,Multi-Route Logistics and Chokepoint Redesign,3,7.10632,Fair Supplier Finance and Labor Continuity Program
36,SC001,Supplier Diversification and Qualification Program,4,6.84921,Fair Supplier Finance and Labor Continuity Program
36,SC003,Digital End-to-End Visibility and Cyber Resilience Platform,5,6.68586,Fair Supplier Finance and Labor Continuity Program
36,SC002,Regional Buffer Inventory for Critical Goods,6,6.53091,Fair Supplier Finance and Labor Continuity Program
37,SC001,Supplier Diversification and Qualification Program,1,7.39271,Supplier Diversification and Qualification Program
37,SC005,Climate-Adjusted Infrastructure and Port Resilience Plan,2,7.1028,Supplier Diversification and Qualification Program
37,SC006,Fair Supplier Finance and Labor Continuity Program,3,6.86983,Supplier Diversification and Qualification Program
37,SC004,Multi-Route Logistics and Chokepoint Redesign,4,6.83795,Supplier Diversification and Qualification Program
37,SC003,Digital End-to-End Visibility and Cyber Resilience Platform,5,6.69202,Supplier Diversification and Qualification Program
37,SC002,Regional Buffer Inventory for Critical Goods,6,6.37085,Supplier Diversification and Qualification Program
38,SC004,Multi-Route Logistics and Chokepoint Redesign,1,7.40013,Multi-Route Logistics and Chokepoint Redesign
38,SC001,Supplier Diversification and Qualification Program,2,7.23913,Multi-Route Logistics and Chokepoint Redesign
38,SC005,Climate-Adjusted Infrastructure and Port Resilience Plan,3,6.85823,Multi-Route Logistics and Chokepoint Redesign
38,SC006,Fair Supplier Finance and Labor Continuity Program,4,6.83751,Multi-Route Logistics and Chokepoint Redesign
38,SC003,Digital End-to-End Visibility and Cyber Resilience Platform,5,6.80435,Multi-Route Logistics and Chokepoint Redesign
38,SC002,Regional Buffer Inventory for Critical Goods,6,6.48258,Multi-Route Logistics and Chokepoint Redesign
39,SC004,Multi-Route Logistics and Chokepoint Redesign,1,7.31244,Multi-Route Logistics and Chokepoint Redesign
39,SC006,Fair Supplier Finance and Labor Continuity Program,2,7.22976,Multi-Route Logistics and Chokepoint Redesign
39,SC003,Digital End-to-End Visibility and Cyber Resilience Platform,3,7.08003,Multi-Route Logistics and Chokepoint Redesign
39,SC001,Supplier Diversification and Qualification Program,4,7.02204,Multi-Route Logistics and Chokepoint Redesign
39,SC005,Climate-Adjusted Infrastructure and Port Resilience Plan,5,6.83386,Multi-Route Logistics and Chokepoint Redesign
39,SC002,Regional Buffer Inventory for Critical Goods,6,6.63972,Multi-Route Logistics and Chokepoint Redesign
40,SC004,Multi-Route Logistics and Chokepoint Redesign,1,7.59322,Multi-Route Logistics and Chokepoint Redesign
40,SC002,Regional Buffer Inventory for Critical Goods,2,7.21844,Multi-Route Logistics and Chokepoint Redesign
