network_id,network,network_context,time,event,disruption_load,adaptive_response,flow_performance,inventory_thinness,supplier_concentration,equity_adjusted_flow
SN001,Semiconductor-dependent manufacturing network,critical components and specialized upstream suppliers,25,background supply-network stress,0.15919,0.35297,1.0,0.77425,0.85841,1.0
SN001,Semiconductor-dependent manufacturing network,critical components and specialized upstream suppliers,26,background supply-network stress,0.15998,0.35331,1.0,0.77355,0.85659,1.0
SN001,Semiconductor-dependent manufacturing network,critical components and specialized upstream suppliers,27,Upstream supplier failure in concentrated critical input,0.84513,0.35365,0.84066,0.78946,0.86316,0.72109
SN001,Semiconductor-dependent manufacturing network,critical components and specialized upstream suppliers,28,background supply-network stress,0.16026,0.35082,0.92416,0.7888,0.86135,0.94797
SN001,Semiconductor-dependent manufacturing network,critical components and specialized upstream suppliers,29,background supply-network stress,0.15904,0.35115,1.0,0.78816,0.85954,1.0
SN001,Semiconductor-dependent manufacturing network,critical components and specialized upstream suppliers,30,background supply-network stress,0.16011,0.35148,1.0,0.78752,0.85773,1.0
SN001,Semiconductor-dependent manufacturing network,critical components and specialized upstream suppliers,31,background supply-network stress,0.15915,0.35181,1.0,0.7869,0.85592,1.0
SN001,Semiconductor-dependent manufacturing network,critical components and specialized upstream suppliers,32,background supply-network stress,0.15901,0.35214,1.0,0.78628,0.8541,1.0
SN001,Semiconductor-dependent manufacturing network,critical components and specialized upstream suppliers,33,background supply-network stress,0.15988,0.35247,1.0,0.78567,0.85228,1.0
SN001,Semiconductor-dependent manufacturing network,critical components and specialized upstream suppliers,34,background supply-network stress,0.16073,0.3528,1.0,0.78507,0.85046,1.0
SN001,Semiconductor-dependent manufacturing network,critical components and specialized upstream suppliers,35,background supply-network stress,0.16041,0.35313,1.0,0.78448,0.84863,1.0
SN001,Semiconductor-dependent manufacturing network,critical components and specialized upstream suppliers,36,background supply-network stress,0.15976,0.35345,1.0,0.7839,0.8468,1.0
SN001,Semiconductor-dependent manufacturing network,critical components and specialized upstream suppliers,37,background supply-network stress,0.16115,0.35378,1.0,0.78332,0.84497,1.0
SN001,Semiconductor-dependent manufacturing network,critical components and specialized upstream suppliers,38,background supply-network stress,0.16139,0.3541,1.0,0.78276,0.84314,1.0
SN001,Semiconductor-dependent manufacturing network,critical components and specialized upstream suppliers,39,background supply-network stress,0.16013,0.35443,1.0,0.7822,0.84131,1.0
SN001,Semiconductor-dependent manufacturing network,critical components and specialized upstream suppliers,40,background supply-network stress,0.16064,0.35475,1.0,0.78166,0.83947,1.0
SN001,Semiconductor-dependent manufacturing network,critical components and specialized upstream suppliers,41,background supply-network stress,0.16111,0.35508,1.0,0.78112,0.83763,1.0
SN001,Semiconductor-dependent manufacturing network,critical components and specialized upstream suppliers,42,Cyber outage affecting tracking customs and warehouse systems,0.81539,0.3554,0.84236,0.79484,0.84138,0.74613
SN001,Semiconductor-dependent manufacturing network,critical components and specialized upstream suppliers,43,background supply-network stress,0.16204,0.35323,0.92582,0.79435,0.83956,0.94967
SN001,Semiconductor-dependent manufacturing network,critical components and specialized upstream suppliers,44,background supply-network stress,0.16059,0.35354,1.0,0.79386,0.83773,1.0
SN001,Semiconductor-dependent manufacturing network,critical components and specialized upstream suppliers,45,background supply-network stress,0.16153,0.35385,1.0,0.79338,0.8359,1.0
SN001,Semiconductor-dependent manufacturing network,critical components and specialized upstream suppliers,46,background supply-network stress,0.16246,0.35417,1.0,0.79291,0.83406,1.0
SN001,Semiconductor-dependent manufacturing network,critical components and specialized upstream suppliers,47,background supply-network stress,0.16183,0.35448,1.0,0.79245,0.83223,1.0
SN001,Semiconductor-dependent manufacturing network,critical components and specialized upstream suppliers,48,background supply-network stress,0.16215,0.35479,1.0,0.792,0.83039,1.0
SN001,Semiconductor-dependent manufacturing network,critical components and specialized upstream suppliers,49,background supply-network stress,0.16236,0.35511,1.0,0.79156,0.82855,1.0
SN001,Semiconductor-dependent manufacturing network,critical components and specialized upstream suppliers,50,background supply-network stress,0.16191,0.35542,1.0,0.79112,0.82671,1.0
SN001,Semiconductor-dependent manufacturing network,critical components and specialized upstream suppliers,51,background supply-network stress,0.16157,0.35573,1.0,0.7907,0.82486,1.0
SN001,Semiconductor-dependent manufacturing network,critical components and specialized upstream suppliers,52,background supply-network stress,0.16227,0.35604,1.0,0.79028,0.82301,1.0
SN001,Semiconductor-dependent manufacturing network,critical components and specialized upstream suppliers,53,background supply-network stress,0.16224,0.35634,1.0,0.78987,0.82116,1.0
SN001,Semiconductor-dependent manufacturing network,critical components and specialized upstream suppliers,54,background supply-network stress,0.16197,0.35665,1.0,0.78947,0.81931,1.0
SN001,Semiconductor-dependent manufacturing network,critical components and specialized upstream suppliers,55,background supply-network stress,0.16308,0.35696,1.0,0.78908,0.81745,1.0
SN001,Semiconductor-dependent manufacturing network,critical components and specialized upstream suppliers,56,Climate disaster damaging infrastructure and cold chains,0.91565,0.35727,0.77389,0.80615,0.82199,0.64214
SN001,Semiconductor-dependent manufacturing network,critical components and specialized upstream suppliers,57,background supply-network stress,0.16254,0.35458,0.85748,0.80581,0.82016,0.87957
SN001,Semiconductor-dependent manufacturing network,critical components and specialized upstream suppliers,58,background supply-network stress,0.16288,0.35488,0.94104,0.80548,0.81832,0.96528
SN001,Semiconductor-dependent manufacturing network,critical components and specialized upstream suppliers,59,background supply-network stress,0.16353,0.35518,1.0,0.80515,0.81648,1.0
SN001,Semiconductor-dependent manufacturing network,critical components and specialized upstream suppliers,60,background supply-network stress,0.16373,0.35547,1.0,0.80484,0.81463,1.0
SN001,Semiconductor-dependent manufacturing network,critical components and specialized upstream suppliers,61,background supply-network stress,0.16398,0.35577,1.0,0.80453,0.81279,1.0
SN001,Semiconductor-dependent manufacturing network,critical components and specialized upstream suppliers,62,background supply-network stress,0.1636,0.35607,1.0,0.80424,0.81094,1.0
SN001,Semiconductor-dependent manufacturing network,critical components and specialized upstream suppliers,63,background supply-network stress,0.1629,0.35636,1.0,0.80395,0.80909,1.0
SN001,Semiconductor-dependent manufacturing network,critical components and specialized upstream suppliers,64,background supply-network stress,0.16419,0.35665,1.0,0.80367,0.80723,1.0
SN001,Semiconductor-dependent manufacturing network,critical components and specialized upstream suppliers,65,background supply-network stress,0.16441,0.35695,1.0,0.8034,0.80538,1.0
SN001,Semiconductor-dependent manufacturing network,critical components and specialized upstream suppliers,66,background supply-network stress,0.16411,0.35724,1.0,0.80314,0.80352,1.0
SN001,Semiconductor-dependent manufacturing network,critical components and specialized upstream suppliers,67,background supply-network stress,0.16431,0.35753,1.0,0.80289,0.80166,1.0
SN001,Semiconductor-dependent manufacturing network,critical components and specialized upstream suppliers,68,background supply-network stress,0.1639,0.35782,1.0,0.80265,0.7998,1.0
SN001,Semiconductor-dependent manufacturing network,critical components and specialized upstream suppliers,69,background supply-network stress,0.16396,0.35811,1.0,0.80241,0.79793,1.0
SN001,Semiconductor-dependent manufacturing network,critical components and specialized upstream suppliers,70,Compound demand surge supplier failure and logistics disruption,0.98037,0.3584,0.74243,0.82091,0.80407,0.60772
SN001,Semiconductor-dependent manufacturing network,critical components and specialized upstream suppliers,71,background supply-network stress,0.16462,0.35532,0.82552,0.82073,0.80222,0.84679
SN001,Semiconductor-dependent manufacturing network,critical components and specialized upstream suppliers,72,background supply-network stress,0.16384,0.3556,0.90893,0.82056,0.80038,0.93234
SN001,Semiconductor-dependent manufacturing network,critical components and specialized upstream suppliers,73,background supply-network stress,0.165,0.35588,0.99202,0.82039,0.79853,1.0
SN001,Semiconductor-dependent manufacturing network,critical components and specialized upstream suppliers,74,background supply-network stress,0.16547,0.35616,1.0,0.82024,0.79668,1.0
SN001,Semiconductor-dependent manufacturing network,critical components and specialized upstream suppliers,75,background supply-network stress,0.16417,0.35644,1.0,0.8201,0.79483,1.0
SN001,Semiconductor-dependent manufacturing network,critical components and specialized upstream suppliers,76,background supply-network stress,0.16545,0.35671,1.0,0.81996,0.79298,1.0
SN001,Semiconductor-dependent manufacturing network,critical components and specialized upstream suppliers,77,background supply-network stress,0.16545,0.35699,1.0,0.81983,0.79112,1.0
SN001,Semiconductor-dependent manufacturing network,critical components and specialized upstream suppliers,78,background supply-network stress,0.16438,0.35726,1.0,0.81972,0.78926,1.0
SN001,Semiconductor-dependent manufacturing network,critical components and specialized upstream suppliers,79,background supply-network stress,0.16433,0.35754,1.0,0.81961,0.7874,1.0
SN002,Port-centered consumer goods logistics network,port logistics and retail distribution,0,background supply-network stress,0.16085,0.2972,0.84991,0.81955,0.73862,0.8699
SN002,Port-centered consumer goods logistics network,port logistics and retail distribution,1,background supply-network stress,0.16018,0.29745,0.92009,0.81911,0.73724,0.94173
SN002,Port-centered consumer goods logistics network,port logistics and retail distribution,2,background supply-network stress,0.16182,0.29769,0.9898,0.81867,0.73586,1.0
SN002,Port-centered consumer goods logistics network,port logistics and retail distribution,3,background supply-network stress,0.16184,0.29794,1.0,0.81825,0.73448,1.0
SN002,Port-centered consumer goods logistics network,port logistics and retail distribution,4,background supply-network stress,0.16103,0.29818,1.0,0.81784,0.73309,1.0
SN002,Port-centered consumer goods logistics network,port logistics and retail distribution,5,background supply-network stress,0.16152,0.29843,1.0,0.81743,0.7317,1.0
SN002,Port-centered consumer goods logistics network,port logistics and retail distribution,6,background supply-network stress,0.16072,0.29867,1.0,0.81704,0.73032,1.0
SN002,Port-centered consumer goods logistics network,port logistics and retail distribution,7,background supply-network stress,0.16084,0.29891,1.0,0.81665,0.72892,1.0
SN002,Port-centered consumer goods logistics network,port logistics and retail distribution,8,background supply-network stress,0.16107,0.29915,1.0,0.81628,0.72753,1.0
SN002,Port-centered consumer goods logistics network,port logistics and retail distribution,9,background supply-network stress,0.16198,0.29939,1.0,0.81591,0.72614,1.0
SN002,Port-centered consumer goods logistics network,port logistics and retail distribution,10,background supply-network stress,0.16112,0.29963,1.0,0.81555,0.72474,1.0
SN002,Port-centered consumer goods logistics network,port logistics and retail distribution,11,background supply-network stress,0.16274,0.29987,1.0,0.81521,0.72334,1.0
SN002,Port-centered consumer goods logistics network,port logistics and retail distribution,12,Port closure and inland logistics congestion,0.84276,0.30011,0.79944,0.83069,0.72714,0.69737
SN002,Port-centered consumer goods logistics network,port logistics and retail distribution,13,background supply-network stress,0.16136,0.29772,0.8693,0.83038,0.72576,0.88975
SN002,Port-centered consumer goods logistics network,port logistics and retail distribution,14,background supply-network stress,0.16171,0.29795,0.93911,0.83009,0.72437,0.96119
SN002,Port-centered consumer goods logistics network,port logistics and retail distribution,15,background supply-network stress,0.1616,0.29818,1.0,0.82981,0.72299,1.0
SN002,Port-centered consumer goods logistics network,port logistics and retail distribution,16,background supply-network stress,0.16306,0.2984,1.0,0.82954,0.7216,1.0
SN002,Port-centered consumer goods logistics network,port logistics and retail distribution,17,background supply-network stress,0.16236,0.29863,1.0,0.82928,0.72021,1.0
SN002,Port-centered consumer goods logistics network,port logistics and retail distribution,18,background supply-network stress,0.16267,0.29886,1.0,0.82902,0.71882,1.0
SN002,Port-centered consumer goods logistics network,port logistics and retail distribution,19,background supply-network stress,0.16248,0.29908,1.0,0.82878,0.71743,1.0
SN002,Port-centered consumer goods logistics network,port logistics and retail distribution,20,background supply-network stress,0.16321,0.29931,1.0,0.82855,0.71603,1.0
SN002,Port-centered consumer goods logistics network,port logistics and retail distribution,21,background supply-network stress,0.16284,0.29953,1.0,0.82833,0.71464,1.0
SN002,Port-centered consumer goods logistics network,port logistics and retail distribution,22,background supply-network stress,0.16255,0.29975,1.0,0.82811,0.71324,1.0
SN002,Port-centered consumer goods logistics network,port logistics and retail distribution,23,background supply-network stress,0.1631,0.29997,1.0,0.82791,0.71184,1.0
SN002,Port-centered consumer goods logistics network,port logistics and retail distribution,24,background supply-network stress,0.16295,0.30019,1.0,0.82771,0.71044,1.0
SN002,Port-centered consumer goods logistics network,port logistics and retail distribution,25,background supply-network stress,0.16266,0.30041,1.0,0.82753,0.70904,1.0
SN002,Port-centered consumer goods logistics network,port logistics and retail distribution,26,background supply-network stress,0.16419,0.30063,1.0,0.82736,0.70763,1.0
SN002,Port-centered consumer goods logistics network,port logistics and retail distribution,27,Upstream supplier failure in concentrated critical input,0.84951,0.30085,0.81104,0.84379,0.71462,0.69387
SN002,Port-centered consumer goods logistics network,port logistics and retail distribution,28,background supply-network stress,0.16438,0.2979,0.87998,0.84366,0.71324,0.90068
SN002,Port-centered consumer goods logistics network,port logistics and retail distribution,29,background supply-network stress,0.16445,0.29811,0.94894,0.84355,0.71186,0.97126
SN002,Port-centered consumer goods logistics network,port logistics and retail distribution,30,background supply-network stress,0.16499,0.29831,1.0,0.84345,0.71047,1.0
SN002,Port-centered consumer goods logistics network,port logistics and retail distribution,31,background supply-network stress,0.16411,0.29852,1.0,0.84335,0.70908,1.0
SN002,Port-centered consumer goods logistics network,port logistics and retail distribution,32,background supply-network stress,0.16419,0.29873,1.0,0.84327,0.70769,1.0
SN002,Port-centered consumer goods logistics network,port logistics and retail distribution,33,background supply-network stress,0.16438,0.29893,1.0,0.8432,0.7063,1.0
SN002,Port-centered consumer goods logistics network,port logistics and retail distribution,34,background supply-network stress,0.16444,0.29913,1.0,0.84313,0.70491,1.0
SN002,Port-centered consumer goods logistics network,port logistics and retail distribution,35,background supply-network stress,0.16508,0.29934,1.0,0.84308,0.70351,1.0
SN002,Port-centered consumer goods logistics network,port logistics and retail distribution,36,background supply-network stress,0.16386,0.29954,1.0,0.84304,0.70212,1.0
SN002,Port-centered consumer goods logistics network,port logistics and retail distribution,37,background supply-network stress,0.16488,0.29974,1.0,0.843,0.70072,1.0
SN002,Port-centered consumer goods logistics network,port logistics and retail distribution,38,background supply-network stress,0.16512,0.29994,1.0,0.84298,0.69932,1.0
SN002,Port-centered consumer goods logistics network,port logistics and retail distribution,39,background supply-network stress,0.16485,0.30014,1.0,0.84297,0.69792,1.0
SN002,Port-centered consumer goods logistics network,port logistics and retail distribution,40,background supply-network stress,0.1643,0.30034,1.0,0.84296,0.69651,1.0
SN002,Port-centered consumer goods logistics network,port logistics and retail distribution,41,background supply-network stress,0.16577,0.30053,1.0,0.84297,0.69511,1.0
SN002,Port-centered consumer goods logistics network,port logistics and retail distribution,42,Cyber outage affecting tracking customs and warehouse systems,0.81993,0.30073,0.81228,0.85724,0.6993,0.71767
SN002,Port-centered consumer goods logistics network,port logistics and retail distribution,43,background supply-network stress,0.1648,0.29843,0.8812,0.8573,0.69792,0.90193
SN002,Port-centered consumer goods logistics network,port logistics and retail distribution,44,background supply-network stress,0.16602,0.29862,0.94977,0.85736,0.69653,0.97211
SN002,Port-centered consumer goods logistics network,port logistics and retail distribution,45,background supply-network stress,0.1653,0.2988,1.0,0.85743,0.69514,1.0
SN002,Port-centered consumer goods logistics network,port logistics and retail distribution,46,background supply-network stress,0.16517,0.29899,1.0,0.85751,0.69375,1.0
SN002,Port-centered consumer goods logistics network,port logistics and retail distribution,47,background supply-network stress,0.16557,0.29917,1.0,0.8576,0.69235,1.0
SN002,Port-centered consumer goods logistics network,port logistics and retail distribution,48,background supply-network stress,0.16544,0.29936,1.0,0.85771,0.69096,1.0
SN002,Port-centered consumer goods logistics network,port logistics and retail distribution,49,background supply-network stress,0.16572,0.29954,1.0,0.85782,0.68956,1.0
SN002,Port-centered consumer goods logistics network,port logistics and retail distribution,50,background supply-network stress,0.16689,0.29972,1.0,0.85794,0.68816,1.0
SN002,Port-centered consumer goods logistics network,port logistics and retail distribution,51,background supply-network stress,0.16708,0.2999,1.0,0.85807,0.68676,1.0
SN002,Port-centered consumer goods logistics network,port logistics and retail distribution,52,background supply-network stress,0.16646,0.30008,1.0,0.85822,0.68536,1.0
SN002,Port-centered consumer goods logistics network,port logistics and retail distribution,53,background supply-network stress,0.16714,0.30026,1.0,0.85837,0.68396,1.0
SN002,Port-centered consumer goods logistics network,port logistics and retail distribution,54,background supply-network stress,0.16689,0.30044,1.0,0.85853,0.68256,1.0
SN002,Port-centered consumer goods logistics network,port logistics and retail distribution,55,background supply-network stress,0.16705,0.30062,1.0,0.85871,0.68115,1.0
SN002,Port-centered consumer goods logistics network,port logistics and retail distribution,56,Climate disaster damaging infrastructure and cold chains,0.92034,0.30079,0.74337,0.87634,0.68615,0.61515
SN002,Port-centered consumer goods logistics network,port logistics and retail distribution,57,background supply-network stress,0.16827,0.29798,0.81108,0.87656,0.68476,0.83015
SN002,Port-centered consumer goods logistics network,port logistics and retail distribution,58,background supply-network stress,0.16724,0.29815,0.87915,0.8768,0.68338,0.89983
SN002,Port-centered consumer goods logistics network,port logistics and retail distribution,59,background supply-network stress,0.16847,0.29831,0.94687,0.87704,0.68199,0.96914
SN002,Port-centered consumer goods logistics network,port logistics and retail distribution,60,background supply-network stress,0.16822,0.29848,1.0,0.8773,0.6806,1.0
SN002,Port-centered consumer goods logistics network,port logistics and retail distribution,61,background supply-network stress,0.16831,0.29864,1.0,0.87757,0.67921,1.0
SN002,Port-centered consumer goods logistics network,port logistics and retail distribution,62,background supply-network stress,0.16706,0.2988,1.0,0.87784,0.67782,1.0
SN002,Port-centered consumer goods logistics network,port logistics and retail distribution,63,background supply-network stress,0.16733,0.29896,1.0,0.87813,0.67643,1.0
SN002,Port-centered consumer goods logistics network,port logistics and retail distribution,64,background supply-network stress,0.16733,0.29912,1.0,0.87842,0.67504,1.0
SN002,Port-centered consumer goods logistics network,port logistics and retail distribution,65,background supply-network stress,0.16806,0.29928,1.0,0.87873,0.67364,1.0
SN002,Port-centered consumer goods logistics network,port logistics and retail distribution,66,background supply-network stress,0.16937,0.29944,1.0,0.87905,0.67225,1.0
SN002,Port-centered consumer goods logistics network,port logistics and retail distribution,67,background supply-network stress,0.16934,0.2996,1.0,0.87938,0.67085,1.0
SN002,Port-centered consumer goods logistics network,port logistics and retail distribution,68,background supply-network stress,0.16937,0.29976,1.0,0.87972,0.66945,1.0
SN002,Port-centered consumer goods logistics network,port logistics and retail distribution,69,background supply-network stress,0.16804,0.29991,1.0,0.88006,0.66805,1.0
SN002,Port-centered consumer goods logistics network,port logistics and retail distribution,70,Compound demand surge supplier failure and logistics disruption,0.98521,0.30006,0.71145,0.89914,0.67465,0.58077
SN002,Port-centered consumer goods logistics network,port logistics and retail distribution,71,background supply-network stress,0.16971,0.29685,0.77845,0.89955,0.67328,0.79675
SN002,Port-centered consumer goods logistics network,port logistics and retail distribution,72,background supply-network stress,0.16996,0.297,0.8454,0.89996,0.6719,0.86528
SN002,Port-centered consumer goods logistics network,port logistics and retail distribution,73,background supply-network stress,0.17014,0.29714,0.91232,0.90039,0.67053,0.93378
SN002,Port-centered consumer goods logistics network,port logistics and retail distribution,74,background supply-network stress,0.17021,0.29728,0.97926,0.90082,0.66915,1.0
SN002,Port-centered consumer goods logistics network,port logistics and retail distribution,75,background supply-network stress,0.16902,0.29742,1.0,0.90127,0.66777,1.0
SN002,Port-centered consumer goods logistics network,port logistics and retail distribution,76,background supply-network stress,0.16921,0.29756,1.0,0.90172,0.66639,1.0
SN002,Port-centered consumer goods logistics network,port logistics and retail distribution,77,background supply-network stress,0.17054,0.2977,1.0,0.90219,0.66501,1.0
SN002,Port-centered consumer goods logistics network,port logistics and retail distribution,78,background supply-network stress,0.17054,0.29784,1.0,0.90267,0.66362,1.0
SN002,Port-centered consumer goods logistics network,port logistics and retail distribution,79,background supply-network stress,0.17096,0.29797,1.0,0.90316,0.66224,1.0
SN003,Medical and pharmaceutical critical supply network,healthcare medical inputs and cold-chain continuity,0,background supply-network stress,0.15735,0.334,0.88233,0.83918,0.81833,0.91889
SN003,Medical and pharmaceutical critical supply network,healthcare medical inputs and cold-chain continuity,1,background supply-network stress,0.15838,0.33433,0.9644,0.83837,0.81665,1.0
SN003,Medical and pharmaceutical critical supply network,healthcare medical inputs and cold-chain continuity,2,background supply-network stress,0.15758,0.33466,1.0,0.83757,0.81498,1.0
SN003,Medical and pharmaceutical critical supply network,healthcare medical inputs and cold-chain continuity,3,background supply-network stress,0.15876,0.335,1.0,0.83677,0.8133,1.0
SN003,Medical and pharmaceutical critical supply network,healthcare medical inputs and cold-chain continuity,4,background supply-network stress,0.15864,0.33533,1.0,0.83599,0.81161,1.0
SN003,Medical and pharmaceutical critical supply network,healthcare medical inputs and cold-chain continuity,5,background supply-network stress,0.15829,0.33566,1.0,0.83521,0.80993,1.0
SN003,Medical and pharmaceutical critical supply network,healthcare medical inputs and cold-chain continuity,6,background supply-network stress,0.15884,0.33598,1.0,0.83444,0.80824,1.0
SN003,Medical and pharmaceutical critical supply network,healthcare medical inputs and cold-chain continuity,7,background supply-network stress,0.15883,0.33631,1.0,0.83368,0.80655,1.0
SN003,Medical and pharmaceutical critical supply network,healthcare medical inputs and cold-chain continuity,8,background supply-network stress,0.15788,0.33664,1.0,0.83293,0.80486,1.0
SN003,Medical and pharmaceutical critical supply network,healthcare medical inputs and cold-chain continuity,9,background supply-network stress,0.15895,0.33697,1.0,0.83219,0.80316,1.0
SN003,Medical and pharmaceutical critical supply network,healthcare medical inputs and cold-chain continuity,10,background supply-network stress,0.15922,0.33729,1.0,0.83146,0.80146,1.0
SN003,Medical and pharmaceutical critical supply network,healthcare medical inputs and cold-chain continuity,11,background supply-network stress,0.15911,0.33762,1.0,0.83073,0.79976,1.0
SN003,Medical and pharmaceutical critical supply network,healthcare medical inputs and cold-chain continuity,12,Port closure and inland logistics congestion,0.84003,0.33795,0.81944,0.84583,0.80326,0.7295
SN003,Medical and pharmaceutical critical supply network,healthcare medical inputs and cold-chain continuity,13,background supply-network stress,0.16024,0.33564,0.9012,0.84515,0.80157,0.93855
SN003,Medical and pharmaceutical critical supply network,healthcare medical inputs and cold-chain continuity,14,background supply-network stress,0.16005,0.33596,0.9831,0.84448,0.79989,1.0
SN003,Medical and pharmaceutical critical supply network,healthcare medical inputs and cold-chain continuity,15,background supply-network stress,0.15943,0.33628,1.0,0.84382,0.7982,1.0
SN003,Medical and pharmaceutical critical supply network,healthcare medical inputs and cold-chain continuity,16,background supply-network stress,0.15922,0.33659,1.0,0.84317,0.7965,1.0
SN003,Medical and pharmaceutical critical supply network,healthcare medical inputs and cold-chain continuity,17,background supply-network stress,0.15912,0.33691,1.0,0.84252,0.79481,1.0
SN003,Medical and pharmaceutical critical supply network,healthcare medical inputs and cold-chain continuity,18,background supply-network stress,0.16058,0.33722,1.0,0.84188,0.79311,1.0
SN003,Medical and pharmaceutical critical supply network,healthcare medical inputs and cold-chain continuity,19,background supply-network stress,0.16043,0.33754,1.0,0.84126,0.79141,1.0
SN003,Medical and pharmaceutical critical supply network,healthcare medical inputs and cold-chain continuity,20,background supply-network stress,0.16036,0.33785,1.0,0.84064,0.78971,1.0
SN003,Medical and pharmaceutical critical supply network,healthcare medical inputs and cold-chain continuity,21,background supply-network stress,0.16012,0.33816,1.0,0.84003,0.788,1.0
SN003,Medical and pharmaceutical critical supply network,healthcare medical inputs and cold-chain continuity,22,background supply-network stress,0.16034,0.33848,1.0,0.83943,0.78629,1.0
SN003,Medical and pharmaceutical critical supply network,healthcare medical inputs and cold-chain continuity,23,background supply-network stress,0.15987,0.33879,1.0,0.83884,0.78458,1.0
SN003,Medical and pharmaceutical critical supply network,healthcare medical inputs and cold-chain continuity,24,background supply-network stress,0.16058,0.3391,1.0,0.83825,0.78287,1.0
SN003,Medical and pharmaceutical critical supply network,healthcare medical inputs and cold-chain continuity,25,background supply-network stress,0.15991,0.33941,1.0,0.83768,0.78115,1.0
SN003,Medical and pharmaceutical critical supply network,healthcare medical inputs and cold-chain continuity,26,background supply-network stress,0.16095,0.33972,1.0,0.83711,0.77944,1.0
SN003,Medical and pharmaceutical critical supply network,healthcare medical inputs and cold-chain continuity,27,Upstream supplier failure in concentrated critical input,0.84667,0.34003,0.83137,0.85315,0.78612,0.72615
SN003,Medical and pharmaceutical critical supply network,healthcare medical inputs and cold-chain continuity,28,background supply-network stress,0.16143,0.33717,0.91309,0.85264,0.78442,0.95093
