scenario,strategy_id,strategy,system_domain,rank,supply_chain_resilience_value,systemic_exposure,implementation_burden,critical_function
Visibility-first,SC003,Digital End-to-End Visibility and Cyber Resilience Platform,digital visibility and cyber-resilient coordination,1,7.721,4.3,3.6,improves tier mapping shipment visibility bottleneck detection cybersecurity and operational response
Visibility-first,SC004,Multi-Route Logistics and Chokepoint Redesign,logistics route diversity and chokepoint management,2,7.608,4.0,3.4,creates alternate routes intermodal options port diversification and emergency logistics capacity
Visibility-first,SC005,Climate-Adjusted Infrastructure and Port Resilience Plan,climate infrastructure and port resilience,3,7.546,4.2,3.8,adapts ports warehouses energy systems roads rail and cold chains to climate hazards and disruption
Visibility-first,SC001,Supplier Diversification and Qualification Program,supplier diversification and concentration-risk reduction,4,7.371,4.0,3.2,reduces single-source dependence by qualifying alternative suppliers and mapping upstream critical inputs
Visibility-first,SC006,Fair Supplier Finance and Labor Continuity Program,supplier viability labor standards and social resilience,5,7.342,3.8,3.0,protects workers small suppliers community continuity fair contracts liquidity and labor rights under stress
Visibility-first,SC002,Regional Buffer Inventory for Critical Goods,strategic inventory and critical-goods continuity,6,7.035,4.1,3.1,protects essential goods with targeted stock buffers reserve capacity and replenishment protocols
Coordination-first,SC005,Climate-Adjusted Infrastructure and Port Resilience Plan,climate infrastructure and port resilience,1,7.678,4.2,3.8,adapts ports warehouses energy systems roads rail and cold chains to climate hazards and disruption
Coordination-first,SC004,Multi-Route Logistics and Chokepoint Redesign,logistics route diversity and chokepoint management,2,7.652,4.0,3.4,creates alternate routes intermodal options port diversification and emergency logistics capacity
Coordination-first,SC003,Digital End-to-End Visibility and Cyber Resilience Platform,digital visibility and cyber-resilient coordination,3,7.567,4.3,3.6,improves tier mapping shipment visibility bottleneck detection cybersecurity and operational response
Coordination-first,SC006,Fair Supplier Finance and Labor Continuity Program,supplier viability labor standards and social resilience,4,7.518,3.8,3.0,protects workers small suppliers community continuity fair contracts liquidity and labor rights under stress
Coordination-first,SC001,Supplier Diversification and Qualification Program,supplier diversification and concentration-risk reduction,5,7.459,4.0,3.2,reduces single-source dependence by qualifying alternative suppliers and mapping upstream critical inputs
Coordination-first,SC002,Regional Buffer Inventory for Critical Goods,strategic inventory and critical-goods continuity,6,7.189,4.1,3.1,protects essential goods with targeted stock buffers reserve capacity and replenishment protocols
Climate-infrastructure,SC005,Climate-Adjusted Infrastructure and Port Resilience Plan,climate infrastructure and port resilience,1,7.964,4.2,3.8,adapts ports warehouses energy systems roads rail and cold chains to climate hazards and disruption
Climate-infrastructure,SC004,Multi-Route Logistics and Chokepoint Redesign,logistics route diversity and chokepoint management,2,7.852,4.0,3.4,creates alternate routes intermodal options port diversification and emergency logistics capacity
Climate-infrastructure,SC003,Digital End-to-End Visibility and Cyber Resilience Platform,digital visibility and cyber-resilient coordination,3,7.5,4.3,3.6,improves tier mapping shipment visibility bottleneck detection cybersecurity and operational response
Climate-infrastructure,SC001,Supplier Diversification and Qualification Program,supplier diversification and concentration-risk reduction,4,7.498,4.0,3.2,reduces single-source dependence by qualifying alternative suppliers and mapping upstream critical inputs
Climate-infrastructure,SC006,Fair Supplier Finance and Labor Continuity Program,supplier viability labor standards and social resilience,5,7.492,3.8,3.0,protects workers small suppliers community continuity fair contracts liquidity and labor rights under stress
Climate-infrastructure,SC002,Regional Buffer Inventory for Critical Goods,strategic inventory and critical-goods continuity,6,7.298,4.1,3.1,protects essential goods with targeted stock buffers reserve capacity and replenishment protocols
Equity-first,SC006,Fair Supplier Finance and Labor Continuity Program,supplier viability labor standards and social resilience,1,7.844,3.8,3.0,protects workers small suppliers community continuity fair contracts liquidity and labor rights under stress
Equity-first,SC005,Climate-Adjusted Infrastructure and Port Resilience Plan,climate infrastructure and port resilience,2,7.762,4.2,3.8,adapts ports warehouses energy systems roads rail and cold chains to climate hazards and disruption
Equity-first,SC004,Multi-Route Logistics and Chokepoint Redesign,logistics route diversity and chokepoint management,3,7.67,4.0,3.4,creates alternate routes intermodal options port diversification and emergency logistics capacity
Equity-first,SC001,Supplier Diversification and Qualification Program,supplier diversification and concentration-risk reduction,4,7.56,4.0,3.2,reduces single-source dependence by qualifying alternative suppliers and mapping upstream critical inputs
Equity-first,SC003,Digital End-to-End Visibility and Cyber Resilience Platform,digital visibility and cyber-resilient coordination,5,7.438,4.3,3.6,improves tier mapping shipment visibility bottleneck detection cybersecurity and operational response
Equity-first,SC002,Regional Buffer Inventory for Critical Goods,strategic inventory and critical-goods continuity,6,7.376,4.1,3.1,protects essential goods with targeted stock buffers reserve capacity and replenishment protocols
Exposure-sensitive,SC004,Multi-Route Logistics and Chokepoint Redesign,logistics route diversity and chokepoint management,1,6.326,4.0,3.4,creates alternate routes intermodal options port diversification and emergency logistics capacity
Exposure-sensitive,SC005,Climate-Adjusted Infrastructure and Port Resilience Plan,climate infrastructure and port resilience,2,6.288,4.2,3.8,adapts ports warehouses energy systems roads rail and cold chains to climate hazards and disruption
Exposure-sensitive,SC006,Fair Supplier Finance and Labor Continuity Program,supplier viability labor standards and social resilience,3,6.184,3.8,3.0,protects workers small suppliers community continuity fair contracts liquidity and labor rights under stress
Exposure-sensitive,SC001,Supplier Diversification and Qualification Program,supplier diversification and concentration-risk reduction,4,6.164,4.0,3.2,reduces single-source dependence by qualifying alternative suppliers and mapping upstream critical inputs
Exposure-sensitive,SC003,Digital End-to-End Visibility and Cyber Resilience Platform,digital visibility and cyber-resilient coordination,5,6.077,4.3,3.6,improves tier mapping shipment visibility bottleneck detection cybersecurity and operational response
Exposure-sensitive,SC002,Regional Buffer Inventory for Critical Goods,strategic inventory and critical-goods continuity,6,5.902,4.1,3.1,protects essential goods with targeted stock buffers reserve capacity and replenishment protocols
Implementation-aware,SC004,Multi-Route Logistics and Chokepoint Redesign,logistics route diversity and chokepoint management,1,6.38,4.0,3.4,creates alternate routes intermodal options port diversification and emergency logistics capacity
Implementation-aware,SC005,Climate-Adjusted Infrastructure and Port Resilience Plan,climate infrastructure and port resilience,2,6.324,4.2,3.8,adapts ports warehouses energy systems roads rail and cold chains to climate hazards and disruption
Implementation-aware,SC006,Fair Supplier Finance and Labor Continuity Program,supplier viability labor standards and social resilience,3,6.256,3.8,3.0,protects workers small suppliers community continuity fair contracts liquidity and labor rights under stress
Implementation-aware,SC001,Supplier Diversification and Qualification Program,supplier diversification and concentration-risk reduction,4,6.236,4.0,3.2,reduces single-source dependence by qualifying alternative suppliers and mapping upstream critical inputs
Implementation-aware,SC003,Digital End-to-End Visibility and Cyber Resilience Platform,digital visibility and cyber-resilient coordination,5,6.14,4.3,3.6,improves tier mapping shipment visibility bottleneck detection cybersecurity and operational response
Implementation-aware,SC002,Regional Buffer Inventory for Critical Goods,strategic inventory and critical-goods continuity,6,5.992,4.1,3.1,protects essential goods with targeted stock buffers reserve capacity and replenishment protocols
