 time,flow_performance,disruption_load,adaptive_response,inventory_thinness,supplier_concentration,equity_adjusted_flow
45, 1.00000, 0.16553, 0.30433, 0.82649, 0.68208, 1.00000
46, 1.00000, 0.16563, 0.30453, 0.82652, 0.68065, 1.00000
47, 1.00000, 0.16574, 0.30473, 0.82655, 0.67921, 1.00000
48, 1.00000, 0.16584, 0.30492, 0.82660, 0.67777, 1.00000
49, 1.00000, 0.16594, 0.30512, 0.82666, 0.67633, 1.00000
50, 1.00000, 0.16605, 0.30532, 0.82672, 0.67489, 1.00000
51, 1.00000, 0.16615, 0.30551, 0.82680, 0.67344, 1.00000
52, 1.00000, 0.16626, 0.30570, 0.82689, 0.67200, 1.00000
53, 1.00000, 0.16636, 0.30589, 0.82698, 0.67055, 1.00000
54, 1.00000, 0.16647, 0.30609, 0.82709, 0.66910, 1.00000
55, 1.00000, 0.16657, 0.30627, 0.82721, 0.66765, 1.00000
56, 1.00000, 0.16668, 0.30646, 0.82734, 0.66620, 1.00000
57, 1.00000, 0.16678, 0.30665, 0.82747, 0.66474, 1.00000
58, 1.00000, 0.16689, 0.30684, 0.82762, 0.66329, 1.00000
59, 1.00000, 0.16699, 0.30702, 0.82778, 0.66183, 1.00000
60, 1.00000, 0.16710, 0.30721, 0.82795, 0.66038, 1.00000
61, 1.00000, 0.16720, 0.30739, 0.82813, 0.65892, 1.00000
62, 1.00000, 0.16731, 0.30758, 0.82831, 0.65746, 1.00000
63, 1.00000, 0.16741, 0.30776, 0.82851, 0.65599, 1.00000
64, 1.00000, 0.16752, 0.30794, 0.82872, 0.65453, 1.00000
65, 1.00000, 0.16763, 0.30812, 0.82894, 0.65307, 1.00000
66, 1.00000, 0.16773, 0.30830, 0.82917, 0.65160, 1.00000
67, 1.00000, 0.16784, 0.30848, 0.82941, 0.65013, 1.00000
68, 1.00000, 0.16794, 0.30865, 0.82966, 0.64866, 1.00000
69, 1.00000, 0.16805, 0.30883, 0.82992, 0.64719, 1.00000
70, 1.00000, 0.16816, 0.30900, 0.83019, 0.64572, 1.00000
71, 1.00000, 0.16826, 0.30918, 0.83047, 0.64425, 1.00000
72, 1.00000, 0.16837, 0.30935, 0.83076, 0.64277, 1.00000
73, 1.00000, 0.16847, 0.30952, 0.83106, 0.64130, 1.00000
74, 1.00000, 0.16858, 0.30969, 0.83137, 0.63982, 1.00000
75, 1.00000, 0.16869, 0.30986, 0.83169, 0.63834, 1.00000
76, 1.00000, 0.16879, 0.31003, 0.83202, 0.63686, 1.00000
77, 1.00000, 0.16890, 0.31020, 0.83236, 0.63538, 1.00000
78, 1.00000, 0.16901, 0.31036, 0.83272, 0.63389, 1.00000
79, 1.00000, 0.16912, 0.31053, 0.83308, 0.63241, 1.00000
80, 1.00000, 0.16922, 0.31069, 0.83345, 0.63092, 1.00000
