strategy_id,strategy,system_domain,redundancy,flexibility,visibility,coordination,adaptive_capacity,equity_safeguards,infrastructure_continuity,systemic_exposure,implementation_burden,critical_function,supply_chain_resilience_value,equity_gap,infrastructure_gap,adjusted_value,scenario,rank
SC006,Fair Supplier Finance and Labor Continuity Program,supplier viability labor standards and social resilience,7.7,8.1,7.5,8.3,8.2,9,7.6,3.8,3,protects workers small suppliers community continuity fair contracts liquidity and labor rights under stress,7.844,0,0.40000000000000036,7.82,Equity-first,1
SC005,Climate-Adjusted Infrastructure and Port Resilience Plan,climate infrastructure and port resilience,7.8,8,7.8,8.4,8.7,8.2,9,4.2,3.8,adapts ports warehouses energy systems roads rail and cold chains to climate hazards and disruption,7.762000000000001,0,0,7.762000000000001,Equity-first,2
SC004,Multi-Route Logistics and Chokepoint Redesign,logistics route diversity and chokepoint management,8.1,8.8,8,8.2,8.5,7.8,8.5,4,3.4,creates alternate routes intermodal options port diversification and emergency logistics capacity,7.67,0.20000000000000018,0,7.654,Equity-first,3
SC001,Supplier Diversification and Qualification Program,supplier diversification and concentration-risk reduction,8.8,8.2,7.6,8,8.4,7.9,7.6,4,3.2,reduces single-source dependence by qualifying alternative suppliers and mapping upstream critical inputs,7.559999999999999,0.09999999999999964,0.40000000000000036,7.527999999999999,Equity-first,4
SC003,Digital End-to-End Visibility and Cyber Resilience Platform,digital visibility and cyber-resilient coordination,6.9,7.9,9.2,8.5,8.3,7.6,7.8,4.3,3.6,improves tier mapping shipment visibility bottleneck detection cybersecurity and operational response,7.438,0.40000000000000036,0.20000000000000018,7.394,Equity-first,5
SC002,Regional Buffer Inventory for Critical Goods,strategic inventory and critical-goods continuity,8.6,7.5,7.1,7.8,7.7,8,7.7,4.1,3.1,protects essential goods with targeted stock buffers reserve capacity and replenishment protocols,7.3759999999999994,0,0.2999999999999998,7.358,Equity-first,6
SC004,Multi-Route Logistics and Chokepoint Redesign,logistics route diversity and chokepoint management,8.1,8.8,8,8.2,8.5,7.8,8.5,4,3.4,creates alternate routes intermodal options port diversification and emergency logistics capacity,6.3260000000000005,0.20000000000000018,0,6.3100000000000005,Exposure-sensitive,1
SC005,Climate-Adjusted Infrastructure and Port Resilience Plan,climate infrastructure and port resilience,7.8,8,7.8,8.4,8.7,8.2,9,4.2,3.8,adapts ports warehouses energy systems roads rail and cold chains to climate hazards and disruption,6.287999999999999,0,0,6.287999999999999,Exposure-sensitive,2
SC006,Fair Supplier Finance and Labor Continuity Program,supplier viability labor standards and social resilience,7.7,8.1,7.5,8.3,8.2,9,7.6,3.8,3,protects workers small suppliers community continuity fair contracts liquidity and labor rights under stress,6.184,0,0.40000000000000036,6.16,Exposure-sensitive,3
SC001,Supplier Diversification and Qualification Program,supplier diversification and concentration-risk reduction,8.8,8.2,7.6,8,8.4,7.9,7.6,4,3.2,reduces single-source dependence by qualifying alternative suppliers and mapping upstream critical inputs,6.164,0.09999999999999964,0.40000000000000036,6.132,Exposure-sensitive,4
SC003,Digital End-to-End Visibility and Cyber Resilience Platform,digital visibility and cyber-resilient coordination,6.9,7.9,9.2,8.5,8.3,7.6,7.8,4.3,3.6,improves tier mapping shipment visibility bottleneck detection cybersecurity and operational response,6.077,0.40000000000000036,0.20000000000000018,6.0329999999999995,Exposure-sensitive,5
SC002,Regional Buffer Inventory for Critical Goods,strategic inventory and critical-goods continuity,8.6,7.5,7.1,7.8,7.7,8,7.7,4.1,3.1,protects essential goods with targeted stock buffers reserve capacity and replenishment protocols,5.902000000000001,0,0.2999999999999998,5.884000000000001,Exposure-sensitive,6
SC004,Multi-Route Logistics and Chokepoint Redesign,logistics route diversity and chokepoint management,8.1,8.8,8,8.2,8.5,7.8,8.5,4,3.4,creates alternate routes intermodal options port diversification and emergency logistics capacity,7.806,0.20000000000000018,0,7.79,Flexibility-first,1
SC005,Climate-Adjusted Infrastructure and Port Resilience Plan,climate infrastructure and port resilience,7.8,8,7.8,8.4,8.7,8.2,9,4.2,3.8,adapts ports warehouses energy systems roads rail and cold chains to climate hazards and disruption,7.6,0,0,7.6,Flexibility-first,2
SC001,Supplier Diversification and Qualification Program,supplier diversification and concentration-risk reduction,8.8,8.2,7.6,8,8.4,7.9,7.6,4,3.2,reduces single-source dependence by qualifying alternative suppliers and mapping upstream critical inputs,7.523,0.09999999999999964,0.40000000000000036,7.491,Flexibility-first,3
SC006,Fair Supplier Finance and Labor Continuity Program,supplier viability labor standards and social resilience,7.7,8.1,7.5,8.3,8.2,9,7.6,3.8,3,protects workers small suppliers community continuity fair contracts liquidity and labor rights under stress,7.484,0,0.40000000000000036,7.46,Flexibility-first,4
SC003,Digital End-to-End Visibility and Cyber Resilience Platform,digital visibility and cyber-resilient coordination,6.9,7.9,9.2,8.5,8.3,7.6,7.8,4.3,3.6,improves tier mapping shipment visibility bottleneck detection cybersecurity and operational response,7.405000000000002,0.40000000000000036,0.20000000000000018,7.361000000000002,Flexibility-first,5
SC002,Regional Buffer Inventory for Critical Goods,strategic inventory and critical-goods continuity,8.6,7.5,7.1,7.8,7.7,8,7.7,4.1,3.1,protects essential goods with targeted stock buffers reserve capacity and replenishment protocols,7.129,0,0.2999999999999998,7.111,Flexibility-first,6
SC004,Multi-Route Logistics and Chokepoint Redesign,logistics route diversity and chokepoint management,8.1,8.8,8,8.2,8.5,7.8,8.5,4,3.4,creates alternate routes intermodal options port diversification and emergency logistics capacity,6.38,0.20000000000000018,0,6.364,Implementation-aware,1
SC005,Climate-Adjusted Infrastructure and Port Resilience Plan,climate infrastructure and port resilience,7.8,8,7.8,8.4,8.7,8.2,9,4.2,3.8,adapts ports warehouses energy systems roads rail and cold chains to climate hazards and disruption,6.324,0,0,6.324,Implementation-aware,2
SC006,Fair Supplier Finance and Labor Continuity Program,supplier viability labor standards and social resilience,7.7,8.1,7.5,8.3,8.2,9,7.6,3.8,3,protects workers small suppliers community continuity fair contracts liquidity and labor rights under stress,6.255999999999999,0,0.40000000000000036,6.231999999999999,Implementation-aware,3
SC001,Supplier Diversification and Qualification Program,supplier diversification and concentration-risk reduction,8.8,8.2,7.6,8,8.4,7.9,7.6,4,3.2,reduces single-source dependence by qualifying alternative suppliers and mapping upstream critical inputs,6.236,0.09999999999999964,0.40000000000000036,6.204,Implementation-aware,4
SC003,Digital End-to-End Visibility and Cyber Resilience Platform,digital visibility and cyber-resilient coordination,6.9,7.9,9.2,8.5,8.3,7.6,7.8,4.3,3.6,improves tier mapping shipment visibility bottleneck detection cybersecurity and operational response,6.14,0.40000000000000036,0.20000000000000018,6.096,Implementation-aware,5
SC002,Regional Buffer Inventory for Critical Goods,strategic inventory and critical-goods continuity,8.6,7.5,7.1,7.8,7.7,8,7.7,4.1,3.1,protects essential goods with targeted stock buffers reserve capacity and replenishment protocols,5.992000000000001,0,0.2999999999999998,5.974000000000001,Implementation-aware,6
SC001,Supplier Diversification and Qualification Program,supplier diversification and concentration-risk reduction,8.8,8.2,7.6,8,8.4,7.9,7.6,4,3.2,reduces single-source dependence by qualifying alternative suppliers and mapping upstream critical inputs,7.5409999999999995,0.09999999999999964,0.40000000000000036,7.5089999999999995,Redundancy-first,1
SC004,Multi-Route Logistics and Chokepoint Redesign,logistics route diversity and chokepoint management,8.1,8.8,8,8.2,8.5,7.8,8.5,4,3.4,creates alternate routes intermodal options port diversification and emergency logistics capacity,7.516,0.20000000000000018,0,7.5,Redundancy-first,2
SC005,Climate-Adjusted Infrastructure and Port Resilience Plan,climate infrastructure and port resilience,7.8,8,7.8,8.4,8.7,8.2,9,4.2,3.8,adapts ports warehouses energy systems roads rail and cold chains to climate hazards and disruption,7.416,0,0,7.416,Redundancy-first,3
SC002,Regional Buffer Inventory for Critical Goods,strategic inventory and critical-goods continuity,8.6,7.5,7.1,7.8,7.7,8,7.7,4.1,3.1,protects essential goods with targeted stock buffers reserve capacity and replenishment protocols,7.273000000000001,0,0.2999999999999998,7.255000000000001,Redundancy-first,4
SC006,Fair Supplier Finance and Labor Continuity Program,supplier viability labor standards and social resilience,7.7,8.1,7.5,8.3,8.2,9,7.6,3.8,3,protects workers small suppliers community continuity fair contracts liquidity and labor rights under stress,7.267,0,0.40000000000000036,7.243,Redundancy-first,5
SC003,Digital End-to-End Visibility and Cyber Resilience Platform,digital visibility and cyber-resilient coordination,6.9,7.9,9.2,8.5,8.3,7.6,7.8,4.3,3.6,improves tier mapping shipment visibility bottleneck detection cybersecurity and operational response,7.035,0.40000000000000036,0.20000000000000018,6.991,Redundancy-first,6
SC003,Digital End-to-End Visibility and Cyber Resilience Platform,digital visibility and cyber-resilient coordination,6.9,7.9,9.2,8.5,8.3,7.6,7.8,4.3,3.6,improves tier mapping shipment visibility bottleneck detection cybersecurity and operational response,7.721000000000001,0.40000000000000036,0.20000000000000018,7.677000000000001,Visibility-first,1
SC004,Multi-Route Logistics and Chokepoint Redesign,logistics route diversity and chokepoint management,8.1,8.8,8,8.2,8.5,7.8,8.5,4,3.4,creates alternate routes intermodal options port diversification and emergency logistics capacity,7.608,0.20000000000000018,0,7.592,Visibility-first,2
SC005,Climate-Adjusted Infrastructure and Port Resilience Plan,climate infrastructure and port resilience,7.8,8,7.8,8.4,8.7,8.2,9,4.2,3.8,adapts ports warehouses energy systems roads rail and cold chains to climate hazards and disruption,7.546,0,0,7.546,Visibility-first,3
SC001,Supplier Diversification and Qualification Program,supplier diversification and concentration-risk reduction,8.8,8.2,7.6,8,8.4,7.9,7.6,4,3.2,reduces single-source dependence by qualifying alternative suppliers and mapping upstream critical inputs,7.371,0.09999999999999964,0.40000000000000036,7.339,Visibility-first,4
SC006,Fair Supplier Finance and Labor Continuity Program,supplier viability labor standards and social resilience,7.7,8.1,7.5,8.3,8.2,9,7.6,3.8,3,protects workers small suppliers community continuity fair contracts liquidity and labor rights under stress,7.342000000000001,0,0.40000000000000036,7.318000000000001,Visibility-first,5
SC002,Regional Buffer Inventory for Critical Goods,strategic inventory and critical-goods continuity,8.6,7.5,7.1,7.8,7.7,8,7.7,4.1,3.1,protects essential goods with targeted stock buffers reserve capacity and replenishment protocols,7.035,0,0.2999999999999998,7.017,Visibility-first,6
