system_id,system,system_context,time,event,disturbance,ai_support,governance_buffer,model_drift,ai_risk,fragility_gap,human_strain,equity_performance,function,ethical_adjusted_function,resilience_score
AIS001,AI early warning with weak governance,strong signal detection but weak accountability and community safeguards,56,background system pressure,0.10927,0.6666,0.4964,0.0,0.0,0.0,0.0,0.428,1.0,0.8284,0.73128
AIS001,AI early warning with weak governance,strong signal detection but weak accountability and community safeguards,57,background system pressure,0.10839,0.6666,0.4964,0.0,0.0,0.0,0.0,0.428,1.0,0.8284,0.73128
AIS001,AI early warning with weak governance,strong signal detection but weak accountability and community safeguards,58,background system pressure,0.10897,0.6666,0.4964,0.0,0.0,0.0,0.0,0.428,1.0,0.8284,0.73128
AIS001,AI early warning with weak governance,strong signal detection but weak accountability and community safeguards,59,background system pressure,0.10993,0.6666,0.4964,0.0,0.0,0.0,0.0,0.428,1.0,0.8284,0.73128
AIS001,AI early warning with weak governance,strong signal detection but weak accountability and community safeguards,60,Compound disaster and resource constraint,0.9488,0.6666,0.4964,0.00026,0.01575,0.45782,0.18819,0.36048,0.95337,0.75414,0.70237
AIS001,AI early warning with weak governance,strong signal detection but weak accountability and community safeguards,61,background system pressure,0.11065,0.6666,0.4964,0.0,0.0,0.0,0.1208,0.428,1.0,0.81874,0.72403
AIS001,AI early warning with weak governance,strong signal detection but weak accountability and community safeguards,62,background system pressure,0.11113,0.6666,0.4964,0.0,0.0,0.0,0.05349,0.428,1.0,0.82412,0.72807
AIS001,AI early warning with weak governance,strong signal detection but weak accountability and community safeguards,63,background system pressure,0.11085,0.6666,0.4964,0.0,0.0,0.0,0.0,0.428,1.0,0.8284,0.73128
AIS001,AI early warning with weak governance,strong signal detection but weak accountability and community safeguards,64,background system pressure,0.11019,0.6666,0.4964,0.0,0.0,0.0,0.0,0.428,1.0,0.8284,0.73128
AIS001,AI early warning with weak governance,strong signal detection but weak accountability and community safeguards,65,background system pressure,0.11191,0.6666,0.4964,0.0,0.0,0.0,0.0,0.428,1.0,0.8284,0.73128
AIS001,AI early warning with weak governance,strong signal detection but weak accountability and community safeguards,66,background system pressure,0.11235,0.6666,0.4964,0.0,0.0,0.0,0.0,0.428,1.0,0.8284,0.73128
AIS001,AI early warning with weak governance,strong signal detection but weak accountability and community safeguards,67,background system pressure,0.11218,0.6666,0.4964,0.0,0.0,0.0,0.0,0.428,1.0,0.8284,0.73128
AIS001,AI early warning with weak governance,strong signal detection but weak accountability and community safeguards,68,background system pressure,0.1126,0.6666,0.4964,0.0,0.0,0.0,0.0,0.428,1.0,0.8284,0.73128
AIS001,AI early warning with weak governance,strong signal detection but weak accountability and community safeguards,69,background system pressure,0.11229,0.6666,0.4964,0.0,0.0,0.0,0.0,0.428,1.0,0.8284,0.73128
AIS001,AI early warning with weak governance,strong signal detection but weak accountability and community safeguards,70,background system pressure,0.11253,0.6666,0.4964,0.0,0.0,0.0,0.0,0.428,1.0,0.8284,0.73128
AIS001,AI early warning with weak governance,strong signal detection but weak accountability and community safeguards,71,background system pressure,0.11304,0.6666,0.4964,0.0,0.0,0.0,0.0,0.428,1.0,0.8284,0.73128
AIS001,AI early warning with weak governance,strong signal detection but weak accountability and community safeguards,72,Institutional learning and governance test,0.742,0.6666,0.4964,0.0,0.00625,0.24772,0.10366,0.37445,1.0,0.80354,0.71801
AIS001,AI early warning with weak governance,strong signal detection but weak accountability and community safeguards,73,background system pressure,0.11259,0.6666,0.4964,0.0,0.0,0.0,0.0366,0.428,1.0,0.82547,0.72909
AIS001,AI early warning with weak governance,strong signal detection but weak accountability and community safeguards,74,background system pressure,0.11415,0.6666,0.4964,0.0,0.0,0.0,0.0,0.428,1.0,0.8284,0.73128
AIS001,AI early warning with weak governance,strong signal detection but weak accountability and community safeguards,75,background system pressure,0.11489,0.6666,0.4964,0.0,0.0,0.0,0.0,0.428,1.0,0.8284,0.73128
AIS001,AI early warning with weak governance,strong signal detection but weak accountability and community safeguards,76,background system pressure,0.11352,0.6666,0.4964,0.0,0.0,0.0,0.0,0.428,1.0,0.8284,0.73128
AIS001,AI early warning with weak governance,strong signal detection but weak accountability and community safeguards,77,background system pressure,0.11522,0.6666,0.4964,0.0,0.0,0.0,0.0,0.428,1.0,0.8284,0.73128
AIS001,AI early warning with weak governance,strong signal detection but weak accountability and community safeguards,78,background system pressure,0.1154,0.6666,0.4964,0.0,0.0,0.0,0.0,0.428,1.0,0.8284,0.73128
AIS001,AI early warning with weak governance,strong signal detection but weak accountability and community safeguards,79,background system pressure,0.1143,0.6666,0.4964,0.0,0.0,0.0,0.0,0.428,1.0,0.8284,0.73128
AIS001,AI early warning with weak governance,strong signal detection but weak accountability and community safeguards,80,background system pressure,0.11442,0.6666,0.4964,0.0,0.0,0.0,0.0,0.428,1.0,0.8284,0.73128
AIS001,AI early warning with weak governance,strong signal detection but weak accountability and community safeguards,81,background system pressure,0.11602,0.6666,0.4964,0.0,0.0,0.0,0.0,0.428,1.0,0.8284,0.73128
AIS001,AI early warning with weak governance,strong signal detection but weak accountability and community safeguards,82,background system pressure,0.11542,0.6666,0.4964,0.0,0.0,0.0,0.0,0.428,1.0,0.8284,0.73128
AIS001,AI early warning with weak governance,strong signal detection but weak accountability and community safeguards,83,background system pressure,0.11593,0.6666,0.4964,0.0,0.0,0.0,0.0,0.428,1.0,0.8284,0.73128
AIS001,AI early warning with weak governance,strong signal detection but weak accountability and community safeguards,84,Model failure and automation overreliance,0.8562,0.6666,0.4964,0.00016,0.01163,0.3638,0.14797,0.36739,0.99851,0.79624,0.7137
AIS001,AI early warning with weak governance,strong signal detection but weak accountability and community safeguards,85,background system pressure,0.11727,0.6666,0.4964,0.0,0.0,0.0,0.08171,0.428,1.0,0.82186,0.72638
AIS001,AI early warning with weak governance,strong signal detection but weak accountability and community safeguards,86,background system pressure,0.11763,0.6666,0.4964,0.0,0.0,0.0,0.0155,0.428,1.0,0.82716,0.73035
AIS001,AI early warning with weak governance,strong signal detection but weak accountability and community safeguards,87,background system pressure,0.11816,0.6666,0.4964,0.0,0.0,0.0,0.0,0.428,1.0,0.8284,0.73128
AIS001,AI early warning with weak governance,strong signal detection but weak accountability and community safeguards,88,background system pressure,0.11802,0.6666,0.4964,0.0,0.0,0.0,0.0,0.428,1.0,0.8284,0.73128
AIS001,AI early warning with weak governance,strong signal detection but weak accountability and community safeguards,89,background system pressure,0.11776,0.6666,0.4964,0.0,0.0,0.0,0.0,0.428,1.0,0.8284,0.73128
AIS001,AI early warning with weak governance,strong signal detection but weak accountability and community safeguards,90,Surveillance backlash and rights challenge,0.7756,0.6666,0.4964,0.0,0.00781,0.28186,0.11163,0.35666,1.0,0.79744,0.71524
AIS001,AI early warning with weak governance,strong signal detection but weak accountability and community safeguards,91,background system pressure,0.11758,0.6666,0.4964,0.0,0.0,0.0,0.04542,0.428,1.0,0.82477,0.72856
AIS001,AI early warning with weak governance,strong signal detection but weak accountability and community safeguards,92,background system pressure,0.11811,0.6666,0.4964,0.0,0.0,0.0,0.0,0.428,1.0,0.8284,0.73128
AIS001,AI early warning with weak governance,strong signal detection but weak accountability and community safeguards,93,background system pressure,0.1186,0.6666,0.4964,0.0,0.0,0.0,0.0,0.428,1.0,0.8284,0.73128
AIS001,AI early warning with weak governance,strong signal detection but weak accountability and community safeguards,94,background system pressure,0.11969,0.6666,0.4964,0.0,0.0,0.0,0.0,0.428,1.0,0.8284,0.73128
AIS001,AI early warning with weak governance,strong signal detection but weak accountability and community safeguards,95,background system pressure,0.12045,0.6666,0.4964,0.0,0.0,0.0,0.0,0.428,1.0,0.8284,0.73128
AIS002,AI optimization with low redundancy,high efficiency and optimization with reduced slack and brittle dependency,0,background system pressure,0.09209,0.662,0.5262,0.30502,0.70564,0.0,0.63356,0.33502,1.0,0.69337,0.59473
AIS002,AI optimization with low redundancy,high efficiency and optimization with reduced slack and brittle dependency,1,background system pressure,0.09146,0.662,0.5262,0.27006,0.69004,0.0,0.62562,0.34039,1.0,0.69686,0.60021
AIS002,AI optimization with low redundancy,high efficiency and optimization with reduced slack and brittle dependency,2,background system pressure,0.09361,0.662,0.5262,0.23518,0.67327,0.0,0.61652,0.34589,1.0,0.70058,0.60588
AIS002,AI optimization with low redundancy,high efficiency and optimization with reduced slack and brittle dependency,3,background system pressure,0.0938,0.662,0.5262,0.20034,0.65529,0.0,0.60584,0.35153,1.0,0.70457,0.61178
AIS002,AI optimization with low redundancy,high efficiency and optimization with reduced slack and brittle dependency,4,background system pressure,0.093,0.662,0.5262,0.16551,0.63606,0.0,0.5933,0.35732,1.0,0.70885,0.61794
AIS002,AI optimization with low redundancy,high efficiency and optimization with reduced slack and brittle dependency,5,background system pressure,0.09377,0.662,0.5262,0.13073,0.61564,0.0,0.57905,0.36325,1.0,0.7134,0.62433
AIS002,AI optimization with low redundancy,high efficiency and optimization with reduced slack and brittle dependency,6,background system pressure,0.09298,0.662,0.5262,0.09597,0.59399,0.0,0.56272,0.36932,1.0,0.71826,0.63099
AIS002,AI optimization with low redundancy,high efficiency and optimization with reduced slack and brittle dependency,7,background system pressure,0.0933,0.662,0.5262,0.06124,0.57112,0.0,0.54438,0.37554,1.0,0.72342,0.6379
AIS002,AI optimization with low redundancy,high efficiency and optimization with reduced slack and brittle dependency,8,background system pressure,0.09375,0.662,0.5262,0.02656,0.54706,0.0,0.52395,0.3819,1.0,0.72889,0.64507
AIS002,AI optimization with low redundancy,high efficiency and optimization with reduced slack and brittle dependency,9,background system pressure,0.09502,0.662,0.5262,0.0,0.52209,0.0,0.50149,0.38755,1.0,0.73438,0.65171
AIS002,AI optimization with low redundancy,high efficiency and optimization with reduced slack and brittle dependency,10,Climate hazard and infrastructure stress,0.6906,0.662,0.5262,0.0,0.51814,0.34057,0.65901,0.33522,0.99808,0.70486,0.63605
AIS002,AI optimization with low redundancy,high efficiency and optimization with reduced slack and brittle dependency,11,background system pressure,0.09445,0.662,0.5262,0.0,0.49316,0.0,0.63385,0.39102,1.0,0.72715,0.64708
AIS002,AI optimization with low redundancy,high efficiency and optimization with reduced slack and brittle dependency,12,background system pressure,0.09657,0.662,0.5262,0.0,0.46823,0.0,0.60681,0.39401,1.0,0.7322,0.65156
AIS002,AI optimization with low redundancy,high efficiency and optimization with reduced slack and brittle dependency,13,background system pressure,0.0947,0.662,0.5262,0.0,0.44326,0.0,0.5772,0.39701,1.0,0.73747,0.65619
AIS002,AI optimization with low redundancy,high efficiency and optimization with reduced slack and brittle dependency,14,background system pressure,0.09529,0.662,0.5262,0.0,0.4183,0.0,0.54545,0.4,1.0,0.7429,0.66095
AIS002,AI optimization with low redundancy,high efficiency and optimization with reduced slack and brittle dependency,15,background system pressure,0.09534,0.662,0.5262,0.0,0.39335,0.0,0.51146,0.403,1.0,0.74852,0.66584
AIS002,AI optimization with low redundancy,high efficiency and optimization with reduced slack and brittle dependency,16,background system pressure,0.09727,0.662,0.5262,0.0,0.36844,0.0,0.47555,0.40599,1.0,0.75428,0.67085
AIS002,AI optimization with low redundancy,high efficiency and optimization with reduced slack and brittle dependency,17,background system pressure,0.09659,0.662,0.5262,0.0,0.34351,0.0,0.43729,0.40898,1.0,0.76023,0.67599
AIS002,AI optimization with low redundancy,high efficiency and optimization with reduced slack and brittle dependency,18,background system pressure,0.09714,0.662,0.5262,0.0,0.3186,0.0,0.39688,0.41197,1.0,0.76635,0.68127
AIS002,AI optimization with low redundancy,high efficiency and optimization with reduced slack and brittle dependency,19,background system pressure,0.09709,0.662,0.5262,0.0,0.29369,0.0,0.35422,0.41496,1.0,0.77266,0.68668
AIS002,AI optimization with low redundancy,high efficiency and optimization with reduced slack and brittle dependency,20,background system pressure,0.09813,0.662,0.5262,0.0,0.2688,0.0,0.30949,0.41794,1.0,0.77912,0.69221
AIS002,AI optimization with low redundancy,high efficiency and optimization with reduced slack and brittle dependency,21,background system pressure,0.09786,0.662,0.5262,0.0,0.24391,0.0,0.26248,0.42093,1.0,0.78577,0.69788
AIS002,AI optimization with low redundancy,high efficiency and optimization with reduced slack and brittle dependency,22,Data distribution shift,0.757,0.662,0.5262,0.0,0.24269,0.31332,0.40041,0.37148,1.0,0.76,0.68379
AIS002,AI optimization with low redundancy,high efficiency and optimization with reduced slack and brittle dependency,23,background system pressure,0.09798,0.662,0.5262,0.0,0.2178,0.0,0.35107,0.42406,1.0,0.78171,0.69555
AIS002,AI optimization with low redundancy,high efficiency and optimization with reduced slack and brittle dependency,24,background system pressure,0.09881,0.662,0.5262,0.0,0.19293,0.0,0.29963,0.42705,1.0,0.78871,0.70148
AIS002,AI optimization with low redundancy,high efficiency and optimization with reduced slack and brittle dependency,25,background system pressure,0.09881,0.662,0.5262,0.0,0.16806,0.0,0.24595,0.43003,1.0,0.79589,0.70755
AIS002,AI optimization with low redundancy,high efficiency and optimization with reduced slack and brittle dependency,26,background system pressure,0.09864,0.662,0.5262,0.0,0.14319,0.0,0.19001,0.43302,1.0,0.80325,0.71375
AIS002,AI optimization with low redundancy,high efficiency and optimization with reduced slack and brittle dependency,27,background system pressure,0.10064,0.662,0.5262,0.0,0.11836,0.0,0.13217,0.436,1.0,0.81076,0.72006
AIS002,AI optimization with low redundancy,high efficiency and optimization with reduced slack and brittle dependency,28,background system pressure,0.10059,0.662,0.5262,0.0,0.09354,0.0,0.07209,0.43898,1.0,0.81844,0.7265
AIS002,AI optimization with low redundancy,high efficiency and optimization with reduced slack and brittle dependency,29,background system pressure,0.10085,0.662,0.5262,0.0,0.06872,0.0,0.00982,0.44195,1.0,0.8263,0.73308
AIS002,AI optimization with low redundancy,high efficiency and optimization with reduced slack and brittle dependency,30,background system pressure,0.10167,0.662,0.5262,0.0,0.04392,0.0,0.0,0.44493,1.0,0.82997,0.73651
AIS002,AI optimization with low redundancy,high efficiency and optimization with reduced slack and brittle dependency,31,background system pressure,0.10079,0.662,0.5262,0.0,0.0191,0.0,0.0,0.44791,1.0,0.83284,0.73934
AIS002,AI optimization with low redundancy,high efficiency and optimization with reduced slack and brittle dependency,32,background system pressure,0.10105,0.662,0.5262,0.0,0.0,0.0,0.0,0.4502,1.0,0.83506,0.74153
AIS002,AI optimization with low redundancy,high efficiency and optimization with reduced slack and brittle dependency,33,background system pressure,0.10145,0.662,0.5262,0.0,0.0,0.0,0.0,0.4502,1.0,0.83506,0.74153
AIS002,AI optimization with low redundancy,high efficiency and optimization with reduced slack and brittle dependency,34,Public trust and equity challenge,0.7468,0.662,0.5262,0.0,0.0,0.2206,0.09845,0.3814,1.0,0.80654,0.72737
AIS002,AI optimization with low redundancy,high efficiency and optimization with reduced slack and brittle dependency,35,background system pressure,0.102,0.662,0.5262,0.0,0.0,0.0,0.03019,0.4502,1.0,0.83265,0.73972
AIS002,AI optimization with low redundancy,high efficiency and optimization with reduced slack and brittle dependency,36,background system pressure,0.10293,0.662,0.5262,0.0,0.0,0.0,0.0,0.4502,1.0,0.83506,0.74153
AIS002,AI optimization with low redundancy,high efficiency and optimization with reduced slack and brittle dependency,37,background system pressure,0.10163,0.662,0.5262,0.0,0.0,0.0,0.0,0.4502,1.0,0.83506,0.74153
AIS002,AI optimization with low redundancy,high efficiency and optimization with reduced slack and brittle dependency,38,background system pressure,0.10302,0.662,0.5262,0.0,0.0,0.0,0.0,0.4502,1.0,0.83506,0.74153
AIS002,AI optimization with low redundancy,high efficiency and optimization with reduced slack and brittle dependency,39,background system pressure,0.10349,0.662,0.5262,0.0,0.0,0.0,0.0,0.4502,1.0,0.83506,0.74153
AIS002,AI optimization with low redundancy,high efficiency and optimization with reduced slack and brittle dependency,40,background system pressure,0.10333,0.662,0.5262,0.0,0.0,0.0,0.0,0.4502,1.0,0.83506,0.74153
AIS002,AI optimization with low redundancy,high efficiency and optimization with reduced slack and brittle dependency,41,background system pressure,0.10285,0.662,0.5262,0.0,0.0,0.0,0.0,0.4502,1.0,0.83506,0.74153
AIS002,AI optimization with low redundancy,high efficiency and optimization with reduced slack and brittle dependency,42,background system pressure,0.10478,0.662,0.5262,0.0,0.0,0.0,0.0,0.4502,1.0,0.83506,0.74153
AIS002,AI optimization with low redundancy,high efficiency and optimization with reduced slack and brittle dependency,43,background system pressure,0.10341,0.662,0.5262,0.0,0.0,0.0,0.0,0.4502,1.0,0.83506,0.74153
AIS002,AI optimization with low redundancy,high efficiency and optimization with reduced slack and brittle dependency,44,background system pressure,0.10503,0.662,0.5262,0.0,0.0,0.0,0.0,0.4502,1.0,0.83506,0.74153
AIS002,AI optimization with low redundancy,high efficiency and optimization with reduced slack and brittle dependency,45,background system pressure,0.10434,0.662,0.5262,0.0,0.0,0.0,0.0,0.4502,1.0,0.83506,0.74153
AIS002,AI optimization with low redundancy,high efficiency and optimization with reduced slack and brittle dependency,46,Cyber and adversarial model stress,0.7824,0.662,0.5262,0.0,0.00806,0.25894,0.11497,0.39643,1.0,0.80909,0.72737
AIS002,AI optimization with low redundancy,high efficiency and optimization with reduced slack and brittle dependency,47,background system pressure,0.10465,0.662,0.5262,0.0,0.0,0.0,0.04716,0.4502,1.0,0.83129,0.7387
