simulation_id,strategy_id,strategy,rank,ai_resilience_value,winner
6,AIR005,Participatory AI and Local Knowledge Integration,1,8.28828,Participatory AI and Local Knowledge Integration
6,AIR006,AI Governance Audit and Drift Monitoring,2,8.15022,Participatory AI and Local Knowledge Integration
6,AIR004,AI Decision Support with Human Oversight,3,8.13055,Participatory AI and Local Knowledge Integration
6,AIR007,AI Security and Misuse Resistance,4,7.9744,Participatory AI and Local Knowledge Integration
6,AIR001,AI Early Warning and Anomaly Detection,5,7.81992,Participatory AI and Local Knowledge Integration
6,AIR002,AI Scenario Modeling and Stress Testing,6,7.74085,Participatory AI and Local Knowledge Integration
6,AIR003,AI-Assisted Infrastructure Maintenance,7,7.65561,Participatory AI and Local Knowledge Integration
7,AIR006,AI Governance Audit and Drift Monitoring,1,8.40691,AI Governance Audit and Drift Monitoring
7,AIR002,AI Scenario Modeling and Stress Testing,2,8.23771,AI Governance Audit and Drift Monitoring
7,AIR005,Participatory AI and Local Knowledge Integration,3,7.90622,AI Governance Audit and Drift Monitoring
7,AIR004,AI Decision Support with Human Oversight,4,7.863,AI Governance Audit and Drift Monitoring
7,AIR003,AI-Assisted Infrastructure Maintenance,5,7.83492,AI Governance Audit and Drift Monitoring
7,AIR001,AI Early Warning and Anomaly Detection,6,7.8086,AI Governance Audit and Drift Monitoring
7,AIR007,AI Security and Misuse Resistance,7,7.75324,AI Governance Audit and Drift Monitoring
8,AIR004,AI Decision Support with Human Oversight,1,8.29002,AI Decision Support with Human Oversight
8,AIR006,AI Governance Audit and Drift Monitoring,2,8.15336,AI Decision Support with Human Oversight
8,AIR007,AI Security and Misuse Resistance,3,8.13871,AI Decision Support with Human Oversight
8,AIR002,AI Scenario Modeling and Stress Testing,4,8.00456,AI Decision Support with Human Oversight
8,AIR005,Participatory AI and Local Knowledge Integration,5,7.88949,AI Decision Support with Human Oversight
8,AIR003,AI-Assisted Infrastructure Maintenance,6,7.84225,AI Decision Support with Human Oversight
8,AIR001,AI Early Warning and Anomaly Detection,7,7.66966,AI Decision Support with Human Oversight
9,AIR006,AI Governance Audit and Drift Monitoring,1,8.344,AI Governance Audit and Drift Monitoring
9,AIR004,AI Decision Support with Human Oversight,2,8.12835,AI Governance Audit and Drift Monitoring
9,AIR005,Participatory AI and Local Knowledge Integration,3,8.04307,AI Governance Audit and Drift Monitoring
9,AIR003,AI-Assisted Infrastructure Maintenance,4,8.00522,AI Governance Audit and Drift Monitoring
9,AIR002,AI Scenario Modeling and Stress Testing,5,7.89022,AI Governance Audit and Drift Monitoring
9,AIR007,AI Security and Misuse Resistance,6,7.58751,AI Governance Audit and Drift Monitoring
9,AIR001,AI Early Warning and Anomaly Detection,7,7.19788,AI Governance Audit and Drift Monitoring
10,AIR006,AI Governance Audit and Drift Monitoring,1,8.14739,AI Governance Audit and Drift Monitoring
10,AIR001,AI Early Warning and Anomaly Detection,2,7.90145,AI Governance Audit and Drift Monitoring
10,AIR002,AI Scenario Modeling and Stress Testing,3,7.83286,AI Governance Audit and Drift Monitoring
10,AIR005,Participatory AI and Local Knowledge Integration,4,7.80901,AI Governance Audit and Drift Monitoring
10,AIR007,AI Security and Misuse Resistance,5,7.80401,AI Governance Audit and Drift Monitoring
10,AIR004,AI Decision Support with Human Oversight,6,7.76202,AI Governance Audit and Drift Monitoring
10,AIR003,AI-Assisted Infrastructure Maintenance,7,7.7311,AI Governance Audit and Drift Monitoring
11,AIR004,AI Decision Support with Human Oversight,1,8.37265,AI Decision Support with Human Oversight
11,AIR006,AI Governance Audit and Drift Monitoring,2,8.29006,AI Decision Support with Human Oversight
11,AIR005,Participatory AI and Local Knowledge Integration,3,8.03513,AI Decision Support with Human Oversight
11,AIR001,AI Early Warning and Anomaly Detection,4,7.93649,AI Decision Support with Human Oversight
11,AIR002,AI Scenario Modeling and Stress Testing,5,7.92876,AI Decision Support with Human Oversight
11,AIR003,AI-Assisted Infrastructure Maintenance,6,7.82352,AI Decision Support with Human Oversight
11,AIR007,AI Security and Misuse Resistance,7,7.68409,AI Decision Support with Human Oversight
12,AIR006,AI Governance Audit and Drift Monitoring,1,8.52627,AI Governance Audit and Drift Monitoring
12,AIR007,AI Security and Misuse Resistance,2,7.97505,AI Governance Audit and Drift Monitoring
12,AIR004,AI Decision Support with Human Oversight,3,7.92013,AI Governance Audit and Drift Monitoring
12,AIR005,Participatory AI and Local Knowledge Integration,4,7.91219,AI Governance Audit and Drift Monitoring
12,AIR001,AI Early Warning and Anomaly Detection,5,7.76391,AI Governance Audit and Drift Monitoring
12,AIR003,AI-Assisted Infrastructure Maintenance,6,7.64908,AI Governance Audit and Drift Monitoring
12,AIR002,AI Scenario Modeling and Stress Testing,7,7.61825,AI Governance Audit and Drift Monitoring
13,AIR006,AI Governance Audit and Drift Monitoring,1,8.32208,AI Governance Audit and Drift Monitoring
13,AIR004,AI Decision Support with Human Oversight,2,8.31668,AI Governance Audit and Drift Monitoring
13,AIR003,AI-Assisted Infrastructure Maintenance,3,8.12278,AI Governance Audit and Drift Monitoring
13,AIR002,AI Scenario Modeling and Stress Testing,4,8.10335,AI Governance Audit and Drift Monitoring
13,AIR005,Participatory AI and Local Knowledge Integration,5,7.90416,AI Governance Audit and Drift Monitoring
13,AIR007,AI Security and Misuse Resistance,6,7.82733,AI Governance Audit and Drift Monitoring
13,AIR001,AI Early Warning and Anomaly Detection,7,7.74769,AI Governance Audit and Drift Monitoring
14,AIR006,AI Governance Audit and Drift Monitoring,1,8.2352,AI Governance Audit and Drift Monitoring
14,AIR004,AI Decision Support with Human Oversight,2,8.13555,AI Governance Audit and Drift Monitoring
14,AIR005,Participatory AI and Local Knowledge Integration,3,8.09273,AI Governance Audit and Drift Monitoring
14,AIR002,AI Scenario Modeling and Stress Testing,4,8.09108,AI Governance Audit and Drift Monitoring
14,AIR007,AI Security and Misuse Resistance,5,8.07916,AI Governance Audit and Drift Monitoring
14,AIR001,AI Early Warning and Anomaly Detection,6,7.65009,AI Governance Audit and Drift Monitoring
14,AIR003,AI-Assisted Infrastructure Maintenance,7,7.48281,AI Governance Audit and Drift Monitoring
15,AIR006,AI Governance Audit and Drift Monitoring,1,8.2884,AI Governance Audit and Drift Monitoring
15,AIR002,AI Scenario Modeling and Stress Testing,2,8.11803,AI Governance Audit and Drift Monitoring
15,AIR004,AI Decision Support with Human Oversight,3,7.98503,AI Governance Audit and Drift Monitoring
15,AIR005,Participatory AI and Local Knowledge Integration,4,7.8818,AI Governance Audit and Drift Monitoring
15,AIR003,AI-Assisted Infrastructure Maintenance,5,7.85356,AI Governance Audit and Drift Monitoring
15,AIR007,AI Security and Misuse Resistance,6,7.67175,AI Governance Audit and Drift Monitoring
15,AIR001,AI Early Warning and Anomaly Detection,7,7.58073,AI Governance Audit and Drift Monitoring
16,AIR006,AI Governance Audit and Drift Monitoring,1,8.39524,AI Governance Audit and Drift Monitoring
16,AIR004,AI Decision Support with Human Oversight,2,8.29003,AI Governance Audit and Drift Monitoring
16,AIR002,AI Scenario Modeling and Stress Testing,3,8.2602,AI Governance Audit and Drift Monitoring
16,AIR005,Participatory AI and Local Knowledge Integration,4,7.96869,AI Governance Audit and Drift Monitoring
16,AIR003,AI-Assisted Infrastructure Maintenance,5,7.88348,AI Governance Audit and Drift Monitoring
16,AIR007,AI Security and Misuse Resistance,6,7.79639,AI Governance Audit and Drift Monitoring
16,AIR001,AI Early Warning and Anomaly Detection,7,7.76181,AI Governance Audit and Drift Monitoring
17,AIR005,Participatory AI and Local Knowledge Integration,1,8.2216,Participatory AI and Local Knowledge Integration
17,AIR006,AI Governance Audit and Drift Monitoring,2,8.21173,Participatory AI and Local Knowledge Integration
17,AIR007,AI Security and Misuse Resistance,3,8.12057,Participatory AI and Local Knowledge Integration
17,AIR001,AI Early Warning and Anomaly Detection,4,8.05925,Participatory AI and Local Knowledge Integration
17,AIR004,AI Decision Support with Human Oversight,5,8.04785,Participatory AI and Local Knowledge Integration
17,AIR002,AI Scenario Modeling and Stress Testing,6,7.99217,Participatory AI and Local Knowledge Integration
17,AIR003,AI-Assisted Infrastructure Maintenance,7,7.58351,Participatory AI and Local Knowledge Integration
18,AIR006,AI Governance Audit and Drift Monitoring,1,8.25761,AI Governance Audit and Drift Monitoring
18,AIR001,AI Early Warning and Anomaly Detection,2,8.02923,AI Governance Audit and Drift Monitoring
18,AIR004,AI Decision Support with Human Oversight,3,7.91903,AI Governance Audit and Drift Monitoring
18,AIR003,AI-Assisted Infrastructure Maintenance,4,7.8975,AI Governance Audit and Drift Monitoring
18,AIR002,AI Scenario Modeling and Stress Testing,5,7.84232,AI Governance Audit and Drift Monitoring
18,AIR007,AI Security and Misuse Resistance,6,7.75233,AI Governance Audit and Drift Monitoring
18,AIR005,Participatory AI and Local Knowledge Integration,7,7.73133,AI Governance Audit and Drift Monitoring
19,AIR006,AI Governance Audit and Drift Monitoring,1,8.24376,AI Governance Audit and Drift Monitoring
19,AIR004,AI Decision Support with Human Oversight,2,8.15767,AI Governance Audit and Drift Monitoring
19,AIR007,AI Security and Misuse Resistance,3,8.07681,AI Governance Audit and Drift Monitoring
19,AIR001,AI Early Warning and Anomaly Detection,4,7.96667,AI Governance Audit and Drift Monitoring
19,AIR005,Participatory AI and Local Knowledge Integration,5,7.81733,AI Governance Audit and Drift Monitoring
19,AIR003,AI-Assisted Infrastructure Maintenance,6,7.80447,AI Governance Audit and Drift Monitoring
19,AIR002,AI Scenario Modeling and Stress Testing,7,7.58691,AI Governance Audit and Drift Monitoring
20,AIR006,AI Governance Audit and Drift Monitoring,1,8.26348,AI Governance Audit and Drift Monitoring
20,AIR004,AI Decision Support with Human Oversight,2,8.2422,AI Governance Audit and Drift Monitoring
20,AIR002,AI Scenario Modeling and Stress Testing,3,8.20473,AI Governance Audit and Drift Monitoring
20,AIR005,Participatory AI and Local Knowledge Integration,4,8.15324,AI Governance Audit and Drift Monitoring
20,AIR003,AI-Assisted Infrastructure Maintenance,5,7.9187,AI Governance Audit and Drift Monitoring
20,AIR001,AI Early Warning and Anomaly Detection,6,7.69362,AI Governance Audit and Drift Monitoring
20,AIR007,AI Security and Misuse Resistance,7,7.546,AI Governance Audit and Drift Monitoring
21,AIR007,AI Security and Misuse Resistance,1,8.15274,AI Security and Misuse Resistance
21,AIR003,AI-Assisted Infrastructure Maintenance,2,8.02392,AI Security and Misuse Resistance
21,AIR006,AI Governance Audit and Drift Monitoring,3,8.02273,AI Security and Misuse Resistance
21,AIR004,AI Decision Support with Human Oversight,4,8.00646,AI Security and Misuse Resistance
21,AIR002,AI Scenario Modeling and Stress Testing,5,7.88444,AI Security and Misuse Resistance
21,AIR001,AI Early Warning and Anomaly Detection,6,7.78698,AI Security and Misuse Resistance
21,AIR005,Participatory AI and Local Knowledge Integration,7,7.72426,AI Security and Misuse Resistance
22,AIR006,AI Governance Audit and Drift Monitoring,1,8.54718,AI Governance Audit and Drift Monitoring
22,AIR005,Participatory AI and Local Knowledge Integration,2,8.25237,AI Governance Audit and Drift Monitoring
22,AIR007,AI Security and Misuse Resistance,3,8.02505,AI Governance Audit and Drift Monitoring
22,AIR002,AI Scenario Modeling and Stress Testing,4,8.01135,AI Governance Audit and Drift Monitoring
22,AIR004,AI Decision Support with Human Oversight,5,7.90472,AI Governance Audit and Drift Monitoring
22,AIR003,AI-Assisted Infrastructure Maintenance,6,7.71011,AI Governance Audit and Drift Monitoring
22,AIR001,AI Early Warning and Anomaly Detection,7,7.58677,AI Governance Audit and Drift Monitoring
23,AIR006,AI Governance Audit and Drift Monitoring,1,8.5346,AI Governance Audit and Drift Monitoring
23,AIR007,AI Security and Misuse Resistance,2,8.30773,AI Governance Audit and Drift Monitoring
23,AIR005,Participatory AI and Local Knowledge Integration,3,7.98051,AI Governance Audit and Drift Monitoring
23,AIR002,AI Scenario Modeling and Stress Testing,4,7.93181,AI Governance Audit and Drift Monitoring
23,AIR004,AI Decision Support with Human Oversight,5,7.92523,AI Governance Audit and Drift Monitoring
23,AIR001,AI Early Warning and Anomaly Detection,6,7.87624,AI Governance Audit and Drift Monitoring
23,AIR003,AI-Assisted Infrastructure Maintenance,7,7.55834,AI Governance Audit and Drift Monitoring
24,AIR006,AI Governance Audit and Drift Monitoring,1,8.33888,AI Governance Audit and Drift Monitoring
24,AIR004,AI Decision Support with Human Oversight,2,8.17568,AI Governance Audit and Drift Monitoring
24,AIR007,AI Security and Misuse Resistance,3,8.05255,AI Governance Audit and Drift Monitoring
24,AIR002,AI Scenario Modeling and Stress Testing,4,7.95854,AI Governance Audit and Drift Monitoring
24,AIR001,AI Early Warning and Anomaly Detection,5,7.89516,AI Governance Audit and Drift Monitoring
24,AIR003,AI-Assisted Infrastructure Maintenance,6,7.81912,AI Governance Audit and Drift Monitoring
24,AIR005,Participatory AI and Local Knowledge Integration,7,7.7708,AI Governance Audit and Drift Monitoring
25,AIR006,AI Governance Audit and Drift Monitoring,1,8.22846,AI Governance Audit and Drift Monitoring
25,AIR005,Participatory AI and Local Knowledge Integration,2,8.02601,AI Governance Audit and Drift Monitoring
25,AIR004,AI Decision Support with Human Oversight,3,7.92785,AI Governance Audit and Drift Monitoring
25,AIR007,AI Security and Misuse Resistance,4,7.86767,AI Governance Audit and Drift Monitoring
25,AIR002,AI Scenario Modeling and Stress Testing,5,7.73365,AI Governance Audit and Drift Monitoring
25,AIR001,AI Early Warning and Anomaly Detection,6,7.61047,AI Governance Audit and Drift Monitoring
25,AIR003,AI-Assisted Infrastructure Maintenance,7,7.5399,AI Governance Audit and Drift Monitoring
26,AIR006,AI Governance Audit and Drift Monitoring,1,8.44008,AI Governance Audit and Drift Monitoring
26,AIR005,Participatory AI and Local Knowledge Integration,2,8.25383,AI Governance Audit and Drift Monitoring
26,AIR004,AI Decision Support with Human Oversight,3,8.14918,AI Governance Audit and Drift Monitoring
26,AIR007,AI Security and Misuse Resistance,4,8.10594,AI Governance Audit and Drift Monitoring
26,AIR001,AI Early Warning and Anomaly Detection,5,7.77867,AI Governance Audit and Drift Monitoring
26,AIR002,AI Scenario Modeling and Stress Testing,6,7.72128,AI Governance Audit and Drift Monitoring
26,AIR003,AI-Assisted Infrastructure Maintenance,7,7.46158,AI Governance Audit and Drift Monitoring
27,AIR006,AI Governance Audit and Drift Monitoring,1,8.37254,AI Governance Audit and Drift Monitoring
27,AIR005,Participatory AI and Local Knowledge Integration,2,8.14482,AI Governance Audit and Drift Monitoring
27,AIR004,AI Decision Support with Human Oversight,3,8.08498,AI Governance Audit and Drift Monitoring
27,AIR002,AI Scenario Modeling and Stress Testing,4,7.94621,AI Governance Audit and Drift Monitoring
27,AIR001,AI Early Warning and Anomaly Detection,5,7.82197,AI Governance Audit and Drift Monitoring
27,AIR007,AI Security and Misuse Resistance,6,7.66218,AI Governance Audit and Drift Monitoring
27,AIR003,AI-Assisted Infrastructure Maintenance,7,7.49718,AI Governance Audit and Drift Monitoring
28,AIR002,AI Scenario Modeling and Stress Testing,1,8.41512,AI Scenario Modeling and Stress Testing
28,AIR004,AI Decision Support with Human Oversight,2,8.17611,AI Scenario Modeling and Stress Testing
28,AIR005,Participatory AI and Local Knowledge Integration,3,8.15854,AI Scenario Modeling and Stress Testing
28,AIR006,AI Governance Audit and Drift Monitoring,4,8.15315,AI Scenario Modeling and Stress Testing
28,AIR007,AI Security and Misuse Resistance,5,8.07832,AI Scenario Modeling and Stress Testing
28,AIR001,AI Early Warning and Anomaly Detection,6,7.8735,AI Scenario Modeling and Stress Testing
28,AIR003,AI-Assisted Infrastructure Maintenance,7,7.72787,AI Scenario Modeling and Stress Testing
29,AIR004,AI Decision Support with Human Oversight,1,8.44075,AI Decision Support with Human Oversight
29,AIR006,AI Governance Audit and Drift Monitoring,2,8.32001,AI Decision Support with Human Oversight
29,AIR005,Participatory AI and Local Knowledge Integration,3,8.24794,AI Decision Support with Human Oversight
29,AIR001,AI Early Warning and Anomaly Detection,4,8.17338,AI Decision Support with Human Oversight
29,AIR002,AI Scenario Modeling and Stress Testing,5,8.03719,AI Decision Support with Human Oversight
29,AIR007,AI Security and Misuse Resistance,6,7.8782,AI Decision Support with Human Oversight
29,AIR003,AI-Assisted Infrastructure Maintenance,7,7.77438,AI Decision Support with Human Oversight
30,AIR004,AI Decision Support with Human Oversight,1,8.40845,AI Decision Support with Human Oversight
30,AIR006,AI Governance Audit and Drift Monitoring,2,8.31494,AI Decision Support with Human Oversight
30,AIR005,Participatory AI and Local Knowledge Integration,3,7.97534,AI Decision Support with Human Oversight
30,AIR002,AI Scenario Modeling and Stress Testing,4,7.92057,AI Decision Support with Human Oversight
30,AIR007,AI Security and Misuse Resistance,5,7.70669,AI Decision Support with Human Oversight
30,AIR001,AI Early Warning and Anomaly Detection,6,7.68302,AI Decision Support with Human Oversight
30,AIR003,AI-Assisted Infrastructure Maintenance,7,7.4289,AI Decision Support with Human Oversight
31,AIR004,AI Decision Support with Human Oversight,1,8.42846,AI Decision Support with Human Oversight
31,AIR006,AI Governance Audit and Drift Monitoring,2,8.42375,AI Decision Support with Human Oversight
31,AIR002,AI Scenario Modeling and Stress Testing,3,7.95899,AI Decision Support with Human Oversight
31,AIR005,Participatory AI and Local Knowledge Integration,4,7.89671,AI Decision Support with Human Oversight
31,AIR007,AI Security and Misuse Resistance,5,7.88375,AI Decision Support with Human Oversight
31,AIR003,AI-Assisted Infrastructure Maintenance,6,7.87286,AI Decision Support with Human Oversight
31,AIR001,AI Early Warning and Anomaly Detection,7,7.7391,AI Decision Support with Human Oversight
32,AIR005,Participatory AI and Local Knowledge Integration,1,8.17,Participatory AI and Local Knowledge Integration
32,AIR002,AI Scenario Modeling and Stress Testing,2,8.15868,Participatory AI and Local Knowledge Integration
32,AIR006,AI Governance Audit and Drift Monitoring,3,8.03772,Participatory AI and Local Knowledge Integration
32,AIR007,AI Security and Misuse Resistance,4,7.99279,Participatory AI and Local Knowledge Integration
32,AIR001,AI Early Warning and Anomaly Detection,5,7.93254,Participatory AI and Local Knowledge Integration
32,AIR003,AI-Assisted Infrastructure Maintenance,6,7.92552,Participatory AI and Local Knowledge Integration
32,AIR004,AI Decision Support with Human Oversight,7,7.89646,Participatory AI and Local Knowledge Integration
33,AIR004,AI Decision Support with Human Oversight,1,8.42845,AI Decision Support with Human Oversight
33,AIR006,AI Governance Audit and Drift Monitoring,2,8.26414,AI Decision Support with Human Oversight
33,AIR005,Participatory AI and Local Knowledge Integration,3,7.97511,AI Decision Support with Human Oversight
33,AIR002,AI Scenario Modeling and Stress Testing,4,7.96154,AI Decision Support with Human Oversight
33,AIR003,AI-Assisted Infrastructure Maintenance,5,7.89265,AI Decision Support with Human Oversight
33,AIR001,AI Early Warning and Anomaly Detection,6,7.8029,AI Decision Support with Human Oversight
33,AIR007,AI Security and Misuse Resistance,7,7.52841,AI Decision Support with Human Oversight
34,AIR007,AI Security and Misuse Resistance,1,8.18003,AI Security and Misuse Resistance
34,AIR001,AI Early Warning and Anomaly Detection,2,8.13719,AI Security and Misuse Resistance
34,AIR004,AI Decision Support with Human Oversight,3,8.10376,AI Security and Misuse Resistance
34,AIR006,AI Governance Audit and Drift Monitoring,4,8.08101,AI Security and Misuse Resistance
34,AIR005,Participatory AI and Local Knowledge Integration,5,7.88477,AI Security and Misuse Resistance
34,AIR002,AI Scenario Modeling and Stress Testing,6,7.71487,AI Security and Misuse Resistance
34,AIR003,AI-Assisted Infrastructure Maintenance,7,7.64876,AI Security and Misuse Resistance
35,AIR007,AI Security and Misuse Resistance,1,8.30352,AI Security and Misuse Resistance
35,AIR002,AI Scenario Modeling and Stress Testing,2,8.19306,AI Security and Misuse Resistance
35,AIR006,AI Governance Audit and Drift Monitoring,3,8.17914,AI Security and Misuse Resistance
35,AIR004,AI Decision Support with Human Oversight,4,8.11189,AI Security and Misuse Resistance
35,AIR005,Participatory AI and Local Knowledge Integration,5,8.06293,AI Security and Misuse Resistance
35,AIR003,AI-Assisted Infrastructure Maintenance,6,7.83884,AI Security and Misuse Resistance
35,AIR001,AI Early Warning and Anomaly Detection,7,7.83064,AI Security and Misuse Resistance
36,AIR006,AI Governance Audit and Drift Monitoring,1,8.26429,AI Governance Audit and Drift Monitoring
36,AIR007,AI Security and Misuse Resistance,2,8.25178,AI Governance Audit and Drift Monitoring
36,AIR004,AI Decision Support with Human Oversight,3,8.11744,AI Governance Audit and Drift Monitoring
36,AIR002,AI Scenario Modeling and Stress Testing,4,8.00369,AI Governance Audit and Drift Monitoring
36,AIR003,AI-Assisted Infrastructure Maintenance,5,7.9261,AI Governance Audit and Drift Monitoring
36,AIR005,Participatory AI and Local Knowledge Integration,6,7.87405,AI Governance Audit and Drift Monitoring
36,AIR001,AI Early Warning and Anomaly Detection,7,7.80675,AI Governance Audit and Drift Monitoring
37,AIR005,Participatory AI and Local Knowledge Integration,1,8.30718,Participatory AI and Local Knowledge Integration
37,AIR007,AI Security and Misuse Resistance,2,8.27866,Participatory AI and Local Knowledge Integration
37,AIR004,AI Decision Support with Human Oversight,3,8.20792,Participatory AI and Local Knowledge Integration
37,AIR006,AI Governance Audit and Drift Monitoring,4,8.09384,Participatory AI and Local Knowledge Integration
37,AIR002,AI Scenario Modeling and Stress Testing,5,8.02092,Participatory AI and Local Knowledge Integration
37,AIR001,AI Early Warning and Anomaly Detection,6,7.99788,Participatory AI and Local Knowledge Integration
37,AIR003,AI-Assisted Infrastructure Maintenance,7,7.5637,Participatory AI and Local Knowledge Integration
38,AIR004,AI Decision Support with Human Oversight,1,8.44897,AI Decision Support with Human Oversight
38,AIR006,AI Governance Audit and Drift Monitoring,2,8.16866,AI Decision Support with Human Oversight
38,AIR005,Participatory AI and Local Knowledge Integration,3,8.09996,AI Decision Support with Human Oversight
38,AIR007,AI Security and Misuse Resistance,4,8.01621,AI Decision Support with Human Oversight
38,AIR002,AI Scenario Modeling and Stress Testing,5,7.97536,AI Decision Support with Human Oversight
38,AIR001,AI Early Warning and Anomaly Detection,6,7.83489,AI Decision Support with Human Oversight
38,AIR003,AI-Assisted Infrastructure Maintenance,7,7.82462,AI Decision Support with Human Oversight
39,AIR006,AI Governance Audit and Drift Monitoring,1,8.40007,AI Governance Audit and Drift Monitoring
39,AIR005,Participatory AI and Local Knowledge Integration,2,8.32811,AI Governance Audit and Drift Monitoring
39,AIR001,AI Early Warning and Anomaly Detection,3,8.07176,AI Governance Audit and Drift Monitoring
39,AIR004,AI Decision Support with Human Oversight,4,8.07164,AI Governance Audit and Drift Monitoring
39,AIR003,AI-Assisted Infrastructure Maintenance,5,7.92825,AI Governance Audit and Drift Monitoring
39,AIR002,AI Scenario Modeling and Stress Testing,6,7.83888,AI Governance Audit and Drift Monitoring
39,AIR007,AI Security and Misuse Resistance,7,7.55694,AI Governance Audit and Drift Monitoring
40,AIR006,AI Governance Audit and Drift Monitoring,1,8.15154,AI Governance Audit and Drift Monitoring
40,AIR004,AI Decision Support with Human Oversight,2,8.02955,AI Governance Audit and Drift Monitoring
40,AIR005,Participatory AI and Local Knowledge Integration,3,7.9704,AI Governance Audit and Drift Monitoring
40,AIR007,AI Security and Misuse Resistance,4,7.90456,AI Governance Audit and Drift Monitoring
40,AIR003,AI-Assisted Infrastructure Maintenance,5,7.77651,AI Governance Audit and Drift Monitoring
40,AIR001,AI Early Warning and Anomaly Detection,6,7.54589,AI Governance Audit and Drift Monitoring
40,AIR002,AI Scenario Modeling and Stress Testing,7,7.49875,AI Governance Audit and Drift Monitoring
41,AIR004,AI Decision Support with Human Oversight,1,8.52714,AI Decision Support with Human Oversight
41,AIR006,AI Governance Audit and Drift Monitoring,2,8.36756,AI Decision Support with Human Oversight
