 time,function,ai_support,governance_buffer,model_drift,ai_risk,fragility_gap,human_strain,equity_performance,resilience_score
73, 1.00000, 0.84080, 0.84300, 0.00000, 0.00000, 0.00000, 0.00000, 0.76300, 0.89307
74, 1.00000, 0.84080, 0.84300, 0.00000, 0.00000, 0.00000, 0.00000, 0.76300, 0.89307
75, 1.00000, 0.84080, 0.84300, 0.00000, 0.00000, 0.00000, 0.00000, 0.76300, 0.89307
76, 1.00000, 0.84080, 0.84300, 0.00000, 0.00000, 0.00000, 0.00000, 0.76300, 0.89307
77, 1.00000, 0.84080, 0.84300, 0.00000, 0.00000, 0.00000, 0.00000, 0.76300, 0.89307
78, 1.00000, 0.84080, 0.84300, 0.00000, 0.00000, 0.00000, 0.00000, 0.76300, 0.89307
79, 1.00000, 0.84080, 0.84300, 0.00000, 0.00000, 0.00000, 0.00000, 0.76300, 0.89307
80, 1.00000, 0.84080, 0.84300, 0.00000, 0.00000, 0.00000, 0.00000, 0.76300, 0.89307
81, 1.00000, 0.84080, 0.84300, 0.00000, 0.00000, 0.00000, 0.00000, 0.76300, 0.89307
82, 1.00000, 0.84080, 0.84300, 0.00000, 0.00000, 0.00000, 0.00000, 0.76300, 0.89307
83, 1.00000, 0.84080, 0.84300, 0.00000, 0.00000, 0.00000, 0.00000, 0.76300, 0.89307
84, 1.00000, 0.84080, 0.84300, 0.00000, 0.00000, 0.00000, 0.00000, 0.76300, 0.89307
85, 1.00000, 0.84080, 0.84300, 0.00000, 0.00000, 0.00000, 0.00000, 0.76300, 0.89307
86, 1.00000, 0.84080, 0.84300, 0.00000, 0.00000, 0.00000, 0.00000, 0.76300, 0.89307
87, 1.00000, 0.84080, 0.84300, 0.00000, 0.00000, 0.00000, 0.00000, 0.76300, 0.89307
88, 1.00000, 0.84080, 0.84300, 0.00000, 0.00000, 0.00000, 0.00000, 0.76300, 0.89307
89, 1.00000, 0.84080, 0.84300, 0.00000, 0.00000, 0.00000, 0.00000, 0.76300, 0.89307
90, 1.00000, 0.84080, 0.84300, 0.00000, 0.00000, 0.00000, 0.00000, 0.76300, 0.89307
91, 1.00000, 0.84080, 0.84300, 0.00000, 0.00000, 0.00000, 0.00000, 0.76300, 0.89307
92, 1.00000, 0.84080, 0.84300, 0.00000, 0.00000, 0.00000, 0.00000, 0.76300, 0.89307
93, 1.00000, 0.84080, 0.84300, 0.00000, 0.00000, 0.00000, 0.00000, 0.76300, 0.89307
94, 1.00000, 0.84080, 0.84300, 0.00000, 0.00000, 0.00000, 0.00000, 0.76300, 0.89307
95, 1.00000, 0.84080, 0.84300, 0.00000, 0.00000, 0.00000, 0.00000, 0.76300, 0.89307
96, 1.00000, 0.84080, 0.84300, 0.00000, 0.00000, 0.00000, 0.00000, 0.76300, 0.89307
