strategy_id,strategy,system_domain,monitoring_value,forecasting_value,scenario_value,decision_support,governance_quality,equity_safeguards,human_oversight,local_knowledge,security_resilience,ai_risk,implementation_burden,critical_function,ai_resilience_value,governance_gap,equity_gap,human_gap,local_gap,adjusted_value,scenario,rank
AIR007,AI Security and Misuse Resistance,security adversarial robustness and misuse prevention,8,8,8.1,8.2,8.8,8.2,8.5,8,9.4,2.8,3.6,protects AI-enabled resilience systems against cyber risk adversarial manipulation data poisoning prompt injection and harmful reuse,8.632,0,0.3000000000000007,0,0.1999999999999993,8.595999999999998,Decision-support,4
AIR002,AI Scenario Modeling and Stress Testing,scenario planning uncertainty and stress testing,8,8.6,9.2,8.4,8.2,8,8.2,8,8,3,3.5,tests plausible futures compound hazards cascading disruption and adaptation pathways under uncertainty,8.633000000000001,0.3000000000000007,0.5,0.3000000000000007,0.1999999999999993,8.536,Decision-support,5
AIR003,AI-Assisted Infrastructure Maintenance,infrastructure monitoring and predictive maintenance,8.7,8.3,8,8.5,8.1,7.9,8.1,7.7,8.1,3.1,3.6,supports inspection prioritization repair planning asset management and failure prevention,8.508000000000001,0.40000000000000036,0.5999999999999996,0.40000000000000036,0.4999999999999991,8.370000000000001,Decision-support,6
AIR001,AI Early Warning and Anomaly Detection,early warning weak signals and risk detection,9.2,8.8,7.8,8.2,8,7.8,8,7.6,8.2,3.2,3.3,detects weak signals anomalies emerging hazards and system stress before visible failure occurs,8.463,0.5,0.7000000000000002,0.5,0.5999999999999996,8.296000000000001,Decision-support,7
AIR006,AI Governance Audit and Drift Monitoring,AI governance audit drift monitoring and corrective action,8.4,8.2,8.5,8.4,9.3,8.8,8.8,8.4,9,2.5,3.8,monitors model drift bias calibration governance incidents security performance and corrective actions over time,8.481,0,0,0,0,8.481,Early-warning-first,1
AIR004,AI Decision Support with Human Oversight,decision support accountable human judgment and override,8.1,8,8.4,9.1,8.7,8.4,9.2,8.2,8.4,2.7,3.4,supports accountable decisions while preserving human review appeal override and contextual judgment,8.301,0,0.09999999999999964,0,0,8.293000000000001,Early-warning-first,2
AIR001,AI Early Warning and Anomaly Detection,early warning weak signals and risk detection,9.2,8.8,7.8,8.2,8,7.8,8,7.6,8.2,3.2,3.3,detects weak signals anomalies emerging hazards and system stress before visible failure occurs,8.351999999999999,0.5,0.7000000000000002,0.5,0.5999999999999996,8.185,Early-warning-first,3
AIR007,AI Security and Misuse Resistance,security adversarial robustness and misuse prevention,8,8,8.1,8.2,8.8,8.2,8.5,8,9.4,2.8,3.6,protects AI-enabled resilience systems against cyber risk adversarial manipulation data poisoning prompt injection and harmful reuse,8.168,0,0.3000000000000007,0,0.1999999999999993,8.131999999999998,Early-warning-first,4
AIR002,AI Scenario Modeling and Stress Testing,scenario planning uncertainty and stress testing,8,8.6,9.2,8.4,8.2,8,8.2,8,8,3,3.5,tests plausible futures compound hazards cascading disruption and adaptation pathways under uncertainty,8.17,0.3000000000000007,0.5,0.3000000000000007,0.1999999999999993,8.072999999999999,Early-warning-first,5
AIR005,Participatory AI and Local Knowledge Integration,community participation local knowledge and data justice,7.6,7.4,8.2,8,8.6,9.2,9.1,9.4,8,2.6,3.7,integrates community knowledge Indigenous knowledge frontline expertise and participatory validation into AI-enabled resilience systems,8.040000000000001,0,0,0,0,8.040000000000001,Early-warning-first,6
AIR003,AI-Assisted Infrastructure Maintenance,infrastructure monitoring and predictive maintenance,8.7,8.3,8,8.5,8.1,7.9,8.1,7.7,8.1,3.1,3.6,supports inspection prioritization repair planning asset management and failure prevention,8.177999999999997,0.40000000000000036,0.5999999999999996,0.40000000000000036,0.4999999999999991,8.039999999999997,Early-warning-first,7
AIR006,AI Governance Audit and Drift Monitoring,AI governance audit drift monitoring and corrective action,8.4,8.2,8.5,8.4,9.3,8.8,8.8,8.4,9,2.5,3.8,monitors model drift bias calibration governance incidents security performance and corrective actions over time,9.404000000000002,0,0,0,0,9.404000000000002,Equity-first,1
AIR005,Participatory AI and Local Knowledge Integration,community participation local knowledge and data justice,7.6,7.4,8.2,8,8.6,9.2,9.1,9.4,8,2.6,3.7,integrates community knowledge Indigenous knowledge frontline expertise and participatory validation into AI-enabled resilience systems,9.324,0,0,0,0,9.324,Equity-first,2
AIR004,AI Decision Support with Human Oversight,decision support accountable human judgment and override,8.1,8,8.4,9.1,8.7,8.4,9.2,8.2,8.4,2.7,3.4,supports accountable decisions while preserving human review appeal override and contextual judgment,9.215,0,0.09999999999999964,0,0,9.207,Equity-first,3
AIR007,AI Security and Misuse Resistance,security adversarial robustness and misuse prevention,8,8,8.1,8.2,8.8,8.2,8.5,8,9.4,2.8,3.6,protects AI-enabled resilience systems against cyber risk adversarial manipulation data poisoning prompt injection and harmful reuse,8.991999999999999,0,0.3000000000000007,0,0.1999999999999993,8.955999999999998,Equity-first,4
AIR002,AI Scenario Modeling and Stress Testing,scenario planning uncertainty and stress testing,8,8.6,9.2,8.4,8.2,8,8.2,8,8,3,3.5,tests plausible futures compound hazards cascading disruption and adaptation pathways under uncertainty,8.853,0.3000000000000007,0.5,0.3000000000000007,0.1999999999999993,8.755999999999998,Equity-first,5
AIR003,AI-Assisted Infrastructure Maintenance,infrastructure monitoring and predictive maintenance,8.7,8.3,8,8.5,8.1,7.9,8.1,7.7,8.1,3.1,3.6,supports inspection prioritization repair planning asset management and failure prevention,8.687999999999999,0.40000000000000036,0.5999999999999996,0.40000000000000036,0.4999999999999991,8.549999999999999,Equity-first,6
AIR001,AI Early Warning and Anomaly Detection,early warning weak signals and risk detection,9.2,8.8,7.8,8.2,8,7.8,8,7.6,8.2,3.2,3.3,detects weak signals anomalies emerging hazards and system stress before visible failure occurs,8.655,0.5,0.7000000000000002,0.5,0.5999999999999996,8.488000000000001,Equity-first,7
AIR006,AI Governance Audit and Drift Monitoring,AI governance audit drift monitoring and corrective action,8.4,8.2,8.5,8.4,9.3,8.8,8.8,8.4,9,2.5,3.8,monitors model drift bias calibration governance incidents security performance and corrective actions over time,9.200000000000003,0,0,0,0,9.200000000000003,Governance-first,1
AIR004,AI Decision Support with Human Oversight,decision support accountable human judgment and override,8.1,8,8.4,9.1,8.7,8.4,9.2,8.2,8.4,2.7,3.4,supports accountable decisions while preserving human review appeal override and contextual judgment,8.98,0,0.09999999999999964,0,0,8.972000000000001,Governance-first,2
AIR005,Participatory AI and Local Knowledge Integration,community participation local knowledge and data justice,7.6,7.4,8.2,8,8.6,9.2,9.1,9.4,8,2.6,3.7,integrates community knowledge Indigenous knowledge frontline expertise and participatory validation into AI-enabled resilience systems,8.928,0,0,0,0,8.928,Governance-first,3
AIR007,AI Security and Misuse Resistance,security adversarial robustness and misuse prevention,8,8,8.1,8.2,8.8,8.2,8.5,8,9.4,2.8,3.6,protects AI-enabled resilience systems against cyber risk adversarial manipulation data poisoning prompt injection and harmful reuse,8.824000000000002,0,0.3000000000000007,0,0.1999999999999993,8.788,Governance-first,4
AIR002,AI Scenario Modeling and Stress Testing,scenario planning uncertainty and stress testing,8,8.6,9.2,8.4,8.2,8,8.2,8,8,3,3.5,tests plausible futures compound hazards cascading disruption and adaptation pathways under uncertainty,8.639000000000001,0.3000000000000007,0.5,0.3000000000000007,0.1999999999999993,8.542,Governance-first,5
AIR003,AI-Assisted Infrastructure Maintenance,infrastructure monitoring and predictive maintenance,8.7,8.3,8,8.5,8.1,7.9,8.1,7.7,8.1,3.1,3.6,supports inspection prioritization repair planning asset management and failure prevention,8.488999999999999,0.40000000000000036,0.5999999999999996,0.40000000000000036,0.4999999999999991,8.350999999999999,Governance-first,6
AIR001,AI Early Warning and Anomaly Detection,early warning weak signals and risk detection,9.2,8.8,7.8,8.2,8,7.8,8,7.6,8.2,3.2,3.3,detects weak signals anomalies emerging hazards and system stress before visible failure occurs,8.473,0.5,0.7000000000000002,0.5,0.5999999999999996,8.306000000000003,Governance-first,7
AIR006,AI Governance Audit and Drift Monitoring,AI governance audit drift monitoring and corrective action,8.4,8.2,8.5,8.4,9.3,8.8,8.8,8.4,9,2.5,3.8,monitors model drift bias calibration governance incidents security performance and corrective actions over time,9.210000000000003,0,0,0,0,9.210000000000003,Human-oversight-first,1
AIR004,AI Decision Support with Human Oversight,decision support accountable human judgment and override,8.1,8,8.4,9.1,8.7,8.4,9.2,8.2,8.4,2.7,3.4,supports accountable decisions while preserving human review appeal override and contextual judgment,9.177000000000003,0,0.09999999999999964,0,0,9.169000000000004,Human-oversight-first,2
AIR005,Participatory AI and Local Knowledge Integration,community participation local knowledge and data justice,7.6,7.4,8.2,8,8.6,9.2,9.1,9.4,8,2.6,3.7,integrates community knowledge Indigenous knowledge frontline expertise and participatory validation into AI-enabled resilience systems,9.087,0,0,0,0,9.087,Human-oversight-first,3
AIR007,AI Security and Misuse Resistance,security adversarial robustness and misuse prevention,8,8,8.1,8.2,8.8,8.2,8.5,8,9.4,2.8,3.6,protects AI-enabled resilience systems against cyber risk adversarial manipulation data poisoning prompt injection and harmful reuse,8.859,0,0.3000000000000007,0,0.1999999999999993,8.822999999999999,Human-oversight-first,4
AIR002,AI Scenario Modeling and Stress Testing,scenario planning uncertainty and stress testing,8,8.6,9.2,8.4,8.2,8,8.2,8,8,3,3.5,tests plausible futures compound hazards cascading disruption and adaptation pathways under uncertainty,8.731,0.3000000000000007,0.5,0.3000000000000007,0.1999999999999993,8.633999999999999,Human-oversight-first,5
AIR003,AI-Assisted Infrastructure Maintenance,infrastructure monitoring and predictive maintenance,8.7,8.3,8,8.5,8.1,7.9,8.1,7.7,8.1,3.1,3.6,supports inspection prioritization repair planning asset management and failure prevention,8.58,0.40000000000000036,0.5999999999999996,0.40000000000000036,0.4999999999999991,8.442,Human-oversight-first,6
AIR001,AI Early Warning and Anomaly Detection,early warning weak signals and risk detection,9.2,8.8,7.8,8.2,8,7.8,8,7.6,8.2,3.2,3.3,detects weak signals anomalies emerging hazards and system stress before visible failure occurs,8.541,0.5,0.7000000000000002,0.5,0.5999999999999996,8.374000000000002,Human-oversight-first,7
AIR006,AI Governance Audit and Drift Monitoring,AI governance audit drift monitoring and corrective action,8.4,8.2,8.5,8.4,9.3,8.8,8.8,8.4,9,2.5,3.8,monitors model drift bias calibration governance incidents security performance and corrective actions over time,8.040000000000001,0,0,0,0,8.040000000000001,Implementation-aware,1
AIR004,AI Decision Support with Human Oversight,decision support accountable human judgment and override,8.1,8,8.4,9.1,8.7,8.4,9.2,8.2,8.4,2.7,3.4,supports accountable decisions while preserving human review appeal override and contextual judgment,7.9430000000000005,0,0.09999999999999964,0,0,7.9350000000000005,Implementation-aware,2
AIR005,Participatory AI and Local Knowledge Integration,community participation local knowledge and data justice,7.6,7.4,8.2,8,8.6,9.2,9.1,9.4,8,2.6,3.7,integrates community knowledge Indigenous knowledge frontline expertise and participatory validation into AI-enabled resilience systems,7.804000000000001,0,0,0,0,7.804000000000001,Implementation-aware,3
AIR007,AI Security and Misuse Resistance,security adversarial robustness and misuse prevention,8,8,8.1,8.2,8.8,8.2,8.5,8,9.4,2.8,3.6,protects AI-enabled resilience systems against cyber risk adversarial manipulation data poisoning prompt injection and harmful reuse,7.757,0,0.3000000000000007,0,0.1999999999999993,7.721,Implementation-aware,4
AIR002,AI Scenario Modeling and Stress Testing,scenario planning uncertainty and stress testing,8,8.6,9.2,8.4,8.2,8,8.2,8,8,3,3.5,tests plausible futures compound hazards cascading disruption and adaptation pathways under uncertainty,7.693999999999999,0.3000000000000007,0.5,0.3000000000000007,0.1999999999999993,7.5969999999999995,Implementation-aware,5
AIR001,AI Early Warning and Anomaly Detection,early warning weak signals and risk detection,9.2,8.8,7.8,8.2,8,7.8,8,7.6,8.2,3.2,3.3,detects weak signals anomalies emerging hazards and system stress before visible failure occurs,7.595999999999999,0.5,0.7000000000000002,0.5,0.5999999999999996,7.428999999999999,Implementation-aware,6
AIR003,AI-Assisted Infrastructure Maintenance,infrastructure monitoring and predictive maintenance,8.7,8.3,8,8.5,8.1,7.9,8.1,7.7,8.1,3.1,3.6,supports inspection prioritization repair planning asset management and failure prevention,7.5489999999999995,0.40000000000000036,0.5999999999999996,0.40000000000000036,0.4999999999999991,7.410999999999999,Implementation-aware,7
AIR005,Participatory AI and Local Knowledge Integration,community participation local knowledge and data justice,7.6,7.4,8.2,8,8.6,9.2,9.1,9.4,8,2.6,3.7,integrates community knowledge Indigenous knowledge frontline expertise and participatory validation into AI-enabled resilience systems,9.365,0,0,0,0,9.365,Local-knowledge-first,1
AIR006,AI Governance Audit and Drift Monitoring,AI governance audit drift monitoring and corrective action,8.4,8.2,8.5,8.4,9.3,8.8,8.8,8.4,9,2.5,3.8,monitors model drift bias calibration governance incidents security performance and corrective actions over time,9.322000000000001,0,0,0,0,9.322000000000001,Local-knowledge-first,2
AIR004,AI Decision Support with Human Oversight,decision support accountable human judgment and override,8.1,8,8.4,9.1,8.7,8.4,9.2,8.2,8.4,2.7,3.4,supports accountable decisions while preserving human review appeal override and contextual judgment,9.166,0,0.09999999999999964,0,0,9.158000000000001,Local-knowledge-first,3
AIR007,AI Security and Misuse Resistance,security adversarial robustness and misuse prevention,8,8,8.1,8.2,8.8,8.2,8.5,8,9.4,2.8,3.6,protects AI-enabled resilience systems against cyber risk adversarial manipulation data poisoning prompt injection and harmful reuse,8.938,0,0.3000000000000007,0,0.1999999999999993,8.902,Local-knowledge-first,4
AIR002,AI Scenario Modeling and Stress Testing,scenario planning uncertainty and stress testing,8,8.6,9.2,8.4,8.2,8,8.2,8,8,3,3.5,tests plausible futures compound hazards cascading disruption and adaptation pathways under uncertainty,8.857000000000001,0.3000000000000007,0.5,0.3000000000000007,0.1999999999999993,8.76,Local-knowledge-first,5
AIR003,AI-Assisted Infrastructure Maintenance,infrastructure monitoring and predictive maintenance,8.7,8.3,8,8.5,8.1,7.9,8.1,7.7,8.1,3.1,3.6,supports inspection prioritization repair planning asset management and failure prevention,8.649000000000001,0.40000000000000036,0.5999999999999996,0.40000000000000036,0.4999999999999991,8.511000000000001,Local-knowledge-first,6
AIR001,AI Early Warning and Anomaly Detection,early warning weak signals and risk detection,9.2,8.8,7.8,8.2,8,7.8,8,7.6,8.2,3.2,3.3,detects weak signals anomalies emerging hazards and system stress before visible failure occurs,8.615,0.5,0.7000000000000002,0.5,0.5999999999999996,8.448000000000002,Local-knowledge-first,7
AIR006,AI Governance Audit and Drift Monitoring,AI governance audit drift monitoring and corrective action,8.4,8.2,8.5,8.4,9.3,8.8,8.8,8.4,9,2.5,3.8,monitors model drift bias calibration governance incidents security performance and corrective actions over time,8.856000000000002,0,0,0,0,8.856000000000002,Scenario-first,1
AIR004,AI Decision Support with Human Oversight,decision support accountable human judgment and override,8.1,8,8.4,9.1,8.7,8.4,9.2,8.2,8.4,2.7,3.4,supports accountable decisions while preserving human review appeal override and contextual judgment,8.748000000000001,0,0.09999999999999964,0,0,8.740000000000002,Scenario-first,2
AIR002,AI Scenario Modeling and Stress Testing,scenario planning uncertainty and stress testing,8,8.6,9.2,8.4,8.2,8,8.2,8,8,3,3.5,tests plausible futures compound hazards cascading disruption and adaptation pathways under uncertainty,8.726,0.3000000000000007,0.5,0.3000000000000007,0.1999999999999993,8.629,Scenario-first,3
AIR005,Participatory AI and Local Knowledge Integration,community participation local knowledge and data justice,7.6,7.4,8.2,8,8.6,9.2,9.1,9.4,8,2.6,3.7,integrates community knowledge Indigenous knowledge frontline expertise and participatory validation into AI-enabled resilience systems,8.561000000000002,0,0,0,0,8.561000000000002,Scenario-first,4
AIR007,AI Security and Misuse Resistance,security adversarial robustness and misuse prevention,8,8,8.1,8.2,8.8,8.2,8.5,8,9.4,2.8,3.6,protects AI-enabled resilience systems against cyber risk adversarial manipulation data poisoning prompt injection and harmful reuse,8.517,0,0.3000000000000007,0,0.1999999999999993,8.480999999999998,Scenario-first,5
AIR003,AI-Assisted Infrastructure Maintenance,infrastructure monitoring and predictive maintenance,8.7,8.3,8,8.5,8.1,7.9,8.1,7.7,8.1,3.1,3.6,supports inspection prioritization repair planning asset management and failure prevention,8.360000000000001,0.40000000000000036,0.5999999999999996,0.40000000000000036,0.4999999999999991,8.222000000000001,Scenario-first,6
AIR001,AI Early Warning and Anomaly Detection,early warning weak signals and risk detection,9.2,8.8,7.8,8.2,8,7.8,8,7.6,8.2,3.2,3.3,detects weak signals anomalies emerging hazards and system stress before visible failure occurs,8.356,0.5,0.7000000000000002,0.5,0.5999999999999996,8.189000000000002,Scenario-first,7
AIR006,AI Governance Audit and Drift Monitoring,AI governance audit drift monitoring and corrective action,8.4,8.2,8.5,8.4,9.3,8.8,8.8,8.4,9,2.5,3.8,monitors model drift bias calibration governance incidents security performance and corrective actions over time,8.879999999999999,0,0,0,0,8.879999999999999,Security-first,1
AIR007,AI Security and Misuse Resistance,security adversarial robustness and misuse prevention,8,8,8.1,8.2,8.8,8.2,8.5,8,9.4,2.8,3.6,protects AI-enabled resilience systems against cyber risk adversarial manipulation data poisoning prompt injection and harmful reuse,8.696,0,0.3000000000000007,0,0.1999999999999993,8.659999999999998,Security-first,2
AIR004,AI Decision Support with Human Oversight,decision support accountable human judgment and override,8.1,8,8.4,9.1,8.7,8.4,9.2,8.2,8.4,2.7,3.4,supports accountable decisions while preserving human review appeal override and contextual judgment,8.640999999999998,0,0.09999999999999964,0,0,8.633,Security-first,3
AIR005,Participatory AI and Local Knowledge Integration,community participation local knowledge and data justice,7.6,7.4,8.2,8,8.6,9.2,9.1,9.4,8,2.6,3.7,integrates community knowledge Indigenous knowledge frontline expertise and participatory validation into AI-enabled resilience systems,8.457999999999998,0,0,0,0,8.457999999999998,Security-first,4
AIR002,AI Scenario Modeling and Stress Testing,scenario planning uncertainty and stress testing,8,8.6,9.2,8.4,8.2,8,8.2,8,8,3,3.5,tests plausible futures compound hazards cascading disruption and adaptation pathways under uncertainty,8.334999999999999,0.3000000000000007,0.5,0.3000000000000007,0.1999999999999993,8.237999999999998,Security-first,5
AIR001,AI Early Warning and Anomaly Detection,early warning weak signals and risk detection,9.2,8.8,7.8,8.2,8,7.8,8,7.6,8.2,3.2,3.3,detects weak signals anomalies emerging hazards and system stress before visible failure occurs,8.270999999999999,0.5,0.7000000000000002,0.5,0.5999999999999996,8.104000000000001,Security-first,6
AIR003,AI-Assisted Infrastructure Maintenance,infrastructure monitoring and predictive maintenance,8.7,8.3,8,8.5,8.1,7.9,8.1,7.7,8.1,3.1,3.6,supports inspection prioritization repair planning asset management and failure prevention,8.238999999999999,0.40000000000000036,0.5999999999999996,0.40000000000000036,0.4999999999999991,8.100999999999999,Security-first,7
