scenario,strategy_id,strategy,system_domain,rank,ai_resilience_value,ai_risk,implementation_burden,critical_function
Governance-first,AIR002,AI Scenario Modeling and Stress Testing,scenario planning uncertainty and stress testing,5,8.639,3.0,3.5,tests plausible futures compound hazards cascading disruption and adaptation pathways under uncertainty
Governance-first,AIR003,AI-Assisted Infrastructure Maintenance,infrastructure monitoring and predictive maintenance,6,8.489,3.1,3.6,supports inspection prioritization repair planning asset management and failure prevention
Governance-first,AIR001,AI Early Warning and Anomaly Detection,early warning weak signals and risk detection,7,8.473,3.2,3.3,detects weak signals anomalies emerging hazards and system stress before visible failure occurs
Equity-first,AIR006,AI Governance Audit and Drift Monitoring,AI governance audit drift monitoring and corrective action,1,9.404,2.5,3.8,monitors model drift bias calibration governance incidents security performance and corrective actions over time
Equity-first,AIR005,Participatory AI and Local Knowledge Integration,community participation local knowledge and data justice,2,9.324,2.6,3.7,integrates community knowledge Indigenous knowledge frontline expertise and participatory validation into AI-enabled resilience systems
Equity-first,AIR004,AI Decision Support with Human Oversight,decision support accountable human judgment and override,3,9.215,2.7,3.4,supports accountable decisions while preserving human review appeal override and contextual judgment
Equity-first,AIR007,AI Security and Misuse Resistance,security adversarial robustness and misuse prevention,4,8.992,2.8,3.6,protects AI-enabled resilience systems against cyber risk adversarial manipulation data poisoning prompt injection and harmful reuse
Equity-first,AIR002,AI Scenario Modeling and Stress Testing,scenario planning uncertainty and stress testing,5,8.853,3.0,3.5,tests plausible futures compound hazards cascading disruption and adaptation pathways under uncertainty
Equity-first,AIR003,AI-Assisted Infrastructure Maintenance,infrastructure monitoring and predictive maintenance,6,8.688,3.1,3.6,supports inspection prioritization repair planning asset management and failure prevention
Equity-first,AIR001,AI Early Warning and Anomaly Detection,early warning weak signals and risk detection,7,8.655,3.2,3.3,detects weak signals anomalies emerging hazards and system stress before visible failure occurs
Human-oversight-first,AIR006,AI Governance Audit and Drift Monitoring,AI governance audit drift monitoring and corrective action,1,9.21,2.5,3.8,monitors model drift bias calibration governance incidents security performance and corrective actions over time
Human-oversight-first,AIR004,AI Decision Support with Human Oversight,decision support accountable human judgment and override,2,9.177,2.7,3.4,supports accountable decisions while preserving human review appeal override and contextual judgment
Human-oversight-first,AIR005,Participatory AI and Local Knowledge Integration,community participation local knowledge and data justice,3,9.087,2.6,3.7,integrates community knowledge Indigenous knowledge frontline expertise and participatory validation into AI-enabled resilience systems
Human-oversight-first,AIR007,AI Security and Misuse Resistance,security adversarial robustness and misuse prevention,4,8.859,2.8,3.6,protects AI-enabled resilience systems against cyber risk adversarial manipulation data poisoning prompt injection and harmful reuse
Human-oversight-first,AIR002,AI Scenario Modeling and Stress Testing,scenario planning uncertainty and stress testing,5,8.731,3.0,3.5,tests plausible futures compound hazards cascading disruption and adaptation pathways under uncertainty
Human-oversight-first,AIR003,AI-Assisted Infrastructure Maintenance,infrastructure monitoring and predictive maintenance,6,8.58,3.1,3.6,supports inspection prioritization repair planning asset management and failure prevention
Human-oversight-first,AIR001,AI Early Warning and Anomaly Detection,early warning weak signals and risk detection,7,8.541,3.2,3.3,detects weak signals anomalies emerging hazards and system stress before visible failure occurs
Local-knowledge-first,AIR005,Participatory AI and Local Knowledge Integration,community participation local knowledge and data justice,1,9.365,2.6,3.7,integrates community knowledge Indigenous knowledge frontline expertise and participatory validation into AI-enabled resilience systems
Local-knowledge-first,AIR006,AI Governance Audit and Drift Monitoring,AI governance audit drift monitoring and corrective action,2,9.322,2.5,3.8,monitors model drift bias calibration governance incidents security performance and corrective actions over time
Local-knowledge-first,AIR004,AI Decision Support with Human Oversight,decision support accountable human judgment and override,3,9.166,2.7,3.4,supports accountable decisions while preserving human review appeal override and contextual judgment
Local-knowledge-first,AIR007,AI Security and Misuse Resistance,security adversarial robustness and misuse prevention,4,8.938,2.8,3.6,protects AI-enabled resilience systems against cyber risk adversarial manipulation data poisoning prompt injection and harmful reuse
Local-knowledge-first,AIR002,AI Scenario Modeling and Stress Testing,scenario planning uncertainty and stress testing,5,8.857,3.0,3.5,tests plausible futures compound hazards cascading disruption and adaptation pathways under uncertainty
Local-knowledge-first,AIR003,AI-Assisted Infrastructure Maintenance,infrastructure monitoring and predictive maintenance,6,8.649,3.1,3.6,supports inspection prioritization repair planning asset management and failure prevention
Local-knowledge-first,AIR001,AI Early Warning and Anomaly Detection,early warning weak signals and risk detection,7,8.615,3.2,3.3,detects weak signals anomalies emerging hazards and system stress before visible failure occurs
Security-first,AIR006,AI Governance Audit and Drift Monitoring,AI governance audit drift monitoring and corrective action,1,8.88,2.5,3.8,monitors model drift bias calibration governance incidents security performance and corrective actions over time
Security-first,AIR007,AI Security and Misuse Resistance,security adversarial robustness and misuse prevention,2,8.696,2.8,3.6,protects AI-enabled resilience systems against cyber risk adversarial manipulation data poisoning prompt injection and harmful reuse
Security-first,AIR004,AI Decision Support with Human Oversight,decision support accountable human judgment and override,3,8.641,2.7,3.4,supports accountable decisions while preserving human review appeal override and contextual judgment
Security-first,AIR005,Participatory AI and Local Knowledge Integration,community participation local knowledge and data justice,4,8.458,2.6,3.7,integrates community knowledge Indigenous knowledge frontline expertise and participatory validation into AI-enabled resilience systems
Security-first,AIR002,AI Scenario Modeling and Stress Testing,scenario planning uncertainty and stress testing,5,8.335,3.0,3.5,tests plausible futures compound hazards cascading disruption and adaptation pathways under uncertainty
Security-first,AIR001,AI Early Warning and Anomaly Detection,early warning weak signals and risk detection,6,8.271,3.2,3.3,detects weak signals anomalies emerging hazards and system stress before visible failure occurs
Security-first,AIR003,AI-Assisted Infrastructure Maintenance,infrastructure monitoring and predictive maintenance,7,8.239,3.1,3.6,supports inspection prioritization repair planning asset management and failure prevention
Implementation-aware,AIR006,AI Governance Audit and Drift Monitoring,AI governance audit drift monitoring and corrective action,1,8.04,2.5,3.8,monitors model drift bias calibration governance incidents security performance and corrective actions over time
Implementation-aware,AIR004,AI Decision Support with Human Oversight,decision support accountable human judgment and override,2,7.943,2.7,3.4,supports accountable decisions while preserving human review appeal override and contextual judgment
Implementation-aware,AIR005,Participatory AI and Local Knowledge Integration,community participation local knowledge and data justice,3,7.804,2.6,3.7,integrates community knowledge Indigenous knowledge frontline expertise and participatory validation into AI-enabled resilience systems
Implementation-aware,AIR007,AI Security and Misuse Resistance,security adversarial robustness and misuse prevention,4,7.757,2.8,3.6,protects AI-enabled resilience systems against cyber risk adversarial manipulation data poisoning prompt injection and harmful reuse
Implementation-aware,AIR002,AI Scenario Modeling and Stress Testing,scenario planning uncertainty and stress testing,5,7.694,3.0,3.5,tests plausible futures compound hazards cascading disruption and adaptation pathways under uncertainty
Implementation-aware,AIR001,AI Early Warning and Anomaly Detection,early warning weak signals and risk detection,6,7.596,3.2,3.3,detects weak signals anomalies emerging hazards and system stress before visible failure occurs
Implementation-aware,AIR003,AI-Assisted Infrastructure Maintenance,infrastructure monitoring and predictive maintenance,7,7.549,3.1,3.6,supports inspection prioritization repair planning asset management and failure prevention
