simulation_id,strategy_id,strategy,rank,adjusted_ethical_resilience_value
8,ERS003,Community-Led Heat Resilience Network,3,7.48519
8,ERS008,Data Rights and Anti-Surveillance Resilience Program,4,7.45475
8,ERS005,Public Housing Climate Retrofit Program,5,7.35086
8,ERS002,Managed Retreat with Social Protection,6,7.28147
8,ERS001,Targeted Flood Defense Upgrade,7,5.956
8,ERS004,Critical Infrastructure Hardening Only,8,4.96872
9,ERS008,Data Rights and Anti-Surveillance Resilience Program,1,7.92444
9,ERS003,Community-Led Heat Resilience Network,2,7.75697
9,ERS006,Watershed Restoration with Indigenous Co-Governance,3,7.61733
9,ERS007,Equity-Weighted Recovery Fund,4,7.59598
9,ERS005,Public Housing Climate Retrofit Program,5,7.31047
9,ERS002,Managed Retreat with Social Protection,6,7.20509
9,ERS001,Targeted Flood Defense Upgrade,7,6.5555
9,ERS004,Critical Infrastructure Hardening Only,8,4.99662
10,ERS006,Watershed Restoration with Indigenous Co-Governance,1,8.00354
10,ERS005,Public Housing Climate Retrofit Program,2,7.65637
10,ERS003,Community-Led Heat Resilience Network,3,7.3901
10,ERS008,Data Rights and Anti-Surveillance Resilience Program,4,7.28441
10,ERS002,Managed Retreat with Social Protection,5,7.14266
10,ERS007,Equity-Weighted Recovery Fund,6,6.95882
10,ERS001,Targeted Flood Defense Upgrade,7,5.95572
10,ERS004,Critical Infrastructure Hardening Only,8,5.41157
11,ERS006,Watershed Restoration with Indigenous Co-Governance,1,7.87718
11,ERS003,Community-Led Heat Resilience Network,2,7.65554
11,ERS007,Equity-Weighted Recovery Fund,3,7.56811
11,ERS005,Public Housing Climate Retrofit Program,4,7.56791
11,ERS002,Managed Retreat with Social Protection,5,7.2594
11,ERS008,Data Rights and Anti-Surveillance Resilience Program,6,7.16008
11,ERS001,Targeted Flood Defense Upgrade,7,5.75229
11,ERS004,Critical Infrastructure Hardening Only,8,5.10158
12,ERS008,Data Rights and Anti-Surveillance Resilience Program,1,7.72812
12,ERS007,Equity-Weighted Recovery Fund,2,7.57942
12,ERS006,Watershed Restoration with Indigenous Co-Governance,3,7.48249
12,ERS003,Community-Led Heat Resilience Network,4,7.47889
12,ERS002,Managed Retreat with Social Protection,5,7.37536
12,ERS005,Public Housing Climate Retrofit Program,6,7.21582
12,ERS001,Targeted Flood Defense Upgrade,7,5.96461
12,ERS004,Critical Infrastructure Hardening Only,8,4.37021
13,ERS003,Community-Led Heat Resilience Network,1,7.76791
13,ERS005,Public Housing Climate Retrofit Program,2,7.66324
13,ERS007,Equity-Weighted Recovery Fund,3,7.54568
13,ERS008,Data Rights and Anti-Surveillance Resilience Program,4,7.39927
13,ERS002,Managed Retreat with Social Protection,5,7.27836
13,ERS006,Watershed Restoration with Indigenous Co-Governance,6,7.1371
13,ERS001,Targeted Flood Defense Upgrade,7,6.25233
13,ERS004,Critical Infrastructure Hardening Only,8,5.17754
14,ERS005,Public Housing Climate Retrofit Program,1,7.83589
14,ERS007,Equity-Weighted Recovery Fund,2,7.51491
14,ERS002,Managed Retreat with Social Protection,3,7.43994
14,ERS006,Watershed Restoration with Indigenous Co-Governance,4,7.30619
14,ERS008,Data Rights and Anti-Surveillance Resilience Program,5,7.30379
14,ERS003,Community-Led Heat Resilience Network,6,7.05662
14,ERS001,Targeted Flood Defense Upgrade,7,6.32856
14,ERS004,Critical Infrastructure Hardening Only,8,4.77153
15,ERS006,Watershed Restoration with Indigenous Co-Governance,1,7.97856
15,ERS007,Equity-Weighted Recovery Fund,2,7.92425
15,ERS003,Community-Led Heat Resilience Network,3,7.59046
15,ERS005,Public Housing Climate Retrofit Program,4,7.59022
15,ERS008,Data Rights and Anti-Surveillance Resilience Program,5,7.54652
15,ERS002,Managed Retreat with Social Protection,6,7.13512
15,ERS001,Targeted Flood Defense Upgrade,7,5.96038
15,ERS004,Critical Infrastructure Hardening Only,8,4.7952
16,ERS006,Watershed Restoration with Indigenous Co-Governance,1,7.90745
16,ERS008,Data Rights and Anti-Surveillance Resilience Program,2,7.80678
16,ERS007,Equity-Weighted Recovery Fund,3,7.58585
16,ERS005,Public Housing Climate Retrofit Program,4,7.40554
16,ERS003,Community-Led Heat Resilience Network,5,7.25462
16,ERS002,Managed Retreat with Social Protection,6,7.22151
16,ERS001,Targeted Flood Defense Upgrade,7,5.76333
16,ERS004,Critical Infrastructure Hardening Only,8,4.44024
17,ERS005,Public Housing Climate Retrofit Program,1,8.1957
17,ERS006,Watershed Restoration with Indigenous Co-Governance,2,7.72678
17,ERS007,Equity-Weighted Recovery Fund,3,7.72503
17,ERS003,Community-Led Heat Resilience Network,4,7.44265
17,ERS002,Managed Retreat with Social Protection,5,7.08357
17,ERS008,Data Rights and Anti-Surveillance Resilience Program,6,7.07068
17,ERS001,Targeted Flood Defense Upgrade,7,6.34533
17,ERS004,Critical Infrastructure Hardening Only,8,5.22232
18,ERS003,Community-Led Heat Resilience Network,1,7.90608
18,ERS005,Public Housing Climate Retrofit Program,2,7.88139
18,ERS002,Managed Retreat with Social Protection,3,7.69297
18,ERS006,Watershed Restoration with Indigenous Co-Governance,4,7.69023
18,ERS008,Data Rights and Anti-Surveillance Resilience Program,5,7.25528
18,ERS007,Equity-Weighted Recovery Fund,6,7.2224
18,ERS001,Targeted Flood Defense Upgrade,7,5.72488
18,ERS004,Critical Infrastructure Hardening Only,8,5.15888
19,ERS005,Public Housing Climate Retrofit Program,1,7.98403
19,ERS006,Watershed Restoration with Indigenous Co-Governance,2,7.80714
19,ERS008,Data Rights and Anti-Surveillance Resilience Program,3,7.7955
19,ERS003,Community-Led Heat Resilience Network,4,7.22501
19,ERS002,Managed Retreat with Social Protection,5,7.08819
19,ERS007,Equity-Weighted Recovery Fund,6,6.90997
19,ERS001,Targeted Flood Defense Upgrade,7,5.78595
19,ERS004,Critical Infrastructure Hardening Only,8,4.98173
20,ERS005,Public Housing Climate Retrofit Program,1,7.92785
20,ERS008,Data Rights and Anti-Surveillance Resilience Program,2,7.59799
20,ERS006,Watershed Restoration with Indigenous Co-Governance,3,7.57894
20,ERS003,Community-Led Heat Resilience Network,4,7.42431
20,ERS002,Managed Retreat with Social Protection,5,7.23122
20,ERS007,Equity-Weighted Recovery Fund,6,7.18455
20,ERS001,Targeted Flood Defense Upgrade,7,5.79101
20,ERS004,Critical Infrastructure Hardening Only,8,4.91443
21,ERS006,Watershed Restoration with Indigenous Co-Governance,1,7.81341
21,ERS002,Managed Retreat with Social Protection,2,7.66568
21,ERS005,Public Housing Climate Retrofit Program,3,7.65768
21,ERS007,Equity-Weighted Recovery Fund,4,7.37635
21,ERS003,Community-Led Heat Resilience Network,5,7.21485
21,ERS008,Data Rights and Anti-Surveillance Resilience Program,6,6.98116
21,ERS001,Targeted Flood Defense Upgrade,7,6.1688
21,ERS004,Critical Infrastructure Hardening Only,8,4.98371
22,ERS005,Public Housing Climate Retrofit Program,1,7.94327
22,ERS006,Watershed Restoration with Indigenous Co-Governance,2,7.85513
22,ERS003,Community-Led Heat Resilience Network,3,7.77768
22,ERS007,Equity-Weighted Recovery Fund,4,7.75129
22,ERS002,Managed Retreat with Social Protection,5,7.66221
22,ERS008,Data Rights and Anti-Surveillance Resilience Program,6,7.19232
22,ERS001,Targeted Flood Defense Upgrade,7,5.57377
22,ERS004,Critical Infrastructure Hardening Only,8,5.00421
23,ERS005,Public Housing Climate Retrofit Program,1,8.40974
23,ERS006,Watershed Restoration with Indigenous Co-Governance,2,7.80887
23,ERS002,Managed Retreat with Social Protection,3,7.52187
23,ERS007,Equity-Weighted Recovery Fund,4,7.44724
23,ERS008,Data Rights and Anti-Surveillance Resilience Program,5,7.29616
23,ERS003,Community-Led Heat Resilience Network,6,7.16751
23,ERS001,Targeted Flood Defense Upgrade,7,6.46408
23,ERS004,Critical Infrastructure Hardening Only,8,5.42146
24,ERS003,Community-Led Heat Resilience Network,1,7.78588
24,ERS005,Public Housing Climate Retrofit Program,2,7.7731
24,ERS006,Watershed Restoration with Indigenous Co-Governance,3,7.75831
24,ERS007,Equity-Weighted Recovery Fund,4,7.70627
24,ERS002,Managed Retreat with Social Protection,5,7.62658
24,ERS008,Data Rights and Anti-Surveillance Resilience Program,6,7.34621
24,ERS001,Targeted Flood Defense Upgrade,7,6.20423
24,ERS004,Critical Infrastructure Hardening Only,8,4.8123
25,ERS008,Data Rights and Anti-Surveillance Resilience Program,1,7.93797
25,ERS005,Public Housing Climate Retrofit Program,2,7.64468
25,ERS003,Community-Led Heat Resilience Network,3,7.62977
25,ERS002,Managed Retreat with Social Protection,4,7.5186
25,ERS006,Watershed Restoration with Indigenous Co-Governance,5,7.35227
25,ERS007,Equity-Weighted Recovery Fund,6,7.20146
25,ERS001,Targeted Flood Defense Upgrade,7,5.8911
25,ERS004,Critical Infrastructure Hardening Only,8,5.3223
26,ERS006,Watershed Restoration with Indigenous Co-Governance,1,7.84261
26,ERS008,Data Rights and Anti-Surveillance Resilience Program,2,7.79538
26,ERS005,Public Housing Climate Retrofit Program,3,7.61739
26,ERS002,Managed Retreat with Social Protection,4,7.4784
26,ERS007,Equity-Weighted Recovery Fund,5,7.21445
26,ERS003,Community-Led Heat Resilience Network,6,7.17652
26,ERS001,Targeted Flood Defense Upgrade,7,5.68956
26,ERS004,Critical Infrastructure Hardening Only,8,4.4592
27,ERS007,Equity-Weighted Recovery Fund,1,7.9616
27,ERS008,Data Rights and Anti-Surveillance Resilience Program,2,7.76916
27,ERS006,Watershed Restoration with Indigenous Co-Governance,3,7.65324
27,ERS005,Public Housing Climate Retrofit Program,4,7.48851
27,ERS002,Managed Retreat with Social Protection,5,7.46854
27,ERS003,Community-Led Heat Resilience Network,6,7.1433
27,ERS001,Targeted Flood Defense Upgrade,7,5.43903
27,ERS004,Critical Infrastructure Hardening Only,8,5.07724
28,ERS002,Managed Retreat with Social Protection,1,7.80692
28,ERS005,Public Housing Climate Retrofit Program,2,7.75474
28,ERS003,Community-Led Heat Resilience Network,3,7.58004
28,ERS008,Data Rights and Anti-Surveillance Resilience Program,4,7.47494
28,ERS006,Watershed Restoration with Indigenous Co-Governance,5,7.03468
28,ERS007,Equity-Weighted Recovery Fund,6,6.92136
28,ERS001,Targeted Flood Defense Upgrade,7,6.07237
28,ERS004,Critical Infrastructure Hardening Only,8,5.60019
29,ERS006,Watershed Restoration with Indigenous Co-Governance,1,7.90974
29,ERS003,Community-Led Heat Resilience Network,2,7.66687
29,ERS002,Managed Retreat with Social Protection,3,7.33867
29,ERS005,Public Housing Climate Retrofit Program,4,7.31368
29,ERS008,Data Rights and Anti-Surveillance Resilience Program,5,7.15511
29,ERS007,Equity-Weighted Recovery Fund,6,6.85964
29,ERS001,Targeted Flood Defense Upgrade,7,6.01559
29,ERS004,Critical Infrastructure Hardening Only,8,5.66834
30,ERS006,Watershed Restoration with Indigenous Co-Governance,1,8.05736
30,ERS003,Community-Led Heat Resilience Network,2,7.48182
30,ERS005,Public Housing Climate Retrofit Program,3,7.41311
30,ERS002,Managed Retreat with Social Protection,4,7.32637
30,ERS008,Data Rights and Anti-Surveillance Resilience Program,5,7.14695
30,ERS007,Equity-Weighted Recovery Fund,6,7.02406
30,ERS001,Targeted Flood Defense Upgrade,7,6.02695
30,ERS004,Critical Infrastructure Hardening Only,8,5.47255
31,ERS006,Watershed Restoration with Indigenous Co-Governance,1,8.10023
31,ERS005,Public Housing Climate Retrofit Program,2,8.07358
31,ERS007,Equity-Weighted Recovery Fund,3,7.74026
31,ERS002,Managed Retreat with Social Protection,4,7.54683
31,ERS003,Community-Led Heat Resilience Network,5,7.4875
31,ERS008,Data Rights and Anti-Surveillance Resilience Program,6,7.42897
31,ERS001,Targeted Flood Defense Upgrade,7,6.28428
31,ERS004,Critical Infrastructure Hardening Only,8,4.83026
32,ERS007,Equity-Weighted Recovery Fund,1,7.98484
32,ERS008,Data Rights and Anti-Surveillance Resilience Program,2,7.79904
32,ERS006,Watershed Restoration with Indigenous Co-Governance,3,7.77795
32,ERS002,Managed Retreat with Social Protection,4,7.47351
32,ERS005,Public Housing Climate Retrofit Program,5,7.17245
32,ERS003,Community-Led Heat Resilience Network,6,6.89018
32,ERS004,Critical Infrastructure Hardening Only,7,5.50181
32,ERS001,Targeted Flood Defense Upgrade,8,5.48355
33,ERS003,Community-Led Heat Resilience Network,1,7.78839
33,ERS006,Watershed Restoration with Indigenous Co-Governance,2,7.7645
33,ERS005,Public Housing Climate Retrofit Program,3,7.61405
33,ERS008,Data Rights and Anti-Surveillance Resilience Program,4,7.52816
33,ERS007,Equity-Weighted Recovery Fund,5,7.44112
33,ERS002,Managed Retreat with Social Protection,6,7.1014
33,ERS001,Targeted Flood Defense Upgrade,7,6.09279
33,ERS004,Critical Infrastructure Hardening Only,8,4.8773
34,ERS005,Public Housing Climate Retrofit Program,1,8.23157
34,ERS007,Equity-Weighted Recovery Fund,2,7.58605
34,ERS003,Community-Led Heat Resilience Network,3,7.5425
34,ERS006,Watershed Restoration with Indigenous Co-Governance,4,7.50835
34,ERS002,Managed Retreat with Social Protection,5,7.43229
34,ERS008,Data Rights and Anti-Surveillance Resilience Program,6,7.34573
34,ERS001,Targeted Flood Defense Upgrade,7,6.25892
34,ERS004,Critical Infrastructure Hardening Only,8,4.9831
35,ERS007,Equity-Weighted Recovery Fund,1,8.24257
35,ERS005,Public Housing Climate Retrofit Program,2,8.02775
35,ERS002,Managed Retreat with Social Protection,3,7.59813
35,ERS006,Watershed Restoration with Indigenous Co-Governance,4,7.4011
35,ERS003,Community-Led Heat Resilience Network,5,7.22501
35,ERS008,Data Rights and Anti-Surveillance Resilience Program,6,7.02356
35,ERS001,Targeted Flood Defense Upgrade,7,6.21201
35,ERS004,Critical Infrastructure Hardening Only,8,5.00536
36,ERS006,Watershed Restoration with Indigenous Co-Governance,1,7.96829
36,ERS008,Data Rights and Anti-Surveillance Resilience Program,2,7.72757
36,ERS007,Equity-Weighted Recovery Fund,3,7.45083
36,ERS003,Community-Led Heat Resilience Network,4,7.2442
36,ERS002,Managed Retreat with Social Protection,5,7.04808
36,ERS005,Public Housing Climate Retrofit Program,6,6.99743
36,ERS001,Targeted Flood Defense Upgrade,7,5.82178
36,ERS004,Critical Infrastructure Hardening Only,8,4.85308
37,ERS008,Data Rights and Anti-Surveillance Resilience Program,1,7.72307
37,ERS005,Public Housing Climate Retrofit Program,2,7.65253
37,ERS002,Managed Retreat with Social Protection,3,7.64191
37,ERS006,Watershed Restoration with Indigenous Co-Governance,4,7.56839
37,ERS003,Community-Led Heat Resilience Network,5,7.35081
37,ERS007,Equity-Weighted Recovery Fund,6,7.2079
37,ERS001,Targeted Flood Defense Upgrade,7,5.99256
37,ERS004,Critical Infrastructure Hardening Only,8,5.60564
38,ERS007,Equity-Weighted Recovery Fund,1,7.79861
38,ERS006,Watershed Restoration with Indigenous Co-Governance,2,7.75267
38,ERS002,Managed Retreat with Social Protection,3,7.45715
38,ERS003,Community-Led Heat Resilience Network,4,7.25333
38,ERS005,Public Housing Climate Retrofit Program,5,7.24375
38,ERS008,Data Rights and Anti-Surveillance Resilience Program,6,7.22845
38,ERS001,Targeted Flood Defense Upgrade,7,5.7052
38,ERS004,Critical Infrastructure Hardening Only,8,4.98664
39,ERS006,Watershed Restoration with Indigenous Co-Governance,1,7.75715
39,ERS007,Equity-Weighted Recovery Fund,2,7.64372
39,ERS005,Public Housing Climate Retrofit Program,3,7.61903
39,ERS008,Data Rights and Anti-Surveillance Resilience Program,4,7.60317
39,ERS003,Community-Led Heat Resilience Network,5,7.44573
39,ERS002,Managed Retreat with Social Protection,6,7.10564
39,ERS001,Targeted Flood Defense Upgrade,7,6.18162
39,ERS004,Critical Infrastructure Hardening Only,8,4.98332
40,ERS005,Public Housing Climate Retrofit Program,1,7.74046
40,ERS006,Watershed Restoration with Indigenous Co-Governance,2,7.72699
40,ERS007,Equity-Weighted Recovery Fund,3,7.65265
40,ERS002,Managed Retreat with Social Protection,4,7.62491
40,ERS003,Community-Led Heat Resilience Network,5,7.6079
40,ERS008,Data Rights and Anti-Surveillance Resilience Program,6,7.31265
40,ERS001,Targeted Flood Defense Upgrade,7,5.94883
40,ERS004,Critical Infrastructure Hardening Only,8,4.68218
41,ERS008,Data Rights and Anti-Surveillance Resilience Program,1,8.20669
41,ERS005,Public Housing Climate Retrofit Program,2,7.85345
41,ERS006,Watershed Restoration with Indigenous Co-Governance,3,7.50764
41,ERS007,Equity-Weighted Recovery Fund,4,7.36694
41,ERS002,Managed Retreat with Social Protection,5,7.2678
41,ERS003,Community-Led Heat Resilience Network,6,7.15181
41,ERS001,Targeted Flood Defense Upgrade,7,5.80122
41,ERS004,Critical Infrastructure Hardening Only,8,5.30725
42,ERS006,Watershed Restoration with Indigenous Co-Governance,1,7.98063
42,ERS008,Data Rights and Anti-Surveillance Resilience Program,2,7.39134
42,ERS005,Public Housing Climate Retrofit Program,3,7.3787
42,ERS007,Equity-Weighted Recovery Fund,4,7.23034
42,ERS002,Managed Retreat with Social Protection,5,7.15487
42,ERS003,Community-Led Heat Resilience Network,6,7.15286
42,ERS001,Targeted Flood Defense Upgrade,7,5.7074
42,ERS004,Critical Infrastructure Hardening Only,8,5.20313
43,ERS003,Community-Led Heat Resilience Network,1,7.70387
43,ERS006,Watershed Restoration with Indigenous Co-Governance,2,7.63462
43,ERS005,Public Housing Climate Retrofit Program,3,7.57059
43,ERS007,Equity-Weighted Recovery Fund,4,7.52098
43,ERS008,Data Rights and Anti-Surveillance Resilience Program,5,7.44916
43,ERS002,Managed Retreat with Social Protection,6,7.44524
43,ERS001,Targeted Flood Defense Upgrade,7,6.23464
43,ERS004,Critical Infrastructure Hardening Only,8,4.42571
44,ERS005,Public Housing Climate Retrofit Program,1,7.89252
44,ERS008,Data Rights and Anti-Surveillance Resilience Program,2,7.70785
44,ERS003,Community-Led Heat Resilience Network,3,7.63387
44,ERS007,Equity-Weighted Recovery Fund,4,7.36204
44,ERS006,Watershed Restoration with Indigenous Co-Governance,5,7.28153
44,ERS002,Managed Retreat with Social Protection,6,7.11539
44,ERS001,Targeted Flood Defense Upgrade,7,6.15657
44,ERS004,Critical Infrastructure Hardening Only,8,5.08711
45,ERS006,Watershed Restoration with Indigenous Co-Governance,1,8.25977
45,ERS002,Managed Retreat with Social Protection,2,7.65764
45,ERS003,Community-Led Heat Resilience Network,3,7.61578
45,ERS005,Public Housing Climate Retrofit Program,4,7.61256
45,ERS007,Equity-Weighted Recovery Fund,5,7.44739
45,ERS008,Data Rights and Anti-Surveillance Resilience Program,6,7.23977
45,ERS001,Targeted Flood Defense Upgrade,7,5.86109
45,ERS004,Critical Infrastructure Hardening Only,8,5.3664
46,ERS007,Equity-Weighted Recovery Fund,1,8.12066
46,ERS008,Data Rights and Anti-Surveillance Resilience Program,2,7.72038
46,ERS005,Public Housing Climate Retrofit Program,3,7.42104
46,ERS002,Managed Retreat with Social Protection,4,7.3857
46,ERS003,Community-Led Heat Resilience Network,5,7.33549
46,ERS006,Watershed Restoration with Indigenous Co-Governance,6,7.3292
46,ERS001,Targeted Flood Defense Upgrade,7,6.1159
46,ERS004,Critical Infrastructure Hardening Only,8,4.86418
47,ERS008,Data Rights and Anti-Surveillance Resilience Program,1,7.83062
47,ERS006,Watershed Restoration with Indigenous Co-Governance,2,7.82901
47,ERS003,Community-Led Heat Resilience Network,3,7.53741
47,ERS007,Equity-Weighted Recovery Fund,4,7.50821
47,ERS002,Managed Retreat with Social Protection,5,7.45508
47,ERS005,Public Housing Climate Retrofit Program,6,7.3731
47,ERS001,Targeted Flood Defense Upgrade,7,5.83158
47,ERS004,Critical Infrastructure Hardening Only,8,5.52898
48,ERS006,Watershed Restoration with Indigenous Co-Governance,1,7.82438
48,ERS008,Data Rights and Anti-Surveillance Resilience Program,2,7.67482
48,ERS005,Public Housing Climate Retrofit Program,3,7.5024
48,ERS007,Equity-Weighted Recovery Fund,4,7.44501
48,ERS003,Community-Led Heat Resilience Network,5,7.38981
48,ERS002,Managed Retreat with Social Protection,6,7.15716
48,ERS001,Targeted Flood Defense Upgrade,7,6.2316
48,ERS004,Critical Infrastructure Hardening Only,8,5.59907
49,ERS006,Watershed Restoration with Indigenous Co-Governance,1,7.92006
49,ERS005,Public Housing Climate Retrofit Program,2,7.84955
49,ERS008,Data Rights and Anti-Surveillance Resilience Program,3,7.57304
49,ERS007,Equity-Weighted Recovery Fund,4,7.48799
49,ERS002,Managed Retreat with Social Protection,5,7.46768
49,ERS003,Community-Led Heat Resilience Network,6,7.24718
49,ERS001,Targeted Flood Defense Upgrade,7,6.49388
49,ERS004,Critical Infrastructure Hardening Only,8,5.66118
50,ERS006,Watershed Restoration with Indigenous Co-Governance,1,8.09222
50,ERS005,Public Housing Climate Retrofit Program,2,7.96178
50,ERS007,Equity-Weighted Recovery Fund,3,7.70124
50,ERS008,Data Rights and Anti-Surveillance Resilience Program,4,7.651
50,ERS002,Managed Retreat with Social Protection,5,7.3983
50,ERS003,Community-Led Heat Resilience Network,6,7.25001
50,ERS001,Targeted Flood Defense Upgrade,7,6.22669
50,ERS004,Critical Infrastructure Hardening Only,8,4.7784
51,ERS005,Public Housing Climate Retrofit Program,1,7.87974
51,ERS007,Equity-Weighted Recovery Fund,2,7.86344
51,ERS002,Managed Retreat with Social Protection,3,7.70105
51,ERS008,Data Rights and Anti-Surveillance Resilience Program,4,7.61494
51,ERS006,Watershed Restoration with Indigenous Co-Governance,5,7.4734
51,ERS003,Community-Led Heat Resilience Network,6,7.40647
51,ERS001,Targeted Flood Defense Upgrade,7,5.85826
51,ERS004,Critical Infrastructure Hardening Only,8,5.01716
52,ERS006,Watershed Restoration with Indigenous Co-Governance,1,8.19394
52,ERS005,Public Housing Climate Retrofit Program,2,7.8763
52,ERS008,Data Rights and Anti-Surveillance Resilience Program,3,7.73498
52,ERS002,Managed Retreat with Social Protection,4,7.72671
52,ERS003,Community-Led Heat Resilience Network,5,7.32436
52,ERS007,Equity-Weighted Recovery Fund,6,7.2869
52,ERS001,Targeted Flood Defense Upgrade,7,6.3693
52,ERS004,Critical Infrastructure Hardening Only,8,5.21839
53,ERS006,Watershed Restoration with Indigenous Co-Governance,1,8.11049
53,ERS002,Managed Retreat with Social Protection,2,8.10874
53,ERS005,Public Housing Climate Retrofit Program,3,7.94093
53,ERS007,Equity-Weighted Recovery Fund,4,7.65081
53,ERS008,Data Rights and Anti-Surveillance Resilience Program,5,7.36496
53,ERS003,Community-Led Heat Resilience Network,6,6.95145
53,ERS001,Targeted Flood Defense Upgrade,7,5.4701
53,ERS004,Critical Infrastructure Hardening Only,8,5.06659
54,ERS006,Watershed Restoration with Indigenous Co-Governance,1,8.23741
54,ERS005,Public Housing Climate Retrofit Program,2,8.09086
54,ERS007,Equity-Weighted Recovery Fund,3,7.59217
54,ERS002,Managed Retreat with Social Protection,4,7.24405
54,ERS003,Community-Led Heat Resilience Network,5,7.21794
54,ERS008,Data Rights and Anti-Surveillance Resilience Program,6,6.79534
54,ERS001,Targeted Flood Defense Upgrade,7,6.46253
54,ERS004,Critical Infrastructure Hardening Only,8,5.69951
55,ERS007,Equity-Weighted Recovery Fund,1,7.60843
55,ERS006,Watershed Restoration with Indigenous Co-Governance,2,7.57342
55,ERS002,Managed Retreat with Social Protection,3,7.46486
55,ERS005,Public Housing Climate Retrofit Program,4,7.26673
55,ERS008,Data Rights and Anti-Surveillance Resilience Program,5,7.23857
55,ERS003,Community-Led Heat Resilience Network,6,6.90179
55,ERS001,Targeted Flood Defense Upgrade,7,5.85557
55,ERS004,Critical Infrastructure Hardening Only,8,5.40376
56,ERS005,Public Housing Climate Retrofit Program,1,7.90351
