strategy_id,strategy,protection_effectiveness,equity,governance_legitimacy,recognition,accountability,burden_shift,implementation_burden,critical_function,ethical_resilience_value,equity_gap,governance_gap,recognition_gap,adjusted_value,scenario,diagnostic,rank
ERS008,Data Rights and Anti-Surveillance Resilience Program,7.6,8.4,8.7,8.8,9,2.6,3.4,protects public safety monitoring from surveillance creep through data rights consent minimization and oversight,7.498,0.09999999999999964,0,0,7.492,Balanced,promising but requires participatory validation,4
ERS003,Community-Led Heat Resilience Network,7.9,8.5,8.9,8.7,8.3,3.4,3.1,builds local cooling care networks trusted messengers and neighborhood-scale response capacity,7.485,0,0,0,7.485,Balanced,promising but requires participatory validation,5
ERS002,Managed Retreat with Social Protection,8.1,8.8,8.3,8.1,8.4,3.2,3.9,reduces exposure while pairing relocation with housing income legal and community protections,7.407,0,0.1999999999999993,0.40000000000000036,7.375,Balanced,promising but requires participatory validation,6
ERS001,Targeted Flood Defense Upgrade,8.7,6.8,6.9,6.5,6.8,4.8,3.5,protects high-risk infrastructure but may privilege asset value over vulnerability,6.342999999999999,1.7000000000000002,1.5999999999999996,2,6.044999999999999,Balanced,equity-performance review needed,7
ERS004,Critical Infrastructure Hardening Only,8.5,5.9,5.7,5.5,5.8,5.6,3.2,protects technical assets while leaving distribution participation and recognition concerns unresolved,5.57,2.5999999999999996,2.8,3,5.096,Balanced,burden-shifting review needed,8
ERS006,Watershed Restoration with Indigenous Co-Governance,8.2,8.7,9.1,9.4,8.9,2.7,4,restores ecological buffers while recognizing Indigenous governance knowledge land relationships and rights,6.106999999999999,0,0,0,6.106999999999999,Burden-sensitive,implementation-burden review needed,1
ERS005,Public Housing Climate Retrofit Program,8.4,9,8.6,8.3,8.8,2.8,3.8,reduces heat flood and energy burdens for low income residents through public investment and tenant protection,5.968000000000001,0,0,0.1999999999999993,5.958000000000001,Burden-sensitive,promising but requires participatory validation,2
ERS007,Equity-Weighted Recovery Fund,8,9.2,8.4,8.2,8.9,2.9,3.6,directs recovery finance by vulnerability need and prior disinvestment rather than property value alone,5.88,0,0.09999999999999964,0.3000000000000007,5.859,Burden-sensitive,promising but requires participatory validation,3
ERS008,Data Rights and Anti-Surveillance Resilience Program,7.6,8.4,8.7,8.8,9,2.6,3.4,protects public safety monitoring from surveillance creep through data rights consent minimization and oversight,5.850999999999999,0.09999999999999964,0,0,5.844999999999999,Burden-sensitive,promising but requires participatory validation,4
ERS003,Community-Led Heat Resilience Network,7.9,8.5,8.9,8.7,8.3,3.4,3.1,builds local cooling care networks trusted messengers and neighborhood-scale response capacity,5.712,0,0,0,5.712,Burden-sensitive,promising but requires participatory validation,5
ERS002,Managed Retreat with Social Protection,8.1,8.8,8.3,8.1,8.4,3.2,3.9,reduces exposure while pairing relocation with housing income legal and community protections,5.672,0,0.1999999999999993,0.40000000000000036,5.640000000000001,Burden-sensitive,promising but requires participatory validation,6
ERS001,Targeted Flood Defense Upgrade,8.7,6.8,6.9,6.5,6.8,4.8,3.5,protects high-risk infrastructure but may privilege asset value over vulnerability,4.529999999999999,1.7000000000000002,1.5999999999999996,2,4.231999999999999,Burden-sensitive,equity-performance review needed,7
ERS004,Critical Infrastructure Hardening Only,8.5,5.9,5.7,5.5,5.8,5.6,3.2,protects technical assets while leaving distribution participation and recognition concerns unresolved,3.7569999999999997,2.5999999999999996,2.8,3,3.2829999999999995,Burden-sensitive,burden-shifting review needed,8
ERS006,Watershed Restoration with Indigenous Co-Governance,8.2,8.7,9.1,9.4,8.9,2.7,4,restores ecological buffers while recognizing Indigenous governance knowledge land relationships and rights,8.069999999999999,0,0,0,8.069999999999999,Equity-first,implementation-burden review needed,1
ERS005,Public Housing Climate Retrofit Program,8.4,9,8.6,8.3,8.8,2.8,3.8,reduces heat flood and energy burdens for low income residents through public investment and tenant protection,8.016,0,0,0.1999999999999993,8.006,Equity-first,promising but requires participatory validation,2
ERS007,Equity-Weighted Recovery Fund,8,9.2,8.4,8.2,8.9,2.9,3.6,directs recovery finance by vulnerability need and prior disinvestment rather than property value alone,8.006,0,0.09999999999999964,0.3000000000000007,7.985,Equity-first,promising but requires participatory validation,3
ERS003,Community-Led Heat Resilience Network,7.9,8.5,8.9,8.7,8.3,3.4,3.1,builds local cooling care networks trusted messengers and neighborhood-scale response capacity,7.755999999999999,0,0,0,7.755999999999999,Equity-first,promising but requires participatory validation,4
ERS008,Data Rights and Anti-Surveillance Resilience Program,7.6,8.4,8.7,8.8,9,2.6,3.4,protects public safety monitoring from surveillance creep through data rights consent minimization and oversight,7.746,0.09999999999999964,0,0,7.74,Equity-first,promising but requires participatory validation,5
ERS002,Managed Retreat with Social Protection,8.1,8.8,8.3,8.1,8.4,3.2,3.9,reduces exposure while pairing relocation with housing income legal and community protections,7.759999999999999,0,0.1999999999999993,0.40000000000000036,7.728,Equity-first,promising but requires participatory validation,6
ERS001,Targeted Flood Defense Upgrade,8.7,6.8,6.9,6.5,6.8,4.8,3.5,protects high-risk infrastructure but may privilege asset value over vulnerability,6.411999999999999,1.7000000000000002,1.5999999999999996,2,6.113999999999999,Equity-first,equity-performance review needed,7
ERS004,Critical Infrastructure Hardening Only,8.5,5.9,5.7,5.5,5.8,5.6,3.2,protects technical assets while leaving distribution participation and recognition concerns unresolved,5.588,2.5999999999999996,2.8,3,5.114,Equity-first,burden-shifting review needed,8
ERS006,Watershed Restoration with Indigenous Co-Governance,8.2,8.7,9.1,9.4,8.9,2.7,4,restores ecological buffers while recognizing Indigenous governance knowledge land relationships and rights,6.791,0,0,0,6.791,Implementation-aware,implementation-burden review needed,1
ERS005,Public Housing Climate Retrofit Program,8.4,9,8.6,8.3,8.8,2.8,3.8,reduces heat flood and energy burdens for low income residents through public investment and tenant protection,6.679,0,0,0.1999999999999993,6.6690000000000005,Implementation-aware,promising but requires participatory validation,2
ERS007,Equity-Weighted Recovery Fund,8,9.2,8.4,8.2,8.9,2.9,3.6,directs recovery finance by vulnerability need and prior disinvestment rather than property value alone,6.619,0,0.09999999999999964,0.3000000000000007,6.598,Implementation-aware,promising but requires participatory validation,3
ERS003,Community-Led Heat Resilience Network,7.9,8.5,8.9,8.7,8.3,3.4,3.1,builds local cooling care networks trusted messengers and neighborhood-scale response capacity,6.564000000000001,0,0,0,6.564000000000001,Implementation-aware,promising but requires participatory validation,4
ERS008,Data Rights and Anti-Surveillance Resilience Program,7.6,8.4,8.7,8.8,9,2.6,3.4,protects public safety monitoring from surveillance creep through data rights consent minimization and oversight,6.545999999999999,0.09999999999999964,0,0,6.539999999999999,Implementation-aware,promising but requires participatory validation,5
ERS002,Managed Retreat with Social Protection,8.1,8.8,8.3,8.1,8.4,3.2,3.9,reduces exposure while pairing relocation with housing income legal and community protections,6.4190000000000005,0,0.1999999999999993,0.40000000000000036,6.3870000000000005,Implementation-aware,promising but requires participatory validation,6
ERS001,Targeted Flood Defense Upgrade,8.7,6.8,6.9,6.5,6.8,4.8,3.5,protects high-risk infrastructure but may privilege asset value over vulnerability,5.495,1.7000000000000002,1.5999999999999996,2,5.197,Implementation-aware,equity-performance review needed,7
ERS004,Critical Infrastructure Hardening Only,8.5,5.9,5.7,5.5,5.8,5.6,3.2,protects technical assets while leaving distribution participation and recognition concerns unresolved,4.823,2.5999999999999996,2.8,3,4.349,Implementation-aware,burden-shifting review needed,8
ERS006,Watershed Restoration with Indigenous Co-Governance,8.2,8.7,9.1,9.4,8.9,2.7,4,restores ecological buffers while recognizing Indigenous governance knowledge land relationships and rights,8.181999999999999,0,0,0,8.181999999999999,Participation-first,implementation-burden review needed,1
ERS005,Public Housing Climate Retrofit Program,8.4,9,8.6,8.3,8.8,2.8,3.8,reduces heat flood and energy burdens for low income residents through public investment and tenant protection,7.904000000000001,0,0,0.1999999999999993,7.894000000000001,Participation-first,promising but requires participatory validation,2
ERS003,Community-Led Heat Resilience Network,7.9,8.5,8.9,8.7,8.3,3.4,3.1,builds local cooling care networks trusted messengers and neighborhood-scale response capacity,7.84,0,0,0,7.84,Participation-first,promising but requires participatory validation,3
ERS008,Data Rights and Anti-Surveillance Resilience Program,7.6,8.4,8.7,8.8,9,2.6,3.4,protects public safety monitoring from surveillance creep through data rights consent minimization and oversight,7.8340000000000005,0.09999999999999964,0,0,7.828,Participation-first,promising but requires participatory validation,4
ERS007,Equity-Weighted Recovery Fund,8,9.2,8.4,8.2,8.9,2.9,3.6,directs recovery finance by vulnerability need and prior disinvestment rather than property value alone,7.8,0,0.09999999999999964,0.3000000000000007,7.779,Participation-first,promising but requires participatory validation,5
ERS002,Managed Retreat with Social Protection,8.1,8.8,8.3,8.1,8.4,3.2,3.9,reduces exposure while pairing relocation with housing income legal and community protections,7.6240000000000006,0,0.1999999999999993,0.40000000000000036,7.5920000000000005,Participation-first,promising but requires participatory validation,6
ERS001,Targeted Flood Defense Upgrade,8.7,6.8,6.9,6.5,6.8,4.8,3.5,protects high-risk infrastructure but may privilege asset value over vulnerability,6.42,1.7000000000000002,1.5999999999999996,2,6.122,Participation-first,equity-performance review needed,7
ERS004,Critical Infrastructure Hardening Only,8.5,5.9,5.7,5.5,5.8,5.6,3.2,protects technical assets while leaving distribution participation and recognition concerns unresolved,5.53,2.5999999999999996,2.8,3,5.056,Participation-first,burden-shifting review needed,8
ERS006,Watershed Restoration with Indigenous Co-Governance,8.2,8.7,9.1,9.4,8.9,2.7,4,restores ecological buffers while recognizing Indigenous governance knowledge land relationships and rights,7.898000000000001,0,0,0,7.898000000000001,Protection-first,implementation-burden review needed,1
ERS005,Public Housing Climate Retrofit Program,8.4,9,8.6,8.3,8.8,2.8,3.8,reduces heat flood and energy burdens for low income residents through public investment and tenant protection,7.858000000000001,0,0,0.1999999999999993,7.848000000000002,Protection-first,promising but requires participatory validation,2
ERS007,Equity-Weighted Recovery Fund,8,9.2,8.4,8.2,8.9,2.9,3.6,directs recovery finance by vulnerability need and prior disinvestment rather than property value alone,7.682000000000001,0,0.09999999999999964,0.3000000000000007,7.661000000000001,Protection-first,promising but requires participatory validation,3
ERS003,Community-Led Heat Resilience Network,7.9,8.5,8.9,8.7,8.3,3.4,3.1,builds local cooling care networks trusted messengers and neighborhood-scale response capacity,7.564000000000001,0,0,0,7.564000000000001,Protection-first,promising but requires participatory validation,4
ERS002,Managed Retreat with Social Protection,8.1,8.8,8.3,8.1,8.4,3.2,3.9,reduces exposure while pairing relocation with housing income legal and community protections,7.574000000000001,0,0.1999999999999993,0.40000000000000036,7.542000000000002,Protection-first,promising but requires participatory validation,5
ERS008,Data Rights and Anti-Surveillance Resilience Program,7.6,8.4,8.7,8.8,9,2.6,3.4,protects public safety monitoring from surveillance creep through data rights consent minimization and oversight,7.492,0.09999999999999964,0,0,7.486,Protection-first,promising but requires participatory validation,6
ERS001,Targeted Flood Defense Upgrade,8.7,6.8,6.9,6.5,6.8,4.8,3.5,protects high-risk infrastructure but may privilege asset value over vulnerability,6.986,1.7000000000000002,1.5999999999999996,2,6.688,Protection-first,equity-performance review needed,7
ERS004,Critical Infrastructure Hardening Only,8.5,5.9,5.7,5.5,5.8,5.6,3.2,protects technical assets while leaving distribution participation and recognition concerns unresolved,6.38,2.5999999999999996,2.8,3,5.906,Protection-first,burden-shifting review needed,8
ERS006,Watershed Restoration with Indigenous Co-Governance,8.2,8.7,9.1,9.4,8.9,2.7,4,restores ecological buffers while recognizing Indigenous governance knowledge land relationships and rights,8.232,0,0,0,8.232,Recognition-first,implementation-burden review needed,1
ERS005,Public Housing Climate Retrofit Program,8.4,9,8.6,8.3,8.8,2.8,3.8,reduces heat flood and energy burdens for low income residents through public investment and tenant protection,7.854000000000002,0,0,0.1999999999999993,7.844000000000002,Recognition-first,promising but requires participatory validation,2
ERS008,Data Rights and Anti-Surveillance Resilience Program,7.6,8.4,8.7,8.8,9,2.6,3.4,protects public safety monitoring from surveillance creep through data rights consent minimization and oversight,7.840000000000001,0.09999999999999964,0,0,7.8340000000000005,Recognition-first,promising but requires participatory validation,3
ERS003,Community-Led Heat Resilience Network,7.9,8.5,8.9,8.7,8.3,3.4,3.1,builds local cooling care networks trusted messengers and neighborhood-scale response capacity,7.808,0,0,0,7.808,Recognition-first,promising but requires participatory validation,4
ERS007,Equity-Weighted Recovery Fund,8,9.2,8.4,8.2,8.9,2.9,3.6,directs recovery finance by vulnerability need and prior disinvestment rather than property value alone,7.7700000000000005,0,0.09999999999999964,0.3000000000000007,7.7490000000000006,Recognition-first,promising but requires participatory validation,5
ERS002,Managed Retreat with Social Protection,8.1,8.8,8.3,8.1,8.4,3.2,3.9,reduces exposure while pairing relocation with housing income legal and community protections,7.595999999999999,0,0.1999999999999993,0.40000000000000036,7.564,Recognition-first,promising but requires participatory validation,6
ERS001,Targeted Flood Defense Upgrade,8.7,6.8,6.9,6.5,6.8,4.8,3.5,protects high-risk infrastructure but may privilege asset value over vulnerability,6.347999999999999,1.7000000000000002,1.5999999999999996,2,6.049999999999999,Recognition-first,equity-performance review needed,7
ERS004,Critical Infrastructure Hardening Only,8.5,5.9,5.7,5.5,5.8,5.6,3.2,protects technical assets while leaving distribution participation and recognition concerns unresolved,5.496,2.5999999999999996,2.8,3,5.022,Recognition-first,burden-shifting review needed,8
