simulation_id,strategy_id,strategy,rank,economic_resilience_value,winner
11,ER003,Workforce Retraining and Mobility Initiative,5,7.89782,Climate Transition and Just Regional Development Plan
11,ER002,Supply Chain Buffer and Redundancy Strategy,6,7.56453,Climate Transition and Just Regional Development Plan
12,ER001,Industrial Diversification and Local Production Program,1,8.57632,Industrial Diversification and Local Production Program
12,ER004,Countercyclical Stabilization and Public Investment Framework,2,8.39494,Industrial Diversification and Local Production Program
12,ER005,Climate Transition and Just Regional Development Plan,3,8.2892,Industrial Diversification and Local Production Program
12,ER003,Workforce Retraining and Mobility Initiative,4,8.10807,Industrial Diversification and Local Production Program
12,ER006,Community Finance and Small Business Continuity Fund,5,7.96699,Industrial Diversification and Local Production Program
12,ER002,Supply Chain Buffer and Redundancy Strategy,6,7.65446,Industrial Diversification and Local Production Program
13,ER002,Supply Chain Buffer and Redundancy Strategy,1,8.36795,Supply Chain Buffer and Redundancy Strategy
13,ER005,Climate Transition and Just Regional Development Plan,2,8.33224,Supply Chain Buffer and Redundancy Strategy
13,ER006,Community Finance and Small Business Continuity Fund,3,8.22346,Supply Chain Buffer and Redundancy Strategy
13,ER004,Countercyclical Stabilization and Public Investment Framework,4,8.08444,Supply Chain Buffer and Redundancy Strategy
13,ER001,Industrial Diversification and Local Production Program,5,7.95147,Supply Chain Buffer and Redundancy Strategy
13,ER003,Workforce Retraining and Mobility Initiative,6,7.91066,Supply Chain Buffer and Redundancy Strategy
14,ER001,Industrial Diversification and Local Production Program,1,8.35296,Industrial Diversification and Local Production Program
14,ER002,Supply Chain Buffer and Redundancy Strategy,2,8.31865,Industrial Diversification and Local Production Program
14,ER005,Climate Transition and Just Regional Development Plan,3,8.2667,Industrial Diversification and Local Production Program
14,ER004,Countercyclical Stabilization and Public Investment Framework,4,7.99348,Industrial Diversification and Local Production Program
14,ER006,Community Finance and Small Business Continuity Fund,5,7.96783,Industrial Diversification and Local Production Program
14,ER003,Workforce Retraining and Mobility Initiative,6,7.59945,Industrial Diversification and Local Production Program
15,ER004,Countercyclical Stabilization and Public Investment Framework,1,8.48872,Countercyclical Stabilization and Public Investment Framework
15,ER005,Climate Transition and Just Regional Development Plan,2,8.41076,Countercyclical Stabilization and Public Investment Framework
15,ER001,Industrial Diversification and Local Production Program,3,8.3621,Countercyclical Stabilization and Public Investment Framework
15,ER003,Workforce Retraining and Mobility Initiative,4,8.01937,Countercyclical Stabilization and Public Investment Framework
15,ER002,Supply Chain Buffer and Redundancy Strategy,5,7.87784,Countercyclical Stabilization and Public Investment Framework
15,ER006,Community Finance and Small Business Continuity Fund,6,7.68324,Countercyclical Stabilization and Public Investment Framework
16,ER005,Climate Transition and Just Regional Development Plan,1,8.21625,Climate Transition and Just Regional Development Plan
16,ER003,Workforce Retraining and Mobility Initiative,2,8.05421,Climate Transition and Just Regional Development Plan
16,ER006,Community Finance and Small Business Continuity Fund,3,8.01692,Climate Transition and Just Regional Development Plan
16,ER002,Supply Chain Buffer and Redundancy Strategy,4,8.00912,Climate Transition and Just Regional Development Plan
16,ER001,Industrial Diversification and Local Production Program,5,7.74807,Climate Transition and Just Regional Development Plan
16,ER004,Countercyclical Stabilization and Public Investment Framework,6,7.57033,Climate Transition and Just Regional Development Plan
17,ER005,Climate Transition and Just Regional Development Plan,1,8.48442,Climate Transition and Just Regional Development Plan
17,ER006,Community Finance and Small Business Continuity Fund,2,8.46215,Climate Transition and Just Regional Development Plan
17,ER001,Industrial Diversification and Local Production Program,3,8.23807,Climate Transition and Just Regional Development Plan
17,ER003,Workforce Retraining and Mobility Initiative,4,8.23319,Climate Transition and Just Regional Development Plan
17,ER002,Supply Chain Buffer and Redundancy Strategy,5,8.17427,Climate Transition and Just Regional Development Plan
17,ER004,Countercyclical Stabilization and Public Investment Framework,6,8.16362,Climate Transition and Just Regional Development Plan
18,ER005,Climate Transition and Just Regional Development Plan,1,8.48714,Climate Transition and Just Regional Development Plan
18,ER004,Countercyclical Stabilization and Public Investment Framework,2,8.22591,Climate Transition and Just Regional Development Plan
18,ER003,Workforce Retraining and Mobility Initiative,3,8.11187,Climate Transition and Just Regional Development Plan
18,ER006,Community Finance and Small Business Continuity Fund,4,8.06532,Climate Transition and Just Regional Development Plan
18,ER001,Industrial Diversification and Local Production Program,5,8.00091,Climate Transition and Just Regional Development Plan
18,ER002,Supply Chain Buffer and Redundancy Strategy,6,7.60436,Climate Transition and Just Regional Development Plan
19,ER005,Climate Transition and Just Regional Development Plan,1,8.27151,Climate Transition and Just Regional Development Plan
19,ER003,Workforce Retraining and Mobility Initiative,2,8.1864,Climate Transition and Just Regional Development Plan
19,ER004,Countercyclical Stabilization and Public Investment Framework,3,7.97988,Climate Transition and Just Regional Development Plan
19,ER006,Community Finance and Small Business Continuity Fund,4,7.7013,Climate Transition and Just Regional Development Plan
19,ER002,Supply Chain Buffer and Redundancy Strategy,5,7.50405,Climate Transition and Just Regional Development Plan
19,ER001,Industrial Diversification and Local Production Program,6,7.50351,Climate Transition and Just Regional Development Plan
20,ER006,Community Finance and Small Business Continuity Fund,1,8.47953,Community Finance and Small Business Continuity Fund
20,ER005,Climate Transition and Just Regional Development Plan,2,8.379,Community Finance and Small Business Continuity Fund
20,ER003,Workforce Retraining and Mobility Initiative,3,8.33198,Community Finance and Small Business Continuity Fund
20,ER004,Countercyclical Stabilization and Public Investment Framework,4,8.16221,Community Finance and Small Business Continuity Fund
20,ER001,Industrial Diversification and Local Production Program,5,7.87,Community Finance and Small Business Continuity Fund
20,ER002,Supply Chain Buffer and Redundancy Strategy,6,7.84009,Community Finance and Small Business Continuity Fund
21,ER001,Industrial Diversification and Local Production Program,1,8.51445,Industrial Diversification and Local Production Program
21,ER004,Countercyclical Stabilization and Public Investment Framework,2,8.32537,Industrial Diversification and Local Production Program
21,ER005,Climate Transition and Just Regional Development Plan,3,8.17556,Industrial Diversification and Local Production Program
21,ER002,Supply Chain Buffer and Redundancy Strategy,4,8.03571,Industrial Diversification and Local Production Program
21,ER003,Workforce Retraining and Mobility Initiative,5,7.93983,Industrial Diversification and Local Production Program
21,ER006,Community Finance and Small Business Continuity Fund,6,7.47304,Industrial Diversification and Local Production Program
22,ER005,Climate Transition and Just Regional Development Plan,1,8.71046,Climate Transition and Just Regional Development Plan
22,ER004,Countercyclical Stabilization and Public Investment Framework,2,8.54846,Climate Transition and Just Regional Development Plan
22,ER006,Community Finance and Small Business Continuity Fund,3,7.99339,Climate Transition and Just Regional Development Plan
22,ER003,Workforce Retraining and Mobility Initiative,4,7.94009,Climate Transition and Just Regional Development Plan
22,ER001,Industrial Diversification and Local Production Program,5,7.89862,Climate Transition and Just Regional Development Plan
22,ER002,Supply Chain Buffer and Redundancy Strategy,6,7.53764,Climate Transition and Just Regional Development Plan
23,ER005,Climate Transition and Just Regional Development Plan,1,8.54245,Climate Transition and Just Regional Development Plan
23,ER003,Workforce Retraining and Mobility Initiative,2,8.31461,Climate Transition and Just Regional Development Plan
23,ER004,Countercyclical Stabilization and Public Investment Framework,3,8.11056,Climate Transition and Just Regional Development Plan
23,ER001,Industrial Diversification and Local Production Program,4,8.09796,Climate Transition and Just Regional Development Plan
23,ER002,Supply Chain Buffer and Redundancy Strategy,5,8.03346,Climate Transition and Just Regional Development Plan
23,ER006,Community Finance and Small Business Continuity Fund,6,7.97243,Climate Transition and Just Regional Development Plan
24,ER003,Workforce Retraining and Mobility Initiative,1,8.62112,Workforce Retraining and Mobility Initiative
24,ER004,Countercyclical Stabilization and Public Investment Framework,2,8.57521,Workforce Retraining and Mobility Initiative
24,ER005,Climate Transition and Just Regional Development Plan,3,8.41259,Workforce Retraining and Mobility Initiative
24,ER002,Supply Chain Buffer and Redundancy Strategy,4,8.2119,Workforce Retraining and Mobility Initiative
24,ER006,Community Finance and Small Business Continuity Fund,5,8.18126,Workforce Retraining and Mobility Initiative
24,ER001,Industrial Diversification and Local Production Program,6,7.87633,Workforce Retraining and Mobility Initiative
25,ER005,Climate Transition and Just Regional Development Plan,1,8.32134,Climate Transition and Just Regional Development Plan
25,ER003,Workforce Retraining and Mobility Initiative,2,8.19332,Climate Transition and Just Regional Development Plan
25,ER006,Community Finance and Small Business Continuity Fund,3,8.18849,Climate Transition and Just Regional Development Plan
25,ER004,Countercyclical Stabilization and Public Investment Framework,4,7.90831,Climate Transition and Just Regional Development Plan
25,ER001,Industrial Diversification and Local Production Program,5,7.89745,Climate Transition and Just Regional Development Plan
25,ER002,Supply Chain Buffer and Redundancy Strategy,6,7.84651,Climate Transition and Just Regional Development Plan
26,ER004,Countercyclical Stabilization and Public Investment Framework,1,8.39399,Countercyclical Stabilization and Public Investment Framework
26,ER001,Industrial Diversification and Local Production Program,2,8.29252,Countercyclical Stabilization and Public Investment Framework
26,ER005,Climate Transition and Just Regional Development Plan,3,8.21576,Countercyclical Stabilization and Public Investment Framework
26,ER006,Community Finance and Small Business Continuity Fund,4,8.05382,Countercyclical Stabilization and Public Investment Framework
26,ER002,Supply Chain Buffer and Redundancy Strategy,5,7.87158,Countercyclical Stabilization and Public Investment Framework
26,ER003,Workforce Retraining and Mobility Initiative,6,7.5998,Countercyclical Stabilization and Public Investment Framework
27,ER006,Community Finance and Small Business Continuity Fund,1,8.517,Community Finance and Small Business Continuity Fund
27,ER003,Workforce Retraining and Mobility Initiative,2,8.25388,Community Finance and Small Business Continuity Fund
27,ER005,Climate Transition and Just Regional Development Plan,3,8.18162,Community Finance and Small Business Continuity Fund
27,ER001,Industrial Diversification and Local Production Program,4,8.07972,Community Finance and Small Business Continuity Fund
27,ER004,Countercyclical Stabilization and Public Investment Framework,5,8.06214,Community Finance and Small Business Continuity Fund
27,ER002,Supply Chain Buffer and Redundancy Strategy,6,7.80604,Community Finance and Small Business Continuity Fund
28,ER005,Climate Transition and Just Regional Development Plan,1,8.5758,Climate Transition and Just Regional Development Plan
28,ER003,Workforce Retraining and Mobility Initiative,2,8.12201,Climate Transition and Just Regional Development Plan
28,ER006,Community Finance and Small Business Continuity Fund,3,8.11196,Climate Transition and Just Regional Development Plan
28,ER004,Countercyclical Stabilization and Public Investment Framework,4,8.1012,Climate Transition and Just Regional Development Plan
28,ER001,Industrial Diversification and Local Production Program,5,8.02148,Climate Transition and Just Regional Development Plan
28,ER002,Supply Chain Buffer and Redundancy Strategy,6,7.93775,Climate Transition and Just Regional Development Plan
29,ER004,Countercyclical Stabilization and Public Investment Framework,1,8.7838,Countercyclical Stabilization and Public Investment Framework
29,ER005,Climate Transition and Just Regional Development Plan,2,8.54273,Countercyclical Stabilization and Public Investment Framework
29,ER006,Community Finance and Small Business Continuity Fund,3,8.00342,Countercyclical Stabilization and Public Investment Framework
29,ER003,Workforce Retraining and Mobility Initiative,4,7.91237,Countercyclical Stabilization and Public Investment Framework
29,ER001,Industrial Diversification and Local Production Program,5,7.89143,Countercyclical Stabilization and Public Investment Framework
29,ER002,Supply Chain Buffer and Redundancy Strategy,6,7.30824,Countercyclical Stabilization and Public Investment Framework
30,ER005,Climate Transition and Just Regional Development Plan,1,8.72199,Climate Transition and Just Regional Development Plan
30,ER001,Industrial Diversification and Local Production Program,2,8.54041,Climate Transition and Just Regional Development Plan
30,ER006,Community Finance and Small Business Continuity Fund,3,8.38767,Climate Transition and Just Regional Development Plan
30,ER004,Countercyclical Stabilization and Public Investment Framework,4,8.24937,Climate Transition and Just Regional Development Plan
30,ER003,Workforce Retraining and Mobility Initiative,5,8.12578,Climate Transition and Just Regional Development Plan
30,ER002,Supply Chain Buffer and Redundancy Strategy,6,7.94384,Climate Transition and Just Regional Development Plan
31,ER003,Workforce Retraining and Mobility Initiative,1,8.52725,Workforce Retraining and Mobility Initiative
31,ER004,Countercyclical Stabilization and Public Investment Framework,2,8.40159,Workforce Retraining and Mobility Initiative
31,ER005,Climate Transition and Just Regional Development Plan,3,8.22566,Workforce Retraining and Mobility Initiative
31,ER002,Supply Chain Buffer and Redundancy Strategy,4,8.09704,Workforce Retraining and Mobility Initiative
31,ER006,Community Finance and Small Business Continuity Fund,5,8.05522,Workforce Retraining and Mobility Initiative
31,ER001,Industrial Diversification and Local Production Program,6,7.76404,Workforce Retraining and Mobility Initiative
32,ER005,Climate Transition and Just Regional Development Plan,1,8.85174,Climate Transition and Just Regional Development Plan
32,ER003,Workforce Retraining and Mobility Initiative,2,8.37384,Climate Transition and Just Regional Development Plan
32,ER001,Industrial Diversification and Local Production Program,3,8.2108,Climate Transition and Just Regional Development Plan
32,ER004,Countercyclical Stabilization and Public Investment Framework,4,8.13634,Climate Transition and Just Regional Development Plan
32,ER006,Community Finance and Small Business Continuity Fund,5,8.08627,Climate Transition and Just Regional Development Plan
32,ER002,Supply Chain Buffer and Redundancy Strategy,6,8.02048,Climate Transition and Just Regional Development Plan
33,ER005,Climate Transition and Just Regional Development Plan,1,8.49895,Climate Transition and Just Regional Development Plan
33,ER004,Countercyclical Stabilization and Public Investment Framework,2,8.30723,Climate Transition and Just Regional Development Plan
33,ER001,Industrial Diversification and Local Production Program,3,8.28525,Climate Transition and Just Regional Development Plan
33,ER006,Community Finance and Small Business Continuity Fund,4,8.10521,Climate Transition and Just Regional Development Plan
33,ER003,Workforce Retraining and Mobility Initiative,5,8.01687,Climate Transition and Just Regional Development Plan
33,ER002,Supply Chain Buffer and Redundancy Strategy,6,7.76264,Climate Transition and Just Regional Development Plan
34,ER004,Countercyclical Stabilization and Public Investment Framework,1,8.41736,Countercyclical Stabilization and Public Investment Framework
34,ER006,Community Finance and Small Business Continuity Fund,2,8.36919,Countercyclical Stabilization and Public Investment Framework
34,ER005,Climate Transition and Just Regional Development Plan,3,8.27289,Countercyclical Stabilization and Public Investment Framework
34,ER003,Workforce Retraining and Mobility Initiative,4,7.98257,Countercyclical Stabilization and Public Investment Framework
34,ER001,Industrial Diversification and Local Production Program,5,7.92173,Countercyclical Stabilization and Public Investment Framework
34,ER002,Supply Chain Buffer and Redundancy Strategy,6,7.54662,Countercyclical Stabilization and Public Investment Framework
35,ER004,Countercyclical Stabilization and Public Investment Framework,1,8.67438,Countercyclical Stabilization and Public Investment Framework
35,ER005,Climate Transition and Just Regional Development Plan,2,8.28453,Countercyclical Stabilization and Public Investment Framework
35,ER006,Community Finance and Small Business Continuity Fund,3,8.2782,Countercyclical Stabilization and Public Investment Framework
35,ER003,Workforce Retraining and Mobility Initiative,4,8.12286,Countercyclical Stabilization and Public Investment Framework
35,ER001,Industrial Diversification and Local Production Program,5,7.79486,Countercyclical Stabilization and Public Investment Framework
35,ER002,Supply Chain Buffer and Redundancy Strategy,6,7.57639,Countercyclical Stabilization and Public Investment Framework
36,ER004,Countercyclical Stabilization and Public Investment Framework,1,8.44896,Countercyclical Stabilization and Public Investment Framework
36,ER003,Workforce Retraining and Mobility Initiative,2,8.15385,Countercyclical Stabilization and Public Investment Framework
36,ER005,Climate Transition and Just Regional Development Plan,3,8.11923,Countercyclical Stabilization and Public Investment Framework
36,ER006,Community Finance and Small Business Continuity Fund,4,8.08771,Countercyclical Stabilization and Public Investment Framework
36,ER002,Supply Chain Buffer and Redundancy Strategy,5,7.75366,Countercyclical Stabilization and Public Investment Framework
36,ER001,Industrial Diversification and Local Production Program,6,7.67233,Countercyclical Stabilization and Public Investment Framework
37,ER005,Climate Transition and Just Regional Development Plan,1,8.64495,Climate Transition and Just Regional Development Plan
37,ER001,Industrial Diversification and Local Production Program,2,8.54786,Climate Transition and Just Regional Development Plan
37,ER004,Countercyclical Stabilization and Public Investment Framework,3,8.50949,Climate Transition and Just Regional Development Plan
37,ER006,Community Finance and Small Business Continuity Fund,4,8.50084,Climate Transition and Just Regional Development Plan
37,ER003,Workforce Retraining and Mobility Initiative,5,8.13379,Climate Transition and Just Regional Development Plan
37,ER002,Supply Chain Buffer and Redundancy Strategy,6,7.92688,Climate Transition and Just Regional Development Plan
38,ER005,Climate Transition and Just Regional Development Plan,1,8.56723,Climate Transition and Just Regional Development Plan
38,ER004,Countercyclical Stabilization and Public Investment Framework,2,8.32862,Climate Transition and Just Regional Development Plan
38,ER001,Industrial Diversification and Local Production Program,3,8.18879,Climate Transition and Just Regional Development Plan
38,ER006,Community Finance and Small Business Continuity Fund,4,8.05555,Climate Transition and Just Regional Development Plan
38,ER003,Workforce Retraining and Mobility Initiative,5,7.66068,Climate Transition and Just Regional Development Plan
38,ER002,Supply Chain Buffer and Redundancy Strategy,6,7.24545,Climate Transition and Just Regional Development Plan
39,ER001,Industrial Diversification and Local Production Program,1,8.3844,Industrial Diversification and Local Production Program
39,ER002,Supply Chain Buffer and Redundancy Strategy,2,8.20691,Industrial Diversification and Local Production Program
39,ER004,Countercyclical Stabilization and Public Investment Framework,3,8.13391,Industrial Diversification and Local Production Program
39,ER005,Climate Transition and Just Regional Development Plan,4,7.91894,Industrial Diversification and Local Production Program
39,ER006,Community Finance and Small Business Continuity Fund,5,7.91639,Industrial Diversification and Local Production Program
39,ER003,Workforce Retraining and Mobility Initiative,6,7.88274,Industrial Diversification and Local Production Program
40,ER004,Countercyclical Stabilization and Public Investment Framework,1,8.75016,Countercyclical Stabilization and Public Investment Framework
40,ER005,Climate Transition and Just Regional Development Plan,2,8.41192,Countercyclical Stabilization and Public Investment Framework
40,ER006,Community Finance and Small Business Continuity Fund,3,8.28995,Countercyclical Stabilization and Public Investment Framework
40,ER003,Workforce Retraining and Mobility Initiative,4,8.13588,Countercyclical Stabilization and Public Investment Framework
40,ER001,Industrial Diversification and Local Production Program,5,8.10147,Countercyclical Stabilization and Public Investment Framework
40,ER002,Supply Chain Buffer and Redundancy Strategy,6,7.89949,Countercyclical Stabilization and Public Investment Framework
41,ER005,Climate Transition and Just Regional Development Plan,1,8.67707,Climate Transition and Just Regional Development Plan
41,ER004,Countercyclical Stabilization and Public Investment Framework,2,8.4865,Climate Transition and Just Regional Development Plan
41,ER003,Workforce Retraining and Mobility Initiative,3,8.47987,Climate Transition and Just Regional Development Plan
41,ER006,Community Finance and Small Business Continuity Fund,4,7.85916,Climate Transition and Just Regional Development Plan
41,ER002,Supply Chain Buffer and Redundancy Strategy,5,7.61046,Climate Transition and Just Regional Development Plan
41,ER001,Industrial Diversification and Local Production Program,6,7.57561,Climate Transition and Just Regional Development Plan
42,ER001,Industrial Diversification and Local Production Program,1,8.62375,Industrial Diversification and Local Production Program
42,ER006,Community Finance and Small Business Continuity Fund,2,8.30095,Industrial Diversification and Local Production Program
42,ER003,Workforce Retraining and Mobility Initiative,3,8.28226,Industrial Diversification and Local Production Program
42,ER004,Countercyclical Stabilization and Public Investment Framework,4,8.17744,Industrial Diversification and Local Production Program
42,ER002,Supply Chain Buffer and Redundancy Strategy,5,8.13344,Industrial Diversification and Local Production Program
42,ER005,Climate Transition and Just Regional Development Plan,6,7.87373,Industrial Diversification and Local Production Program
43,ER005,Climate Transition and Just Regional Development Plan,1,9.02772,Climate Transition and Just Regional Development Plan
43,ER004,Countercyclical Stabilization and Public Investment Framework,2,8.50238,Climate Transition and Just Regional Development Plan
43,ER006,Community Finance and Small Business Continuity Fund,3,8.37539,Climate Transition and Just Regional Development Plan
43,ER002,Supply Chain Buffer and Redundancy Strategy,4,8.22015,Climate Transition and Just Regional Development Plan
43,ER001,Industrial Diversification and Local Production Program,5,7.7525,Climate Transition and Just Regional Development Plan
43,ER003,Workforce Retraining and Mobility Initiative,6,7.69675,Climate Transition and Just Regional Development Plan
44,ER005,Climate Transition and Just Regional Development Plan,1,8.43892,Climate Transition and Just Regional Development Plan
44,ER003,Workforce Retraining and Mobility Initiative,2,8.42219,Climate Transition and Just Regional Development Plan
44,ER004,Countercyclical Stabilization and Public Investment Framework,3,8.39903,Climate Transition and Just Regional Development Plan
44,ER001,Industrial Diversification and Local Production Program,4,8.37312,Climate Transition and Just Regional Development Plan
44,ER006,Community Finance and Small Business Continuity Fund,5,8.11115,Climate Transition and Just Regional Development Plan
44,ER002,Supply Chain Buffer and Redundancy Strategy,6,7.71267,Climate Transition and Just Regional Development Plan
45,ER004,Countercyclical Stabilization and Public Investment Framework,1,8.41192,Countercyclical Stabilization and Public Investment Framework
45,ER003,Workforce Retraining and Mobility Initiative,2,8.38581,Countercyclical Stabilization and Public Investment Framework
45,ER005,Climate Transition and Just Regional Development Plan,3,8.36722,Countercyclical Stabilization and Public Investment Framework
45,ER006,Community Finance and Small Business Continuity Fund,4,8.10703,Countercyclical Stabilization and Public Investment Framework
45,ER001,Industrial Diversification and Local Production Program,5,8.03948,Countercyclical Stabilization and Public Investment Framework
45,ER002,Supply Chain Buffer and Redundancy Strategy,6,7.99238,Countercyclical Stabilization and Public Investment Framework
46,ER001,Industrial Diversification and Local Production Program,1,8.64312,Industrial Diversification and Local Production Program
46,ER006,Community Finance and Small Business Continuity Fund,2,8.43124,Industrial Diversification and Local Production Program
