system_id,system,system_domain,time,event,stress_load,response_capacity,health_system_function,dependency_coupling,equity_adjusted_function
SYS001,Local Public Health Department Network,public health operations,40,background public health stress,0.17349,0.41286,1.0,0.69831,1.0
SYS001,Local Public Health Department Network,public health operations,41,background public health stress,0.17745,0.41297,1.0,0.69732,1.0
SYS001,Local Public Health Department Network,public health operations,42,Flood and water contamination event,0.79899,0.41307,1.0,0.70875,0.85552
SYS001,Local Public Health Department Network,public health operations,43,background public health stress,0.1791,0.41192,1.0,0.70781,1.0
SYS001,Local Public Health Department Network,public health operations,44,background public health stress,0.17443,0.41202,1.0,0.70676,1.0
SYS001,Local Public Health Department Network,public health operations,45,background public health stress,0.17495,0.41212,1.0,0.70573,1.0
SYS001,Local Public Health Department Network,public health operations,46,background public health stress,0.18008,0.41223,1.0,0.70479,1.0
SYS001,Local Public Health Department Network,public health operations,47,background public health stress,0.17716,0.41232,1.0,0.7038,1.0
SYS001,Local Public Health Department Network,public health operations,48,background public health stress,0.18045,0.41242,1.0,0.70287,1.0
SYS001,Local Public Health Department Network,public health operations,49,background public health stress,0.18119,0.41251,1.0,0.70196,1.0
SYS001,Local Public Health Department Network,public health operations,50,background public health stress,0.18046,0.4126,1.0,0.70103,1.0
SYS001,Local Public Health Department Network,public health operations,51,background public health stress,0.18167,0.4127,1.0,0.70013,1.0
SYS001,Local Public Health Department Network,public health operations,52,background public health stress,0.18105,0.41279,1.0,0.69921,1.0
SYS001,Local Public Health Department Network,public health operations,53,background public health stress,0.17971,0.41288,1.0,0.69826,1.0
SYS001,Local Public Health Department Network,public health operations,54,background public health stress,0.17855,0.41297,1.0,0.69729,1.0
SYS001,Local Public Health Department Network,public health operations,55,background public health stress,0.1778,0.41307,1.0,0.6963,1.0
SYS001,Local Public Health Department Network,public health operations,56,Hospital cyberattack and data outage,0.8349,0.41317,1.0,0.70845,0.88352
SYS001,Local Public Health Department Network,public health operations,57,background public health stress,0.18158,0.41195,1.0,0.70755,1.0
SYS001,Local Public Health Department Network,public health operations,58,background public health stress,0.18455,0.41204,1.0,0.70671,1.0
SYS001,Local Public Health Department Network,public health operations,59,background public health stress,0.18379,0.41213,1.0,0.70585,1.0
SYS001,Local Public Health Department Network,public health operations,60,background public health stress,0.18323,0.41221,1.0,0.70498,1.0
SYS001,Local Public Health Department Network,public health operations,61,background public health stress,0.18258,0.4123,1.0,0.7041,1.0
SYS001,Local Public Health Department Network,public health operations,62,background public health stress,0.18375,0.41239,1.0,0.70324,1.0
SYS001,Local Public Health Department Network,public health operations,63,background public health stress,0.18209,0.41248,1.0,0.70234,1.0
SYS001,Local Public Health Department Network,public health operations,64,background public health stress,0.18782,0.41257,1.0,0.70156,1.0
SYS001,Local Public Health Department Network,public health operations,65,background public health stress,0.1892,0.41264,1.0,0.70081,1.0
SYS001,Local Public Health Department Network,public health operations,66,background public health stress,0.18443,0.41272,1.0,0.69995,1.0
SYS001,Local Public Health Department Network,public health operations,67,background public health stress,0.18558,0.4128,1.0,0.69913,1.0
SYS001,Local Public Health Department Network,public health operations,68,background public health stress,0.18827,0.41289,1.0,0.69835,1.0
SYS001,Local Public Health Department Network,public health operations,69,background public health stress,0.18498,0.41297,1.0,0.69751,1.0
SYS001,Local Public Health Department Network,public health operations,70,Compound outbreak heat supply-chain and workforce crisis,0.9474,0.41305,1.0,0.71191,0.83872
SYS001,Local Public Health Department Network,public health operations,71,background public health stress,0.19099,0.41161,1.0,0.7112,1.0
SYS001,Local Public Health Department Network,public health operations,72,background public health stress,0.19182,0.41168,1.0,0.71051,1.0
SYS001,Local Public Health Department Network,public health operations,73,background public health stress,0.18583,0.41175,1.0,0.7097,1.0
SYS001,Local Public Health Department Network,public health operations,74,background public health stress,0.18728,0.41183,1.0,0.70891,1.0
SYS001,Local Public Health Department Network,public health operations,75,background public health stress,0.19184,0.41191,1.0,0.70822,1.0
SYS001,Local Public Health Department Network,public health operations,76,background public health stress,0.1942,0.41198,1.0,0.70757,1.0
SYS001,Local Public Health Department Network,public health operations,77,background public health stress,0.19166,0.41204,1.0,0.70687,1.0
SYS001,Local Public Health Department Network,public health operations,78,background public health stress,0.1927,0.41211,1.0,0.70619,1.0
SYS001,Local Public Health Department Network,public health operations,79,background public health stress,0.19349,0.41218,1.0,0.70553,1.0
SYS002,Regional Hospital and Emergency Care System,healthcare delivery,0,background public health stress,0.16469,0.4066,1.0,0.77882,1.0
SYS002,Regional Hospital and Emergency Care System,healthcare delivery,1,background public health stress,0.17091,0.40672,1.0,0.77777,1.0
SYS002,Regional Hospital and Emergency Care System,healthcare delivery,2,background public health stress,0.16767,0.40682,1.0,0.77664,1.0
SYS002,Regional Hospital and Emergency Care System,healthcare delivery,3,background public health stress,0.16432,0.40694,1.0,0.77545,1.0
SYS002,Regional Hospital and Emergency Care System,healthcare delivery,4,background public health stress,0.16774,0.40705,1.0,0.77433,1.0
SYS002,Regional Hospital and Emergency Care System,healthcare delivery,5,background public health stress,0.16942,0.40717,1.0,0.77324,1.0
SYS002,Regional Hospital and Emergency Care System,healthcare delivery,6,background public health stress,0.1645,0.40728,1.0,0.77205,1.0
SYS002,Regional Hospital and Emergency Care System,healthcare delivery,7,background public health stress,0.16834,0.40739,1.0,0.77094,1.0
SYS002,Regional Hospital and Emergency Care System,healthcare delivery,8,background public health stress,0.16797,0.40751,1.0,0.76981,1.0
SYS002,Regional Hospital and Emergency Care System,healthcare delivery,9,background public health stress,0.16911,0.40762,1.0,0.76871,1.0
SYS002,Regional Hospital and Emergency Care System,healthcare delivery,10,background public health stress,0.16716,0.40773,1.0,0.76757,1.0
SYS002,Regional Hospital and Emergency Care System,healthcare delivery,11,background public health stress,0.16815,0.40784,1.0,0.76645,1.0
SYS002,Regional Hospital and Emergency Care System,healthcare delivery,12,Respiratory outbreak with misinformation surge,0.84132,0.40796,1.0,0.77879,0.8544
SYS002,Regional Hospital and Emergency Care System,healthcare delivery,13,background public health stress,0.17169,0.40672,1.0,0.77775,1.0
SYS002,Regional Hospital and Emergency Care System,healthcare delivery,14,background public health stress,0.17333,0.40683,1.0,0.77674,1.0
SYS002,Regional Hospital and Emergency Care System,healthcare delivery,15,background public health stress,0.17284,0.40693,1.0,0.77572,1.0
SYS002,Regional Hospital and Emergency Care System,healthcare delivery,16,background public health stress,0.17131,0.40703,1.0,0.77467,1.0
SYS002,Regional Hospital and Emergency Care System,healthcare delivery,17,background public health stress,0.17321,0.40713,1.0,0.77365,1.0
SYS002,Regional Hospital and Emergency Care System,healthcare delivery,18,background public health stress,0.1707,0.40723,1.0,0.77259,1.0
SYS002,Regional Hospital and Emergency Care System,healthcare delivery,19,background public health stress,0.17242,0.40734,1.0,0.77155,1.0
SYS002,Regional Hospital and Emergency Care System,healthcare delivery,20,background public health stress,0.17284,0.40744,1.0,0.77053,1.0
SYS002,Regional Hospital and Emergency Care System,healthcare delivery,21,background public health stress,0.17227,0.40755,1.0,0.76949,1.0
SYS002,Regional Hospital and Emergency Care System,healthcare delivery,22,background public health stress,0.16998,0.40765,1.0,0.76841,1.0
SYS002,Regional Hospital and Emergency Care System,healthcare delivery,23,background public health stress,0.17059,0.40776,1.0,0.76733,1.0
SYS002,Regional Hospital and Emergency Care System,healthcare delivery,24,background public health stress,0.1745,0.40787,1.0,0.76634,1.0
SYS002,Regional Hospital and Emergency Care System,healthcare delivery,25,background public health stress,0.1752,0.40797,1.0,0.76535,1.0
SYS002,Regional Hospital and Emergency Care System,healthcare delivery,26,background public health stress,0.17589,0.40806,1.0,0.76438,1.0
SYS002,Regional Hospital and Emergency Care System,healthcare delivery,27,Extreme heatwave with grid and cooling stress,0.78435,0.40816,1.0,0.77558,0.8432
SYS002,Regional Hospital and Emergency Care System,healthcare delivery,28,background public health stress,0.1793,0.40704,1.0,0.77469,1.0
SYS002,Regional Hospital and Emergency Care System,healthcare delivery,29,background public health stress,0.17884,0.40713,1.0,0.77379,1.0
SYS002,Regional Hospital and Emergency Care System,healthcare delivery,30,background public health stress,0.17957,0.40722,1.0,0.7729,1.0
SYS002,Regional Hospital and Emergency Care System,healthcare delivery,31,background public health stress,0.17356,0.40731,1.0,0.77189,1.0
SYS002,Regional Hospital and Emergency Care System,healthcare delivery,32,background public health stress,0.17555,0.40741,1.0,0.77092,1.0
SYS002,Regional Hospital and Emergency Care System,healthcare delivery,33,background public health stress,0.18271,0.40751,1.0,0.77009,1.0
SYS002,Regional Hospital and Emergency Care System,healthcare delivery,34,background public health stress,0.17807,0.40759,1.0,0.76917,1.0
SYS002,Regional Hospital and Emergency Care System,healthcare delivery,35,background public health stress,0.1818,0.40768,1.0,0.76832,1.0
SYS002,Regional Hospital and Emergency Care System,healthcare delivery,36,background public health stress,0.18266,0.40777,1.0,0.76749,1.0
SYS002,Regional Hospital and Emergency Care System,healthcare delivery,37,background public health stress,0.17663,0.40785,1.0,0.76653,1.0
SYS002,Regional Hospital and Emergency Care System,healthcare delivery,38,background public health stress,0.18292,0.40795,1.0,0.7657,1.0
SYS002,Regional Hospital and Emergency Care System,healthcare delivery,39,background public health stress,0.18191,0.40803,1.0,0.76485,1.0
SYS002,Regional Hospital and Emergency Care System,healthcare delivery,40,background public health stress,0.18038,0.40811,1.0,0.76397,1.0
SYS002,Regional Hospital and Emergency Care System,healthcare delivery,41,background public health stress,0.18545,0.4082,1.0,0.76319,1.0
SYS002,Regional Hospital and Emergency Care System,healthcare delivery,42,Flood and water contamination event,0.80426,0.40828,1.0,0.77479,0.8488
SYS002,Regional Hospital and Emergency Care System,healthcare delivery,43,background public health stress,0.17974,0.40712,1.0,0.7739,1.0
SYS002,Regional Hospital and Emergency Care System,healthcare delivery,44,background public health stress,0.18464,0.40721,1.0,0.77312,1.0
SYS002,Regional Hospital and Emergency Care System,healthcare delivery,45,background public health stress,0.1804,0.40729,1.0,0.77224,1.0
SYS002,Regional Hospital and Emergency Care System,healthcare delivery,46,background public health stress,0.18504,0.40738,1.0,0.77146,1.0
SYS002,Regional Hospital and Emergency Care System,healthcare delivery,47,background public health stress,0.1853,0.40745,1.0,0.77069,1.0
SYS002,Regional Hospital and Emergency Care System,healthcare delivery,48,background public health stress,0.18188,0.40753,1.0,0.76984,1.0
SYS002,Regional Hospital and Emergency Care System,healthcare delivery,49,background public health stress,0.18632,0.40762,1.0,0.76908,1.0
SYS002,Regional Hospital and Emergency Care System,healthcare delivery,50,background public health stress,0.18585,0.40769,1.0,0.76832,1.0
SYS002,Regional Hospital and Emergency Care System,healthcare delivery,51,background public health stress,0.18497,0.40777,1.0,0.76753,1.0
SYS002,Regional Hospital and Emergency Care System,healthcare delivery,52,background public health stress,0.18463,0.40785,1.0,0.76674,1.0
SYS002,Regional Hospital and Emergency Care System,healthcare delivery,53,background public health stress,0.18901,0.40793,1.0,0.76603,1.0
SYS002,Regional Hospital and Emergency Care System,healthcare delivery,54,background public health stress,0.18693,0.408,1.0,0.76528,1.0
SYS002,Regional Hospital and Emergency Care System,healthcare delivery,55,background public health stress,0.18667,0.40807,1.0,0.76453,1.0
SYS002,Regional Hospital and Emergency Care System,healthcare delivery,56,Hospital cyberattack and data outage,0.84036,0.40815,1.0,0.77684,0.8768
SYS002,Regional Hospital and Emergency Care System,healthcare delivery,57,background public health stress,0.1888,0.40692,1.0,0.77614,1.0
SYS002,Regional Hospital and Emergency Care System,healthcare delivery,58,background public health stress,0.18951,0.40699,1.0,0.77546,1.0
SYS002,Regional Hospital and Emergency Care System,healthcare delivery,59,background public health stress,0.1914,0.40705,1.0,0.77481,1.0
SYS002,Regional Hospital and Emergency Care System,healthcare delivery,60,background public health stress,0.19001,0.40712,1.0,0.77413,1.0
SYS002,Regional Hospital and Emergency Care System,healthcare delivery,61,background public health stress,0.19111,0.40719,1.0,0.77347,1.0
SYS002,Regional Hospital and Emergency Care System,healthcare delivery,62,background public health stress,0.18702,0.40725,1.0,0.77273,1.0
SYS002,Regional Hospital and Emergency Care System,healthcare delivery,63,background public health stress,0.18697,0.40733,1.0,0.77199,1.0
SYS002,Regional Hospital and Emergency Care System,healthcare delivery,64,background public health stress,0.1887,0.4074,1.0,0.77128,1.0
SYS002,Regional Hospital and Emergency Care System,healthcare delivery,65,background public health stress,0.19067,0.40747,1.0,0.77061,1.0
SYS002,Regional Hospital and Emergency Care System,healthcare delivery,66,background public health stress,0.19357,0.40754,1.0,0.77,1.0
SYS002,Regional Hospital and Emergency Care System,healthcare delivery,67,background public health stress,0.19214,0.4076,1.0,0.76936,1.0
SYS002,Regional Hospital and Emergency Care System,healthcare delivery,68,background public health stress,0.1935,0.40766,1.0,0.76875,1.0
SYS002,Regional Hospital and Emergency Care System,healthcare delivery,69,background public health stress,0.19168,0.40773,1.0,0.7681,1.0
SYS002,Regional Hospital and Emergency Care System,healthcare delivery,70,Compound outbreak heat supply-chain and workforce crisis,0.95305,0.40779,1.0,0.78267,0.832
SYS002,Regional Hospital and Emergency Care System,healthcare delivery,71,background public health stress,0.19514,0.40633,1.0,0.78211,1.0
SYS002,Regional Hospital and Emergency Care System,healthcare delivery,72,background public health stress,0.19455,0.40639,1.0,0.78153,1.0
SYS002,Regional Hospital and Emergency Care System,healthcare delivery,73,background public health stress,0.19499,0.40645,1.0,0.78095,1.0
SYS002,Regional Hospital and Emergency Care System,healthcare delivery,74,background public health stress,0.19231,0.4065,1.0,0.78033,1.0
SYS002,Regional Hospital and Emergency Care System,healthcare delivery,75,background public health stress,0.19738,0.40657,1.0,0.7798,1.0
SYS002,Regional Hospital and Emergency Care System,healthcare delivery,76,background public health stress,0.19718,0.40662,1.0,0.77928,1.0
SYS002,Regional Hospital and Emergency Care System,healthcare delivery,77,background public health stress,0.19622,0.40667,1.0,0.77873,1.0
SYS002,Regional Hospital and Emergency Care System,healthcare delivery,78,background public health stress,0.20084,0.40673,1.0,0.77827,1.0
SYS002,Regional Hospital and Emergency Care System,healthcare delivery,79,background public health stress,0.19855,0.40677,1.0,0.77777,1.0
SYS003,Laboratory and Diagnostic Network,laboratories and diagnostics,0,background public health stress,0.16229,0.4426,1.0,0.73838,1.0
SYS003,Laboratory and Diagnostic Network,laboratories and diagnostics,1,background public health stress,0.16322,0.44276,1.0,0.73677,1.0
SYS003,Laboratory and Diagnostic Network,laboratories and diagnostics,2,background public health stress,0.16328,0.44292,1.0,0.73516,1.0
SYS003,Laboratory and Diagnostic Network,laboratories and diagnostics,3,background public health stress,0.16468,0.44308,1.0,0.73358,1.0
SYS003,Laboratory and Diagnostic Network,laboratories and diagnostics,4,background public health stress,0.16244,0.44324,1.0,0.73196,1.0
SYS003,Laboratory and Diagnostic Network,laboratories and diagnostics,5,background public health stress,0.16495,0.4434,1.0,0.73038,1.0
SYS003,Laboratory and Diagnostic Network,laboratories and diagnostics,6,background public health stress,0.16756,0.44356,1.0,0.72885,1.0
SYS003,Laboratory and Diagnostic Network,laboratories and diagnostics,7,background public health stress,0.16278,0.44371,1.0,0.72723,1.0
SYS003,Laboratory and Diagnostic Network,laboratories and diagnostics,8,background public health stress,0.16555,0.44388,1.0,0.72565,1.0
SYS003,Laboratory and Diagnostic Network,laboratories and diagnostics,9,background public health stress,0.16687,0.44403,1.0,0.72411,1.0
SYS003,Laboratory and Diagnostic Network,laboratories and diagnostics,10,background public health stress,0.1655,0.44419,1.0,0.72253,1.0
SYS003,Laboratory and Diagnostic Network,laboratories and diagnostics,11,background public health stress,0.16507,0.44435,1.0,0.72094,1.0
SYS003,Laboratory and Diagnostic Network,laboratories and diagnostics,12,Respiratory outbreak with misinformation surge,0.83768,0.44451,1.0,0.73281,0.84992
SYS003,Laboratory and Diagnostic Network,laboratories and diagnostics,13,background public health stress,0.16693,0.44332,1.0,0.73127,1.0
SYS003,Laboratory and Diagnostic Network,laboratories and diagnostics,14,background public health stress,0.16944,0.44347,1.0,0.72978,1.0
SYS003,Laboratory and Diagnostic Network,laboratories and diagnostics,15,background public health stress,0.16472,0.44362,1.0,0.7282,1.0
SYS003,Laboratory and Diagnostic Network,laboratories and diagnostics,16,background public health stress,0.16891,0.44378,1.0,0.72669,1.0
SYS003,Laboratory and Diagnostic Network,laboratories and diagnostics,17,background public health stress,0.17026,0.44393,1.0,0.72521,1.0
SYS003,Laboratory and Diagnostic Network,laboratories and diagnostics,18,background public health stress,0.16813,0.44408,1.0,0.72369,1.0
SYS003,Laboratory and Diagnostic Network,laboratories and diagnostics,19,background public health stress,0.16893,0.44423,1.0,0.72218,1.0
SYS003,Laboratory and Diagnostic Network,laboratories and diagnostics,20,background public health stress,0.16894,0.44438,1.0,0.72068,1.0
SYS003,Laboratory and Diagnostic Network,laboratories and diagnostics,21,background public health stress,0.16998,0.44453,1.0,0.71918,1.0
SYS003,Laboratory and Diagnostic Network,laboratories and diagnostics,22,background public health stress,0.17001,0.44468,1.0,0.71769,1.0
SYS003,Laboratory and Diagnostic Network,laboratories and diagnostics,23,background public health stress,0.17342,0.44483,1.0,0.71627,1.0
SYS003,Laboratory and Diagnostic Network,laboratories and diagnostics,24,background public health stress,0.17284,0.44497,1.0,0.71483,1.0
SYS003,Laboratory and Diagnostic Network,laboratories and diagnostics,25,background public health stress,0.17355,0.44512,1.0,0.71341,1.0
SYS003,Laboratory and Diagnostic Network,laboratories and diagnostics,26,background public health stress,0.17182,0.44526,1.0,0.71194,1.0
SYS003,Laboratory and Diagnostic Network,laboratories and diagnostics,27,Extreme heatwave with grid and cooling stress,0.78016,0.44541,1.0,0.72265,0.83872
SYS003,Laboratory and Diagnostic Network,laboratories and diagnostics,28,background public health stress,0.17539,0.44434,1.0,0.72127,1.0
SYS003,Laboratory and Diagnostic Network,laboratories and diagnostics,29,background public health stress,0.17412,0.44447,1.0,0.71986,1.0
SYS003,Laboratory and Diagnostic Network,laboratories and diagnostics,30,background public health stress,0.17628,0.44461,1.0,0.7185,1.0
SYS003,Laboratory and Diagnostic Network,laboratories and diagnostics,31,background public health stress,0.17437,0.44475,1.0,0.71709,1.0
SYS003,Laboratory and Diagnostic Network,laboratories and diagnostics,32,background public health stress,0.17603,0.44489,1.0,0.71572,1.0
SYS003,Laboratory and Diagnostic Network,laboratories and diagnostics,33,background public health stress,0.17648,0.44503,1.0,0.71435,1.0
SYS003,Laboratory and Diagnostic Network,laboratories and diagnostics,34,background public health stress,0.17436,0.44516,1.0,0.71294,1.0
SYS003,Laboratory and Diagnostic Network,laboratories and diagnostics,35,background public health stress,0.17527,0.44531,1.0,0.71155,1.0
SYS003,Laboratory and Diagnostic Network,laboratories and diagnostics,36,background public health stress,0.17596,0.44545,1.0,0.71017,1.0
SYS003,Laboratory and Diagnostic Network,laboratories and diagnostics,37,background public health stress,0.17554,0.44558,1.0,0.70878,1.0
SYS003,Laboratory and Diagnostic Network,laboratories and diagnostics,38,background public health stress,0.17574,0.44572,1.0,0.70739,1.0
SYS003,Laboratory and Diagnostic Network,laboratories and diagnostics,39,background public health stress,0.17676,0.44586,1.0,0.70602,1.0
SYS003,Laboratory and Diagnostic Network,laboratories and diagnostics,40,background public health stress,0.17465,0.446,1.0,0.70461,1.0
SYS003,Laboratory and Diagnostic Network,laboratories and diagnostics,41,background public health stress,0.17502,0.44614,1.0,0.7032,1.0
SYS003,Laboratory and Diagnostic Network,laboratories and diagnostics,42,Flood and water contamination event,0.79946,0.44628,1.0,0.71428,0.84432
SYS003,Laboratory and Diagnostic Network,laboratories and diagnostics,43,background public health stress,0.17455,0.44517,1.0,0.71287,1.0
SYS003,Laboratory and Diagnostic Network,laboratories and diagnostics,44,background public health stress,0.17589,0.44531,1.0,0.71149,1.0
SYS003,Laboratory and Diagnostic Network,laboratories and diagnostics,45,background public health stress,0.1751,0.44545,1.0,0.7101,1.0
SYS003,Laboratory and Diagnostic Network,laboratories and diagnostics,46,background public health stress,0.17759,0.44559,1.0,0.70875,1.0
SYS003,Laboratory and Diagnostic Network,laboratories and diagnostics,47,background public health stress,0.1797,0.44573,1.0,0.70744,1.0
SYS003,Laboratory and Diagnostic Network,laboratories and diagnostics,48,background public health stress,0.1767,0.44586,1.0,0.70607,1.0
SYS003,Laboratory and Diagnostic Network,laboratories and diagnostics,49,background public health stress,0.18053,0.44599,1.0,0.70477,1.0
SYS003,Laboratory and Diagnostic Network,laboratories and diagnostics,50,background public health stress,0.17878,0.44612,1.0,0.70344,1.0
SYS003,Laboratory and Diagnostic Network,laboratories and diagnostics,51,background public health stress,0.18368,0.44626,1.0,0.7022,1.0
SYS003,Laboratory and Diagnostic Network,laboratories and diagnostics,52,background public health stress,0.18268,0.44638,1.0,0.70095,1.0
SYS003,Laboratory and Diagnostic Network,laboratories and diagnostics,53,background public health stress,0.18001,0.44651,1.0,0.69964,1.0
SYS003,Laboratory and Diagnostic Network,laboratories and diagnostics,54,background public health stress,0.17776,0.44664,1.0,0.69828,1.0
SYS003,Laboratory and Diagnostic Network,laboratories and diagnostics,55,background public health stress,0.18216,0.44677,1.0,0.69701,1.0
SYS003,Laboratory and Diagnostic Network,laboratories and diagnostics,56,Hospital cyberattack and data outage,0.83496,0.4469,1.0,0.70879,0.87232
SYS003,Laboratory and Diagnostic Network,laboratories and diagnostics,57,background public health stress,0.18746,0.44572,1.0,0.70764,1.0
SYS003,Laboratory and Diagnostic Network,laboratories and diagnostics,58,background public health stress,0.1851,0.44584,1.0,0.70644,1.0
SYS003,Laboratory and Diagnostic Network,laboratories and diagnostics,59,background public health stress,0.1806,0.44596,1.0,0.70514,1.0
SYS003,Laboratory and Diagnostic Network,laboratories and diagnostics,60,background public health stress,0.18398,0.44609,1.0,0.70391,1.0
SYS003,Laboratory and Diagnostic Network,laboratories and diagnostics,61,background public health stress,0.18785,0.44621,1.0,0.70276,1.0
SYS003,Laboratory and Diagnostic Network,laboratories and diagnostics,62,background public health stress,0.1884,0.44632,1.0,0.70162,1.0
SYS003,Laboratory and Diagnostic Network,laboratories and diagnostics,63,background public health stress,0.18553,0.44644,1.0,0.70042,1.0
SYS003,Laboratory and Diagnostic Network,laboratories and diagnostics,64,background public health stress,0.18543,0.44656,1.0,0.69922,1.0
SYS003,Laboratory and Diagnostic Network,laboratories and diagnostics,65,background public health stress,0.18822,0.44668,1.0,0.69807,1.0
SYS003,Laboratory and Diagnostic Network,laboratories and diagnostics,66,background public health stress,0.18488,0.44679,1.0,0.69685,1.0
SYS003,Laboratory and Diagnostic Network,laboratories and diagnostics,67,background public health stress,0.1878,0.44691,1.0,0.69569,1.0
SYS003,Laboratory and Diagnostic Network,laboratories and diagnostics,68,background public health stress,0.18493,0.44703,1.0,0.69447,1.0
SYS003,Laboratory and Diagnostic Network,laboratories and diagnostics,69,background public health stress,0.18726,0.44715,1.0,0.6933,1.0
SYS003,Laboratory and Diagnostic Network,laboratories and diagnostics,70,Compound outbreak heat supply-chain and workforce crisis,0.94706,0.44727,1.0,0.70732,0.82752
SYS003,Laboratory and Diagnostic Network,laboratories and diagnostics,71,background public health stress,0.19304,0.44587,1.0,0.70628,1.0
SYS003,Laboratory and Diagnostic Network,laboratories and diagnostics,72,background public health stress,0.18627,0.44597,1.0,0.7051,1.0
SYS003,Laboratory and Diagnostic Network,laboratories and diagnostics,73,background public health stress,0.19079,0.44609,1.0,0.70401,1.0
SYS003,Laboratory and Diagnostic Network,laboratories and diagnostics,74,background public health stress,0.18654,0.4462,1.0,0.70283,1.0
SYS003,Laboratory and Diagnostic Network,laboratories and diagnostics,75,background public health stress,0.18856,0.44632,1.0,0.70169,1.0
SYS003,Laboratory and Diagnostic Network,laboratories and diagnostics,76,background public health stress,0.1898,0.44643,1.0,0.70057,1.0
