scenario,strategy_id,strategy,system_domain,rank,resilience_value,implementation_burden,critical_function
Trust-first,PH003,Public Health Workforce Resilience Initiative,workforce and surge capacity,4,7.905,3.4,protects staffing surge cross-training worker safety mental health retention and leadership capacity
Trust-first,PH005,Climate-Resilient Health Facilities Program,climate health infrastructure,5,7.826,3.6,protects hospitals clinics laboratories shelters cooling water power ventilation and facility operations under climate stress
Trust-first,PH001,Integrated Surveillance and Laboratory Modernization,surveillance and laboratories,6,7.786,3.5,improves early warning laboratory turnaround data integration variant tracking and public health intelligence
Equity-first,PH006,Equity-Centered Emergency Preparedness Framework,equity and governance,1,8.503,3.0,aligns emergency powers resource distribution accessible communication community authority and recovery with equity
Equity-first,PH004,Community Health Trust and Outreach Network,community trust and outreach,2,8.419,2.8,builds trusted outreach language access local knowledge health navigation and community partnership capacity
Equity-first,PH002,Essential Health Service Continuity Program,service continuity and care access,3,7.999,3.2,maintains emergency care primary care maternal care medication access mental health and chronic disease services
Equity-first,PH003,Public Health Workforce Resilience Initiative,workforce and surge capacity,4,7.951,3.4,protects staffing surge cross-training worker safety mental health retention and leadership capacity
Equity-first,PH005,Climate-Resilient Health Facilities Program,climate health infrastructure,5,7.902,3.6,protects hospitals clinics laboratories shelters cooling water power ventilation and facility operations under climate stress
Equity-first,PH001,Integrated Surveillance and Laboratory Modernization,surveillance and laboratories,6,7.819,3.5,improves early warning laboratory turnaround data integration variant tracking and public health intelligence
Implementation-sensitive,PH006,Equity-Centered Emergency Preparedness Framework,equity and governance,1,6.957,3.0,aligns emergency powers resource distribution accessible communication community authority and recovery with equity
Implementation-sensitive,PH004,Community Health Trust and Outreach Network,community trust and outreach,2,6.934,2.8,builds trusted outreach language access local knowledge health navigation and community partnership capacity
Implementation-sensitive,PH002,Essential Health Service Continuity Program,service continuity and care access,3,6.592,3.2,maintains emergency care primary care maternal care medication access mental health and chronic disease services
Implementation-sensitive,PH003,Public Health Workforce Resilience Initiative,workforce and surge capacity,4,6.543,3.4,protects staffing surge cross-training worker safety mental health retention and leadership capacity
Implementation-sensitive,PH001,Integrated Surveillance and Laboratory Modernization,surveillance and laboratories,5,6.524,3.5,improves early warning laboratory turnaround data integration variant tracking and public health intelligence
Implementation-sensitive,PH005,Climate-Resilient Health Facilities Program,climate health infrastructure,6,6.508,3.6,protects hospitals clinics laboratories shelters cooling water power ventilation and facility operations under climate stress
