simulation_id,strategy_id,strategy,rank,containment_value,winner
4,CS005,Digital Service Isolation and Offline Fallbacks,1,7.57382,Digital Service Isolation and Offline Fallbacks
4,CS001,Microgrid and Critical Service Islanding,2,7.20799,Digital Service Isolation and Offline Fallbacks
4,CS004,Cross-Agency Emergency Coordination Cells,3,7.05696,Digital Service Isolation and Offline Fallbacks
4,CS003,Wetland and Floodplain Buffer Network,4,6.89864,Digital Service Isolation and Offline Fallbacks
4,CS002,Regional Supply Network Diversification,5,6.84778,Digital Service Isolation and Offline Fallbacks
4,CS006,Neighborhood Resilience Hub Network,6,6.66075,Digital Service Isolation and Offline Fallbacks
5,CS001,Microgrid and Critical Service Islanding,1,7.59364,Microgrid and Critical Service Islanding
5,CS003,Wetland and Floodplain Buffer Network,2,7.08707,Microgrid and Critical Service Islanding
5,CS006,Neighborhood Resilience Hub Network,3,7.05795,Microgrid and Critical Service Islanding
5,CS004,Cross-Agency Emergency Coordination Cells,4,6.88049,Microgrid and Critical Service Islanding
5,CS002,Regional Supply Network Diversification,5,6.87141,Microgrid and Critical Service Islanding
5,CS005,Digital Service Isolation and Offline Fallbacks,6,6.81352,Microgrid and Critical Service Islanding
6,CS001,Microgrid and Critical Service Islanding,1,7.77559,Microgrid and Critical Service Islanding
6,CS002,Regional Supply Network Diversification,2,7.14094,Microgrid and Critical Service Islanding
6,CS006,Neighborhood Resilience Hub Network,3,7.12461,Microgrid and Critical Service Islanding
6,CS005,Digital Service Isolation and Offline Fallbacks,4,6.91416,Microgrid and Critical Service Islanding
6,CS004,Cross-Agency Emergency Coordination Cells,5,6.8881,Microgrid and Critical Service Islanding
6,CS003,Wetland and Floodplain Buffer Network,6,6.479,Microgrid and Critical Service Islanding
7,CS005,Digital Service Isolation and Offline Fallbacks,1,7.36523,Digital Service Isolation and Offline Fallbacks
7,CS001,Microgrid and Critical Service Islanding,2,7.25156,Digital Service Isolation and Offline Fallbacks
7,CS004,Cross-Agency Emergency Coordination Cells,3,7.192,Digital Service Isolation and Offline Fallbacks
7,CS006,Neighborhood Resilience Hub Network,4,6.88741,Digital Service Isolation and Offline Fallbacks
7,CS003,Wetland and Floodplain Buffer Network,5,6.779,Digital Service Isolation and Offline Fallbacks
7,CS002,Regional Supply Network Diversification,6,6.58084,Digital Service Isolation and Offline Fallbacks
8,CS005,Digital Service Isolation and Offline Fallbacks,1,7.69911,Digital Service Isolation and Offline Fallbacks
8,CS001,Microgrid and Critical Service Islanding,2,7.32029,Digital Service Isolation and Offline Fallbacks
8,CS003,Wetland and Floodplain Buffer Network,3,7.03322,Digital Service Isolation and Offline Fallbacks
8,CS004,Cross-Agency Emergency Coordination Cells,4,6.96074,Digital Service Isolation and Offline Fallbacks
8,CS002,Regional Supply Network Diversification,5,6.93594,Digital Service Isolation and Offline Fallbacks
8,CS006,Neighborhood Resilience Hub Network,6,6.82505,Digital Service Isolation and Offline Fallbacks
9,CS005,Digital Service Isolation and Offline Fallbacks,1,7.31352,Digital Service Isolation and Offline Fallbacks
9,CS001,Microgrid and Critical Service Islanding,2,7.26742,Digital Service Isolation and Offline Fallbacks
9,CS002,Regional Supply Network Diversification,3,7.18078,Digital Service Isolation and Offline Fallbacks
9,CS006,Neighborhood Resilience Hub Network,4,7.09693,Digital Service Isolation and Offline Fallbacks
9,CS003,Wetland and Floodplain Buffer Network,5,6.99705,Digital Service Isolation and Offline Fallbacks
9,CS004,Cross-Agency Emergency Coordination Cells,6,6.64339,Digital Service Isolation and Offline Fallbacks
10,CS001,Microgrid and Critical Service Islanding,1,7.31153,Microgrid and Critical Service Islanding
10,CS005,Digital Service Isolation and Offline Fallbacks,2,7.21137,Microgrid and Critical Service Islanding
10,CS003,Wetland and Floodplain Buffer Network,3,7.0091,Microgrid and Critical Service Islanding
10,CS006,Neighborhood Resilience Hub Network,4,6.97592,Microgrid and Critical Service Islanding
10,CS002,Regional Supply Network Diversification,5,6.70676,Microgrid and Critical Service Islanding
10,CS004,Cross-Agency Emergency Coordination Cells,6,6.42125,Microgrid and Critical Service Islanding
11,CS005,Digital Service Isolation and Offline Fallbacks,1,7.39533,Digital Service Isolation and Offline Fallbacks
11,CS001,Microgrid and Critical Service Islanding,2,7.34074,Digital Service Isolation and Offline Fallbacks
11,CS004,Cross-Agency Emergency Coordination Cells,3,6.89352,Digital Service Isolation and Offline Fallbacks
11,CS006,Neighborhood Resilience Hub Network,4,6.87692,Digital Service Isolation and Offline Fallbacks
11,CS003,Wetland and Floodplain Buffer Network,5,6.66674,Digital Service Isolation and Offline Fallbacks
11,CS002,Regional Supply Network Diversification,6,6.50481,Digital Service Isolation and Offline Fallbacks
12,CS001,Microgrid and Critical Service Islanding,1,7.64684,Microgrid and Critical Service Islanding
12,CS005,Digital Service Isolation and Offline Fallbacks,2,7.09607,Microgrid and Critical Service Islanding
12,CS003,Wetland and Floodplain Buffer Network,3,6.99494,Microgrid and Critical Service Islanding
12,CS004,Cross-Agency Emergency Coordination Cells,4,6.91488,Microgrid and Critical Service Islanding
12,CS006,Neighborhood Resilience Hub Network,5,6.7665,Microgrid and Critical Service Islanding
12,CS002,Regional Supply Network Diversification,6,6.60618,Microgrid and Critical Service Islanding
13,CS002,Regional Supply Network Diversification,1,7.30434,Regional Supply Network Diversification
13,CS005,Digital Service Isolation and Offline Fallbacks,2,7.22567,Regional Supply Network Diversification
13,CS006,Neighborhood Resilience Hub Network,3,7.12578,Regional Supply Network Diversification
13,CS001,Microgrid and Critical Service Islanding,4,7.06579,Regional Supply Network Diversification
13,CS004,Cross-Agency Emergency Coordination Cells,5,6.84758,Regional Supply Network Diversification
13,CS003,Wetland and Floodplain Buffer Network,6,6.64202,Regional Supply Network Diversification
14,CS001,Microgrid and Critical Service Islanding,1,7.39486,Microgrid and Critical Service Islanding
14,CS002,Regional Supply Network Diversification,2,7.18488,Microgrid and Critical Service Islanding
14,CS005,Digital Service Isolation and Offline Fallbacks,3,7.11862,Microgrid and Critical Service Islanding
14,CS006,Neighborhood Resilience Hub Network,4,6.84627,Microgrid and Critical Service Islanding
14,CS004,Cross-Agency Emergency Coordination Cells,5,6.67273,Microgrid and Critical Service Islanding
14,CS003,Wetland and Floodplain Buffer Network,6,6.34573,Microgrid and Critical Service Islanding
15,CS001,Microgrid and Critical Service Islanding,1,7.43446,Microgrid and Critical Service Islanding
15,CS005,Digital Service Isolation and Offline Fallbacks,2,7.29027,Microgrid and Critical Service Islanding
15,CS004,Cross-Agency Emergency Coordination Cells,3,7.05315,Microgrid and Critical Service Islanding
15,CS002,Regional Supply Network Diversification,4,6.83266,Microgrid and Critical Service Islanding
15,CS003,Wetland and Floodplain Buffer Network,5,6.78844,Microgrid and Critical Service Islanding
15,CS006,Neighborhood Resilience Hub Network,6,6.53918,Microgrid and Critical Service Islanding
16,CS005,Digital Service Isolation and Offline Fallbacks,1,7.04182,Digital Service Isolation and Offline Fallbacks
16,CS001,Microgrid and Critical Service Islanding,2,6.9466,Digital Service Isolation and Offline Fallbacks
16,CS003,Wetland and Floodplain Buffer Network,3,6.90047,Digital Service Isolation and Offline Fallbacks
16,CS002,Regional Supply Network Diversification,4,6.88423,Digital Service Isolation and Offline Fallbacks
16,CS006,Neighborhood Resilience Hub Network,5,6.80836,Digital Service Isolation and Offline Fallbacks
16,CS004,Cross-Agency Emergency Coordination Cells,6,6.223,Digital Service Isolation and Offline Fallbacks
17,CS005,Digital Service Isolation and Offline Fallbacks,1,7.54808,Digital Service Isolation and Offline Fallbacks
17,CS001,Microgrid and Critical Service Islanding,2,7.21861,Digital Service Isolation and Offline Fallbacks
17,CS002,Regional Supply Network Diversification,3,7.19856,Digital Service Isolation and Offline Fallbacks
17,CS006,Neighborhood Resilience Hub Network,4,7.19422,Digital Service Isolation and Offline Fallbacks
17,CS003,Wetland and Floodplain Buffer Network,5,7.07534,Digital Service Isolation and Offline Fallbacks
17,CS004,Cross-Agency Emergency Coordination Cells,6,6.85566,Digital Service Isolation and Offline Fallbacks
18,CS005,Digital Service Isolation and Offline Fallbacks,1,7.35384,Digital Service Isolation and Offline Fallbacks
18,CS001,Microgrid and Critical Service Islanding,2,7.13831,Digital Service Isolation and Offline Fallbacks
18,CS004,Cross-Agency Emergency Coordination Cells,3,6.91319,Digital Service Isolation and Offline Fallbacks
18,CS006,Neighborhood Resilience Hub Network,4,6.89426,Digital Service Isolation and Offline Fallbacks
18,CS003,Wetland and Floodplain Buffer Network,5,6.8063,Digital Service Isolation and Offline Fallbacks
18,CS002,Regional Supply Network Diversification,6,6.34874,Digital Service Isolation and Offline Fallbacks
19,CS005,Digital Service Isolation and Offline Fallbacks,1,7.22979,Digital Service Isolation and Offline Fallbacks
19,CS003,Wetland and Floodplain Buffer Network,2,6.97381,Digital Service Isolation and Offline Fallbacks
19,CS001,Microgrid and Critical Service Islanding,3,6.73498,Digital Service Isolation and Offline Fallbacks
19,CS006,Neighborhood Resilience Hub Network,4,6.62155,Digital Service Isolation and Offline Fallbacks
19,CS004,Cross-Agency Emergency Coordination Cells,5,6.56077,Digital Service Isolation and Offline Fallbacks
19,CS002,Regional Supply Network Diversification,6,6.4487,Digital Service Isolation and Offline Fallbacks
20,CS006,Neighborhood Resilience Hub Network,1,7.23485,Neighborhood Resilience Hub Network
20,CS005,Digital Service Isolation and Offline Fallbacks,2,7.22357,Neighborhood Resilience Hub Network
20,CS003,Wetland and Floodplain Buffer Network,3,7.04083,Neighborhood Resilience Hub Network
20,CS001,Microgrid and Critical Service Islanding,4,7.01578,Neighborhood Resilience Hub Network
20,CS004,Cross-Agency Emergency Coordination Cells,5,6.75852,Neighborhood Resilience Hub Network
20,CS002,Regional Supply Network Diversification,6,6.7027,Neighborhood Resilience Hub Network
21,CS001,Microgrid and Critical Service Islanding,1,7.59197,Microgrid and Critical Service Islanding
21,CS005,Digital Service Isolation and Offline Fallbacks,2,7.15773,Microgrid and Critical Service Islanding
21,CS002,Regional Supply Network Diversification,3,6.88826,Microgrid and Critical Service Islanding
21,CS004,Cross-Agency Emergency Coordination Cells,4,6.88418,Microgrid and Critical Service Islanding
21,CS003,Wetland and Floodplain Buffer Network,5,6.634,Microgrid and Critical Service Islanding
21,CS006,Neighborhood Resilience Hub Network,6,6.42977,Microgrid and Critical Service Islanding
22,CS005,Digital Service Isolation and Offline Fallbacks,1,7.65454,Digital Service Isolation and Offline Fallbacks
22,CS004,Cross-Agency Emergency Coordination Cells,2,7.30664,Digital Service Isolation and Offline Fallbacks
22,CS001,Microgrid and Critical Service Islanding,3,7.02831,Digital Service Isolation and Offline Fallbacks
22,CS006,Neighborhood Resilience Hub Network,4,6.82873,Digital Service Isolation and Offline Fallbacks
22,CS003,Wetland and Floodplain Buffer Network,5,6.76463,Digital Service Isolation and Offline Fallbacks
22,CS002,Regional Supply Network Diversification,6,6.57268,Digital Service Isolation and Offline Fallbacks
23,CS005,Digital Service Isolation and Offline Fallbacks,1,7.38469,Digital Service Isolation and Offline Fallbacks
23,CS001,Microgrid and Critical Service Islanding,2,7.1685,Digital Service Isolation and Offline Fallbacks
23,CS003,Wetland and Floodplain Buffer Network,3,7.14039,Digital Service Isolation and Offline Fallbacks
23,CS002,Regional Supply Network Diversification,4,6.87276,Digital Service Isolation and Offline Fallbacks
23,CS006,Neighborhood Resilience Hub Network,5,6.76379,Digital Service Isolation and Offline Fallbacks
23,CS004,Cross-Agency Emergency Coordination Cells,6,6.75878,Digital Service Isolation and Offline Fallbacks
24,CS005,Digital Service Isolation and Offline Fallbacks,1,7.35076,Digital Service Isolation and Offline Fallbacks
24,CS003,Wetland and Floodplain Buffer Network,2,7.34727,Digital Service Isolation and Offline Fallbacks
24,CS004,Cross-Agency Emergency Coordination Cells,3,7.11444,Digital Service Isolation and Offline Fallbacks
24,CS002,Regional Supply Network Diversification,4,7.07815,Digital Service Isolation and Offline Fallbacks
24,CS006,Neighborhood Resilience Hub Network,5,6.97755,Digital Service Isolation and Offline Fallbacks
24,CS001,Microgrid and Critical Service Islanding,6,6.97301,Digital Service Isolation and Offline Fallbacks
25,CS005,Digital Service Isolation and Offline Fallbacks,1,7.19348,Digital Service Isolation and Offline Fallbacks
25,CS001,Microgrid and Critical Service Islanding,2,7.03142,Digital Service Isolation and Offline Fallbacks
25,CS006,Neighborhood Resilience Hub Network,3,6.98885,Digital Service Isolation and Offline Fallbacks
25,CS003,Wetland and Floodplain Buffer Network,4,6.91102,Digital Service Isolation and Offline Fallbacks
25,CS002,Regional Supply Network Diversification,5,6.70206,Digital Service Isolation and Offline Fallbacks
25,CS004,Cross-Agency Emergency Coordination Cells,6,6.6446,Digital Service Isolation and Offline Fallbacks
26,CS001,Microgrid and Critical Service Islanding,1,7.46311,Microgrid and Critical Service Islanding
26,CS004,Cross-Agency Emergency Coordination Cells,2,7.06258,Microgrid and Critical Service Islanding
26,CS005,Digital Service Isolation and Offline Fallbacks,3,7.05515,Microgrid and Critical Service Islanding
26,CS006,Neighborhood Resilience Hub Network,4,6.87174,Microgrid and Critical Service Islanding
26,CS002,Regional Supply Network Diversification,5,6.82267,Microgrid and Critical Service Islanding
26,CS003,Wetland and Floodplain Buffer Network,6,6.39914,Microgrid and Critical Service Islanding
27,CS006,Neighborhood Resilience Hub Network,1,7.24464,Neighborhood Resilience Hub Network
27,CS001,Microgrid and Critical Service Islanding,2,7.19636,Neighborhood Resilience Hub Network
27,CS003,Wetland and Floodplain Buffer Network,3,7.08279,Neighborhood Resilience Hub Network
27,CS005,Digital Service Isolation and Offline Fallbacks,4,7.01198,Neighborhood Resilience Hub Network
27,CS002,Regional Supply Network Diversification,5,6.72032,Neighborhood Resilience Hub Network
27,CS004,Cross-Agency Emergency Coordination Cells,6,6.69108,Neighborhood Resilience Hub Network
28,CS005,Digital Service Isolation and Offline Fallbacks,1,7.37133,Digital Service Isolation and Offline Fallbacks
28,CS001,Microgrid and Critical Service Islanding,2,7.0972,Digital Service Isolation and Offline Fallbacks
28,CS006,Neighborhood Resilience Hub Network,3,6.98685,Digital Service Isolation and Offline Fallbacks
28,CS002,Regional Supply Network Diversification,4,6.96169,Digital Service Isolation and Offline Fallbacks
28,CS003,Wetland and Floodplain Buffer Network,5,6.8812,Digital Service Isolation and Offline Fallbacks
28,CS004,Cross-Agency Emergency Coordination Cells,6,6.78241,Digital Service Isolation and Offline Fallbacks
29,CS005,Digital Service Isolation and Offline Fallbacks,1,7.51756,Digital Service Isolation and Offline Fallbacks
29,CS004,Cross-Agency Emergency Coordination Cells,2,7.28659,Digital Service Isolation and Offline Fallbacks
29,CS001,Microgrid and Critical Service Islanding,3,7.01029,Digital Service Isolation and Offline Fallbacks
29,CS006,Neighborhood Resilience Hub Network,4,6.83071,Digital Service Isolation and Offline Fallbacks
29,CS003,Wetland and Floodplain Buffer Network,5,6.63313,Digital Service Isolation and Offline Fallbacks
29,CS002,Regional Supply Network Diversification,6,6.26965,Digital Service Isolation and Offline Fallbacks
30,CS005,Digital Service Isolation and Offline Fallbacks,1,7.62135,Digital Service Isolation and Offline Fallbacks
30,CS001,Microgrid and Critical Service Islanding,2,7.61304,Digital Service Isolation and Offline Fallbacks
30,CS006,Neighborhood Resilience Hub Network,3,7.21413,Digital Service Isolation and Offline Fallbacks
30,CS003,Wetland and Floodplain Buffer Network,4,6.93718,Digital Service Isolation and Offline Fallbacks
30,CS004,Cross-Agency Emergency Coordination Cells,5,6.86506,Digital Service Isolation and Offline Fallbacks
30,CS002,Regional Supply Network Diversification,6,6.78706,Digital Service Isolation and Offline Fallbacks
31,CS003,Wetland and Floodplain Buffer Network,1,7.33477,Wetland and Floodplain Buffer Network
31,CS005,Digital Service Isolation and Offline Fallbacks,2,7.18062,Wetland and Floodplain Buffer Network
31,CS004,Cross-Agency Emergency Coordination Cells,3,7.03091,Wetland and Floodplain Buffer Network
31,CS002,Regional Supply Network Diversification,4,7.00849,Wetland and Floodplain Buffer Network
31,CS001,Microgrid and Critical Service Islanding,5,6.92811,Wetland and Floodplain Buffer Network
31,CS006,Neighborhood Resilience Hub Network,6,6.90316,Wetland and Floodplain Buffer Network
32,CS005,Digital Service Isolation and Offline Fallbacks,1,7.66751,Digital Service Isolation and Offline Fallbacks
32,CS001,Microgrid and Critical Service Islanding,2,7.34643,Digital Service Isolation and Offline Fallbacks
32,CS003,Wetland and Floodplain Buffer Network,3,7.16383,Digital Service Isolation and Offline Fallbacks
32,CS002,Regional Supply Network Diversification,4,6.90755,Digital Service Isolation and Offline Fallbacks
32,CS006,Neighborhood Resilience Hub Network,5,6.88673,Digital Service Isolation and Offline Fallbacks
32,CS004,Cross-Agency Emergency Coordination Cells,6,6.66674,Digital Service Isolation and Offline Fallbacks
33,CS005,Digital Service Isolation and Offline Fallbacks,1,7.41991,Digital Service Isolation and Offline Fallbacks
33,CS001,Microgrid and Critical Service Islanding,2,7.36136,Digital Service Isolation and Offline Fallbacks
33,CS006,Neighborhood Resilience Hub Network,3,7.0585,Digital Service Isolation and Offline Fallbacks
33,CS004,Cross-Agency Emergency Coordination Cells,4,6.93356,Digital Service Isolation and Offline Fallbacks
33,CS003,Wetland and Floodplain Buffer Network,5,6.75801,Digital Service Isolation and Offline Fallbacks
33,CS002,Regional Supply Network Diversification,6,6.66474,Digital Service Isolation and Offline Fallbacks
34,CS006,Neighborhood Resilience Hub Network,1,7.19181,Neighborhood Resilience Hub Network
34,CS004,Cross-Agency Emergency Coordination Cells,2,7.17263,Neighborhood Resilience Hub Network
34,CS005,Digital Service Isolation and Offline Fallbacks,3,7.08382,Neighborhood Resilience Hub Network
34,CS001,Microgrid and Critical Service Islanding,4,7.05855,Neighborhood Resilience Hub Network
34,CS003,Wetland and Floodplain Buffer Network,5,6.70103,Neighborhood Resilience Hub Network
34,CS002,Regional Supply Network Diversification,6,6.35166,Neighborhood Resilience Hub Network
35,CS004,Cross-Agency Emergency Coordination Cells,1,7.22463,Cross-Agency Emergency Coordination Cells
35,CS006,Neighborhood Resilience Hub Network,2,7.14503,Cross-Agency Emergency Coordination Cells
35,CS005,Digital Service Isolation and Offline Fallbacks,3,7.08428,Cross-Agency Emergency Coordination Cells
35,CS001,Microgrid and Critical Service Islanding,4,6.95589,Cross-Agency Emergency Coordination Cells
35,CS003,Wetland and Floodplain Buffer Network,5,6.86476,Cross-Agency Emergency Coordination Cells
35,CS002,Regional Supply Network Diversification,6,6.41402,Cross-Agency Emergency Coordination Cells
36,CS005,Digital Service Isolation and Offline Fallbacks,1,7.03725,Digital Service Isolation and Offline Fallbacks
36,CS004,Cross-Agency Emergency Coordination Cells,2,7.0037,Digital Service Isolation and Offline Fallbacks
36,CS006,Neighborhood Resilience Hub Network,3,6.88086,Digital Service Isolation and Offline Fallbacks
36,CS003,Wetland and Floodplain Buffer Network,4,6.87982,Digital Service Isolation and Offline Fallbacks
36,CS001,Microgrid and Critical Service Islanding,5,6.84878,Digital Service Isolation and Offline Fallbacks
36,CS002,Regional Supply Network Diversification,6,6.70831,Digital Service Isolation and Offline Fallbacks
37,CS001,Microgrid and Critical Service Islanding,1,7.65865,Microgrid and Critical Service Islanding
37,CS005,Digital Service Isolation and Offline Fallbacks,2,7.53645,Microgrid and Critical Service Islanding
37,CS006,Neighborhood Resilience Hub Network,3,7.35133,Microgrid and Critical Service Islanding
37,CS004,Cross-Agency Emergency Coordination Cells,4,7.15179,Microgrid and Critical Service Islanding
37,CS003,Wetland and Floodplain Buffer Network,5,6.93848,Microgrid and Critical Service Islanding
37,CS002,Regional Supply Network Diversification,6,6.92548,Microgrid and Critical Service Islanding
38,CS005,Digital Service Isolation and Offline Fallbacks,1,7.42294,Digital Service Isolation and Offline Fallbacks
38,CS001,Microgrid and Critical Service Islanding,2,7.30773,Digital Service Isolation and Offline Fallbacks
38,CS004,Cross-Agency Emergency Coordination Cells,3,6.95678,Digital Service Isolation and Offline Fallbacks
38,CS006,Neighborhood Resilience Hub Network,4,6.91212,Digital Service Isolation and Offline Fallbacks
38,CS003,Wetland and Floodplain Buffer Network,5,6.4562,Digital Service Isolation and Offline Fallbacks
38,CS002,Regional Supply Network Diversification,6,6.14064,Digital Service Isolation and Offline Fallbacks
39,CS001,Microgrid and Critical Service Islanding,1,7.47878,Microgrid and Critical Service Islanding
39,CS002,Regional Supply Network Diversification,2,7.15803,Microgrid and Critical Service Islanding
39,CS004,Cross-Agency Emergency Coordination Cells,3,6.82363,Microgrid and Critical Service Islanding
39,CS005,Digital Service Isolation and Offline Fallbacks,4,6.80881,Microgrid and Critical Service Islanding
39,CS006,Neighborhood Resilience Hub Network,5,6.73229,Microgrid and Critical Service Islanding
39,CS003,Wetland and Floodplain Buffer Network,6,6.60797,Microgrid and Critical Service Islanding
40,CS004,Cross-Agency Emergency Coordination Cells,1,7.30741,Cross-Agency Emergency Coordination Cells
40,CS005,Digital Service Isolation and Offline Fallbacks,2,7.26379,Cross-Agency Emergency Coordination Cells
40,CS006,Neighborhood Resilience Hub Network,3,7.1651,Cross-Agency Emergency Coordination Cells
40,CS001,Microgrid and Critical Service Islanding,4,7.10581,Cross-Agency Emergency Coordination Cells
40,CS003,Wetland and Floodplain Buffer Network,5,6.94383,Cross-Agency Emergency Coordination Cells
40,CS002,Regional Supply Network Diversification,6,6.78296,Cross-Agency Emergency Coordination Cells
41,CS005,Digital Service Isolation and Offline Fallbacks,1,7.47434,Digital Service Isolation and Offline Fallbacks
41,CS003,Wetland and Floodplain Buffer Network,2,7.23001,Digital Service Isolation and Offline Fallbacks
41,CS004,Cross-Agency Emergency Coordination Cells,3,7.08741,Digital Service Isolation and Offline Fallbacks
41,CS006,Neighborhood Resilience Hub Network,4,6.74914,Digital Service Isolation and Offline Fallbacks
41,CS001,Microgrid and Critical Service Islanding,5,6.6983,Digital Service Isolation and Offline Fallbacks
41,CS002,Regional Supply Network Diversification,6,6.55198,Digital Service Isolation and Offline Fallbacks
42,CS001,Microgrid and Critical Service Islanding,1,7.61325,Microgrid and Critical Service Islanding
42,CS006,Neighborhood Resilience Hub Network,2,7.15946,Microgrid and Critical Service Islanding
42,CS002,Regional Supply Network Diversification,3,7.07019,Microgrid and Critical Service Islanding
42,CS003,Wetland and Floodplain Buffer Network,4,7.02726,Microgrid and Critical Service Islanding
42,CS004,Cross-Agency Emergency Coordination Cells,5,6.82298,Microgrid and Critical Service Islanding
42,CS005,Digital Service Isolation and Offline Fallbacks,6,6.7801,Microgrid and Critical Service Islanding
43,CS005,Digital Service Isolation and Offline Fallbacks,1,7.85716,Digital Service Isolation and Offline Fallbacks
43,CS006,Neighborhood Resilience Hub Network,2,7.27781,Digital Service Isolation and Offline Fallbacks
43,CS004,Cross-Agency Emergency Coordination Cells,3,7.17307,Digital Service Isolation and Offline Fallbacks
43,CS002,Regional Supply Network Diversification,4,7.07817,Digital Service Isolation and Offline Fallbacks
43,CS001,Microgrid and Critical Service Islanding,5,6.80274,Digital Service Isolation and Offline Fallbacks
43,CS003,Wetland and Floodplain Buffer Network,6,6.42439,Digital Service Isolation and Offline Fallbacks
44,CS001,Microgrid and Critical Service Islanding,1,7.38775,Microgrid and Critical Service Islanding
44,CS005,Digital Service Isolation and Offline Fallbacks,2,7.26555,Microgrid and Critical Service Islanding
44,CS003,Wetland and Floodplain Buffer Network,3,7.18363,Microgrid and Critical Service Islanding
44,CS006,Neighborhood Resilience Hub Network,4,6.96672,Microgrid and Critical Service Islanding
44,CS004,Cross-Agency Emergency Coordination Cells,5,6.94253,Microgrid and Critical Service Islanding
44,CS002,Regional Supply Network Diversification,6,6.67027,Microgrid and Critical Service Islanding
45,CS005,Digital Service Isolation and Offline Fallbacks,1,7.23993,Digital Service Isolation and Offline Fallbacks
45,CS001,Microgrid and Critical Service Islanding,2,7.16286,Digital Service Isolation and Offline Fallbacks
45,CS003,Wetland and Floodplain Buffer Network,3,7.13586,Digital Service Isolation and Offline Fallbacks
45,CS006,Neighborhood Resilience Hub Network,4,6.9596,Digital Service Isolation and Offline Fallbacks
45,CS004,Cross-Agency Emergency Coordination Cells,5,6.95911,Digital Service Isolation and Offline Fallbacks
45,CS002,Regional Supply Network Diversification,6,6.88321,Digital Service Isolation and Offline Fallbacks
46,CS001,Microgrid and Critical Service Islanding,1,7.77129,Microgrid and Critical Service Islanding
46,CS005,Digital Service Isolation and Offline Fallbacks,2,7.36453,Microgrid and Critical Service Islanding
46,CS006,Neighborhood Resilience Hub Network,3,7.23279,Microgrid and Critical Service Islanding
46,CS003,Wetland and Floodplain Buffer Network,4,6.95972,Microgrid and Critical Service Islanding
46,CS004,Cross-Agency Emergency Coordination Cells,5,6.77508,Microgrid and Critical Service Islanding
46,CS002,Regional Supply Network Diversification,6,6.51577,Microgrid and Critical Service Islanding
47,CS005,Digital Service Isolation and Offline Fallbacks,1,7.78116,Digital Service Isolation and Offline Fallbacks
47,CS003,Wetland and Floodplain Buffer Network,2,7.33883,Digital Service Isolation and Offline Fallbacks
47,CS001,Microgrid and Critical Service Islanding,3,7.01975,Digital Service Isolation and Offline Fallbacks
47,CS006,Neighborhood Resilience Hub Network,4,6.8371,Digital Service Isolation and Offline Fallbacks
47,CS002,Regional Supply Network Diversification,5,6.73884,Digital Service Isolation and Offline Fallbacks
47,CS004,Cross-Agency Emergency Coordination Cells,6,6.67256,Digital Service Isolation and Offline Fallbacks
48,CS006,Neighborhood Resilience Hub Network,1,7.13128,Neighborhood Resilience Hub Network
48,CS001,Microgrid and Critical Service Islanding,2,7.09203,Neighborhood Resilience Hub Network
