service_id,service,scenario_id,scenario_name,time_step,disturbance,ecosystem_condition,functional_capacity,service_flow,resilience_margin,threshold_flag
ES001,Pollination,SD001,Moderate recurring disturbance,48,0.60641,0.39499,0.03218,0.01017,0.83276,threshold risk
ES001,Pollination,SD001,Moderate recurring disturbance,49,0.38885,0.39256,0.02296,0.00786,1.03867,threshold risk
ES001,Pollination,SD001,Moderate recurring disturbance,50,0.39134,0.39001,0.01367,0.00464,1.02434,threshold risk
ES001,Pollination,SD001,Moderate recurring disturbance,51,0.39383,0.38734,0.01,0.00337,1.01551,threshold risk
ES001,Pollination,SD001,Moderate recurring disturbance,52,0.3963,0.38456,0.01,0.00334,1.01026,threshold risk
ES001,Pollination,SD001,Moderate recurring disturbance,53,0.3987,0.38167,0.01,0.00331,1.00497,threshold risk
ES001,Pollination,SD001,Moderate recurring disturbance,54,0.401,0.37868,0.01,0.00329,0.99968,threshold risk
ES001,Pollination,SD001,Moderate recurring disturbance,55,0.40316,0.37558,0.01,0.00326,0.99442,threshold risk
ES001,Pollination,SD001,Moderate recurring disturbance,56,0.62514,0.36223,0.01,0.00288,0.75909,threshold risk
ES001,Pollination,SD001,Moderate recurring disturbance,57,0.40692,0.35896,0.01,0.00311,0.97404,threshold risk
ES001,Pollination,SD001,Moderate recurring disturbance,58,0.40846,0.35562,0.01,0.00308,0.96916,threshold risk
ES001,Pollination,SD001,Moderate recurring disturbance,59,0.40975,0.35222,0.01,0.00305,0.96447,threshold risk
ES001,Pollination,SD001,Moderate recurring disturbance,60,0.41076,0.34877,0.01,0.00301,0.96001,threshold risk
ES001,Pollination,SD001,Moderate recurring disturbance,61,0.41148,0.34529,0.01,0.00298,0.95581,threshold risk
ES001,Pollination,SD001,Moderate recurring disturbance,62,0.41189,0.34179,0.01,0.00295,0.9519,threshold risk
ES001,Pollination,SD001,Moderate recurring disturbance,63,0.412,0.33829,0.01,0.00292,0.94829,threshold risk
ES001,Pollination,SD001,Moderate recurring disturbance,64,0.63179,0.32463,0.01,0.00257,0.71484,threshold risk
ES001,Pollination,SD001,Moderate recurring disturbance,65,0.41127,0.32116,0.01,0.00278,0.93189,threshold risk
ES001,Pollination,SD001,Moderate recurring disturbance,66,0.41045,0.31773,0.01,0.00275,0.92927,threshold risk
ES001,Pollination,SD001,Moderate recurring disturbance,67,0.40935,0.31434,0.01,0.00272,0.927,threshold risk
ES001,Pollination,SD001,Moderate recurring disturbance,68,0.40797,0.31103,0.01,0.00269,0.92506,threshold risk
ES001,Pollination,SD001,Moderate recurring disturbance,69,0.40634,0.30778,0.01,0.00267,0.92344,threshold risk
ES001,Pollination,SD001,Moderate recurring disturbance,70,0.40449,0.30462,0.01,0.00264,0.92213,threshold risk
ES001,Pollination,SD001,Moderate recurring disturbance,71,0.40245,0.30156,0.01,0.00262,0.92111,threshold risk
ES001,Pollination,SD001,Moderate recurring disturbance,72,0.62024,0.28844,0.01,0.00229,0.69019,threshold risk
ES001,Pollination,SD001,Moderate recurring disturbance,73,0.39791,0.28558,0.01,0.00248,0.90968,threshold risk
ES001,Pollination,SD001,Moderate recurring disturbance,74,0.39548,0.28284,0.01,0.00246,0.90936,threshold risk
ES001,Pollination,SD001,Moderate recurring disturbance,75,0.393,0.28022,0.01,0.00244,0.90922,threshold risk
ES001,Pollination,SD001,Moderate recurring disturbance,76,0.3905,0.2777,0.01,0.00242,0.90921,threshold risk
ES001,Pollination,SD001,Moderate recurring disturbance,77,0.38802,0.27531,0.01,0.0024,0.90929,threshold risk
ES001,Pollination,SD001,Moderate recurring disturbance,78,0.38561,0.27302,0.01,0.00238,0.90941,threshold risk
ES001,Pollination,SD001,Moderate recurring disturbance,79,0.3833,0.27084,0.01,0.00237,0.90955,threshold risk
ES001,Pollination,SD001,Moderate recurring disturbance,80,0.60112,0.2586,0.01,0.00207,0.67948,threshold risk
ES001,Pollination,SD001,Moderate recurring disturbance,81,0.37911,0.25662,0.01,0.00225,0.89951,threshold risk
ES001,Pollination,SD001,Moderate recurring disturbance,82,0.37731,0.25472,0.01,0.00223,0.89941,threshold risk
ES001,Pollination,SD001,Moderate recurring disturbance,83,0.37573,0.25289,0.01,0.00222,0.89916,threshold risk
ES001,Pollination,SD001,Moderate recurring disturbance,84,0.37441,0.25112,0.01,0.0022,0.89871,threshold risk
ES001,Pollination,SD001,Moderate recurring disturbance,85,0.37336,0.2494,0.01,0.00219,0.89804,threshold risk
ES001,Pollination,SD001,Moderate recurring disturbance,86,0.3726,0.24772,0.01,0.00217,0.89712,threshold risk
ES001,Pollination,SD001,Moderate recurring disturbance,87,0.37215,0.24605,0.01,0.00216,0.89591,threshold risk
ES001,Pollination,SD001,Moderate recurring disturbance,88,0.592,0.23423,0.01,0.00188,0.66423,threshold risk
ES001,Pollination,SD001,Moderate recurring disturbance,89,0.37217,0.23257,0.01,0.00204,0.8824,threshold risk
ES001,Pollination,SD001,Moderate recurring disturbance,90,0.37264,0.23088,0.01,0.00202,0.88024,threshold risk
ES001,Pollination,SD001,Moderate recurring disturbance,91,0.37342,0.22916,0.01,0.00201,0.87774,threshold risk
ES001,Pollination,SD001,Moderate recurring disturbance,92,0.37449,0.22739,0.01,0.00199,0.8749,threshold risk
ES001,Pollination,SD001,Moderate recurring disturbance,93,0.37583,0.22556,0.01,0.00198,0.87172,threshold risk
ES001,Pollination,SD001,Moderate recurring disturbance,94,0.37743,0.22365,0.01,0.00196,0.86822,threshold risk
ES001,Pollination,SD001,Moderate recurring disturbance,95,0.37925,0.22166,0.01,0.00194,0.86441,threshold risk
ES001,Pollination,SD001,Moderate recurring disturbance,96,0.60127,0.20941,0.01,0.00168,0.63014,threshold risk
ES001,Pollination,SD001,Moderate recurring disturbance,97,0.38346,0.20722,0.01,0.00181,0.84577,threshold risk
ES001,Pollination,SD001,Moderate recurring disturbance,98,0.38578,0.20493,0.01,0.00179,0.84115,threshold risk
ES001,Pollination,SD001,Moderate recurring disturbance,99,0.3882,0.20253,0.01,0.00177,0.83633,threshold risk
ES001,Pollination,SD001,Moderate recurring disturbance,100,0.39067,0.20001,0.01,0.00174,0.83133,threshold risk
ES001,Pollination,SD002,Climate-amplified disturbance,1,0.57449,0.56851,0.50507,0.2327,1.51108,viable margin
ES001,Pollination,SD002,Climate-amplified disturbance,2,0.57695,0.5569,0.49006,0.22095,1.48201,viable margin
ES001,Pollination,SD002,Climate-amplified disturbance,3,0.57933,0.54519,0.47497,0.20944,1.45284,viable margin
ES001,Pollination,SD002,Climate-amplified disturbance,4,0.58159,0.53337,0.45982,0.19818,1.4236,viable margin
ES001,Pollination,SD002,Climate-amplified disturbance,5,0.5837,0.52145,0.4446,0.18718,1.39435,viable margin
ES001,Pollination,SD002,Climate-amplified disturbance,6,0.58563,0.50945,0.42932,0.17645,1.36514,viable margin
ES001,Pollination,SD002,Climate-amplified disturbance,7,0.94735,0.48073,0.40291,0.13314,0.94828,threshold risk
ES001,Pollination,SD002,Climate-amplified disturbance,8,0.58883,0.46857,0.38753,0.1463,1.27927,threshold risk
ES001,Pollination,SD002,Climate-amplified disturbance,9,0.59005,0.45636,0.37212,0.13675,1.25044,threshold risk
ES001,Pollination,SD002,Climate-amplified disturbance,10,0.59098,0.44411,0.35667,0.12751,1.22181,threshold risk
ES001,Pollination,SD002,Climate-amplified disturbance,11,0.59162,0.43183,0.34121,0.11858,1.19342,threshold risk
ES001,Pollination,SD002,Climate-amplified disturbance,12,0.59195,0.41953,0.32574,0.10996,1.16532,threshold risk
ES001,Pollination,SD002,Climate-amplified disturbance,13,0.59197,0.40723,0.31027,0.10167,1.13753,threshold risk
ES001,Pollination,SD002,Climate-amplified disturbance,14,0.95168,0.37831,0.28372,0.07362,0.72235,threshold risk
ES001,Pollination,SD002,Climate-amplified disturbance,15,0.59108,0.36606,0.26827,0.07905,1.05524,threshold risk
ES001,Pollination,SD002,Climate-amplified disturbance,16,0.59019,0.35384,0.25285,0.07204,1.02851,threshold risk
ES001,Pollination,SD002,Climate-amplified disturbance,17,0.58901,0.34168,0.23747,0.06537,1.00214,threshold risk
ES001,Pollination,SD002,Climate-amplified disturbance,18,0.58756,0.32958,0.22213,0.05902,0.97615,threshold risk
ES001,Pollination,SD002,Climate-amplified disturbance,19,0.58587,0.31756,0.20685,0.05299,0.95054,threshold risk
ES001,Pollination,SD002,Climate-amplified disturbance,20,0.58397,0.30563,0.19162,0.04728,0.92529,threshold risk
ES001,Pollination,SD002,Climate-amplified disturbance,21,0.94188,0.27717,0.16537,0.03159,0.51266,threshold risk
ES001,Pollination,SD002,Climate-amplified disturbance,22,0.57963,0.26544,0.15028,0.03226,0.84809,threshold risk
ES001,Pollination,SD002,Climate-amplified disturbance,23,0.57727,0.25382,0.13526,0.02779,0.82381,threshold risk
ES001,Pollination,SD002,Climate-amplified disturbance,24,0.57482,0.24231,0.12032,0.02362,0.79981,threshold risk
ES001,Pollination,SD002,Climate-amplified disturbance,25,0.57233,0.23092,0.10545,0.01975,0.77604,threshold risk
ES001,Pollination,SD002,Climate-amplified disturbance,26,0.56984,0.21965,0.09066,0.01617,0.75247,threshold risk
ES001,Pollination,SD002,Climate-amplified disturbance,27,0.56737,0.20848,0.07594,0.01287,0.72905,threshold risk
ES001,Pollination,SD002,Climate-amplified disturbance,28,0.92498,0.1808,0.05021,0.00631,0.31803,threshold risk
ES001,Pollination,SD002,Climate-amplified disturbance,29,0.5627,0.16985,0.03564,0.00493,0.65479,threshold risk
ES001,Pollination,SD002,Climate-amplified disturbance,30,0.56057,0.159,0.02114,0.00274,0.63157,threshold risk
ES001,Pollination,SD002,Climate-amplified disturbance,31,0.55861,0.14825,0.01,0.00121,0.61163,threshold risk
ES001,Pollination,SD002,Climate-amplified disturbance,32,0.55686,0.13757,0.01,0.00112,0.60271,threshold risk
ES001,Pollination,SD002,Climate-amplified disturbance,33,0.55535,0.12696,0.01,0.00104,0.59361,threshold risk
ES001,Pollination,SD002,Climate-amplified disturbance,34,0.5541,0.11641,0.01,0.00095,0.58431,threshold risk
ES001,Pollination,SD002,Climate-amplified disturbance,35,0.91313,0.08928,0.01,0.00062,0.19815,threshold risk
ES001,Pollination,SD002,Climate-amplified disturbance,36,0.55245,0.0788,0.01,0.00064,0.54835,threshold risk
ES001,Pollination,SD002,Climate-amplified disturbance,37,0.55208,0.06835,0.01,0.00056,0.53827,threshold risk
ES001,Pollination,SD002,Climate-amplified disturbance,38,0.55201,0.05789,0.01,0.00047,0.52788,threshold risk
ES001,Pollination,SD002,Climate-amplified disturbance,39,0.55226,0.04743,0.01,0.00039,0.51717,threshold risk
ES001,Pollination,SD002,Climate-amplified disturbance,40,0.55282,0.03694,0.01,0.0003,0.50612,threshold risk
ES001,Pollination,SD002,Climate-amplified disturbance,41,0.55368,0.02641,0.01,0.00022,0.49473,threshold risk
ES001,Pollination,SD002,Climate-amplified disturbance,42,0.91482,0.01,0.01,7e-05,0.11718,threshold risk
ES001,Pollination,SD002,Climate-amplified disturbance,43,0.55623,0.01,0.01,8e-05,0.47577,threshold risk
ES001,Pollination,SD002,Climate-amplified disturbance,44,0.55789,0.01,0.01,8e-05,0.47411,threshold risk
ES001,Pollination,SD002,Climate-amplified disturbance,45,0.55977,0.01,0.01,8e-05,0.47223,threshold risk
ES001,Pollination,SD002,Climate-amplified disturbance,46,0.56183,0.01,0.01,8e-05,0.47017,threshold risk
ES001,Pollination,SD002,Climate-amplified disturbance,47,0.56406,0.01,0.01,8e-05,0.46794,threshold risk
ES001,Pollination,SD002,Climate-amplified disturbance,48,0.56641,0.01,0.01,8e-05,0.46559,threshold risk
ES001,Pollination,SD002,Climate-amplified disturbance,49,0.92885,0.01,0.01,7e-05,0.10315,threshold risk
ES001,Pollination,SD002,Climate-amplified disturbance,50,0.57134,0.01,0.01,8e-05,0.46066,threshold risk
ES001,Pollination,SD002,Climate-amplified disturbance,51,0.57383,0.01,0.01,8e-05,0.45817,threshold risk
ES001,Pollination,SD002,Climate-amplified disturbance,52,0.5763,0.01,0.01,8e-05,0.4557,threshold risk
ES001,Pollination,SD002,Climate-amplified disturbance,53,0.5787,0.01,0.01,8e-05,0.4533,threshold risk
ES001,Pollination,SD002,Climate-amplified disturbance,54,0.581,0.01,0.01,8e-05,0.451,threshold risk
ES001,Pollination,SD002,Climate-amplified disturbance,55,0.58316,0.01,0.01,8e-05,0.44884,threshold risk
ES001,Pollination,SD002,Climate-amplified disturbance,56,0.94514,0.01,0.01,7e-05,0.08686,threshold risk
ES001,Pollination,SD002,Climate-amplified disturbance,57,0.58692,0.01,0.01,8e-05,0.44508,threshold risk
ES001,Pollination,SD002,Climate-amplified disturbance,58,0.58846,0.01,0.01,8e-05,0.44354,threshold risk
ES001,Pollination,SD002,Climate-amplified disturbance,59,0.58975,0.01,0.01,8e-05,0.44225,threshold risk
ES001,Pollination,SD002,Climate-amplified disturbance,60,0.59076,0.01,0.01,8e-05,0.44124,threshold risk
ES001,Pollination,SD002,Climate-amplified disturbance,61,0.59148,0.01,0.01,8e-05,0.44052,threshold risk
ES001,Pollination,SD002,Climate-amplified disturbance,62,0.59189,0.01,0.01,8e-05,0.44011,threshold risk
ES001,Pollination,SD002,Climate-amplified disturbance,63,0.952,0.01,0.01,7e-05,0.08,threshold risk
ES001,Pollination,SD002,Climate-amplified disturbance,64,0.59179,0.01,0.01,8e-05,0.44021,threshold risk
ES001,Pollination,SD002,Climate-amplified disturbance,65,0.59127,0.01,0.01,8e-05,0.44073,threshold risk
ES001,Pollination,SD002,Climate-amplified disturbance,66,0.59045,0.01,0.01,8e-05,0.44155,threshold risk
ES001,Pollination,SD002,Climate-amplified disturbance,67,0.58935,0.01,0.01,8e-05,0.44265,threshold risk
ES001,Pollination,SD002,Climate-amplified disturbance,68,0.58797,0.01,0.01,8e-05,0.44403,threshold risk
ES001,Pollination,SD002,Climate-amplified disturbance,69,0.58634,0.01,0.01,8e-05,0.44566,threshold risk
ES001,Pollination,SD002,Climate-amplified disturbance,70,0.94449,0.01,0.01,7e-05,0.08751,threshold risk
ES001,Pollination,SD002,Climate-amplified disturbance,71,0.58245,0.01,0.01,8e-05,0.44955,threshold risk
ES001,Pollination,SD002,Climate-amplified disturbance,72,0.58024,0.01,0.01,8e-05,0.45176,threshold risk
ES001,Pollination,SD002,Climate-amplified disturbance,73,0.57791,0.01,0.01,8e-05,0.45409,threshold risk
ES001,Pollination,SD002,Climate-amplified disturbance,74,0.57548,0.01,0.01,8e-05,0.45652,threshold risk
ES001,Pollination,SD002,Climate-amplified disturbance,75,0.573,0.01,0.01,8e-05,0.459,threshold risk
ES001,Pollination,SD002,Climate-amplified disturbance,76,0.5705,0.01,0.01,8e-05,0.4615,threshold risk
ES001,Pollination,SD002,Climate-amplified disturbance,77,0.92802,0.01,0.01,7e-05,0.10398,threshold risk
ES001,Pollination,SD002,Climate-amplified disturbance,78,0.56561,0.01,0.01,8e-05,0.46639,threshold risk
ES001,Pollination,SD002,Climate-amplified disturbance,79,0.5633,0.01,0.01,8e-05,0.4687,threshold risk
ES001,Pollination,SD002,Climate-amplified disturbance,80,0.56112,0.01,0.01,8e-05,0.47088,threshold risk
ES001,Pollination,SD002,Climate-amplified disturbance,81,0.55911,0.01,0.01,8e-05,0.47289,threshold risk
ES001,Pollination,SD002,Climate-amplified disturbance,82,0.55731,0.01,0.01,8e-05,0.47469,threshold risk
ES001,Pollination,SD002,Climate-amplified disturbance,83,0.55573,0.01,0.01,8e-05,0.47627,threshold risk
ES001,Pollination,SD002,Climate-amplified disturbance,84,0.91441,0.01,0.01,7e-05,0.11759,threshold risk
ES001,Pollination,SD002,Climate-amplified disturbance,85,0.55336,0.01,0.01,8e-05,0.47864,threshold risk
ES001,Pollination,SD002,Climate-amplified disturbance,86,0.5526,0.01,0.01,8e-05,0.4794,threshold risk
ES001,Pollination,SD002,Climate-amplified disturbance,87,0.55215,0.01,0.01,8e-05,0.47985,threshold risk
ES001,Pollination,SD002,Climate-amplified disturbance,88,0.552,0.01,0.01,8e-05,0.48,threshold risk
ES001,Pollination,SD002,Climate-amplified disturbance,89,0.55217,0.01,0.01,8e-05,0.47983,threshold risk
ES001,Pollination,SD002,Climate-amplified disturbance,90,0.55264,0.01,0.01,8e-05,0.47936,threshold risk
ES001,Pollination,SD002,Climate-amplified disturbance,91,0.91342,0.01,0.01,7e-05,0.11858,threshold risk
ES001,Pollination,SD002,Climate-amplified disturbance,92,0.55449,0.01,0.01,8e-05,0.47751,threshold risk
ES001,Pollination,SD002,Climate-amplified disturbance,93,0.55583,0.01,0.01,8e-05,0.47617,threshold risk
ES001,Pollination,SD002,Climate-amplified disturbance,94,0.55743,0.01,0.01,8e-05,0.47457,threshold risk
ES001,Pollination,SD002,Climate-amplified disturbance,95,0.55925,0.01,0.01,8e-05,0.47275,threshold risk
ES001,Pollination,SD002,Climate-amplified disturbance,96,0.56127,0.01,0.01,8e-05,0.47073,threshold risk
ES001,Pollination,SD002,Climate-amplified disturbance,97,0.56346,0.01,0.01,8e-05,0.46854,threshold risk
ES001,Pollination,SD002,Climate-amplified disturbance,98,0.92578,0.01,0.01,7e-05,0.10622,threshold risk
ES001,Pollination,SD002,Climate-amplified disturbance,99,0.5682,0.01,0.01,8e-05,0.4638,threshold risk
ES001,Pollination,SD002,Climate-amplified disturbance,100,0.57067,0.01,0.01,8e-05,0.46133,threshold risk
ES001,Pollination,SD003,Compound service stress,1,0.73449,0.56072,0.50014,0.21246,1.33836,viable margin
ES001,Pollination,SD003,Compound service stress,2,0.73695,0.54132,0.4802,0.19673,1.29657,threshold risk
ES001,Pollination,SD003,Compound service stress,3,0.73933,0.52181,0.46019,0.18155,1.25468,threshold risk
ES001,Pollination,SD003,Compound service stress,4,0.74159,0.5022,0.44011,0.16693,1.21272,threshold risk
ES001,Pollination,SD003,Compound service stress,5,0.7437,0.48249,0.41996,0.1529,1.17075,threshold risk
ES001,Pollination,SD003,Compound service stress,6,1.26563,0.43867,0.38374,0.09803,0.56878,threshold risk
ES001,Pollination,SD003,Compound service stress,7,0.74735,0.41879,0.36348,0.11468,1.04692,threshold risk
ES001,Pollination,SD003,Compound service stress,8,0.74883,0.39885,0.34318,0.10305,1.00519,threshold risk
ES001,Pollination,SD003,Compound service stress,9,0.75005,0.37884,0.32284,0.09203,0.96364,threshold risk
ES001,Pollination,SD003,Compound service stress,10,0.75098,0.3588,0.30247,0.08163,0.92229,threshold risk
ES001,Pollination,SD003,Compound service stress,11,0.75162,0.33872,0.28208,0.07185,0.88118,threshold risk
ES001,Pollination,SD003,Compound service stress,12,1.27195,0.29461,0.24566,0.042,0.28032,threshold risk
ES001,Pollination,SD003,Compound service stress,13,0.75197,0.27452,0.22526,0.04649,0.75981,threshold risk
ES001,Pollination,SD003,Compound service stress,14,0.75168,0.25444,0.20487,0.0392,0.71963,threshold risk
ES001,Pollination,SD003,Compound service stress,15,0.75108,0.23439,0.18449,0.03253,0.6798,threshold risk
ES001,Pollination,SD003,Compound service stress,16,0.75019,0.21438,0.16415,0.02648,0.64035,threshold risk
ES001,Pollination,SD003,Compound service stress,17,0.74901,0.19443,0.14384,0.02105,0.60126,threshold risk
ES001,Pollination,SD003,Compound service stress,18,1.26756,0.15052,0.10756,0.00942,0.00251,threshold risk
ES001,Pollination,SD003,Compound service stress,19,0.74587,0.13071,0.08735,0.00861,0.48418,threshold risk
ES001,Pollination,SD003,Compound service stress,20,0.74397,0.11099,0.06719,0.00563,0.44621,threshold risk
ES001,Pollination,SD003,Compound service stress,21,0.74188,0.09136,0.0471,0.00325,0.40858,threshold risk
ES001,Pollination,SD003,Compound service stress,22,0.73963,0.07184,0.02708,0.00147,0.37129,threshold risk
ES001,Pollination,SD003,Compound service stress,23,0.73727,0.05243,0.01,0.0004,0.33716,threshold risk
ES001,Pollination,SD003,Compound service stress,24,1.25482,0.01,0.01,6e-05,-0.22282,threshold risk
ES001,Pollination,SD003,Compound service stress,25,0.73233,0.01,0.01,8e-05,0.29967,threshold risk
ES001,Pollination,SD003,Compound service stress,26,0.72984,0.01,0.01,8e-05,0.30216,threshold risk
ES001,Pollination,SD003,Compound service stress,27,0.72737,0.01,0.01,8e-05,0.30463,threshold risk
ES001,Pollination,SD003,Compound service stress,28,0.72498,0.01,0.01,8e-05,0.30702,threshold risk
ES001,Pollination,SD003,Compound service stress,29,0.7227,0.01,0.01,8e-05,0.3093,threshold risk
ES001,Pollination,SD003,Compound service stress,30,1.24057,0.01,0.01,6e-05,-0.20857,threshold risk
ES001,Pollination,SD003,Compound service stress,31,0.71861,0.01,0.01,8e-05,0.31339,threshold risk
ES001,Pollination,SD003,Compound service stress,32,0.71686,0.01,0.01,8e-05,0.31514,threshold risk
ES001,Pollination,SD003,Compound service stress,33,0.71535,0.01,0.01,8e-05,0.31665,threshold risk
ES001,Pollination,SD003,Compound service stress,34,0.7141,0.01,0.01,8e-05,0.3179,threshold risk
ES001,Pollination,SD003,Compound service stress,35,0.71313,0.01,0.01,8e-05,0.31887,threshold risk
ES001,Pollination,SD003,Compound service stress,36,1.23245,0.01,0.01,6e-05,-0.20045,threshold risk
ES001,Pollination,SD003,Compound service stress,37,0.71208,0.01,0.01,8e-05,0.31992,threshold risk
ES001,Pollination,SD003,Compound service stress,38,0.71201,0.01,0.01,8e-05,0.31999,threshold risk
ES001,Pollination,SD003,Compound service stress,39,0.71226,0.01,0.01,8e-05,0.31974,threshold risk
ES001,Pollination,SD003,Compound service stress,40,0.71282,0.01,0.01,8e-05,0.31918,threshold risk
ES001,Pollination,SD003,Compound service stress,41,0.71368,0.01,0.01,8e-05,0.31832,threshold risk
ES001,Pollination,SD003,Compound service stress,42,1.23482,0.01,0.01,6e-05,-0.20282,threshold risk
ES001,Pollination,SD003,Compound service stress,43,0.71623,0.01,0.01,8e-05,0.31577,threshold risk
ES001,Pollination,SD003,Compound service stress,44,0.71789,0.01,0.01,8e-05,0.31411,threshold risk
ES001,Pollination,SD003,Compound service stress,45,0.71977,0.01,0.01,8e-05,0.31223,threshold risk
ES001,Pollination,SD003,Compound service stress,46,0.72183,0.01,0.01,8e-05,0.31017,threshold risk
ES001,Pollination,SD003,Compound service stress,47,0.72406,0.01,0.01,8e-05,0.30794,threshold risk
ES001,Pollination,SD003,Compound service stress,48,1.24641,0.01,0.01,6e-05,-0.21441,threshold risk
