 time,disturbance,ecosystem_condition,functional_capacity,service_flow,resilience_margin,threshold_flag
34, 0.1481, 0.7837, 0.4724, 0.3510, 2.1400,viable margin
35, 0.1471, 0.7901, 0.4704, 0.3525, 2.1454,viable margin
36, 0.1464, 0.7966, 0.4683, 0.3540, 2.1505,viable margin
37, 0.1461, 0.8031, 0.4663, 0.3554, 2.1554,viable margin
38, 0.1460, 0.8097, 0.4643, 0.3567, 2.1599,viable margin
39, 0.1463, 0.8162, 0.4622, 0.3579, 2.1641,viable margin
40, 0.1468, 0.8227, 0.4602, 0.3591, 2.1680,viable margin
41, 0.1477, 0.8291, 0.4581, 0.3602, 2.1715,viable margin
42, 0.1488, 0.8355, 0.4560, 0.3611, 2.1746,viable margin
43, 0.1502, 0.8418, 0.4538, 0.3619, 2.1774,viable margin
44, 0.1519, 0.8480, 0.4516, 0.3626, 2.1797,viable margin
45, 0.4038, 0.8415, 0.4409, 0.3186, 1.9107,viable margin
46, 0.1558, 0.8476, 0.4385, 0.3514, 2.1623,viable margin
47, 0.1581, 0.8535, 0.4361, 0.3516, 2.1635,viable margin
48, 0.1604, 0.8593, 0.4336, 0.3517, 2.1645,viable margin
49, 0.1628, 0.8649, 0.4310, 0.3515, 2.1651,viable margin
50, 0.1653, 0.8705, 0.4283, 0.3513, 2.1655,viable margin
51, 0.1678, 0.8759, 0.4256, 0.3509, 2.1656,viable margin
52, 0.1703, 0.8812, 0.4227, 0.3503, 2.1656,viable margin
53, 0.1727, 0.8864, 0.4198, 0.3496, 2.1655,viable margin
54, 0.1750, 0.8914, 0.4168, 0.3488, 2.1652,viable margin
55, 0.1772, 0.8964, 0.4137, 0.3479, 2.1650,viable margin
56, 0.1791, 0.9012, 0.4106, 0.3468, 2.1647,viable margin
57, 0.1809, 0.9060, 0.4074, 0.3457, 2.1645,viable margin
58, 0.1825, 0.9107, 0.4041, 0.3445, 2.1644,viable margin
59, 0.1837, 0.9153, 0.4008, 0.3433, 2.1644,viable margin
60, 0.1848, 0.9199, 0.3975, 0.3420, 2.1646,viable margin
61, 0.1855, 0.9244, 0.3942, 0.3407, 2.1651,viable margin
62, 0.1859, 0.9289, 0.3908, 0.3394, 2.1658,viable margin
63, 0.1860, 0.9334, 0.3874, 0.3381, 2.1669,viable margin
64, 0.1858, 0.9379, 0.3841, 0.3368, 2.1682,viable margin
65, 0.1853, 0.9425, 0.3807, 0.3356, 2.1699,viable margin
66, 0.1845, 0.9471, 0.3774, 0.3344, 2.1720,viable margin
67, 0.4333, 0.9391, 0.3657, 0.2914, 1.9035,viable margin
68, 0.1820, 0.9438, 0.3625, 0.3203, 2.1563,viable margin
69, 0.1803, 0.9486, 0.3593, 0.3193, 2.1596,viable margin
70, 0.1785, 0.9535, 0.3562, 0.3184, 2.1632,viable margin
71, 0.1764, 0.9585, 0.3531, 0.3176, 2.1672,viable margin
72, 0.1742, 0.9636, 0.3502, 0.3168, 2.1715,viable margin
73, 0.1719, 0.9688, 0.3473, 0.3162, 2.1762,viable margin
74, 0.1695, 0.9741, 0.3445, 0.3156, 2.1811,viable margin
75, 0.1670, 0.9796, 0.3417, 0.3152, 2.1863,viable margin
76, 0.1645, 0.9852, 0.3391, 0.3148, 2.1918,viable margin
77, 0.1620, 0.9909, 0.3365, 0.3145, 2.1974,viable margin
78, 0.1596, 0.9967, 0.3340, 0.3143, 2.2032,viable margin
79, 0.1573, 1.0000, 0.3316, 0.3134, 2.2063,viable margin
80, 0.1551, 1.0000, 0.3293, 0.3114, 2.2062,viable margin
81, 0.1531, 1.0000, 0.3270, 0.3095, 2.2059,viable margin
82, 0.1513, 1.0000, 0.3248, 0.3076, 2.2055,viable margin
83, 0.1497, 1.0000, 0.3227, 0.3058, 2.2050,viable margin
84, 0.3984, 0.9938, 0.3122, 0.2670, 1.9396,viable margin
85, 0.1474, 1.0000, 0.3101, 0.2941, 2.1947,viable margin
86, 0.1466, 1.0000, 0.3081, 0.2923, 2.1935,viable margin
87, 0.1461, 1.0000, 0.3060, 0.2904, 2.1919,viable margin
88, 0.1460, 1.0000, 0.3040, 0.2885, 2.1900,viable margin
89, 0.1462, 1.0000, 0.3020, 0.2865, 2.1878,viable margin
90, 0.1466, 1.0000, 0.2999, 0.2845, 2.1853,viable margin
91, 0.1474, 1.0000, 0.2979, 0.2825, 2.1824,viable margin
92, 0.1485, 1.0000, 0.2957, 0.2804, 2.1792,viable margin
93, 0.1498, 1.0000, 0.2936, 0.2782, 2.1758,viable margin
94, 0.1514, 1.0000, 0.2914, 0.2759, 2.1720,viable margin
95, 0.1532, 1.0000, 0.2891, 0.2736, 2.1679,viable margin
96, 0.1553, 1.0000, 0.2868, 0.2712, 2.1635,viable margin
97, 0.1575, 1.0000, 0.2844, 0.2687, 2.1589,viable margin
98, 0.1598, 1.0000, 0.2819, 0.2661, 2.1541,viable margin
99, 0.1622, 1.0000, 0.2793, 0.2634, 2.1491,viable margin
100, 0.1647, 1.0000, 0.2767, 0.2607, 2.1440,viable margin
