time,disturbance,ecosystem_condition,functional_capacity,service_flow,resilience_margin,threshold_flag
82,0.151306,1,0.324832,0.30763,2.20553,viable margin
83,0.149729,1,0.322681,0.305771,2.20495,viable margin
84,0.398406,0.9938,0.312175,0.266979,1.93957,viable margin
85,0.147358,1,0.310104,0.29411,2.19475,viable margin
86,0.1466,1,0.308058,0.292252,2.19346,viable margin
87,0.146145,1,0.306028,0.290374,2.19188,viable margin
88,0.146,1,0.304002,0.288467,2.19,viable margin
89,0.146167,1,0.301971,0.286522,2.1878,viable margin
90,0.146644,1,0.299924,0.28453,2.18528,viable margin
91,0.147422,1,0.29785,0.282482,2.18243,viable margin
92,0.148491,1,0.295741,0.280371,2.17925,viable margin
93,0.149833,1,0.293586,0.27819,2.17575,viable margin
94,0.151427,1,0.291379,0.275936,2.17195,viable margin
95,0.153248,1,0.289109,0.273602,2.16786,viable margin
96,0.155269,1,0.286772,0.271188,2.1635,viable margin
97,0.157456,1,0.284362,0.268691,2.15891,viable margin
98,0.159778,1,0.281873,0.26611,2.1541,viable margin
99,0.162196,1,0.279303,0.263448,2.14911,viable margin
100,0.164674,1,0.27665,0.260706,2.14398,viable margin
