simulation_id,strategy_id,strategy,rank,drr_value,winner
5,DRR002,Community Early Warning Network,3,6.52879,Equitable Recovery and Housing Protection Program
5,DRR003,Critical Infrastructure Hardening,4,6.14494,Equitable Recovery and Housing Protection Program
5,DRR005,Integrated Preparedness and Response Training,5,6.01391,Equitable Recovery and Housing Protection Program
5,DRR001,Floodplain Land-Use Restriction,6,5.96299,Equitable Recovery and Housing Protection Program
6,DRR004,Ecosystem-Based Flood and Fire Risk Reduction,1,6.6676,Ecosystem-Based Flood and Fire Risk Reduction
6,DRR006,Equitable Recovery and Housing Protection Program,2,6.62959,Ecosystem-Based Flood and Fire Risk Reduction
6,DRR003,Critical Infrastructure Hardening,3,6.44726,Ecosystem-Based Flood and Fire Risk Reduction
6,DRR001,Floodplain Land-Use Restriction,4,6.28507,Ecosystem-Based Flood and Fire Risk Reduction
6,DRR002,Community Early Warning Network,5,6.2612,Ecosystem-Based Flood and Fire Risk Reduction
6,DRR005,Integrated Preparedness and Response Training,6,6.06576,Ecosystem-Based Flood and Fire Risk Reduction
7,DRR005,Integrated Preparedness and Response Training,1,6.79557,Integrated Preparedness and Response Training
7,DRR001,Floodplain Land-Use Restriction,2,6.77227,Integrated Preparedness and Response Training
7,DRR002,Community Early Warning Network,3,6.67246,Integrated Preparedness and Response Training
7,DRR006,Equitable Recovery and Housing Protection Program,4,6.53486,Integrated Preparedness and Response Training
7,DRR004,Ecosystem-Based Flood and Fire Risk Reduction,5,6.28543,Integrated Preparedness and Response Training
7,DRR003,Critical Infrastructure Hardening,6,5.55195,Integrated Preparedness and Response Training
8,DRR006,Equitable Recovery and Housing Protection Program,1,7.36042,Equitable Recovery and Housing Protection Program
8,DRR004,Ecosystem-Based Flood and Fire Risk Reduction,2,6.757,Equitable Recovery and Housing Protection Program
8,DRR002,Community Early Warning Network,3,6.4793,Equitable Recovery and Housing Protection Program
8,DRR001,Floodplain Land-Use Restriction,4,6.36143,Equitable Recovery and Housing Protection Program
8,DRR005,Integrated Preparedness and Response Training,5,6.1629,Equitable Recovery and Housing Protection Program
8,DRR003,Critical Infrastructure Hardening,6,6.04415,Equitable Recovery and Housing Protection Program
9,DRR006,Equitable Recovery and Housing Protection Program,1,6.97134,Equitable Recovery and Housing Protection Program
9,DRR004,Ecosystem-Based Flood and Fire Risk Reduction,2,6.91489,Equitable Recovery and Housing Protection Program
9,DRR001,Floodplain Land-Use Restriction,3,6.69642,Equitable Recovery and Housing Protection Program
9,DRR002,Community Early Warning Network,4,6.66535,Equitable Recovery and Housing Protection Program
9,DRR005,Integrated Preparedness and Response Training,5,6.49025,Equitable Recovery and Housing Protection Program
9,DRR003,Critical Infrastructure Hardening,6,6.28796,Equitable Recovery and Housing Protection Program
10,DRR006,Equitable Recovery and Housing Protection Program,1,7.01375,Equitable Recovery and Housing Protection Program
10,DRR005,Integrated Preparedness and Response Training,2,6.78702,Equitable Recovery and Housing Protection Program
10,DRR002,Community Early Warning Network,3,6.77273,Equitable Recovery and Housing Protection Program
10,DRR004,Ecosystem-Based Flood and Fire Risk Reduction,4,6.56769,Equitable Recovery and Housing Protection Program
10,DRR003,Critical Infrastructure Hardening,5,5.89549,Equitable Recovery and Housing Protection Program
10,DRR001,Floodplain Land-Use Restriction,6,5.7665,Equitable Recovery and Housing Protection Program
11,DRR004,Ecosystem-Based Flood and Fire Risk Reduction,1,6.85997,Ecosystem-Based Flood and Fire Risk Reduction
11,DRR006,Equitable Recovery and Housing Protection Program,2,6.66886,Ecosystem-Based Flood and Fire Risk Reduction
11,DRR005,Integrated Preparedness and Response Training,3,6.53585,Ecosystem-Based Flood and Fire Risk Reduction
11,DRR002,Community Early Warning Network,4,6.34874,Ecosystem-Based Flood and Fire Risk Reduction
11,DRR001,Floodplain Land-Use Restriction,5,5.90607,Ecosystem-Based Flood and Fire Risk Reduction
11,DRR003,Critical Infrastructure Hardening,6,5.85175,Ecosystem-Based Flood and Fire Risk Reduction
12,DRR006,Equitable Recovery and Housing Protection Program,1,6.73626,Equitable Recovery and Housing Protection Program
12,DRR004,Ecosystem-Based Flood and Fire Risk Reduction,2,6.52015,Equitable Recovery and Housing Protection Program
12,DRR001,Floodplain Land-Use Restriction,3,6.39835,Equitable Recovery and Housing Protection Program
12,DRR005,Integrated Preparedness and Response Training,4,6.27257,Equitable Recovery and Housing Protection Program
12,DRR003,Critical Infrastructure Hardening,5,6.07334,Equitable Recovery and Housing Protection Program
12,DRR002,Community Early Warning Network,6,5.83395,Equitable Recovery and Housing Protection Program
13,DRR006,Equitable Recovery and Housing Protection Program,1,6.57373,Equitable Recovery and Housing Protection Program
13,DRR005,Integrated Preparedness and Response Training,2,6.41649,Equitable Recovery and Housing Protection Program
13,DRR002,Community Early Warning Network,3,6.40497,Equitable Recovery and Housing Protection Program
13,DRR003,Critical Infrastructure Hardening,4,6.38887,Equitable Recovery and Housing Protection Program
13,DRR004,Ecosystem-Based Flood and Fire Risk Reduction,5,6.3863,Equitable Recovery and Housing Protection Program
13,DRR001,Floodplain Land-Use Restriction,6,6.03788,Equitable Recovery and Housing Protection Program
14,DRR006,Equitable Recovery and Housing Protection Program,1,6.81555,Equitable Recovery and Housing Protection Program
14,DRR005,Integrated Preparedness and Response Training,2,6.69605,Equitable Recovery and Housing Protection Program
14,DRR002,Community Early Warning Network,3,6.6606,Equitable Recovery and Housing Protection Program
14,DRR001,Floodplain Land-Use Restriction,4,6.63045,Equitable Recovery and Housing Protection Program
14,DRR003,Critical Infrastructure Hardening,5,6.34924,Equitable Recovery and Housing Protection Program
14,DRR004,Ecosystem-Based Flood and Fire Risk Reduction,6,6.24549,Equitable Recovery and Housing Protection Program
15,DRR005,Integrated Preparedness and Response Training,1,6.7519,Integrated Preparedness and Response Training
15,DRR002,Community Early Warning Network,2,6.55975,Integrated Preparedness and Response Training
15,DRR004,Ecosystem-Based Flood and Fire Risk Reduction,3,6.4375,Integrated Preparedness and Response Training
15,DRR003,Critical Infrastructure Hardening,4,6.36452,Integrated Preparedness and Response Training
15,DRR006,Equitable Recovery and Housing Protection Program,5,6.22946,Integrated Preparedness and Response Training
15,DRR001,Floodplain Land-Use Restriction,6,5.94695,Integrated Preparedness and Response Training
16,DRR004,Ecosystem-Based Flood and Fire Risk Reduction,1,6.88421,Ecosystem-Based Flood and Fire Risk Reduction
16,DRR006,Equitable Recovery and Housing Protection Program,2,6.77439,Ecosystem-Based Flood and Fire Risk Reduction
16,DRR005,Integrated Preparedness and Response Training,3,6.55778,Ecosystem-Based Flood and Fire Risk Reduction
16,DRR002,Community Early Warning Network,4,6.32131,Ecosystem-Based Flood and Fire Risk Reduction
16,DRR003,Critical Infrastructure Hardening,5,5.96504,Ecosystem-Based Flood and Fire Risk Reduction
16,DRR001,Floodplain Land-Use Restriction,6,5.81377,Ecosystem-Based Flood and Fire Risk Reduction
17,DRR006,Equitable Recovery and Housing Protection Program,1,6.90936,Equitable Recovery and Housing Protection Program
17,DRR004,Ecosystem-Based Flood and Fire Risk Reduction,2,6.78059,Equitable Recovery and Housing Protection Program
17,DRR005,Integrated Preparedness and Response Training,3,6.531,Equitable Recovery and Housing Protection Program
17,DRR002,Community Early Warning Network,4,6.4297,Equitable Recovery and Housing Protection Program
17,DRR001,Floodplain Land-Use Restriction,5,5.98612,Equitable Recovery and Housing Protection Program
17,DRR003,Critical Infrastructure Hardening,6,5.75784,Equitable Recovery and Housing Protection Program
18,DRR006,Equitable Recovery and Housing Protection Program,1,6.81646,Equitable Recovery and Housing Protection Program
18,DRR002,Community Early Warning Network,2,6.69084,Equitable Recovery and Housing Protection Program
18,DRR005,Integrated Preparedness and Response Training,3,6.49457,Equitable Recovery and Housing Protection Program
18,DRR001,Floodplain Land-Use Restriction,4,6.32021,Equitable Recovery and Housing Protection Program
18,DRR004,Ecosystem-Based Flood and Fire Risk Reduction,5,6.22317,Equitable Recovery and Housing Protection Program
18,DRR003,Critical Infrastructure Hardening,6,6.10402,Equitable Recovery and Housing Protection Program
19,DRR004,Ecosystem-Based Flood and Fire Risk Reduction,1,6.85907,Ecosystem-Based Flood and Fire Risk Reduction
19,DRR006,Equitable Recovery and Housing Protection Program,2,6.82906,Ecosystem-Based Flood and Fire Risk Reduction
19,DRR005,Integrated Preparedness and Response Training,3,6.4398,Ecosystem-Based Flood and Fire Risk Reduction
19,DRR002,Community Early Warning Network,4,6.17849,Ecosystem-Based Flood and Fire Risk Reduction
19,DRR001,Floodplain Land-Use Restriction,5,6.11665,Ecosystem-Based Flood and Fire Risk Reduction
19,DRR003,Critical Infrastructure Hardening,6,5.63836,Ecosystem-Based Flood and Fire Risk Reduction
20,DRR006,Equitable Recovery and Housing Protection Program,1,7.08033,Equitable Recovery and Housing Protection Program
20,DRR001,Floodplain Land-Use Restriction,2,7.0356,Equitable Recovery and Housing Protection Program
20,DRR005,Integrated Preparedness and Response Training,3,6.48003,Equitable Recovery and Housing Protection Program
20,DRR002,Community Early Warning Network,4,6.43066,Equitable Recovery and Housing Protection Program
20,DRR004,Ecosystem-Based Flood and Fire Risk Reduction,5,6.2332,Equitable Recovery and Housing Protection Program
20,DRR003,Critical Infrastructure Hardening,6,5.82284,Equitable Recovery and Housing Protection Program
21,DRR006,Equitable Recovery and Housing Protection Program,1,6.90304,Equitable Recovery and Housing Protection Program
21,DRR004,Ecosystem-Based Flood and Fire Risk Reduction,2,6.77122,Equitable Recovery and Housing Protection Program
21,DRR003,Critical Infrastructure Hardening,3,6.34345,Equitable Recovery and Housing Protection Program
21,DRR001,Floodplain Land-Use Restriction,4,6.32132,Equitable Recovery and Housing Protection Program
21,DRR005,Integrated Preparedness and Response Training,5,6.09681,Equitable Recovery and Housing Protection Program
21,DRR002,Community Early Warning Network,6,5.9267,Equitable Recovery and Housing Protection Program
22,DRR004,Ecosystem-Based Flood and Fire Risk Reduction,1,6.76394,Ecosystem-Based Flood and Fire Risk Reduction
22,DRR006,Equitable Recovery and Housing Protection Program,2,6.76246,Ecosystem-Based Flood and Fire Risk Reduction
22,DRR005,Integrated Preparedness and Response Training,3,6.3731,Ecosystem-Based Flood and Fire Risk Reduction
22,DRR002,Community Early Warning Network,4,6.16327,Ecosystem-Based Flood and Fire Risk Reduction
22,DRR001,Floodplain Land-Use Restriction,5,6.06061,Ecosystem-Based Flood and Fire Risk Reduction
22,DRR003,Critical Infrastructure Hardening,6,5.78404,Ecosystem-Based Flood and Fire Risk Reduction
23,DRR006,Equitable Recovery and Housing Protection Program,1,7.09035,Equitable Recovery and Housing Protection Program
23,DRR005,Integrated Preparedness and Response Training,2,6.8481,Equitable Recovery and Housing Protection Program
23,DRR004,Ecosystem-Based Flood and Fire Risk Reduction,3,6.49246,Equitable Recovery and Housing Protection Program
23,DRR003,Critical Infrastructure Hardening,4,6.07117,Equitable Recovery and Housing Protection Program
23,DRR002,Community Early Warning Network,5,5.97173,Equitable Recovery and Housing Protection Program
23,DRR001,Floodplain Land-Use Restriction,6,5.82513,Equitable Recovery and Housing Protection Program
24,DRR004,Ecosystem-Based Flood and Fire Risk Reduction,1,6.90008,Ecosystem-Based Flood and Fire Risk Reduction
24,DRR006,Equitable Recovery and Housing Protection Program,2,6.79152,Ecosystem-Based Flood and Fire Risk Reduction
24,DRR001,Floodplain Land-Use Restriction,3,6.52418,Ecosystem-Based Flood and Fire Risk Reduction
24,DRR002,Community Early Warning Network,4,6.48967,Ecosystem-Based Flood and Fire Risk Reduction
24,DRR003,Critical Infrastructure Hardening,5,6.41334,Ecosystem-Based Flood and Fire Risk Reduction
24,DRR005,Integrated Preparedness and Response Training,6,6.2066,Ecosystem-Based Flood and Fire Risk Reduction
25,DRR006,Equitable Recovery and Housing Protection Program,1,6.78287,Equitable Recovery and Housing Protection Program
25,DRR001,Floodplain Land-Use Restriction,2,6.32088,Equitable Recovery and Housing Protection Program
25,DRR005,Integrated Preparedness and Response Training,3,6.27424,Equitable Recovery and Housing Protection Program
25,DRR002,Community Early Warning Network,4,6.21444,Equitable Recovery and Housing Protection Program
25,DRR004,Ecosystem-Based Flood and Fire Risk Reduction,5,6.11182,Equitable Recovery and Housing Protection Program
25,DRR003,Critical Infrastructure Hardening,6,6.04286,Equitable Recovery and Housing Protection Program
26,DRR006,Equitable Recovery and Housing Protection Program,1,6.73411,Equitable Recovery and Housing Protection Program
26,DRR004,Ecosystem-Based Flood and Fire Risk Reduction,2,6.64505,Equitable Recovery and Housing Protection Program
26,DRR002,Community Early Warning Network,3,6.47154,Equitable Recovery and Housing Protection Program
26,DRR005,Integrated Preparedness and Response Training,4,6.19251,Equitable Recovery and Housing Protection Program
26,DRR003,Critical Infrastructure Hardening,5,6.09653,Equitable Recovery and Housing Protection Program
26,DRR001,Floodplain Land-Use Restriction,6,6.05071,Equitable Recovery and Housing Protection Program
27,DRR002,Community Early Warning Network,1,6.90336,Community Early Warning Network
27,DRR005,Integrated Preparedness and Response Training,2,6.67832,Community Early Warning Network
27,DRR004,Ecosystem-Based Flood and Fire Risk Reduction,3,6.57683,Community Early Warning Network
27,DRR006,Equitable Recovery and Housing Protection Program,4,6.46043,Community Early Warning Network
27,DRR001,Floodplain Land-Use Restriction,5,6.20144,Community Early Warning Network
27,DRR003,Critical Infrastructure Hardening,6,5.92851,Community Early Warning Network
28,DRR004,Ecosystem-Based Flood and Fire Risk Reduction,1,6.90108,Ecosystem-Based Flood and Fire Risk Reduction
28,DRR006,Equitable Recovery and Housing Protection Program,2,6.80999,Ecosystem-Based Flood and Fire Risk Reduction
28,DRR002,Community Early Warning Network,3,6.74517,Ecosystem-Based Flood and Fire Risk Reduction
28,DRR005,Integrated Preparedness and Response Training,4,6.57621,Ecosystem-Based Flood and Fire Risk Reduction
28,DRR003,Critical Infrastructure Hardening,5,6.16243,Ecosystem-Based Flood and Fire Risk Reduction
28,DRR001,Floodplain Land-Use Restriction,6,5.96964,Ecosystem-Based Flood and Fire Risk Reduction
29,DRR004,Ecosystem-Based Flood and Fire Risk Reduction,1,6.94516,Ecosystem-Based Flood and Fire Risk Reduction
29,DRR005,Integrated Preparedness and Response Training,2,6.46321,Ecosystem-Based Flood and Fire Risk Reduction
29,DRR006,Equitable Recovery and Housing Protection Program,3,6.34056,Ecosystem-Based Flood and Fire Risk Reduction
29,DRR001,Floodplain Land-Use Restriction,4,6.32376,Ecosystem-Based Flood and Fire Risk Reduction
29,DRR002,Community Early Warning Network,5,6.23862,Ecosystem-Based Flood and Fire Risk Reduction
29,DRR003,Critical Infrastructure Hardening,6,5.86065,Ecosystem-Based Flood and Fire Risk Reduction
30,DRR006,Equitable Recovery and Housing Protection Program,1,6.69028,Equitable Recovery and Housing Protection Program
30,DRR002,Community Early Warning Network,2,6.48082,Equitable Recovery and Housing Protection Program
30,DRR003,Critical Infrastructure Hardening,3,6.41432,Equitable Recovery and Housing Protection Program
30,DRR004,Ecosystem-Based Flood and Fire Risk Reduction,4,6.31684,Equitable Recovery and Housing Protection Program
30,DRR001,Floodplain Land-Use Restriction,5,6.14444,Equitable Recovery and Housing Protection Program
30,DRR005,Integrated Preparedness and Response Training,6,5.88531,Equitable Recovery and Housing Protection Program
31,DRR006,Equitable Recovery and Housing Protection Program,1,6.7468,Equitable Recovery and Housing Protection Program
31,DRR004,Ecosystem-Based Flood and Fire Risk Reduction,2,6.63104,Equitable Recovery and Housing Protection Program
31,DRR002,Community Early Warning Network,3,6.62998,Equitable Recovery and Housing Protection Program
31,DRR001,Floodplain Land-Use Restriction,4,6.30372,Equitable Recovery and Housing Protection Program
31,DRR005,Integrated Preparedness and Response Training,5,6.13852,Equitable Recovery and Housing Protection Program
31,DRR003,Critical Infrastructure Hardening,6,5.99251,Equitable Recovery and Housing Protection Program
32,DRR006,Equitable Recovery and Housing Protection Program,1,7.36608,Equitable Recovery and Housing Protection Program
32,DRR004,Ecosystem-Based Flood and Fire Risk Reduction,2,6.99394,Equitable Recovery and Housing Protection Program
32,DRR005,Integrated Preparedness and Response Training,3,6.65744,Equitable Recovery and Housing Protection Program
32,DRR002,Community Early Warning Network,4,6.42396,Equitable Recovery and Housing Protection Program
32,DRR003,Critical Infrastructure Hardening,5,6.0692,Equitable Recovery and Housing Protection Program
32,DRR001,Floodplain Land-Use Restriction,6,5.83657,Equitable Recovery and Housing Protection Program
33,DRR004,Ecosystem-Based Flood and Fire Risk Reduction,1,6.90674,Ecosystem-Based Flood and Fire Risk Reduction
33,DRR006,Equitable Recovery and Housing Protection Program,2,6.66403,Ecosystem-Based Flood and Fire Risk Reduction
33,DRR002,Community Early Warning Network,3,6.36411,Ecosystem-Based Flood and Fire Risk Reduction
33,DRR005,Integrated Preparedness and Response Training,4,6.34679,Ecosystem-Based Flood and Fire Risk Reduction
33,DRR001,Floodplain Land-Use Restriction,5,5.90996,Ecosystem-Based Flood and Fire Risk Reduction
33,DRR003,Critical Infrastructure Hardening,6,5.74269,Ecosystem-Based Flood and Fire Risk Reduction
34,DRR004,Ecosystem-Based Flood and Fire Risk Reduction,1,7.11446,Ecosystem-Based Flood and Fire Risk Reduction
34,DRR006,Equitable Recovery and Housing Protection Program,2,6.62539,Ecosystem-Based Flood and Fire Risk Reduction
34,DRR003,Critical Infrastructure Hardening,3,6.34483,Ecosystem-Based Flood and Fire Risk Reduction
34,DRR005,Integrated Preparedness and Response Training,4,6.16492,Ecosystem-Based Flood and Fire Risk Reduction
34,DRR002,Community Early Warning Network,5,5.99506,Ecosystem-Based Flood and Fire Risk Reduction
34,DRR001,Floodplain Land-Use Restriction,6,5.65777,Ecosystem-Based Flood and Fire Risk Reduction
35,DRR006,Equitable Recovery and Housing Protection Program,1,6.91162,Equitable Recovery and Housing Protection Program
35,DRR004,Ecosystem-Based Flood and Fire Risk Reduction,2,6.62466,Equitable Recovery and Housing Protection Program
35,DRR001,Floodplain Land-Use Restriction,3,6.39641,Equitable Recovery and Housing Protection Program
35,DRR002,Community Early Warning Network,4,6.39094,Equitable Recovery and Housing Protection Program
35,DRR005,Integrated Preparedness and Response Training,5,6.19241,Equitable Recovery and Housing Protection Program
35,DRR003,Critical Infrastructure Hardening,6,6.11728,Equitable Recovery and Housing Protection Program
36,DRR004,Ecosystem-Based Flood and Fire Risk Reduction,1,7.08115,Ecosystem-Based Flood and Fire Risk Reduction
36,DRR006,Equitable Recovery and Housing Protection Program,2,6.81944,Ecosystem-Based Flood and Fire Risk Reduction
36,DRR005,Integrated Preparedness and Response Training,3,6.53477,Ecosystem-Based Flood and Fire Risk Reduction
36,DRR001,Floodplain Land-Use Restriction,4,6.41371,Ecosystem-Based Flood and Fire Risk Reduction
36,DRR003,Critical Infrastructure Hardening,5,6.31242,Ecosystem-Based Flood and Fire Risk Reduction
36,DRR002,Community Early Warning Network,6,6.24734,Ecosystem-Based Flood and Fire Risk Reduction
37,DRR004,Ecosystem-Based Flood and Fire Risk Reduction,1,6.8713,Ecosystem-Based Flood and Fire Risk Reduction
37,DRR006,Equitable Recovery and Housing Protection Program,2,6.79366,Ecosystem-Based Flood and Fire Risk Reduction
37,DRR005,Integrated Preparedness and Response Training,3,6.70126,Ecosystem-Based Flood and Fire Risk Reduction
37,DRR002,Community Early Warning Network,4,6.38997,Ecosystem-Based Flood and Fire Risk Reduction
37,DRR003,Critical Infrastructure Hardening,5,6.11611,Ecosystem-Based Flood and Fire Risk Reduction
37,DRR001,Floodplain Land-Use Restriction,6,5.95637,Ecosystem-Based Flood and Fire Risk Reduction
38,DRR002,Community Early Warning Network,1,6.87632,Community Early Warning Network
38,DRR004,Ecosystem-Based Flood and Fire Risk Reduction,2,6.81035,Community Early Warning Network
38,DRR006,Equitable Recovery and Housing Protection Program,3,6.72738,Community Early Warning Network
38,DRR005,Integrated Preparedness and Response Training,4,6.59455,Community Early Warning Network
38,DRR001,Floodplain Land-Use Restriction,5,6.19147,Community Early Warning Network
38,DRR003,Critical Infrastructure Hardening,6,5.90002,Community Early Warning Network
39,DRR004,Ecosystem-Based Flood and Fire Risk Reduction,1,6.71375,Ecosystem-Based Flood and Fire Risk Reduction
39,DRR006,Equitable Recovery and Housing Protection Program,2,6.52241,Ecosystem-Based Flood and Fire Risk Reduction
39,DRR005,Integrated Preparedness and Response Training,3,6.49531,Ecosystem-Based Flood and Fire Risk Reduction
39,DRR002,Community Early Warning Network,4,6.41988,Ecosystem-Based Flood and Fire Risk Reduction
39,DRR001,Floodplain Land-Use Restriction,5,6.34694,Ecosystem-Based Flood and Fire Risk Reduction
39,DRR003,Critical Infrastructure Hardening,6,5.91569,Ecosystem-Based Flood and Fire Risk Reduction
40,DRR005,Integrated Preparedness and Response Training,1,6.75846,Integrated Preparedness and Response Training
40,DRR004,Ecosystem-Based Flood and Fire Risk Reduction,2,6.72875,Integrated Preparedness and Response Training
40,DRR002,Community Early Warning Network,3,6.72573,Integrated Preparedness and Response Training
40,DRR006,Equitable Recovery and Housing Protection Program,4,6.49423,Integrated Preparedness and Response Training
40,DRR001,Floodplain Land-Use Restriction,5,6.3003,Integrated Preparedness and Response Training
40,DRR003,Critical Infrastructure Hardening,6,5.93295,Integrated Preparedness and Response Training
41,DRR006,Equitable Recovery and Housing Protection Program,1,6.96417,Equitable Recovery and Housing Protection Program
41,DRR004,Ecosystem-Based Flood and Fire Risk Reduction,2,6.85445,Equitable Recovery and Housing Protection Program
41,DRR002,Community Early Warning Network,3,6.58887,Equitable Recovery and Housing Protection Program
41,DRR005,Integrated Preparedness and Response Training,4,6.33539,Equitable Recovery and Housing Protection Program
41,DRR003,Critical Infrastructure Hardening,5,6.15048,Equitable Recovery and Housing Protection Program
41,DRR001,Floodplain Land-Use Restriction,6,5.81998,Equitable Recovery and Housing Protection Program
42,DRR004,Ecosystem-Based Flood and Fire Risk Reduction,1,6.92938,Ecosystem-Based Flood and Fire Risk Reduction
42,DRR005,Integrated Preparedness and Response Training,2,6.80414,Ecosystem-Based Flood and Fire Risk Reduction
42,DRR006,Equitable Recovery and Housing Protection Program,3,6.74365,Ecosystem-Based Flood and Fire Risk Reduction
42,DRR002,Community Early Warning Network,4,6.59715,Ecosystem-Based Flood and Fire Risk Reduction
42,DRR001,Floodplain Land-Use Restriction,5,5.79075,Ecosystem-Based Flood and Fire Risk Reduction
42,DRR003,Critical Infrastructure Hardening,6,5.69838,Ecosystem-Based Flood and Fire Risk Reduction
43,DRR006,Equitable Recovery and Housing Protection Program,1,7.09728,Equitable Recovery and Housing Protection Program
43,DRR002,Community Early Warning Network,2,6.6901,Equitable Recovery and Housing Protection Program
43,DRR004,Ecosystem-Based Flood and Fire Risk Reduction,3,6.61429,Equitable Recovery and Housing Protection Program
43,DRR005,Integrated Preparedness and Response Training,4,6.5426,Equitable Recovery and Housing Protection Program
43,DRR001,Floodplain Land-Use Restriction,5,6.21644,Equitable Recovery and Housing Protection Program
43,DRR003,Critical Infrastructure Hardening,6,6.17279,Equitable Recovery and Housing Protection Program
44,DRR002,Community Early Warning Network,1,6.62963,Community Early Warning Network
44,DRR006,Equitable Recovery and Housing Protection Program,2,6.3756,Community Early Warning Network
44,DRR005,Integrated Preparedness and Response Training,3,6.29499,Community Early Warning Network
44,DRR003,Critical Infrastructure Hardening,4,6.1477,Community Early Warning Network
44,DRR001,Floodplain Land-Use Restriction,5,6.08745,Community Early Warning Network
44,DRR004,Ecosystem-Based Flood and Fire Risk Reduction,6,6.01194,Community Early Warning Network
45,DRR004,Ecosystem-Based Flood and Fire Risk Reduction,1,6.83163,Ecosystem-Based Flood and Fire Risk Reduction
45,DRR005,Integrated Preparedness and Response Training,2,6.65703,Ecosystem-Based Flood and Fire Risk Reduction
45,DRR006,Equitable Recovery and Housing Protection Program,3,6.4666,Ecosystem-Based Flood and Fire Risk Reduction
45,DRR002,Community Early Warning Network,4,6.43986,Ecosystem-Based Flood and Fire Risk Reduction
45,DRR001,Floodplain Land-Use Restriction,5,5.96273,Ecosystem-Based Flood and Fire Risk Reduction
45,DRR003,Critical Infrastructure Hardening,6,5.7082,Ecosystem-Based Flood and Fire Risk Reduction
46,DRR006,Equitable Recovery and Housing Protection Program,1,7.05133,Equitable Recovery and Housing Protection Program
46,DRR004,Ecosystem-Based Flood and Fire Risk Reduction,2,6.55227,Equitable Recovery and Housing Protection Program
46,DRR005,Integrated Preparedness and Response Training,3,6.43424,Equitable Recovery and Housing Protection Program
46,DRR001,Floodplain Land-Use Restriction,4,6.39464,Equitable Recovery and Housing Protection Program
46,DRR002,Community Early Warning Network,5,6.28844,Equitable Recovery and Housing Protection Program
46,DRR003,Critical Infrastructure Hardening,6,5.79695,Equitable Recovery and Housing Protection Program
