system_id,system,system_domain,time,event,stress_load,response_capacity,function_level,dependency_coupling,justice_adjusted_function
SYS001,Riverside Neighborhood Flood System,community flood risk,22,background risk stress,0.15601,0.09346,0.74453,0.66803,0.77788
SYS001,Riverside Neighborhood Flood System,community flood risk,23,background risk stress,0.15094,0.09324,0.74589,0.66981,0.77931
SYS001,Riverside Neighborhood Flood System,community flood risk,24,background risk stress,0.15725,0.09302,0.74493,0.67171,0.77831
SYS001,Riverside Neighborhood Flood System,community flood risk,25,background risk stress,0.15486,0.09279,0.7446,0.67357,0.77796
SYS001,Riverside Neighborhood Flood System,community flood risk,26,background risk stress,0.15813,0.09257,0.74298,0.67549,0.77626
SYS001,Riverside Neighborhood Flood System,community flood risk,27,background risk stress,0.15816,0.09234,0.74116,0.67742,0.77436
SYS001,Riverside Neighborhood Flood System,community flood risk,28,Heatwave with power demand surge,0.73739,0.09211,0.54221,0.68977,0.47238
SYS001,Riverside Neighborhood Flood System,community flood risk,29,background risk stress,0.1553,0.09063,0.53997,0.69166,0.56416
SYS001,Riverside Neighborhood Flood System,community flood risk,30,background risk stress,0.15966,0.0904,0.53606,0.69363,0.56008
SYS001,Riverside Neighborhood Flood System,community flood risk,31,background risk stress,0.15633,0.09016,0.53309,0.69554,0.55698
SYS001,Riverside Neighborhood Flood System,community flood risk,32,background risk stress,0.15609,0.08994,0.53002,0.69745,0.55377
SYS001,Riverside Neighborhood Flood System,community flood risk,33,background risk stress,0.1597,0.08971,0.52553,0.69943,0.54908
SYS001,Riverside Neighborhood Flood System,community flood risk,34,background risk stress,0.16323,0.08947,0.51965,0.70147,0.54293
SYS001,Riverside Neighborhood Flood System,community flood risk,35,background risk stress,0.16232,0.08922,0.51388,0.7035,0.5369
SYS001,Riverside Neighborhood Flood System,community flood risk,36,background risk stress,0.16014,0.08898,0.50865,0.70549,0.53144
SYS001,Riverside Neighborhood Flood System,community flood risk,37,background risk stress,0.16573,0.08874,0.50133,0.70759,0.52379
SYS001,Riverside Neighborhood Flood System,community flood risk,38,background risk stress,0.16695,0.08849,0.49339,0.70971,0.51549
SYS001,Riverside Neighborhood Flood System,community flood risk,39,background risk stress,0.16248,0.08823,0.48676,0.71175,0.50857
SYS001,Riverside Neighborhood Flood System,community flood risk,40,background risk stress,0.16475,0.08799,0.47916,0.71384,0.50063
SYS001,Riverside Neighborhood Flood System,community flood risk,41,background risk stress,0.16685,0.08774,0.47064,0.71596,0.49173
SYS001,Riverside Neighborhood Flood System,community flood risk,42,background risk stress,0.16953,0.08748,0.461,0.71814,0.48166
SYS001,Riverside Neighborhood Flood System,community flood risk,43,Wildfire smoke and evacuation pressure,0.74325,0.08722,0.25609,0.73065,0.23171
SYS001,Riverside Neighborhood Flood System,community flood risk,44,background risk stress,0.16581,0.08572,0.24628,0.73277,0.25732
SYS001,Riverside Neighborhood Flood System,community flood risk,45,background risk stress,0.16973,0.08547,0.23494,0.73497,0.24546
SYS001,Riverside Neighborhood Flood System,community flood risk,46,background risk stress,0.17356,0.0852,0.22208,0.73725,0.23203
SYS001,Riverside Neighborhood Flood System,community flood risk,47,background risk stress,0.17151,0.08493,0.20969,0.73948,0.21909
SYS001,Riverside Neighborhood Flood System,community flood risk,48,background risk stress,0.17301,0.08466,0.19658,0.74175,0.20538
SYS001,Riverside Neighborhood Flood System,community flood risk,49,background risk stress,0.17413,0.08439,0.18286,0.74404,0.19105
SYS001,Riverside Neighborhood Flood System,community flood risk,50,background risk stress,0.17278,0.08412,0.16938,0.74631,0.17697
SYS001,Riverside Neighborhood Flood System,community flood risk,51,background risk stress,0.17181,0.08384,0.15601,0.74856,0.16299
SYS001,Riverside Neighborhood Flood System,community flood risk,52,background risk stress,0.17477,0.08357,0.14141,0.75087,0.14774
SYS001,Riverside Neighborhood Flood System,community flood risk,53,background risk stress,0.17498,0.0833,0.12651,0.75319,0.13217
SYS001,Riverside Neighborhood Flood System,community flood risk,54,background risk stress,0.17426,0.08302,0.11163,0.7555,0.11663
SYS001,Riverside Neighborhood Flood System,community flood risk,55,background risk stress,0.17883,0.08274,0.09497,0.75789,0.09923
SYS001,Riverside Neighborhood Flood System,community flood risk,56,background risk stress,0.17579,0.08245,0.07911,0.76023,0.08266
SYS001,Riverside Neighborhood Flood System,community flood risk,57,background risk stress,0.17739,0.08217,0.06248,0.7626,0.06528
SYS001,Riverside Neighborhood Flood System,community flood risk,58,background risk stress,0.1802,0.08189,0.04467,0.76503,0.04667
SYS001,Riverside Neighborhood Flood System,community flood risk,59,Drought with water and food stress,0.736,0.0816,0.0,0.77746,0.0
SYS001,Riverside Neighborhood Flood System,community flood risk,60,background risk stress,0.18278,0.08011,0.0,0.77995,0.0
SYS001,Riverside Neighborhood Flood System,community flood risk,61,background risk stress,0.18406,0.07981,0.0,0.78246,0.0
SYS001,Riverside Neighborhood Flood System,community flood risk,62,background risk stress,0.18295,0.0795,0.0,0.78496,0.0
SYS001,Riverside Neighborhood Flood System,community flood risk,63,background risk stress,0.18062,0.0792,0.0,0.78742,0.0
SYS001,Riverside Neighborhood Flood System,community flood risk,64,background risk stress,0.18583,0.07891,0.0,0.78997,0.0
SYS001,Riverside Neighborhood Flood System,community flood risk,65,background risk stress,0.18701,0.0786,0.0,0.79255,0.0
SYS001,Riverside Neighborhood Flood System,community flood risk,66,background risk stress,0.18624,0.07829,0.0,0.79512,0.0
SYS001,Riverside Neighborhood Flood System,community flood risk,67,background risk stress,0.18734,0.07799,0.0,0.79772,0.0
SYS001,Riverside Neighborhood Flood System,community flood risk,68,background risk stress,0.18612,0.07767,0.0,0.80029,0.0
SYS001,Riverside Neighborhood Flood System,community flood risk,69,background risk stress,0.18667,0.07737,0.0,0.80288,0.0
SYS001,Riverside Neighborhood Flood System,community flood risk,70,Compound flood power and health disruption,0.81703,0.07705,0.0,0.81681,0.0
SYS001,Riverside Neighborhood Flood System,community flood risk,71,background risk stress,0.18967,0.07538,0.0,0.81947,0.0
SYS001,Riverside Neighborhood Flood System,community flood risk,72,background risk stress,0.18708,0.07506,0.0,0.82209,0.0
SYS001,Riverside Neighborhood Flood System,community flood risk,73,background risk stress,0.1918,0.07475,0.0,0.82479,0.0
SYS001,Riverside Neighborhood Flood System,community flood risk,74,background risk stress,0.19393,0.07442,0.0,0.82754,0.0
SYS001,Riverside Neighborhood Flood System,community flood risk,75,background risk stress,0.18935,0.0741,0.0,0.83021,0.0
SYS001,Riverside Neighborhood Flood System,community flood risk,76,background risk stress,0.19455,0.07378,0.0,0.83297,0.0
SYS001,Riverside Neighborhood Flood System,community flood risk,77,background risk stress,0.1949,0.07344,0.0,0.83575,0.0
SYS001,Riverside Neighborhood Flood System,community flood risk,78,background risk stress,0.19118,0.07311,0.0,0.83846,0.0
SYS001,Riverside Neighborhood Flood System,community flood risk,79,background risk stress,0.19136,0.07279,0.0,0.84117,0.0
SYS002,Regional Power and Water Network,infrastructure interdependency,0,background risk stress,0.15122,0.1716,0.88705,0.78101,0.91115
SYS002,Regional Power and Water Network,infrastructure interdependency,1,background risk stress,0.14886,0.17148,0.91481,0.78197,0.93966
SYS002,Regional Power and Water Network,infrastructure interdependency,2,background risk stress,0.15529,0.17136,0.94029,0.78305,0.96583
SYS002,Regional Power and Water Network,infrastructure interdependency,3,background risk stress,0.15557,0.17123,0.96556,0.78414,0.99179
SYS002,Regional Power and Water Network,infrastructure interdependency,4,background risk stress,0.15268,0.1711,0.99172,0.78518,1.0
SYS002,Regional Power and Water Network,infrastructure interdependency,5,background risk stress,0.15476,0.17098,1.0,0.78625,1.0
SYS002,Regional Power and Water Network,infrastructure interdependency,6,background risk stress,0.15193,0.17085,1.0,0.78728,1.0
SYS002,Regional Power and Water Network,infrastructure interdependency,7,background risk stress,0.15257,0.17073,1.0,0.78832,1.0
SYS002,Regional Power and Water Network,infrastructure interdependency,8,background risk stress,0.15366,0.1706,1.0,0.78938,1.0
SYS002,Regional Power and Water Network,infrastructure interdependency,9,background risk stress,0.15731,0.17047,1.0,0.79051,1.0
SYS002,Regional Power and Water Network,infrastructure interdependency,10,background risk stress,0.15425,0.17034,1.0,0.79158,1.0
SYS002,Regional Power and Water Network,infrastructure interdependency,11,background risk stress,0.16061,0.17021,1.0,0.79277,1.0
SYS002,Regional Power and Water Network,infrastructure interdependency,12,Extreme rainfall and urban flooding,0.72142,0.17007,0.83194,0.80405,0.71943
SYS002,Regional Power and Water Network,infrastructure interdependency,13,background risk stress,0.15576,0.16871,0.8551,0.80517,0.87833
SYS002,Regional Power and Water Network,infrastructure interdependency,14,background risk stress,0.15728,0.16858,0.87764,0.80631,0.90147
SYS002,Regional Power and Water Network,infrastructure interdependency,15,background risk stress,0.15708,0.16844,0.90013,0.80746,0.92458
SYS002,Regional Power and Water Network,infrastructure interdependency,16,background risk stress,0.16285,0.16831,0.92055,0.80871,0.94555
SYS002,Regional Power and Water Network,infrastructure interdependency,17,background risk stress,0.16038,0.16816,0.94169,0.80991,0.96726
SYS002,Regional Power and Water Network,infrastructure interdependency,18,background risk stress,0.16178,0.16801,0.96223,0.81114,0.98836
SYS002,Regional Power and Water Network,infrastructure interdependency,19,background risk stress,0.16127,0.16786,0.98283,0.81237,1.0
SYS002,Regional Power and Water Network,infrastructure interdependency,20,background risk stress,0.16423,0.16772,1.0,0.81365,1.0
SYS002,Regional Power and Water Network,infrastructure interdependency,21,background risk stress,0.16306,0.16756,1.0,0.8149,1.0
SYS002,Regional Power and Water Network,infrastructure interdependency,22,background risk stress,0.16218,0.16741,1.0,0.81615,1.0
SYS002,Regional Power and Water Network,infrastructure interdependency,23,background risk stress,0.16446,0.16726,1.0,0.81744,1.0
SYS002,Regional Power and Water Network,infrastructure interdependency,24,background risk stress,0.16411,0.16711,1.0,0.81872,1.0
SYS002,Regional Power and Water Network,infrastructure interdependency,25,background risk stress,0.16324,0.16695,1.0,0.81999,1.0
SYS002,Regional Power and Water Network,infrastructure interdependency,26,background risk stress,0.16926,0.1668,1.0,0.82137,1.0
SYS002,Regional Power and Water Network,infrastructure interdependency,27,background risk stress,0.16878,0.16664,1.0,0.82274,1.0
SYS002,Regional Power and Water Network,infrastructure interdependency,28,Heatwave with power demand surge,0.74902,0.16647,0.81963,0.83456,0.6996
SYS002,Regional Power and Water Network,infrastructure interdependency,29,background risk stress,0.17072,0.16505,0.83473,0.83598,0.8574
SYS002,Regional Power and Water Network,infrastructure interdependency,30,background risk stress,0.17298,0.16488,0.84892,0.83744,0.87198
SYS002,Regional Power and Water Network,infrastructure interdependency,31,background risk stress,0.16989,0.16471,0.86402,0.83886,0.88748
SYS002,Regional Power and Water Network,infrastructure interdependency,32,background risk stress,0.17039,0.16454,0.87881,0.84028,0.90268
SYS002,Regional Power and Water Network,infrastructure interdependency,33,background risk stress,0.17134,0.16437,0.89314,0.84172,0.9174
SYS002,Regional Power and Water Network,infrastructure interdependency,34,background risk stress,0.17181,0.16419,0.90717,0.84317,0.9318
SYS002,Regional Power and Water Network,infrastructure interdependency,35,background risk stress,0.17444,0.16402,0.92016,0.84467,0.94515
SYS002,Regional Power and Water Network,infrastructure interdependency,36,background risk stress,0.17002,0.16384,0.93451,0.84609,0.95989
SYS002,Regional Power and Water Network,infrastructure interdependency,37,background risk stress,0.17411,0.16367,0.94733,0.84759,0.97306
SYS002,Regional Power and Water Network,infrastructure interdependency,38,background risk stress,0.17527,0.16349,0.95961,0.84911,0.98567
SYS002,Regional Power and Water Network,infrastructure interdependency,39,background risk stress,0.17445,0.16331,0.97201,0.85061,0.99841
SYS002,Regional Power and Water Network,infrastructure interdependency,40,background risk stress,0.17262,0.16313,0.9849,0.85209,1.0
SYS002,Regional Power and Water Network,infrastructure interdependency,41,background risk stress,0.17842,0.16295,0.99567,0.85367,1.0
SYS002,Regional Power and Water Network,infrastructure interdependency,42,background risk stress,0.17377,0.16276,1.0,0.85517,1.0
SYS002,Regional Power and Water Network,infrastructure interdependency,43,Wildfire smoke and evacuation pressure,0.75421,0.16258,0.8147,0.86712,0.72277
SYS002,Regional Power and Water Network,infrastructure interdependency,44,background risk stress,0.18006,0.16115,0.82344,0.86875,0.84581
SYS002,Regional Power and Water Network,infrastructure interdependency,45,background risk stress,0.17757,0.16095,0.83288,0.87034,0.8555
SYS002,Regional Power and Water Network,infrastructure interdependency,46,background risk stress,0.17729,0.16076,0.84225,0.87192,0.86512
SYS002,Regional Power and Water Network,infrastructure interdependency,47,background risk stress,0.17903,0.16057,0.85088,0.87354,0.87399
SYS002,Regional Power and Water Network,infrastructure interdependency,48,background risk stress,0.17878,0.16038,0.85943,0.87515,0.88277
SYS002,Regional Power and Water Network,infrastructure interdependency,49,background risk stress,0.18006,0.16018,0.86739,0.87679,0.89095
SYS002,Regional Power and Water Network,infrastructure interdependency,50,background risk stress,0.18475,0.15998,0.8736,0.87852,0.89732
SYS002,Regional Power and Water Network,infrastructure interdependency,51,background risk stress,0.18572,0.15978,0.8793,0.88026,0.90319
SYS002,Regional Power and Water Network,infrastructure interdependency,52,background risk stress,0.18358,0.15957,0.88557,0.88197,0.90962
SYS002,Regional Power and Water Network,infrastructure interdependency,53,background risk stress,0.18642,0.15936,0.8907,0.88373,0.9149
SYS002,Regional Power and Water Network,infrastructure interdependency,54,background risk stress,0.18571,0.15915,0.89591,0.88549,0.92024
SYS002,Regional Power and Water Network,infrastructure interdependency,55,background risk stress,0.18653,0.15894,0.90066,0.88725,0.92512
SYS002,Regional Power and Water Network,infrastructure interdependency,56,background risk stress,0.19004,0.15873,0.90405,0.88909,0.9286
SYS002,Regional Power and Water Network,infrastructure interdependency,57,background risk stress,0.18639,0.15851,0.9085,0.89086,0.93317
SYS002,Regional Power and Water Network,infrastructure interdependency,58,background risk stress,0.19128,0.1583,0.91111,0.89272,0.93585
SYS002,Regional Power and Water Network,infrastructure interdependency,59,Drought with water and food stress,0.74622,0.15807,0.72486,0.90457,0.63089
SYS002,Regional Power and Water Network,infrastructure interdependency,60,background risk stress,0.19202,0.15665,0.72589,0.90646,0.7456
SYS002,Regional Power and Water Network,infrastructure interdependency,61,background risk stress,0.19261,0.15643,0.72652,0.90836,0.74626
SYS002,Regional Power and Water Network,infrastructure interdependency,62,background risk stress,0.18811,0.1562,0.7285,0.91018,0.74829
SYS002,Regional Power and Water Network,infrastructure interdependency,63,background risk stress,0.18935,0.15598,0.72989,0.91203,0.74971
SYS002,Regional Power and Water Network,infrastructure interdependency,64,background risk stress,0.18961,0.15576,0.731,0.91389,0.75086
SYS002,Regional Power and Water Network,infrastructure interdependency,65,background risk stress,0.19264,0.15553,0.7309,0.9158,0.75076
SYS002,Regional Power and Water Network,infrastructure interdependency,66,background risk stress,0.19785,0.1553,0.72885,0.91781,0.74864
SYS002,Regional Power and Water Network,infrastructure interdependency,67,background risk stress,0.19798,0.15506,0.72655,0.91982,0.74629
SYS002,Regional Power and Water Network,infrastructure interdependency,68,background risk stress,0.19836,0.15482,0.72393,0.92184,0.74359
SYS002,Regional Power and Water Network,infrastructure interdependency,69,background risk stress,0.19355,0.15458,0.72275,0.92378,0.74238
SYS002,Regional Power and Water Network,infrastructure interdependency,70,Compound flood power and health disruption,0.8267,0.15435,0.5061,0.93712,0.42632
SYS002,Regional Power and Water Network,infrastructure interdependency,71,background risk stress,0.20023,0.15275,0.50116,0.9392,0.51477
SYS002,Regional Power and Water Network,infrastructure interdependency,72,background risk stress,0.20142,0.1525,0.49561,0.9413,0.50907
SYS002,Regional Power and Water Network,infrastructure interdependency,73,background risk stress,0.20235,0.15224,0.48953,0.94342,0.50283
SYS002,Regional Power and Water Network,infrastructure interdependency,74,background risk stress,0.20289,0.15199,0.48306,0.94555,0.49618
SYS002,Regional Power and Water Network,infrastructure interdependency,75,background risk stress,0.19861,0.15173,0.47785,0.94761,0.49083
SYS002,Regional Power and Water Network,infrastructure interdependency,76,background risk stress,0.19957,0.15149,0.4721,0.94968,0.48493
SYS002,Regional Power and Water Network,infrastructure interdependency,77,background risk stress,0.2049,0.15124,0.46435,0.95186,0.47696
SYS002,Regional Power and Water Network,infrastructure interdependency,78,background risk stress,0.20516,0.15098,0.45629,0.95404,0.46868
SYS002,Regional Power and Water Network,infrastructure interdependency,79,background risk stress,0.20701,0.15071,0.44739,0.95626,0.45954
SYS003,Public Health Emergency Network,public health resilience,0,background risk stress,0.14153,0.1804,0.86537,0.70074,0.90632
SYS003,Public Health Emergency Network,public health resilience,1,background risk stress,0.14564,0.18031,0.89927,0.70156,0.94183
SYS003,Public Health Emergency Network,public health resilience,2,background risk stress,0.14281,0.18021,0.93406,0.70233,0.97826
SYS003,Public Health Emergency Network,public health resilience,3,background risk stress,0.1475,0.18012,0.96717,0.70318,1.0
SYS003,Public Health Emergency Network,public health resilience,4,background risk stress,0.14727,0.18002,1.0,0.70404,1.0
SYS003,Public Health Emergency Network,public health resilience,5,background risk stress,0.14614,0.17992,1.0,0.70487,1.0
SYS003,Public Health Emergency Network,public health resilience,6,background risk stress,0.14848,0.17982,1.0,0.70574,1.0
SYS003,Public Health Emergency Network,public health resilience,7,background risk stress,0.14866,0.17971,1.0,0.70662,1.0
SYS003,Public Health Emergency Network,public health resilience,8,background risk stress,0.14526,0.17961,1.0,0.70744,1.0
SYS003,Public Health Emergency Network,public health resilience,9,background risk stress,0.14952,0.17951,1.0,0.70833,1.0
SYS003,Public Health Emergency Network,public health resilience,10,background risk stress,0.15078,0.1794,1.0,0.70925,1.0
SYS003,Public Health Emergency Network,public health resilience,11,background risk stress,0.15059,0.17929,1.0,0.71017,1.0
SYS003,Public Health Emergency Network,public health resilience,12,Extreme rainfall and urban flooding,0.71481,0.17918,0.83946,0.72125,0.74286
SYS003,Public Health Emergency Network,public health resilience,13,background risk stress,0.15528,0.17785,0.86808,0.72226,0.90916
SYS003,Public Health Emergency Network,public health resilience,14,background risk stress,0.15477,0.17773,0.89678,0.72327,0.93922
SYS003,Public Health Emergency Network,public health resilience,15,background risk stress,0.15263,0.17761,0.92611,0.72424,0.96993
SYS003,Public Health Emergency Network,public health resilience,16,background risk stress,0.15206,0.17749,0.95553,0.72521,1.0
SYS003,Public Health Emergency Network,public health resilience,17,background risk stress,0.15189,0.17738,0.98492,0.72617,1.0
SYS003,Public Health Emergency Network,public health resilience,18,background risk stress,0.15765,0.17726,1.0,0.72723,1.0
SYS003,Public Health Emergency Network,public health resilience,19,background risk stress,0.15732,0.17713,1.0,0.72829,1.0
SYS003,Public Health Emergency Network,public health resilience,20,background risk stress,0.15729,0.177,1.0,0.72935,1.0
SYS003,Public Health Emergency Network,public health resilience,21,background risk stress,0.15661,0.17688,1.0,0.7304,1.0
SYS003,Public Health Emergency Network,public health resilience,22,background risk stress,0.15764,0.17675,1.0,0.73147,1.0
SYS003,Public Health Emergency Network,public health resilience,23,background risk stress,0.15611,0.17662,1.0,0.73252,1.0
SYS003,Public Health Emergency Network,public health resilience,24,background risk stress,0.15903,0.1765,1.0,0.73361,1.0
SYS003,Public Health Emergency Network,public health resilience,25,background risk stress,0.15669,0.17637,1.0,0.73467,1.0
SYS003,Public Health Emergency Network,public health resilience,26,background risk stress,0.16089,0.17624,1.0,0.7358,1.0
SYS003,Public Health Emergency Network,public health resilience,27,background risk stress,0.16155,0.1761,1.0,0.73695,1.0
SYS003,Public Health Emergency Network,public health resilience,28,Heatwave with power demand surge,0.74216,0.17597,0.82755,0.74855,0.72305
SYS003,Public Health Emergency Network,public health resilience,29,background risk stress,0.16388,0.17457,0.85059,0.74976,0.89084
SYS003,Public Health Emergency Network,public health resilience,30,background risk stress,0.16125,0.17443,0.8744,0.75091,0.91577
SYS003,Public Health Emergency Network,public health resilience,31,background risk stress,0.16067,0.17429,0.89829,0.75206,0.9408
SYS003,Public Health Emergency Network,public health resilience,32,background risk stress,0.1631,0.17415,0.92125,0.75326,0.96484
SYS003,Public Health Emergency Network,public health resilience,33,background risk stress,0.16639,0.17401,0.94297,0.75451,0.98759
SYS003,Public Health Emergency Network,public health resilience,34,background risk stress,0.16564,0.17386,0.96483,0.75575,1.0
SYS003,Public Health Emergency Network,public health resilience,35,background risk stress,0.16804,0.17371,0.98574,0.75704,1.0
SYS003,Public Health Emergency Network,public health resilience,36,background risk stress,0.16624,0.17355,1.0,0.7583,1.0
SYS003,Public Health Emergency Network,public health resilience,37,background risk stress,0.16659,0.1734,1.0,0.75956,1.0
SYS003,Public Health Emergency Network,public health resilience,38,background risk stress,0.17106,0.17325,1.0,0.76091,1.0
SYS003,Public Health Emergency Network,public health resilience,39,background risk stress,0.16604,0.17309,1.0,0.76217,1.0
SYS003,Public Health Emergency Network,public health resilience,40,background risk stress,0.16695,0.17294,1.0,0.76344,1.0
SYS003,Public Health Emergency Network,public health resilience,41,background risk stress,0.17045,0.17279,1.0,0.76478,1.0
SYS003,Public Health Emergency Network,public health resilience,42,background risk stress,0.17138,0.17263,1.0,0.76614,1.0
SYS003,Public Health Emergency Network,public health resilience,43,Wildfire smoke and evacuation pressure,0.74709,0.17246,0.82303,0.77787,0.74675
SYS003,Public Health Emergency Network,public health resilience,44,background risk stress,0.17192,0.17106,0.84047,0.77925,0.88024
SYS003,Public Health Emergency Network,public health resilience,45,background risk stress,0.17348,0.17089,0.85724,0.78066,0.8978
SYS003,Public Health Emergency Network,public health resilience,46,background risk stress,0.1732,0.17072,0.87397,0.78207,0.91533
SYS003,Public Health Emergency Network,public health resilience,47,background risk stress,0.17555,0.17055,0.88977,0.78353,0.93187
SYS003,Public Health Emergency Network,public health resilience,48,background risk stress,0.17784,0.17038,0.90464,0.78503,0.94745
SYS003,Public Health Emergency Network,public health resilience,49,background risk stress,0.17797,0.1702,0.91932,0.78653,0.96283
SYS003,Public Health Emergency Network,public health resilience,50,background risk stress,0.17718,0.17002,0.93413,0.78802,0.97833
SYS003,Public Health Emergency Network,public health resilience,51,background risk stress,0.17651,0.16984,0.94902,0.78949,0.99392
SYS003,Public Health Emergency Network,public health resilience,52,background risk stress,0.18076,0.16966,0.96231,0.79105,1.0
SYS003,Public Health Emergency Network,public health resilience,53,background risk stress,0.17758,0.16947,0.97654,0.79255,1.0
SYS003,Public Health Emergency Network,public health resilience,54,background risk stress,0.17956,0.16929,0.98995,0.79409,1.0
SYS003,Public Health Emergency Network,public health resilience,55,background risk stress,0.18203,0.16911,1.0,0.79568,1.0
SYS003,Public Health Emergency Network,public health resilience,56,background risk stress,0.18125,0.16892,1.0,0.79725,1.0
SYS003,Public Health Emergency Network,public health resilience,57,background risk stress,0.17965,0.16873,1.0,0.7988,1.0
SYS003,Public Health Emergency Network,public health resilience,58,background risk stress,0.18295,0.16854,1.0,0.80041,1.0
SYS003,Public Health Emergency Network,public health resilience,59,Drought with water and food stress,0.73883,0.16835,0.82249,0.81202,0.73244
SYS003,Public Health Emergency Network,public health resilience,60,background risk stress,0.18392,0.16696,0.83251,0.81366,0.87191
SYS003,Public Health Emergency Network,public health resilience,61,background risk stress,0.18695,0.16676,0.84135,0.81536,0.88116
SYS003,Public Health Emergency Network,public health resilience,62,background risk stress,0.18536,0.16656,0.85056,0.81703,0.89081
SYS003,Public Health Emergency Network,public health resilience,63,background risk stress,0.18532,0.16636,0.85962,0.8187,0.9003
SYS003,Public Health Emergency Network,public health resilience,64,background risk stress,0.1893,0.16616,0.86717,0.82045,0.9082
SYS003,Public Health Emergency Network,public health resilience,65,background risk stress,0.18655,0.16595,0.87548,0.82215,0.9169
SYS003,Public Health Emergency Network,public health resilience,66,background risk stress,0.1862,0.16574,0.88374,0.82384,0.92556
SYS003,Public Health Emergency Network,public health resilience,67,background risk stress,0.19093,0.16554,0.89023,0.82562,0.93235
SYS003,Public Health Emergency Network,public health resilience,68,background risk stress,0.19162,0.16533,0.89631,0.82742,0.93872
SYS003,Public Health Emergency Network,public health resilience,69,background risk stress,0.1864,0.16511,0.90399,0.82912,0.94676
SYS003,Public Health Emergency Network,public health resilience,70,Compound flood power and health disruption,0.81913,0.16491,0.69637,0.84222,0.60063
SYS003,Public Health Emergency Network,public health resilience,71,background risk stress,0.18783,0.16333,0.70212,0.84397,0.73535
SYS003,Public Health Emergency Network,public health resilience,72,background risk stress,0.19444,0.16312,0.70545,0.84583,0.73884
SYS003,Public Health Emergency Network,public health resilience,73,background risk stress,0.19528,0.1629,0.70832,0.84772,0.74184
SYS003,Public Health Emergency Network,public health resilience,74,background risk stress,0.19214,0.16267,0.71207,0.84955,0.74576
SYS003,Public Health Emergency Network,public health resilience,75,background risk stress,0.1918,0.16245,0.71575,0.85138,0.74962
SYS003,Public Health Emergency Network,public health resilience,76,background risk stress,0.19571,0.16223,0.71792,0.85328,0.7519
SYS003,Public Health Emergency Network,public health resilience,77,background risk stress,0.19831,0.16201,0.71903,0.85523,0.75306
SYS003,Public Health Emergency Network,public health resilience,78,background risk stress,0.19344,0.16177,0.7216,0.85709,0.75575
SYS003,Public Health Emergency Network,public health resilience,79,background risk stress,0.19587,0.16155,0.72317,0.859,0.75739
SYS004,Coastal Wetland and Housing Corridor,social-ecological risk,0,background risk stress,0.14624,0.112,0.83164,0.68151,0.86261
