strategy_id,strategy,system_domain,monitoring_value,predictive_maintenance,cyber_physical_security,digital_twin_capacity,redundancy_and_fallback,climate_adaptation,governance_quality,equity_performance,ecological_integration,fragility_risk,implementation_burden,critical_function,infrastructure_resilience_value,governance_gap,equity_gap,redundancy_gap,adjusted_value,scenario,rank
IIR003,Digital Twin and Scenario Stress Testing,digital twins simulation and compound disruption scenario analysis,8.3,8.5,8.1,9.3,8.3,8.6,8.5,8.1,8.2,3,3.7,tests climate cyber physical operational and cascading infrastructure failure pathways,8.655999999999999,0,0.40000000000000036,0.1999999999999993,8.61,Digital-twin-first,1
IIR006,Equity-Centered Climate Adaptation Portfolio,climate adaptation environmental justice and community protection,8.2,8.1,8,8.4,8.5,9.3,8.9,9.3,9,2.6,3.9,prioritizes heat flood wildfire drought coastal risk environmental justice and vulnerable critical services,8.604000000000003,0,0,0,8.604000000000003,Digital-twin-first,2
IIR004,Predictive Maintenance and Asset Renewal,predictive maintenance inspection prioritization and renewal planning,8.5,9.3,8.2,8.6,8.4,8.4,8.4,8.2,8,2.8,3.8,turns monitoring and inspection data into repair renewal and backlog reduction,8.545,0.09999999999999964,0.3000000000000007,0.09999999999999964,8.507,Digital-twin-first,3
IIR001,Critical Function and Dependency Mapping,critical services dependency visibility and single-point-of-failure mapping,8.4,7.8,8,8.2,8.7,8.1,8.8,8.2,7.8,2.9,3.2,maps critical services assets digital dependencies communications vendors workers and cascade pathways,8.253,0,0.3000000000000007,0,8.229,Digital-twin-first,4
IIR005,Cyber-Physical Security and Recovery Program,operational technology cyber resilience and recovery,8.1,8,9.4,8,8.6,8,8.7,8,7.8,2.7,3.7,protects connected infrastructure against cyber-physical compromise unsafe automation and recovery failure,8.250999999999998,0,0.5,0,8.210999999999999,Digital-twin-first,5
IIR007,Interoperability and Vendor Portability Strategy,open standards data rights vendor governance and portability,8,7.8,8.6,8.2,8.4,8,8.8,8.1,7.8,3,3.6,reduces lock-in through open standards data portability contract controls and migration readiness,8.200999999999999,0,0.40000000000000036,0.09999999999999964,8.161999999999999,Digital-twin-first,6
IIR002,Sensor Monitoring and Early Warning Network,sensing telemetry early warning and situational awareness,9.2,8.2,8,8,8.1,8.3,8.2,8,8.1,3.1,3.5,detects stress deterioration hazards and anomalies before visible infrastructure failure,8.211,0.3000000000000007,0.5,0.40000000000000036,8.122,Digital-twin-first,7
IIR006,Equity-Centered Climate Adaptation Portfolio,climate adaptation environmental justice and community protection,8.2,8.1,8,8.4,8.5,9.3,8.9,9.3,9,2.6,3.9,prioritizes heat flood wildfire drought coastal risk environmental justice and vulnerable critical services,9.648000000000003,0,0,0,9.648000000000003,Equity-first,1
IIR004,Predictive Maintenance and Asset Renewal,predictive maintenance inspection prioritization and renewal planning,8.5,9.3,8.2,8.6,8.4,8.4,8.4,8.2,8,2.8,3.8,turns monitoring and inspection data into repair renewal and backlog reduction,9.173,0.09999999999999964,0.3000000000000007,0.09999999999999964,9.135,Equity-first,2
IIR003,Digital Twin and Scenario Stress Testing,digital twins simulation and compound disruption scenario analysis,8.3,8.5,8.1,9.3,8.3,8.6,8.5,8.1,8.2,3,3.7,tests climate cyber physical operational and cascading infrastructure failure pathways,9.157000000000002,0,0.40000000000000036,0.1999999999999993,9.111000000000002,Equity-first,3
IIR001,Critical Function and Dependency Mapping,critical services dependency visibility and single-point-of-failure mapping,8.4,7.8,8,8.2,8.7,8.1,8.8,8.2,7.8,2.9,3.2,maps critical services assets digital dependencies communications vendors workers and cascade pathways,9.016,0,0.3000000000000007,0,8.991999999999999,Equity-first,4
IIR005,Cyber-Physical Security and Recovery Program,operational technology cyber resilience and recovery,8.1,8,9.4,8,8.6,8,8.7,8,7.8,2.7,3.7,protects connected infrastructure against cyber-physical compromise unsafe automation and recovery failure,8.998999999999999,0,0.5,0,8.959,Equity-first,5
IIR007,Interoperability and Vendor Portability Strategy,open standards data rights vendor governance and portability,8,7.8,8.6,8.2,8.4,8,8.8,8.1,7.8,3,3.6,reduces lock-in through open standards data portability contract controls and migration readiness,8.942,0,0.40000000000000036,0.09999999999999964,8.903,Equity-first,6
IIR002,Sensor Monitoring and Early Warning Network,sensing telemetry early warning and situational awareness,9.2,8.2,8,8,8.1,8.3,8.2,8,8.1,3.1,3.5,detects stress deterioration hazards and anomalies before visible infrastructure failure,8.934999999999999,0.3000000000000007,0.5,0.40000000000000036,8.845999999999998,Equity-first,7
IIR006,Equity-Centered Climate Adaptation Portfolio,climate adaptation environmental justice and community protection,8.2,8.1,8,8.4,8.5,9.3,8.9,9.3,9,2.6,3.9,prioritizes heat flood wildfire drought coastal risk environmental justice and vulnerable critical services,9.188000000000002,0,0,0,9.188000000000002,Governance-first,1
IIR004,Predictive Maintenance and Asset Renewal,predictive maintenance inspection prioritization and renewal planning,8.5,9.3,8.2,8.6,8.4,8.4,8.4,8.2,8,2.8,3.8,turns monitoring and inspection data into repair renewal and backlog reduction,8.869,0.09999999999999964,0.3000000000000007,0.09999999999999964,8.831,Governance-first,2
IIR003,Digital Twin and Scenario Stress Testing,digital twins simulation and compound disruption scenario analysis,8.3,8.5,8.1,9.3,8.3,8.6,8.5,8.1,8.2,3,3.7,tests climate cyber physical operational and cascading infrastructure failure pathways,8.863000000000001,0,0.40000000000000036,0.1999999999999993,8.817000000000002,Governance-first,3
IIR005,Cyber-Physical Security and Recovery Program,operational technology cyber resilience and recovery,8.1,8,9.4,8,8.6,8,8.7,8,7.8,2.7,3.7,protects connected infrastructure against cyber-physical compromise unsafe automation and recovery failure,8.836999999999998,0,0.5,0,8.796999999999999,Governance-first,4
IIR001,Critical Function and Dependency Mapping,critical services dependency visibility and single-point-of-failure mapping,8.4,7.8,8,8.2,8.7,8.1,8.8,8.2,7.8,2.9,3.2,maps critical services assets digital dependencies communications vendors workers and cascade pathways,8.790000000000001,0,0.3000000000000007,0,8.766,Governance-first,5
IIR007,Interoperability and Vendor Portability Strategy,open standards data rights vendor governance and portability,8,7.8,8.6,8.2,8.4,8,8.8,8.1,7.8,3,3.6,reduces lock-in through open standards data portability contract controls and migration readiness,8.754000000000001,0,0.40000000000000036,0.09999999999999964,8.715000000000002,Governance-first,6
IIR002,Sensor Monitoring and Early Warning Network,sensing telemetry early warning and situational awareness,9.2,8.2,8,8,8.1,8.3,8.2,8,8.1,3.1,3.5,detects stress deterioration hazards and anomalies before visible infrastructure failure,8.632999999999997,0.3000000000000007,0.5,0.40000000000000036,8.543999999999997,Governance-first,7
IIR006,Equity-Centered Climate Adaptation Portfolio,climate adaptation environmental justice and community protection,8.2,8.1,8,8.4,8.5,9.3,8.9,9.3,9,2.6,3.9,prioritizes heat flood wildfire drought coastal risk environmental justice and vulnerable critical services,7.927,0,0,0,7.927,Implementation-aware,1
IIR004,Predictive Maintenance and Asset Renewal,predictive maintenance inspection prioritization and renewal planning,8.5,9.3,8.2,8.6,8.4,8.4,8.4,8.2,8,2.8,3.8,turns monitoring and inspection data into repair renewal and backlog reduction,7.735000000000001,0.09999999999999964,0.3000000000000007,0.09999999999999964,7.697000000000002,Implementation-aware,2
IIR003,Digital Twin and Scenario Stress Testing,digital twins simulation and compound disruption scenario analysis,8.3,8.5,8.1,9.3,8.3,8.6,8.5,8.1,8.2,3,3.7,tests climate cyber physical operational and cascading infrastructure failure pathways,7.723,0,0.40000000000000036,0.1999999999999993,7.677,Implementation-aware,3
IIR001,Critical Function and Dependency Mapping,critical services dependency visibility and single-point-of-failure mapping,8.4,7.8,8,8.2,8.7,8.1,8.8,8.2,7.8,2.9,3.2,maps critical services assets digital dependencies communications vendors workers and cascade pathways,7.594999999999999,0,0.3000000000000007,0,7.570999999999999,Implementation-aware,4
IIR005,Cyber-Physical Security and Recovery Program,operational technology cyber resilience and recovery,8.1,8,9.4,8,8.6,8,8.7,8,7.8,2.7,3.7,protects connected infrastructure against cyber-physical compromise unsafe automation and recovery failure,7.608999999999999,0,0.5,0,7.568999999999999,Implementation-aware,5
IIR007,Interoperability and Vendor Portability Strategy,open standards data rights vendor governance and portability,8,7.8,8.6,8.2,8.4,8,8.8,8.1,7.8,3,3.6,reduces lock-in through open standards data portability contract controls and migration readiness,7.513999999999999,0,0.40000000000000036,0.09999999999999964,7.475,Implementation-aware,6
IIR002,Sensor Monitoring and Early Warning Network,sensing telemetry early warning and situational awareness,9.2,8.2,8,8,8.1,8.3,8.2,8,8.1,3.1,3.5,detects stress deterioration hazards and anomalies before visible infrastructure failure,7.547000000000001,0.3000000000000007,0.5,0.40000000000000036,7.458,Implementation-aware,7
IIR004,Predictive Maintenance and Asset Renewal,predictive maintenance inspection prioritization and renewal planning,8.5,9.3,8.2,8.6,8.4,8.4,8.4,8.2,8,2.8,3.8,turns monitoring and inspection data into repair renewal and backlog reduction,8.541000000000002,0.09999999999999964,0.3000000000000007,0.09999999999999964,8.503000000000002,Maintenance-first,1
IIR006,Equity-Centered Climate Adaptation Portfolio,climate adaptation environmental justice and community protection,8.2,8.1,8,8.4,8.5,9.3,8.9,9.3,9,2.6,3.9,prioritizes heat flood wildfire drought coastal risk environmental justice and vulnerable critical services,8.415000000000001,0,0,0,8.415000000000001,Maintenance-first,2
IIR003,Digital Twin and Scenario Stress Testing,digital twins simulation and compound disruption scenario analysis,8.3,8.5,8.1,9.3,8.3,8.6,8.5,8.1,8.2,3,3.7,tests climate cyber physical operational and cascading infrastructure failure pathways,8.362,0,0.40000000000000036,0.1999999999999993,8.316,Maintenance-first,3
IIR005,Cyber-Physical Security and Recovery Program,operational technology cyber resilience and recovery,8.1,8,9.4,8,8.6,8,8.7,8,7.8,2.7,3.7,protects connected infrastructure against cyber-physical compromise unsafe automation and recovery failure,8.154,0,0.5,0,8.114,Maintenance-first,4
IIR001,Critical Function and Dependency Mapping,critical services dependency visibility and single-point-of-failure mapping,8.4,7.8,8,8.2,8.7,8.1,8.8,8.2,7.8,2.9,3.2,maps critical services assets digital dependencies communications vendors workers and cascade pathways,8.072,0,0.3000000000000007,0,8.047999999999998,Maintenance-first,5
IIR002,Sensor Monitoring and Early Warning Network,sensing telemetry early warning and situational awareness,9.2,8.2,8,8,8.1,8.3,8.2,8,8.1,3.1,3.5,detects stress deterioration hazards and anomalies before visible infrastructure failure,8.126999999999997,0.3000000000000007,0.5,0.40000000000000036,8.037999999999997,Maintenance-first,6
IIR007,Interoperability and Vendor Portability Strategy,open standards data rights vendor governance and portability,8,7.8,8.6,8.2,8.4,8,8.8,8.1,7.8,3,3.6,reduces lock-in through open standards data portability contract controls and migration readiness,8.02,0,0.40000000000000036,0.09999999999999964,7.981,Maintenance-first,7
IIR006,Equity-Centered Climate Adaptation Portfolio,climate adaptation environmental justice and community protection,8.2,8.1,8,8.4,8.5,9.3,8.9,9.3,9,2.6,3.9,prioritizes heat flood wildfire drought coastal risk environmental justice and vulnerable critical services,8.347,0,0,0,8.347,Monitoring-first,1
IIR004,Predictive Maintenance and Asset Renewal,predictive maintenance inspection prioritization and renewal planning,8.5,9.3,8.2,8.6,8.4,8.4,8.4,8.2,8,2.8,3.8,turns monitoring and inspection data into repair renewal and backlog reduction,8.298000000000002,0.09999999999999964,0.3000000000000007,0.09999999999999964,8.260000000000002,Monitoring-first,2
IIR003,Digital Twin and Scenario Stress Testing,digital twins simulation and compound disruption scenario analysis,8.3,8.5,8.1,9.3,8.3,8.6,8.5,8.1,8.2,3,3.7,tests climate cyber physical operational and cascading infrastructure failure pathways,8.239,0,0.40000000000000036,0.1999999999999993,8.193000000000001,Monitoring-first,3
IIR002,Sensor Monitoring and Early Warning Network,sensing telemetry early warning and situational awareness,9.2,8.2,8,8,8.1,8.3,8.2,8,8.1,3.1,3.5,detects stress deterioration hazards and anomalies before visible infrastructure failure,8.256999999999998,0.3000000000000007,0.5,0.40000000000000036,8.167999999999997,Monitoring-first,4
IIR001,Critical Function and Dependency Mapping,critical services dependency visibility and single-point-of-failure mapping,8.4,7.8,8,8.2,8.7,8.1,8.8,8.2,7.8,2.9,3.2,maps critical services assets digital dependencies communications vendors workers and cascade pathways,8.101999999999999,0,0.3000000000000007,0,8.077999999999998,Monitoring-first,5
IIR005,Cyber-Physical Security and Recovery Program,operational technology cyber resilience and recovery,8.1,8,9.4,8,8.6,8,8.7,8,7.8,2.7,3.7,protects connected infrastructure against cyber-physical compromise unsafe automation and recovery failure,8.082999999999998,0,0.5,0,8.043,Monitoring-first,6
IIR007,Interoperability and Vendor Portability Strategy,open standards data rights vendor governance and portability,8,7.8,8.6,8.2,8.4,8,8.8,8.1,7.8,3,3.6,reduces lock-in through open standards data portability contract controls and migration readiness,7.9719999999999995,0,0.40000000000000036,0.09999999999999964,7.933,Monitoring-first,7
