simulation_id,strategy_id,strategy,rank,infrastructure_resilience_value,winner
6,IIR005,Cyber-Physical Security and Recovery Program,1,8.09017,Cyber-Physical Security and Recovery Program
6,IIR006,Equity-Centered Climate Adaptation Portfolio,2,8.06709,Cyber-Physical Security and Recovery Program
6,IIR004,Predictive Maintenance and Asset Renewal,3,7.9705,Cyber-Physical Security and Recovery Program
6,IIR003,Digital Twin and Scenario Stress Testing,4,7.86352,Cyber-Physical Security and Recovery Program
6,IIR001,Critical Function and Dependency Mapping,5,7.84263,Cyber-Physical Security and Recovery Program
6,IIR007,Interoperability and Vendor Portability Strategy,6,7.7426,Cyber-Physical Security and Recovery Program
6,IIR002,Sensor Monitoring and Early Warning Network,7,7.60992,Cyber-Physical Security and Recovery Program
7,IIR006,Equity-Centered Climate Adaptation Portfolio,1,8.41743,Equity-Centered Climate Adaptation Portfolio
7,IIR002,Sensor Monitoring and Early Warning Network,2,8.12812,Equity-Centered Climate Adaptation Portfolio
7,IIR003,Digital Twin and Scenario Stress Testing,3,8.0177,Equity-Centered Climate Adaptation Portfolio
7,IIR001,Critical Function and Dependency Mapping,4,7.85489,Equity-Centered Climate Adaptation Portfolio
7,IIR005,Cyber-Physical Security and Recovery Program,5,7.75441,Equity-Centered Climate Adaptation Portfolio
7,IIR004,Predictive Maintenance and Asset Renewal,6,7.72575,Equity-Centered Climate Adaptation Portfolio
7,IIR007,Interoperability and Vendor Portability Strategy,7,7.51363,Equity-Centered Climate Adaptation Portfolio
8,IIR004,Predictive Maintenance and Asset Renewal,1,8.1504,Predictive Maintenance and Asset Renewal
8,IIR006,Equity-Centered Climate Adaptation Portfolio,2,8.08497,Predictive Maintenance and Asset Renewal
8,IIR003,Digital Twin and Scenario Stress Testing,3,8.04981,Predictive Maintenance and Asset Renewal
8,IIR007,Interoperability and Vendor Portability Strategy,4,7.94019,Predictive Maintenance and Asset Renewal
8,IIR002,Sensor Monitoring and Early Warning Network,5,7.87223,Predictive Maintenance and Asset Renewal
8,IIR005,Cyber-Physical Security and Recovery Program,6,7.72045,Predictive Maintenance and Asset Renewal
8,IIR001,Critical Function and Dependency Mapping,7,7.69539,Predictive Maintenance and Asset Renewal
9,IIR006,Equity-Centered Climate Adaptation Portfolio,1,8.25487,Equity-Centered Climate Adaptation Portfolio
9,IIR003,Digital Twin and Scenario Stress Testing,2,8.23911,Equity-Centered Climate Adaptation Portfolio
9,IIR004,Predictive Maintenance and Asset Renewal,3,7.97312,Equity-Centered Climate Adaptation Portfolio
9,IIR005,Cyber-Physical Security and Recovery Program,4,7.88529,Equity-Centered Climate Adaptation Portfolio
9,IIR002,Sensor Monitoring and Early Warning Network,5,7.76089,Equity-Centered Climate Adaptation Portfolio
9,IIR007,Interoperability and Vendor Portability Strategy,6,7.37642,Equity-Centered Climate Adaptation Portfolio
9,IIR001,Critical Function and Dependency Mapping,7,7.24758,Equity-Centered Climate Adaptation Portfolio
10,IIR006,Equity-Centered Climate Adaptation Portfolio,1,8.07168,Equity-Centered Climate Adaptation Portfolio
10,IIR001,Critical Function and Dependency Mapping,2,7.9231,Equity-Centered Climate Adaptation Portfolio
10,IIR003,Digital Twin and Scenario Stress Testing,3,7.90219,Equity-Centered Climate Adaptation Portfolio
10,IIR002,Sensor Monitoring and Early Warning Network,4,7.70176,Equity-Centered Climate Adaptation Portfolio
10,IIR005,Cyber-Physical Security and Recovery Program,5,7.63257,Equity-Centered Climate Adaptation Portfolio
10,IIR004,Predictive Maintenance and Asset Renewal,6,7.62599,Equity-Centered Climate Adaptation Portfolio
10,IIR007,Interoperability and Vendor Portability Strategy,7,7.55992,Equity-Centered Climate Adaptation Portfolio
11,IIR004,Predictive Maintenance and Asset Renewal,1,8.24046,Predictive Maintenance and Asset Renewal
11,IIR006,Equity-Centered Climate Adaptation Portfolio,2,8.20967,Predictive Maintenance and Asset Renewal
11,IIR003,Digital Twin and Scenario Stress Testing,3,8.02014,Predictive Maintenance and Asset Renewal
11,IIR001,Critical Function and Dependency Mapping,4,7.98364,Predictive Maintenance and Asset Renewal
11,IIR002,Sensor Monitoring and Early Warning Network,5,7.83919,Predictive Maintenance and Asset Renewal
11,IIR005,Cyber-Physical Security and Recovery Program,6,7.8075,Predictive Maintenance and Asset Renewal
11,IIR007,Interoperability and Vendor Portability Strategy,7,7.44856,Predictive Maintenance and Asset Renewal
12,IIR006,Equity-Centered Climate Adaptation Portfolio,1,8.45512,Equity-Centered Climate Adaptation Portfolio
12,IIR003,Digital Twin and Scenario Stress Testing,2,7.88257,Equity-Centered Climate Adaptation Portfolio
12,IIR001,Critical Function and Dependency Mapping,3,7.80917,Equity-Centered Climate Adaptation Portfolio
12,IIR007,Interoperability and Vendor Portability Strategy,4,7.80852,Equity-Centered Climate Adaptation Portfolio
12,IIR004,Predictive Maintenance and Asset Renewal,5,7.78328,Equity-Centered Climate Adaptation Portfolio
12,IIR005,Cyber-Physical Security and Recovery Program,6,7.77324,Equity-Centered Climate Adaptation Portfolio
12,IIR002,Sensor Monitoring and Early Warning Network,7,7.4956,Equity-Centered Climate Adaptation Portfolio
13,IIR003,Digital Twin and Scenario Stress Testing,1,8.29518,Digital Twin and Scenario Stress Testing
13,IIR006,Equity-Centered Climate Adaptation Portfolio,2,8.26165,Digital Twin and Scenario Stress Testing
13,IIR004,Predictive Maintenance and Asset Renewal,3,8.13095,Digital Twin and Scenario Stress Testing
13,IIR002,Sensor Monitoring and Early Warning Network,4,7.99113,Digital Twin and Scenario Stress Testing
13,IIR001,Critical Function and Dependency Mapping,5,7.75526,Digital Twin and Scenario Stress Testing
13,IIR005,Cyber-Physical Security and Recovery Program,6,7.73225,Digital Twin and Scenario Stress Testing
13,IIR007,Interoperability and Vendor Portability Strategy,7,7.58436,Digital Twin and Scenario Stress Testing
14,IIR006,Equity-Centered Climate Adaptation Portfolio,1,8.15557,Equity-Centered Climate Adaptation Portfolio
14,IIR004,Predictive Maintenance and Asset Renewal,2,7.96706,Equity-Centered Climate Adaptation Portfolio
14,IIR002,Sensor Monitoring and Early Warning Network,3,7.96543,Equity-Centered Climate Adaptation Portfolio
14,IIR005,Cyber-Physical Security and Recovery Program,4,7.91116,Equity-Centered Climate Adaptation Portfolio
14,IIR007,Interoperability and Vendor Portability Strategy,5,7.88799,Equity-Centered Climate Adaptation Portfolio
14,IIR001,Critical Function and Dependency Mapping,6,7.67601,Equity-Centered Climate Adaptation Portfolio
14,IIR003,Digital Twin and Scenario Stress Testing,7,7.67374,Equity-Centered Climate Adaptation Portfolio
15,IIR006,Equity-Centered Climate Adaptation Portfolio,1,8.2166,Equity-Centered Climate Adaptation Portfolio
15,IIR003,Digital Twin and Scenario Stress Testing,2,8.0664,Equity-Centered Climate Adaptation Portfolio
15,IIR002,Sensor Monitoring and Early Warning Network,3,8.01686,Equity-Centered Climate Adaptation Portfolio
15,IIR004,Predictive Maintenance and Asset Renewal,4,7.85268,Equity-Centered Climate Adaptation Portfolio
15,IIR005,Cyber-Physical Security and Recovery Program,5,7.72619,Equity-Centered Climate Adaptation Portfolio
15,IIR001,Critical Function and Dependency Mapping,6,7.60834,Equity-Centered Climate Adaptation Portfolio
15,IIR007,Interoperability and Vendor Portability Strategy,7,7.4327,Equity-Centered Climate Adaptation Portfolio
16,IIR006,Equity-Centered Climate Adaptation Portfolio,1,8.27939,Equity-Centered Climate Adaptation Portfolio
16,IIR004,Predictive Maintenance and Asset Renewal,2,8.13423,Equity-Centered Climate Adaptation Portfolio
16,IIR002,Sensor Monitoring and Early Warning Network,3,8.10539,Equity-Centered Climate Adaptation Portfolio
16,IIR003,Digital Twin and Scenario Stress Testing,4,8.1039,Equity-Centered Climate Adaptation Portfolio
16,IIR005,Cyber-Physical Security and Recovery Program,5,7.79735,Equity-Centered Climate Adaptation Portfolio
16,IIR001,Critical Function and Dependency Mapping,6,7.79284,Equity-Centered Climate Adaptation Portfolio
16,IIR007,Interoperability and Vendor Portability Strategy,7,7.58742,Equity-Centered Climate Adaptation Portfolio
17,IIR006,Equity-Centered Climate Adaptation Portfolio,1,8.14784,Equity-Centered Climate Adaptation Portfolio
17,IIR001,Critical Function and Dependency Mapping,2,8.10486,Equity-Centered Climate Adaptation Portfolio
17,IIR005,Cyber-Physical Security and Recovery Program,3,8.0866,Equity-Centered Climate Adaptation Portfolio
17,IIR004,Predictive Maintenance and Asset Renewal,4,7.91527,Equity-Centered Climate Adaptation Portfolio
17,IIR002,Sensor Monitoring and Early Warning Network,5,7.85631,Equity-Centered Climate Adaptation Portfolio
17,IIR007,Interoperability and Vendor Portability Strategy,6,7.8445,Equity-Centered Climate Adaptation Portfolio
17,IIR003,Digital Twin and Scenario Stress Testing,7,7.80029,Equity-Centered Climate Adaptation Portfolio
18,IIR006,Equity-Centered Climate Adaptation Portfolio,1,8.14036,Equity-Centered Climate Adaptation Portfolio
18,IIR003,Digital Twin and Scenario Stress Testing,2,8.11553,Equity-Centered Climate Adaptation Portfolio
18,IIR001,Critical Function and Dependency Mapping,3,8.03554,Equity-Centered Climate Adaptation Portfolio
18,IIR002,Sensor Monitoring and Early Warning Network,4,7.74292,Equity-Centered Climate Adaptation Portfolio
18,IIR004,Predictive Maintenance and Asset Renewal,5,7.74082,Equity-Centered Climate Adaptation Portfolio
18,IIR005,Cyber-Physical Security and Recovery Program,6,7.57059,Equity-Centered Climate Adaptation Portfolio
18,IIR007,Interoperability and Vendor Portability Strategy,7,7.53341,Equity-Centered Climate Adaptation Portfolio
19,IIR006,Equity-Centered Climate Adaptation Portfolio,1,8.1917,Equity-Centered Climate Adaptation Portfolio
19,IIR004,Predictive Maintenance and Asset Renewal,2,8.0252,Equity-Centered Climate Adaptation Portfolio
19,IIR003,Digital Twin and Scenario Stress Testing,3,8.02217,Equity-Centered Climate Adaptation Portfolio
19,IIR001,Critical Function and Dependency Mapping,4,7.99485,Equity-Centered Climate Adaptation Portfolio
19,IIR007,Interoperability and Vendor Portability Strategy,5,7.8667,Equity-Centered Climate Adaptation Portfolio
19,IIR005,Cyber-Physical Security and Recovery Program,6,7.63652,Equity-Centered Climate Adaptation Portfolio
19,IIR002,Sensor Monitoring and Early Warning Network,7,7.49522,Equity-Centered Climate Adaptation Portfolio
20,IIR006,Equity-Centered Climate Adaptation Portfolio,1,8.16371,Equity-Centered Climate Adaptation Portfolio
20,IIR003,Digital Twin and Scenario Stress Testing,2,8.1367,Equity-Centered Climate Adaptation Portfolio
20,IIR004,Predictive Maintenance and Asset Renewal,3,8.1246,Equity-Centered Climate Adaptation Portfolio
20,IIR002,Sensor Monitoring and Early Warning Network,4,8.05445,Equity-Centered Climate Adaptation Portfolio
20,IIR005,Cyber-Physical Security and Recovery Program,5,8.00098,Equity-Centered Climate Adaptation Portfolio
20,IIR001,Critical Function and Dependency Mapping,6,7.70807,Equity-Centered Climate Adaptation Portfolio
20,IIR007,Interoperability and Vendor Portability Strategy,7,7.33298,Equity-Centered Climate Adaptation Portfolio
21,IIR003,Digital Twin and Scenario Stress Testing,1,8.23409,Digital Twin and Scenario Stress Testing
21,IIR006,Equity-Centered Climate Adaptation Portfolio,2,7.9328,Digital Twin and Scenario Stress Testing
21,IIR007,Interoperability and Vendor Portability Strategy,3,7.93152,Digital Twin and Scenario Stress Testing
21,IIR004,Predictive Maintenance and Asset Renewal,4,7.87193,Digital Twin and Scenario Stress Testing
21,IIR001,Critical Function and Dependency Mapping,5,7.81773,Digital Twin and Scenario Stress Testing
21,IIR002,Sensor Monitoring and Early Warning Network,6,7.7796,Digital Twin and Scenario Stress Testing
21,IIR005,Cyber-Physical Security and Recovery Program,7,7.53743,Digital Twin and Scenario Stress Testing
22,IIR006,Equity-Centered Climate Adaptation Portfolio,1,8.45505,Equity-Centered Climate Adaptation Portfolio
22,IIR005,Cyber-Physical Security and Recovery Program,2,8.0713,Equity-Centered Climate Adaptation Portfolio
22,IIR003,Digital Twin and Scenario Stress Testing,3,7.92135,Equity-Centered Climate Adaptation Portfolio
22,IIR007,Interoperability and Vendor Portability Strategy,4,7.83531,Equity-Centered Climate Adaptation Portfolio
22,IIR002,Sensor Monitoring and Early Warning Network,5,7.80856,Equity-Centered Climate Adaptation Portfolio
22,IIR004,Predictive Maintenance and Asset Renewal,6,7.7664,Equity-Centered Climate Adaptation Portfolio
22,IIR001,Critical Function and Dependency Mapping,7,7.61418,Equity-Centered Climate Adaptation Portfolio
23,IIR006,Equity-Centered Climate Adaptation Portfolio,1,8.44758,Equity-Centered Climate Adaptation Portfolio
23,IIR007,Interoperability and Vendor Portability Strategy,2,8.16068,Equity-Centered Climate Adaptation Portfolio
23,IIR001,Critical Function and Dependency Mapping,3,7.89573,Equity-Centered Climate Adaptation Portfolio
23,IIR004,Predictive Maintenance and Asset Renewal,4,7.79965,Equity-Centered Climate Adaptation Portfolio
23,IIR002,Sensor Monitoring and Early Warning Network,5,7.79128,Equity-Centered Climate Adaptation Portfolio
23,IIR005,Cyber-Physical Security and Recovery Program,6,7.78497,Equity-Centered Climate Adaptation Portfolio
23,IIR003,Digital Twin and Scenario Stress Testing,7,7.77435,Equity-Centered Climate Adaptation Portfolio
24,IIR006,Equity-Centered Climate Adaptation Portfolio,1,8.22395,Equity-Centered Climate Adaptation Portfolio
24,IIR004,Predictive Maintenance and Asset Renewal,2,8.01963,Equity-Centered Climate Adaptation Portfolio
24,IIR003,Digital Twin and Scenario Stress Testing,3,7.98827,Equity-Centered Climate Adaptation Portfolio
24,IIR001,Critical Function and Dependency Mapping,4,7.89074,Equity-Centered Climate Adaptation Portfolio
24,IIR002,Sensor Monitoring and Early Warning Network,5,7.83641,Equity-Centered Climate Adaptation Portfolio
24,IIR007,Interoperability and Vendor Portability Strategy,6,7.81006,Equity-Centered Climate Adaptation Portfolio
24,IIR005,Cyber-Physical Security and Recovery Program,7,7.59797,Equity-Centered Climate Adaptation Portfolio
25,IIR006,Equity-Centered Climate Adaptation Portfolio,1,8.17552,Equity-Centered Climate Adaptation Portfolio
25,IIR005,Cyber-Physical Security and Recovery Program,2,7.78128,Equity-Centered Climate Adaptation Portfolio
25,IIR004,Predictive Maintenance and Asset Renewal,3,7.76501,Equity-Centered Climate Adaptation Portfolio
25,IIR003,Digital Twin and Scenario Stress Testing,4,7.76314,Equity-Centered Climate Adaptation Portfolio
25,IIR001,Critical Function and Dependency Mapping,5,7.66539,Equity-Centered Climate Adaptation Portfolio
25,IIR007,Interoperability and Vendor Portability Strategy,6,7.65901,Equity-Centered Climate Adaptation Portfolio
25,IIR002,Sensor Monitoring and Early Warning Network,7,7.58143,Equity-Centered Climate Adaptation Portfolio
26,IIR006,Equity-Centered Climate Adaptation Portfolio,1,8.36021,Equity-Centered Climate Adaptation Portfolio
26,IIR005,Cyber-Physical Security and Recovery Program,2,8.06886,Equity-Centered Climate Adaptation Portfolio
26,IIR004,Predictive Maintenance and Asset Renewal,3,8.00823,Equity-Centered Climate Adaptation Portfolio
26,IIR007,Interoperability and Vendor Portability Strategy,4,7.8918,Equity-Centered Climate Adaptation Portfolio
26,IIR001,Critical Function and Dependency Mapping,5,7.79503,Equity-Centered Climate Adaptation Portfolio
26,IIR003,Digital Twin and Scenario Stress Testing,6,7.66674,Equity-Centered Climate Adaptation Portfolio
26,IIR002,Sensor Monitoring and Early Warning Network,7,7.59121,Equity-Centered Climate Adaptation Portfolio
27,IIR006,Equity-Centered Climate Adaptation Portfolio,1,8.30809,Equity-Centered Climate Adaptation Portfolio
27,IIR004,Predictive Maintenance and Asset Renewal,2,7.93541,Equity-Centered Climate Adaptation Portfolio
27,IIR005,Cyber-Physical Security and Recovery Program,3,7.87381,Equity-Centered Climate Adaptation Portfolio
27,IIR001,Critical Function and Dependency Mapping,4,7.86616,Equity-Centered Climate Adaptation Portfolio
27,IIR002,Sensor Monitoring and Early Warning Network,5,7.81695,Equity-Centered Climate Adaptation Portfolio
27,IIR003,Digital Twin and Scenario Stress Testing,6,7.69981,Equity-Centered Climate Adaptation Portfolio
27,IIR007,Interoperability and Vendor Portability Strategy,7,7.46061,Equity-Centered Climate Adaptation Portfolio
28,IIR002,Sensor Monitoring and Early Warning Network,1,8.27525,Sensor Monitoring and Early Warning Network
28,IIR006,Equity-Centered Climate Adaptation Portfolio,2,8.06816,Sensor Monitoring and Early Warning Network
28,IIR004,Predictive Maintenance and Asset Renewal,3,8.01575,Sensor Monitoring and Early Warning Network
28,IIR005,Cyber-Physical Security and Recovery Program,4,7.96327,Sensor Monitoring and Early Warning Network
28,IIR003,Digital Twin and Scenario Stress Testing,5,7.94828,Sensor Monitoring and Early Warning Network
28,IIR001,Critical Function and Dependency Mapping,6,7.90074,Sensor Monitoring and Early Warning Network
28,IIR007,Interoperability and Vendor Portability Strategy,7,7.85432,Sensor Monitoring and Early Warning Network
29,IIR004,Predictive Maintenance and Asset Renewal,1,8.27647,Predictive Maintenance and Asset Renewal
29,IIR006,Equity-Centered Climate Adaptation Portfolio,2,8.23803,Predictive Maintenance and Asset Renewal
29,IIR001,Critical Function and Dependency Mapping,3,8.20096,Predictive Maintenance and Asset Renewal
29,IIR005,Cyber-Physical Security and Recovery Program,4,8.05966,Predictive Maintenance and Asset Renewal
29,IIR003,Digital Twin and Scenario Stress Testing,5,7.94954,Predictive Maintenance and Asset Renewal
29,IIR002,Sensor Monitoring and Early Warning Network,6,7.91764,Predictive Maintenance and Asset Renewal
29,IIR007,Interoperability and Vendor Portability Strategy,7,7.67373,Predictive Maintenance and Asset Renewal
30,IIR006,Equity-Centered Climate Adaptation Portfolio,1,8.25828,Equity-Centered Climate Adaptation Portfolio
30,IIR004,Predictive Maintenance and Asset Renewal,2,8.21928,Equity-Centered Climate Adaptation Portfolio
30,IIR002,Sensor Monitoring and Early Warning Network,3,7.82158,Equity-Centered Climate Adaptation Portfolio
30,IIR005,Cyber-Physical Security and Recovery Program,4,7.79786,Equity-Centered Climate Adaptation Portfolio
30,IIR001,Critical Function and Dependency Mapping,5,7.69978,Equity-Centered Climate Adaptation Portfolio
30,IIR003,Digital Twin and Scenario Stress Testing,6,7.64138,Equity-Centered Climate Adaptation Portfolio
30,IIR007,Interoperability and Vendor Portability Strategy,7,7.47863,Equity-Centered Climate Adaptation Portfolio
31,IIR006,Equity-Centered Climate Adaptation Portfolio,1,8.36559,Equity-Centered Climate Adaptation Portfolio
31,IIR004,Predictive Maintenance and Asset Renewal,2,8.25689,Equity-Centered Climate Adaptation Portfolio
31,IIR003,Digital Twin and Scenario Stress Testing,3,8.06422,Equity-Centered Climate Adaptation Portfolio
31,IIR002,Sensor Monitoring and Early Warning Network,4,7.83946,Equity-Centered Climate Adaptation Portfolio
31,IIR007,Interoperability and Vendor Portability Strategy,5,7.78335,Equity-Centered Climate Adaptation Portfolio
31,IIR001,Critical Function and Dependency Mapping,6,7.74576,Equity-Centered Climate Adaptation Portfolio
31,IIR005,Cyber-Physical Security and Recovery Program,7,7.725,Equity-Centered Climate Adaptation Portfolio
32,IIR003,Digital Twin and Scenario Stress Testing,1,8.09304,Digital Twin and Scenario Stress Testing
32,IIR002,Sensor Monitoring and Early Warning Network,2,8.02507,Digital Twin and Scenario Stress Testing
32,IIR005,Cyber-Physical Security and Recovery Program,3,7.99133,Digital Twin and Scenario Stress Testing
32,IIR006,Equity-Centered Climate Adaptation Portfolio,4,7.95314,Digital Twin and Scenario Stress Testing
32,IIR001,Critical Function and Dependency Mapping,5,7.92736,Digital Twin and Scenario Stress Testing
32,IIR007,Interoperability and Vendor Portability Strategy,6,7.78153,Digital Twin and Scenario Stress Testing
32,IIR004,Predictive Maintenance and Asset Renewal,7,7.75316,Digital Twin and Scenario Stress Testing
33,IIR004,Predictive Maintenance and Asset Renewal,1,8.28382,Predictive Maintenance and Asset Renewal
33,IIR006,Equity-Centered Climate Adaptation Portfolio,2,8.17204,Predictive Maintenance and Asset Renewal
33,IIR003,Digital Twin and Scenario Stress Testing,3,8.0969,Predictive Maintenance and Asset Renewal
33,IIR002,Sensor Monitoring and Early Warning Network,4,7.85033,Predictive Maintenance and Asset Renewal
33,IIR001,Critical Function and Dependency Mapping,5,7.81977,Predictive Maintenance and Asset Renewal
33,IIR005,Cyber-Physical Security and Recovery Program,6,7.8165,Predictive Maintenance and Asset Renewal
33,IIR007,Interoperability and Vendor Portability Strategy,7,7.30967,Predictive Maintenance and Asset Renewal
34,IIR001,Critical Function and Dependency Mapping,1,8.17271,Critical Function and Dependency Mapping
34,IIR006,Equity-Centered Climate Adaptation Portfolio,2,8.05275,Critical Function and Dependency Mapping
34,IIR007,Interoperability and Vendor Portability Strategy,3,7.98542,Critical Function and Dependency Mapping
34,IIR004,Predictive Maintenance and Asset Renewal,4,7.93244,Critical Function and Dependency Mapping
34,IIR003,Digital Twin and Scenario Stress Testing,5,7.88892,Critical Function and Dependency Mapping
34,IIR005,Cyber-Physical Security and Recovery Program,6,7.71543,Critical Function and Dependency Mapping
34,IIR002,Sensor Monitoring and Early Warning Network,7,7.60499,Critical Function and Dependency Mapping
35,IIR006,Equity-Centered Climate Adaptation Portfolio,1,8.09156,Equity-Centered Climate Adaptation Portfolio
35,IIR007,Interoperability and Vendor Portability Strategy,2,8.07553,Equity-Centered Climate Adaptation Portfolio
35,IIR003,Digital Twin and Scenario Stress Testing,3,8.05637,Equity-Centered Climate Adaptation Portfolio
35,IIR002,Sensor Monitoring and Early Warning Network,4,8.03499,Equity-Centered Climate Adaptation Portfolio
35,IIR004,Predictive Maintenance and Asset Renewal,5,7.96593,Equity-Centered Climate Adaptation Portfolio
35,IIR005,Cyber-Physical Security and Recovery Program,6,7.91531,Equity-Centered Climate Adaptation Portfolio
35,IIR001,Critical Function and Dependency Mapping,7,7.83908,Equity-Centered Climate Adaptation Portfolio
36,IIR006,Equity-Centered Climate Adaptation Portfolio,1,8.20912,Equity-Centered Climate Adaptation Portfolio
36,IIR003,Digital Twin and Scenario Stress Testing,2,8.14589,Equity-Centered Climate Adaptation Portfolio
36,IIR007,Interoperability and Vendor Portability Strategy,3,8.02931,Equity-Centered Climate Adaptation Portfolio
36,IIR004,Predictive Maintenance and Asset Renewal,4,7.96456,Equity-Centered Climate Adaptation Portfolio
36,IIR002,Sensor Monitoring and Early Warning Network,5,7.89198,Equity-Centered Climate Adaptation Portfolio
36,IIR001,Critical Function and Dependency Mapping,6,7.82371,Equity-Centered Climate Adaptation Portfolio
36,IIR005,Cyber-Physical Security and Recovery Program,7,7.70875,Equity-Centered Climate Adaptation Portfolio
37,IIR005,Cyber-Physical Security and Recovery Program,1,8.14615,Cyber-Physical Security and Recovery Program
37,IIR007,Interoperability and Vendor Portability Strategy,2,8.06509,Cyber-Physical Security and Recovery Program
37,IIR001,Critical Function and Dependency Mapping,3,8.02931,Cyber-Physical Security and Recovery Program
37,IIR006,Equity-Centered Climate Adaptation Portfolio,4,7.99548,Cyber-Physical Security and Recovery Program
37,IIR004,Predictive Maintenance and Asset Renewal,5,7.96968,Cyber-Physical Security and Recovery Program
37,IIR002,Sensor Monitoring and Early Warning Network,6,7.92864,Cyber-Physical Security and Recovery Program
37,IIR003,Digital Twin and Scenario Stress Testing,7,7.79881,Cyber-Physical Security and Recovery Program
38,IIR004,Predictive Maintenance and Asset Renewal,1,8.37382,Predictive Maintenance and Asset Renewal
38,IIR006,Equity-Centered Climate Adaptation Portfolio,2,8.08358,Predictive Maintenance and Asset Renewal
