 time,function,intelligence_value,response_capacity,fragility_gap,maintenance_backlog,data_trust,operator_strain,equity_access,resilience_score
20, 1.00000, 0.88140, 0.84800, 0.00000, 0.00000, 1.00000, 0.00000, 0.79380, 0.91785
21, 1.00000, 0.88140, 0.84800, 0.00000, 0.00000, 1.00000, 0.00000, 0.79380, 0.91785
22, 1.00000, 0.88140, 0.84800, 0.00000, 0.00000, 1.00000, 0.00000, 0.79380, 0.91785
23, 1.00000, 0.88140, 0.84800, 0.00000, 0.00000, 1.00000, 0.00000, 0.79380, 0.91785
24, 1.00000, 0.88140, 0.84800, 0.00000, 0.00000, 1.00000, 0.00000, 0.79380, 0.91785
25, 1.00000, 0.88140, 0.84800, 0.00000, 0.00000, 1.00000, 0.00000, 0.79380, 0.91785
26, 1.00000, 0.88140, 0.84800, 0.00000, 0.00000, 1.00000, 0.00000, 0.79380, 0.91785
27, 1.00000, 0.88140, 0.84800, 0.00000, 0.00000, 1.00000, 0.00000, 0.79380, 0.91785
28, 1.00000, 0.88140, 0.84800, 0.00000, 0.00000, 1.00000, 0.00000, 0.79380, 0.91785
29, 1.00000, 0.88140, 0.84800, 0.00000, 0.00000, 1.00000, 0.00000, 0.79380, 0.91785
30, 1.00000, 0.88140, 0.84800, 0.00000, 0.00000, 1.00000, 0.00000, 0.79380, 0.91785
31, 1.00000, 0.88140, 0.84800, 0.00000, 0.00000, 1.00000, 0.00000, 0.79380, 0.91785
32, 1.00000, 0.88140, 0.84800, 0.00000, 0.00000, 1.00000, 0.00000, 0.79380, 0.91785
33, 1.00000, 0.88140, 0.84800, 0.00000, 0.00000, 1.00000, 0.00000, 0.79380, 0.91785
34, 1.00000, 0.88140, 0.84800, 0.00000, 0.00000, 1.00000, 0.00000, 0.79380, 0.91785
35, 1.00000, 0.88140, 0.84800, 0.00000, 0.00000, 1.00000, 0.00000, 0.79380, 0.91785
36, 1.00000, 0.88140, 0.84800, 0.00000, 0.00000, 1.00000, 0.00000, 0.79380, 0.91785
37, 1.00000, 0.88140, 0.84800, 0.00000, 0.00000, 1.00000, 0.00000, 0.79380, 0.91785
38, 1.00000, 0.88140, 0.84800, 0.00000, 0.00000, 1.00000, 0.00000, 0.79380, 0.91785
39, 1.00000, 0.88140, 0.84800, 0.00000, 0.00000, 1.00000, 0.00000, 0.79380, 0.91785
40, 1.00000, 0.88140, 0.84800, 0.00000, 0.00000, 1.00000, 0.00000, 0.79380, 0.91785
41, 1.00000, 0.88140, 0.84800, 0.00000, 0.00000, 1.00000, 0.00000, 0.79380, 0.91785
42, 1.00000, 0.88140, 0.84800, 0.00000, 0.00000, 1.00000, 0.00000, 0.79380, 0.91785
43, 1.00000, 0.88140, 0.84800, 0.00000, 0.00000, 1.00000, 0.00000, 0.79380, 0.91785
44, 1.00000, 0.88140, 0.84800, 0.00000, 0.00000, 1.00000, 0.00000, 0.79380, 0.91785
45, 1.00000, 0.88140, 0.84800, 0.00000, 0.00000, 1.00000, 0.00000, 0.79380, 0.91785
46, 1.00000, 0.88140, 0.84800, 0.00000, 0.00000, 1.00000, 0.00000, 0.79380, 0.91785
47, 1.00000, 0.88140, 0.84800, 0.00000, 0.00000, 1.00000, 0.00000, 0.79380, 0.91785
48, 1.00000, 0.88140, 0.84800, 0.00000, 0.00000, 1.00000, 0.00000, 0.79380, 0.91785
49, 1.00000, 0.88140, 0.84800, 0.00000, 0.00000, 1.00000, 0.00000, 0.79380, 0.91785
50, 1.00000, 0.88140, 0.84800, 0.00000, 0.00000, 1.00000, 0.00000, 0.79380, 0.91785
51, 1.00000, 0.88140, 0.84800, 0.00000, 0.00000, 1.00000, 0.00000, 0.79380, 0.91785
52, 1.00000, 0.88140, 0.84800, 0.00000, 0.00000, 1.00000, 0.00000, 0.79380, 0.91785
53, 1.00000, 0.88140, 0.84800, 0.00000, 0.00000, 1.00000, 0.00000, 0.79380, 0.91785
54, 1.00000, 0.88140, 0.84800, 0.00000, 0.00000, 1.00000, 0.00000, 0.79380, 0.91785
55, 1.00000, 0.88140, 0.84800, 0.00000, 0.00000, 1.00000, 0.00000, 0.79380, 0.91785
56, 1.00000, 0.88140, 0.84800, 0.00000, 0.00000, 1.00000, 0.00000, 0.79380, 0.91785
57, 1.00000, 0.88140, 0.84800, 0.00000, 0.00000, 1.00000, 0.00000, 0.79380, 0.91785
58, 1.00000, 0.88140, 0.84800, 0.00000, 0.00000, 1.00000, 0.00000, 0.79380, 0.91785
59, 1.00000, 0.88140, 0.84800, 0.00000, 0.00000, 1.00000, 0.00000, 0.79380, 0.91785
60, 1.00000, 0.88140, 0.84800, 0.00000, 0.00000, 1.00000, 0.00000, 0.79380, 0.91785
61, 1.00000, 0.88140, 0.84800, 0.00000, 0.00000, 1.00000, 0.00000, 0.79380, 0.91785
62, 1.00000, 0.88140, 0.84800, 0.00000, 0.00000, 1.00000, 0.00000, 0.79380, 0.91785
63, 1.00000, 0.88140, 0.84800, 0.00000, 0.00000, 1.00000, 0.00000, 0.79380, 0.91785
64, 1.00000, 0.88140, 0.84800, 0.00000, 0.00000, 1.00000, 0.00000, 0.79380, 0.91785
65, 1.00000, 0.88140, 0.84800, 0.00000, 0.00000, 1.00000, 0.00000, 0.79380, 0.91785
66, 1.00000, 0.88140, 0.84800, 0.00000, 0.00000, 1.00000, 0.00000, 0.79380, 0.91785
67, 1.00000, 0.88140, 0.84800, 0.00000, 0.00000, 1.00000, 0.00000, 0.79380, 0.91785
68, 1.00000, 0.88140, 0.84800, 0.00000, 0.00000, 1.00000, 0.00000, 0.79380, 0.91785
69, 1.00000, 0.88140, 0.84800, 0.00000, 0.00000, 1.00000, 0.00000, 0.79380, 0.91785
70, 1.00000, 0.88140, 0.84800, 0.00000, 0.00000, 1.00000, 0.00000, 0.79380, 0.91785
71, 1.00000, 0.88140, 0.84800, 0.00000, 0.00000, 1.00000, 0.00000, 0.79380, 0.91785
72, 1.00000, 0.88140, 0.84800, 0.00000, 0.00000, 1.00000, 0.00000, 0.79380, 0.91785
73, 1.00000, 0.88140, 0.84800, 0.00000, 0.00000, 1.00000, 0.00000, 0.79380, 0.91785
74, 1.00000, 0.88140, 0.84800, 0.00000, 0.00000, 1.00000, 0.00000, 0.79380, 0.91785
75, 1.00000, 0.88140, 0.84800, 0.00000, 0.00000, 1.00000, 0.00000, 0.79380, 0.91785
76, 1.00000, 0.88140, 0.84800, 0.00000, 0.00000, 1.00000, 0.00000, 0.79380, 0.91785
77, 1.00000, 0.88140, 0.84800, 0.00000, 0.00000, 1.00000, 0.00000, 0.79380, 0.91785
78, 1.00000, 0.88140, 0.84800, 0.00000, 0.00000, 1.00000, 0.00000, 0.79380, 0.91785
79, 1.00000, 0.88140, 0.84800, 0.00000, 0.00000, 1.00000, 0.00000, 0.79380, 0.91785
80, 1.00000, 0.88140, 0.84800, 0.00000, 0.00000, 1.00000, 0.00000, 0.79380, 0.91785
81, 1.00000, 0.88140, 0.84800, 0.00000, 0.00000, 1.00000, 0.00000, 0.79380, 0.91785
82, 1.00000, 0.88140, 0.84800, 0.00000, 0.00000, 1.00000, 0.00000, 0.79380, 0.91785
83, 1.00000, 0.88140, 0.84800, 0.00000, 0.00000, 1.00000, 0.00000, 0.79380, 0.91785
84, 1.00000, 0.88140, 0.84800, 0.00000, 0.00000, 1.00000, 0.00000, 0.79380, 0.91785
85, 1.00000, 0.88140, 0.84800, 0.00000, 0.00000, 1.00000, 0.00000, 0.79380, 0.91785
86, 1.00000, 0.88140, 0.84800, 0.00000, 0.00000, 1.00000, 0.00000, 0.79380, 0.91785
87, 1.00000, 0.88140, 0.84800, 0.00000, 0.00000, 1.00000, 0.00000, 0.79380, 0.91785
88, 1.00000, 0.88140, 0.84800, 0.00000, 0.00000, 1.00000, 0.00000, 0.79380, 0.91785
89, 1.00000, 0.88140, 0.84800, 0.00000, 0.00000, 1.00000, 0.00000, 0.79380, 0.91785
90, 1.00000, 0.88140, 0.84800, 0.00000, 0.00000, 1.00000, 0.00000, 0.79380, 0.91785
91, 1.00000, 0.88140, 0.84800, 0.00000, 0.00000, 1.00000, 0.00000, 0.79380, 0.91785
92, 1.00000, 0.88140, 0.84800, 0.00000, 0.00000, 1.00000, 0.00000, 0.79380, 0.91785
93, 1.00000, 0.88140, 0.84800, 0.00000, 0.00000, 1.00000, 0.00000, 0.79380, 0.91785
94, 1.00000, 0.88140, 0.84800, 0.00000, 0.00000, 1.00000, 0.00000, 0.79380, 0.91785
95, 1.00000, 0.88140, 0.84800, 0.00000, 0.00000, 1.00000, 0.00000, 0.79380, 0.91785
96, 1.00000, 0.88140, 0.84800, 0.00000, 0.00000, 1.00000, 0.00000, 0.79380, 0.91785
