scenario,strategy_id,strategy,system_domain,rank,infrastructure_resilience_value,fragility_risk,implementation_burden,critical_function
Cyber-physical-first,IIR002,Sensor Monitoring and Early Warning Network,sensing telemetry early warning and situational awareness,7,7.965,3.1,3.5,detects stress deterioration hazards and anomalies before visible infrastructure failure
Digital-twin-first,IIR003,Digital Twin and Scenario Stress Testing,digital twins simulation and compound disruption scenario analysis,1,8.656,3.0,3.7,tests climate cyber physical operational and cascading infrastructure failure pathways
Digital-twin-first,IIR006,Equity-Centered Climate Adaptation Portfolio,climate adaptation environmental justice and community protection,2,8.604,2.6,3.9,prioritizes heat flood wildfire drought coastal risk environmental justice and vulnerable critical services
Digital-twin-first,IIR004,Predictive Maintenance and Asset Renewal,predictive maintenance inspection prioritization and renewal planning,3,8.545,2.8,3.8,turns monitoring and inspection data into repair renewal and backlog reduction
Digital-twin-first,IIR001,Critical Function and Dependency Mapping,critical services dependency visibility and single-point-of-failure mapping,4,8.253,2.9,3.2,maps critical services assets digital dependencies communications vendors workers and cascade pathways
Digital-twin-first,IIR005,Cyber-Physical Security and Recovery Program,operational technology cyber resilience and recovery,5,8.251,2.7,3.7,protects connected infrastructure against cyber-physical compromise unsafe automation and recovery failure
Digital-twin-first,IIR002,Sensor Monitoring and Early Warning Network,sensing telemetry early warning and situational awareness,6,8.211,3.1,3.5,detects stress deterioration hazards and anomalies before visible infrastructure failure
Digital-twin-first,IIR007,Interoperability and Vendor Portability Strategy,open standards data rights vendor governance and portability,7,8.201,3.0,3.6,reduces lock-in through open standards data portability contract controls and migration readiness
Climate-adaptation,IIR006,Equity-Centered Climate Adaptation Portfolio,climate adaptation environmental justice and community protection,1,9.356,2.6,3.9,prioritizes heat flood wildfire drought coastal risk environmental justice and vulnerable critical services
Climate-adaptation,IIR003,Digital Twin and Scenario Stress Testing,digital twins simulation and compound disruption scenario analysis,2,8.996,3.0,3.7,tests climate cyber physical operational and cascading infrastructure failure pathways
Climate-adaptation,IIR004,Predictive Maintenance and Asset Renewal,predictive maintenance inspection prioritization and renewal planning,3,8.968,2.8,3.8,turns monitoring and inspection data into repair renewal and backlog reduction
Climate-adaptation,IIR002,Sensor Monitoring and Early Warning Network,sensing telemetry early warning and situational awareness,4,8.738,3.1,3.5,detects stress deterioration hazards and anomalies before visible infrastructure failure
Climate-adaptation,IIR005,Cyber-Physical Security and Recovery Program,operational technology cyber resilience and recovery,5,8.737,2.7,3.7,protects connected infrastructure against cyber-physical compromise unsafe automation and recovery failure
Climate-adaptation,IIR001,Critical Function and Dependency Mapping,critical services dependency visibility and single-point-of-failure mapping,6,8.731,2.9,3.2,maps critical services assets digital dependencies communications vendors workers and cascade pathways
Climate-adaptation,IIR007,Interoperability and Vendor Portability Strategy,open standards data rights vendor governance and portability,7,8.656,3.0,3.6,reduces lock-in through open standards data portability contract controls and migration readiness
Equity-first,IIR006,Equity-Centered Climate Adaptation Portfolio,climate adaptation environmental justice and community protection,1,9.648,2.6,3.9,prioritizes heat flood wildfire drought coastal risk environmental justice and vulnerable critical services
Equity-first,IIR004,Predictive Maintenance and Asset Renewal,predictive maintenance inspection prioritization and renewal planning,2,9.173,2.8,3.8,turns monitoring and inspection data into repair renewal and backlog reduction
Equity-first,IIR003,Digital Twin and Scenario Stress Testing,digital twins simulation and compound disruption scenario analysis,3,9.157,3.0,3.7,tests climate cyber physical operational and cascading infrastructure failure pathways
Equity-first,IIR001,Critical Function and Dependency Mapping,critical services dependency visibility and single-point-of-failure mapping,4,9.016,2.9,3.2,maps critical services assets digital dependencies communications vendors workers and cascade pathways
Equity-first,IIR005,Cyber-Physical Security and Recovery Program,operational technology cyber resilience and recovery,5,8.999,2.7,3.7,protects connected infrastructure against cyber-physical compromise unsafe automation and recovery failure
Equity-first,IIR007,Interoperability and Vendor Portability Strategy,open standards data rights vendor governance and portability,6,8.942,3.0,3.6,reduces lock-in through open standards data portability contract controls and migration readiness
Equity-first,IIR002,Sensor Monitoring and Early Warning Network,sensing telemetry early warning and situational awareness,7,8.935,3.1,3.5,detects stress deterioration hazards and anomalies before visible infrastructure failure
Governance-first,IIR006,Equity-Centered Climate Adaptation Portfolio,climate adaptation environmental justice and community protection,1,9.188,2.6,3.9,prioritizes heat flood wildfire drought coastal risk environmental justice and vulnerable critical services
Governance-first,IIR004,Predictive Maintenance and Asset Renewal,predictive maintenance inspection prioritization and renewal planning,2,8.869,2.8,3.8,turns monitoring and inspection data into repair renewal and backlog reduction
Governance-first,IIR003,Digital Twin and Scenario Stress Testing,digital twins simulation and compound disruption scenario analysis,3,8.863,3.0,3.7,tests climate cyber physical operational and cascading infrastructure failure pathways
Governance-first,IIR005,Cyber-Physical Security and Recovery Program,operational technology cyber resilience and recovery,4,8.837,2.7,3.7,protects connected infrastructure against cyber-physical compromise unsafe automation and recovery failure
Governance-first,IIR001,Critical Function and Dependency Mapping,critical services dependency visibility and single-point-of-failure mapping,5,8.79,2.9,3.2,maps critical services assets digital dependencies communications vendors workers and cascade pathways
Governance-first,IIR007,Interoperability and Vendor Portability Strategy,open standards data rights vendor governance and portability,6,8.754,3.0,3.6,reduces lock-in through open standards data portability contract controls and migration readiness
Governance-first,IIR002,Sensor Monitoring and Early Warning Network,sensing telemetry early warning and situational awareness,7,8.633,3.1,3.5,detects stress deterioration hazards and anomalies before visible infrastructure failure
Implementation-aware,IIR006,Equity-Centered Climate Adaptation Portfolio,climate adaptation environmental justice and community protection,1,7.927,2.6,3.9,prioritizes heat flood wildfire drought coastal risk environmental justice and vulnerable critical services
Implementation-aware,IIR004,Predictive Maintenance and Asset Renewal,predictive maintenance inspection prioritization and renewal planning,2,7.735,2.8,3.8,turns monitoring and inspection data into repair renewal and backlog reduction
Implementation-aware,IIR003,Digital Twin and Scenario Stress Testing,digital twins simulation and compound disruption scenario analysis,3,7.723,3.0,3.7,tests climate cyber physical operational and cascading infrastructure failure pathways
Implementation-aware,IIR005,Cyber-Physical Security and Recovery Program,operational technology cyber resilience and recovery,4,7.609,2.7,3.7,protects connected infrastructure against cyber-physical compromise unsafe automation and recovery failure
Implementation-aware,IIR001,Critical Function and Dependency Mapping,critical services dependency visibility and single-point-of-failure mapping,5,7.595,2.9,3.2,maps critical services assets digital dependencies communications vendors workers and cascade pathways
Implementation-aware,IIR002,Sensor Monitoring and Early Warning Network,sensing telemetry early warning and situational awareness,6,7.547,3.1,3.5,detects stress deterioration hazards and anomalies before visible infrastructure failure
Implementation-aware,IIR007,Interoperability and Vendor Portability Strategy,open standards data rights vendor governance and portability,7,7.514,3.0,3.6,reduces lock-in through open standards data portability contract controls and migration readiness
