 time,basin_width,disturbance_load,regenerative_capacity,resilience_margin,threshold_flag
32, 0.7452, 0.2517, 0.5362, 1.0297,viable margin
33, 0.7418, 0.2565, 0.5338, 1.0191,viable margin
34, 0.7384, 0.2614, 0.5310, 1.0079,viable margin
35, 0.7350, 0.2663, 0.5276, 0.9963,viable margin
36, 0.7317, 0.2712, 0.5237, 0.9841,viable margin
37, 0.7283, 0.2761, 0.5193, 0.9714,viable margin
38, 0.7249, 0.2810, 0.5144, 0.9582,viable margin
39, 0.7215, 0.2859, 0.5090, 0.9446,viable margin
40, 0.7181, 0.2908, 0.5031, 0.9305,viable margin
41, 0.7147, 0.2957, 0.4969, 0.9159,viable margin
42, 0.7114, 0.3006, 0.4902, 0.9009,viable margin
43, 0.7080, 0.3055, 0.4831, 0.8856,viable margin
44, 0.7046, 0.3104, 0.4756, 0.8698,viable margin
45, 0.7012, 0.3153, 0.4677, 0.8537,viable margin
46, 0.6978, 0.3201, 0.4596, 0.8372,viable margin
47, 0.6945, 0.3250, 0.4511, 0.8205,viable margin
48, 0.6911, 0.3299, 0.4423, 0.8035,viable margin
49, 0.6877, 0.3348, 0.4333, 0.7862,viable margin
50, 0.6843, 0.3397, 0.4241, 0.7687,viable margin
51, 0.6809, 0.3446, 0.4146, 0.7509,viable margin
52, 0.6776, 0.3495, 0.4050, 0.7331,viable margin
53, 0.6742, 0.3544, 0.3953, 0.7150,viable margin
54, 0.6708, 0.3593, 0.3854, 0.6969,viable margin
55, 0.6674, 0.3642, 0.3755, 0.6787,viable margin
56, 0.6640, 0.3691, 0.3655, 0.6604,viable margin
57, 0.6606, 0.3740, 0.3555, 0.6422,viable margin
58, 0.6573, 0.3788, 0.3455, 0.6239,viable margin
59, 0.6539, 0.3837, 0.3356, 0.6057,viable margin
60, 0.6505, 0.3886, 0.3257, 0.5876,viable margin
61, 0.6471, 0.3935, 0.3159, 0.5695,viable margin
62, 0.6437, 0.3984, 0.3063, 0.5516,viable margin
63, 0.6404, 0.4033, 0.2969, 0.5339,viable margin
64, 0.6370, 0.4082, 0.2876, 0.5164,viable margin
65, 0.6336, 0.4131, 0.2786, 0.4991,viable margin
66, 0.6302, 0.4180, 0.2698, 0.4820,viable margin
67, 0.6268, 0.4229, 0.2613, 0.4652,viable margin
68, 0.6235, 0.4278, 0.2531, 0.4487,viable margin
69, 0.6201, 0.4327, 0.2452, 0.4326,viable margin
70, 0.6167, 0.4376, 0.2377, 0.4168,viable margin
71, 0.6133, 0.4424, 0.2305, 0.4014,viable margin
72, 0.6099, 0.4473, 0.2238, 0.3864,viable margin
73, 0.6065, 0.4522, 0.2175, 0.3718,viable margin
74, 0.6032, 0.4571, 0.2116, 0.3576,viable margin
75, 0.5998, 0.4620, 0.2061, 0.3439,viable margin
76, 0.5964, 0.4669, 0.2012, 0.3307,viable margin
77, 0.5930, 0.4718, 0.1967, 0.3180,viable margin
78, 0.5896, 0.4767, 0.1928, 0.3057,viable margin
79, 0.5863, 0.4816, 0.1893, 0.2940,viable margin
80, 0.5829, 0.4865, 0.1864, 0.2828,viable margin
81, 0.5795, 0.4914, 0.1840, 0.2722,viable margin
82, 0.5761, 0.4963, 0.1822, 0.2621,viable margin
83, 0.5727, 0.5012, 0.1809, 0.2525,viable margin
84, 0.5694, 0.5060, 0.1802, 0.2435,viable margin
85, 0.5660, 0.5109, 0.1800, 0.2350,viable margin
86, 0.5626, 0.5158, 0.1804, 0.2271,viable margin
87, 0.5592, 0.5207, 0.1813, 0.2198,viable margin
88, 0.5558, 0.5256, 0.1828, 0.2130,viable margin
89, 0.5524, 0.5305, 0.1848, 0.2068,viable margin
90, 0.5491, 0.5354, 0.1874, 0.2011,viable margin
91, 0.5457, 0.5403, 0.1905, 0.1959,viable margin
92, 0.5423, 0.5452, 0.1941, 0.1912,viable margin
93, 0.5389, 0.5501, 0.1983, 0.1871,viable margin
94, 0.5355, 0.5550, 0.2029, 0.1835,viable margin
95, 0.5322, 0.5599, 0.2080, 0.1803,viable margin
96, 0.5288, 0.5647, 0.2136, 0.1776,viable margin
97, 0.5254, 0.5696, 0.2196, 0.1754,viable margin
98, 0.5220, 0.5745, 0.2261, 0.1736,viable margin
99, 0.5186, 0.5794, 0.2330, 0.1722,viable margin
100, 0.5153, 0.5843, 0.2403, 0.1712,viable margin
101, 0.5119, 0.5892, 0.2479, 0.1706,viable margin
102, 0.5085, 0.5941, 0.2559, 0.1703,viable margin
103, 0.5051, 0.5990, 0.2642, 0.1704,viable margin
104, 0.5017, 0.6039, 0.2729, 0.1707,viable margin
105, 0.4983, 0.6088, 0.2817, 0.1713,viable margin
106, 0.4950, 0.6137, 0.2909, 0.1721,viable margin
107, 0.4916, 0.6186, 0.3002, 0.1732,viable margin
108, 0.4882, 0.6235, 0.3097, 0.1745,viable margin
109, 0.4848, 0.6283, 0.3194, 0.1759,viable margin
110, 0.4814, 0.6332, 0.3292, 0.1774,viable margin
111, 0.4781, 0.6381, 0.3391, 0.1790,viable margin
112, 0.4747, 0.6430, 0.3490, 0.1807,viable margin
113, 0.4713, 0.6479, 0.3590, 0.1824,viable margin
114, 0.4679, 0.6528, 0.3690, 0.1841,viable margin
115, 0.4645, 0.6577, 0.3790, 0.1858,viable margin
116, 0.4612, 0.6626, 0.3889, 0.1875,viable margin
117, 0.4578, 0.6675, 0.3987, 0.1890,viable margin
118, 0.4544, 0.6724, 0.4084, 0.1904,viable margin
119, 0.4510, 0.6773, 0.4180, 0.1917,viable margin
120, 0.4476, 0.6822, 0.4273, 0.1928,viable margin
121, 0.4442, 0.6871, 0.4365, 0.1937,viable margin
122, 0.4409, 0.6919, 0.4454, 0.1944,viable margin
123, 0.4375, 0.6968, 0.4541, 0.1948,viable margin
124, 0.4341, 0.7017, 0.4625, 0.1949,viable margin
125, 0.4307, 0.7066, 0.4705, 0.1946,viable margin
126, 0.4273, 0.7115, 0.4783, 0.1941,viable margin
127, 0.4240, 0.7164, 0.4856, 0.1932,viable margin
128, 0.4206, 0.7213, 0.4926, 0.1919,viable margin
129, 0.4172, 0.7262, 0.4991, 0.1901,viable margin
130, 0.4138, 0.7311, 0.5053, 0.1880,viable margin
131, 0.4104, 0.7360, 0.5109, 0.1854,viable margin
132, 0.4071, 0.7409, 0.5161, 0.1823,viable margin
133, 0.4037, 0.7458, 0.5209, 0.1788,viable margin
134, 0.4003, 0.7506, 0.5251, 0.1748,viable margin
135, 0.3969, 0.7555, 0.5288, 0.1702,viable margin
136, 0.3935, 0.7604, 0.5320, 0.1651,viable margin
137, 0.3901, 0.7653, 0.5347, 0.1595,viable margin
138, 0.3868, 0.7702, 0.5369, 0.1534,viable margin
139, 0.3834, 0.7751, 0.5384, 0.1467,threshold risk
140, 0.3800, 0.7800, 0.5395, 0.1395,threshold risk
