time_step,external_pressure,ecosystem_state,basin_width,disturbance_load,regenerative_capacity,resilience_margin,threshold_flag
44,-0.15144,-1.13439,0.7046,0.31036,0.47557,0.86981,viable margin
45,-0.14101,-1.13084,0.70122,0.31525,0.46772,0.8537,viable margin
46,-0.13058,-1.12726,0.69784,0.32014,0.45955,0.83725,viable margin
47,-0.12014,-1.12365,0.69446,0.32504,0.45107,0.8205,viable margin
48,-0.10971,-1.12,0.69108,0.32993,0.44231,0.80346,viable margin
49,-0.09928,-1.11632,0.6877,0.33482,0.43329,0.78617,viable margin
50,-0.08885,-1.1126,0.68432,0.33971,0.42405,0.76866,viable margin
51,-0.07842,-1.10885,0.68094,0.3446,0.41461,0.75094,viable margin
52,-0.06799,-1.10507,0.67755,0.3495,0.405,0.73306,viable margin
53,-0.05755,-1.10125,0.67417,0.35439,0.39526,0.71504,viable margin
54,-0.04712,-1.0974,0.67079,0.35928,0.3854,0.69691,viable margin
55,-0.03669,-1.09351,0.66741,0.36417,0.37547,0.6787,viable margin
56,-0.02626,-1.08959,0.66403,0.36906,0.36549,0.66045,viable margin
57,-0.01583,-1.08563,0.66065,0.37396,0.35549,0.64218,viable margin
58,-0.0054,-1.08163,0.65727,0.37885,0.3455,0.62392,viable margin
59,0.00504,-1.0776,0.65388,0.38374,0.33556,0.60571,viable margin
60,0.01547,-1.07353,0.6505,0.38863,0.3257,0.58757,viable margin
61,0.0259,-1.06942,0.64712,0.39353,0.31594,0.56954,viable margin
62,0.03633,-1.06527,0.64374,0.39842,0.30632,0.55164,viable margin
63,0.04676,-1.06107,0.64036,0.40331,0.29686,0.53391,viable margin
64,0.05719,-1.05684,0.63698,0.4082,0.2876,0.51637,viable margin
65,0.06763,-1.05257,0.6336,0.41309,0.27856,0.49906,viable margin
66,0.07806,-1.04825,0.63022,0.41799,0.26977,0.482,viable margin
67,0.08849,-1.04389,0.62683,0.42288,0.26126,0.46522,viable margin
68,0.09892,-1.03948,0.62345,0.42777,0.25306,0.44874,viable margin
69,0.10935,-1.03502,0.62007,0.43266,0.24518,0.43259,viable margin
70,0.11978,-1.03052,0.61669,0.43755,0.23766,0.4168,viable margin
71,0.13022,-1.02597,0.61331,0.44245,0.23052,0.40138,viable margin
72,0.14065,-1.02137,0.60993,0.44734,0.22378,0.38637,viable margin
73,0.15108,-1.01671,0.60655,0.45223,0.21745,0.37177,viable margin
74,0.16151,-1.01201,0.60317,0.45712,0.21157,0.35761,viable margin
75,0.17194,-1.00725,0.59978,0.46201,0.20614,0.34391,viable margin
76,0.18237,-1.00243,0.5964,0.46691,0.20119,0.33069,viable margin
77,0.19281,-0.99756,0.59302,0.4718,0.19673,0.31796,viable margin
78,0.20324,-0.99263,0.58964,0.47669,0.19278,0.30573,viable margin
79,0.21367,-0.98764,0.58626,0.48158,0.18934,0.29401,viable margin
80,0.2241,-0.98259,0.58288,0.48647,0.18642,0.28283,viable margin
81,0.23453,-0.97747,0.5795,0.49137,0.18404,0.27217,viable margin
82,0.24496,-0.97228,0.57612,0.49626,0.18221,0.26207,viable margin
83,0.2554,-0.96703,0.57273,0.50115,0.18092,0.25251,viable margin
84,0.26583,-0.96171,0.56935,0.50604,0.18019,0.2435,viable margin
85,0.27626,-0.95632,0.56597,0.51094,0.18001,0.23504,viable margin
86,0.28669,-0.95085,0.56259,0.51583,0.18038,0.22715,viable margin
87,0.29712,-0.94531,0.55921,0.52072,0.18131,0.2198,viable margin
88,0.30755,-0.93969,0.55583,0.52561,0.1828,0.21301,viable margin
89,0.31799,-0.93398,0.55245,0.5305,0.18482,0.20677,viable margin
90,0.32842,-0.92819,0.54906,0.5354,0.18739,0.20106,viable margin
91,0.33885,-0.92232,0.54568,0.54029,0.1905,0.19589,viable margin
92,0.34928,-0.91635,0.5423,0.54518,0.19412,0.19124,viable margin
93,0.35971,-0.91029,0.53892,0.55007,0.19826,0.1871,viable margin
94,0.37014,-0.90414,0.53554,0.55496,0.20289,0.18347,viable margin
95,0.38058,-0.89788,0.53216,0.55986,0.20801,0.18031,viable margin
96,0.39101,-0.89152,0.52878,0.56475,0.2136,0.17763,viable margin
97,0.40144,-0.88505,0.5254,0.56964,0.21964,0.1754,viable margin
98,0.41187,-0.87847,0.52201,0.57453,0.22612,0.1736,viable margin
99,0.4223,-0.87178,0.51863,0.57942,0.233,0.17221,viable margin
100,0.43273,-0.86496,0.51525,0.58432,0.24028,0.17122,viable margin
101,0.44317,-0.85802,0.51187,0.58921,0.24793,0.17059,viable margin
102,0.4536,-0.85095,0.50849,0.5941,0.25592,0.17031,viable margin
103,0.46403,-0.84374,0.50511,0.59899,0.26424,0.17035,viable margin
104,0.47446,-0.83639,0.50173,0.60388,0.27285,0.17069,viable margin
105,0.48489,-0.82889,0.49835,0.60878,0.28173,0.1713,viable margin
106,0.49532,-0.82124,0.49496,0.61367,0.29085,0.17215,viable margin
107,0.50576,-0.81343,0.49158,0.61856,0.30019,0.17321,viable margin
108,0.51619,-0.80544,0.4882,0.62345,0.30971,0.17445,viable margin
109,0.52662,-0.79729,0.48482,0.62835,0.31938,0.17585,viable margin
110,0.53705,-0.78894,0.48144,0.63324,0.32918,0.17738,viable margin
111,0.54748,-0.78041,0.47806,0.63813,0.33907,0.179,viable margin
112,0.55791,-0.77167,0.47468,0.64302,0.34903,0.18069,viable margin
113,0.56835,-0.76272,0.47129,0.64791,0.35903,0.18241,viable margin
114,0.57878,-0.75355,0.46791,0.65281,0.36902,0.18413,viable margin
115,0.58921,-0.74414,0.46453,0.6577,0.37899,0.18583,viable margin
116,0.59964,-0.73448,0.46115,0.66259,0.3889,0.18746,viable margin
117,0.61007,-0.72456,0.45777,0.66748,0.39872,0.18901,viable margin
118,0.6205,-0.71437,0.45439,0.67237,0.40842,0.19044,viable margin
119,0.63094,-0.70388,0.45101,0.67727,0.41797,0.19172,viable margin
120,0.64137,-0.69309,0.44763,0.68216,0.42735,0.19281,viable margin
121,0.6518,-0.68197,0.44424,0.68705,0.43651,0.19371,viable margin
122,0.66223,-0.67051,0.44086,0.69194,0.44544,0.19436,viable margin
123,0.67266,-0.65868,0.43748,0.69683,0.45411,0.19475,viable margin
124,0.68309,-0.64647,0.4341,0.70173,0.46248,0.19486,viable margin
125,0.69353,-0.63384,0.43072,0.70662,0.47054,0.19464,viable margin
126,0.70396,-0.62077,0.42734,0.71151,0.47826,0.19408,viable margin
127,0.71439,-0.60723,0.42396,0.7164,0.48561,0.19316,viable margin
128,0.72482,-0.59319,0.42058,0.72129,0.49258,0.19186,viable margin
129,0.73525,-0.57862,0.41719,0.72619,0.49913,0.19014,viable margin
130,0.74568,-0.56347,0.41381,0.73108,0.50526,0.18799,viable margin
131,0.75612,-0.54771,0.41043,0.73597,0.51094,0.1854,viable margin
132,0.76655,-0.53129,0.40705,0.74086,0.51615,0.18234,viable margin
133,0.77698,-0.51417,0.40367,0.74576,0.52088,0.17879,viable margin
134,0.78741,-0.49628,0.40029,0.75065,0.52511,0.17476,viable margin
135,0.79784,-0.47757,0.39691,0.75554,0.52884,0.17021,viable margin
136,0.80827,-0.45798,0.39353,0.76043,0.53204,0.16514,viable margin
137,0.81871,-0.43743,0.39014,0.76532,0.53472,0.15954,viable margin
138,0.82914,-0.41585,0.38676,0.77022,0.53685,0.1534,viable margin
139,0.83957,-0.39314,0.38338,0.77511,0.53844,0.14671,threshold risk
140,0.85,-0.36923,0.38,0.78,0.53948,0.13948,threshold risk
