simulation_id,framework_id,framework,rank,metric_value,winner
4,RM001,Indicator Dashboard,5,5.73372,Hybrid Structural and Dynamic Assessment
5,RM005,Hybrid Structural and Dynamic Assessment,1,6.36942,Hybrid Structural and Dynamic Assessment
5,RM004,Participatory Resilience Assessment,2,6.29979,Hybrid Structural and Dynamic Assessment
5,RM003,Scenario Stress-Test Framework,3,6.17945,Hybrid Structural and Dynamic Assessment
5,RM002,Performance and Recovery Monitoring,4,5.80845,Hybrid Structural and Dynamic Assessment
5,RM001,Indicator Dashboard,5,5.71526,Hybrid Structural and Dynamic Assessment
6,RM005,Hybrid Structural and Dynamic Assessment,1,6.30444,Hybrid Structural and Dynamic Assessment
6,RM003,Scenario Stress-Test Framework,2,6.26921,Hybrid Structural and Dynamic Assessment
6,RM004,Participatory Resilience Assessment,3,6.00513,Hybrid Structural and Dynamic Assessment
6,RM001,Indicator Dashboard,4,5.96922,Hybrid Structural and Dynamic Assessment
6,RM002,Performance and Recovery Monitoring,5,5.91995,Hybrid Structural and Dynamic Assessment
7,RM005,Hybrid Structural and Dynamic Assessment,1,6.68019,Hybrid Structural and Dynamic Assessment
7,RM003,Scenario Stress-Test Framework,2,6.49732,Hybrid Structural and Dynamic Assessment
7,RM002,Performance and Recovery Monitoring,3,6.36851,Hybrid Structural and Dynamic Assessment
7,RM004,Participatory Resilience Assessment,4,5.72492,Hybrid Structural and Dynamic Assessment
7,RM001,Indicator Dashboard,5,5.55435,Hybrid Structural and Dynamic Assessment
8,RM005,Hybrid Structural and Dynamic Assessment,1,6.66446,Hybrid Structural and Dynamic Assessment
8,RM003,Scenario Stress-Test Framework,2,6.086,Hybrid Structural and Dynamic Assessment
8,RM002,Performance and Recovery Monitoring,3,5.93311,Hybrid Structural and Dynamic Assessment
8,RM004,Participatory Resilience Assessment,4,5.79029,Hybrid Structural and Dynamic Assessment
8,RM001,Indicator Dashboard,5,5.20832,Hybrid Structural and Dynamic Assessment
9,RM005,Hybrid Structural and Dynamic Assessment,1,6.95477,Hybrid Structural and Dynamic Assessment
9,RM004,Participatory Resilience Assessment,2,6.12115,Hybrid Structural and Dynamic Assessment
9,RM003,Scenario Stress-Test Framework,3,6.05913,Hybrid Structural and Dynamic Assessment
9,RM001,Indicator Dashboard,4,5.88162,Hybrid Structural and Dynamic Assessment
9,RM002,Performance and Recovery Monitoring,5,5.8691,Hybrid Structural and Dynamic Assessment
10,RM005,Hybrid Structural and Dynamic Assessment,1,6.87535,Hybrid Structural and Dynamic Assessment
10,RM003,Scenario Stress-Test Framework,2,6.54172,Hybrid Structural and Dynamic Assessment
10,RM004,Participatory Resilience Assessment,3,5.90708,Hybrid Structural and Dynamic Assessment
10,RM002,Performance and Recovery Monitoring,4,5.87886,Hybrid Structural and Dynamic Assessment
10,RM001,Indicator Dashboard,5,5.67657,Hybrid Structural and Dynamic Assessment
11,RM005,Hybrid Structural and Dynamic Assessment,1,6.87937,Hybrid Structural and Dynamic Assessment
11,RM004,Participatory Resilience Assessment,2,6.08794,Hybrid Structural and Dynamic Assessment
11,RM001,Indicator Dashboard,3,5.97365,Hybrid Structural and Dynamic Assessment
11,RM002,Performance and Recovery Monitoring,4,5.97361,Hybrid Structural and Dynamic Assessment
11,RM003,Scenario Stress-Test Framework,5,5.87653,Hybrid Structural and Dynamic Assessment
12,RM005,Hybrid Structural and Dynamic Assessment,1,6.71661,Hybrid Structural and Dynamic Assessment
12,RM003,Scenario Stress-Test Framework,2,6.26631,Hybrid Structural and Dynamic Assessment
12,RM002,Performance and Recovery Monitoring,3,5.65605,Hybrid Structural and Dynamic Assessment
12,RM001,Indicator Dashboard,4,5.65054,Hybrid Structural and Dynamic Assessment
12,RM004,Participatory Resilience Assessment,5,5.59509,Hybrid Structural and Dynamic Assessment
13,RM005,Hybrid Structural and Dynamic Assessment,1,6.75163,Hybrid Structural and Dynamic Assessment
13,RM002,Performance and Recovery Monitoring,2,5.94709,Hybrid Structural and Dynamic Assessment
13,RM004,Participatory Resilience Assessment,3,5.91817,Hybrid Structural and Dynamic Assessment
13,RM003,Scenario Stress-Test Framework,4,5.81098,Hybrid Structural and Dynamic Assessment
13,RM001,Indicator Dashboard,5,5.51653,Hybrid Structural and Dynamic Assessment
14,RM005,Hybrid Structural and Dynamic Assessment,1,6.92017,Hybrid Structural and Dynamic Assessment
14,RM003,Scenario Stress-Test Framework,2,6.48458,Hybrid Structural and Dynamic Assessment
14,RM004,Participatory Resilience Assessment,3,5.87283,Hybrid Structural and Dynamic Assessment
14,RM001,Indicator Dashboard,4,5.69256,Hybrid Structural and Dynamic Assessment
14,RM002,Performance and Recovery Monitoring,5,5.66217,Hybrid Structural and Dynamic Assessment
15,RM005,Hybrid Structural and Dynamic Assessment,1,7.28022,Hybrid Structural and Dynamic Assessment
15,RM004,Participatory Resilience Assessment,2,5.84752,Hybrid Structural and Dynamic Assessment
15,RM003,Scenario Stress-Test Framework,3,5.81527,Hybrid Structural and Dynamic Assessment
15,RM002,Performance and Recovery Monitoring,4,5.66318,Hybrid Structural and Dynamic Assessment
15,RM001,Indicator Dashboard,5,5.5084,Hybrid Structural and Dynamic Assessment
16,RM005,Hybrid Structural and Dynamic Assessment,1,7.00049,Hybrid Structural and Dynamic Assessment
16,RM004,Participatory Resilience Assessment,2,6.13175,Hybrid Structural and Dynamic Assessment
16,RM003,Scenario Stress-Test Framework,3,6.06738,Hybrid Structural and Dynamic Assessment
16,RM002,Performance and Recovery Monitoring,4,5.81499,Hybrid Structural and Dynamic Assessment
16,RM001,Indicator Dashboard,5,5.2603,Hybrid Structural and Dynamic Assessment
17,RM005,Hybrid Structural and Dynamic Assessment,1,6.59704,Hybrid Structural and Dynamic Assessment
17,RM004,Participatory Resilience Assessment,2,5.8932,Hybrid Structural and Dynamic Assessment
17,RM001,Indicator Dashboard,3,5.88198,Hybrid Structural and Dynamic Assessment
17,RM003,Scenario Stress-Test Framework,4,5.86146,Hybrid Structural and Dynamic Assessment
17,RM002,Performance and Recovery Monitoring,5,5.32143,Hybrid Structural and Dynamic Assessment
18,RM005,Hybrid Structural and Dynamic Assessment,1,6.77325,Hybrid Structural and Dynamic Assessment
18,RM004,Participatory Resilience Assessment,2,6.1393,Hybrid Structural and Dynamic Assessment
18,RM003,Scenario Stress-Test Framework,3,6.02252,Hybrid Structural and Dynamic Assessment
18,RM002,Performance and Recovery Monitoring,4,5.87519,Hybrid Structural and Dynamic Assessment
18,RM001,Indicator Dashboard,5,5.75178,Hybrid Structural and Dynamic Assessment
19,RM003,Scenario Stress-Test Framework,1,6.20121,Scenario Stress-Test Framework
19,RM005,Hybrid Structural and Dynamic Assessment,2,6.10075,Scenario Stress-Test Framework
19,RM004,Participatory Resilience Assessment,3,6.08898,Scenario Stress-Test Framework
19,RM002,Performance and Recovery Monitoring,4,5.54781,Scenario Stress-Test Framework
19,RM001,Indicator Dashboard,5,5.10878,Scenario Stress-Test Framework
20,RM005,Hybrid Structural and Dynamic Assessment,1,6.99065,Hybrid Structural and Dynamic Assessment
20,RM004,Participatory Resilience Assessment,2,6.42776,Hybrid Structural and Dynamic Assessment
20,RM003,Scenario Stress-Test Framework,3,6.02648,Hybrid Structural and Dynamic Assessment
20,RM002,Performance and Recovery Monitoring,4,5.672,Hybrid Structural and Dynamic Assessment
20,RM001,Indicator Dashboard,5,5.33941,Hybrid Structural and Dynamic Assessment
21,RM005,Hybrid Structural and Dynamic Assessment,1,6.31717,Hybrid Structural and Dynamic Assessment
21,RM003,Scenario Stress-Test Framework,2,6.30598,Hybrid Structural and Dynamic Assessment
21,RM002,Performance and Recovery Monitoring,3,6.07671,Hybrid Structural and Dynamic Assessment
21,RM004,Participatory Resilience Assessment,4,5.96563,Hybrid Structural and Dynamic Assessment
21,RM001,Indicator Dashboard,5,5.55764,Hybrid Structural and Dynamic Assessment
22,RM005,Hybrid Structural and Dynamic Assessment,1,6.33867,Hybrid Structural and Dynamic Assessment
22,RM003,Scenario Stress-Test Framework,2,6.14362,Hybrid Structural and Dynamic Assessment
22,RM004,Participatory Resilience Assessment,3,5.89998,Hybrid Structural and Dynamic Assessment
22,RM002,Performance and Recovery Monitoring,4,5.83416,Hybrid Structural and Dynamic Assessment
22,RM001,Indicator Dashboard,5,5.40314,Hybrid Structural and Dynamic Assessment
23,RM005,Hybrid Structural and Dynamic Assessment,1,6.38535,Hybrid Structural and Dynamic Assessment
23,RM004,Participatory Resilience Assessment,2,6.0372,Hybrid Structural and Dynamic Assessment
23,RM002,Performance and Recovery Monitoring,3,5.91614,Hybrid Structural and Dynamic Assessment
23,RM003,Scenario Stress-Test Framework,4,5.77633,Hybrid Structural and Dynamic Assessment
23,RM001,Indicator Dashboard,5,5.25523,Hybrid Structural and Dynamic Assessment
24,RM005,Hybrid Structural and Dynamic Assessment,1,6.68277,Hybrid Structural and Dynamic Assessment
24,RM003,Scenario Stress-Test Framework,2,6.21838,Hybrid Structural and Dynamic Assessment
24,RM004,Participatory Resilience Assessment,3,5.81542,Hybrid Structural and Dynamic Assessment
24,RM002,Performance and Recovery Monitoring,4,5.72012,Hybrid Structural and Dynamic Assessment
24,RM001,Indicator Dashboard,5,5.41373,Hybrid Structural and Dynamic Assessment
25,RM005,Hybrid Structural and Dynamic Assessment,1,6.7315,Hybrid Structural and Dynamic Assessment
25,RM002,Performance and Recovery Monitoring,2,6.20961,Hybrid Structural and Dynamic Assessment
25,RM003,Scenario Stress-Test Framework,3,6.16082,Hybrid Structural and Dynamic Assessment
25,RM004,Participatory Resilience Assessment,4,5.77081,Hybrid Structural and Dynamic Assessment
25,RM001,Indicator Dashboard,5,5.75964,Hybrid Structural and Dynamic Assessment
26,RM005,Hybrid Structural and Dynamic Assessment,1,6.68352,Hybrid Structural and Dynamic Assessment
26,RM003,Scenario Stress-Test Framework,2,5.92594,Hybrid Structural and Dynamic Assessment
26,RM004,Participatory Resilience Assessment,3,5.90038,Hybrid Structural and Dynamic Assessment
26,RM001,Indicator Dashboard,4,5.46745,Hybrid Structural and Dynamic Assessment
26,RM002,Performance and Recovery Monitoring,5,5.34077,Hybrid Structural and Dynamic Assessment
27,RM005,Hybrid Structural and Dynamic Assessment,1,6.82281,Hybrid Structural and Dynamic Assessment
27,RM002,Performance and Recovery Monitoring,2,6.18778,Hybrid Structural and Dynamic Assessment
27,RM001,Indicator Dashboard,3,5.99452,Hybrid Structural and Dynamic Assessment
27,RM004,Participatory Resilience Assessment,4,5.95624,Hybrid Structural and Dynamic Assessment
27,RM003,Scenario Stress-Test Framework,5,5.89818,Hybrid Structural and Dynamic Assessment
28,RM005,Hybrid Structural and Dynamic Assessment,1,6.53925,Hybrid Structural and Dynamic Assessment
28,RM003,Scenario Stress-Test Framework,2,6.1289,Hybrid Structural and Dynamic Assessment
28,RM004,Participatory Resilience Assessment,3,5.78979,Hybrid Structural and Dynamic Assessment
28,RM001,Indicator Dashboard,4,5.76031,Hybrid Structural and Dynamic Assessment
28,RM002,Performance and Recovery Monitoring,5,5.64815,Hybrid Structural and Dynamic Assessment
29,RM005,Hybrid Structural and Dynamic Assessment,1,6.7448,Hybrid Structural and Dynamic Assessment
29,RM003,Scenario Stress-Test Framework,2,6.27186,Hybrid Structural and Dynamic Assessment
29,RM002,Performance and Recovery Monitoring,3,6.22749,Hybrid Structural and Dynamic Assessment
29,RM004,Participatory Resilience Assessment,4,6.1132,Hybrid Structural and Dynamic Assessment
29,RM001,Indicator Dashboard,5,5.82256,Hybrid Structural and Dynamic Assessment
30,RM005,Hybrid Structural and Dynamic Assessment,1,6.69951,Hybrid Structural and Dynamic Assessment
30,RM003,Scenario Stress-Test Framework,2,6.19173,Hybrid Structural and Dynamic Assessment
30,RM004,Participatory Resilience Assessment,3,5.8339,Hybrid Structural and Dynamic Assessment
30,RM002,Performance and Recovery Monitoring,4,5.71983,Hybrid Structural and Dynamic Assessment
30,RM001,Indicator Dashboard,5,5.4072,Hybrid Structural and Dynamic Assessment
31,RM005,Hybrid Structural and Dynamic Assessment,1,6.95106,Hybrid Structural and Dynamic Assessment
31,RM003,Scenario Stress-Test Framework,2,6.24317,Hybrid Structural and Dynamic Assessment
31,RM002,Performance and Recovery Monitoring,3,6.08037,Hybrid Structural and Dynamic Assessment
31,RM004,Participatory Resilience Assessment,4,5.60758,Hybrid Structural and Dynamic Assessment
31,RM001,Indicator Dashboard,5,5.55523,Hybrid Structural and Dynamic Assessment
32,RM005,Hybrid Structural and Dynamic Assessment,1,6.98155,Hybrid Structural and Dynamic Assessment
32,RM004,Participatory Resilience Assessment,2,6.06835,Hybrid Structural and Dynamic Assessment
32,RM003,Scenario Stress-Test Framework,3,6.06456,Hybrid Structural and Dynamic Assessment
32,RM002,Performance and Recovery Monitoring,4,5.70156,Hybrid Structural and Dynamic Assessment
32,RM001,Indicator Dashboard,5,5.27718,Hybrid Structural and Dynamic Assessment
33,RM005,Hybrid Structural and Dynamic Assessment,1,6.95193,Hybrid Structural and Dynamic Assessment
33,RM003,Scenario Stress-Test Framework,2,6.33346,Hybrid Structural and Dynamic Assessment
33,RM004,Participatory Resilience Assessment,3,5.8754,Hybrid Structural and Dynamic Assessment
33,RM002,Performance and Recovery Monitoring,4,5.53273,Hybrid Structural and Dynamic Assessment
33,RM001,Indicator Dashboard,5,5.319,Hybrid Structural and Dynamic Assessment
34,RM005,Hybrid Structural and Dynamic Assessment,1,6.57681,Hybrid Structural and Dynamic Assessment
34,RM003,Scenario Stress-Test Framework,2,6.14687,Hybrid Structural and Dynamic Assessment
34,RM004,Participatory Resilience Assessment,3,6.06438,Hybrid Structural and Dynamic Assessment
34,RM002,Performance and Recovery Monitoring,4,5.69916,Hybrid Structural and Dynamic Assessment
34,RM001,Indicator Dashboard,5,5.62289,Hybrid Structural and Dynamic Assessment
35,RM005,Hybrid Structural and Dynamic Assessment,1,6.57049,Hybrid Structural and Dynamic Assessment
35,RM003,Scenario Stress-Test Framework,2,6.41992,Hybrid Structural and Dynamic Assessment
35,RM004,Participatory Resilience Assessment,3,6.34972,Hybrid Structural and Dynamic Assessment
35,RM002,Performance and Recovery Monitoring,4,5.60303,Hybrid Structural and Dynamic Assessment
35,RM001,Indicator Dashboard,5,5.13017,Hybrid Structural and Dynamic Assessment
36,RM005,Hybrid Structural and Dynamic Assessment,1,7.13589,Hybrid Structural and Dynamic Assessment
36,RM003,Scenario Stress-Test Framework,2,6.12726,Hybrid Structural and Dynamic Assessment
36,RM004,Participatory Resilience Assessment,3,6.0315,Hybrid Structural and Dynamic Assessment
36,RM001,Indicator Dashboard,4,5.95861,Hybrid Structural and Dynamic Assessment
36,RM002,Performance and Recovery Monitoring,5,5.82367,Hybrid Structural and Dynamic Assessment
37,RM005,Hybrid Structural and Dynamic Assessment,1,6.92643,Hybrid Structural and Dynamic Assessment
37,RM004,Participatory Resilience Assessment,2,6.43289,Hybrid Structural and Dynamic Assessment
37,RM003,Scenario Stress-Test Framework,3,6.294,Hybrid Structural and Dynamic Assessment
37,RM001,Indicator Dashboard,4,5.82679,Hybrid Structural and Dynamic Assessment
37,RM002,Performance and Recovery Monitoring,5,5.56488,Hybrid Structural and Dynamic Assessment
38,RM005,Hybrid Structural and Dynamic Assessment,1,7.0259,Hybrid Structural and Dynamic Assessment
38,RM003,Scenario Stress-Test Framework,2,6.27774,Hybrid Structural and Dynamic Assessment
38,RM004,Participatory Resilience Assessment,3,6.12707,Hybrid Structural and Dynamic Assessment
38,RM002,Performance and Recovery Monitoring,4,5.7678,Hybrid Structural and Dynamic Assessment
38,RM001,Indicator Dashboard,5,5.4786,Hybrid Structural and Dynamic Assessment
39,RM005,Hybrid Structural and Dynamic Assessment,1,6.65666,Hybrid Structural and Dynamic Assessment
39,RM002,Performance and Recovery Monitoring,2,6.20052,Hybrid Structural and Dynamic Assessment
39,RM004,Participatory Resilience Assessment,3,6.14017,Hybrid Structural and Dynamic Assessment
39,RM003,Scenario Stress-Test Framework,4,5.9865,Hybrid Structural and Dynamic Assessment
39,RM001,Indicator Dashboard,5,5.29814,Hybrid Structural and Dynamic Assessment
40,RM005,Hybrid Structural and Dynamic Assessment,1,6.62467,Hybrid Structural and Dynamic Assessment
40,RM003,Scenario Stress-Test Framework,2,6.28276,Hybrid Structural and Dynamic Assessment
40,RM004,Participatory Resilience Assessment,3,6.19553,Hybrid Structural and Dynamic Assessment
40,RM002,Performance and Recovery Monitoring,4,5.7994,Hybrid Structural and Dynamic Assessment
40,RM001,Indicator Dashboard,5,5.3924,Hybrid Structural and Dynamic Assessment
41,RM005,Hybrid Structural and Dynamic Assessment,1,6.97626,Hybrid Structural and Dynamic Assessment
41,RM003,Scenario Stress-Test Framework,2,6.30136,Hybrid Structural and Dynamic Assessment
41,RM004,Participatory Resilience Assessment,3,5.85638,Hybrid Structural and Dynamic Assessment
41,RM002,Performance and Recovery Monitoring,4,5.70466,Hybrid Structural and Dynamic Assessment
41,RM001,Indicator Dashboard,5,5.14204,Hybrid Structural and Dynamic Assessment
42,RM005,Hybrid Structural and Dynamic Assessment,1,6.62255,Hybrid Structural and Dynamic Assessment
42,RM004,Participatory Resilience Assessment,2,6.2829,Hybrid Structural and Dynamic Assessment
42,RM003,Scenario Stress-Test Framework,3,6.06116,Hybrid Structural and Dynamic Assessment
42,RM002,Performance and Recovery Monitoring,4,5.458,Hybrid Structural and Dynamic Assessment
42,RM001,Indicator Dashboard,5,5.29819,Hybrid Structural and Dynamic Assessment
43,RM005,Hybrid Structural and Dynamic Assessment,1,6.80197,Hybrid Structural and Dynamic Assessment
43,RM004,Participatory Resilience Assessment,2,6.05688,Hybrid Structural and Dynamic Assessment
43,RM003,Scenario Stress-Test Framework,3,6.00771,Hybrid Structural and Dynamic Assessment
43,RM001,Indicator Dashboard,4,5.7337,Hybrid Structural and Dynamic Assessment
43,RM002,Performance and Recovery Monitoring,5,5.48777,Hybrid Structural and Dynamic Assessment
44,RM005,Hybrid Structural and Dynamic Assessment,1,6.88978,Hybrid Structural and Dynamic Assessment
44,RM003,Scenario Stress-Test Framework,2,6.57856,Hybrid Structural and Dynamic Assessment
44,RM004,Participatory Resilience Assessment,3,6.19301,Hybrid Structural and Dynamic Assessment
44,RM002,Performance and Recovery Monitoring,4,5.69449,Hybrid Structural and Dynamic Assessment
44,RM001,Indicator Dashboard,5,5.28233,Hybrid Structural and Dynamic Assessment
45,RM003,Scenario Stress-Test Framework,1,6.42226,Scenario Stress-Test Framework
45,RM005,Hybrid Structural and Dynamic Assessment,2,6.19512,Scenario Stress-Test Framework
45,RM004,Participatory Resilience Assessment,3,6.17369,Scenario Stress-Test Framework
45,RM002,Performance and Recovery Monitoring,4,6.10853,Scenario Stress-Test Framework
45,RM001,Indicator Dashboard,5,5.70825,Scenario Stress-Test Framework
46,RM005,Hybrid Structural and Dynamic Assessment,1,7.06102,Hybrid Structural and Dynamic Assessment
46,RM003,Scenario Stress-Test Framework,2,6.24811,Hybrid Structural and Dynamic Assessment
46,RM004,Participatory Resilience Assessment,3,5.89895,Hybrid Structural and Dynamic Assessment
46,RM002,Performance and Recovery Monitoring,4,5.89752,Hybrid Structural and Dynamic Assessment
46,RM001,Indicator Dashboard,5,5.23509,Hybrid Structural and Dynamic Assessment
47,RM005,Hybrid Structural and Dynamic Assessment,1,6.54049,Hybrid Structural and Dynamic Assessment
47,RM003,Scenario Stress-Test Framework,2,5.993,Hybrid Structural and Dynamic Assessment
47,RM001,Indicator Dashboard,3,5.94049,Hybrid Structural and Dynamic Assessment
47,RM004,Participatory Resilience Assessment,4,5.61132,Hybrid Structural and Dynamic Assessment
47,RM002,Performance and Recovery Monitoring,5,5.51101,Hybrid Structural and Dynamic Assessment
48,RM005,Hybrid Structural and Dynamic Assessment,1,6.812,Hybrid Structural and Dynamic Assessment
48,RM004,Participatory Resilience Assessment,2,6.40691,Hybrid Structural and Dynamic Assessment
48,RM003,Scenario Stress-Test Framework,3,6.20077,Hybrid Structural and Dynamic Assessment
48,RM002,Performance and Recovery Monitoring,4,5.76784,Hybrid Structural and Dynamic Assessment
48,RM001,Indicator Dashboard,5,5.48574,Hybrid Structural and Dynamic Assessment
49,RM005,Hybrid Structural and Dynamic Assessment,1,6.89934,Hybrid Structural and Dynamic Assessment
49,RM004,Participatory Resilience Assessment,2,6.44491,Hybrid Structural and Dynamic Assessment
49,RM003,Scenario Stress-Test Framework,3,5.89226,Hybrid Structural and Dynamic Assessment
49,RM001,Indicator Dashboard,4,5.71848,Hybrid Structural and Dynamic Assessment
49,RM002,Performance and Recovery Monitoring,5,5.38726,Hybrid Structural and Dynamic Assessment
50,RM005,Hybrid Structural and Dynamic Assessment,1,6.93266,Hybrid Structural and Dynamic Assessment
50,RM003,Scenario Stress-Test Framework,2,6.50523,Hybrid Structural and Dynamic Assessment
50,RM004,Participatory Resilience Assessment,3,6.28996,Hybrid Structural and Dynamic Assessment
50,RM001,Indicator Dashboard,4,5.77517,Hybrid Structural and Dynamic Assessment
50,RM002,Performance and Recovery Monitoring,5,5.59318,Hybrid Structural and Dynamic Assessment
51,RM005,Hybrid Structural and Dynamic Assessment,1,7.0775,Hybrid Structural and Dynamic Assessment
51,RM003,Scenario Stress-Test Framework,2,6.23524,Hybrid Structural and Dynamic Assessment
51,RM004,Participatory Resilience Assessment,3,5.63054,Hybrid Structural and Dynamic Assessment
51,RM001,Indicator Dashboard,4,5.44757,Hybrid Structural and Dynamic Assessment
51,RM002,Performance and Recovery Monitoring,5,5.35384,Hybrid Structural and Dynamic Assessment
52,RM005,Hybrid Structural and Dynamic Assessment,1,6.92013,Hybrid Structural and Dynamic Assessment
52,RM003,Scenario Stress-Test Framework,2,6.66079,Hybrid Structural and Dynamic Assessment
52,RM004,Participatory Resilience Assessment,3,6.25674,Hybrid Structural and Dynamic Assessment
52,RM002,Performance and Recovery Monitoring,4,6.01256,Hybrid Structural and Dynamic Assessment
52,RM001,Indicator Dashboard,5,5.14563,Hybrid Structural and Dynamic Assessment
53,RM005,Hybrid Structural and Dynamic Assessment,1,6.75539,Hybrid Structural and Dynamic Assessment
53,RM002,Performance and Recovery Monitoring,2,6.10509,Hybrid Structural and Dynamic Assessment
53,RM003,Scenario Stress-Test Framework,3,6.09513,Hybrid Structural and Dynamic Assessment
53,RM004,Participatory Resilience Assessment,4,5.98513,Hybrid Structural and Dynamic Assessment
53,RM001,Indicator Dashboard,5,5.50197,Hybrid Structural and Dynamic Assessment
54,RM005,Hybrid Structural and Dynamic Assessment,1,6.70643,Hybrid Structural and Dynamic Assessment
54,RM003,Scenario Stress-Test Framework,2,6.40753,Hybrid Structural and Dynamic Assessment
54,RM004,Participatory Resilience Assessment,3,6.03813,Hybrid Structural and Dynamic Assessment
54,RM002,Performance and Recovery Monitoring,4,5.9286,Hybrid Structural and Dynamic Assessment
54,RM001,Indicator Dashboard,5,5.5773,Hybrid Structural and Dynamic Assessment
55,RM005,Hybrid Structural and Dynamic Assessment,1,6.62083,Hybrid Structural and Dynamic Assessment
55,RM002,Performance and Recovery Monitoring,2,6.32776,Hybrid Structural and Dynamic Assessment
55,RM004,Participatory Resilience Assessment,3,6.18164,Hybrid Structural and Dynamic Assessment
55,RM003,Scenario Stress-Test Framework,4,5.88942,Hybrid Structural and Dynamic Assessment
55,RM001,Indicator Dashboard,5,5.57974,Hybrid Structural and Dynamic Assessment
56,RM005,Hybrid Structural and Dynamic Assessment,1,7.23188,Hybrid Structural and Dynamic Assessment
56,RM002,Performance and Recovery Monitoring,2,6.0615,Hybrid Structural and Dynamic Assessment
56,RM004,Participatory Resilience Assessment,3,5.97166,Hybrid Structural and Dynamic Assessment
56,RM003,Scenario Stress-Test Framework,4,5.9237,Hybrid Structural and Dynamic Assessment
56,RM001,Indicator Dashboard,5,5.70937,Hybrid Structural and Dynamic Assessment
57,RM005,Hybrid Structural and Dynamic Assessment,1,6.48664,Hybrid Structural and Dynamic Assessment
57,RM002,Performance and Recovery Monitoring,2,6.31403,Hybrid Structural and Dynamic Assessment
57,RM003,Scenario Stress-Test Framework,3,5.952,Hybrid Structural and Dynamic Assessment
57,RM004,Participatory Resilience Assessment,4,5.93901,Hybrid Structural and Dynamic Assessment
57,RM001,Indicator Dashboard,5,5.26953,Hybrid Structural and Dynamic Assessment
58,RM005,Hybrid Structural and Dynamic Assessment,1,6.86001,Hybrid Structural and Dynamic Assessment
58,RM004,Participatory Resilience Assessment,2,6.10606,Hybrid Structural and Dynamic Assessment
58,RM003,Scenario Stress-Test Framework,3,5.63377,Hybrid Structural and Dynamic Assessment
58,RM002,Performance and Recovery Monitoring,4,5.55361,Hybrid Structural and Dynamic Assessment
58,RM001,Indicator Dashboard,5,5.3491,Hybrid Structural and Dynamic Assessment
59,RM005,Hybrid Structural and Dynamic Assessment,1,6.95857,Hybrid Structural and Dynamic Assessment
59,RM003,Scenario Stress-Test Framework,2,6.10717,Hybrid Structural and Dynamic Assessment
59,RM002,Performance and Recovery Monitoring,3,5.86401,Hybrid Structural and Dynamic Assessment
59,RM004,Participatory Resilience Assessment,4,5.83343,Hybrid Structural and Dynamic Assessment
59,RM001,Indicator Dashboard,5,5.69573,Hybrid Structural and Dynamic Assessment
60,RM005,Hybrid Structural and Dynamic Assessment,1,6.58134,Hybrid Structural and Dynamic Assessment
60,RM004,Participatory Resilience Assessment,2,6.39871,Hybrid Structural and Dynamic Assessment
60,RM002,Performance and Recovery Monitoring,3,5.82431,Hybrid Structural and Dynamic Assessment
60,RM003,Scenario Stress-Test Framework,4,5.74606,Hybrid Structural and Dynamic Assessment
