dynamic_id,pathway,time,shock,climate_pressure,exposure,institutional_capacity,social_protection,ecological_repair,governance_legitimacy,trust,burden_shift,lock_in_risk,transformation_capacity,justice_gap,justice_adjusted_resilience
JTD001,Technical decarbonization only,18,0.03599,0.297,0.0,1.0,0.8439,1.0,0.46,0.62535,0.66,0.0,0.79367,0.0,0.86244
JTD001,Technical decarbonization only,19,0.03479,0.3027,0.0,1.0,0.87061,1.0,0.46,0.64253,0.66,0.0,0.79922,0.0,0.87133
JTD001,Technical decarbonization only,20,0.03534,0.30883,0.0,1.0,0.8973,1.0,0.46,0.66077,0.66,0.0,0.80486,0.0,0.8804
JTD001,Technical decarbonization only,21,0.03362,0.3144,0.0,1.0,0.92403,1.0,0.46,0.68012,0.66,0.0,0.81061,0.0,0.88969
JTD001,Technical decarbonization only,22,0.04506,0.32327,0.0,1.0,0.95053,1.0,0.46,0.70019,0.66,0.0,0.8164,0.0,0.89906
JTD001,Technical decarbonization only,23,0.04331,0.32883,0.0,1.0,0.97706,1.0,0.46,0.72137,0.66,0.0,0.82228,0.0,0.90864
JTD001,Technical decarbonization only,24,0.03061,0.33165,0.0,1.0,1.0,1.0,0.46,0.74385,0.66,0.0,0.82775,0.0,0.91768
JTD001,Technical decarbonization only,25,0.31,0.4075,0.0,1.0,1.0,1.0,0.46,0.75795,0.66,0.0,0.82902,0.0,0.92024
JTD001,Technical decarbonization only,26,0.03156,0.34389,0.0,1.0,1.0,1.0,0.46,0.78041,0.66,0.0,0.83104,0.0,0.92431
JTD001,Technical decarbonization only,27,0.04287,0.35272,0.0,1.0,1.0,1.0,0.46,0.80252,0.66,0.0,0.83303,0.0,0.92833
JTD001,Technical decarbonization only,28,0.03815,0.35754,0.0,1.0,1.0,1.0,0.46,0.82478,0.66,0.0,0.83503,0.0,0.93237
JTD001,Technical decarbonization only,29,0.04077,0.36419,0.0,1.0,1.0,1.0,0.46,0.84695,0.66,0.0,0.83703,0.0,0.9364
JTD001,Technical decarbonization only,30,0.04523,0.37131,0.0,1.0,1.0,1.0,0.46,0.869,0.66,0.0,0.83901,0.0,0.9404
JTD001,Technical decarbonization only,31,0.04558,0.37739,0.0,1.0,1.0,1.0,0.46,0.89103,0.66,0.0,0.84099,0.0,0.9444
JTD001,Technical decarbonization only,32,0.04366,0.38291,0.0,1.0,1.0,1.0,0.46,0.91312,0.66,0.0,0.84298,0.0,0.94841
JTD001,Technical decarbonization only,33,0.03587,0.38697,0.0,1.0,1.0,1.0,0.46,0.93544,0.66,0.0,0.84499,0.0,0.95247
JTD001,Technical decarbonization only,34,0.03189,0.39197,0.0,1.0,1.0,1.0,0.46,0.95789,0.66,0.0,0.84701,0.0,0.95654
JTD001,Technical decarbonization only,35,0.04167,0.40042,0.0,1.0,1.0,1.0,0.46,0.98004,0.66,0.0,0.849,0.0,0.96057
JTD001,Technical decarbonization only,36,0.04069,0.40617,0.0,1.0,1.0,1.0,0.46,1.0,0.66,0.0,0.8508,0.0,0.96419
JTD001,Technical decarbonization only,37,0.04786,0.41397,0.0,1.0,1.0,1.0,0.46,1.0,0.66,0.0,0.8508,0.0,0.96419
JTD001,Technical decarbonization only,38,0.04763,0.41991,0.0,1.0,1.0,1.0,0.46,1.0,0.66,0.0,0.8508,0.0,0.96419
JTD001,Technical decarbonization only,39,0.34,0.499,0.0,1.0,1.0,1.0,0.46,1.0,0.66,0.0,0.8508,0.0,0.96419
JTD001,Technical decarbonization only,40,0.03822,0.42956,0.0,1.0,1.0,1.0,0.46,1.0,0.66,0.0,0.8508,0.0,0.96419
JTD001,Technical decarbonization only,41,0.04421,0.43705,0.0,1.0,1.0,1.0,0.46,1.0,0.66,0.0,0.8508,0.0,0.96419
JTD001,Technical decarbonization only,42,0.03837,0.44159,0.0,1.0,1.0,1.0,0.46,1.0,0.66,0.0,0.8508,0.0,0.96419
JTD001,Technical decarbonization only,43,0.04932,0.45033,0.0,1.0,1.0,1.0,0.46,1.0,0.66,0.0,0.8508,0.0,0.96419
JTD001,Technical decarbonization only,44,0.03027,0.45157,0.0,1.0,1.0,1.0,0.46,1.0,0.66,0.0,0.8508,0.0,0.96419
JTD001,Technical decarbonization only,45,0.03827,0.45957,0.0,1.0,1.0,1.0,0.46,1.0,0.66,0.0,0.8508,0.0,0.96419
JTD001,Technical decarbonization only,46,0.04686,0.46771,0.0,1.0,1.0,1.0,0.46,1.0,0.66,0.0,0.8508,0.0,0.96419
JTD001,Technical decarbonization only,47,0.04897,0.47424,0.0,1.0,1.0,1.0,0.46,1.0,0.66,0.0,0.8508,0.0,0.96419
JTD001,Technical decarbonization only,48,0.04012,0.47803,0.0,1.0,1.0,1.0,0.46,1.0,0.66,0.0,0.8508,0.0,0.96419
JTD001,Technical decarbonization only,49,0.03504,0.48276,0.0,1.0,1.0,1.0,0.46,1.0,0.66,0.0,0.8508,0.0,0.96419
JTD001,Technical decarbonization only,50,0.04183,0.49046,0.0,1.0,1.0,1.0,0.46,1.0,0.66,0.0,0.8508,0.0,0.96419
JTD001,Technical decarbonization only,51,0.03638,0.49509,0.0,1.0,1.0,1.0,0.46,1.0,0.66,0.0,0.8508,0.0,0.96419
JTD001,Technical decarbonization only,52,0.04393,0.50298,0.0,1.0,1.0,1.0,0.46,1.0,0.66,0.0,0.8508,0.0,0.96419
JTD001,Technical decarbonization only,53,0.03685,0.50721,0.0,1.0,1.0,1.0,0.46,1.0,0.66,0.0,0.8508,0.0,0.96419
JTD001,Technical decarbonization only,54,0.03384,0.51246,0.0,1.0,1.0,1.0,0.46,1.0,0.66,0.0,0.8508,0.0,0.96419
JTD001,Technical decarbonization only,55,0.04175,0.52044,0.0,1.0,1.0,1.0,0.46,1.0,0.66,0.0,0.8508,0.0,0.96419
JTD001,Technical decarbonization only,56,0.3,0.591,0.0,1.0,1.0,1.0,0.46,1.0,0.66,0.0,0.8508,0.0,0.96419
JTD001,Technical decarbonization only,57,0.0398,0.53195,0.0,1.0,1.0,1.0,0.46,1.0,0.66,0.0,0.8508,0.0,0.96419
JTD001,Technical decarbonization only,58,0.04186,0.53846,0.0,1.0,1.0,1.0,0.46,1.0,0.66,0.0,0.8508,0.0,0.96419
JTD001,Technical decarbonization only,59,0.04141,0.54435,0.0,1.0,1.0,1.0,0.46,1.0,0.66,0.0,0.8508,0.0,0.96419
JTD001,Technical decarbonization only,60,0.04049,0.55012,0.0,1.0,1.0,1.0,0.46,1.0,0.66,0.0,0.8508,0.0,0.96419
JTD001,Technical decarbonization only,61,0.03012,0.55353,0.0,1.0,1.0,1.0,0.46,1.0,0.66,0.0,0.8508,0.0,0.96419
JTD001,Technical decarbonization only,62,0.03745,0.56136,0.0,1.0,1.0,1.0,0.46,1.0,0.66,0.0,0.8508,0.0,0.96419
JTD001,Technical decarbonization only,63,0.04747,0.56987,0.0,1.0,1.0,1.0,0.46,1.0,0.66,0.0,0.8508,0.0,0.96419
JTD001,Technical decarbonization only,64,0.04023,0.57406,0.0,1.0,1.0,1.0,0.46,1.0,0.66,0.0,0.8508,0.0,0.96419
JTD001,Technical decarbonization only,65,0.04567,0.58142,0.0,1.0,1.0,1.0,0.46,1.0,0.66,0.0,0.8508,0.0,0.96419
JTD001,Technical decarbonization only,66,0.04909,0.58827,0.0,1.0,1.0,1.0,0.46,1.0,0.66,0.0,0.8508,0.0,0.96419
JTD001,Technical decarbonization only,67,0.03075,0.58969,0.0,1.0,1.0,1.0,0.46,1.0,0.66,0.0,0.8508,0.0,0.96419
JTD001,Technical decarbonization only,68,0.04456,0.59914,0.0,1.0,1.0,1.0,0.46,1.0,0.66,0.0,0.8508,0.0,0.96419
JTD001,Technical decarbonization only,69,0.03978,0.60395,0.0,1.0,1.0,1.0,0.46,1.0,0.66,0.0,0.8508,0.0,0.96419
JTD001,Technical decarbonization only,70,0.03005,0.60751,0.0,1.0,1.0,1.0,0.46,1.0,0.66,0.0,0.8508,0.0,0.96419
JTD001,Technical decarbonization only,71,0.03438,0.61459,0.0,1.0,1.0,1.0,0.46,1.0,0.66,0.0,0.8508,0.0,0.96419
JTD002,Just energy transition,0,0.04528,0.19132,0.48565,0.87804,0.92822,0.80727,0.84,0.56097,0.28,0.2258,0.837,0.0,0.75245
JTD002,Just energy transition,1,0.0429,0.19672,0.36461,0.93615,0.9788,0.85585,0.84,0.62404,0.28,0.14951,0.86772,0.0,0.81234
JTD002,Just energy transition,2,0.03819,0.20155,0.23672,0.99441,1.0,0.90578,0.84,0.68809,0.28,0.07106,0.8943,0.0,0.86752
JTD002,Just energy transition,3,0.03396,0.20649,0.10185,1.0,1.0,0.95571,0.84,0.75227,0.28,0.0,0.90719,0.0,0.91586
JTD002,Just energy transition,4,0.04353,0.21488,0.0,1.0,1.0,1.0,0.84,0.81617,0.28,0.0,0.91825,0.0,0.95097
JTD002,Just energy transition,5,0.04939,0.22235,0.0,1.0,1.0,1.0,0.84,0.87988,0.28,0.0,0.92399,0.0,0.96254
JTD002,Just energy transition,6,0.03855,0.22564,0.0,1.0,1.0,1.0,0.84,0.94393,0.28,0.0,0.92975,0.0,0.97417
JTD002,Just energy transition,7,0.04702,0.23375,0.0,1.0,1.0,1.0,0.84,1.0,0.28,0.0,0.9348,0.0,0.98435
JTD002,Just energy transition,8,0.03072,0.23568,0.0,1.0,1.0,1.0,0.84,1.0,0.28,0.0,0.9348,0.0,0.98435
JTD002,Just energy transition,9,0.04056,0.24414,0.0,1.0,1.0,1.0,0.84,1.0,0.28,0.0,0.9348,0.0,0.98435
JTD002,Just energy transition,10,0.03403,0.24851,0.0,1.0,1.0,1.0,0.84,1.0,0.28,0.0,0.9348,0.0,0.98435
JTD002,Just energy transition,11,0.03989,0.25597,0.0,1.0,1.0,1.0,0.84,1.0,0.28,0.0,0.9348,0.0,0.98435
JTD002,Just energy transition,12,0.28,0.322,0.0,1.0,1.0,1.0,0.84,1.0,0.28,0.0,0.9348,0.0,0.98435
JTD002,Just energy transition,13,0.04712,0.26978,0.0,1.0,1.0,1.0,0.84,1.0,0.28,0.0,0.9348,0.0,0.98435
JTD002,Just energy transition,14,0.04046,0.27411,0.0,1.0,1.0,1.0,0.84,1.0,0.28,0.0,0.9348,0.0,0.98435
JTD002,Just energy transition,15,0.04738,0.28184,0.0,1.0,1.0,1.0,0.84,1.0,0.28,0.0,0.9348,0.0,0.98435
JTD002,Just energy transition,16,0.03654,0.28513,0.0,1.0,1.0,1.0,0.84,1.0,0.28,0.0,0.9348,0.0,0.98435
JTD002,Just energy transition,17,0.03257,0.29014,0.0,1.0,1.0,1.0,0.84,1.0,0.28,0.0,0.9348,0.0,0.98435
JTD002,Just energy transition,18,0.0393,0.29782,0.0,1.0,1.0,1.0,0.84,1.0,0.28,0.0,0.9348,0.0,0.98435
JTD002,Just energy transition,19,0.0443,0.30508,0.0,1.0,1.0,1.0,0.84,1.0,0.28,0.0,0.9348,0.0,0.98435
JTD002,Just energy transition,20,0.04416,0.31104,0.0,1.0,1.0,1.0,0.84,1.0,0.28,0.0,0.9348,0.0,0.98435
JTD002,Just energy transition,21,0.03073,0.31368,0.0,1.0,1.0,1.0,0.84,1.0,0.28,0.0,0.9348,0.0,0.98435
JTD002,Just energy transition,22,0.03497,0.32074,0.0,1.0,1.0,1.0,0.84,1.0,0.28,0.0,0.9348,0.0,0.98435
JTD002,Just energy transition,23,0.03509,0.32677,0.0,1.0,1.0,1.0,0.84,1.0,0.28,0.0,0.9348,0.0,0.98435
JTD002,Just energy transition,24,0.03943,0.33386,0.0,1.0,1.0,1.0,0.84,1.0,0.28,0.0,0.9348,0.0,0.98435
JTD002,Just energy transition,25,0.31,0.4075,0.0,1.0,1.0,1.0,0.84,1.0,0.28,0.0,0.9348,0.0,0.98435
JTD002,Just energy transition,26,0.03542,0.34485,0.0,1.0,1.0,1.0,0.84,1.0,0.28,0.0,0.9348,0.0,0.98435
JTD002,Just energy transition,27,0.03092,0.34973,0.0,1.0,1.0,1.0,0.84,1.0,0.28,0.0,0.9348,0.0,0.98435
JTD002,Just energy transition,28,0.04796,0.35999,0.0,1.0,1.0,1.0,0.84,1.0,0.28,0.0,0.9348,0.0,0.98435
JTD002,Just energy transition,29,0.04738,0.36585,0.0,1.0,1.0,1.0,0.84,1.0,0.28,0.0,0.9348,0.0,0.98435
JTD002,Just energy transition,30,0.04541,0.37135,0.0,1.0,1.0,1.0,0.84,1.0,0.28,0.0,0.9348,0.0,0.98435
JTD002,Just energy transition,31,0.03077,0.37369,0.0,1.0,1.0,1.0,0.84,1.0,0.28,0.0,0.9348,0.0,0.98435
JTD002,Just energy transition,32,0.03521,0.3808,0.0,1.0,1.0,1.0,0.84,1.0,0.28,0.0,0.9348,0.0,0.98435
JTD002,Just energy transition,33,0.03354,0.38638,0.0,1.0,1.0,1.0,0.84,1.0,0.28,0.0,0.9348,0.0,0.98435
JTD002,Just energy transition,34,0.0483,0.39607,0.0,1.0,1.0,1.0,0.84,1.0,0.28,0.0,0.9348,0.0,0.98435
JTD002,Just energy transition,35,0.0325,0.39812,0.0,1.0,1.0,1.0,0.84,1.0,0.28,0.0,0.9348,0.0,0.98435
JTD002,Just energy transition,36,0.03255,0.40414,0.0,1.0,1.0,1.0,0.84,1.0,0.28,0.0,0.9348,0.0,0.98435
JTD002,Just energy transition,37,0.03441,0.4106,0.0,1.0,1.0,1.0,0.84,1.0,0.28,0.0,0.9348,0.0,0.98435
JTD002,Just energy transition,38,0.04582,0.41945,0.0,1.0,1.0,1.0,0.84,1.0,0.28,0.0,0.9348,0.0,0.98435
JTD002,Just energy transition,39,0.34,0.499,0.0,1.0,1.0,1.0,0.84,1.0,0.28,0.0,0.9348,0.0,0.98435
JTD002,Just energy transition,40,0.04967,0.43242,0.0,1.0,1.0,1.0,0.84,1.0,0.28,0.0,0.9348,0.0,0.98435
JTD002,Just energy transition,41,0.03616,0.43504,0.0,1.0,1.0,1.0,0.84,1.0,0.28,0.0,0.9348,0.0,0.98435
JTD002,Just energy transition,42,0.043,0.44275,0.0,1.0,1.0,1.0,0.84,1.0,0.28,0.0,0.9348,0.0,0.98435
JTD002,Just energy transition,43,0.03384,0.44646,0.0,1.0,1.0,1.0,0.84,1.0,0.28,0.0,0.9348,0.0,0.98435
JTD002,Just energy transition,44,0.03584,0.45296,0.0,1.0,1.0,1.0,0.84,1.0,0.28,0.0,0.9348,0.0,0.98435
JTD002,Just energy transition,45,0.04731,0.46183,0.0,1.0,1.0,1.0,0.84,1.0,0.28,0.0,0.9348,0.0,0.98435
JTD002,Just energy transition,46,0.04995,0.46849,0.0,1.0,1.0,1.0,0.84,1.0,0.28,0.0,0.9348,0.0,0.98435
JTD002,Just energy transition,47,0.03485,0.47071,0.0,1.0,1.0,1.0,0.84,1.0,0.28,0.0,0.9348,0.0,0.98435
JTD002,Just energy transition,48,0.03699,0.47725,0.0,1.0,1.0,1.0,0.84,1.0,0.28,0.0,0.9348,0.0,0.98435
JTD002,Just energy transition,49,0.03115,0.48179,0.0,1.0,1.0,1.0,0.84,1.0,0.28,0.0,0.9348,0.0,0.98435
JTD002,Just energy transition,50,0.03389,0.48847,0.0,1.0,1.0,1.0,0.84,1.0,0.28,0.0,0.9348,0.0,0.98435
JTD002,Just energy transition,51,0.03768,0.49542,0.0,1.0,1.0,1.0,0.84,1.0,0.28,0.0,0.9348,0.0,0.98435
JTD002,Just energy transition,52,0.04042,0.50211,0.0,1.0,1.0,1.0,0.84,1.0,0.28,0.0,0.9348,0.0,0.98435
JTD002,Just energy transition,53,0.04146,0.50836,0.0,1.0,1.0,1.0,0.84,1.0,0.28,0.0,0.9348,0.0,0.98435
JTD002,Just energy transition,54,0.03699,0.51325,0.0,1.0,1.0,1.0,0.84,1.0,0.28,0.0,0.9348,0.0,0.98435
JTD002,Just energy transition,55,0.03316,0.51829,0.0,1.0,1.0,1.0,0.84,1.0,0.28,0.0,0.9348,0.0,0.98435
JTD002,Just energy transition,56,0.3,0.591,0.0,1.0,1.0,1.0,0.84,1.0,0.28,0.0,0.9348,0.0,0.98435
JTD002,Just energy transition,57,0.03698,0.53124,0.0,1.0,1.0,1.0,0.84,1.0,0.28,0.0,0.9348,0.0,0.98435
JTD002,Just energy transition,58,0.0369,0.53723,0.0,1.0,1.0,1.0,0.84,1.0,0.28,0.0,0.9348,0.0,0.98435
JTD002,Just energy transition,59,0.04946,0.54637,0.0,1.0,1.0,1.0,0.84,1.0,0.28,0.0,0.9348,0.0,0.98435
JTD002,Just energy transition,60,0.04175,0.55044,0.0,1.0,1.0,1.0,0.84,1.0,0.28,0.0,0.9348,0.0,0.98435
JTD002,Just energy transition,61,0.0303,0.55358,0.0,1.0,1.0,1.0,0.84,1.0,0.28,0.0,0.9348,0.0,0.98435
JTD002,Just energy transition,62,0.04914,0.56429,0.0,1.0,1.0,1.0,0.84,1.0,0.28,0.0,0.9348,0.0,0.98435
JTD002,Just energy transition,63,0.04939,0.57035,0.0,1.0,1.0,1.0,0.84,1.0,0.28,0.0,0.9348,0.0,0.98435
JTD002,Just energy transition,64,0.0378,0.57345,0.0,1.0,1.0,1.0,0.84,1.0,0.28,0.0,0.9348,0.0,0.98435
JTD002,Just energy transition,65,0.04959,0.5824,0.0,1.0,1.0,1.0,0.84,1.0,0.28,0.0,0.9348,0.0,0.98435
JTD002,Just energy transition,66,0.0321,0.58403,0.0,1.0,1.0,1.0,0.84,1.0,0.28,0.0,0.9348,0.0,0.98435
JTD002,Just energy transition,67,0.04837,0.59409,0.0,1.0,1.0,1.0,0.84,1.0,0.28,0.0,0.9348,0.0,0.98435
JTD002,Just energy transition,68,0.03338,0.59634,0.0,1.0,1.0,1.0,0.84,1.0,0.28,0.0,0.9348,0.0,0.98435
JTD002,Just energy transition,69,0.04728,0.60582,0.0,1.0,1.0,1.0,0.84,1.0,0.28,0.0,0.9348,0.0,0.98435
JTD002,Just energy transition,70,0.04355,0.61089,0.0,1.0,1.0,1.0,0.84,1.0,0.28,0.0,0.9348,0.0,0.98435
JTD002,Just energy transition,71,0.04917,0.61829,0.0,1.0,1.0,1.0,0.84,1.0,0.28,0.0,0.9348,0.0,0.98435
JTD003,Retreat without support,0,0.03182,0.18795,0.62572,0.55665,0.36403,0.59442,0.4,0.48921,0.74,0.53661,0.54049,0.34641,0.40997
JTD003,Retreat without support,1,0.04684,0.19771,0.54734,0.59284,0.36921,0.6295,0.4,0.47817,0.74,0.49233,0.55172,0.31917,0.43899
JTD003,Retreat without support,2,0.04201,0.2025,0.46462,0.62918,0.37593,0.66536,0.4,0.46755,0.74,0.44666,0.56335,0.29046,0.46964
JTD003,Retreat without support,3,0.03425,0.20656,0.37745,0.66575,0.38428,0.70204,0.4,0.45749,0.74,0.39952,0.57541,0.2602,0.502
JTD003,Retreat without support,4,0.04559,0.2154,0.28592,0.70198,0.39385,0.73941,0.4,0.44748,0.74,0.35139,0.58768,0.22862,0.53573
JTD003,Retreat without support,5,0.04189,0.22047,0.18983,0.73833,0.40494,0.77755,0.4,0.43802,0.74,0.30189,0.60033,0.19553,0.57114
JTD003,Retreat without support,6,0.04656,0.22764,0.08918,0.77453,0.41739,0.81643,0.4,0.42892,0.74,0.25125,0.61329,0.16101,0.60809
JTD003,Retreat without support,7,0.04224,0.23256,0.0,0.81086,0.43138,0.85608,0.4,0.4205,0.74,0.19923,0.62666,0.12817,0.64387
JTD003,Retreat without support,8,0.04447,0.23912,0.0,0.84713,0.44678,0.89648,0.4,0.41264,0.74,0.14599,0.64036,0.11262,0.66437
JTD003,Retreat without support,9,0.0455,0.24538,0.0,0.88336,0.4636,0.93763,0.4,0.40542,0.74,0.09151,0.65442,0.09651,0.6857
JTD003,Retreat without support,10,0.03688,0.24922,0.0,0.91986,0.48206,0.9796,0.4,0.3992,0.74,0.03553,0.66896,0.07976,0.70802
JTD003,Retreat without support,11,0.03192,0.25398,0.0,0.9565,0.50208,1.0,0.4,0.39392,0.74,0.0,0.68127,0.06763,0.72338
JTD003,Retreat without support,12,0.28,0.322,0.0,0.9857,0.51831,1.0,0.4,0.38185,0.74,0.0,0.68845,0.0647,0.72668
JTD003,Retreat without support,13,0.03235,0.26609,0.0,1.0,0.54006,1.0,0.4,0.37809,0.74,0.0,0.69424,0.06079,0.73216
JTD003,Retreat without support,14,0.04114,0.27428,0.0,1.0,0.56164,1.0,0.4,0.37492,0.74,0.0,0.69719,0.05691,0.73703
JTD003,Retreat without support,15,0.04983,0.28246,0.0,1.0,0.58304,1.0,0.4,0.37234,0.74,0.0,0.70017,0.05305,0.74195
JTD003,Retreat without support,16,0.03701,0.28525,0.0,1.0,0.6047,1.0,0.4,0.37102,0.74,0.0,0.7033,0.04915,0.74717
JTD003,Retreat without support,17,0.03523,0.29081,0.0,1.0,0.6264,1.0,0.4,0.37062,0.74,0.0,0.70652,0.04525,0.75256
JTD003,Retreat without support,18,0.03765,0.29741,0.0,1.0,0.64804,1.0,0.4,0.37101,0.74,0.0,0.7098,0.04135,0.75809
JTD003,Retreat without support,19,0.03404,0.30251,0.0,1.0,0.66976,1.0,0.4,0.37238,0.74,0.0,0.71318,0.03744,0.76381
JTD003,Retreat without support,20,0.045,0.31125,0.0,1.0,0.69126,1.0,0.4,0.37428,0.74,0.0,0.71657,0.03357,0.76958
JTD003,Retreat without support,21,0.03596,0.31499,0.0,1.0,0.71294,1.0,0.4,0.37732,0.74,0.0,0.7201,0.02967,0.77559
JTD003,Retreat without support,22,0.03146,0.31987,0.0,1.0,0.73471,1.0,0.4,0.38137,0.74,0.0,0.72373,0.02575,0.78181
JTD003,Retreat without support,23,0.04191,0.32848,0.0,1.0,0.75628,1.0,0.4,0.38596,0.74,0.0,0.72738,0.02187,0.78808
JTD003,Retreat without support,24,0.03518,0.3328,0.0,1.0,0.77797,1.0,0.4,0.39162,0.74,0.0,0.73114,0.01796,0.79458
JTD003,Retreat without support,25,0.31,0.4075,0.0,1.0,0.79417,1.0,0.4,0.38969,0.74,0.0,0.7334,0.01505,0.79831
JTD003,Retreat without support,26,0.03034,0.34358,0.0,1.0,0.81597,1.0,0.4,0.39702,0.74,0.0,0.73733,0.01113,0.80513
JTD003,Retreat without support,27,0.04678,0.35369,0.0,1.0,0.83743,1.0,0.4,0.40471,0.74,0.0,0.74124,0.00726,0.81194
JTD003,Retreat without support,28,0.03755,0.35739,0.0,1.0,0.85908,1.0,0.4,0.41355,0.74,0.0,0.74528,0.00337,0.819
JTD003,Retreat without support,29,0.042,0.3645,0.0,1.0,0.88064,1.0,0.4,0.42312,0.74,0.0,0.74938,0.0,0.82606
JTD003,Retreat without support,30,0.03961,0.3699,0.0,1.0,0.90225,1.0,0.4,0.43362,0.74,0.0,0.75356,0.0,0.83264
JTD003,Retreat without support,31,0.04739,0.37785,0.0,1.0,0.9237,1.0,0.4,0.44474,0.74,0.0,0.75778,0.0,0.83929
JTD003,Retreat without support,32,0.03135,0.37984,0.0,1.0,0.94547,1.0,0.4,0.45722,0.74,0.0,0.76217,0.0,0.84626
JTD003,Retreat without support,33,0.04268,0.38867,0.0,1.0,0.96702,1.0,0.4,0.47022,0.74,0.0,0.76657,0.0,0.85328
JTD003,Retreat without support,34,0.04659,0.39565,0.0,1.0,0.98849,1.0,0.4,0.48396,0.74,0.0,0.77103,0.0,0.86041
JTD003,Retreat without support,35,0.03564,0.39891,0.0,1.0,1.0,1.0,0.4,0.49849,0.74,0.0,0.77406,0.0,0.86553
JTD003,Retreat without support,36,0.03867,0.40567,0.0,1.0,1.0,1.0,0.4,0.51293,0.74,0.0,0.77536,0.0,0.86816
JTD003,Retreat without support,37,0.03673,0.41118,0.0,1.0,1.0,1.0,0.4,0.52743,0.74,0.0,0.77667,0.0,0.87079
JTD003,Retreat without support,38,0.03648,0.41712,0.0,1.0,1.0,1.0,0.4,0.54194,0.74,0.0,0.77797,0.0,0.87342
JTD003,Retreat without support,39,0.34,0.499,0.0,1.0,1.0,1.0,0.4,0.54734,0.74,0.0,0.77846,0.0,0.8744
JTD003,Retreat without support,40,0.03457,0.42864,0.0,1.0,1.0,1.0,0.4,0.5619,0.74,0.0,0.77977,0.0,0.87705
JTD003,Retreat without support,41,0.04476,0.43719,0.0,1.0,1.0,1.0,0.4,0.57616,0.74,0.0,0.78105,0.0,0.87964
JTD003,Retreat without support,42,0.03088,0.43972,0.0,1.0,1.0,1.0,0.4,0.59083,0.74,0.0,0.78237,0.0,0.8823
JTD003,Retreat without support,43,0.04563,0.44941,0.0,1.0,1.0,1.0,0.4,0.60506,0.74,0.0,0.78366,0.0,0.88489
JTD003,Retreat without support,44,0.03161,0.4519,0.0,1.0,1.0,1.0,0.4,0.61971,0.74,0.0,0.78497,0.0,0.88755
JTD003,Retreat without support,45,0.04579,0.46145,0.0,1.0,1.0,1.0,0.4,0.63394,0.74,0.0,0.78625,0.0,0.89013
