simulation_id,pathway_id,pathway,rank,adjusted_value,justice_gap
3,JTR009,Ecosystem Restoration with Community Stewardship,4,6.78985,1.37753
3,JTR008,Public Digital Infrastructure with Community Oversight,5,6.77486,0.82817
3,JTR002,Just Energy Transition with Worker Support,6,6.66788,1.32106
3,JTR005,Green Infrastructure Without Housing Protection,7,3.0479,3.51867
3,JTR001,Technical Decarbonization Only,8,1.83685,4.2045
3,JTR003,Coastal Retreat Without Long-Term Support,9,1.40176,4.30669
3,JTR007,Digital Modernization Without Access Safeguards,10,0.82396,4.69982
4,JTR004,Participatory Retreat and Wetland Restoration,1,7.70374,1.0179
4,JTR006,Climate Retrofit with Anti-Displacement Policy,2,7.54132,0.76576
4,JTR010,Infrastructure Repair and Public Capacity Renewal,3,7.23873,0.9901
4,JTR002,Just Energy Transition with Worker Support,4,6.925,1.11246
4,JTR009,Ecosystem Restoration with Community Stewardship,5,6.62899,1.44059
4,JTR008,Public Digital Infrastructure with Community Oversight,6,6.46241,1.2253
4,JTR005,Green Infrastructure Without Housing Protection,7,1.80713,3.96508
4,JTR007,Digital Modernization Without Access Safeguards,8,1.51374,4.40889
4,JTR003,Coastal Retreat Without Long-Term Support,9,1.49918,4.39298
4,JTR001,Technical Decarbonization Only,10,1.45137,4.48245
5,JTR010,Infrastructure Repair and Public Capacity Renewal,1,7.13713,1.19645
5,JTR009,Ecosystem Restoration with Community Stewardship,2,7.09393,1.17457
5,JTR004,Participatory Retreat and Wetland Restoration,3,7.04936,1.34159
5,JTR006,Climate Retrofit with Anti-Displacement Policy,4,6.98811,1.37323
5,JTR002,Just Energy Transition with Worker Support,5,6.8093,1.25791
5,JTR008,Public Digital Infrastructure with Community Oversight,6,6.78605,0.82548
5,JTR005,Green Infrastructure Without Housing Protection,7,2.82029,3.62428
5,JTR001,Technical Decarbonization Only,8,1.95716,4.23175
5,JTR007,Digital Modernization Without Access Safeguards,9,1.47673,4.36904
5,JTR003,Coastal Retreat Without Long-Term Support,10,0.67522,4.85365
6,JTR004,Participatory Retreat and Wetland Restoration,1,7.70633,0.91135
6,JTR009,Ecosystem Restoration with Community Stewardship,2,7.15691,1.06344
6,JTR006,Climate Retrofit with Anti-Displacement Policy,3,7.12407,1.23899
6,JTR008,Public Digital Infrastructure with Community Oversight,4,6.85817,0.91619
6,JTR002,Just Energy Transition with Worker Support,5,6.83108,1.05543
6,JTR010,Infrastructure Repair and Public Capacity Renewal,6,6.80189,0.86592
6,JTR005,Green Infrastructure Without Housing Protection,7,2.93624,3.59819
6,JTR007,Digital Modernization Without Access Safeguards,8,1.69095,4.04586
6,JTR003,Coastal Retreat Without Long-Term Support,9,1.23352,4.5357
6,JTR001,Technical Decarbonization Only,10,1.15914,4.66207
7,JTR006,Climate Retrofit with Anti-Displacement Policy,1,7.28379,1.05107
7,JTR009,Ecosystem Restoration with Community Stewardship,2,7.27,0.96893
7,JTR010,Infrastructure Repair and Public Capacity Renewal,3,7.26984,0.91662
7,JTR008,Public Digital Infrastructure with Community Oversight,4,7.13528,0.96292
7,JTR002,Just Energy Transition with Worker Support,5,7.1199,1.0185
7,JTR004,Participatory Retreat and Wetland Restoration,6,7.07372,1.10461
7,JTR005,Green Infrastructure Without Housing Protection,7,2.93482,3.47338
7,JTR003,Coastal Retreat Without Long-Term Support,8,2.25372,4.01427
7,JTR001,Technical Decarbonization Only,9,2.12313,3.79837
7,JTR007,Digital Modernization Without Access Safeguards,10,0.49915,4.76582
8,JTR010,Infrastructure Repair and Public Capacity Renewal,1,7.38722,0.86142
8,JTR004,Participatory Retreat and Wetland Restoration,2,7.31228,0.90012
8,JTR009,Ecosystem Restoration with Community Stewardship,3,7.30296,1.22848
8,JTR002,Just Energy Transition with Worker Support,4,7.25225,1.0178
8,JTR006,Climate Retrofit with Anti-Displacement Policy,5,7.22335,1.20316
8,JTR008,Public Digital Infrastructure with Community Oversight,6,6.28612,1.42964
8,JTR005,Green Infrastructure Without Housing Protection,7,2.16003,4.00992
8,JTR007,Digital Modernization Without Access Safeguards,8,1.58,4.14357
8,JTR003,Coastal Retreat Without Long-Term Support,9,1.48135,4.24931
8,JTR001,Technical Decarbonization Only,10,1.09671,4.50881
9,JTR006,Climate Retrofit with Anti-Displacement Policy,1,7.21832,0.93518
9,JTR009,Ecosystem Restoration with Community Stewardship,2,7.1873,1.31375
9,JTR002,Just Energy Transition with Worker Support,3,7.11403,0.88314
9,JTR008,Public Digital Infrastructure with Community Oversight,4,6.87191,1.14753
9,JTR004,Participatory Retreat and Wetland Restoration,5,6.8609,1.31361
9,JTR010,Infrastructure Repair and Public Capacity Renewal,6,6.66267,1.32988
9,JTR001,Technical Decarbonization Only,7,2.56592,3.74673
9,JTR005,Green Infrastructure Without Housing Protection,8,2.47071,3.85172
9,JTR007,Digital Modernization Without Access Safeguards,9,2.171,3.70728
9,JTR003,Coastal Retreat Without Long-Term Support,10,0.31325,4.79548
10,JTR010,Infrastructure Repair and Public Capacity Renewal,1,7.6989,0.73301
10,JTR004,Participatory Retreat and Wetland Restoration,2,7.52721,1.07969
10,JTR006,Climate Retrofit with Anti-Displacement Policy,3,6.86151,1.02833
10,JTR009,Ecosystem Restoration with Community Stewardship,4,6.85129,1.21592
10,JTR002,Just Energy Transition with Worker Support,5,6.77825,1.21551
10,JTR008,Public Digital Infrastructure with Community Oversight,6,6.40941,1.09373
10,JTR007,Digital Modernization Without Access Safeguards,7,2.44857,3.59985
10,JTR003,Coastal Retreat Without Long-Term Support,8,2.33054,3.95271
10,JTR005,Green Infrastructure Without Housing Protection,9,2.17465,4.00433
10,JTR001,Technical Decarbonization Only,10,1.35856,4.6065
11,JTR009,Ecosystem Restoration with Community Stewardship,1,7.68329,0.8783
11,JTR002,Just Energy Transition with Worker Support,2,7.22893,0.94777
11,JTR004,Participatory Retreat and Wetland Restoration,3,7.19203,1.102
11,JTR008,Public Digital Infrastructure with Community Oversight,4,7.152,1.05622
11,JTR010,Infrastructure Repair and Public Capacity Renewal,5,7.14049,0.90565
11,JTR006,Climate Retrofit with Anti-Displacement Policy,6,6.9054,1.19591
11,JTR005,Green Infrastructure Without Housing Protection,7,2.54875,3.78717
11,JTR001,Technical Decarbonization Only,8,1.83993,4.14079
11,JTR003,Coastal Retreat Without Long-Term Support,9,1.54057,4.24569
11,JTR007,Digital Modernization Without Access Safeguards,10,1.09786,4.44454
12,JTR010,Infrastructure Repair and Public Capacity Renewal,1,7.57839,0.88134
12,JTR002,Just Energy Transition with Worker Support,2,7.15934,1.08797
12,JTR009,Ecosystem Restoration with Community Stewardship,3,7.04241,1.14664
12,JTR006,Climate Retrofit with Anti-Displacement Policy,4,6.98065,1.0169
12,JTR004,Participatory Retreat and Wetland Restoration,5,6.82932,1.1988
12,JTR008,Public Digital Infrastructure with Community Oversight,6,6.82182,1.1417
12,JTR005,Green Infrastructure Without Housing Protection,7,3.19152,3.70536
12,JTR007,Digital Modernization Without Access Safeguards,8,2.2601,3.86168
12,JTR001,Technical Decarbonization Only,9,1.39197,4.43673
12,JTR003,Coastal Retreat Without Long-Term Support,10,1.35018,4.15966
13,JTR002,Just Energy Transition with Worker Support,1,7.31034,1.19773
13,JTR010,Infrastructure Repair and Public Capacity Renewal,2,7.2197,1.00599
13,JTR009,Ecosystem Restoration with Community Stewardship,3,7.0907,1.12321
13,JTR004,Participatory Retreat and Wetland Restoration,4,7.02571,1.16742
13,JTR006,Climate Retrofit with Anti-Displacement Policy,5,6.97827,1.31261
13,JTR008,Public Digital Infrastructure with Community Oversight,6,6.80072,1.31493
13,JTR005,Green Infrastructure Without Housing Protection,7,2.92402,3.57663
13,JTR007,Digital Modernization Without Access Safeguards,8,2.15431,3.91801
13,JTR001,Technical Decarbonization Only,9,1.74233,4.05932
13,JTR003,Coastal Retreat Without Long-Term Support,10,1.30413,4.43686
14,JTR010,Infrastructure Repair and Public Capacity Renewal,1,7.52861,0.93968
14,JTR002,Just Energy Transition with Worker Support,2,7.18793,1.07182
14,JTR009,Ecosystem Restoration with Community Stewardship,3,7.12616,1.11549
14,JTR004,Participatory Retreat and Wetland Restoration,4,7.1128,1.02345
14,JTR006,Climate Retrofit with Anti-Displacement Policy,5,6.78451,1.37514
14,JTR008,Public Digital Infrastructure with Community Oversight,6,6.32808,1.29462
14,JTR007,Digital Modernization Without Access Safeguards,7,2.25704,3.85414
14,JTR005,Green Infrastructure Without Housing Protection,8,2.10225,4.31411
14,JTR003,Coastal Retreat Without Long-Term Support,9,1.68746,3.99906
14,JTR001,Technical Decarbonization Only,10,1.65503,4.42556
15,JTR006,Climate Retrofit with Anti-Displacement Policy,1,7.65364,0.85485
15,JTR004,Participatory Retreat and Wetland Restoration,2,7.41055,1.15471
15,JTR010,Infrastructure Repair and Public Capacity Renewal,3,7.15281,1.03375
15,JTR009,Ecosystem Restoration with Community Stewardship,4,7.13194,1.06181
15,JTR008,Public Digital Infrastructure with Community Oversight,5,6.76399,1.18232
15,JTR002,Just Energy Transition with Worker Support,6,6.6804,1.03191
15,JTR005,Green Infrastructure Without Housing Protection,7,2.12615,4.12875
15,JTR001,Technical Decarbonization Only,8,2.01502,4.0375
15,JTR007,Digital Modernization Without Access Safeguards,9,1.98513,3.82104
15,JTR003,Coastal Retreat Without Long-Term Support,10,1.54375,4.20533
16,JTR010,Infrastructure Repair and Public Capacity Renewal,1,7.44019,0.93508
16,JTR004,Participatory Retreat and Wetland Restoration,2,7.26477,1.0353
16,JTR009,Ecosystem Restoration with Community Stewardship,3,6.89353,1.24663
16,JTR008,Public Digital Infrastructure with Community Oversight,4,6.72554,0.92955
16,JTR006,Climate Retrofit with Anti-Displacement Policy,5,6.63828,1.26257
16,JTR002,Just Energy Transition with Worker Support,6,6.53033,1.14472
16,JTR005,Green Infrastructure Without Housing Protection,7,2.55195,3.96822
16,JTR007,Digital Modernization Without Access Safeguards,8,1.54105,4.16134
16,JTR003,Coastal Retreat Without Long-Term Support,9,1.07507,4.45318
16,JTR001,Technical Decarbonization Only,10,1.03671,4.53907
17,JTR009,Ecosystem Restoration with Community Stewardship,1,7.65347,0.85715
17,JTR006,Climate Retrofit with Anti-Displacement Policy,2,7.32193,1.05897
17,JTR004,Participatory Retreat and Wetland Restoration,3,7.18586,1.06361
17,JTR002,Just Energy Transition with Worker Support,4,7.10968,1.13795
17,JTR008,Public Digital Infrastructure with Community Oversight,5,7.05494,1.13376
17,JTR010,Infrastructure Repair and Public Capacity Renewal,6,6.54385,1.19592
17,JTR001,Technical Decarbonization Only,7,2.81534,3.50802
17,JTR005,Green Infrastructure Without Housing Protection,8,2.72879,3.87342
17,JTR007,Digital Modernization Without Access Safeguards,9,1.32377,4.32863
17,JTR003,Coastal Retreat Without Long-Term Support,10,0.59545,4.77806
18,JTR004,Participatory Retreat and Wetland Restoration,1,7.39545,1.30227
18,JTR009,Ecosystem Restoration with Community Stewardship,2,7.3867,0.94886
18,JTR002,Just Energy Transition with Worker Support,3,7.17494,1.14312
18,JTR006,Climate Retrofit with Anti-Displacement Policy,4,7.06573,1.21996
18,JTR010,Infrastructure Repair and Public Capacity Renewal,5,6.96602,1.03369
18,JTR008,Public Digital Infrastructure with Community Oversight,6,6.79101,1.06575
18,JTR005,Green Infrastructure Without Housing Protection,7,2.69839,3.84696
18,JTR001,Technical Decarbonization Only,8,2.23369,3.82695
18,JTR007,Digital Modernization Without Access Safeguards,9,2.03173,3.9455
18,JTR003,Coastal Retreat Without Long-Term Support,10,0.83561,4.65001
19,JTR004,Participatory Retreat and Wetland Restoration,1,7.72111,0.97598
19,JTR010,Infrastructure Repair and Public Capacity Renewal,2,7.29672,0.93905
19,JTR008,Public Digital Infrastructure with Community Oversight,3,7.09332,0.96245
19,JTR006,Climate Retrofit with Anti-Displacement Policy,4,6.92616,1.09512
19,JTR002,Just Energy Transition with Worker Support,5,6.88312,1.26689
19,JTR009,Ecosystem Restoration with Community Stewardship,6,6.8426,1.30669
19,JTR005,Green Infrastructure Without Housing Protection,7,2.09152,4.05979
19,JTR001,Technical Decarbonization Only,8,1.83979,4.39096
19,JTR003,Coastal Retreat Without Long-Term Support,9,1.77345,4.05312
19,JTR007,Digital Modernization Without Access Safeguards,10,1.45828,4.20128
20,JTR006,Climate Retrofit with Anti-Displacement Policy,1,7.28855,1.21741
20,JTR010,Infrastructure Repair and Public Capacity Renewal,2,7.18765,0.96037
20,JTR004,Participatory Retreat and Wetland Restoration,3,7.13707,1.07607
20,JTR002,Just Energy Transition with Worker Support,4,7.1233,0.88651
20,JTR009,Ecosystem Restoration with Community Stewardship,5,6.92886,1.14921
20,JTR008,Public Digital Infrastructure with Community Oversight,6,6.69417,1.08602
20,JTR001,Technical Decarbonization Only,7,3.31554,3.45815
20,JTR005,Green Infrastructure Without Housing Protection,8,2.3045,3.77248
20,JTR003,Coastal Retreat Without Long-Term Support,9,1.04896,4.44595
20,JTR007,Digital Modernization Without Access Safeguards,10,1.03116,4.48336
21,JTR004,Participatory Retreat and Wetland Restoration,1,7.85593,0.8179
21,JTR002,Just Energy Transition with Worker Support,2,7.60938,0.85601
21,JTR006,Climate Retrofit with Anti-Displacement Policy,3,7.40088,0.85266
21,JTR008,Public Digital Infrastructure with Community Oversight,4,7.26565,0.9125
21,JTR009,Ecosystem Restoration with Community Stewardship,5,6.6701,1.5525
21,JTR010,Infrastructure Repair and Public Capacity Renewal,6,6.49117,1.38109
21,JTR003,Coastal Retreat Without Long-Term Support,7,2.49319,3.87681
21,JTR005,Green Infrastructure Without Housing Protection,8,2.38381,3.81842
21,JTR001,Technical Decarbonization Only,9,2.08395,3.82537
21,JTR007,Digital Modernization Without Access Safeguards,10,1.75143,4.25316
22,JTR010,Infrastructure Repair and Public Capacity Renewal,1,7.59626,0.69631
22,JTR002,Just Energy Transition with Worker Support,2,7.54976,0.81387
22,JTR009,Ecosystem Restoration with Community Stewardship,3,7.47339,0.89324
22,JTR004,Participatory Retreat and Wetland Restoration,4,7.39482,1.25127
22,JTR006,Climate Retrofit with Anti-Displacement Policy,5,7.36488,0.97443
22,JTR008,Public Digital Infrastructure with Community Oversight,6,7.08207,1.10901
22,JTR005,Green Infrastructure Without Housing Protection,7,2.22161,4.07911
22,JTR001,Technical Decarbonization Only,8,2.08579,4.20295
22,JTR007,Digital Modernization Without Access Safeguards,9,1.61208,4.15648
22,JTR003,Coastal Retreat Without Long-Term Support,10,1.52725,4.39226
23,JTR008,Public Digital Infrastructure with Community Oversight,1,7.27562,0.86514
23,JTR009,Ecosystem Restoration with Community Stewardship,2,7.10957,0.97786
23,JTR004,Participatory Retreat and Wetland Restoration,3,6.84098,1.31082
23,JTR006,Climate Retrofit with Anti-Displacement Policy,4,6.72379,1.2379
23,JTR010,Infrastructure Repair and Public Capacity Renewal,5,6.68188,1.30094
23,JTR002,Just Energy Transition with Worker Support,6,6.50353,1.42543
23,JTR005,Green Infrastructure Without Housing Protection,7,2.3331,4.07128
23,JTR007,Digital Modernization Without Access Safeguards,8,1.89518,3.93052
23,JTR001,Technical Decarbonization Only,9,1.70441,4.1791
23,JTR003,Coastal Retreat Without Long-Term Support,10,1.19998,4.43514
24,JTR009,Ecosystem Restoration with Community Stewardship,1,7.70613,0.85873
24,JTR010,Infrastructure Repair and Public Capacity Renewal,2,7.53007,0.88802
24,JTR002,Just Energy Transition with Worker Support,3,7.41222,0.94438
24,JTR004,Participatory Retreat and Wetland Restoration,4,7.09607,1.11791
24,JTR006,Climate Retrofit with Anti-Displacement Policy,5,6.83898,1.23202
24,JTR008,Public Digital Infrastructure with Community Oversight,6,6.54371,1.16369
24,JTR005,Green Infrastructure Without Housing Protection,7,2.42314,4.02325
24,JTR001,Technical Decarbonization Only,8,1.93292,4.20923
24,JTR007,Digital Modernization Without Access Safeguards,9,1.74736,4.34407
24,JTR003,Coastal Retreat Without Long-Term Support,10,1.55577,4.3914
25,JTR002,Just Energy Transition with Worker Support,1,7.43303,0.95404
25,JTR009,Ecosystem Restoration with Community Stewardship,2,7.39386,1.03751
25,JTR004,Participatory Retreat and Wetland Restoration,3,7.25083,1.15625
25,JTR006,Climate Retrofit with Anti-Displacement Policy,4,7.01518,1.14665
25,JTR008,Public Digital Infrastructure with Community Oversight,5,6.92306,0.9011
25,JTR010,Infrastructure Repair and Public Capacity Renewal,6,6.73933,1.22859
25,JTR005,Green Infrastructure Without Housing Protection,7,3.06183,3.63186
25,JTR001,Technical Decarbonization Only,8,1.50664,4.27979
25,JTR007,Digital Modernization Without Access Safeguards,9,1.39603,4.52134
25,JTR003,Coastal Retreat Without Long-Term Support,10,1.0665,4.53412
26,JTR006,Climate Retrofit with Anti-Displacement Policy,1,7.48245,0.80461
26,JTR009,Ecosystem Restoration with Community Stewardship,2,7.47308,1.02912
26,JTR010,Infrastructure Repair and Public Capacity Renewal,3,7.16643,0.97363
26,JTR004,Participatory Retreat and Wetland Restoration,4,6.79476,1.41265
26,JTR008,Public Digital Infrastructure with Community Oversight,5,6.64966,1.24694
26,JTR002,Just Energy Transition with Worker Support,6,6.52593,1.22734
26,JTR001,Technical Decarbonization Only,7,2.14209,3.93463
26,JTR005,Green Infrastructure Without Housing Protection,8,1.98013,4.1346
26,JTR003,Coastal Retreat Without Long-Term Support,9,1.62798,4.47196
26,JTR007,Digital Modernization Without Access Safeguards,10,1.52846,4.16546
27,JTR002,Just Energy Transition with Worker Support,1,7.6038,0.88315
27,JTR006,Climate Retrofit with Anti-Displacement Policy,2,7.39677,0.83017
27,JTR004,Participatory Retreat and Wetland Restoration,3,7.30354,1.06292
27,JTR010,Infrastructure Repair and Public Capacity Renewal,4,7.19356,1.12817
27,JTR008,Public Digital Infrastructure with Community Oversight,5,7.07201,0.85205
27,JTR009,Ecosystem Restoration with Community Stewardship,6,7.06241,1.18432
27,JTR005,Green Infrastructure Without Housing Protection,7,2.69762,3.70526
27,JTR001,Technical Decarbonization Only,8,2.18115,4.02698
27,JTR007,Digital Modernization Without Access Safeguards,9,1.75982,4.22328
27,JTR003,Coastal Retreat Without Long-Term Support,10,1.73687,4.22391
28,JTR006,Climate Retrofit with Anti-Displacement Policy,1,7.66594,0.878
28,JTR009,Ecosystem Restoration with Community Stewardship,2,7.36857,1.17213
28,JTR004,Participatory Retreat and Wetland Restoration,3,7.31483,1.12933
28,JTR002,Just Energy Transition with Worker Support,4,7.28196,0.95937
28,JTR008,Public Digital Infrastructure with Community Oversight,5,6.86424,0.92855
28,JTR010,Infrastructure Repair and Public Capacity Renewal,6,6.80146,1.36577
28,JTR005,Green Infrastructure Without Housing Protection,7,3.09829,3.70397
28,JTR007,Digital Modernization Without Access Safeguards,8,1.70853,4.22729
28,JTR001,Technical Decarbonization Only,9,1.62903,4.37846
28,JTR003,Coastal Retreat Without Long-Term Support,10,1.28479,4.46003
29,JTR004,Participatory Retreat and Wetland Restoration,1,7.71667,0.98671
29,JTR006,Climate Retrofit with Anti-Displacement Policy,2,7.19923,1.0062
29,JTR002,Just Energy Transition with Worker Support,3,7.13626,0.94116
29,JTR009,Ecosystem Restoration with Community Stewardship,4,6.71575,1.37425
29,JTR010,Infrastructure Repair and Public Capacity Renewal,5,6.70632,1.22068
29,JTR008,Public Digital Infrastructure with Community Oversight,6,6.12192,1.67465
29,JTR005,Green Infrastructure Without Housing Protection,7,3.0985,3.65013
29,JTR001,Technical Decarbonization Only,8,2.5884,3.61408
29,JTR007,Digital Modernization Without Access Safeguards,9,2.47258,3.72471
29,JTR003,Coastal Retreat Without Long-Term Support,10,2.15785,4.06153
30,JTR006,Climate Retrofit with Anti-Displacement Policy,1,7.37234,1.02688
30,JTR002,Just Energy Transition with Worker Support,2,7.28831,0.86108
30,JTR004,Participatory Retreat and Wetland Restoration,3,7.10845,1.24345
30,JTR010,Infrastructure Repair and Public Capacity Renewal,4,6.66438,1.26857
30,JTR009,Ecosystem Restoration with Community Stewardship,5,6.38131,1.54402
30,JTR008,Public Digital Infrastructure with Community Oversight,6,6.08765,1.2245
30,JTR005,Green Infrastructure Without Housing Protection,7,2.77665,3.69567
30,JTR001,Technical Decarbonization Only,8,2.21526,3.94986
30,JTR007,Digital Modernization Without Access Safeguards,9,1.74937,4.23718
30,JTR003,Coastal Retreat Without Long-Term Support,10,1.62836,4.32488
31,JTR004,Participatory Retreat and Wetland Restoration,1,7.30824,1.15743
31,JTR008,Public Digital Infrastructure with Community Oversight,2,7.25425,0.87409
31,JTR010,Infrastructure Repair and Public Capacity Renewal,3,7.10812,1.27099
31,JTR006,Climate Retrofit with Anti-Displacement Policy,4,7.00546,1.21027
31,JTR009,Ecosystem Restoration with Community Stewardship,5,6.93297,1.23934
31,JTR002,Just Energy Transition with Worker Support,6,6.63872,1.21633
31,JTR005,Green Infrastructure Without Housing Protection,7,2.84199,3.60849
31,JTR001,Technical Decarbonization Only,8,2.28119,3.98783
31,JTR007,Digital Modernization Without Access Safeguards,9,1.62817,4.04127
31,JTR003,Coastal Retreat Without Long-Term Support,10,1.30779,4.45798
32,JTR004,Participatory Retreat and Wetland Restoration,1,7.667,0.79344
32,JTR002,Just Energy Transition with Worker Support,2,7.4179,0.93368
32,JTR006,Climate Retrofit with Anti-Displacement Policy,3,7.20815,1.00313
32,JTR009,Ecosystem Restoration with Community Stewardship,4,7.10692,1.14867
32,JTR008,Public Digital Infrastructure with Community Oversight,5,6.68497,1.32157
32,JTR010,Infrastructure Repair and Public Capacity Renewal,6,6.48596,1.40457
32,JTR005,Green Infrastructure Without Housing Protection,7,3.37726,3.35309
32,JTR001,Technical Decarbonization Only,8,2.13442,3.98882
32,JTR007,Digital Modernization Without Access Safeguards,9,1.02868,4.428
32,JTR003,Coastal Retreat Without Long-Term Support,10,1.0244,4.55591
33,JTR004,Participatory Retreat and Wetland Restoration,1,7.56404,1.01077
33,JTR002,Just Energy Transition with Worker Support,2,7.28571,0.99838
33,JTR006,Climate Retrofit with Anti-Displacement Policy,3,7.22835,1.13313
33,JTR010,Infrastructure Repair and Public Capacity Renewal,4,7.05517,1.14175
33,JTR009,Ecosystem Restoration with Community Stewardship,5,6.71294,1.26461
33,JTR008,Public Digital Infrastructure with Community Oversight,6,6.64589,1.15807
33,JTR005,Green Infrastructure Without Housing Protection,7,2.56467,3.77518
33,JTR007,Digital Modernization Without Access Safeguards,8,1.79209,4.04339
33,JTR001,Technical Decarbonization Only,9,1.6683,4.40789
33,JTR003,Coastal Retreat Without Long-Term Support,10,1.57237,4.38423
34,JTR004,Participatory Retreat and Wetland Restoration,1,7.46484,0.98609
34,JTR009,Ecosystem Restoration with Community Stewardship,2,7.3156,0.98788
34,JTR006,Climate Retrofit with Anti-Displacement Policy,3,7.27023,0.94375
34,JTR010,Infrastructure Repair and Public Capacity Renewal,4,7.09081,1.03862
34,JTR002,Just Energy Transition with Worker Support,5,7.08051,1.13657
34,JTR008,Public Digital Infrastructure with Community Oversight,6,6.53659,1.03687
34,JTR005,Green Infrastructure Without Housing Protection,7,3.05869,3.57142
34,JTR001,Technical Decarbonization Only,8,1.87419,4.31087
34,JTR007,Digital Modernization Without Access Safeguards,9,1.55973,4.15138
34,JTR003,Coastal Retreat Without Long-Term Support,10,1.30149,4.51153
35,JTR006,Climate Retrofit with Anti-Displacement Policy,1,7.2037,0.89311
35,JTR004,Participatory Retreat and Wetland Restoration,2,7.11812,1.01295
35,JTR010,Infrastructure Repair and Public Capacity Renewal,3,7.09058,0.93195
35,JTR002,Just Energy Transition with Worker Support,4,6.93016,1.21485
35,JTR008,Public Digital Infrastructure with Community Oversight,5,6.61051,1.16913
35,JTR009,Ecosystem Restoration with Community Stewardship,6,6.58536,1.43626
35,JTR005,Green Infrastructure Without Housing Protection,7,2.38661,4.02817
35,JTR001,Technical Decarbonization Only,8,2.10966,3.986
35,JTR007,Digital Modernization Without Access Safeguards,9,0.85938,4.62488
35,JTR003,Coastal Retreat Without Long-Term Support,10,0.40106,4.93732
36,JTR009,Ecosystem Restoration with Community Stewardship,1,7.49878,1.01198
36,JTR004,Participatory Retreat and Wetland Restoration,2,7.48099,1.16445
36,JTR010,Infrastructure Repair and Public Capacity Renewal,3,7.10646,1.01398
36,JTR002,Just Energy Transition with Worker Support,4,7.07135,1.03847
36,JTR006,Climate Retrofit with Anti-Displacement Policy,5,7.04875,1.20404
36,JTR008,Public Digital Infrastructure with Community Oversight,6,6.75077,1.20093
36,JTR005,Green Infrastructure Without Housing Protection,7,2.94897,3.36221
36,JTR003,Coastal Retreat Without Long-Term Support,8,1.77787,4.17239
36,JTR001,Technical Decarbonization Only,9,1.76889,4.26135
36,JTR007,Digital Modernization Without Access Safeguards,10,1.07729,4.31912
37,JTR004,Participatory Retreat and Wetland Restoration,1,6.80196,1.47275
37,JTR002,Just Energy Transition with Worker Support,2,6.73559,1.2796
37,JTR006,Climate Retrofit with Anti-Displacement Policy,3,6.731,1.10584
37,JTR008,Public Digital Infrastructure with Community Oversight,4,6.57381,1.25665
37,JTR009,Ecosystem Restoration with Community Stewardship,5,6.53168,1.49685
37,JTR010,Infrastructure Repair and Public Capacity Renewal,6,6.42052,1.2985
37,JTR005,Green Infrastructure Without Housing Protection,7,2.41186,3.88913
37,JTR001,Technical Decarbonization Only,8,2.24735,3.92564
37,JTR003,Coastal Retreat Without Long-Term Support,9,1.90566,4.1485
37,JTR007,Digital Modernization Without Access Safeguards,10,1.60866,4.23008
