pathway_id,pathway,resilience_capacity,transformation_capacity,equity,ecological_repair,governance_legitimacy,livelihood_protection,exposure_reduction,burden_shift,lock_in_risk,implementation_burden,critical_function,just_transformation_value,justice_gap,adjusted_value,scenario,diagnostic,rank
JTR004,Participatory Retreat and Wetland Restoration,8.4,8.9,8.7,9.2,8.8,8.5,9,2.9,2.8,4,reduces exposure through participatory relocation compensation cultural continuity and ecological restoration,7.428000000000001,0.97,6.458000000000001,Burden-sensitive,just transformation candidate,1
JTR002,Just Energy Transition with Worker Support,8.5,8.8,8.8,7.8,8.5,9,8.4,2.8,2.9,3.9,pairs decarbonization with labor protection regional investment affordability and public accountability,7.23,0.968,6.2620000000000005,Burden-sensitive,just transformation candidate,2
JTR010,Infrastructure Repair and Public Capacity Renewal,8.7,8.4,8.7,7.8,8.8,8.6,8.6,2.7,3,3.8,links deferred maintenance repair staffing budgeting and public accountability to exposure reduction,7.203,0.966,6.237,Burden-sensitive,just transformation candidate,3
JTR006,Climate Retrofit with Anti-Displacement Policy,8.6,8.5,9,8,8.7,8.2,8.8,2.7,2.9,3.8,combines building retrofits cooling energy affordability and anti-displacement protections,7.243000000000001,1.0100000000000002,6.2330000000000005,Burden-sensitive,just transformation candidate,4
JTR009,Ecosystem Restoration with Community Stewardship,8.2,8.6,8.5,9.3,8.6,8.1,8.7,2.9,3.1,3.9,restores wetlands forests rivers or soils with community stewardship and public-benefit safeguards,7.217999999999998,1.098,6.119999999999998,Burden-sensitive,just transformation candidate,5
JTR008,Public Digital Infrastructure with Community Oversight,8.3,8.4,8.6,7.2,8.9,8.4,7.8,2.8,3,3.7,uses accountable digital systems to support access transparency fallback capacity and public oversight,6.951,1.004,5.946999999999999,Burden-sensitive,just transformation candidate,6
JTR005,Green Infrastructure Without Housing Protection,7.9,7.8,5.8,8.1,5.6,5.6,7.4,6,5.2,3.4,improves ecological and climate function but risks green displacement without housing safeguards,5.2,3.7780000000000005,1.4219999999999997,Burden-sensitive,high justice-gap review needed,7
JTR001,Technical Decarbonization Only,7.8,8.2,5.4,6.8,5.8,4.8,7,6.2,5.8,3.2,reduces emissions through technical substitution but provides weak worker community and governance safeguards,4.863999999999999,4.122,0.7419999999999991,Burden-sensitive,high justice-gap review needed,8
JTR007,Digital Modernization Without Access Safeguards,7.6,8,5.6,5.8,5.4,5.2,6.4,6.4,6,3.2,modernizes service systems but risks exclusion surveillance and digital dependency,4.609999999999999,4.15,0.4599999999999991,Burden-sensitive,high justice-gap review needed,9
JTR003,Coastal Retreat Without Long-Term Support,7.4,7.6,5.2,6.2,5,5,7.6,6.8,5.6,3.1,reduces physical exposure but risks displacement cultural loss and insufficient support,4.555999999999999,4.382,0.1739999999999995,Burden-sensitive,high justice-gap review needed,10
JTR004,Participatory Retreat and Wetland Restoration,8.4,8.9,8.7,9.2,8.8,8.5,9,2.9,2.8,4,reduces exposure through participatory relocation compensation cultural continuity and ecological restoration,8.615000000000002,0.97,7.645000000000002,Ecological-repair-first,just transformation candidate,1
JTR009,Ecosystem Restoration with Community Stewardship,8.2,8.6,8.5,9.3,8.6,8.1,8.7,2.9,3.1,3.9,restores wetlands forests rivers or soils with community stewardship and public-benefit safeguards,8.472000000000001,1.098,7.3740000000000014,Ecological-repair-first,just transformation candidate,2
JTR006,Climate Retrofit with Anti-Displacement Policy,8.6,8.5,9,8,8.7,8.2,8.8,2.7,2.9,3.8,combines building retrofits cooling energy affordability and anti-displacement protections,8.16,1.0100000000000002,7.15,Ecological-repair-first,just transformation candidate,3
JTR002,Just Energy Transition with Worker Support,8.5,8.8,8.8,7.8,8.5,9,8.4,2.8,2.9,3.9,pairs decarbonization with labor protection regional investment affordability and public accountability,8.108000000000002,0.968,7.140000000000002,Ecological-repair-first,just transformation candidate,4
JTR010,Infrastructure Repair and Public Capacity Renewal,8.7,8.4,8.7,7.8,8.8,8.6,8.6,2.7,3,3.8,links deferred maintenance repair staffing budgeting and public accountability to exposure reduction,8.083,0.966,7.117,Ecological-repair-first,just transformation candidate,5
JTR008,Public Digital Infrastructure with Community Oversight,8.3,8.4,8.6,7.2,8.9,8.4,7.8,2.8,3,3.7,uses accountable digital systems to support access transparency fallback capacity and public oversight,7.7360000000000015,1.004,6.732000000000001,Ecological-repair-first,just transformation candidate,6
JTR005,Green Infrastructure Without Housing Protection,7.9,7.8,5.8,8.1,5.6,5.6,7.4,6,5.2,3.4,improves ecological and climate function but risks green displacement without housing safeguards,6.774,3.7780000000000005,2.9959999999999996,Ecological-repair-first,high justice-gap review needed,7
JTR001,Technical Decarbonization Only,7.8,8.2,5.4,6.8,5.8,4.8,7,6.2,5.8,3.2,reduces emissions through technical substitution but provides weak worker community and governance safeguards,6.208000000000001,4.122,2.086000000000001,Ecological-repair-first,high justice-gap review needed,8
JTR007,Digital Modernization Without Access Safeguards,7.6,8,5.6,5.8,5.4,5.2,6.4,6.4,6,3.2,modernizes service systems but risks exclusion surveillance and digital dependency,5.774,4.15,1.6239999999999997,Ecological-repair-first,high justice-gap review needed,9
JTR003,Coastal Retreat Without Long-Term Support,7.4,7.6,5.2,6.2,5,5,7.6,6.8,5.6,3.1,reduces physical exposure but risks displacement cultural loss and insufficient support,5.847,4.382,1.4650000000000007,Ecological-repair-first,high justice-gap review needed,10
JTR004,Participatory Retreat and Wetland Restoration,8.4,8.9,8.7,9.2,8.8,8.5,9,2.9,2.8,4,reduces exposure through participatory relocation compensation cultural continuity and ecological restoration,8.671000000000003,0.97,7.701000000000003,Equity-first,just transformation candidate,1
JTR002,Just Energy Transition with Worker Support,8.5,8.8,8.8,7.8,8.5,9,8.4,2.8,2.9,3.9,pairs decarbonization with labor protection regional investment affordability and public accountability,8.515,0.968,7.547000000000001,Equity-first,just transformation candidate,2
JTR006,Climate Retrofit with Anti-Displacement Policy,8.6,8.5,9,8,8.7,8.2,8.8,2.7,2.9,3.8,combines building retrofits cooling energy affordability and anti-displacement protections,8.551,1.0100000000000002,7.541,Equity-first,just transformation candidate,3
JTR010,Infrastructure Repair and Public Capacity Renewal,8.7,8.4,8.7,7.8,8.8,8.6,8.6,2.7,3,3.8,links deferred maintenance repair staffing budgeting and public accountability to exposure reduction,8.463,0.966,7.496999999999999,Equity-first,just transformation candidate,4
JTR009,Ecosystem Restoration with Community Stewardship,8.2,8.6,8.5,9.3,8.6,8.1,8.7,2.9,3.1,3.9,restores wetlands forests rivers or soils with community stewardship and public-benefit safeguards,8.451,1.098,7.353000000000001,Equity-first,just transformation candidate,5
JTR008,Public Digital Infrastructure with Community Oversight,8.3,8.4,8.6,7.2,8.9,8.4,7.8,2.8,3,3.7,uses accountable digital systems to support access transparency fallback capacity and public oversight,8.229,1.004,7.225,Equity-first,just transformation candidate,6
JTR005,Green Infrastructure Without Housing Protection,7.9,7.8,5.8,8.1,5.6,5.6,7.4,6,5.2,3.4,improves ecological and climate function but risks green displacement without housing safeguards,6.355,3.7780000000000005,2.577,Equity-first,high justice-gap review needed,7
JTR001,Technical Decarbonization Only,7.8,8.2,5.4,6.8,5.8,4.8,7,6.2,5.8,3.2,reduces emissions through technical substitution but provides weak worker community and governance safeguards,5.986,4.122,1.8639999999999999,Equity-first,high justice-gap review needed,8
JTR007,Digital Modernization Without Access Safeguards,7.6,8,5.6,5.8,5.4,5.2,6.4,6.4,6,3.2,modernizes service systems but risks exclusion surveillance and digital dependency,5.829999999999999,4.15,1.6799999999999988,Equity-first,high justice-gap review needed,9
JTR003,Coastal Retreat Without Long-Term Support,7.4,7.6,5.2,6.2,5,5,7.6,6.8,5.6,3.1,reduces physical exposure but risks displacement cultural loss and insufficient support,5.715,4.382,1.3330000000000002,Equity-first,high justice-gap review needed,10
JTR004,Participatory Retreat and Wetland Restoration,8.4,8.9,8.7,9.2,8.8,8.5,9,2.9,2.8,4,reduces exposure through participatory relocation compensation cultural continuity and ecological restoration,8.746000000000002,0.97,7.7760000000000025,Exposure-reduction-first,just transformation candidate,1
JTR006,Climate Retrofit with Anti-Displacement Policy,8.6,8.5,9,8,8.7,8.2,8.8,2.7,2.9,3.8,combines building retrofits cooling energy affordability and anti-displacement protections,8.522,1.0100000000000002,7.5120000000000005,Exposure-reduction-first,just transformation candidate,2
JTR010,Infrastructure Repair and Public Capacity Renewal,8.7,8.4,8.7,7.8,8.8,8.6,8.6,2.7,3,3.8,links deferred maintenance repair staffing budgeting and public accountability to exposure reduction,8.440000000000001,0.966,7.474000000000001,Exposure-reduction-first,just transformation candidate,3
JTR002,Just Energy Transition with Worker Support,8.5,8.8,8.8,7.8,8.5,9,8.4,2.8,2.9,3.9,pairs decarbonization with labor protection regional investment affordability and public accountability,8.418000000000001,0.968,7.450000000000001,Exposure-reduction-first,just transformation candidate,4
JTR009,Ecosystem Restoration with Community Stewardship,8.2,8.6,8.5,9.3,8.6,8.1,8.7,2.9,3.1,3.9,restores wetlands forests rivers or soils with community stewardship and public-benefit safeguards,8.506000000000002,1.098,7.408000000000002,Exposure-reduction-first,just transformation candidate,5
JTR008,Public Digital Infrastructure with Community Oversight,8.3,8.4,8.6,7.2,8.9,8.4,7.8,2.8,3,3.7,uses accountable digital systems to support access transparency fallback capacity and public oversight,8.038,1.004,7.034000000000001,Exposure-reduction-first,just transformation candidate,6
JTR005,Green Infrastructure Without Housing Protection,7.9,7.8,5.8,8.1,5.6,5.6,7.4,6,5.2,3.4,improves ecological and climate function but risks green displacement without housing safeguards,6.745000000000001,3.7780000000000005,2.9670000000000005,Exposure-reduction-first,high justice-gap review needed,7
JTR001,Technical Decarbonization Only,7.8,8.2,5.4,6.8,5.8,4.8,7,6.2,5.8,3.2,reduces emissions through technical substitution but provides weak worker community and governance safeguards,6.378,4.122,2.2560000000000002,Exposure-reduction-first,high justice-gap review needed,8
JTR003,Coastal Retreat Without Long-Term Support,7.4,7.6,5.2,6.2,5,5,7.6,6.8,5.6,3.1,reduces physical exposure but risks displacement cultural loss and insufficient support,6.297000000000001,4.382,1.915000000000001,Exposure-reduction-first,high justice-gap review needed,9
JTR007,Digital Modernization Without Access Safeguards,7.6,8,5.6,5.8,5.4,5.2,6.4,6.4,6,3.2,modernizes service systems but risks exclusion surveillance and digital dependency,6.031999999999999,4.15,1.8819999999999988,Exposure-reduction-first,high justice-gap review needed,10
JTR004,Participatory Retreat and Wetland Restoration,8.4,8.9,8.7,9.2,8.8,8.5,9,2.9,2.8,4,reduces exposure through participatory relocation compensation cultural continuity and ecological restoration,8.610000000000003,0.97,7.640000000000003,Governance-first,just transformation candidate,1
JTR010,Infrastructure Repair and Public Capacity Renewal,8.7,8.4,8.7,7.8,8.8,8.6,8.6,2.7,3,3.8,links deferred maintenance repair staffing budgeting and public accountability to exposure reduction,8.4,0.966,7.434,Governance-first,just transformation candidate,2
JTR006,Climate Retrofit with Anti-Displacement Policy,8.6,8.5,9,8,8.7,8.2,8.8,2.7,2.9,3.8,combines building retrofits cooling energy affordability and anti-displacement protections,8.411000000000001,1.0100000000000002,7.401000000000002,Governance-first,just transformation candidate,3
JTR002,Just Energy Transition with Worker Support,8.5,8.8,8.8,7.8,8.5,9,8.4,2.8,2.9,3.9,pairs decarbonization with labor protection regional investment affordability and public accountability,8.357000000000001,0.968,7.389000000000001,Governance-first,just transformation candidate,4
JTR009,Ecosystem Restoration with Community Stewardship,8.2,8.6,8.5,9.3,8.6,8.1,8.7,2.9,3.1,3.9,restores wetlands forests rivers or soils with community stewardship and public-benefit safeguards,8.396,1.098,7.298000000000001,Governance-first,just transformation candidate,5
JTR008,Public Digital Infrastructure with Community Oversight,8.3,8.4,8.6,7.2,8.9,8.4,7.8,2.8,3,3.7,uses accountable digital systems to support access transparency fallback capacity and public oversight,8.213,1.004,7.209,Governance-first,just transformation candidate,6
JTR005,Green Infrastructure Without Housing Protection,7.9,7.8,5.8,8.1,5.6,5.6,7.4,6,5.2,3.4,improves ecological and climate function but risks green displacement without housing safeguards,6.257000000000001,3.7780000000000005,2.479,Governance-first,high justice-gap review needed,7
JTR001,Technical Decarbonization Only,7.8,8.2,5.4,6.8,5.8,4.8,7,6.2,5.8,3.2,reduces emissions through technical substitution but provides weak worker community and governance safeguards,6.032000000000001,4.122,1.910000000000001,Governance-first,high justice-gap review needed,8
JTR007,Digital Modernization Without Access Safeguards,7.6,8,5.6,5.8,5.4,5.2,6.4,6.4,6,3.2,modernizes service systems but risks exclusion surveillance and digital dependency,5.738,4.15,1.588,Governance-first,high justice-gap review needed,9
JTR003,Coastal Retreat Without Long-Term Support,7.4,7.6,5.2,6.2,5,5,7.6,6.8,5.6,3.1,reduces physical exposure but risks displacement cultural loss and insufficient support,5.623000000000001,4.382,1.2410000000000014,Governance-first,high justice-gap review needed,10
JTR004,Participatory Retreat and Wetland Restoration,8.4,8.9,8.7,9.2,8.8,8.5,9,2.9,2.8,4,reduces exposure through participatory relocation compensation cultural continuity and ecological restoration,8.165000000000001,0.97,7.195000000000001,Implementation-aware,just transformation candidate,1
JTR002,Just Energy Transition with Worker Support,8.5,8.8,8.8,7.8,8.5,9,8.4,2.8,2.9,3.9,pairs decarbonization with labor protection regional investment affordability and public accountability,7.951000000000001,0.968,6.983000000000001,Implementation-aware,just transformation candidate,2
JTR010,Infrastructure Repair and Public Capacity Renewal,8.7,8.4,8.7,7.8,8.8,8.6,8.6,2.7,3,3.8,links deferred maintenance repair staffing budgeting and public accountability to exposure reduction,7.923000000000001,0.966,6.957000000000001,Implementation-aware,just transformation candidate,3
JTR006,Climate Retrofit with Anti-Displacement Policy,8.6,8.5,9,8,8.7,8.2,8.8,2.7,2.9,3.8,combines building retrofits cooling energy affordability and anti-displacement protections,7.960999999999999,1.0100000000000002,6.950999999999999,Implementation-aware,just transformation candidate,4
JTR009,Ecosystem Restoration with Community Stewardship,8.2,8.6,8.5,9.3,8.6,8.1,8.7,2.9,3.1,3.9,restores wetlands forests rivers or soils with community stewardship and public-benefit safeguards,7.958999999999999,1.098,6.860999999999999,Implementation-aware,just transformation candidate,5
JTR008,Public Digital Infrastructure with Community Oversight,8.3,8.4,8.6,7.2,8.9,8.4,7.8,2.8,3,3.7,uses accountable digital systems to support access transparency fallback capacity and public oversight,7.668000000000001,1.004,6.6640000000000015,Implementation-aware,just transformation candidate,6
JTR005,Green Infrastructure Without Housing Protection,7.9,7.8,5.8,8.1,5.6,5.6,7.4,6,5.2,3.4,improves ecological and climate function but risks green displacement without housing safeguards,6.252,3.7780000000000005,2.4739999999999993,Implementation-aware,high justice-gap review needed,7
JTR001,Technical Decarbonization Only,7.8,8.2,5.4,6.8,5.8,4.8,7,6.2,5.8,3.2,reduces emissions through technical substitution but provides weak worker community and governance safeguards,5.95,4.122,1.8280000000000003,Implementation-aware,high justice-gap review needed,8
JTR007,Digital Modernization Without Access Safeguards,7.6,8,5.6,5.8,5.4,5.2,6.4,6.4,6,3.2,modernizes service systems but risks exclusion surveillance and digital dependency,5.7059999999999995,4.15,1.5559999999999992,Implementation-aware,high justice-gap review needed,9
JTR003,Coastal Retreat Without Long-Term Support,7.4,7.6,5.2,6.2,5,5,7.6,6.8,5.6,3.1,reduces physical exposure but risks displacement cultural loss and insufficient support,5.683,4.382,1.3010000000000002,Implementation-aware,high justice-gap review needed,10
JTR004,Participatory Retreat and Wetland Restoration,8.4,8.9,8.7,9.2,8.8,8.5,9,2.9,2.8,4,reduces exposure through participatory relocation compensation cultural continuity and ecological restoration,8.626000000000003,0.97,7.656000000000003,Livelihood-first,just transformation candidate,1
JTR002,Just Energy Transition with Worker Support,8.5,8.8,8.8,7.8,8.5,9,8.4,2.8,2.9,3.9,pairs decarbonization with labor protection regional investment affordability and public accountability,8.562000000000001,0.968,7.594000000000001,Livelihood-first,just transformation candidate,2
JTR010,Infrastructure Repair and Public Capacity Renewal,8.7,8.4,8.7,7.8,8.8,8.6,8.6,2.7,3,3.8,links deferred maintenance repair staffing budgeting and public accountability to exposure reduction,8.44,0.966,7.473999999999999,Livelihood-first,just transformation candidate,3
JTR006,Climate Retrofit with Anti-Displacement Policy,8.6,8.5,9,8,8.7,8.2,8.8,2.7,2.9,3.8,combines building retrofits cooling energy affordability and anti-displacement protections,8.378,1.0100000000000002,7.368,Livelihood-first,just transformation candidate,4
JTR009,Ecosystem Restoration with Community Stewardship,8.2,8.6,8.5,9.3,8.6,8.1,8.7,2.9,3.1,3.9,restores wetlands forests rivers or soils with community stewardship and public-benefit safeguards,8.362,1.098,7.264,Livelihood-first,just transformation candidate,5
JTR008,Public Digital Infrastructure with Community Oversight,8.3,8.4,8.6,7.2,8.9,8.4,7.8,2.8,3,3.7,uses accountable digital systems to support access transparency fallback capacity and public oversight,8.181999999999999,1.004,7.177999999999999,Livelihood-first,just transformation candidate,6
JTR005,Green Infrastructure Without Housing Protection,7.9,7.8,5.8,8.1,5.6,5.6,7.4,6,5.2,3.4,improves ecological and climate function but risks green displacement without housing safeguards,6.313000000000001,3.7780000000000005,2.535,Livelihood-first,high justice-gap review needed,7
JTR001,Technical Decarbonization Only,7.8,8.2,5.4,6.8,5.8,4.8,7,6.2,5.8,3.2,reduces emissions through technical substitution but provides weak worker community and governance safeguards,5.8500000000000005,4.122,1.7280000000000006,Livelihood-first,high justice-gap review needed,8
JTR007,Digital Modernization Without Access Safeguards,7.6,8,5.6,5.8,5.4,5.2,6.4,6.4,6,3.2,modernizes service systems but risks exclusion surveillance and digital dependency,5.744000000000001,4.15,1.5940000000000003,Livelihood-first,high justice-gap review needed,9
JTR003,Coastal Retreat Without Long-Term Support,7.4,7.6,5.2,6.2,5,5,7.6,6.8,5.6,3.1,reduces physical exposure but risks displacement cultural loss and insufficient support,5.673000000000001,4.382,1.2910000000000013,Livelihood-first,high justice-gap review needed,10
JTR004,Participatory Retreat and Wetland Restoration,8.4,8.9,8.7,9.2,8.8,8.5,9,2.9,2.8,4,reduces exposure through participatory relocation compensation cultural continuity and ecological restoration,8.636000000000003,0.97,7.666000000000003,Transformation-first,just transformation candidate,1
JTR002,Just Energy Transition with Worker Support,8.5,8.8,8.8,7.8,8.5,9,8.4,2.8,2.9,3.9,pairs decarbonization with labor protection regional investment affordability and public accountability,8.416000000000002,0.968,7.448000000000002,Transformation-first,just transformation candidate,2
JTR006,Climate Retrofit with Anti-Displacement Policy,8.6,8.5,9,8,8.7,8.2,8.8,2.7,2.9,3.8,combines building retrofits cooling energy affordability and anti-displacement protections,8.360000000000001,1.0100000000000002,7.350000000000001,Transformation-first,just transformation candidate,3
JTR010,Infrastructure Repair and Public Capacity Renewal,8.7,8.4,8.7,7.8,8.8,8.6,8.6,2.7,3,3.8,links deferred maintenance repair staffing budgeting and public accountability to exposure reduction,8.302,0.966,7.335999999999999,Transformation-first,just transformation candidate,4
JTR009,Ecosystem Restoration with Community Stewardship,8.2,8.6,8.5,9.3,8.6,8.1,8.7,2.9,3.1,3.9,restores wetlands forests rivers or soils with community stewardship and public-benefit safeguards,8.403,1.098,7.305000000000001,Transformation-first,just transformation candidate,5
JTR008,Public Digital Infrastructure with Community Oversight,8.3,8.4,8.6,7.2,8.9,8.4,7.8,2.8,3,3.7,uses accountable digital systems to support access transparency fallback capacity and public oversight,8.085999999999999,1.004,7.081999999999999,Transformation-first,just transformation candidate,6
JTR005,Green Infrastructure Without Housing Protection,7.9,7.8,5.8,8.1,5.6,5.6,7.4,6,5.2,3.4,improves ecological and climate function but risks green displacement without housing safeguards,6.765999999999999,3.7780000000000005,2.9879999999999987,Transformation-first,high justice-gap review needed,7
JTR001,Technical Decarbonization Only,7.8,8.2,5.4,6.8,5.8,4.8,7,6.2,5.8,3.2,reduces emissions through technical substitution but provides weak worker community and governance safeguards,6.569999999999999,4.122,2.4479999999999995,Transformation-first,high justice-gap review needed,8
JTR007,Digital Modernization Without Access Safeguards,7.6,8,5.6,5.8,5.4,5.2,6.4,6.4,6,3.2,modernizes service systems but risks exclusion surveillance and digital dependency,6.314000000000001,4.15,2.1640000000000006,Transformation-first,high justice-gap review needed,9
JTR003,Coastal Retreat Without Long-Term Support,7.4,7.6,5.2,6.2,5,5,7.6,6.8,5.6,3.1,reduces physical exposure but risks displacement cultural loss and insufficient support,6.207,4.382,1.8250000000000002,Transformation-first,high justice-gap review needed,10
